ID,Title,Body,Cover_image,Equipment,Type_of_support,Child_age,Domain,Related_milestones,Mandatory_content,Translation_language,Moderation_state
7311,На поиски сокровищ,"<p><strong>Что понадобится: </strong>Обычная коробка или пластиковый контейнер, измельченная бумага (газета, бумажные полотенца или другая бумага, нарезанная полосками), маленькие игрушки или другие мелкие предметы (безопасные для ребенка). </p>

<p><strong>В чем заключается игра: </strong>Положите предметы или игрушки в коробку с измельченной бумагой, чтобы игрушки были не видны. Привлеките внимание ребенка, весело и заговорщицки скажите ему: «Смотри, что у меня есть! Сокровище!». Предложите найти спрятанные вещи. Говорите, что делать, простым языком: «Попробуй найти…» или «А где…?». Пусть потрогает бумагу, водит рукой внутри — детям нравится искать. Когда малыш что-то найдет и достанет, скажите, что это: «А вот и…». Следите за реакцией ребенка, проговаривайте: «О, тебе нравится!», «Ты хочешь еще что-то найти!» Хвалите и подбадривайте малыша. Помогите ему сказать, что он нашел. Продолжайте, пока все ""сокровища"" в коробке не будут найдены. Меняйте предметы или игрушки, которые вы прячете, чтобы не только разнообразить игру, но и выучить и запомнить с ребенком множество разных слов. </p>

<p><strong>Что изучает ваш ребенок: </strong>Ваш ребенок учится общаться и повторять жесты взрослых и произносимые слова. Аналогичным образом ребенок использует жесты в ответ на ваше обращение к нему.</p>",3186,yes,parent,,6441,3016,1,by-ru,published
7316,Умеешь этим пользоваться?,"<p><strong>Что понадобится: </strong>Предметы повседневного пользования, знакомые вашему ребенку (например: расческа, ложка, зубная щетка, веник и т.д.)</p>

<p><strong>В чем заключается игра: </strong>В этом возрасте ваш ребенок уже показывает, что он понимает, зачем нужны те или иные предметы. Он это усваивает, наблюдая за другими членами семьи, а также когда ему предлагают использовать эти предметы самостоятельно. Помогите ему. Например, одеваясь утром, вы можете дать ребенку расческу и сказать: «Ты можешь сам расчесаться!» (возможно, показывая или осторожно направляя руку вашего ребенка), «Да-да, ты все правильно делаешь!». Попробуйте то же самое и с другими бытовыми предметами. Если вы видите, что ваш ребенок старается сделать что-то сам, подбодрите его: «Ого, ты сам взял веник и подметаешь. Умница!»</p>

<p><strong>Чему при этом учится ребенок: </strong>Знание того, что разные вещи используются определенным образом в повседневной жизни, является важным шагом в развитии мышления вашего ребенка. Малыш начинает соотносить связь между предметом (зубной щеткой) и его предназначением (чистить зубы) — это важно для развития ребенка. При этом вы также стимулируете его речевое развитие, называя предметы, которые его окружают, и описывая действия, для которых они служат. Делайте все вместе и с удовольствием!</p>",12556,yes,parent,,6441,3006,1,by-ru,published
7321,Играем по правилам ребенка,"<p><strong>Что понадобится: </strong>Все, к чему ребенок проявляется интерес.</p>

<p><strong>В чем заключается игра: </strong>Все, что вам нужно сделать, это обращать внимание на все, чем в данный момент заинтересовался ваш ребенок. Это может быть игрушка, то-то из продуктов на столе или какой-то бытовой предмет, а если Вы на улице — птица или пожарная машина. </p>

<p>Сначала вслух проговорите, что малыш на что-то обратил внимание или чем-то заинтересоваться. Это может быть что-то с чем можно поиграть, например, мяч, или какое-то действие, например, прыгать по лужам — ""Aaaa, тебе понравился мяч!"". Спросите у ребенка, хочет ли он, чтобы вы тоже поучаствовали, и следуйте его указаниям. Если ребенок бросает вам мяч, ловите и бросайте ему. Главное — процесс, а не результат. Не важно, доиграли ли вы до конца и хорошо ли все получалось. Не прерывайте игру ребенка и не пытайтесь изменить естественный для ребенка и задуманный им ход игры. Если это безопасно, пусть малыш руководит, а вы следуйте его указаниям. Очень полезно при этом проговаривать и комментировать, что вы оба делаете — например: «Ты очень быстро бросил мяч, а я не поймал! Ты очень ловко бросаешь мяч!». Давайте ребенку время отреагировать.  </p>

<p>Если ребенок начинает играть по-новому или во что-то другое, пусть и дальше будет главным. Например, если он перестал катать мяч и начинает играть с веточками, переключитесь на веточки и не забывайте проговаривать и комментировать то, что вы делаете. </p>

<p>Вы можете так делать практически в любой ситуации и когда угодно — не только во время игр и свободного времени, но и во время повседневных дел — например, при приготовлении еды дома или во время купания («О, ты притворяешься машиной! Бжжжж!!! Врум-врум!»)</p>

<p><strong>Чему при этом учится ребенок: </strong>Когда ребенок играет сам, а вы следуете его указаниям и включаетесь в игру, не пытаясь ее изменить, это способствует развитию творческого мышления и навыков решения проблем. А еще ваш ребенок учится общаться и рассуждать.</p>",376,,parent,,6431,2861,1,by-ru,published
7326,Повторяй за мной,"<p><strong>Что понадобится: </strong>Ничего.    </p>

<p><strong>В чем заключается игра: </strong>Для этой игры вы можете использовать все моменты, когда вы находитесь с ребенком лицом к лицу (например, когда меняете подгузники и т.п.). Привлеките внимание ребенка, спросив: «А как выглядит…?» и сделайте какое-нибудь соответствующее выражение лица, например, как рыба: втяните щеки и пошевелите сжатыми губами, или, например, как заяц: подергайте носом ... Вы можете проговаривать названия разные эмоции и демонстрировать соответствующие выражения лица — грусть, радость, усталость, испуг, а еще движения головы — кивание, покачивание головы из стороны в сторону, и движения рук — что значит «Хлопать», «Размахивать руками»… Пусть ребенок какие-то время за вами понаблюдает, следите, пытается ли он за вами повторить. Не торопитесь, повторяйте движения и выражения лица несколько раз. Подбадривайте его простыми, понятными словами: «Попробуй как я!» или (если ваш ребенок немного старше): «А ты может сделать, как рыба? Покажи!». Когда ваш ребенок повторяет выражение лица или движение, всегда проговаривайте то, что он сделал, потому что таким образом вы способствуете развитию речи. А еще, подражайте движениям или выражениям лица вашего ребенка, говорите, как они называются. </p>

<p><strong>Чему при этом учится ребенок: </strong>Вы помогаете ребенку научиться выполнять простые указания, что является важным шагом в развитии его мышления, речи и социально-эмоциональном развитии.</p>",2711,no,parent,,6431,2981,1,by-ru,published
7331,Мяч в корзине,"<p><strong>Что понадобится: </strong>Один небольшой мячик (можно использовать и свернутый в шар толстый носок); большая коробка (можно заменить тазиком или большой корзиной).  </p>

<p><strong>В чем заключается игра: </strong>Поставьте коробку (или корзину) по центру комнаты, сами станьте на небольшом расстоянии от нее. Чтобы привлечь внимание ребенка, можете первым бросить мяч в коробку. Делайте это так, чтобы было видно, что вам весело и интересно. Чтобы было легче попадать можно подойти ближе. Когда ребенок заинтересуется, дайте ему попробовать бросить самому. В этом возрасте некоторым детям может быть сложно попасть в коробку, но даже если у них не получается забрасывать мяч, ценность и удовольствие от этого занятия заключается в отработке метательного движения. Подбадривайте ребенка при каждом его броске словами, улыбкой, аплодисментами и восклицаниями. Попробуйте бросать по очереди (объясняйте: «Моя очередь! Теперь твоя очередь!» и проговаривайте, что вы делаете: «Отличный бросок!» или «О, у тебя мяч попал на диван, беги за ним!») и болейте за малыша при каждом броске, независимо от успеха. </p>

<p><strong>Чему при этом учится ребенок: </strong>Ваш ребенок развивает крупную моторику и координацию движений, повторяя за вами. Играя с вами, ребенок также учится тому, что значит делать что-то по очереди.</p>",3191,yes,parent,,6421,2956,1,by-ru,published
7336,Смотрим и играем вместе,"<p><strong>Что понадобится: </strong>Несколько интересных игрушек или предметов (безопасных для ребенка). Играть можно дома или на улице</p>

<p><strong>В чем заключается игра: </strong>В этом возрасте ваш ребенок начинает больше интересоваться и взаимодействовать с другими детьми. Ему может быть пока затруднительно играть с другими детьми в сложные игры, но ему может нравиться заниматься чем-то, просто находясь рядом, бок о бок с другим ребенком, и наблюдать за тем, что делает этот ребенок. Подумайте, с кем бы мог поиграть ваш малыш — быть может с кем-то из соседей или с детьми его возраста на площадке или в парке. Или, может быть, его брат или сестра составят ему компанию в его играх и занятиях. </p>

<p>Пусть дети расположатся рядом друг с другом, а вы разложите рядом несколько игрушек (достаточно, чтобы хватало обоим). Можете дать каждому ребенку несколько предметов и сказать что-нибудь вроде: «Смотри! Можете вместе поиграть. Видишь, твой друг стучит ложкой по кастрюле. А тебе что хочется делать?». Дети могут заниматься чем угодно, не обязательно взаимодействуя друг с другом, но они точно будут следить и интересоваться, что делает их сверстник. Пусть играют как хотят и во что хотят. Просто следите, чтобы все было безопасно, и предлагайте новые игрушки и предметы, показывая, как их можно использовать.</p>

<p><strong>Чему при этом учится ребенок: </strong>Это называется «параллельной игрой» — когда очень маленькие дети начинают играть рядом друг с другом, но в большинстве случаев каждый ребенок занимается своим делом. Они учатся наблюдая за другими, а иногда повторяя то, что делает ребенок рядом. Это самое начало совместных игры и дружбы — важнейших компонентов детства.</p>",12561,yes,parent,,6431,2946,1,by-ru,published
7341,Дети любят разговаривать со взрослыми,"<p><strong>Что понадобится: </strong>Ничего.</p>

<p><strong>В чем заключается игра: </strong>Детям нравится разговаривать со взрослыми. Каждый раз, когда у вас есть возможность, начинайте разговор, повторяя звук, издаваемый вашим ребенком (будь то слово, восклицание или просто какой-то звук). Затем подождите, дайте ребенку время отреагировать — повторить за вами или снова что-то произнести. Так у вас начнется разговор. Далее можете предлагать малышу новые слова и сочетания звуков, призывая его повторять за вами — например, «Муууу», «Корова мычит: мууу», «Давай, скажи муууу!». Всегда поддерживайте и хвалите ребенка, а затем, по возможности, изучайте другие звуки и слова — звуки дождя, шелест листвы, звук воды в ванной, звуки шагов по полу, дверного звонка...</p>

<p>Вы можете использовать это занятие где и когда угодно — во время игр и просто в свободное время, но также при повседневных делах — когда одеваетесь, готовите еду, умываетесь, делаете покупки, гуляете или едете куда-то. Кроме того, не забывайте постоянно разговаривать, читая или рассматривая книги: «Посмотри, а что делает девочка? А что здесь? Смотри, тут много собак. Интересно, как они лают?».</p>

<p><strong>Чему при этом учится ребенок: </strong><strong> </strong>Общаясь с вами, ваш ребенок учится использовать комбинации слов и узнает новые слова, обогащает свой словарный запас. </p>",10586,no,parent,,6441,2891,1,by-ru,published
7346,Давай разоваривать!,"<p><strong>Что понадобится:</strong> Ничего</p>

<p><strong>В чем заключается игра: </strong>Сейчас у ребенка быстро развиваются языковые навыки. Дайте своему ребенку дома как можно больше возможностей использовать звуки и слова для общения. Вы  все больше и больше понимаете друг друга! По возможности предоставьте вашему ребенку возможность общаться с другими людьми: бабушками и дедушками (лично или по видеосвязи), соседями или продавцами в магазинах. В какой-то момент ваш ребенок начнет пытаться что-то сказать этим людям. Помогите ему, задавая наводящие вопросы, например: «Смотри, сколько фруктов. Что нам купить?». Если ваш ребенок что-то произносит в ответ, повторите его слова, дополните и обратитесь к продавцу. Ситуации могут быть самыми разными. Ваш ребенок будет в восторге, когда почувствует, что его понимают и с ним общаются.</p>

<p><strong>Чему при этом учится ребенок: </strong>Ребенок развивает речевые и коммуникативные навыки. Он также более уверенно чувствует себя в социальном окружении. С вашей поддержкой он будет чувствовать себя еще более спокойно и комфортно в новых ситуациях.</p>",12566,no,parent,,6441,2876,1,by-ru,published
7351,Рисую на бумаге!,"<p><strong>Что понадобится: </strong>Мелок, карандаши или фломастеры (по возможности несколько); большие листы бумаги (может быть даже обои или обратная сторона каких-нибудь печатных материалов). </p>

<p><strong>В чем заключается игра: </strong>В этом возрасте большинство детей еще не умеют рисовать что-нибудь «реалистичное», но очень любят калякать по бумаге чем угодно. Возможно, он начал пробовать делать что-то на бумаге несколько месяцев назад, поэтому сейчас самое время еще больше поощрять его творчество. Не ограничивайте ребенка по времени, просто дайте ему большой лист бумаги на ровной твердой поверхности, и то, чем можно рисовать или писать. Малыш сам потянется за мелком или карандашом и начнет возить им по бумаге.</p>

<p>Пусть делает что и как захочет, и сколько угодно по времени. Можете рассказывать, что у него получилось: «О, смотри, как ты раскрасил это лист мелками. Тут вот большой круг, а вон там длинная-длинная линия!». Можете повесить результат творчества на стену, чтобы другие члены семьи тоже видели, чем сегодня занимался малыш.</p>

<p><strong>Чему при этом учится ребенок: </strong>Этот опыт — первые шаги к рисованию и письму. Ваш ребенок начинает лучше контролировать мелкие мышцы пальцев рук.  Еще он начинает осознавать связь между тем, о чем думает (провести длинную-длинную линию), и тем, что делают его пальцы. Кроме того, проговаривая, что делает ребенок и что вы видите, вы стимулируете его языковое развитие. </p>",12571,yes,parent,,6441,2821,1,by-ru,published
7356,Давай все соберем!,"<p><strong>Что понадобится: </strong>Любые мелкие предметы, которые вашему ребенку будет интересно собирать с пола, и контейнер, в который их можно бросать.</p>

<p><strong>В чем заключается игра: </strong>По мере того, как ваш ребенок становится старше, он будет начинать использовать для всех дел одну руку больше, чем другую. Не нужно отдельно учить ребенка пользоваться чаще правой или левой рукой. Лучше предлагайте самые разнообразные возможности делать что-то обеими руками. Одна из таких возможностей может стать игра — разбросать по полу разные небольшие предметы (главное — безопасные) и затем собирать их в корзину или небольшую коробку. Будьте рядом, следите за безопасностью (дети любят брать в рот мелкие предметы). Подсказывайте ребенку что нужно собирать предметы в контейнер и вынимать их. Можете тоже участвовать, говорите «И еще один кубик в корзину. А вот следующий. Теперь твоя очередь!». </p>

<p>Будет любопытно понаблюдать, делает ли ребенок все обеими руками в равной степени, или он чаще делает что-то правой или левой рукой. Можете понаблюдать за ним и на улице, когда он собирает прутики или листья, или дома, когда он пользуется чашкой или ложкой.</p>

<p><strong>Чему при этом учится ваш ребенок: </strong>Взаимодействие с различными предметами — это часть развития «мелкой моторики» — навыков, которые позже будут нужны, например, для того, чтобы держать ручку при письме. Каждый день делать что-то новое — это весело и важно. Эта игра также может способствовать развитию речи, если вы не забываете проговаривать названия предметов.</p>",12576,yes,parent,,6421,2816,1,by-ru,published
