ID,Title,Body,Cover_image,Equipment,Type_of_support,Child_age,Domain,Related_milestones,Mandatory_content,Translation_language,Moderation_state
7436,Pronađi dva ili tri!,"<p><strong>Potreban materijal: </strong>svakodnevni predmeti u vašem domu: kašike, odevni predmeti, knjige ili časopisi, bojice ili olovke.</p>

<p><strong>Šta možete zajedno: </strong>zajedno izdvojte „dve“ ili „tri“ stvari.  Na početku recite: „Pogledaj sve kašike.  Možemo li da nađemo dve iste kašike?  Oh, evo jedne , a evo i druge. To su dve kašike!“ Onda pozovite svoje dete da pronađe „još dve kašike“. Stavite ih zajedno.  Sledeći put osmislite drugačije, na primer sa jabukama — „Hajde da uzmemo dve jabuke, jednu za tebe i jednu za mene!“ </p>

<p>U zavisnosti od interesovanja i veštine vašeg deteta, možete da uključite veći broj objekata i brojite. Uvek uključite stvari koje vaše dete zanimaju i imaju smisao u svakodnevnom funkcionisanju. Aktivnost može biti deo dnevne rutine, kao što je priprema obroka — „Molim te pronađi tri šolje, jednu za tebe, jednu za mene, i jednu za baku.“  Vaše dete će možda uživati i u crtanju slike (na primer) dve jabuke.   Takođe možete tražiti „dva“ ili „tri“ različita predmeta u časopisu i, ako je stari časopis, možete da isećete slike i da ih zajedno zalepite na papir.</p>

<p><strong>Šta vaše dete uči:  </strong>Vaše dete počinje da uči i razume značenje broja - ne samo prostim brojanjem, već povezivanjem sa stvarnim objektima iz okruženja.  Uključivanjem ove aktivnosti u svakodnevni život, pomažete vašem detetu da postane radoznalo i i da razvija naklonost ka matematici, čak i u ovako ranom uzrastu.  Istovremeno, vaše dete uči o tome kako objekti mogu da se grupišu ili ""da pripadaju“ istoj grupi po nekom svojstvu — sortiranje i klasifikovanje. </p>",12641,yes,parent,,6436,6986,1,xk-rs,review_after_translation
7441,Zamisli da je tvoj krevet...,"<p><strong>Potreban materijal: </strong>Ništa</p>

<p><strong>Šta možete zajedno: </strong>Dok deca sede na krevetu, podstičite ih da razmišljaju i maštaju o tome šta bi krevet još mogao da bude? Parni voz ili avion? Gliser u misiji spasavanja?! Gde putuju i šta sve vide na tom putu?</p>

<p>Mogu da se kriju ispod pokrivača i pretvaraju da su veštice u pećini, u kojoj prave tajni napitak. Ili su možda na izletu u tamnoj šumi?!</p>

<p>Da bude interesantnije, dodajte nekoliko igračaka i rekvizita koji će da podignu nivo uzbuđenja i avanture! Neka njihova mašta nabuja...</p>

<p>Uključite u igru pogađanje. Dok jedan igrač (ili igrači) mašta na krevetu, drugi pogađa šta sadrži zamišljeni scenario/avantura.</p>

<p><strong>Šta vaše dete uči:  </strong>Deca imaju bezgraničnu maštu i mogu da osmisle igru iz svega i u svakom trenutku! Probajte ovu aktivnost kada je pred vama kišni dan.</p>",12016,no,parent,,6441,6996,1,xk-rs,review_after_translation
7446,Šta se desilo?,"<p><strong>Potreban materijal: </strong>ništa vam nije potrebno. Ponekad možete da na osnovu neke fotogafije započnete sa vašim detetom razgovor o tome kako je doživelo trenutak koji je zabeležila fotografija (poput rođendana) ili da se na taj trenutak vratite preko nekog predmeta koji na njega podseća (poklon, poseta, hrana koju ste doneli sa pijace i sl.)</p>

<p><strong>Šta možete zajedno: </strong>Svaki dan vodite prijatne razgovore sa detetom. U ovom dobu vaše dete mnogo više razgovara i verovatno se raduje kada vidi da vas interesuje šta ono ima da vam kaže. Kada je situacija mirna u kući, podstaknite dete da se seti i opiše nešto što se dogodilo tog dana ili nedavno. Možete započeti sa: „Oh, sećaš li se naše poseta baki jutros? Tako si se dobro proveo/la. Šta si radio/la tamo? "" Zaista obratite pažnju na opis deteta (bez telefona!). Ako ona ili on kaže nešto poput „Pojeo ručak“, mogli biste da podstaknete više opisa: „Da, šta ste jeli? U čemu si uživao/la? "" i „Šta smo još radili? Sećam se da ste se igrali sa mačkom.“ Primetićete da detetove priče o ovakvim aktivnostima počinju da postaju sve duže i složenije kako vreme prolazi.</p>

<p><strong>Šta vaše dete uči: </strong>Ova aktivnost je odlična za razvoj rečnika. Koristeći veći broj reči, dete gradi jaku osnovu za kasnije čitanje. Prisećanje o događajima i stvarima iz prošlosti, stimuliše  razvoj mozga. Toliko su važne emocionalne relacije/veze koje vi i vaše dete uspostavljate kroz ove svakodnevne razgovore, razmenu iskustava i uspomena.</p>",12646,no,parent,,6441,7001,1,xk-rs,review_after_translation
7451,Rime i brojalice,"<p><strong>Potreban materijal: </strong>Ništa</p>

<p><strong>Šta možete zajedno: </strong></p>

<p>Korak 1</p>

<p>Pevajte neku dečiju pesmu, kao što je „Prste ima ruka svaka“ ili „Kad si srećan“. Ponavljajte pesmu uz pljeskanje i smeh!</p>

<p>Korak 2</p>

<p>Ima mnogo brojalica i ritmičnih nizova reči koje možete nabrajati sa vašim detetom. Podstaknite dete da samo pravi svoje nizove.....U fazi progovaranja deca mogu da kreiraju i svoju sopstvenu brojalicu. Podržite ih u tome!</p>

<p><strong>Šta vaše dete uči:  </strong>Ova aktivnost je odlična za razvoj govora i sluha. Jednostavne rime pomažu deci da izgovaraju reči i grade fonemsku svest kroz ponavljanje težih glasova. Aktivnost takođe podstiče decu da pažljivo slušaju dok drugi govore, jer rime često imaju narativni niz, što znači da deca moraju da ga sa pažnjom prate, kako bi razumeli i znali da nastave kada dođe njihov red! Ova igra je odlična i za razvijanje društvenih veština - kao što su čekanje svog reda i slušanje drugih.</p>",12651,no,parent,,6441,7006,1,xk-rs,review_after_translation
7456,Ćestitka za druga/drugaricu,"<p><strong>Potreban materijal: </strong>papir (običan ili u boji), olovke, bojice ili flomasteri; bilo koji drugi materijal za ukrašavanje čestitke (komadi vunice, nalepnice, slike iz časopisa itd.)</p>

<p><strong>Šta možete zajedno: </strong>aktivnost u kojoj zajedno pravite čestitku za člana porodice ili nekoga drugog, podstiče vaše dete na pisanje prvih slova. Ideja može nastati iz različitih situacija: na primer ako se drugar iz komšiluka razboleo, iskoristite to kao priliku da mu napravite čestitku sa porukom. Predložite detetu: „Hajde da napravimo čestitku da mu/joj poželimo da što pre ozdravi! “ Nađite mesto za rad. Pitajte dete: „Šta želiš da kažeš svom drugaru/drugarici?“ Zapišite šta dete želi da kaže na poseban papir pa zamolite dete da neku reč i samo napiše u čestitku. U ovom uzrastu to može biti samo nekoliko slova ili možda ime vašeg deteta. Kako god da napiše, pohvalite: „Tvoj drugar/ica će biti jako srećan/na kada vidi ovo što si ti napisao/la! Da li šeliš nešto i da nacrtaš? "" Prilagodite očekivanja detetovim veštinama i interesovanjima. Pojednostavite zadatak ali učinite da postane rutinska aktivnost (možda i sami napravite čestitku kojom ćete da iznenadite svoje dete!).</p>

<p>Spiskovi za kupovinu mogu biti još jedan način da podstaknete početno pisanje - vi zapišite neku stvar a dete zamolite da i ono napiše tu reč, ili da nacrta ili da napiše nešto drugo.</p>

<p><strong>Šta vaše dete uči: </strong>Ovo je jedna od mnogih aktivnosti koje mogu pomoći vašem detetu da nauči da piše. Vidi svrhu pisanja, vidi da može da priušti zadovoljstvo drugome i vidi da pisanje može da bude prijatna aktivnost. I naravno, ova aktivnost podstiče i dečiju kreativnost.</p>",12656,yes,parent,,6441,7011,1,xk-rs,review_after_translation
7461,Mesto za igru,"<p><strong>Potreban materijal: </strong>2 šolje brašna, ½ šolje soli, 2 kašike majoneza/tartar sosa, 2 kašike biljnog ulja, boje za hranu, 1 do 1½ šolje tople vode, činija, mutilica.</p>

<p><strong>Šta možete zajedno: </strong>Da li znate da napravite testo za igru kod kuće? To je jeftin jednostavan i bezbedan način da se zabavite! Možete ga napraviti u različitim bojama, sa šljokicama ili čak sa mirisima - za što bolje čulno iskustvo. Testo je univerzalno, može da se koristi za različita iskustva učenja — i nikada ne dosadi!</p>

<p> Korak 1</p>

<p>Pomešajte brašno, so, majonez i ulje u posudi za mešanje.</p>

<div alt=""Illustration of How to make playdough Step 1"" data-embed-button=""media_browser"" data-entity-embed-display=""media_image"" data-entity-type=""media"" data-entity-uuid=""5e844cdc-8e19-4687-a718-353362827e06"" data-langcode=""en"" title=""how-to-make-playdough-step1.png"" class=""embedded-entity"">  <img src=""/sites/default/files/2021-05/how-to-make-playdough-step1.png"" alt=""Illustration of How to make playdough Step 1"" title=""how-to-make-playdough-step1.png"" typeof=""foaf:Image"" />

</div>


<p>Korak 2</p>

<p>Ako želite da ostane u boji testa ne morate ništa da dodajete, a ako želite da imate obojeno testo, pre nego što pređete na naredne korake, dodajte boju za hranu u toplu vodu. To je najbolji način da boja testa bude konzistentna.</p>

<div alt=""Illustration of How to make playdough Step 2"" data-embed-button=""media_browser"" data-entity-embed-display=""media_image"" data-entity-type=""media"" data-entity-uuid=""edc548fe-29e5-468d-b8a0-a25293552734"" data-langcode=""en"" title=""how-to-make-playdough-step2.png"" class=""embedded-entity"">  <img src=""/sites/default/files/2021-05/how-to-make-playdough-step2.png"" alt=""Illustration of How to make playdough Step 2"" title=""how-to-make-playdough-step2.png"" typeof=""foaf:Image"" />

</div>


<p>Korak 3</p>

<p>Polako dodajte vodu u posudu za mešanje malo po malo. Mešajte dok se ne sjedine sve mase i testo ne postane konzistentno.</p>

<div alt=""Illustration of How to make playdough Step 3"" data-embed-button=""media_browser"" data-entity-embed-display=""media_image"" data-entity-type=""media"" data-entity-uuid=""50241dac-de72-451f-a7a0-92ddc5e88f12"" data-langcode=""en"" title=""how-to-make-playdough-step3.png"" class=""embedded-entity"">  <img src=""/sites/default/files/2021-05/how-to-make-playdough-step3.png"" alt=""Illustration of How to make playdough Step 3"" title=""how-to-make-playdough-step3.png"" typeof=""foaf:Image"" />

</div>


<p>Korak 4</p>

<p>Mijesiti testo snažno dok se ne izgubi lepljivost. Ako je još uvek malo lepljivo, možete dodati još malo brašna da biste dobili savršenu konzistenciju.</p>

<div alt=""Illustration of How to make playdough Step 4"" data-embed-button=""media_browser"" data-entity-embed-display=""media_image"" data-entity-type=""media"" data-entity-uuid=""aa14325b-b554-40a6-8756-e32edd4b5db6"" data-langcode=""en"" title=""how-to-make-playdough-step4.png"" class=""embedded-entity"">  <img src=""/sites/default/files/2021-05/how-to-make-playdough-step4.png"" alt=""Illustration of How to make playdough Step 4"" title=""how-to-make-playdough-step4.png"" typeof=""foaf:Image"" />

</div>


<p>Korak 5</p>

<p>Ako želite da imate testo u nekoliko boja i mirisa, podelite testo na jednake delove u zavisnosti od toga koliko vrsta želite. Stavite umešeno testo u male kese i dodajte još nekoliko kapi boje, mirisa ili sjaja. Što više to interesantnije. Mesiti testo unutar kese, tako da ne bojite ruke. Umesite ga dobro da postane glatko.</p>

<div alt=""Illustration of How to make playdough Step 5"" data-embed-button=""media_browser"" data-entity-embed-display=""media_image"" data-entity-type=""media"" data-entity-uuid=""3827c2a7-97a4-40e4-8996-18d0681f3063"" data-langcode=""en"" title=""how-to-make-playdough-step5.png"" class=""embedded-entity"">  <img src=""/sites/default/files/2021-05/how-to-make-playdough-step5.png"" alt=""Illustration of How to make playdough Step 5"" title=""how-to-make-playdough-step5.png"" typeof=""foaf:Image"" />

</div>


<p>Čuvajte testo u zatvorenoj kutiji ili kesi sa rajferšlusom (istisnite vazduh) da biste mu očuvali svežinu mesecima! Čuvajte na hladnom i suvom mestu.</p>

<p><strong>Šta vaše dete uči:  </strong>U ovoj zabavnoj aktivnosti, vaše dete razvija fine motoričke veštine koristeći prste i ruke. Dok uči ono se mnogo i zabavlja.  </p>",11966,yes,parent,,6436,7016,1,xk-rs,review_after_translation
7466,Koje sad na redu?,"<p><strong>Potreban materijal: </strong>Bilo koja jednostavna igra sa pravilima (karte) ili igra na tabli (kupljena ili u kućnoj izradi). Koristite ili karte koje imate (možda manje, sa parovima brojeva) ili napravite svoj set. Možete samo nacrtati parove jednostavnih oblika ili slika (dve ptice, dve mačke itd.). Bilo koja druga jednostavna igra sa pravilima u kojoj vaše dete uživa - u zatvorenom ili na otvorenom. Možete igrati i neku od tradicionalnih igra iz vašeg detinjstva.</p>

<p><strong>Šta možete zajedno: </strong>Igrajte igru zajedno na bilo koji način na koji vaše dete uživa. Otkrićete da vaše dete možda sledi neka od pravila, ali druga je lako zaboraviti. To je u redu! Dok igrate, smenjivaćete se: „Oh, premestili ste svoj igrački komad za tri mesta. Sada je moj red. "" Ili „Sjajno! Pronašli ste dve kartice sa slikama mačaka. Sad je moj red da biram. “ Koristite reči „vaš red“ i „moj red“ dovoljno često da detetu date ideju. Možete se zapitati „Čiji je red sada? Hvala vam! "" Učinite iskustvo igranja društvene igre prijatnim, ne ističući „pobednika i gubitnika“, već zabavu igranja zajedničke igre.</p>

<p>Vaše dete će uživati u bilo kojoj jednostavnoj igri ako se igra sa vama!</p>

<p><strong>Šta vaše dete uči: </strong>sa uzrastom deteta povećava se broj situacija u kojima dete mora da poštuje pravila (u vrtiću, u školi, na igralištu, u prodavnici, kod lekara itd.). Ova igra je prilika da se u zaštićenim okolnostima vežba strpljenje i da se dete upoznaje polako sa ovom vrstom iskustava. Iniciranje je važan korak u kognitivnom i socijalnom razvoju dece, a ova aktivnost je jedan od načina da se inicijativa vežba.</p>",12661,yes,parent,,6436,7021,1,xk-rs,review_after_translation
7471,Lopte u kutiji,"<p><strong>Potreban materijal: </strong>lopte različitih veličina (to mogu biti sun]eraste, od čarapa ili novina); kartonska kutija veća od najveće lopte.</p>

<p><strong>Šta možete zajedno: </strong>Podesite igru zatvorenom prostoru (ako su lopte meke) ili  otvorenom (gumene lopte). Pozovite svoje dete da pokuša da baci loptu u kutiju. Počnite tako što ćete pokazati detetu kako da to uradi, i na početku stojite vrlo blizu kutije. Kako vaše dete postaje bolje u bacanju, povećavajte izazov povežanjem razdaljine. Probajte ovo sa različitim veličinama lopti. Vaše dete će uživati u igri.  Ako je vaše dete zainteresovano, brojte koliko je puta ubacilo dete loptu u kutiju.  </p>

<p><strong>Šta vaše dete uči: </strong>Vaše dete razvija svoje fizičke veštine, uči kako da kontroliše svoje pokrete da postigne precoznost u bacanju.  Razvoj kompetencije u ovoj veštini pomaže izgradnji samopouzdanja. Ako dodate brojanje pogodaka u igru, vaše dete će takođe poboljšati svoje rane matematike sposobnosti.</p>",12666,yes,parent,,6436,7026,1,xk-rs,review_after_translation
7476,Dokle dobacujemo?,"<p><strong>Potreban materijal: </strong>Jedna ili više lopti (ako nemate loptice, možete ih napraviti od zgužvanog papira ili čarapa); veća kartonska kutija; meta za gađanje (na primer, štap na zemlji)</p>

<p><strong>Šta možete zajedno: </strong>Pozovite svoje dete na igru: „Možeš li udariš loptu?  Dobro!  Sada pokušajmo nešto teže.  Možeš li odavde da ubaciš loptu u kutiju? (kutiju okrenite ka vama sa otvorom prema detetu). Samo koristite noge. Pokušaj ponovo, nije lako!  Možda možeš da se primakneš bliže.“ Predloge uskladite sa veštinama i interesovanjima vašeg deteta.  Pojačajte izazov: „Sada hajde da probamo nešto drugačije. Možeš li odavde da baciš loptu, sve do  štapa? Vau, to je dobar udarac!“</p>

<p><strong>Šta vaše dete uči: </strong>ove i slične aktivnosti pomažu vašem detetu da nauči da kontroliše svoje pokrete. Takođe, razvija sposobnost razmišljanja, jer planira kojom snagom da udari loptu, ili iz kog ugla, tako da lopta završi u kutiji.</p>",12671,yes,parent,,6436,7031,1,xk-rs,review_after_translation
7481,Crtanje kredom,"<p><strong>Potreban materijal: </strong>džinovske krede </p>

<p><strong>Šta možete zajedno: </strong>Obezbedite džinovske krede u različitim bojama. Deca će najverovatnije znati tačno šta žele da crtanje i gde, ali evo nekoliko ideja za početak:</p>

<ul>
	<li>Ako imate asfaltirani prilaz ili dvorište, popunite svaku ploču drugom bojom.</li>
	<li>Nacrtajte krstiće na nekim pločama i uvedite pravilo da se hoda samo po pločćama bez krstića.</li>
	<li>Nacrtajte zajedno mrežu, onda se zabavite skakanjem i preskakanjem!</li>
	<li>Smenjujte se kroz lavirint koji vodi do cvetnih gredica i saksija.</li>
	<li>Neka deca legnu na zemlju i kredom opcrtaju svoja tela (jedni drugima pomažu). Zatim mogu da ustanu i dovrše sliku crtanjem kose, lica i odeće.</li>
</ul>

<p>Ohrabrite decu da se igraju napolju, crtajte kredama pred kišu i onda posmatrajte kako kiša spira crteže od krede!</p>

<p><strong>Šta vaše dete uči</strong>:  Crtanje kredom omogućava deci da istražuju osećaj slobode. Takođe pomaže razvoju fine motorike — savršena priprema za školu!</p>",12676,yes,parent,,6436,7036,1,xk-rs,review_after_translation
