ID,Title,Body,Cover_image,Equipment,Type_of_support,Child_age,Domain,Related_milestones,Mandatory_content,Translation_language,Moderation_state
7176,Балаңызга өзүн-өзү сооротууга жардам берүү,"<p><strong>Сизге керектүү материалдар: </strong>Сиз, адатта, балаңыздын бешигине же ал жаткан жердин жанына коюла турган буюмдар.</p>

<p><strong>Бирге эмне кылсаңыз болот: </strong>Балаңыз кыжалат болуп турганда, анын жанында болуу дагы деле болсо маанилүү.  Бирок, балаңыздын өзүн-өзү жок дегенде кыска мөөнөткө тынчыта баштаганын байкайсыз.  Коопсуз заттар ага жакын жерде экенине ынанып, балаңызга өзүн-өзү сооротууга жардам берсеңиз болот.  Мисалы, балаңыз силкилдеткенди жактырган жумшак оюнчугу жанындабы?  Ымыркайга көргөнгө оңой болгон түстүү мобилдик телефон же сүрөт барбы?  Эгер балаңыз колдорун соруп соороно алса, анын колдору ал соро алгандай абалдабы? Балаңыздын жанына дароо бараардан мурун, бир азга токтоп, карап көрүңуз, балаңыз өзүн кыска мөөнөттө тынчтандырып же сооротуп баштадыбы же жокпу.   </p>

<p><strong>Балаңыз эмнени үйрөнүп жатат:  </strong>Ымыркай бир нерсени жакшыраак жасаганга сизден көз каранды экендигин билет.  Балаңыз ошондой эле өзүн тынчтандыруу үчүн бир нерсе кыла алаарын үйрөнүп жатат.  Өзүн -өзү тынчтандыруу - бул азыртадан баштап үйрөнө турган, жана жакынкы айларда жана жылдарда өнүктүүчү маанилүү нерсе.  Адаттагыдай эле, сиздин сүйүү менен колдооңуз абдан маанилүү. </p>",11801,yes,parent,,6431,2566,0,kg-ky,published
7181,Ымыркайды кызыктыруу ,"<p><strong>Сизге керектүү материалдар: </strong>Ымыркай көбүнчө жактырган кадимки эле буюмдар же ойной турган нерселер. </p>

<p><strong>Бирге эмне кылсаңыз болот: </strong>Ушул куракта балаңыз ""мен тажадым"" же ""мага жагып жатат, токтобоңуз!"", деп айта албайт. Кичинекей балаңыздын абалын байкап, балаңыз жаңы бир нерсени көрүүгө же жасоого кызыгып жаткандыгын билсеңиз болот. Балаңыз ызы-чууну башташы же мурун кызыккан нерсесинен баш тартышы мүмкүн. Же ал жөн гана башка жерге же башка калыпка которулушту каалап жаткан болушу мүмкүн.  </p>

<p>Балаңызды кызыктырууга, сергек кармоого жана канааттандыруу үчүн бир нече нерсени жасап көрүңүз. Сиз балаңызды эң жакшы билесиз. Балким, колго алган жаңы буюм аны бир аз көпкө суктандырат.  Же балаңызды көтөрүп, бир аз басып, бөлмөнүн башка бөлүктөрүн кыдырып көрсөңүз болот. Же, балким, ""курсакта жатуу убактысы"" жетиштүү болуп, балаңыз бир нерсени карап, чалкасынан жатууну каалап жаткандыр. </p>

<p>Ар бир мүнөт сайын башка иш-аракеттерди жасоонун кажети жок, жөн гана балаңыздын сигналдарына көңүл буруп, бир азга азыраак же бир азга көбүрөөк өзгөрүүлөрдү жасап, стимулдаштыруу балаңызды ыраазы кылып, кызыгуусун жаратышы мүмкүн. </p>

<p><strong>Балаңыз эмнени үйрөнүп жатат: </strong> Балаңыз ары-бери басып же сүйлөй электе эле, балаңыз сизге ага эмне керек экендигин айтуунун жолдорун билет. Кароо же кармоо үчүн турган буюмдардагы жөнөкөй өзгөрүүлөр же ымыркайдын абалындагы кичинекей өзгөрүүлөр ага жаңы билим алуу мүмкүнчүлүктөрүнө жол ачат. Убакыттын өтүшү менен, сизге жана балаңызга билим алууга эмне убакыт бергенин түшүнөсүз.</p>",12486,yes,parent,,6436,2586,1,kg-ky,published
7186,Элестетип ойноо,"<p><strong>Сизге керектүү материалдар: </strong>Эч кандай.</p>

<p><strong>Бирге эмне кылсаңыз болот: </strong>Балаңыз нааразы болгон учурда кандайдыр бир жол менен жооп бериңиз. Чыныгы кичинекей ""сүйлөшүү"" болсун - наристе менен жумшак үн менен сүйлөшүңүз, сүйлөшүп жатканда аларга жылмайыңыз; сүйлөшүү учурунда, маал-маалы менен бир аз тыныгуу жасап, балаңыздын катышуусуна мүмкүнчүлүк бериңиз; ымыркай жөнөкөй үндөрдү чыгара баштайт. Жогорку же төмөн тон менен сүйлөңүз, шыбырап, ырдап көрүңүз. Муну бала менен кезектешип жасаңыз. Ал чыгарган үндөрдү кайталаңыз.  </p>

<p>Ымыркайды сиз менен бетме-бет коюңуз - сиз ошол үндөрдү чыгарганда, бала сизди карап турат. Бул абалда жаткан бала сиздин жүзүңүздүн өзгөрүшүн көрө алат (чоң жылмаюу, созулган тил, кең көз, көтөрүлгөн каш, өйдөңкү жаактар же үйлөө). Ымыркайды байкап, сөздөрдүн айрымдары аны чочутуп жаткандыгын байкасаңыз, бетиңизди тез өзгөртүп, бир аз убакыттан кийин жумшак мимика менен дагы бир жолу аракет кылып көрүңүз. Ар бир ымыркай ар кандай экендигин жана ар кандай кабыл алаарын унутпаңыз.  Бул оюнда, балаңызга сизди көрүп, туурап, жаңы бет мимикасын жаратууга мүмкүнчүлүк берүү үчүн, бир азга экспрессия кармаңыз. Бала жасаган ишти кайталаңыз. </p>

<p>Дагы бир идея - наристеге чүпүрөк куурчакты көрсөтүү же жөн эле манжаңызга кичинекей байпак кийгизүү. Куурчакты кыймылдатып же байпакты куурчактай өйдө-ылдый жылдырганда баланын атын атаңыз. Ымыркай ошол кыймылдын артынан ээрчип карап жаткандыгын текшериңиз. Андан кийин манжаңызды кыймылдатыңыз. Куурчактын кыймылын байкаган балаңызды көргөн сайын, жаңы кыймыл жасап көрүңүз. </p>

<p>Булар памперсти алмаштырганда абдан ыңгайлуу, бирок аны бала менен өткөргөн каалаган учурда колдонсо болот.</p>

<p><strong>Балаңыз эмнени үйрөнүп жатат:  </strong>Бул этапта, наристени эң көп кызыктырган мыкты оюнчук - сизсиз! Сиздин жүзүңүз, үнүңүз, колдоруңуз, денеңиз. Ымыркайыңыз сиз менен баарлашууну үйрөнөт жана адамдардын жүздөрүн кылдат жана деталдуу байкайт, көздүн узак контактысын сактайт.</p>",10571,,parent,,6441,2616,1,kg-ky,published
7191,Изилдөө жана буюмдарды табуу оюну,"<p><strong>Сизге керектүү материалдар: </strong>Каалаган сүйүктүү оюнчуктар, жалаяктар, шарф, кагаз сүлгү, кездемеден сумка же баштык, кичинекей желим бөтөлкөлөр, ар кандай уруктар жана майда буюмдар.</p>

<p><strong>Бирге эмне кылсаңыз болот: </strong>Буюмдарды жашырып жана издеп ойноо. Балаңызга буюмду жууркан, жалаяк же жаздыктын астына катып жатканыңызды көрүүгө уруксат бериңиз. Эгер бала катылган нерсени таба албай жатса, кийинки жолу аны жарым-жартылай жаап коюңуз. Балага буюмду табууга жардам бериңиз.</p>

<p>Кичинекей оюнчукту кагаз сүлгү же кездемеге бош кылып ороп коюңуз (скотчту колдонбоңуз). Бала оролгон нерсени жайып, сюрприз таба алат. Ошондой эле ачык түстүү жана шылдыраган башка жумшак кагаздарды же орой турган кагаздарды колдонсоңуз болот. Оюнчукту жука салфеткага, кездемеге же жалаякка ороп койсоңуз дагы болот. Дагы бир идея - бала эртең менен таба турган сюрприз сумканы жасоо. Кагаздан же кездемеден жасалган баштыкка төмөнкүдөй буюмдарды же ушул сыяктуу башка буюмдарды толтуруңуз: жумшак оюнчук, үн чыгаруучу нерсе, бурама капкагы бар кичинекей желим идиш же картон барактары бар китеп. Балаңызды ""сыйкырдуу баштыкты"" изилдөөгө үндөңүз.  Буюмдардын коопсуздугун текшерип, жакшы көзөмөлдөңүз.</p>

<p>Башка идея - жумшак оюнчук же куурчак менен ""ролдуу оюндарды ойноо"". Балага куурчак эмне кылып жаткандыгын көрсөтүп, айтып бериңиз (басып жатат, уктоого камынууда, тамактанып жатат, столдун жанында ойноп отурат). Куурчактын жасап жаткан иштерин сүрөттөө үчүн сөздөрдү колдонуңуз, балким, куурчактын үнүн туурасаңыз болот - сиз үчүн жана балаңыз үчүн кызыктуу нерселердин бардыгын жасаңыз.  Балага ошол оюнчукту берип, ал куурчакты кыймылдатып, сиздин кылганыңызды кайталаганын караңыз.  Эгер балаңыз бул оюнду жактырса, кезектешип кайра ойноңуз!</p>

<p>Балдар үн чыгаруучу жана ызы-чуу чыгарган нерселер менен ойногонду жакшы көрүшөт. Эгер убактыңыз болсо жана материалыңыз болсо, анда баланын колуна бата тургандай кылып, темир билериктерди жипке тизип, бир топ татаал шылдыракты жасай аласыз.  Ошондой эле кичинекей желим бөтөлкөлөрдү (балдар ача албаган капкактары менен) үнү ар башка болгон нерселер менен толтурсаңыз болот, мисалы, шариктер, күрүч, туз, жүгөрү даны ж.б.  Эгер сиз ушуну жасасаңыз, анда коопсуздук үчүн капкакты бекем жаап, баланы үндөрдү изилдөөгө үндөңүз.</p>

<p>Бул иш-аракетти бош убактыңыз болгондо колдонсоңуз болот, аны балаңыз менен жөнөкөй оюн катары пайдаланыңыз.  Эгерде улуу бир туугандары болсо, аларды үй-бүлөнүн эң кичүү мүчөсү менен ушул сыяктуу оюнду ойноого чакырыңыз.  </p>

<p><strong>Сиздин балаңыз эмнени үйрөнүп жатат:</strong> балаңыз жаңы буюмдарды же адамдарды, кармоо жана алар менен ойноо аркылуу тааный баштайт. Бул иш-чаралар алардын моторикалык жана сезүү жөндөмдөрүн өрчүтүүгө жардам берет.</p>",9246,yes,,,6436,2626,1,kg-ky,published
7196,Полдун үстүндө ойнолуучу оюн,"<p><strong>Сизге керектүү материалдар: </strong> Жер төшөк же жууркан, сүйүктүү оюнчуктар, шылдырактар.  </p>

<p><strong>Бирге эмне кылсаңыз болот: </strong>Баланы сиз анын бутуна жете тургандай кылып жайгаштырыңыз. Буту жана манжалары менен акырын ойноп, аны акырын кытыгылаңыз. Ымыркайдын манжасына бир-бирден тийип, ошол эле учурда: ""Бул манжа ... кичинекей баш бармак / апасынын / атасынын манжасы"" деп ар бир манжа тууралуу айтыңыз. Ымыркай чалкасынан жатканда, баланын жанына же артына үн чыгаруучу (эгер сизде бар болсо) оюнчукту коюңуз. Ымыркай үн чыккан жакты издеп жаткандыгын текшерип туруңуз.  Же шылдыракты же төө буурчак салынган кумураны акырын силкип, ымыркай аны издеп жаткандыгын байкап көрүңүз.</p>

<p>Жумшак тегиз жерде, керебетте же жуурканда, чалкасынан жатканда аны менен сүйлөшүп жатып, баланын колун жана манжаларын акырын таптаңыз же укалаңыз - мисалы, ""Мына сенин колуң; мына сенин манжаларың"", деп ага эмне кылып жатканыңызды айтып бериңиз. Же анын колун сылап жатып, назик ыр ырдап койсоңуз болот.  Дагы бир идея - жөнөкөй оюнчукту, ымыркай көрө турган жерге койсоңуз болот, бирок ал ага жетпейт.  Ал аракет кылабы?  Оюнчукту бала карап жатканда кыймылдатып койсоңуз болот.  Бала чоңойгон сайын, оюнчукка жетүү үчүн балаңызды оодарылууга үндөсөңүз болот.</p>

<p>Ымыркай чоңойгон сайын ""жердеги убакыт"" жөнүндө көптөгөн идеялар бар!  Килемдин үстүнө жууркан же сүлгү жайып, башын бир жакка буруп тургандай кылып, баланы курсагына жаткырыңыз. Ымыркайды кубаттап туруу үчүн анын жанына жатыңыз. Ымыркай каалаган убакытка чейин ушул абалда боло алат, бирок анын башы солго жана оңго бурулуп, болжол менен бирдей убакытта турушу керек. Кайра, баланын алдына сүйүктүү оюнчуктарды же буюмдарды койсоңуз болот, бирок алар кичинекей баланын колуна жетпейт. Балаңыз чоңойгон сайын,аны аларга жетүүгө жана алардын багытында жүрүүгө аракет кылууга үндөңүз.</p>

<p>""Курсакта жатуу убагы"" физикалык өнүгүү үчүн маанилүү.  Балаңыздын курсагында жаткан убактысы күн сайын бир аз узагыраак болуп турушу керек. Ымыркайды байкап туруңуз, эгерде ал бетин жерге түз  буруп алса, баланы акырын кыймылдатыңыз, анткени дем алуусу кыйындашы мүмкүн. Убакыт өткөн сайын күчтөнгөн сайын, бала башын көтөрүп, колу менен түртүнүп бир аз көтөрүлө алат.  Бул кыймылдар кийин тоголонууга жана жөрмөлөгөнгө өсөт.</p>

<p><strong>Балаңыз эмнени үйрөнүп жатат:  </strong>Бул жөнөкөй оюндарды колдонуп, балаңызга жагымдуу, кубанычтуу шарттарды түзүп бере турган сонун шарттар. Бул оюндардын учурунда балаңыз денесинин жана башынын кыймылын изилдөөнү жана башкарууну үйрөнөт. Ымыркай башын көтөрүп, колдору менен өзүн көтөрө алат.  </p>",446,yes,,,6421,2656,1,kg-ky,published
7201,"Карачы, колдоруң менен эмне жасай аласың!","<p><strong>Сизге керектүү материалдар: </strong>Эч нерсе</p>

<p><strong>Бирге эмне кылсаңыз болот: </strong>Ушул жашта балаңыз өз колун байкап жатат. Ал аларды карайт (булар эмне?), ошондой эле колдору менен оозун таба баштайт. Балаңызга мындай өнөрдү үйрөтүүнүн кажети жок, бирок сиз күн сайын ушул жаңы билимге ар тараптан түрткү бере аласыз. Күндүн көпчүлүк бөлүгүндө ымыркайдын колдору бош жүргөндүгүн текшериңиз. Памперсти өзгөртүү, кийинтүү жана жуунтуу убактысы балага жакшы мүмкүнчүлүктөр болушу мүмкүн. Көбүнчө ымыркайыңызды колдорун көрүп, башкарууну жеңилдете турган абалда коюңуз. Балаңыз андай «амалды» тапканына аябай сүйүнгөндөй сезилет.  Көңүл буруңуз жана ушул байланышты түзүүдөгү канааттануу менен бөлүшүңүз. </p>

<p><strong>Балаңыз эмнени үйрөнүп жатат:  </strong>Бул балаңыздын дененин ар кайсы бөлүктөрүндөгү кыймыл-аракеттерин башкара билүүсүндөгү маанилүү кадам. Ошондой эле, ымыркайыңыз оозун манжалары менен байланыштырганда, тийүү сезими жана даам сезими өнүгөт.<strong>  </strong></p>",12491,no,parent,,6436,2666,0,kg-ky,published
7206,Жашырылган буюмдарды издөө,"<p><strong>Сизге керектүү материалдар: </strong>Үйдөгү бала үчүн коопсуз жана жагымдуу болгон бир нече жумшак оюнчуктар же буюмдар.  </p>

<p><strong>Бирге эмне кылсаңыз болот: </strong>Балаңызды көкүрөгүнө килемдин же башка жумшак жердин үстүнө жаткырыңыз. Балаңыздын жүзүн көрүп, анын коопсуздугун көзөмөлдөй турган абалда отуруңуз. Ымыркайдын бир (сол же оң) капталына бир нече оюнчуктарды анын колу жетпеген жерге, бирок ал көрүп тургандай кылып коюңуз. Аларды байкап калышын күтүп туруңуз же анын көңүлүн таң калган үн менен буруңуз ( ""Аааа, бизде эмне бар мында ?!""). Буюмдардын бирине жетүү үчүн, балаңыздын оодарылылышын күтүңүз. Эгер ымыркай өз алдынча аракет кылбаса, анда буюмдарга жетиши үчүн, анын курсагынан аркасына оодарылышына жардам бериңиз. Аны шыктандыруучу  үн менен, кең жылмайып кубаттаңыз. Ал кызыкдар болбой калганда, башка жакка карап же нааразычылыгын билдиргенде - бул иш- аракетти толугу менен башка буюмдар аркылуу кайталаңыз.</p>

<p><strong>Балаңыз эмнени үйрөнүп жатат:  </strong>Сиздин ымыркай буюмдарды карап, колунан колуна жылдырып, тийип, оозуна салып изилдөөгө мүмкүнчүлүк алат.</p>

<p> </p>

<p> </p>",10601,yes,parent,,6436,2691,1,kg-ky,published
7211,Бул эмне жана ал кандайча аталат?,"<p><strong>Сизге керектүү материалдар: </strong> Ар кандай китептер, журналдар, каталогдор, белгилер, тамгалар жана сөздөр же башка белгилер камтылган жана кызыктуу баарлашууга үндөгөн нерселердин бардыгы.</p>

<p><strong>Бирге эмне кылсаңыз болот: </strong>Балаңыз бир нече айлык болгондон баштап, аны тамактандырганда, памперсин алмаштырганда, колуңузга көтөрүп турганда же төшөктө сиздин жаныңызда же болбосо коляскада жатканда, жай баракат ал менен сүйлөшүңүз. Ал бардык сөздөрдү түшүнбөсө дагы, жаңы төрөлгөн ымыркай сиздин үнүңүздү таанып, ал ага жагат. Ымыркайдын сиздин үнүңүзгө кандай реакция кылганын көргөндө, жылуу жылмайып аны эркелетип, жооп бериңиз. Ал жооп бербесе дагы, аракет кыла бериңиз!  Ал жооп бере баштайт.</p>

<p>Наристелердин жөнөкөй китептерин окуңуз же биринчи күндөн баштап аңгемелерди айтып бериңиз. Ал окуяны түшүнбөсө дагы, бала сиздин ага жакын болгонуңуздан жана үнүңүздөн ырахат алат. Ал сиз көрсөткөн сүрөттөрдү көргөндү жакшы көрөт. Ымыркайлар үчүн жазылган китептерди же түстүү журналдарды окуп, ошол эле учурда сүрөттө эмне бар экендигин көрсөтүп, ымыркайга бул жөнүндө айтып бериңиз. Ымыркайга китептеги сүрөттөрдү сылап коюуга мүмкүнчүлүк бериңиз. Ал көрсөткөндөрдүн бардыгын жөнөкөй сөздөр менен атагыла. </p>

<p>Китептер маанилүү, бирок ымыркай менен жөн гана баардык нерсе жөнүндө сүйлөшүү дагы ошондой эле мааниге ээ.  Аба ырайы жакшы болуп турганда, балаңыз менен үйүңүздүн сыртында болсо дагы жаратылышта сейилдеңиз.  Ага көргөнүңүздүн бардыгы жөнүндө айтып бериңиз. </p>

<p>Эгер жаныңызда китеп болбосо, дененин бөлүктөрү, күн сайын колдонгон буюмдар жана бала тааныган адамдар сыяктуу нерселер жөнүндө сүйлөшсөңүз болот. Ошентип, ал ар бир нерсенин өз аты бар экендигин түшүнүп, бара-бара ал ысымдарды үйрөнө баштайт. Күнүмдүк иш-аракеттериңизде жана күнүмдүк тиричилигиңизде жасаган бардык нерселерди атаңыз. Бир нерсени атап жатып, буюмду же эмне кылып жатканыңызды көрсөтүңүз. - Апасы баласына шире жасап берет. ""Бул шире"" деп ширесин көрсөтүңүз. ""Апасы баласынын жалаягын алмаштырат"". ""Бул жалаяк"", деп жалаякты көрсөтүңүз. Ымыркай сиз ага эмне көрсөтүп жатканыңызды угуп, көрүп турушу керек. Мисалы, ""Биз бүгүн брокколи жеп жатабыз, мммм, кандай даамдуу"" деп табакты көрсөтүңүз. Булар ""сабак"" эмес, балаңызды дүйнөдөгү бардык сонун нерселер менен тааныштырган жагымдуу учурлар!</p>

<p>Бош убактыңыз болгондо, жогоруда келтирилген мисалдарды күнүмдүк иш-аракеттериңизде колдонсоңуз болот (кийим алмаштырууда, тамактанууга даярданууда ж.б.).</p>

<p><strong>Балаңыз эмнени үйрөнүп жатат:  </strong>Ымыркай сизди түшүнбөсө дагы, ал сүрөттөрдү, үндөрдү, жыттарды жана сиздин үнүңүздү ээрчийт. Бардык нерсенин аты бар экендигин түшүнөт жана бара-бара ал аталыштарды үйрөнө баштайт.</p>",11426,yes,parent,,6441,2731,1,kg-ky,published
7216,Достошуу,"<p><strong>Сизге керектүү материалдар: </strong> Эч нерсе.</p>

<p><strong>Бирге эмне кылсаңыз болот: </strong>Балаңыз ар кандай жолдор менен ыйлашы мүмкүн жана ыйлап ар кандай билдирүүлөрдү жеткирүүгө аракет кылышы мүмкүн. Бул мезгилде, жат адамдар пайда болгондо, ымыркай кыжалат боло баштаганын байкай аласыз, буга чейин мындай болгон эмес. Бул күтүлүүчү нерсе. Ага биринчи кезекте жаңы адамдарды капыстан эмес, мүмкүн болушунча тааныш чөйрөдө тааныштырып, жардам бериңиз. Балаңыз жаңы жүзгө туш келгенде же ага кайрылганда ар дайым жанында болуңуз, ал эми тынчсыздануу жана ыйлоо күчөсө - аны тынчтандырыңыз. Балаңызга аны таштап кетпейм деп ишендирүү үчүн аны колуңузга алып, жайбаракат үн менен сүйлөшүңүз. Сиз аны акырын термелтип, кучактап же ырдасаңыз болот. Ымыркай кайрадан достошуудагы кыйынчылыкка качан даяр экендигин билүү үчүн жакшылап байкап көрүңүз. Сиз ал айланага көз чаптырып, айланадагы нерселерди жана адамдарды изилдегенде билесиз. Акырындык менен аны жаңы адамдар менен тааныштырыңыз, анын рахаттануу жана ыңгайсыздык белгилерин байкаңыз.</p>

<p>Ар бир наристе ар башка болот; балаңыз жаңы адамдарга кызыгышы мүмкүн же ал тургай, бейтааныш адамдарга жылуу мамиле жасашы мүмкүн.  Балаңыздын жолун жолдоп, кайталангыс кичинекей адамыңыздан ырахат алыңыз!</p>

<p><strong>Балаңыз эмнени үйрөнүп жатат: </strong>Балаңыз жаңы кырдаалдарга жана адамдарга реакция көрсөтүүнү үйрөнүп жатат, анткени анын реакциясы аптадан аптага өзгөрүп турушу мүмкүн.  Эгер жаңы адамдар сиздин балаңыздын дүйнөсүнө бир бөлүгү болуп баратса, анда сиздин жардамыңыз менен балаңыз акырындык менен аларга көнүп, ал өзүн ыңгайлуу сезет. </p>",2646,no,parent,,6431,2761,1,kg-ky,published
7221,"Күзгү оюндары: ""Мага эч ким окшобойт""","<p><strong>Сизге керектүү материалдар: </strong>Чоң дубал күзгү, же сынбай турган кичинекей күзгү (оюнчук катары).</p>

<p><strong>Бирге эмне кылсаңыз болот: </strong>Муну кандай жасаш керек: Ымыркайга өзүн күзгүдөн көрүүгө уруксат бериңиз. Ымыркайдын керебетинин же жалаягын которуучу столдун жанына сынбай турган күзгүнү коюңуз, андан бала өзүн  көрө алат. Сүйлөшүп баштаңыз жана ал күзгүгө карашы үчүн аны сылаңыз. ""Карачы, мынакей... (балаңыздын аты)"", деп айтыңыз. Бир аз убакыттан кийин ымыркай ал өзүнүн чагылышы экендигин түшүнөт. Ымыркайды күзгүнү сайгылап, манжасы менен өзүн күзгүдөн көрсөтүүгө уруксат бериңиз.</p>

<p>Күзгүгө балаңыз менен чогуу караңыз - жылмайып, ага күзгүдөн кол булгалаңыз. Күзгүгө каранып жатканда жылмайып, күлкүлүү мимикаларды чогуу жасаңыз. Помада же карандаш менен, чоң күзгүгө балаңыз чагылдырылган жерди тегеретип, ал жерге манжалары менен тийүүгө жана күзгүнү колу менен боёого, өзгөрүүлөрдү изилдөөгө жана ишке түшүнүүгө көмөктөшүңүз. Ымыркайдын ар бир жасаган ишин позитивдүү жана колдоочу комментарийлер, үндөр менен коштоп туруңуз, эмне кылып жаткандыгын, болуп жаткан окуяларды, күзгүдө кимдер бар экендиги жөнүндө сүйлөшүп, ымыркайдын атын кайталаңыз жана күзгүдөн жүзүн көрсөтүңүз . Күзгүдөгү өзүңүздүн образыңыз менен дагы ушул нерсени бир жолу кайталаңыз. Өзүңүздү көрсөтүңүз, атаңызды атап - бул апа ... бул ... (баланын атын кайталаңыз).  Балаңыз чоңойгон сайын  өзүнүн атын таанып баштаганын көрө аласыз.  Аны көп колдонуңуз.</p>

<p>Күзгүнүн алдында балаңыз менен жашынмак оюнун же ""[баланын аты] кайда?"" оюнун дагы  ойной аласыз . Ал өзүн жана / же сизди алып койгон жоолуктун артынан кайра көргөндө, ал ар дайым жанып, жылмайып турат.</p>

<p>Ымыркай курсагында жатып тоголонуп же сойлоп баштаса, ""келип мага жет"" оюнун ойноңуз. Ымыркай бир аз кыймылдасын, а сиз аны ээрчип, аны кармаганда кучактайсыз.</p>

<p>Сиз бул иш-чараларды ар кандай учурларда, алдыңызда жакшынакай чоң күзгү турганда, ошондой эле жерде ойногон башка оюндарда, бешикте, чоң керебетте, дарыгердин бөлмөсүндө күтүп турганда жасай аласыз.</p>

<p><strong>Балаңыз эмнени үйрөнүп жатат:  </strong>Бул оюндар бала үчүн ушунчалык кызыктуу, бирок ошол эле учурда анын образын, сырткы көрүнүшүн жана айлана-чөйрөдөгү ордун өнүктүрүүгө өбөлгө түзөт.</p>",9501,yes,parent,,6436,2776,1,kg-ky,published
