ID,Title,Body,Cover_image,Equipment,Type_of_support,Child_age,Domain,Related_milestones,Mandatory_content,Translation_language,Moderation_state
7176,"Как помочь вашему ребенку научиться успокаивать самого себя","<p><strong>Необходимые предметы: </strong>Предметы, которые вы обычно кладете в кроватку вашего ребенка или рядом с ним или в другое место, где он или она будет лежать. </p>

<p><strong>Что вы можете делать вместе: </strong>По-прежнему важно заботиться о своем ребенке, когда он или она расстроена. Однако вы заметите, что ваш ребенок все лучше и лучше начинает успокаивать сам себя, по крайней мере, на короткое время.  Вы можете помочь своему ребенку, убедившись, что поблизости есть безопасные предметы, которые могут помочь ему или ей чувствовать себя комфортно.  Например, есть ли мягкая игрушка, которую ваш ребенок любит гладить? Есть ли красочный мобильный телефон или картинка, которую легко увидит ребенок?  Находятся ли руки вашего ребенка в положении, в котором он или она может их сосать, если это успокаивает вашего ребенка? Прежде чем, незамедлительно пойти к ребенку, сделайте паузу и немного приглядитесь, чтобы увидеть, начинает ли ребенок успокаиваться сам или успокоился ли на короткое время.   </p>

<p><strong>Что изучает ваш ребенок:  </strong>Ваш ребенок знает, что он или она может положиться на вас, чтобы улучшить ситуацию. Но ваш ребенок также узнает, что он или она сам может сделать что-то, чтобы сохранить спокойствие.  Самостоятельное успокаивание - это важная вещь, которой нужно научиться, начиная прямо сейчас, но отрабатывается в ближайшие месяцы и годы. Как и всегда, важна ваша любящая поддержка. </p>",11801,yes,parent,,37,2566,0,kg-ru,draft
7181,"Сохранение интереса у ребенка ","<p><strong>Необходимые материалы: </strong>Только обычные предметы или игрушки, которые больше всего нравятся вашему ребенку. </p>

<p><strong>Что вы можете делать вместе: </strong>В этом возрасте ваш ребенок не может сказать: «Мне скучно» или «Мне это нравится, пожалуйста, не останавливайтесь!» Наблюдая за тем, как ведет себя ваш малыш, вы можете понять, может ли ваш ребенок заинтересоваться или заняться чем-то новым. Ваш ребенок может начать ерзать или отворачиваться от того, чем он или она интересовалась раньше. Или, возможно, ей или ему просто нужно найти новое место или положение.  </p>

<p>Попробуйте несколько вещей, чтобы ваш ребенок оставался любопытным, внимательным и удовлетворенным. Вы знаете своего ребенка лучше всего. Может быть, новый предмет, который нужно держать в руках, будет очаровывать ее или его еще немного.  Или вы можете взять ребенка на руки, немного прогуляться и осмотреть новые части комнаты. Или, возможно, прошло достаточно «времени на животике», и ваш ребенок хочет лежать на спине и на что-то смотреть. </p>

<p>Вам не нужно делать что-то новое каждую минуту, просто обращайте внимание на сигналы вашего ребенка и вносите некоторые простые изменения, если немного большая или немного меньшая стимуляция может сделать вашего ребенка удовлетворенным и заинтересованным. </p>

<p><strong>Что изучает ваш ребенок: </strong>Еще до того, как ваш ребенок сможет двигаться или говорить, у малыша есть способы сказать вам, что ему или ей нужно. Простая замена предметов, на которые нужно смотреть или держать, или небольшие изменения в положении вашего ребенка откроют дверь к новым возможностям обучения. Со временем вы поймете, что дает вам и вашему ребенку время для обучения. </p>",12486,yes,parent,,38,2586,1,kg-ru,draft
7186,"Игра воображение","<p><strong>Необходимые материалы: </strong>Отсутствуют.</p>

<p><strong>Что вы можете делать вместе: </strong>Отвечайте как-нибудь, когда ваш ребенок бормочет. Пусть это будет настоящий маленький «разговор» - говорите с малышом нежным голосом, улыбайтесь ему / ей во время разговора; во время разговора время от времени делайте короткие перерывы, чтобы дать ребенку возможность пообщаться; в какой-то момент ребенок начнет издавать простые звуки. Говорите высоким или низким тоном, попробуйте шептать и петь. Делайте это поочередно с малышом. Повторяйте звуки, которые он / она издает.  </p>

<p>Положите ребенка лицом к лицу к себе - ребенок будет наблюдать за вами, когда вы издаете эти звуки. Малыш в этом положении может наблюдать, как вы меняете выражение лица (широкая улыбка, вытянутый язык, широко раскрытые глаза, приподнятые брови, пухлые щеки или втянутые). Понаблюдайте за ребенком, и если вы заметили, что некоторые из этих выражений его / ее пугают, быстро измените выражение лица и через некоторое время попробуйте еще раз, сделав выражение лица более мягким. Помните, что каждый ребенок индивидуален и реагирует по-разному.  В данной игре сохраняйте выражение лица на некоторое время, чтобы дать ребенку возможность попытаться создать новое выражение лица, наблюдая за вами и подражая ему. Повторите то, что делает ребенок. </p>

<p>Другой вариант - показать малышу тряпичную куклу или просто надеть на палец небольшой носок. Назовите имя ребенка, перемещая куклу или носок вверх и вниз. Убедитесь, что ребенок следит за этим движением. Затем поведите по кругу. Каждый раз, когда вы видите, что ваш ребенок следует за движениями куклы, пробуйте новое движение. </p>

<p>Это очень удобная привычка при смене подгузников, но ее также можно использовать в любой свободный момент, который вы проводите с ребенком.</p>

<p><strong>Что изучает ваш ребенок:  </strong>На этом этапе лучшая игрушка, которая больше всего увлекает малыша, - это вы! Ваше лицо, ваш голос, ваши руки, ваше тело. Ваш малыш учится общаться с вами и внимательно и подробно рассматривает лица людей, поддерживает долгий зрительный контакт.</p>",10571,,parent,,39,2616,1,kg-ru,draft
7191,"Исследуй и найди игрушки","<p><strong>Необходимые материалы: </strong>Любые любимые игрушки, подгузники, шарф, бумажное полотенце, холщовый мешок или кошелек, небольшие пластиковые бутылки, различные семена и мелкие предметы.</p>

<p><strong>Что вы можете делать вместе: </strong>Играйте в прятки. Позвольте ребенку увидеть, как вы прячете предмет под одеялом, подгузником или подушкой. Если ребенок не начинает находить спрятанный предмет, в следующий раз прикройте его частично. Помогите малышу найти предмет.</p>

<p>Свободно оберните маленькую игрушку бумажным полотенцем или салфеткой (не используйте скотч). Ребенок может развернуть пакет и найти сюрприз. Вы также можете использовать другую мягкую бумагу или оберточную бумагу веселых, шелестящих цветов. Также можно завернуть игрушку в тонкую салфетку, ткань или пеленку. Еще одна идея - сделать сумку-сюрприз, которую ребенок найдет утром. Наполните бумажный или холщовый мешок следующими или другими подобными предметами, которые у вас могут быть: мягкая игрушка, что-то издающее звук, небольшая пластиковая банка с завинчивающейся крышкой или книга с картонными страницами. Поощряйте малыша исследовать «волшебную сумку». Убедитесь, что предметы безопасны и игра хорошо контролируется вами.</p>

<p>Еще одна идея - поиграть в «ролевые игры» с мягкой игрушкой или куклой. Покажите и расскажите ребенку, что делает кукла (ходит, засыпает, ест, играет за столом). Используйте слова, чтобы описать, что делает кукла, возможно, дайте кукле голос - все, что нравится вам и вашему ребенку. Дайте ребенку эту игрушку и посмотрите, будет ли он / она двигать куклу и делать то, что вы делаете. Вы можете играть по очереди, если вашему ребенку нравится эта игра!</p>

<p>Детям нравится играть с предметами, которые издают звуки и шумят. Если у вас есть время и материалы, вы можете сделать погремушку более сложной формы, натянув металлические браслеты достаточно широкие в ширину, чтобы они могли поместиться на руке ребенка.  Вы также можете наполнить небольшие пластиковые бутылки (с крышками, которые дети не могут открыть) предметами, которые звучат иначе, например, шариками, рисом, солью, зернами кукурузы и т.д.  Если вы это сделаете, обязательно плотно закройте крышки в целях безопасности и поощряйте ребенка исследовать звуки.</p>

<p>Вы можете использовать это задание, когда у вас будет немного свободного времени, используйте его для простой игры с вашим ребенком. Если есть старшие братья и сестры, предложите им играть так же, как и с самым младшим членом семьи.  </p>

<p><strong>Что изучает ваш ребенок:</strong> Ваш ребенок начинает открывать для себя новые предметы или людей, прикасаясь к ним и играя с ними. Эти занятия помогают развивать мелкую моторику и сенсорные навыки.</p>",9246,yes,,,38,2626,1,kg-ru,draft
7196,"Времяпрепровождения на полу","<p><strong>Необходимые материалы: </strong>Коврик или одеяло, любимые игрушки, погремушки.  </p>

<p><strong>Что вы можете делать вместе: </strong>Расположите ребенка так, чтобы вы могли касаться его / ее ступней. Осторожно поиграйте с его / ее ступнями и пальцами ног и нежно пощекочите их. Прикоснитесь к пальцам ребенка один за другим и одновременно скажите каждому пальцу: «Этот палец… мизинец / палец мама / палец папа» для каждого пальца. Пока ребенок лежит на спине, рядом ним /ней или позади него / нее, поставьте заводную игрушку, издающую звук (если она у вас есть). Проверьте, ищет ли ребенок источник звука. Или осторожно потрясите погремушкой или банкой с фасолью и посмотрите, ищет ли ее ребенок.</p>

<p>На мягкой плоской поверхности, на кровати или одеяле, лежа на спине, нежно похлопайте или помассируйте ручки и пальчики ребенка во время разговора с ним / ней - например, «Вот твоя рука; вот твои пальцы», говоря ей / ему, что вы делаете. Или вы можете спеть нежную песню, поглаживая ее / его ручки. Другой вариант - использовать простую игрушку, которую вы кладете так, чтобы ребенок мог ее видеть, но не мог дотянуться. Она / он пытается? Вы можете двигать игрушку, пока ребенок смотрит на нее. Как ребенок подрастет, вы можете поощрить его / ее, перевернув его / ее для того, чтобы он / она могла дотянуться до игрушки.</p>

<p>По мере того, как ваш ребенок будет расти, будет появляться много идей для «времяпрепровождения на полу»! Постелите одеяло или полотенце на ковер, положите ребенка на животик так, чтобы его / ее голова была повернута на бок. Лягте рядом с младенцем, чтобы подбодрить его / ее. Ребенок может оставаться в этом положении столько, сколько ему / ей нравится, но убедитесь, что его / ее голова повернута влево и вправо примерно на одинаковое время. Опять же, вы можете положить любимые игрушки или предметы перед ребенком, но так, чтобы они были немного вне досягаемости ребенка. По мере того, как ваш ребенок становится старше, поощряйте его / ее попытки дотянуться до них и двигаться в направлении к ним.</p>

<p>«Время живота» важно для физического развития. Следите за тем, чтобы ребенок каждый день проводил на животе немного больше времени. Понаблюдайте за своим ребенком, чтобы вы могли осторожно двигать его / ее, если он /она склоняется лицом к полу, так как это может затруднить дыхание. По мере того, как со временем он / она становится сильнее, ребенок сможет поднимать голову и немного приподниматься, опираясь руками. Позже эти движения перерастут в перекатывание и ползание.</p>

<p><strong>Что изучает ваш ребенок: </strong>Это отличная возможность использовать простые игры для создания позитивного и приятного окружения для вашего ребенка. Во время данных игр ваш ребенок учится исследовать и контролировать движения своего тела и головы. Ребенок может поднять голову и поддержать себя руками.  </p>",446,yes,,,54,2656,1,kg-ru,draft
7201,"Посмотри, что ты можешь делать своими ручками!","<p><strong>Необходимые материалы: </strong>Отсутствуют</p>

<p><strong>Что вы можете делать вместе: </strong>В этом возрасте ваш ребенок открывает для себя возможности своих рук. Она или он смотрит на них (чем они ЯВЛЯЮТСЯ?) И также начинает находить этими руками свой рот. Вам не обязательно учить ребенка этому навыку, но вы можете поощрять это новое обучение разными способами каждый день. Убедитесь, что кистями и ручками ваш ребенок может двигать большую часть дня. Смена подгузников, одевание и купание могут быть особенно хорошими возможностями для ребенка. Часто оставляйте ребенка в таком положении, когда ему или ей было бы легче видеть и контролировать свои ручки и ладони. Ваш ребенок может казаться взволнованным, узнав об этой ""хитрости"".  Обратите внимание на эту взаимосвязь и поделитесь ею с ним / ней. </p>

<p><strong>Что изучает ваш ребенок: </strong>Это важный этап в способности вашего ребенка контролировать свои движения различных частей тела. Это также развивает осязание и вкус, когда ваш ребенок устанавливает взаимосвязь между ртом и пальцами.<strong>  </strong></p>",12491,no,parent,,38,2666,0,kg-ru,draft
7206,"Поиск незаметных предметов","<p><strong>Необходимые материалы: </strong>Несколько мягких игрушек или домашние предметы безопасные и привлекательные для ребенка.  </p>

<p><strong>Что вы можете делать вместе: </strong>Положите ребенка на живот, на одеяло или другую мягкую поверхность. Сядьте так, чтобы вы могли видеть лицо ребенка и контролировать его / ее безопасность. Разложите несколько игрушек с одной (левой или правой) стороны от ребенка, вне его / ее досягаемости, но в поле зрения. Подождите, пока он / она заметит их, или вы привлечете его / ее внимание удивленным тоном голоса (говоря: «Аааа, что у нас тут?!»). Подождите, пока ребенок перевернется, чтобы дотянуться до одного из предметов. Если ваш ребенок не пытается самостоятельно, помогите ему / ей перекатиться с живота на спину, чтобы он / она мог дотянуться до предметов. Подбодрите его / ее восторженным голосом и широкой улыбкой. Когда он / она перестает интересоваться, посмотрит в сторону или протестует - повторите весь процесс с другими предметами, с другой стороны.</p>

<p><strong>Что изучает ваш ребенок:  </strong>У вашего ребенка есть возможность исследовать предметы, рассматривая, перекладывая их из рук в руки, трогая, кладя их в рот.</p>

<p> </p>

<p> </p>",10601,yes,parent,,38,2691,1,kg-ru,draft
7211,"Что это такое и как это называется?","<p><strong>Необходимые материалы: </strong> Различные книги, журналы, каталоги, вывески, все, что содержит буквы, слова или другие символы и что побуждает к разговору и интересным беседам.</p>

<p><strong>Что вы можете делать вместе: </strong>С ранних пор, когда вашему малышу будет уже пару месяцев, начинайте тихо разговаривать с ним / ней, пока кормите его / ее, меняете ему / ей подгузники, держите его / ее на руках, или когда находитесь рядом с ним / ней на коврике, или коляской. Несмотря на то, что он / она не понимает слов, даже будучи новорожденным, ребенок узнает ваш голос, и ему / ей это нравится. Когда вы видите, как ребенок реагирует на ваш голос, отвечайте нежной улыбкой, ласкайте его / ее и т.д.  Если он / она не отвечает, продолжайте попытки!  Он / она начнет отвечать.</p>

<p>Читайте простые детские книжки или рассказывайте сказки с первого дня. Даже если он / она не понимает рассказа, ребенку понравится ваша близость и ваш голос. Ему/ей понравится смотреть на фотографии, которые вы ему/ей показываете. Читайте детские книжки или красочные журналы и одновременно показывайте, что изображено на картинке, и рассказывайте об этом малышу. Пусть малыш погладит картинки в книге. Назовите все, что он / она показывает, простыми словами. </p>

<p>Книги важны, но не менее важно просто поговорить с малышом обо всем.  В хорошую погоду гуляйте с ребенком на природе, даже если вы просто рядом с домом.  Рассказывайте ему / ей обо всем, что вы видите. </p>

<p>Если у вас нет книг, вы также можете поговорить о таких вещах, как части тела, предметы, которыми вы используетесь каждый день, и про людей, которых знает ребенок. Таким образом, он/она поймет, что у всего есть имя, и постепенно начнет изучать эти имена. Назовите все, что вы делаете в своей повседневной деятельности и распорядке дня. Называя вещи, показывайте объект или то, что вы делаете. «Мама делает сок для малыша». «Это сок», - вы показываете сок. «Мама меняет пеленку малышу». «Это подгузник», и вы показываете подгузник. Убедитесь, что ребенок слышит и видит то, что вы ему / ей показываете. Например, «Мы сегодня едим брокколи, мммм, как вкусно» и покажите тарелочку.   Это не «уроки», а приятные моменты вместе, когда вы знакомите своего ребенка со всеми прекрасными вещами в окружающем мире!</p>

<p>Когда у вас появляется свободное время для игры, вы можете использовать приведенные выше примеры в своей повседневной жизни (переодевание, приготовление еды и т.д.).</p>

<p><strong>Что изучает ваш ребенок: </strong>Даже если ребенок вас не понимает, он/она будет следить за картинками, звуками, запахами и вашим голосом. Он/она поймет, что у всего есть имя, и постепенно начнет изучать эти имена.</p>",11426,yes,parent,,39,2731,1,kg-ru,draft
7216,"Заводим друзей","<p><strong>Необходимые материалы: </strong> Отсутствуют.</p>

<p><strong>Что вы можете делать вместе: </strong>Ваш ребенок может плакать по-разному и, плача, он/она может пытаться передать разные сообщения. В данный период вы можете заметить, что малыш начинает расстраиваться, когда появляются новые, незнакомые люди, чего раньше не было. Это вполне ожидаемо. Помогите ему / ей в первую очередь, всегда представляя новых людей постепенно, а не резко и, по возможности, в уже знакомой среде. Всегда будьте с малышом, когда к нему приближается новое лицо или обращается к нему, а если тревога и плач усиливаются - успокойте его/ее. Поговорите с малышом спокойным голосом, держа его/ее на руках, чтобы заверить, что вы не оставите его/ее. Вы можете нежно его/ее покачать, обнять или спеть для него/нее. Внимательно следите, чтобы увидеть, когда ваш ребенок будет готов снова найти друзей. Вы поймете это, когда он / она осмотрится и исследует вещи и людей в своем окружении. Постепенно попробуйте еще раз познакомить его/ее с новыми людьми, следя за признаками удовольствия и дискомфорта.</p>

<p>Каждый ребенок индивидуален; ваш ребенок может быть весьма заинтересован в новых людях или он/она может довольно медленно согреваться даже с дружелюбными незнакомцами.  Следуйте за своим малышом и наслаждайтесь своим неповторимым человечком!</p>

<p><strong>Что изучает ваш ребенок: </strong>Ваш ребенок учится реагировать на новые ситуации и людей, так как его / ее реакции, вероятно, будут меняться от недели к неделе.  Если новые люди становятся частью мира вашего ребенка, с вашей помощью он/она постепенно привыкает к ним, чтобы он или она чувствовали себя комфортно. </p>",2646,no,parent,,37,2761,1,kg-ru,draft
7221,"Зеркальные игры: &quot;Никто как я&quot;","<p><strong>Необходимые материалы: </strong>Большое настенное зеркало или маленькое небьющееся зеркало (в качестве игрушки).</p>

<p><strong>Что вы можете делать вместе: </strong>Как это сделать: позвольте ребенку увидеть себя в зеркале. Повесьте небьющееся зеркало рядом с детской кроваткой или пеленальным столиком, чтобы ребенок мог видеть себя в нем. Начните говорить и коснитесь зеркала, чтобы она посмотрела на него. Скажите: «Смотри, это [имя вашего ребенка]». Через некоторое время, малыш поймет, что это его/ее отражение. Позвольте ребенку постучать по зеркалу и указать пальцем на себя в зеркале.</p>

<p>Посмотрите в зеркало вместе с малышом - улыбнитесь и помашите ему / ей в зеркале. Улыбнитесь и вместе сделайте забавные выражения лица, глядя в зеркало. С помощью помады или мелка обведите место, где ваш ребенок отражается в большом зеркале, побудите его/ее прикоснуться к этому месту пальцами и испачкать зеркало рукой, чтобы исследовать и осознать изменения. Следите за всем, что делает ребенок, с помощью положительных и обнадеживающих комментариев, звуков, говорите с ребенком о том, что он/она делает, что происходит, кто находится в зеркале, повторяйте имя ребенка и указывайте на его/ее лицо в зеркале. Повторите то же самое со своим отражением в зеркале. Укажите на себя, скажите - это мама ... это ... (повторите имя ребенка).  Когда ваш ребенок станет старше, вы увидите, как он / она начинает узнавать свое имя.  Используйте его / ее имя часто.</p>

<p>Перед зеркалом вы также можете поиграть в прятки или ""где [имя ребенка]?"" с малышом. Он/она всегда будет светиться и улыбаться, когда снова увидит себя и / или вас за шарфом, который вы опускаете.</p>

<p>Когда ребенок начинает перекатываться или ползать на животике, играйте в игру «Иди и догони меня». Позвольте ребенку немного подвигаться, а вы следите за ней и обнимайте ее, когда ловите ее.</p>

<p>Вы можете использовать эти занятия во всех случаях, когда перед вами большое красивое зеркало, но также и в других играх на полу, в кроватке, на большой кровати, пока вы ждете в кабинете врача и т.д.</p>

<p><strong>Что изучает ваш ребенок: </strong>Эти игры так интересны ребенку и в то же время способствуют формированию образа самого себя, своей внешности и места в окружающей среде.</p>",9501,yes,parent,,38,2776,1,kg-ru,draft
7226,"Скажите &quot;Нет&quot; с любовью","<p><strong>Необходимые материалы: </strong>Отсутствуют</p>

<p><strong>Что вы можете делать вместе: </strong>В этом возрасте ваш ребенок, скорее всего, начнет ползать. Это означает, что он или она начинает исследовать всевозможные вещи в окружающей среде, включая вещи, которые могут быть опасными. Вы поймете, что хотите или должны сказать ребенку «нет».  Как сделать это эффективно и с любовью? Вот несколько советов:</p>

<ul><li>Обезопасьте дом для ребенка и  исключите опасные предметы, до которых может дотянуться ребенок.</li>
	<li>Используйте как можно меньше «нет».  Если вы видите, что ваш ребенок приближается к небезопасному объекту или месту, отвлеките его или осторожно переместите к другому интересному предмету.  Вы можете сказать: «Давай найдем что-нибудь безопасное для игры»).</li>
	<li>Используйте другие слова, не используйте всегда «нет». «Стоп» или «Это грязно! У тебя будет болеть животик! "" может передать ту же идею.</li>
	<li>Поскольку ваш ребенок сначала не поймет «нет», если вы это скажете, подойдите ближе к ребенку и в то же время коротко объясните («Ой, больно! Тебе будет больно от этого!») И говорите серьезно. </li>
	<li>Постарайтесь сделать так, чтобы ребенок больше слышал слово ""да"", чем ""нет""!</li>
</ul><p><strong>Что изучает ваш ребенок:  </strong>Вашему ребенку необходимо исследовать и двигать своим телом, но это должно происходить безопасно.  Вы помогаете обезопасить своего ребенка и постепенно учите его или ее избегать небезопасные вещи.  Ваш ребенок учится связывать слово («нет», «стоп» или «не используй это») с предметом или ситуацией.  Это важно для развития мышления и речи.  В то же время он / она учится верить в то, что вы защитите его / ее и поможете ему / ей найти хорошее занятие.</p>",12496,no,parent,,39,2786,1,kg-ru,draft
7231,"Чтение с малышом","<p><strong>Необходимые материалы: </strong> Детская книжка (тканевая или в твердом переплете, с яркими картинками и тактильными элементами).  Если у вас ее нет, вы можете использовать сложенную пополам обычную бумагу, на которой вы можете нарисовать несколько рисунков или фигур ярких цветов.</p>

<p><strong>Что вы можете делать вместе:</strong> Положите ребенка к себе на колени, чтобы вы могли вместе рассматривать книгу, но вы также должны видеть лицо ребенка. Разместите книгу так, чтобы вы оба могли ее увидеть, а затем прочитать! Вы можете описать то, что изображено на картинке, или рассказать об этом историю, указать пальцем на картинки и назвать их. Используйте короткие и простые предложения. Меняйте тон голоса, молчите, а потом удивляйтесь ...</p>

<p>Позвольте ребенку видеть выражение вашего лица, а вы наблюдайте за его/ее реакцией и называете те, которые, по вашему мнению, ему/ей нравятся или не нравятся. Позвольте ему / ей прикоснуться к книге, положить ее в рот (если это безопасно) и исследовать ее другими способами. Если ребенок издает звук во время чтения, позвольте ему/ей тоже «читать». Слушайте его / ее и отвечайте, повторяя его/ее звуки, задавая вопросы и хваля его / ее. Когда вы замечаете, что ваш ребенок больше не интересуется - он / она смотрит в сторону или возражает каким-то другим образом - терпеливо ждите, пока его / ее внимание вернется к книге, и продолжайте. Если книга ему / ей больше не интересна, вернитесь к ней позже. </p>

<p><strong>Что изучает ваш ребенок:  </strong>Совместное чтение и просмотр книг важно для коммуникативных навыков и речевого развития вашего ребенка.</p>

<p> </p>",12501,yes,parent,,39,2791,1,kg-ru,draft
7236,"Безопасное изучение предметов","<p><strong>Необходимые материалы: </strong>Предметы, с которыми ваш ребенок играет и изучает, и две коробки.</p>

<p><strong>Что вы можете делать вместе: </strong>Это захватывающее время в жизни вашего малыша!  Она или он с энтузиазмом и более искусно исследует руками всевозможные предметы. Однако ваш ребенок также продолжает класть предметы в рот.  Это вызывает приятные чувства, и это еще один способ познать мир. Удушье или проглатывание предметов - является существенным риском.</p>

<p>Есть вещи, которые вы можете сделать!  Например, вы можете собирать предметы, которые ваш ребенок любит исследовать, - игрушки и другие предметы в доме, - и посмотреть, какие из них достаточно малы и могут быть опасны, в случае, если вы не присматриваете за своим ребенком внимательно. Возможно, вы могли бы положить их в одну коробку и оставить в безопасном месте, откуда вы можете вынести их только тогда, когда вы рядом. Другие вещи могут находиться в «Ящике для исследования», который ваш ребенок может высыпать, исследовать и брать в рот столько, сколько он или она пожелает.  Обязательно разговаривайте, наблюдая за ребенком или играя с ним во время исследования объектов: «Посмотри, что ты нашел! Это ложка. Ой, ты колотишь ею! ""</p>

<p><strong>Что изучает ваш ребенок:  </strong>В этом возрасте для вашего ребенка наиболее важным способом познания мира является изучение предметов. На что это похоже?  Эта вещь по ощущению такая же?  Какова она на вкус?  Она твердая? Мягкая? Ее легко раздавить?  Что я могу с этим делать?  Колотить ею?  Помахать ею?  Делая для ребенка безопасным исследование предметов, вы поддерживаете развитие его или ее чувств и укрепляете его или ее мыслительные способности. Ваш разговор приобретает дополнительную ценность, поскольку вы рассказываете своему ребенку о том, что он или она делает.</p>",12506,yes,parent,,38,2826,1,kg-ru,draft
