ID,Title,Body,Cover_image,Equipment,Type_of_support,Child_age,Domain,Related_milestones,Mandatory_content,Translation_language,Moderation_state
7271,Ručno izrađen muzički instrument,"<p><strong>Šta Vam je od materijala potrebno: </strong>predmeti koji su Vam pri ruci i mogu Vam poslužiti kao zvečka, na primjer, čista prazna flašica ili kartonska kutija, materijali koje ćete staviti u tu posudu i koji mogu da stvaraju zvuke: suva tjestenina, pirinač, žitarice, kamenčići, dugmići, kopče itd. (zbog djetetove bezbjednosti, uvijek dobro zatvorite posudu u kojoj ima mnogo sitnih predmeta)</p>

<p><strong>Šta možete raditi zajedno: </strong>Prvo dobro operite posudu i posušite je. Beba može da posmatra dok budete stavljali materijal u nju. Zatim posudu napunite, ali ne do kraja, ostavite prostora da sadržaj može da se pomjera i proizvodi zvuk. Vaša ručno napravljena igračka je spremna!</p>

<p>Ponudite igračku Vašoj bebi i podstaknite je da istražuje njene karakteristike – da posmatra šta je unutra i kako se to pomjera kad protrese igračku, da dodirne igračku, pritisne je, sluša zvuke koje ispušta. Svaki put kad Vaša beba nešto uradi s igračkom, imenujte njenu namjeru, rezultat ili osjećaj, na primjer: „Oho, to su kamenčići!“, ili „Joj, šta imamo ovdje, zrna pirinča!“, „Slušaj kako zvuči kad udariš!“, „Sviđa ti se kako pucketa“ i sl.</p>

<p>Ovu aktivnost možete sprovoditi u svakoj prilici kad provodite vrijeme s Vašim djetetom, kod kuće, u bašti i u drugim odgovarajućim otvorenim prostorima, uvijek vodeći računa o bezbjednosti bebe.</p>

<p><strong>Što dijete uči: </strong>Aktivnost omogućava djetetu da istražuje različite zvuke i karakteristike igračaka treseći ih, udarajući njima, bacajući ih i obraćajući pažnju na detalje. U njoj Vaše dijete aktivno razvija grube motoričke vještine.</p>",12536,yes,parent,,6436,2931,1,me-cnr,published
7436,"Pronađi dva, pronađi tri!","<p><strong>Šta Vam je od materijala potrebno: </strong>predmeti koji su u svakodnevnoj upotrebi u Vašem domu – kašike, odjevni predmeti, knjige ili časopisi, bojice/olovke</p>

<p><strong>Šta možete raditi zajedno: </strong>Krenite u zajedničku potragu za dvije ili tri stvari iste vrste. Započnite aktivnost tako što ćete djetetu reći, na primjer: „Pogledaj sve ove kašike. Možemo li među njima da pronađemo dvije iste kašike? O, evo jedne! A evo i druge. To su dvije kašike!“ Onda pozovite svoje dijete da pronađe „još dvije kašike“. Stavite sve kašike na jedno mjesto. Sljedeći put osmislite igru s nečim drugim, recimo s jabukama: „Hajde da uzmemo dvije jabuke, jednu za tebe i jednu za mene!“ </p>

<p>U zavisnosti od interesovanja i vještine Vašeg djeteta, možete da uključite veći broj objekata i da brojite. Uvijek uključujte one predmete koji su djetetu zanimljivi i koji imaju svoju upotrebnu funkciju u svakodnevnom životu. Ovu aktivnost možete praktikovati u sklopu neke dnevne rutine, na primjer, dok pripremate obrok: „Molim te, pronađi tri šolje, jednu za tebe, jednu za mene i jednu za baku.“ </p>

<p>Nastojte da prilagodite aktivnost interesovanjima djeteta. Ako Vaše dijete voli da crta, podstaknite ga da nacrta dvije jabuke (na primjer). Takođe, možete zajedno tražiti dva ili tri različita predmeta u časopisu. Kad ih nađete, ako je to stari časopis, isjecite slike i zalijepite ih na papir.</p>

<p><strong>Što dijete uči: </strong>Svoje razumijevanje brojeva Vaše dijete ne razvija samo prostim brojanjem, već i povezivanjem brojeva sa stvarnim objektima iz okruženja. Uključivanjem ove aktivnosti u svakodnevni život podstičete radoznalost svog djeteta i pomažete mu da razvije sklonost ka matematici, čak i u ovako ranom uzrastu. Istovremeno, Vaše dijete uči kako se objekti mogu grupisati, odnosno <em>pripadati</em> istoj grupi po nekom svojstvu, što je osnov sortiranja i klasifikovanja. </p>",12641,yes,parent,,6436,6986,1,me-cnr,published
7441,Zamisli da je tvoj krevet...,"<p><strong>Šta Vam je od materijala potrebno: </strong>nije potreban materijal</p>

<p><strong>Šta možete raditi zajedno: </strong>Iskoristite neki trenutak kad Vaše dijete sjedi ili leškari na krevetu da ga podstaknete na razmišljanje i maštanje: šta bi krevet još mogao da bude? Parni voz, avion? Možda gliser u misiji spasavanja?! Kuda njime odlazi, pitajte Vaše dijete, i šta sve vidi na tom putu?</p>

<p>Krevet je zgodno mjesto za mnoge maštovite igre u kojima djeca uživaju. Mogu da se skriju ispod pokrivača i pretvaraju se da su vještice u pećini, koje tu prave svoj tajni napitak. Ili su možda na izletu u tamnoj šumi?!</p>

<p>Da bude interesantnije, dodajte nekoliko igračaka i rekvizita koji će podići nivo uzbuđenja i duh avanture! Neka mašta nabuja...</p>

<p>Ovu aktivnost možete igrati Vi sa svojim djetetom, a može biti i više djece. Uključite u igru pogađanje. Dok jedan igrač (ili igrači) mašta sjedeći na krevetu, drugi pogađa šta sadrži zamišljeni scenario/avantura.</p>

<p><strong>Što dijete uči: </strong>Djeca imaju bezgraničnu maštu, mogu napraviti igru od svega i u svakom trenutku! Ovo je jedna od aktivnosti koje treba isprobati kad ste kod kuće i dugi kišni dan je pred vama.</p>",12016,no,parent,,6441,6996,1,me-cnr,published
7446,Pričaj mi šta se dogodilo,"<p><strong>Šta Vam je od materijala potrebno: </strong>nije potreban materijal (možete nekad pokazati djetetu fotografiju da biste započeli razgovor o tome kako je doživjelo trenutak koji je ta fotografija zabilježila, npr. proslavu rođendana, ili mu pokazati predmet koji će ga podsjetiti na neko nedavno iskustvo, npr. rođendanski poklon, neku namirnicu koju ste zajedno kupili na pijaci i sl.)</p>

<p><strong>Šta možete raditi zajedno: </strong>Razgovarajte svakodnevno s djetetom i učinite mu to vrijeme prijatnim. Vaše dijete sad mnogo više razgovara i vjerovatno se raduje kad vidi da Vas interesuje šta ono ima da Vam kaže. Sačekajte neko mirno doba u toku dana, kad nema previše „trke“ u kući, pa podstaknite dijete da se sjeti i opiše nešto što se dogodilo tog dana ili nedavno. Možete započeti razgovor sa: „Sjećaš se naše posjete baki jutros – baš si se dobro provela! Šta si sve radila tamo?“ Saslušajte, ali zaista pažljivo, odgovor Vašeg djeteta (bez telefona!). Ako ona ili on kaže nešto poput „Pojeo ručak“, ohrabrite ga/je da proširi svoje opisivanje: „Da, da, a šta ste jeli? Što ti se najviše dopalo“ Ili: „Šta smo još radili tamo? Igrao si se s mačkom, sjećam se.“ Primijetićete da priče Vašeg djeteta o ovakvim aktivnostima s vremenom postaju sve duže i složenije, bogatije detaljima. </p>

<p><strong>Što dijete uči: </strong>Ova aktivnost je odlična za razvoj rječnika Vašeg djeteta. Koristeći veći broj riječi, dijete gradi jaku osnovu za kasnije čitanje, a prisjećajući se događaja iz prošlosti, ono razvija svoj mozak. Takođe, veoma su važne emocionalne veze koje Vi i Vaše dijete uspostavljate kroz ove svakodnevne razgovore, razmjenu iskustava i uspomena.</p>",12646,no,parent,,6441,7001,1,me-cnr,published
7451,Rime i brojalice,"<p><strong>Šta Vam je od materijala potrebno: </strong>nije potreban materijal</p>

<p><strong>Šta možete raditi zajedno: </strong></p>

<p>Korak 1</p>

<p>Pjevajte neku dječju pesmu, kao što je <em>Prste ima ruka svaka</em> ili <em>Kad si srećan</em>. Ponavljajte pjesmu uz pljeskanje i smijeh!</p>

<p>Korak 2</p>

<p>Ima mnogo brojalica i ritmičkih nizova riječi koje možete izgovarati zajedno s Vašim djetetom. Podstaknite dijete da samo pravi svoje nizove... Ako je Vaše dijete počelo da govori, možda će kreirati i sopstvenu brojalicu – podržite ga u tome!</p>

<p><strong>Što dijete uči: </strong>Ova aktivnost je odlična za razvoj govora i sluha. Jednostavne rime pomažu djeci da izgovaraju riječi i grade fonemsku svijest kroz ponavljanje težih glasovnih grupa. Aktivnost takođe podstiče djecu da pažljivo slušaju dok drugi govore. Naime, rime često imaju narativni niz, što znači da ga djeca moraju s pažnjom pratiti kako bi ga razumjeli i mogli da nastave kad dođe njihov red. Ova igra je odlična i za razvijanje društvenih vještina, kao što su čekanje svog reda i slušanje drugih.</p>",12651,no,parent,,6441,7006,1,me-cnr,published
7456,Čestitka za druga/drugaricu,"<p><strong>Šta Vam je od materijala potrebno: </strong>papir (običan ili u boji), olovke, bojice/flomasteri; bilo koji materijal za ukrašavanje čestitke (komadići vune, naljepnice, slike iz časopisa itd.)</p>

<p><strong>Šta možete raditi zajedno: </strong>Aktivnost u kojoj zajedno pravite čestitku za člana porodice ili neku drugu blisku osobu podstaći će Vaše dijete na pisanje prvih slova. Povod mogu biti različite situacije. Saznali ste, na primjer, da se djetetov drugar iz komšiluka razbolio – neka to bude prilika da mu napravite čestitku s porukom. Predložite Vašem djetetu: „Hajde da napravimo čestitku i da mu/joj poželimo da što prije ozdravi!“</p>

<p>Nađite neko zgodno mjesto za rad i pitajte dijete: „Šta želiš da kažeš svom drugaru/drugarici?“ Zapišite djetetovu poruku na poseban papir i zamolite ga da i samo napiše neku riječ. To u ovom uzrastu može biti samo nekoliko slova, ili možda ime Vašeg djeteta. Kako god da napiše, pohvalite ga/je, na primjer: „Tvoj drug će biti jako srećan kad vidi ovo što si ti napisala! Želiš li nešto i da nacrtaš?“ Prilagodite očekivanja djetetovim vještinama i interesovanjima. Ako treba, pojednostavite zadatak, ali neka ovo postane vaša rutinska aktivnost. Možete i sami napraviti čestitku kojom ćete iznenaditi svoje dijete!</p>

<p>Spiskovi za kupovinu takođe su dobar podsticaj za početno pisanje – vi zapišite naziv neke namirnice, a djetetu kažete da i ono napiše tu riječ, ili da nešto dopiše ili nacrta.</p>

<p><strong>Što dijete uči: </strong>Ovo je jedna od mnogih aktivnosti koje mogu pomoći Vašem djetetu da nauči da piše. On/ona lako sagledava svrhu pisanja, razumije da može da priušti zadovoljstvo nekome i vidi da pisanje može biti prijatna aktivnost. I naravno, ova aktivnost podstiče dječju kreativnost.</p>",12656,yes,parent,,6441,7011,1,me-cnr,published
7461,Igraonica u kući,"<p><strong>Šta Vam je od materijala potrebno: </strong>2 šolje brašna, ½ šolje soli, 2 kašike majoneza / tartar sosa, 2 kašike biljnog ulja, boje za hranu, 1 do 1½ šolja tople vode, činija, mutilica</p>

<p><strong>Šta možete raditi zajedno: </strong>Znate li<strong> </strong>da napravite tijesto? Pravljenje tijesta za igranje kod kuće jeftin je, jednostavan i bezbjedan način da se zabavite! Tijesto možete praviti u različitim bojama, dodati šljokice ili mirise kako biste svom djetetu omogućili što bogatije čulno iskustvo. Tijesto je tako upotrebljivo za igru, može se koristiti za različita iskustva učenja – i nikad ne dosadi!</p>

<p> Korak 1</p>

<p>Pomiješajte brašno, so, majonez i ulje u odgovarajućoj posudi.</p>

<div alt=""Illustration of How to make playdough Step 1"" data-embed-button=""media_browser"" data-entity-embed-display=""media_image"" data-entity-type=""media"" data-entity-uuid=""5e844cdc-8e19-4687-a718-353362827e06"" data-langcode=""en"" title=""how-to-make-playdough-step1.png"" class=""embedded-entity"">  <img src=""/sites/default/files/2021-05/how-to-make-playdough-step1.png"" alt=""Illustration of How to make playdough Step 1"" title=""how-to-make-playdough-step1.png"" typeof=""foaf:Image"" />

</div>


<p>Korak 2</p>

<p>Ako želite da vaše tijesto ostane neutralne boje, ne morate ništa da dodajete. Ako želite da dobijete tijesto u boji, prije nego što pređete na naredne korake, razmutite boju za hranu u toploj vodi (to je najbolji način da boja tijesta bude konzistentna).</p>

<div alt=""Illustration of How to make playdough Step 2"" data-embed-button=""media_browser"" data-entity-embed-display=""media_image"" data-entity-type=""media"" data-entity-uuid=""edc548fe-29e5-468d-b8a0-a25293552734"" data-langcode=""en"" title=""how-to-make-playdough-step2.png"" class=""embedded-entity"">  <img src=""/sites/default/files/2021-05/how-to-make-playdough-step2.png"" alt=""Illustration of How to make playdough Step 2"" title=""how-to-make-playdough-step2.png"" typeof=""foaf:Image"" />

</div>


<p>Korak 3</p>

<p>Vrlo polako sipajte vodu (s razmućenom bojom) u posudu za miješanje. Miješajte smjesu dok se svi sastojci fino ne sjedine. Tijesto treba da postane konzistentno.</p>

<div alt=""Illustration of How to make playdough Step 3"" data-embed-button=""media_browser"" data-entity-embed-display=""media_image"" data-entity-type=""media"" data-entity-uuid=""50241dac-de72-451f-a7a0-92ddc5e88f12"" data-langcode=""en"" title=""how-to-make-playdough-step3.png"" class=""embedded-entity"">  <img src=""/sites/default/files/2021-05/how-to-make-playdough-step3.png"" alt=""Illustration of How to make playdough Step 3"" title=""how-to-make-playdough-step3.png"" typeof=""foaf:Image"" />

</div>


<p>Korak 4</p>

<p>Mijesite tijesto snažno sve dok ne izgubi ljepljivost. Ako vidite da je još uvijek malo ljepljivo, možete dodati kašiku, dvije brašna da biste dobili savršenu konzistenciju.</p>

<div alt=""Illustration of How to make playdough Step 4"" data-embed-button=""media_browser"" data-entity-embed-display=""media_image"" data-entity-type=""media"" data-entity-uuid=""aa14325b-b554-40a6-8756-e32edd4b5db6"" data-langcode=""en"" title=""how-to-make-playdough-step4.png"" class=""embedded-entity"">  <img src=""/sites/default/files/2021-05/how-to-make-playdough-step4.png"" alt=""Illustration of How to make playdough Step 4"" title=""how-to-make-playdough-step4.png"" typeof=""foaf:Image"" />

</div>


<p>Korak 5</p>

<p>Ako želite da dobijete tijesto u nekoliko boja i mirisa, podijelite ga na jednake djelove (u zavisnosti od toga koliko vrsta tijesta želite). Tijesto koje ste podijelili stavite u male kese. Ne zaboravite da dodate nekoliko kapi boje, mirisa ili sjaja – što više, to interesantnije! Mijesite tijesto unutar kese, tako da ne bojite ruke. Umijesite ga dobro, treba da postane glatko.</p>

<div alt=""Illustration of How to make playdough Step 5"" data-embed-button=""media_browser"" data-entity-embed-display=""media_image"" data-entity-type=""media"" data-entity-uuid=""3827c2a7-97a4-40e4-8996-18d0681f3063"" data-langcode=""en"" title=""how-to-make-playdough-step5.png"" class=""embedded-entity"">  <img src=""/sites/default/files/2021-05/how-to-make-playdough-step5.png"" alt=""Illustration of How to make playdough Step 5"" title=""how-to-make-playdough-step5.png"" typeof=""foaf:Image"" />

</div>


<p>Pripremljeno tijesto čuvajte u dobro zatvorenoj kutiji ili u kesi za zamrzivač iz koje ste prethodno istisnuli vazduh. Tako mu možete očuvati svježinu mjesecima! Čuvajte ga na hladnom i suvom mjestu.</p>

<p><strong>Što dijete uči: </strong>U ovoj zabavnoj aktivnosti Vaše dijete razvija fine motoričke vještine koristeći prste i ruke. Istovremeno, ono će se i divno zabaviti! Ova aktivnost je pravi primjer učenja kroz zabavu.   </p>",11966,yes,parent,,6436,7016,1,me-cnr,published
7466,Ko je sad na redu?,"<p><strong>Šta Vam je od materijala potrebno: </strong>bilo koja jednostavna društvena igra s pravilima – karte ili igre s tablom, kupljene ili u kućnoj izradi (ako se odlučite za karte, možete koristiti one koje imate kod kuće, ali izdvojte samo neke, one s manjim brojevima, a možete ih i sami napraviti tako što ćete na karticama nacrtati parove jednostavnih oblika ili slika, npr. dvije ptice, dvije mačke i sl.); bilo koja druga jednostavna igra s pravilima u kojoj Vaše dijete uživa, prilagođena zatvorenom ili otvorenom prostoru (možete igrati i neku od uobičajenih društvenih igara iz Vašeg djetinjstva)</p>

<p><strong>Šta možete raditi zajedno: </strong>Igrajte ove igre zajedno, na način koji Vašem djetetu odgovara – važno je da dijete uživa u igri. Otkrićete da Vaše dijete može da slijedi neka pravila, a da druga lako zaboravlja. To je u redu! Smjenjujte se tokom igre: „O, premjestio si svoju figuricu, pomjerio si je za tri mjesta. Sad je moj red!“ Ili: „Sjajno! Pronašla si dvije kartice s mačkama. Sad je moj red da biram.“ Što češće koristite izraze „tvoj red“ i „moj red“, tako da dijete počne da usvaja taj koncept. Pitajte svoje dijete: „Čiji je red sada? Odlično, hvala ti!“ Učinite da igranje društvene igre za nejga/nju bude prijatno iskustvo, nemojte stavljati u prvi plan ko je pobijedio, a ko izgubio, već se potrudite da zajednička igra bude zabavna.</p>

<p>Vaše dijete će uživati u bilo kojoj jednostavnoj igri – ako se igra s Vama!</p>

<p><strong>Što dijete uči: </strong>Kako dijete raste, povećava se broj situacija u kojima će morati da poštuje neka pravila (u vrtiću, u školi, na igralištu, u prodavnici, kod ljekara itd.). Ova igra je prilika da se u zaštićenim okolnostima vježba strpljenje i da se dijete polako priprema na takvu vrstu ponašanja. Uz to, igre smjenjivanja podstiču inicijativnost („moj red – tvoj red“) i veoma su važne za kognitivni i socijalni razvoj djece, a ova aktivnost je jedan od načina da se tome doprinese.</p>",12661,yes,parent,,6436,7021,1,me-cnr,published
7471,Lopte u kutiji,"<p><strong>Šta Vam je od materijala potrebno: </strong>lopte različitih veličina (gumene ili mekane – mogu biti sunđeraste, napravljene od čarapa ili novina); kartonska kutija veća od najveće lopte</p>

<p><strong>Šta možete raditi zajedno: </strong>Prilagodite igru prostoru – ako se igrate kod kuće ili u nekom drugom zatvorenom prostoru, obezbijedite mekane lopte, a ako aktivnost sprovodite vani, bolje je da koristite one gumene. Ohrabrite svoje dijete da pokuša da ubaci loptu u kutiju. Započnite igru tako što ćete mu prvo Vi pokazati kako da to uradi i na početku stojte vrlo blizu kutije. Kako Vaše dijete bude postajalo spretnije u bacanju, povećavajte izazov povećavajući razdaljinu. Probajte ovu aktivnost s loptama različitih veličina. Vaše dijete će vjerovatno uživati u igri. Ako vidite da je dijete zainteresovano, možete brojati koliko je puta ubacilo loptu u kutiju.  </p>

<p><strong>Što dijete uči: </strong>Vaše dijete razvija svoje fizičke vještine, uči kako da kontroliše sopstvene pokrete da bi postiglo preciznost u bacanju. Razvijanje ove vještine pomaže izgradnji samopouzdanja. Ako igri dodate i brojanje pogodaka, pomoći ćete djetetu da izgradi osnov za svoje rane matematike sposobnosti.</p>",12666,yes,parent,,6436,7026,1,me-cnr,published
7476,Dokle dobacujemo?,"<p><strong>Šta Vam je od materijala potrebno: </strong>jedna ili više lopti (ako nemate loptu, možete je napraviti od zgužvanog papira ili čarapa); veća kartonska kutija; meta za gađanje (na primjer, štap položen na zemlju)</p>

<p><strong>Šta možete raditi zajedno: </strong>Pozovite svoje dijete na igru: „Možeš da šutneš loptu? Dobro! Pokušajmo sad nešto teže. Možeš li odavde da ubaciš loptu u kutiju (kutiju postavite tako da otvor bude prema djetetu)? Ali da ne koristiš ruke, samo noge. Pokušaj ponovo, nije lako! Možda možeš da se primakneš malo bliže.“ Naravno, predloge ćete uskladiti s vještinama Vašeg djeteta i time koliko je zainteresovano za igru. Možete pojačati izazov: „Hajde sad da probamo nešto drugačije. Možeš li odavde da šutneš loptu i dobaciš je sve do štapa? Vau, to je dobar udarac!“</p>

<p><strong>Što dijete uči: </strong>Ovakve i slične aktivnosti pomažu Vašem djetetu da nauči da kontroliše svoje pokrete. Ono takođe razvija sposobnost razmišljanja, jer planira kojom snagom, ili iz kog ugla, treba da udari loptu tako da ona završi u kutiji.</p>",12671,yes,parent,,6436,7031,1,me-cnr,published
