ID,Title,Body,Cover_image,Equipment,Type_of_support,Child_age,Domain,Related_milestones,Mandatory_content,Translation_language,Moderation_state
7176,Помагање на вашето бебе да се смири само,"<p><strong>Потребни материјали: </strong>Предмети што обично би ги ставиле во креветчето на вашето бебе или во близина на креветчето или на друго место каде што бебето се става да легне. </p>

<p><strong>Што можете да правите заедно: </strong>Многу е важно да го надгледувате вашето бебе кога е вознемирено.  Сепак, ќе забележите дека вашето бебе се повеќе успева да се смири самото - барем на кратко.  Можете да му помогнете со тоа што ќе му обезбедите безбедни предмети во негова близина, што би можеле да го смират.  На пример, дали вашето бебе има мека играчка која сака да ја допира?  Дали има некоја шарена слика која може лесно да ја види? Дали рацете на вашето бебе се во позиција во која тоа може да ги цица ако тоа го смирува? Пред веднаш да одите кај вашето бебе, почекајте малку за да видите дали тоа почнува самото да се смирува.   </p>

<p><strong>Што учи вашето дете:  </strong>Вашето бебе знае дека може да смета на вас за работите да станат подобри.  Но, вашето бебе исто така учи дека може да направи работи со кои самото може да се смири. Само-смирувањето е важна работа што треба да се научи, почнува сега, но се развива во следните месеци и години. Како и секогаш, од суштинско значење е вашата емотивна поддршка. </p>",11801,yes,parent,,6431,2566,0,mk-mk,review_after_translation
7181,Одржување на бебето заинтересирано ,"<p><strong>Потребни материјали: </strong>Вообичаени предмети или игри што често ги сака вашето бебе. </p>

<p><strong>Што можете да направите заедно: </strong>На оваа возраст, вашето бебе не може да каже „Досадно ми е“ или „Ми се допаѓа ова, те молам, не запирај!“ Набљудувајќи како се однесува вашето малечко, ќе знаете дали вашето бебе може да биде заинтересирано да гледа или да направи нешто ново. Вашето бебе може да започне да негодува или да ја сврти главата од нешто што порано го интересирало. Или можеби само треба само да го ставите на ново место или позиција.  </p>

<p>Обидете се со неколку работи за да го одржите вашето бебе љубопитно, заинтересирано и задоволно. Вие најдобро го познавате вашето бебе. Можеби ќе го фасцинира нов предмет кој може да го држи малку подолго.  Или, може да го земете бебето, да шетате малку и да погледнете нови делови од собата. Или може му е доволно „време да лежи на на стомак“ и сака да се сврти на грб, за да гледа во нешто. </p>

<p>Не треба да правите нешто различно секоја минута, туку само обрнете внимание на сигналите кои ви ги дава вашето бебе и направете едноставни промени, стимулацијата може да го направи вашето бебе задоволно и заинтересирано. </p>

<p><strong>Што учи вашето дете: </strong> Дури и пред вашето бебе да може да се движи или да разговара, тоа има начини да ви каже што му треба. Едноставните промени во предметите што може да ги гледа или држи, или малите промени во положбата на вашето бебе, ќе ја отворат вратата за нови можности за учење. Со текот на времето, ќе дознаете што му треба, за да ви даде време за себе и на вашето бебе за учење. </p>",12486,yes,parent,,6436,2586,1,mk-mk,review_after_translation
7186,Игра на имагинација,"<p><strong>Потребни материјали: </strong>Не се потребни.</p>

<p><strong>Што можете да направите заедно: </strong>Одговорете на некој начин секогаш кога вашето бебе негодува. Нека биде вистински мал „разговор“ - разговарајте со бебето со нежен глас, насмевнете му се додека му зборувате. Додека разговарате, од време на време правете кратки паузи за да му дадете шанса на вашето бебе да се вклучи; во одреден момент, бебето ќе започне да испушта едноставни звуци. Зборувајте со висок или низок тон, обидете се со шепот и пеење. Направете го тоа наизменично со бебето. Повторете ги звуците што ги прави бебето.  </p>

<p>Поставете го бебето лице в лице со вас - бебето ќе ве гледа додека ги правите тие звуци. Бебето во оваа позиција може да ве гледа како го менувате изразот на лицето (голема насмевка, испружен јазик, широки очи, подигнати веѓи, подуени образи или дување). Набљудувајте го бебето и доколку забележите дека некои од овие изрази го плашат, брзо променете го изразот на лицето и по некое време обидете се повторно со помек израз на лицето. Запомнете дека секое бебе е различно и реагира на различни начини.  Во оваа игра, чувајте го изразот на лицето некое време за да му дадете на вашето бебе шанса да се обиде да создаде нов израз на лицето гледајќи и имитирајќи ве. Повторете го она што го прави бебето. </p>

<p>Друга идеја е да му покажете на бебето кукла од партали, или само да ставите мал чорап на прстот. Кажете го името на бебето додека ја поместувате куклата или чорапата горе-долу. Бидете сигурни дека бебето го следи тоа движење. Потоа движете го прстот наоколу. Секој пат кога ќе го видите вашето бебе како ги следи движењата на куклата, обидете се со ново движење. </p>

<p>Овие се многу удобни рутини при промена на пелени, но исто така може да се користат во секој слободен момент што го поминувате со бебето.</p>

<p><strong>Што учи вашето дете:  </strong>Во оваа фаза, најдобрата играчка - што најмногу го фасцинира бебето - сте вие! Вашето лице, вашиот глас, вашите раце, вашето тело. Вашето бебе учи да комуницира со вас и внимателно и детално ги набљудува лицата на луѓето, одржува долг контакт со очите.</p>",10571,,parent,,6441,2616,1,mk-mk,review_after_translation
7191,Истражувајте и пронајдете игри,"<p><strong>Потребни материјали: </strong>Сите омилени играчки, пелени, шал, хартиена крпа, платнена торба или торбичка, мали пластични шишиња, разни семиња и мали предмети.</p>

<p><strong>Што можете да направите заедно: </strong>Играјте криење на предмети. Дозволете му на вашето бебе да ве види како го криете предметот под ќебе, пелена или перница. Ако бебето не започне да го бара скриениот предмет, следниот пат покријте го делумно. Помогнете му на бебето да го најде предметот.</p>

<p>Лабаво завиткајте мала играчка во хартиена крпа или салфетка (не користете селотејп). Детето може да го одвитка пакетот и да најде изненадување. Може да користите и друга мека хартија или хартија за завиткување со весели бои што шумолат. Играчката може да ја завиткате и во тенка салфетка, крпа или пелена. Друга идеја е да направите торба за изненадување што детето ќе го најде наутро. Наполнете хартиена кеса или платнена торба со предмети што ги имате: кадифена играчка, нешто што испушта звук, мала пластична тегла со капаче со завртка или книга со картонски страници. Поттикнете го вашето бебе да ја истражува „магичната торба“.  Бидете сигурни дека предметите се безбедни и добро надгледувајте го.</p>

<p>Друга идеја е да играте „игри со преправање“ со мека играчка или кукла. Покажете и кажете му на детето што прави куклата (оди, спие, јаде, игра на маса). Користете зборови за да опишете што прави куклата, може да и дадете и глас на куклата - сè што е забавно за вас и вашето дете.  Дајте му ја на детето таа играчка и видете дали ќе ја помести куклата и ќе го направи она што вие го правите.  Може да се менувате ако вашето дете ужива во таа игра!</p>

<p>Децата сакаат да си играат со предмети што произведуваат звуци и прават бучава. Ако имате време и имате материјали, можете да направите покомплексно штракало со тоа што ќе нанижете метални нараквици доволно широки за да се стават на раката на бебето.  Можете исто така да наполните мали пластични шишиња (со капаци што децата не можат да ги отворат) со предмети што звучат различно, на пр. џамлии, ориз, сол, зрна пченка, итн.  Ако го направите ова, задолжително затворете ги капаците за безбедност и поттикнете го детето да ги истражува звуците.</p>

<p>Оваа активност можете да ја користите кога имате слободно време, искористете ја за едноставна игра со вашето дете.  Ако има постари браќа и сестри, поттикнете ги да играат на сличен начин со најмладиот член на семејството.  </p>

<p><strong>Што учи</strong> вашето дете: вашето дете почнува да открива нови предмети и лица со допирање и играње со нив. Овие активности помагаат да се развијат нивните фини моторни и сензорни вештини.</p>",9246,yes,,,6436,2626,1,mk-mk,review_after_translation
7196,Играње на под,"<p><strong>Потребни материјали: </strong> Подна подлога или ќебе, омилени играчки, тропалки.  </p>

<p><strong>Што можете да направите заедно: </strong>Поставете го бебето така што ќе можете да ги допирате неговите стапала. Нежно играјте со неговите нозе и прсти и нежно скокоткајте го. Допирајте ги прстите на бебето еден по еден и истовремено кажете: „Овој прст е… мал палец / прст на мама / прст на тато“ за секој прст. Додека бебето е на грб, ставете играчка на навивање која произведува звук (ако имате) покрај или зад бебето. Проверете дали бебето го бара изворот на звукот.  Или нежно вртете штракалка или тегла со грав и проверете дали бебето го следи тоа.</p>

<p>На мека рамна површина, на креветот или ќебето, додека лежи на грб, нежно допрете или масирајте ги рацете и прстите на бебето додека разговарате со него - на пример: „еве ти ја раката; еве ти ги прстите“, зборувајќи му што правите. Или, пак, би можеле да му пеете нежна песна додека му ги галите рацете.  Друга идеја е да користите едноставна играчка што ќе ја поставите каде што бебето може да ја види, но која што не може да ја дофати.  Дали се обидува да ја дофати?  Може да ја преместите играчката откако бебето ќе ја погледне.  Како што бебето расте, можете да му помогнете да се преврти за да посегне по играчката.</p>

<p>Има толку многу идеи за „игри на под“ додека вашето бебе расте!  Ставете ќебе или крпа на тепихот, ставете го бебето на стомак така што главата ќе му биде свртена на едната страна. Легнете покрај бебето за да го охрабрите. Бебето може да остане во оваа положба сè додека му се допаѓа, но забележете дали неговата глава е свртена кон левата и десната страна приближно исто време. Повторно, можете да ги ставите омилените играчки или предмети пред бебето, но така што тие ќе бидат само малку надвор од дофатот на бебето. Како што вашето бебе расте, поттикнувајте го бебето да се обидува да ги дофати и да се движи во нивна насока.</p>

<p>„Време на стомак“ е важно за физичкиот развој.  Бидете сигурни дека времето што вашето бебе го поминува на стомак е малку подолго секој ден. Набљудувајте го вашето бебе, за да можете нежно да го поместите доколку го сврти лицето директно на подот, бидејќи тоа може да го отежни дишењето. Како што тоа станува се посилно со текот на времето, ќе може да ја крене главата и да се крене малку со туркање со рацете. Овие движења подоцна ќе прераснат во тркалање и ползење.</p>

<p><strong>Што учи вашето дете:  </strong>Ова се одлични можности да користите едноставни игри за да создадете позитивно, пријатно опкружување за вашето дете. За време на овие игри, вашето дете учи да ги истражува и контролира движењата на своето тело и глава. Бебето може да ја крене главата и да се задржи на рацете.  </p>",446,yes,,,6421,2656,1,mk-mk,review_after_translation
7201,Види што можеш да направиш со рацете!,"<p><strong>Потребни материјали: </strong>Не се потребни</p>

<p><strong>Што можете да направите заедно: </strong>На оваа возраст, вашето бебе ги открива своите раце. Тоа ги гледа (ШТО се овие) и исто така почнува да може да ја наоѓа својата уста со тие раце. Не е потребно да го учите вашето бебе на оваа вештина, но можете да го поттикнете ова ново учење на многу начини, секој ден. Осигурете се дека вашето бебе може слободно да ги движи рацете во поголемиот дел од денот. Промена на пелена, облекување и време за капење може да бидат особено добри можности за бебето. Често ставајте го бебето во положби што му овозможуваат лесно да ги гледа и контролира рацете. Вашето бебе може да изгледа возбудено од откривањето на овој „трик“.  Обрнете внимание и споделете го задоволството при воспоставување на оваа врска. </p>

<p><strong>Што учи вашето дете:  </strong>Ова е важен чекор во способноста на вашето бебе да ги контролира движењата на различни делови од телото. Исто така, се развива чувството за допир и вкус кога вашето бебе ја поврзува својата уста со прстите.<strong>  </strong></p>",12491,no,parent,,6436,2666,0,mk-mk,review_after_translation
7206,Барање на скриени предмети,"<p><strong>Потребни материјали: </strong>Неколку меки играчки или предмети од дома, безбедни и привлечни за бебето.  </p>

<p><strong>Што можете да направите заедно: </strong>Ставете го вашето бебе на стомак, на тепих или друга мека површина. Седнете така да можете да го гледате лицето на вашето бебе и да ја контролирате неговата безбедност. Ставете неколку играчки на едната (левата или десната) страна на бебето надвор од негов дофат, но во полето на неговиот вид. Почекајте да ги забележи или привлечете го неговото внимание со изненаден тон на гласот (велејќи: „Аааа, што има тука ?!“). Почекајте вашето бебе да се преврти за да може да дофати некој од предметите. Ако вашето бебе не се обиде самостојно, помогнете му да се преврти од стомак на грб за да може да ги дофати предметите. Охрабретего со ентузијастички глас и широка насмевка. Кога тоа ќе престане да се интересира, ќе погледне настрана или ќе протестира - повторете го целиот процес со други предмети, од другата страна.</p>

<p><strong>Што учи вашето дете:  </strong>Вашето бебе има можност да истражува предмети гледајќи ги, движејќи ги од рака во рака, допирајќи ги, ставајќи ги во уста.</p>

<p> </p>

<p> </p>",10601,yes,parent,,6436,2691,1,mk-mk,review_after_translation
7211,Што е тоа и како се вика?,"<p><strong>Потребни материјали: </strong> Различни книги, списанија, каталози, сè што содржи букви и зборови или други симболи и што поттикнува зборување и интересни разговори.</p>

<p><strong>Што можете да направите заедно: </strong>Почнете кога вашето бебе е старо само неколку месеци, тивко разговарајте со бебето додека го храните, му менувате пелени, го држите во прегратка, кога е до вас на кревет или во количка. Иако тоа не ги разбира сите зборови, дури и како новороденче, бебето го препознава вашиот глас и тоа му претставува задоволство. Кога ќе го видите бебето како реагира на вашиот глас, одговорете со топли насмевки, галете го итн.  Ако тоа не одговори, продолжете да се обидувате!  Тоа ќе почне да одговара.</p>

<p>Читајте му едноставни книги за бебиња или раскажувајте приказни од првиот ден. Дури и ако не ја разбира приказната, бебето ќе ужива во вашата близина и вашиот глас. Тоа сака да ги гледа сликите што му ги покажувате. Читајте му книги напишани за бебиња или разнобојни списанија и истовремено покажете му што има на сликата. Оставете го бебето да ги допре сликите во книгата. Наведете сè што тоа покажува со едноставни зборови. </p>

<p>Книгите се важни, но еднакво е важен и самиот разговор со вашето бебе. Кога времето е убаво, однесете го вашето бебе на прошетка во природа, дури и ако е блиску до вашиот дом. Раскажете му за сè што гледате. </p>

<p>Ако немате книги наоколу, можете исто така да зборувате за работи како делови од телото, предмети што ги користите секој ден и луѓе кои детето ги познава. На тој начин, тоа ќе разбере дека сè има свое име и постепено ќе започне да ги учи тие имиња. Именувајте сè што правите во вашите дневни активности и рутини. Додека ги именувате работите, покажете го предметот или што правите. „мама прави сок за бебето. „Ова е сок“, го покажувате сокот. „Мама му менува пелена на бебето“. „ова е пелена“, и му ја покажувате пелената. Бидете сигурни дека бебето слуша и гледа што му покажувате. На пр „денес јадеме брокула, ммммм, колку е вкусна“ и покажете го садот. Ова не се „лекции“, туку се пријатни моменти заедно додека го запознавате вашето бебе со сите прекрасни работи на светот!</p>

<p>Секогаш кога имате слободно време за играње, можете да ги користите горенаведените примери во вашата рутина (менување пелени, подготовка за оброк, итн.).</p>

<p><strong>Што учи вашето дете:  </strong>Дури и ако бебето не ве разбира, тоа ќе ги следи сликите, звуците, мирисите и вашиот глас. Тоа ќе разбере дека сè има свое име и постепено ќе започне да ги учи тие имиња.</p>",11426,yes,parent,,6441,2731,1,mk-mk,review_after_translation
7216,Запознавање нови пријатели,"<p><strong>Потребни материјали: </strong> Не се потребни.</p>

<p><strong>Што можете да направите заедно: </strong>Вашето бебе плаче на различни начини и со плачење се обидува да пренесе различни пораки. Во овој период, може да забележите дека бебето почнува да се вознемирува кога ќе се појават нови, непознати лица, што не беше случај порано. Ова е сосема очекувано. Помогнете му со запознавање нови луѓе постепено и не нагло и ако е можно, во веќе позната средина. Бидете секогаш со вашето бебе кога некое ново лице ќе му се приближи или ќе му се обрати, и ако се зголеми вознемиреноста и плачот - смирете го. Зборувајте со вашето бебе со мирен глас, држејќи го во рацете за да го уверите дека нема да го оставите. Можете нежно да го лулате, да го гушкате или да му пеете. Внимателно набљудувајте го за да видите кога вашето бебе е подготвено за предизвикот повторно да се дружи. Ова ќе го знаете кога тоа ќе погледне наоколу и ќе истражува работи и луѓе во неговата околина. Полека обидете се повторно да го запознаете со нови луѓе, следејќи ги неговите знаци на задоволство или непријатност.</p>

<p>Секое бебе е различно; вашето бебе може да биде доста заинтересирано за нови луѓе или може бавно да се вклопува, дури и со пријателски расположени непознати луѓе.  Следете ги реакциите на вашето бебе и уживајте со вашата единствена мала личност!</p>

<p><strong>Што учи вашето дете: </strong>Вашето бебе учи да реагира на нови ситуации и луѓе, а неговите реакции веројатно ќе се менуваат од недела во недела. Доколку нови луѓе станат дел од светот на вашето бебе, со ваша помош тоа постепено се навикнува на нив, така што ќе се чувствува пријатно. </p>",2646,no,parent,,6431,2761,1,mk-mk,review_after_translation
7221,Игри пред огледало: „Никој не е како мене“,"<p><strong>Потребни материјали: </strong>Големо зидно огледало, или мало некршливо огледало (играчка).</p>

<p><strong>Што можете да направите заедно: </strong>Како да го направите тоа: Дозволете му на бебето да се види себеси во огледало. Поставете некршливо огледало покрај креветчето на бебето или столчето за менување пелени, за да може бебето да се види себеси во него. Започнете да зборувате и тропнете на огледалото за да го натерате да го погледне. Кажете „Види, ова е [името на вашето бебе]“. По некое време, бебето ќе сфати дека тоа е неговиот одраз. Дозволете му на бебето да го допре огледалото и да го насочи прстот кон себе во огледалото.</p>

<p>Погледнете во огледалото заедно со вашето бебе - насмевнете се и мавтајте му во огледалото. Насмевнете се и направете смешни изрази на лицето заедно додека се гледате во огледалото. Со кармин или креда, заокружете го местото каде што вашето бебе се рефлектира на големото огледало, поттикнете го да го допре тоа место со прстите и да го обои огледалото со рака, да ги истражи и сфати промените. Следете сè што прави бебето со позитивни и охрабрувачки коментари, звуци, разговарајте со бебето за тоа што прави, што се случува, кој е во огледалото, повторете го името на бебето и покажете го неговото лице во огледалото. Повторете го истото со вашиот лик во огледалото. Посочете се, именувајте - тоа е мама ... ова е ... (повторете го името на детето).  Како што вашето бебе расте, ќе видите како тоа почнува да го препознава своето име. Правете го тоа често.</p>

<p>Пред огледалото, можете да играте и игри за криење или „каде е [името на бебето]?“ со бебето. Тоа секогаш ќе се израдува и ќе се насмевне кога повторно ќе се види себе си и / или вас зад шалот што го тргате.</p>

<p>Кога бебето ќе почне да се превртува или лази на стомак, играјте ја играта „дојди и фати ме“. Оставете го бебето малку да се помрдне, а вие го следите и гушкате кога ќе го фатите.</p>

<p>Овие активности можете да ги користите во сите прилики кога има убаво големо огледало пред вас, но и во други игри на под, во креветче, на големи кревет, додека чекате во лекарската ординација итн.</p>

<p><strong>Што учи вашето дете:  </strong>Овие игри се толку интересни за бебето, додека истовремено го поттикнуваат развојот на слика за себе, за изгледот и за местото во опкружувањето.</p>",9501,yes,parent,,6436,2776,1,mk-mk,review_after_translation
