ID,Title,Body,Cover_image,Equipment,Type_of_support,Child_age,Domain,Related_milestones,Mandatory_content,Translation_language,Moderation_state
7176,Помощь ребенку в самоуспокоении,"<p><strong>Необходимые предметы: </strong>Предметы, которые вы обычно кладете в кроватку вашего ребенка или рядом с ним или в другое место, где он или она будет лежать. </p>

<p><strong>Что вы можете делать вместе: </strong>По-прежнему важно заботиться о своем ребенке, когда он или она расстроен/а. Однако вы заметите, что ваш ребенок все лучше и лучше начинает успокаивать себя сам/а, по крайней мере, на короткое время. Вы можете помочь своему ребенку, убедившись, что поблизости есть безопасные предметы, которые могут помочь ему или ей чувствовать себя комфортно. Например, есть ли мягкая игрушка, которую ваш ребенок любит гладить? Есть ли красочный мобильный телефон или картинка, которую легко увидит ребенок? Находятся ли руки вашего ребенка в положении, в котором он или она может их сосать, если это успокаивает вашего ребенка? Прежде чем, незамедлительно пойти к ребенку, сделайте паузу и немного приглядитесь, чтобы увидеть, начинает ли ребенок успокаиваться сам/а или успокоился ли на короткое время.   </p>

<p><strong>Что изучает ваш ребенок: </strong>Ваш ребенок знает, что он или она может положиться на вас, чтобы улучшить ситуацию. Но ваш ребенок также узнает, что он или она сам/а может сделать что-то, чтобы сохранить спокойствие. Самостоятельное успокаивание - это важный навык, которому нужно научиться, начиная с данного момента, но при этом развивая в ближайшие месяцы и годы. Как и всегда, важна ваша любящая поддержка. </p>",11801,yes,parent,,6431,2566,0,ru,published
7181,Сохранение интереса у ребенка ,"<p><strong>Необходимые материалы: </strong>Только обычные предметы или игрушки, которые больше всего нравятся вашему ребенку. </p>

<p><strong>Что вы можете делать вместе: </strong>В этом возрасте ваш ребенок не может сказать: «Мне скучно» или «Мне это нравится, пожалуйста, не останавливайтесь!» Наблюдая за тем, как ведет себя ваш малыш, вы можете понять, может ли ваш ребенок заинтересоваться или заняться чем-то новым. Он/она может начать суетиться или отворачиваться от того, чем ваш ребенок интересовался раньше. Или, возможно, ей/ему просто нужно найти новое место или положение.  </p>

<p>Попробуйте несколько вещей, чтобы ваш ребенок оставался любопытным, бдительным и удовлетворенным. Вы знаете своего ребенка лучше всего. Может быть, новый предмет, который нужно держать в руках, будет очаровывать его/ее еще немного. Или вы можете взять ребенка на руки, немного прогуляться и осмотреть новые части комнаты. Или, возможно, прошло достаточно «времени на животике» и ваш ребенок хочет лежать на спине, и на что-то смотреть. </p>

<p>Вам не нужно делать что-то новое каждую минуту, просто обращайте внимание на сигналы вашего ребенка и вносите некоторые простые изменения, если немного большее или немного меньшее побуждение к игре может сделать вашего ребенка удовлетворенным и заинтересованным. </p>

<p><strong>Чему при этом учится ребенок: </strong>У вашего ребенка есть способы сказать вам, что ему/ей нужно, еще до того, как малыш сможет двигаться или говорить. Простые изменения предметов, на которые нужно смотреть или держать, или небольшие изменения в положении вашего ребенка откроют дверь к новым возможностям обучения. Со временем вы поймете, что дает вам и вашему ребенку время для обучения. </p>",12486,yes,parent,,6436,2586,1,ru,published
7186,Игра воображение,"<p><strong>Необходимые материалы: </strong>Отсутствуют.</p>

<p><strong>Что вы можете делать вместе: </strong>Отвечайте всякий раз, когда ваш ребенок бормочет. Пусть это будет настоящий маленький «разговор» - говорите с малышом нежным голосом, улыбайтесь ему во время разговора; во время разговора, время от времени, делайте короткие перерывы, чтобы дать ребенку возможность пообщаться; в какой-то момент ребенок начнет издавать простые звуки. Говорите высоким или низким тоном, попробуйте шептать и петь. Делайте это поочередно с малышом. Повторяйте звуки, которые он/она издает.  </p>

<p>Положите ребенка лицом к лицу с собой - ребенок будет наблюдать за вами, когда вы издаете эти звуки. Ребенок в этом положении может наблюдать, как вы меняете выражение лица (широкая улыбка, вытянутый язык, широко раскрытые глаза, приподнятые брови, пухлые щеки или выдувание). Понаблюдайте за ребенком и, если вы заметили, что некоторые из этих выражений его/ее пугают, быстро измените выражение лица и через некоторое время попробуйте еще раз, сделав выражение лица более мягким. Помните, что каждый ребенок индивидуален и реагирует по-разному. В данной игре сохраняйте выражение лица на некоторое время, чтобы дать ребенку возможность попытаться создать новое выражение лица, наблюдая за вами и подражая ему/ей. Повторите то, что делает ребенок. </p>

<p>Другой вариант - показать малышу тряпичную куклу или просто наденьте на палец небольшой носок. Назовите имя ребенка, перемещая куклу или носок вверх и вниз, как куклу. Убедитесь, что ребенок следит за этим движением. Затем проведите пальцем по кругу. Каждый раз, когда вы видите, что ваш ребенок следует за движениями куклы, пробуйте новое движение. </p>

<p>Это очень удобная привычка при смене подгузников, но ее также можно использовать в любой свободный момент, который вы проводите с ребенком.</p>

<p><strong>Что изучает ваш ребенок: </strong>На этом этапе лучшая игрушка, которая больше всего увлекает малыша, - это вы! Ваше лицо, ваш голос, ваши руки, ваше тело. Ваш малыш учится общаться с вами, внимательно и подробно рассматривает лица людей и поддерживает долгий зрительный контакт.</p>",10571,,parent,,6441,2616,1,ru,published
7191,Исследуй и найди игры,"<p><strong>Необходимые материалы: </strong>Любые любимые игрушки, подгузники, шарф, бумажное полотенце, холщовый мешок или кошелек, небольшие пластиковые бутылки, различные семена и мелкие предметы.</p>

<p><strong>Что вы можете делать вместе: </strong>Играйте в прятки. Позвольте ребенку увидеть, как вы прячете предмет под одеялом, подгузником или подушкой. Если ребенок не начинает находить спрятанный предмет, в следующий раз прикройте его частично. Помогите малышу найти предмет.</p>

<p>Свободно оберните маленькую игрушку бумажным полотенцем или салфеткой (не используйте скотч). Ребенок может развернуть пакет и найти сюрприз. Вы также можете использовать другую мягкую бумагу или оберточную бумагу веселых, шелестящих цветов. Также можно завернуть игрушку в тонкую салфетку, ткань или пеленку. Еще одна идея - сделать сумку-сюрприз, которую ребенок найдет утром. Наполните бумажный или холщовый мешок следующими или другими подобными предметами, которые у вас могут быть: мягкая игрушка, что-то издающее звук, небольшая пластиковая банка с завинчивающейся крышкой или книга с картонными страницами. Поощряйте малыша исследовать «волшебную сумку». Убедитесь, что предметы безопасны и игра хорошо контролируется вами.</p>

<p>Еще одна идея - поиграть в «ролевые игры» с мягкой игрушкой или куклой. Покажите и расскажите ребенку, что делает кукла (ходит, засыпает, ест, играет за столом). Используйте слова, чтобы описать, что делает кукла, возможно, дайте кукле голос - все, что нравится вам и вашему ребенку. Дайте ребенку эту игрушку и посмотрите, будет ли он/она двигать куклу и делать то, что вы делаете. Вы можете играть по очереди, если вашему ребенку нравится эта игра!</p>

<p>Детям нравится играть с предметами, которые издают звуки и шумят. Если у вас есть время и материалы, вы можете сделать погремушку более сложной формы, натянув металлические браслеты достаточно широкие в ширину, чтобы они могли поместиться на руке ребенка. Вы также можете наполнить небольшие пластиковые бутылки (с крышками, которые дети не могут открыть) предметами, которые звучат иначе, например, шариками, рисом, солью, зернами кукурузы и т.д. Если вы это сделаете, обязательно плотно закройте крышки в целях безопасности и поощряйте ребенка исследовать звуки.</p>

<p>Вы можете использовать это задание, когда у вас будет немного свободного времени, используйте его для простой игры с вашим ребенком. Если есть старшие братья и сестры, предложите им играть так же, как и с самым младшим членом семьи.  </p>

<p><strong>Чему при этом учится ваш ребенок:</strong> Ваш ребенок начинает открывать для себя новые предметы или людей, прикасаясь к ним и играя с ними. Эти занятия помогают развивать мелкую моторику и сенсорные навыки.</p>",9246,yes,,,6436,2626,1,ru,published
7196,Времяпровождения на полу,"<p><strong>Необходимые материалы: </strong>Коврик или одеяло, любимые игрушки, погремушки.  </p>

<p><strong>Что вы можете делать вместе: </strong>Расположите ребенка так, чтобы вы могли касаться его/ее ступней. Осторожно поиграйте ступнями и пальцами ног вашего малыша и нежно пощекочите его/ее. Прикоснитесь к пальцам ребенка один за другим и одновременно скажите каждому пальцу: «Этот палец… мизинец / палец мамы / палец папы» для каждого пальца. Пока ребенок лежит на спине, поместите заводную игрушку, издающую звук (если она у вас есть), рядом с ребенком или позади него/нее. Проверьте, ищет ли ребенок источник звука. Или осторожно встряхните погремушку или банку с фасолью и посмотрите, ищет ли ее ребенок.</p>

<p>На мягкой плоской поверхности, на кровати или одеяле, лежа на спине, нежно постучите или помассируйте руки и пальцы ребенка во время разговора с ним/ней - например, «Вот твоя рука; вот твои пальцы», говоря ему/ей, что вы делаете. Или вы можете спеть нежную песню, поглаживая его/ее руки. Другой вариант - использовать простую игрушку, которую вы кладете так, чтобы ребенок мог ее видеть, но не мог дотянуться. Малыш пытается? Вы можете двигать игрушку, пока ребенок смотрит на нее. Как ребенок подрастет, вы можете поощрить его/ее перевернуться, чтобы дотянуться до игрушки.</p>

<p>По мере того как ваш ребенок будет расти, будет появляться много идей для «времяпровождения на полу»! Положите одеяло или полотенце на ковер, положите ребенка на животик так, чтобы его голова была повернута набок. Лягте рядом с младенцем, чтобы подбодрить его/ее. Ребенок может оставаться в этом положении столько, сколько ему нравится, но убедитесь, что его голова повернута влево и вправо примерно на одинаковое время. Опять же, вы можете положить любимые игрушки или предметы перед ребенком, но так, чтобы они были немного вне досягаемости ребенка. По мере того как ваш ребенок становится старше, поощряйте его попытки дотянуться до них и двигаться в его/ее направлении.</p>

<p>«Время живота» важно для физического развития. Следите за тем, чтобы ребенок каждый день проводил на животе немного больше времени. Понаблюдайте за своим ребенком, чтобы вы могли осторожно двигать его/ее, если малыш поворачивается лицом к полу, так как это может затруднить дыхание. По мере того как со временем он/она становится сильнее, ребенок сможет поднимать голову и немного приподниматься, толкая ее руками. Позже эти движения перерастут в перекатывание и ползание.</p>

<p><strong>Что изучает ваш ребенок: </strong>Это отличная возможность использовать простые игры для создания позитивного и приятного окружения для вашего ребенка. Во время данных игр ваш ребенок учится исследовать и контролировать движения своего тела и головы. Ребенок может поднять голову и поддержать себя руками.  </p>",446,yes,,,6421,2656,1,ru,published
7201,"Посмотри, что ты можешь делать своими руками!","<p><strong>Необходимые материалы: </strong>Отсутствуют</p>

<p><strong>Что вы можете делать вместе: </strong>В этом возрасте ваш ребенок открывает для себя возможности своих рук. Он/она смотрит на них (чем они ЯВЛЯЮТСЯ?). И также начинает находить этими руками его/ее рот. Вам не обязательно учить ребенка этому навыку, но вы можете поощрять данное новое обучение разными способами, каждый день. Убедитесь, что кисти и ручки вашего ребенка могут двигаться большую часть дня. Смена подгузников, одевание и купание могут быть особенно хорошими возможностями для ребенка. Чаще ставьте ребенка в такое положение, чтобы ему/ей было легче видеть и контролировать свои ручки и ладони. Ваш ребенок может казаться взволнованным, узнав об этой ""хитрости"". Обратите внимание на эту связь и поделитесь ею. </p>

<p><strong>Чему при этом учится ребенок: </strong>Контроль своих движений, различных частей тела, является важным этапом в развитии способностей вашего ребенка. Когда ваш ребенок прикасается пальцами к своему рту, то таким образом развивает осязание и вкус.<strong>  </strong></p>",12491,no,parent,,6436,2666,0,ru,published
7206,Поиск скрытых предметов,"<p><strong>Необходимые материалы: </strong>Несколько мягких игрушек или вещей из дома, безопасных и привлекательных для ребенка.  </p>

<p><strong>Что вы можете делать вместе: </strong>Положите ребенка на живот, на ковер или другую мягкую поверхность. Сядьте так, чтобы вы могли видеть лицо ребенка и контролировать его/ее безопасность. Поместите несколько игрушек с одной (левой или правой) стороны от ребенка, вне его/ее досягаемости, но в поле ее зрения. Подождите, пока он/она заметит их, или вы привлечете его/ее внимание удивленным тоном голоса (говоря: «Аааа, что у нас тут?!»). Подождите, пока ребенок перевернется, чтобы дотянуться до одного из предметов. Если ваш ребенок не пытается самостоятельно, помогите ему перекатиться с живота на спину, чтобы малыш мог дотянуться до предметов. Подбодрите его/ее восторженным голосом и широкой улыбкой. Когда он/она перестает интересоваться, посмотрит в сторону или протестует - повторите весь процесс с другими объектами, с другой стороны.</p>

<p><strong>Чему при этом учится ребенок: </strong>У вашего ребенка есть возможность исследовать предметы, глядя, перемещая их из рук в руки, трогая, кладя их в рот.</p>

<p> </p>

<p> </p>",10601,yes,parent,,6436,2691,1,ru,published
7211,Что это такое и как это называется?,"<p><strong>Необходимые материалы: </strong>Различные книги, журналы, каталоги, вывески, все, что содержит буквы, слова или другие символы и что побуждает к разговору и интересным беседам.</p>

<p><strong>Что вы можете делать вместе: </strong>С ранних пор, когда вашему малышу будет уже пару месяцев, начинайте тихо разговаривать с ним/ней, пока кормите ребенка, меняете ему/ей подгузники, держите его/ее на руках, или, когда он/она находится рядом с вами на коврике, или в коляске. Несмотря на то, что он/она понимает не все слова, даже будучи новорожденным, ребенок узнает ваш голос, и ему/ей это понравится. Когда вы видите, как ребенок реагирует на ваш голос, отвечайте теплыми улыбками, ласкайте его/ее и т.д. Если он/она не отвечает, продолжайте попытки! Малыш начнет отвечать.</p>

<p>Читайте простые детские книжки или рассказывайте истории с первого дня. Даже если он /она не понимает рассказа, ребенку понравится ваша близость и ваш голос. Ему/ей понравится смотреть на фотографии, которые вы ему/ей показываете. Читайте детские книжки или красочные журналы и одновременно показывайте, что изображено на картинке, и рассказывайте об этом малышу. Пусть малыш погладит картинки в книге. Назовите все, что он показывает, простыми словами. </p>

<p>Книги важны, но не менее важно просто поговорить с малышом обо всем.  В хорошую погоду гуляйте с ребенком на природе, даже если вы просто рядом с домом. Рассказывайте ему/ей обо всем, что вы видите. </p>

<p>Если у вас нет книг, вы еще можете поговорить о таких вещах, как части тела, предметы, которые вы используете каждый день, и о людях, которых знает ребенок. Таким образом, он/она поймет, что у всего есть имя, и постепенно начнет изучать эти имена. Назовите все, что вы делаете в своей повседневной деятельности и распорядке дня. Называя вещи, показывайте объект или то, что вы делаете. «Мама делает сок для ребенка». «Это сок» - вы показываете сок. «Мама меняет пеленку ребенку». «Это подгузник» и вы показываете подгузник. Убедитесь, что ребенок слышит и видит то, что вы ему показываете. Например, «мы сегодня едим брокколи, мммм, какая вкусная» и показываем миску. Это не «уроки», а приятные моменты вместе, когда вы знакомите своего ребенка со всеми прекрасными вещами в мире!</p>

<p>Когда у вас появляется свободное время для игры, вы можете использовать приведенные выше примеры в своей повседневной жизни (переодевание, приготовление еды и т.д.).</p>

<p><strong>Чему при этом учится ребенок: </strong>Даже если ребенок вас не понимает, он/она будет следить за картинками, звуками, запахами и вашим голосом. Малыш поймет, что у всего есть имя, и постепенно начнет изучать эти имена.</p>",11426,yes,parent,,6441,2731,1,ru,published
7216,Заводим друзей,"<p><strong>Необходимые материалы: </strong>Не потребуются.</p>

<p><strong>Что вы можете делать вместе: </strong>Ваш ребенок может плакать по-разному и, плача, он/она может пытаться передать разные сообщения. В данный период вы можете заметить, что малыш начинает расстраиваться, когда появляются новые, незнакомые люди, чего раньше не было. Это вполне ожидаемо. Помогите ему/ей в первую очередь, всегда представляя новых людей постепенно, а не резко и, по возможности, в уже знакомой среде. Всегда будьте с малышом, когда к нему приближается новое лицо или обращается к нему, а если тревога и плач усиливаются - успокойте его/ее. Поговорите с малышом спокойным голосом, держа его/ее на руках, чтобы заверить ребенка, что вы не оставите его/ее. Вы можете нежно его/ее покачать, обнять или спеть для него/нее. Внимательно следите, чтобы увидеть, когда ваш ребенок будет готов снова найти друзей. Вы поймете это, когда он/она осмотрится и исследует вещи и людей в своем окружении. Постепенно попробуйте еще раз познакомить его/ее с новыми людьми, следя за его/ее признаками удовольствия и дискомфорта.</p>

<p>Каждый ребенок индивидуален; ваш ребенок может быть весьма заинтересован в новых людях или он/она может довольно медленно сближаться даже с дружелюбными незнакомцами. Следуйте за своим малышом и наслаждайтесь своим неповторимым человечком!</p>

<p><strong>Что изучает ваш ребенок: </strong>Ваш ребенок учится реагировать на новые ситуации и людей, так как его/ее реакции, вероятно, будут меняться от недели к неделе. Если новые люди становятся частью мира вашего ребенка, с вашей помощью он/она постепенно будет привыкать к ним, чтобы малыш чувствовал себя комфортно. </p>",2646,no,parent,,6431,2761,1,ru,published
7221,"Зеркальные игры: ""Никто как я""","<p><strong>Необходимые материалы: </strong>Большое настенное зеркало или маленькое небьющееся зеркало (в качестве игрушки).</p>

<p><strong>Что вы можете делать вместе: </strong>Как это сделать: позвольте ребенку увидеть себя в зеркале. Поместите небьющееся зеркало рядом с детской кроваткой или пеленальным столиком, чтобы ребенок мог видеть себя в нем. Начните говорить и коснитесь зеркала, чтобы он/она посмотрел/а на него. Скажите: «Смотри, это [имя вашего ребенка]». Через некоторое время, малыш поймет, что это его/ее отражение. Позвольте ребенку постучать по зеркалу и указать пальцем на себя в зеркале.</p>

<p>Посмотрите в зеркало вместе с малышом - улыбнитесь и помашите ему/ей в зеркале. Улыбнитесь и вместе сделайте забавные выражения лица, глядя в зеркало. С помощью помады или мелка обведите место, где ваш ребенок отражается в большом зеркале, побудите его/ее прикоснуться к этому месту пальцами и испачкать зеркало рукой, чтобы исследовать и осознать изменения. Следите за всем, что делает ребенок, с помощью положительных и обнадеживающих комментариев, звуков, говорите с ребенком о том, что он/она делает, что происходит, кто находится в зеркале, повторяйте имя ребенка и указывайте на его/ее лицо в зеркале. Повторите то же самое со своим персонажем в зеркале. Укажите на себя, назовите его - это мама ... это ... (повторите имя ребенка). Когда ваш ребенок станет старше, вы увидите, как он/она начинает узнавать свое имя. Используйте его часто.</p>

<p>Перед зеркалом вы также можете поиграть в прятки или «где [имя ребенка]?» с малышом. Он/она всегда будет светиться и улыбаться, когда снова увидит себя и/или вас за шарфом, который вы снимаете.</p>

<p>Когда ребенок начинает кататься или ползать на животике, играйте в игру «Иди и догони меня». Позвольте ребенку немного пошевелиться, а вы следите за ним/ней и обнимайте его/ее, когда ловите его/ее.</p>

<p>Вы можете использовать эти занятия во всех случаях, когда перед вами большое красивое зеркало, но также и в других играх на полу, в кроватке, на большой кровати, пока вы ждете в кабинете врача и т.д.</p>

<p><strong>Чему при этом учится ребенок: </strong>Эти игры так интересны ребенку и в то же время способствуют формированию образа самого себя, своей внешности и места в окружающей среде.</p>",9501,yes,parent,,6436,2776,1,ru,published
