ID,Title,Body,Cover_image,Equipment,Type_of_support,Child_age,Domain,Related_milestones,Mandatory_content,Translation_language,Moderation_state
7176,Helping Your Baby Self-Comfort,"<p><strong>Materials You Need: </strong>Items you would usually put in or near your baby’s crib or other place where the baby is put to lie down. </p>

<p><strong>What You Can Do Together: </strong>It is still important to attend to your baby when he or she is distressed.  However, you will notice that your baby becomes better at calming him- or herself at least for a short while.  You can help your baby by making sure that safe items are nearby, that may help your baby self-comfort.  For example, is there a soft toy your baby likes to stroke?  Is there a colourful mobile or picture that is easy for baby to see?  Are your baby’s hands in a position in which he or she can suck on them if that calms your baby? Before immediately going to your baby, pause and look for a while to see if your baby is beginning to be able to make or keep herself calm briefly.   </p>

<p><strong>What Your Child is Learning:  </strong>Your baby knows that he or she can depend on you to make things better.  But your baby is also learning that she or he can do things to keep him- herself calm.  Self-soothing is an important thing to learn, beginning now but developing in the coming months and years.  As always, your loving support is essential. </p>",11801,yes,parent,,6431,2566,0,rs-en,published
7181,Keeping Baby Interested,"<p><strong>Materials You Need: </strong>Only the usual objects or playthings your baby often likes. </p>

<p><strong>What You Can Do Together: </strong>At this age, your baby cannot say “I am bored” or “I like this, please do not stop!” By observing how your little one behaves, you may know whether your baby might be interested in looking at or doing something new. Your baby might start fussing or turn away from something that he or she was interested in before. Or perhaps she or he just needs to be in a new place or position.  </p>

<p>Try a few things to keep your baby curious, alert, and satisfied. You know your baby best. Maybe a new object to hold will fascinate her or him a bit longer.  Or you might pick your baby up, walk around a bit, and look at new parts of the room. Or perhaps there has been enough “tummy time” and your baby wants to be on her or his back with something to look at. </p>

<p>You do not need to do something different every minute, but just pay attention to your baby’s signals and make some simple changes if a bit more, or a bit less, stimulation may make your baby contented and interested. </p>

<p><strong>What Your Child is Learning: </strong> Even before your baby can move around or talk, your baby has ways of telling you what she or he needs. Simple changes in objects to look at or hold, or small changes in your baby’s position, will open the door to new learning opportunities. Over time, you’ll find out what works to give you time for yourself and your baby time for learning. </p>",12486,yes,parent,,6436,2586,1,rs-en,published
7186,Imagination Game,"<p><strong>Materials You Need: </strong>None.</p>

<p><strong>What You Can Do Together: </strong>Answer in some way whenever your baby grunts. Let it be a real little ""conversation"" - talk to the baby in a gentle voice, smile at them as you talk; while talking, take short breaks from time to time to give your baby a chance to get involved; at some point, the baby will start making simple noises. Speak in a high or low tone, try whisper and singing. Do this alternately with the baby. Repeat the sounds s/he makes.  </p>

<p>Place the baby face to face with you - the baby will watch you as you make those sounds. The baby in this position can watch you change your facial expression (big smile, outstretched tongue, wide eyes, raised eyebrows, puffy cheeks, or blowing). Observe the baby and if you notice that some of these expressions scare them, quickly change your facial expression, and after a while try again with a softened facial expression. Remember that every baby is different and reacts in different ways.  In this game, keep an expression for a while to give your baby a chance to try to create a new facial expression by watching and imitating you. Repeat what the baby does. </p>

<p>Another idea is to show the baby a rag doll, or just put a small sock on your finger. Say the baby's name as you move the doll or sock up and down like a puppet. Make sure the baby is following that movement. Then move your finger around. Every time you see your baby following the doll's movements, try a new movement. </p>

<p>These are very convenient routines while changing diapers, but also can be used in any free moment you spend with the baby.</p>

<p><strong>What Your Child is Learning:  </strong>At this stage, the best toy - that fascinates the baby the most - is you! Your face, your voice, your hands, your body. Your baby learns to communicate with you and observes people's faces carefully and in detail, maintains long eye contact.</p>",10571,,parent,,6441,2616,1,rs-en,published
7191,Explore and Find Games,"<p><strong>Materials You Need: </strong>Any favorite toys, diapers, scarf, paper towel, canvas bag or pouch, small plastic bottles, various seeds, and small items.</p>

<p><strong>What You Can Do Together: </strong>Play hide and seek items. Allow your baby to see you hiding the object under a blanket, diaper, or pillow. If the baby does not start to discover the hidden object, next time cover it partially. Help the baby find the item.</p>

<p>Loosely wrap a small toy in a paper towel or tissue (do not use tape). The child can unroll the package and find a surprise. You can also use some other soft paper or wrapping paper with cheerful colors that rustle. You can also wrap the toy in a thin napkin, cloth, or diaper. Another idea is to make a surprise bag that the child will find in the morning. Fill a paper bag or canvas bag with the following items or other similar items that you may have: a stuffed toy, something that makes a sound, a small plastic jar with a screw cap, or a book with cardboard pages. Encourage your baby to explore the ""magic bag"".  Make sure items are safe and supervise well.</p>

<p>Another idea is to play ""pretend games"" with a stuffed toy or a doll. Show and tell the child what the doll is doing (walking, going to sleep, eating, playing at the table). Use words to describe what the doll is doing, maybe give the doll a voice - anything that is fun for you and your child.  Give the child that toy and see if he will move the doll and do what you do.  You can take turns if your child enjoys that game!</p>

<p>Children like to play with objects that produce sounds and make noise. If you have time and have the materials, you could make a more complex rattle by stringing metal bracelets wide enough to fit over the baby's hand.  You could also fill small plastic bottles (with lids that children cannot open) with objects that sound different, e.g. marbles, rice, salt, grains of corn, etc.  If you do this, be sure to close the lids tightly for safety, and encourage the child to explore the sounds.</p>

<p>You can use this activity when you have some free time, use it for simple play with your child.  If there are older siblings, encourage them to play in a similar manner with the youngest member of the family.  </p>

<p><strong>What Your Child is Learning: </strong> your child starts to discover new objects or persons by touching and playing with them. These activities help to develop their fine motor and sensory skills.</p>",9246,yes,,,6436,2626,1,rs-en,published
7196,Floor Game,"<p><strong>Materials You Need: </strong>A floor mat or blanket, favorite toys, rattles.  </p>

<p><strong>What You Can Do Together: </strong>Position the baby so that you can touch his/her feet. Gently play with his/her feet and toes and gently tickle him/her. Touch the baby's finger one by one and at the same time say, ""This finger is… little thumb/mom's finger/dad's finger"" for each finger. While the baby is on her/his back, place a wind-up toy that produces sound (if you have one) next to or behind the baby. Check if the baby is looking for the source of the sound.  Or gently shake a rattle or jar with beans and see if the baby looks for it.</p>

<p>On a soft flat surface, on the bed or blanket, while lying on her back, gently tap or massage the baby's hands and fingers as you talk with her - for example, ""Here is your hand; here are your fingers,"" telling her what you are doing. Or you could sing a gentle song as you stroke her hands.  Another idea is to use a simple toy that you place where the baby can see it, but where she cannot reach it.  Does she try?  You might move the toy as the baby looks at it.  As the baby gets older, you could encourage your baby to roll over to reach for the toy.</p>

<p>There are so many ideas for ""floor time"" as your baby grows!  Place a blanket or a towel on the carpet, put the baby on his/her tummy so that his/her head is turned to one side. Lie next to the baby to encourage him/her. The baby can stay in this position as long as s/he likes it, but make sure that his/her head is turned to the left and the right side for about the same length of time. Again, you can put favorite toys or objects in front of the baby, but so that they are just a little out of the baby's reach. As your baby gets older, encourage your baby to try to reach them and move in their direction.</p>

<p>""Tummy time"" is important for physical development.  Make sure the time your baby spends on his/her tummy is a little longer each day. Observe your baby, so you can gently move the baby if s/he turns his face directly to the floor, as this can make breathing difficult. As s/he gets stronger over time, the baby will be able to raise her head and rise a little by pushing with her hands.  These motions will later grow into rolling and crawling.</p>

<p><strong>What Your Child is Learning: </strong>These are excellent opportunities to use simple games to create a positive, enjoyable environment for your child. During these games, your child learns to explore and control the movements of his/her body and head. A baby may be able to raise her head and support herself with her arms.  </p>",446,yes,,,6421,2656,1,rs-en,published
7201,Look What You Can Do with Your Hands!,"<p><strong>Materials You Need: </strong>None</p>

<p><strong>What You Can Do Together: </strong>At this age, your baby is discovering his hands. She or he looks at them (what ARE they?) and also begins to be able to find her or his mouth with those hands. You do not have to teach your baby this skill, but you can encourage this new learning in many ways, every day. Make sure that your baby’s hands and arms are free to move for much of the day. Diaper changing, dressing, and bath time may be especially good opportunities for the baby. Often put your baby in positions that make it easy for your baby to see and control her or his arms and hands. Your baby may seem excited about discovering this “trick.”  Pay attention and share the satisfaction in making this connection. </p>

<p><strong>What Your Child is Learning: </strong>This is an important step in your baby’s ability to control her or his movements of different parts of the body. It also develops the sense of touch and taste as your baby connects her or his mouth with those fingers.<strong> </strong></p>",12491,no,parent,,6436,2666,0,rs-en,published
7206,Search for Hidden Objects,"<p><strong>Materials You Need: </strong>A few soft toys or things from home that are safe and attractive for the baby.  </p>

<p><strong>What You Can Do Together: </strong>Put your baby on her stomach, on the carpet, or other soft surfaces. Sit so that you can see your baby's face and control her safety. Place several toys on one (left or right) side of the baby out of her reach but in the field of her vision. Wait for him/her to notice them or you draw his/her attention with a surprised tone of voice (saying: ""Aaaa, what do we have here?!""). Wait for your baby to roll over so he/she can reach one of the objects. If your baby does not try on her/his own, help his/her to roll from him/her tummy to his/her back so that he/ she can reach the objects. Encourage her/ him with an enthusiastic voice, a wide smile. When he/she stops being interested, looks away or protests - repeat the whole process with other objects, on the other side.</p>

<p><strong>What Your Child is Learning: </strong>Your baby has an opportunity to explore objects by looking, moving them from hand to hand, touching, putting them in his/her mouth.</p>

<p> </p>

<p> </p>",10601,yes,parent,,6436,2691,1,rs-en,published
7211,"What Is It, and How Is It Called?","<p><strong>Materials You Need: </strong>Various books, magazines, catalogs, signs, everything that contains letters and words or other symbols and that encourages talking and having interesting conversations.</p>

<p><strong>What You Can Do Together: </strong>Starting when your baby is just a few months old, quietly talk to the baby while feeding him/her, changing his/her diapers, holding him/her in your arms, or when he/she is next to you on the mat, or in the stroller. Although he/she does not understand all the words, even as a newborn the baby recognizes your voice, and it will please him/her. When you see your baby reacting to your voice, respond with warm smiles, caress him/her, etc.  If he/she doesn't respond, keep trying!  He/she'll begin to respond.</p>

<p>Read simple baby books or tell stories from day one. Even if s/he does not understand the story, the baby will enjoy your closeness and your voice. She/he likes to look at the pictures you show him/her. Read books written for babies or colorful magazines and at the same time show what is in the image and tell the baby about it. Let the baby pat the pictures in the book. Name everything s/he shows in simple words. </p>

<p>Books are important, but so is just talking with your baby about anything and everything.  When the weather is nice, take your baby for a walk in nature, even if it is just outside your home.  Tell him/her about everything you see. </p>

<p>If you do not have books around, you can also talk about things like the parts of the body, objects that you use every day, and people that the child knows. That way, s/he will understand that everything has a name and will gradually start learning those names. Name everything you do in your daily activities and routines. While naming things, show the object or what you are doing. ""Mom makes juice for the baby."" ""This is juice,"" you show the juice. ""Mom changes the baby's diaper."" ""This is a diaper"", and you show the diaper. Make sure the baby hears and sees what you're showing her. E.g. ""We are eating broccoli today, mmmm, how delicious "" and show the bowl.   These are not ""lessons"" but are enjoyable moments together as you introduce your baby to all the wonderful things in the world!</p>

<p>Whenever you have free time to play you can use the above examples in your daily routines (changing clothes, preparing for a meal, etc.).</p>

<p><strong>What Your Child is Learning: </strong>Even if the baby doesn't understand you, he/she will follow the pictures, sounds, smells, and your voice. S/he will understand that everything has a name and will gradually start learning those names.</p>",11426,yes,parent,,6441,2731,1,rs-en,published
7216,Making Friends,"<p><strong>Materials You Need: </strong>None.</p>

<p><strong>What You Can Do Together: </strong>Your baby may cry in different ways and by crying he/she may try to convey different messages. During this period, you may notice that the baby begins to be upset when new, unknown people appear, which was not the case before. This is quite expected. Help him/her first by always introducing new people gradually and not abruptly and, if possible, in an already familiar environment. Always be with your baby when a new face approaches or addresses her, and if anxiety and crying increase - calm her down. Speak to your baby in a calm voice, holding her in your arms to reassure her that you will not leave her. You can gently rock her, hug her or sing to her. Watch closely to see when your baby is ready for the challenge of making friends again. You will know this when he/she looks around and explores things and people in his/her surroundings. Slowly try again to introduce him/her to new people, following her signs of pleasure and discomfort.</p>

<p>Every baby is different; your baby may be quite interested in new people, or she may be quite slow to warm up to even friendly strangers.  Follow your baby's lead and enjoy your unique little person!</p>

<p><strong>What Your Child is Learning: </strong>Your baby is learning to react to new situations and people, as her/his reactions will probably change from week to week.  If new people become part of your baby’s world, with your help your baby gets used to them gradually so that she or he feels comfortable. </p>",2646,no,parent,,6431,2761,1,rs-en,published
7221,"Mirror games: ""Nobody like me""","<p><strong>Materials You Need: </strong>A large wall mirror, or a small unbreakable mirror (as a toy).</p>

<p><strong>What You Can Do Together: </strong>How to do it: Allow the baby to see herself or himself in the mirror. Place an unbreakable mirror next to the baby's crib or changing chair so the baby can see herself or himself on it. Start talking and tap the mirror to get her to look at it. Say ""Look, there is [your baby's name]"". After a while, the baby will realize that it is her/his reflection. Allow the baby to tap on the mirror and point the finger at himself in the mirror.</p>

<p>Look in the mirror together with your baby—smile and wave to him in the mirror. Smile and make funny facial expressions together as you look yourselves in the mirror. With lipstick or crayon, circle the place where your baby is reflected on the large mirror, encourage her to touch that place with his/her fingers and to stain the mirror with the hand, to explore and realize the changes. Follow everything the baby does with positive and encouraging comments, sounds, talk to the baby about what he/she is doing, what is happening, who is in the mirror, repeat the baby's name, and point to his/her face in the mirror. Repeat the same with your character in the mirror. Point to yourself, name it - it's mom ... this is ... (repeat the child's name).  As your baby gets older, you will see her/ him begin to recognize her name.  Use it often.</p>

<p>In front of the mirror, you can also play hide-and-seek games or ""where is [baby's name]?"" with the baby. He will always light up and smile when he sees himself and/or you again behind the scarf you are removing.</p>

<p>When the baby starts rolling or crawling on his tummy, play the ""come and get me"" game. Let the baby move a little, and you follow her and hug her when you catch her.</p>

<p>You can use these activities on all occasions when there is a nice big mirror in front of you, but also in other games on the floor, in the crib, on the big bed, while you are waiting in the doctor's office, etc.</p>

<p><strong>What Your Child is Learning:  </strong>These games are so interesting for the baby, while at the same time encouraging the development of an image of oneself, one's appearance, and place in the environment.</p>",9501,yes,parent,,6436,2776,1,rs-en,published
