ID,Title,Body,Cover_image,Equipment,Type_of_support,Child_age,Domain,Related_milestones,Mandatory_content,Translation_language,Moderation_state
7176,Pomozite bebi da se sama umiri,"<p><strong>Potreban materijal: </strong>Predmeti koje biste stavili u bebin krevetac, ili tamo gde vaša beba spava. </p>

<p><strong>Šta možete zajedno: </strong>I dalje je važno da obraćate pažnju na svoju bebu kada je u stanju uznemirenosti. Međutim, primetićete da vaša beba sve češće uspeva sama sebe da umiri, makar na kraći vremenski period. Možete da pomognete svojoj bebi tako što ćete obezbediti da ima uz sebe stvari koje su bezbedne a mogu da joj u tome pomognu. To može biti neka plišana igračka koju vaša beba voli da mazi, vrteška ili slika živopisnih boja koju beba može lako da vidi, bebine rukice koje su u takvom položaju da može da sisa prstiće ako je to nešto što je smiruje? Umjesto da joj odmah priđete, kada vidite da je malo uznemirena, sačekajte i osmotrite za trenutak da vidite da li beba počinje da razvija sposobnost da se sama umiri na kratko.</p>

<p><strong>Šta vaše dete uči: </strong>Vaša beba zna da se može osloniti na vas i da ćete vi učiniti sve da ona bude zadovoljna. Međutim, vaša beba isto tako uči da i sama može da uradi nešto što može da je smiri i uteši. Samouteha je važna veština koja se uči, počev od ovog trenutka, ali i u daljem razvoju, u mesecima i godinama koje slede. Kao i uvek, vaša brižna podrška je od ključnog značaja. </p>",11801,yes,parent,,6431,2566,0,rs-sr,published
7181,Podržite bebina interesovanja,"<p><strong>Potreban materijal: </strong> uobičajeni predmeti ili igračke koje vaša beba voli. </p>

<p><strong>Šta možete zajedno: </strong>U ovom uzrastu, vaša beba ne može reći „dosadno mi je“, ili „sviđa mi se ovo, nastavi to da radiš!“ Ipak, posmatranjem kako se beba ponaša, možete da uočite da li je vaša beba možda zainteresovana za nešto novo. Beba će tada da se uzvrpolji ili okrene od toga za šta je prethodno bila zainteresovana. S druge strane, možda samo želi da zauzme novi položaj ili da promeni mesto.</p>

<p>Isprobajte različite stvari da zadržite bebu radoznalom, zainteresovanom i zadovoljnom. Niko vašu bebu ne poznaje bolje od vas. Možda će je novi predmet koji će držati u rukama fascinirati malo duže. Možete i da podignete bebu i prošetate malo s njom u rukama, razgledajući prostoriju i nove detalje u njoj. Takođe, možda je beba provela dovoljno vremena na stomaku pa sada samo želi da leži na leđima i posmatra ono što joj je zanimljivo iz tog položaja. </p>

<p>Ne morate da isprobavate nove stvari suviše često. Obratite pažnju na signale koje vam beba šalje i unosite, male, jednostavne promene ako mislite da je malo više ili malo manje stimulacije može učiniti zadovoljnom i zainteresovanom. </p>

<p><strong>Šta vaše dete uči: </strong>Čak i pre nego što prohoda i progovori, vaša beba ima svoje načine da vam saopšti šta joj je potrebno. Jednostavne promene u vezi s predmetima koje može da posmatra ili drži, ili pak male promene položaja, otvaraju vrata novim prilikama za učenje. Vremenom ćete uvideti šta je najbolje funkcioniše i šta vama oslobađa vreme u kome možete malo više da se šposvetite sebi, dok vaša beba dobija prostor i vreme za svoje učenje.</p>",12486,yes,parent,,6436,2586,1,rs-sr,published
7186,Igre mašte,"<p><strong>Potreban materijal: </strong>Ništa.</p>

<p><strong>Šta možete zajedno: </strong> Odgovorite na neki način uvek kada vaša beba zbog nečega negoduje. Neka to bude pravi mali „razgovor“ - razgovarajte s bebom nežnim glasom, osmehujte joj se dok razgovarate; tokom razgovara, povremeno napravite kratke pauze kako biste bebi dali priliku da se uključi; u nekom trenutku, ona će početi da ispušta jednostavne zvuke. Govorite visokim ili niskim tonom, pokušajte da šapućete i pevate, naizmenično. Ponovite zvuke koje vaša beba pravi.</p>

<p>Postavite bebu tako da bude okrenuta licem prema vama – na taj način će vas posmatrati dok ispuštate zvuke, menjate izraz lica (veliki osmeh, ispruženi jezik, razrogačene oči, podignute obrve, naduvani obrazi...). Posmatrajte bebu i ako primetite da je neki od ovih načina izražavanja plaše brzo promenite izraz lica i posle pauze pokušajte ponovo s ublaženim izrazom lica. Ne zaboravite da je svaka beba drugačija i reaguje na različite načine. U ovoj igri zadržite izraz neko vreme kako biste bebi pružili priliku da pokuša da vas oponaša. Ponovite ono što beba radi.</p>

<p>Još jedna ideja – možete da pokažete bebi krpenu lutku, ili jednostavno navučete omanju čarapu preko prsta ili šake, umesto lutke. Izgovarajte bebino ime dok pomerate lutku ili čarapu gore-dole poput marionete (lutke na konopcima). Uverite se da beba prati taj pokret, a potom pomerajte prst u drugim smerovima. Svaki put kad vidite da beba prati kretanje lutke, isprobajte novi pokret. </p>

<p>Sve su ovo veoma praktične rutine koje možete da isprobavate tokom promene pelena, ali i u svim drugim trenucima koje provodite sa svojom bebom.</p>

<p><strong>Šta vaše dete uči: </strong>U ovoj fazi, najbolja igračka – koja najviše fascinira bebu – ste vi sami! Vaše lice, vaš glas, vaše ruke, vaše telo. Vaša beba uči da komunicira s vama i prati lica ljudi s velikom pažnjom i do detalja, zadržavajući dugi kontakt očima.</p>",10571,,parent,,6441,2616,1,rs-sr,published
7191,Igre „istraži i pronađi“,"<p><strong>Potreban materijal: </strong>Omiljene igračke, platnena pelena, šal, papirni ubrus, platnena torba ili torbica, manje plastične flaše, različito semenje i mali predmeti.</p>

<p><strong>Šta možete zajedno: </strong>Igrajte se skrivanja i pronalaženja predmeta. Dozvolite bebi da vidi kako sakrivate predmet ispod ćebeta, pelene ili jastuka. Ako beba ne počne da traži sakriveni predmet, sledeći put ga pokrijte samo delimično. Pomozite joj da pronađe predmet.</p>

<p>Labavo obmotajte manju igračku papirnim ubrusom ili maramicom (nemojte koristiti selotejp). Podržite dete da odmota paketić i pronađe iznenađenje. Isto tako možete upotrebiti neku drugu vrstu mekog ili dekorativnog papira veselih boja koji šušti. Možete umotati igračku i u tanju maramicu, krpu ili pelenu. Još jedna ideja je da napravite paketić iznenađenja koji će dete pronaći ujutro – napunite papirnu ili platnenu kesu predmetima koje imate na raspolaganju: plišana igračka, predmet koji ispušta zvuk, mala plastična posudica s poklopcem koji se odvija, ili slikovnica. Podstaknite bebu da istraži „magični paketić“. Postarajte se da su predmeti bezbedni i pratite bebine pokrete i akcije.</p>

<p>Još jedna ideja je igra „uloga“ s plišanom igračkom ili lutkom. Pokažite i recite detetu šta lutka radi (šeta, ide da spava, jede, igra se za stolom). Koristite reči da opišete šta lutka radi, možda tako da lutki pozajmiti svoj glas – ili na bilo koji način koji je vama i vašem detetu zabavan. Dajte detetu lutku i posmatrajte da li će da je pomera i da radi ono što vi radite. Ako se vašem detetu sviđa ova igra možete je ponavljati naizmjenično!</p>

<p>Deca vole da se igraju s predmetima koji proizvode zvukove i prave buku. Ako imate vremena i potrebni materijal, možete napraviti malo kompleksniju zvečku tako što ćete  povezati u niz metalne narukvice dovoljno široke da pređu preko bebine šake. Takođe možete napuniti manje plastične flaše (sa zatvaračem koji ne može da otvori) predmetima koji proizvode različite zvukove, npr. klikeri, pirinač, so, zrna kukuruza, žita itd. Ukoliko se odlučite za ovu igru, uverite se da ste čvrsto zatvorili flašice zbog bezbednosti i ohrabrujte dete da istražuje zvuk koji ove zvečke proizvode.</p>

<p>Igrajte se na ovaj način kad god imate malo slobodnog vremena. Ukoliko dete ima starijeg brata ili sestru, podstaknite ih da se s najmlađim detetom igraju na sličan način.</p>

<p><strong>Šta vaše dete uči: </strong>Vaše dete počinje da otkriva nove predmete ili lica tako što ih dodiruje i igra se sa njima. Takve aktivnosti pomažu razvoju finih motoričkih i čulnih veština.</p>",9246,yes,,,6436,2626,1,rs-sr,published
7196,Igre na podu,"<p><strong>Potreban materijal: </strong>Podna prostirka ili ćebe, omiljene igračke, zvečke.</p>

<p><strong>Šta možete zajedno: </strong>Postavite bebu tako da joj možete dodirnuti stopala. Nežno se igrajte bebinim stopalima i nožnim prstima i nežno je golicajte. Dodirujte bebine prste jedan po jedan govoreći pritom: „ovaj prst je... mali palac / mamin prst / tatin prst“ za svaki prst. Dok beba leži na leđima, postavite igračku na navijanje koja proizvodi zvuk (ako je imate) pored ili iza bebe. Proverite da li beba traži izvor zvuka. Ili lagano prodrmajte zvečku ili teglu s pasuljom i proverite da li je beba traži.</p>

<p>Na mekoj ravnoj površini, na krevetu ili ćebetu, dok beba leži na leđima, nežno tapkajte ili masirajte bebine ruke i prste dok razgovarate s njom - na primer: „ovo je tvoja ruka/šaka; ovo su tvoji prstići“, imenujuši to što radite. Možete i da otpevate nežno pesmu dok milujete bebu po rukama. Još jedna ideja je da iskoristite jednostavnu igračku koju ćete postaviti na mesto gde je beba može videti, ali ne i dohvatiti. Proverite da li pokušava? Premestite igračku dok je beba gleda. Koristite razne podsticaje i ohrabrite je da se prevrne i dohvati igračku.</p>

<p>Postoji toliko raznih ideja za „vreme na podu“ dok vaša beba raste! Postavite ćebe ili peškir na pod, a potom postavite bebu na stomak tako da joj je glava okrenuta na jednu stranu. Lezite pored bebe kako biste je ohrabrili. Beba može ostati u ovom položaju koliko god želi, ali postarajte se da joj je glava podjednako dugo okrenuta na levu i na desnu stranu. Kao i u prethodnoj aktivnosti, možete postaviti omiljene igračke ili predmete ispred bebe, ali tako da budu samo malo izvan njenog domašaja. Ohrabrujte je da dohvati predmete i krene prema njima.</p>

<p>„Vreme na stomaku“ važno je za fizički razvoj. Postarajte se da vaša beba svakog dana provodi za nijansu više vremena na stomaku. Pratite bebine pokrete, kako biste je nežno pomerili ako okrene lice direktno prema podu, jer to može otežati disanje. Kako bude postajala snažnija tokom vremena, beba će biti u stanju da podigne glavu i blago se uzdigne koristeći ruke. Ti pokreti kasnije će prerasti u prevrtanje i puzanje.</p>

<p><strong>Šta vaše dete uči: </strong>Navedene aktivnosti sjajna su prilika za jednostavne igare kojima kreirate pozitivno i prijatno okruženje za vaše dete. Tokom ovih igara, vaše dete uči da istražuje i kontroliše pokrete svoje glave i tela. Beba će vremenom moći da podigne glavu i osloni se na ruke.</p>",446,yes,,,6421,2656,1,rs-sr,published
7201,Šta sve mogu ruke!,"<p><strong>Potreban materijal: </strong>Ništa.</p>

<p><strong>Šta možete zajedno: </strong>U ovom uzrastu, vaša beba otkriva svoje ruke. Beba ih posmatra (šta je ovo?) i polako razvija sposobnost da pronađe svoja usta rukama. Ne morate učiti bebu ovoj veštini, ali to novo učenje možete svakodnevno podsticati na više načina. Postarajte se da su bebine šake i ruke slobodne, odnosno da beba može da ih pokreće tokom većeg dela dana. Promena pelena, oblačenje i vreme za kupanje naročito su dobre prilike. Često postavljajte bebu u položaje u kojima može lako videti i kontrolisati svoje ruke i šake. Beba će možda izgledati uzbuđeno kada otkrije ovaj vaš „trik“. Obratite pažnju na nju i podelite zadovoljstvo ostvarivanjem povezanosti. </p>

<p><strong>Šta vaše dete uči: </strong>Navedena aktivnost je važan korak u sposobnosti vaše bebe da kontroliše način na koji pokreće različite delove tela. Isto tako, dok ostvaruje vezu između usta i prstiju, beba razvija čulo dodira i ukusa.<strong> </strong></p>",12491,no,parent,,6436,2666,0,rs-sr,published
7206,Gde je- gde je?,"<p><strong>Potreban materijal: </strong>Par mekih igračaka ili predmeta iz vašeg doma koji su bezbedni i privlačni bebi.</p>

<p><strong>Šta možete zajedno: </strong>Postavite bebu na stomak, na tepihu ili drugoj mekoj površini. Sedite tako da možete da vidite bebino lice i kontrolišete je na bezbedan način. Postavite nekoliko igračaka na jednu stranu (levu ili desnu) u odnosu na bebu, tako da su joj u vidnom polju ali izvan domašaja. Sačekajte da ih beba primeti ili joj usmerite pažnju na njih, uz iznenađeni ton glasa, govoreći: „Aaaa, pa šta mi to imamo ovde?!“. Sačekajte da se beba prevrne tako da može da dohvati neki od predmeta. Ako ne pokušava sama, pomozite joj da se prevrne sa stomaka na leđa kako bi mogla da dohvati. Ohrabrite je s entuzijazmom u glasu i uz širok osmeh. Kada beba izgubi interesovanje, počne da gleda na drugu stranu ili krene da negoduje – ponovite celi postupak s drugim predmetima na drugoj strani.</p>

<p><strong>Šta vaše dete uči: </strong>Vaša beba ima priliku da istražuje predmete tako što će ih posmatrati, prebacivati iz ruke u ruku, dodirivati, stavljati u usta.</p>

<p> </p>

<p> </p>",10601,yes,parent,,6436,2691,1,rs-sr,published
7211,Šta je i kako se zove?,"<p><strong>Potreban materijal: </strong>Različite knjige, časopisi, katalozi, sve što sadrži slova i reči ili druge simbole i podstiče priču i zanimljive razgovore.</p>

<p><strong>Šta možete zajedno: </strong>Počevši od prvih bebinih meseci, tiho razgovarajte s njom dok je hranite, menjate pelene, držite je u naručju ili kad je pored vas na podnoj prostirci ili u kolicima. Iako ne razume sve reči, već kao novorođenče prepoznaje vaš glas i on je smiruje. Kad vidite kako beba reaguje na vaš glas, odgovorite joj toplim osmehom, mazite je itd. Ako beba ne reaguje, nastavite da pokušavate! Počeće da reaguje.</p>

<p>Čitajte jednostavne knjige i pričajte priče od prvog dana. Čak i ako ne razume priču, beba će uživati ​​u vašoj blizini i vašem glasu. One vole da gledaju slike koje im pokazujemo. Čitajte knjige napisane za bebe ili živopisne časopise, a u isto vreme pokazujte šta je na slikama i govorite bebi o tome. Pustite je da dotakne slike u knjizi. Imenujte sve što pokazuje jednostavnim rečima.</p>

<p>Knjige su važne, ali je jednako značajan i razgovor s bebom o svemu i svačemu. Kad je lepo vrijeme, izvedite je u šetnju u prirodi, čak i ako je to tik ispred vašeg doma. Pričajte joj i imenujte svem što vidite.</p>

<p>Ako nemate knjiga pri ruci, možete razgovarati i o delovima tela, predmeta koje svakodnevno koristite i ljudima koje dete poznaje. Na taj način, dete će shvatiti da sve ima svoje ime i postepeno će početi da usvaja ta imena. Imenujte sve što radite u svojim svakodnevnim aktivnostima i rutinama. Dok pričajte o predmetu, pokazujte na predmet ili dok nešto radite imenujte to što radite. „Mama pravi sok za bebu“. Recite „ovo je sok“ dok pokazujete sok. „Mama bebi menja pelenu“. Recite „ovo je pelena“ dok pokazujete na pelenu. Postarajte se da beba čuje i vidi što joj pokazujete. Primera radi, recite „danas jedemo brokoli, mmmm, kako je ukusno“ dok pokazujete na činiju. Ovo nisu „lekcije“, već prijatni zajednički trenuci dok svoju bebu upoznajete sa svim divnim stvarima na svetu!</p>

<p>Kad god imate slobodnog vremena za igru, možete koristiti gore navedene primere u svojoj svakodnevnoj rutini (presvlačenju, pripremi za jelo itd.).</p>

<p><strong>Šta vaše dete uči: </strong>Čak i ako vas ne razume, beba će pratiti slike, zvukove, mirise i vaš glas. Beba će shvatiti da sve ima naziv i postepeno će početi da usvaja te nazive i imena.</p>",11426,yes,parent,,6441,2731,1,rs-sr,published
7216,Nova prijateljstva,"<p><strong>Potreban materijal: </strong>Ništa.</p>

<p><strong>Šta možete zajedno: </strong>Vaša beba može da plače na različite načine, a plakanjem pokušava da vam prenese različite poruke. U ovom periodu, beba počinje da se uznemirava kad se pojave novi, nepoznati ljudi, što ranije nije bio slučaj. To je sasvim očekivano. Za početak pomozite bebi tako što ćete nove ljude predstavljati postepeno, jednu po jednu osobu, ne naglo, i ako je moguće, u već poznatom okruženju. Uvek budite s bebom kad joj se približi ili obrati novo lice, nova osoba, a ako se anksioznost i plač pojačaju – umirite je. Razgovarajte s njom mirnim glasom, držeći je u naručju kako biste je uverili da je nećete napustiti. Luljajte je nežno, grlite ili joj pevajte. Pažljivo pratite i procenjujte kada je vaša beba spremna za izazov novog prijateljstva. To ćete prepoznati kad beba krene da gleda oko sebe i istražuje stvari i ljude u svojoj okolini. Polako pokušajte uspostaviti poznanstvo bebe s novim ljudima, prateći njene znake zadovoljstva i uznemirenosti.</p>

<p>Svaka beba je različita; vaša može biti jako zainteresovana za nove ljude, a isto tako može prilično sporo prihvatati čak i prijateljski nastrojene neznance. Pratite bebino vođstvo i uživajte u svojoj jedinstvenoj maloj osobi!</p>

<p><strong>Šta vaše dete uči: </strong>Vaša beba uči da reaguje na nove situacije i ljude, menjajući svoje reakcije iz nedjelje u nedjelju. Ako novi ljudi postaju deo bebinog okruženja, uz vašu pomoć ona će se postepeno navikavati na njih i vremenom će se osećati komforno u njihovom prisustvu. </p>",2646,no,parent,,6431,2761,1,rs-sr,published
7221,„Niko kao ja“ - igre sa ogledalom,"<p><strong>Potreban materijal: </strong>Veliko zidno ogledalo, ili malo ogledalo otporno na lomljenje (kao igračka).</p>

<p><strong>Šta možete zajedno: </strong>dozvolite bebi da se vidi u ogledalu. Postavite ogledalo otporno na lomljenje pored dječjeg krevetića ili stolice za presvlačenje tako da beba može sebe da vidi u njemu. Počnite da pričate i dodirnite ogledalo kako biste skrenuli pažnju bebi na njega. Recite „Vidi, evo [ime vaše bebe]“. Nakon određenog vremena beba će shvatiti da je to njen odraz u ogledalu. Dozvolite joj da dotakne ogledalo i uperi prst u svoj odraz u njemu.</p>

<p>Pogledajte sebe u ogledalu zajedno s bebom - nasmešite se i mahnite joj u ogledalu. Nasmešite se i isprobajte smešne izraze lica dok se ogledate. Iskoristite ruž za usne ili olovku u boji da zaokružite mesto na kojem se vidi odraz vaše bebe na velikom ogledalu, podstičući je da to mesto dodirne prstima i da rukom umrlja ogledalo, kako bi istražila i shvatila promene koje nastaju. Pratite sve što beba radi s pozitivnim i ohrabrujućim komentarima i zvucima, razgovarajte s njom o tome šta radi, šta se dešava, ko je u ogledalu, ponavljajte bebino ime i pokažite prstom na njeno lice u ogledalu. Ponovite isto sa svojim likom u ogledalu. Pokažite na sebe, imenujte se – ovo je mama... ovo je... (ponovite ime deteta). Vremenom će beba početi da prepoznaje svoje ime. Koristite ga često.</p>

<p>Ispred ogledala sa bebom možete igrati i „žmurke“ ili „gdje je [bebino ime]?“. Beba će se uvek oraspoložiti i nasmijati kada vidi svoj i/ili vaš odraz nakon što maknete maramu sa vašeg lica kojom ste ga prethodno prekrivali.</p>

<p>Kada beba počne da se prevrće ili puzi na stomaku, igrajte igru „Dođi i uhvati me“. Dozvolite bebi da se malo kreće a vi je pratite i zagrlite kada je uhvatite.</p>

<p>Navedene aktivnosti možete koristiti u svim prilikama kada imate lepo veliko ogledalo ispred sebe, ali i kod drugih igara na podu, u krevetiću, na velikom krevetu, dok ste u čekaonici kod doktora itd.</p>

<p><strong>Šta vaše dete uči: </strong>Navedene igre bebi su jako zanimljive, dok istovremeno podstiču razvoj  svesti o sebi, svom izgledu i svom mestu u okruženju.</p>",9501,yes,parent,,6436,2776,1,rs-sr,published
