ID,Title,Body,Cover_image,Equipment,Type_of_support,Child_age,Domain,Related_milestones,Mandatory_content,Translation_language,Moderation_state
7176,Помощь ребенку в самоуспокоении,"<p><strong>Необходимые предметы: </strong>Предметы, которые вы обычно кладете в кроватку ребенка, рядом с ним или в другое место, где лежит ребенок. </p>

<p><strong>Что вы можете делать вместе: </strong>По-прежнему важно заботиться о своем ребенке, когда он/она расстроен/а. Однако вы можете заметить, что у вашего ребенка все лучше и лучше получается успокаиваться самостоятельно, по крайней мере, на короткое время. Вы можете помочь малышу, убедившись, что поблизости есть безопасные предметы, которые могут помочь ему  чувствовать себя комфортно. Например, мягкая игрушка, которую ваш ребенок любит гладить, красочный мобильный телефон или картинка, которую ребенок легко может увидеть. Обратите внимание, находятся ли руки малыша в положении, в котором он/она может их сосать и это поможет ему успокоиться. Прежде чем немедленно подходить к ребенку, немного подождите и приглядитесь, успокаивается ли ребенок самостоятельно хотя бы на короткое время.   </p>

<p><strong>Что изучает ваш ребенок: </strong>Ваш ребенок знает, что может положиться на вас, чтобы улучшить ситуацию. Ребенок учится делать что-то, что  поможет ему успокоиться. Самоуспокоение- это важный навык, которому нужно учиться, начиная с данного возрастного периода и далее развивать его в ближайшие месяцы и годы. Как всегда, ребенку нужна ваша поддержка. </p>",11801,yes,parent,,6431,2566,0,tj-ru,published
7191,Исследуй и находи игры,"<p><strong>Необходимые материалы: </strong>Любые любимые игрушки, подгузники, шарф, бумажное полотенце, холщовый мешок или кошелек, небольшие пластиковые бутылки, различные семена и мелкие предметы.</p>

<p><strong>Что вы можете делать вместе: </strong>Играйте в прятки. Позвольте ребенку увидеть, как вы прячете предмет под одеялом, подгузником или подушкой. Если ребенок не начинает находить спрятанный предмет, в следующий раз прикройте его частично. Помогите малышу найти предмет.</p>

<p>Свободно оберните маленькую игрушку бумажным полотенцем или салфеткой (не используйте скотч). Ребенок может развернуть пакет и найти сюрприз. Вы также можете использовать другую мягкую бумагу или шелестящую оберточную бумагу яркого цвета. Также можно завернуть игрушку в тонкую салфетку, ткань или пеленку. Другая идея - изготовить сумку-сюрприз. Для этого наполните бумажный или холщовый мешок предметами, которые у вас есть: мягкая игрушка, что-то издающее звук, небольшая пластиковая банка с завинчивающейся крышкой или книжка с картонными страницами. Поощряйте малыша исследовать «волшебную сумку». Убедитесь, что предметы безопасны и игра хорошо контролируется вами.</p>

<p>Еще одна идея - поиграть в «ролевые игры», используя мягкую игрушку или куклу. Покажите и расскажите ребенку, что делает кукла (ходит, засыпает, ест, играет за столом). Используйте слова, чтобы описать, что делает кукла, по возможности, озвучьте голос куклы - все, что может развеселить вас и вашего ребенка. Отдайте игрушку ребенку и посмотрите, будет ли он/она двигать куклу и делать то, что вы делаете. Вы можете играть по очереди, если ребенку это нравится!</p>

<p>Детям нравится играть с предметами, которые издают звуки и шумят. Если у вас есть время и материалы, вы можете сделать погремушку более сложной формы, изготовить металлические браслеты, которые могут поместиться на руке ребенка. Вы также можете наполнить небольшие пластиковые бутылки (с крышками, чтобы ребенок не мог их открыть) предметами, которые звучат иначе, например, шариками, рисом, солью, зернами кукурузы и тд. Обязательно плотно закройте крышку бутылки в целях безопасности и поощряйте ребенка исследовать звуки.</p>

<p>Вы можете использовать это занятие, когда у вас есть свободное время, чтобы просто поиграть с ребенком. Если есть старшие братья и сестры, предложите им тоже поиграть, также как и с малышом.  </p>

<p><strong>Чему при этом учится ваш ребенок:</strong> Ваш ребенок начинает знакомиться с новыми предметами илюдьми, прикасаясь к ним и играя с ними. Эти занятия помогают развивать мелкую моторику и сенсорные навыки ребенка.</p>",9246,yes,,,6436,2626,1,tj-ru,published
7376,Делиться чувствами,"<p><strong>Необходимые материалы: </strong>Не требуется    </p>

<p><strong>Что вы можете делать вместе: </strong>В этом возрасте ваш ребенок проявляет гораздо больше эмоций. Каждый день вы можете видеть, как ваш ребенок выражает волнение, печаль, страх, беспокойство и тд. В это время вы можете заметить и назвать, что он или она чувствует: «Ты выглядишь таким счастливым. Думаю, ты очень рад навестить бабушку». Или: «Я вижу, ты расстроен тем, что сегодня мы не можем играть на улице. Давай найдем, во что поиграть дома, пока дождь не закончится». Ваш ребенок может замечать чувства других. Вы можете помочь своему ребенку, даже если он или она не называет свои чувства: «Да, ты видишь, твоей сестре очень грустно. Она плачет. Можешь помочь ей успокоиться?».</p>

<p><strong>Что изучает ваш ребенок: </strong>Когда вы замечаете, принимаете и говорите о чувствах вашего ребенка, он или она начнет понимать и лучше выражать их. Эмоциональное развитие - важная задача в этом возрасте. Сочувствие к другим также является частью этого процесса. Помогая своему ребенку замечать и заботиться о чувствах других, вы помогаете ему стать заботливым человеком.</p>",12596,no,parent,,6431,2756,1,tj-ru,published
7386,Кто я?,"<p><strong>Необходимые материалы: </strong>Фотография вашего ребенка (если ее нет в распечатанном виде, то она может быть на вашем телефоне).</p>

<p><strong>Что вы можете делать вместе: </strong>Вместе смотрите на фотографию ребенка. Скажите: «О, это ___!» (имя вашего ребенка). ""Кто это?  Да, это __!"" (Ваш ребенок может произнести свое имя или произнесите это вместе с ребенком.) «Тебе три года! Ты девочка / мальчик!» Вы можете говорить об имени, возрасте и поле вашего ребенка или начать с имени и возраста - все, что соответствует тому, что знает ваш ребенок и чем интересуется. Посмотрите на фотографию и, возможно, на другие фотографии вашего ребенка в разное время, побуждая его или ее назвать имя, возраст, а также «Я девочка» или «Я мальчик». Вашему ребенку также может понравиться делиться с этим и с другими членами семьи. Попробуйте также без фотографий спросить ребенка: «Как тебя зовут?» «Правильно, ты __!»</p>

<p><strong>Что изучает ваш ребенок: </strong>Знание своего имени, возраста и пола является частью развития личности вашего ребенка или его самоощущения.  </p>",12606,yes,parent,,6436,2711,1,tj-ru,published
7416,Вверх идем мы вместе!,"<p><strong>Необходимые материалы: </strong>Не требуется</p>

<p><strong>Что вы можете делать вместе: </strong>В этом возрасте вашему ребенку может быть интересно подниматься и спускаться по лестнице (возможно в вашем доме может нет лестницы, тогда вы можете помочь ребенку практиковаться вне дома). Обязательно будьте рядом с ребенком, когда он/она пытается подняться или спуститься. Ваш ребенок может сначала ползать, а затем попытаться встать, держась за вашу руку или перила лестницы. Поощряйте ребенка, например, пением песенки: «Вверх, идем мы вместе! Мама и [имя ребенка] поднимаются по лестнице. Вверх идем мы вместе! Шаг и вверх! Шаг и вверх!». </p>

<p><strong>Что изучает ваш ребенок: </strong>Ваш ребенок учится координировать движение своих ног и ступней, и успешно справиться с новым физическим испытанием. Если вы добавите счет к песенке («Один большой шаг! Два больших шага!» и т.д.), вы поддержите его ранние математические навыки.</p>",12631,no,parent,,6421,2636,1,tj-ru,published
7426,Мой Особый Помощник,"<p><strong>Необходимые материалы: </strong>Предметы обихода или другие материалы, используемые в повседневной жизни. Например, чистая сложенная одежда; игрушки или другие предметы, с которыми играл ваш ребенок; ложки, небьющиеся чашки или другая посуда для еды; материалы, найденные в саду, например листья.</p>

<p><strong>Что вы можете делать вместе: </strong>Предложите ребенку «быть вашим особым помощником». Скажите что-нибудь вроде «мне очень нужна твоя помощь, чтобы убрать эти носки. Эти носки нужно положить в шкаф младшей сестры, а те сложим в твой шкаф. Не мог бы ты отнести их? О, какой ты большой помощник. Спасибо!»</p>

<p>Этот вид активности может быть частью вашего распорядка каждый день, включающий разные материалы и задачи. </p>

<p><strong>Чему при этом учится ребенок: </strong>Ваш ребенок учится сотрудничать, и помощь другим делает вашего ребенка и других счастливыми. Ваш ребенок учится следовать простым указаниям и заучивает названия  предметов. Возможно, он/она учится сортировать или группировать вещи - например, вы можете попросить ребенка найти все маленькие носки и сложить их в одну стопку, а большие в другую. Превратите это в веселое и дружелюбное занятие, а не испытание.</p>",12636,yes,parent,,6436,6976,1,tj-ru,published
7471,Мячи в коробке,"<p><strong>Необходимые материалы: </strong>Несколько мячей разного размера (это могут быть мячи, которые вы сделали из свернутых носков или газет); картонная коробка размером больше самого большого шара.</p>

<p><strong>Что вы можете делать вместе: </strong>Организуйте игру в помещении (если мячи мягкие) или на улице. Предложите ребенку попробовать забросить мяч в коробку. Начните с того, что покажите ребенку, как это делать, и сначала встаньте очень близко к коробке. Когда ребенок научится забрасывать мяч, предложите ему отойти дальше. Попробуйте это с мячами разного размера. Вашему ребенку тоже понравится делать это самому.  Если ребенку интересно, вы можете посчитать, сколько раз он попадает мячом в коробку.  </p>

<p><strong>Что изучает ваш ребенок: </strong>В этой и других играх ваш ребенок развивает свои физические навыки. Ребенок учится контролировать свои движения, чтобы делать точные броски. Если вы станете более компетентным в этом навыке, ваш ребенок будет уверен в себе. Если вы добавите в игру счет, ваш ребенок также улучшит свои ранние математические способности.</p>",12666,yes,parent,,6436,7026,1,tj-ru,published
7486,"""Я пошел на рынок""","<p><strong>Необходимые материалы: </strong>Отсутствуют</p>

<p><strong>Что вы можете делать вместе: </strong>Один игрок начинает со слов: «Я пошел сегодня на рынок и купил… [называет предмет]». Следующий игрок должен назвать свой собственный предмет, вспомнив при этом предыдущий, в том же порядке. Игроки по очереди продолжают добавлять в список новые названия предметов. Продолжайте добавлять и вспоминать названия, пока кто-нибудь не ошибется - тогда вы сможете начать все заново!</p>

<p>Эта игра не должна ограничиваться «рынком»!  Как насчет того, чтобы попробовать разные варианты, например, пляж или необитаемый остров?</p>

<p><strong>Что изучает ваш ребенок:  </strong>Это задание - отличный тест на память для детей, которые пытаются вспомнить названия предметов, из постоянно расширяющегося списка. Это отличная социальная игра как для маленьких, так и для больших групп, она обязательно укрепит уверенность детей в публичных выступлениях!</p>",12021,no,parent,,6441,7041,1,tj-ru,published
7491,Разыгрывание книги,"<p><strong>Необходимые материалы: </strong>Отсутствуют</p>

<p><strong>Что вы можете делать вместе: </strong>Спросите детей, не хотели бы они придумать свои собственные книги для разыгрывания или выбрать названия знакомых им книг из шляпы.</p>

<p>Вот некоторые популярные варианты:</p>

<ul>
	<li><em>Очень голодная гусеница</em> (съешьте всю еду, закрутитесь в кокон и превратитесь в бабочку)</li>
	<li><em>Груффало</em> (почувствуйте шипы на спине и ядовитую бородавку на кончике носа)</li>
	<li><em>Где</em> обитают дикие существа (рычите, топайте и станьте «королем всех диких существ», прежде чем отправиться домой на горячий ужин)</li>
	<li><em>Алиса в стране чудес</em> (представьте, что вы упали в кроличью нору, сделайте глоток из бутылки «Выпей меня» и уменьшитесь, чтобы пройти через дверь)</li>
	<li><em>Питер Пэн</em> (летите в Неверленд и сражайтесь на мечах с Капитаном Крюком)</li>
</ul>

<p>Остальные игроки должны угадать название книги, и тот, кто первым угадывает правильно, делает следующий ход.</p>

<p>Для более маленьких игроков выберите вместе четыре или пять книг и попросите их угадать, какая из них будет разыгрываться. Им также может понравиться разыгрывать свою книгу с помощью взрослых.</p>

<p><strong>Что при этом изучает ваш ребенок:  </strong>Это задание идеально подходит для того, чтобы укрепить уверенность ребенка и развить его воображение через разыгрывание своих любимых сборников сказок. Другие игроки должны быть особенно внимательными, чтобы угадать название книги - отлично подходит для отработки навыков слушания и концентрации.</p>",12681,no,parent,,6441,7046,1,tj-ru,published
7546,"Игра ""Угадай животное""","<p><strong>Необходимые материалы: </strong>Не требуется</p>

<p><strong>В чем заключается игра:</strong> Кто-то начинает игру и говорит: «Я загадал животное, которое начинается с буквы…». Затем другие игроки по очереди задают вопросы, чтобы попытаться угадать животное. Они могут задавать любые вопросы, но ответ может быть только «да» или «нет». Например, у него четыре лапы? У него есть хвост? Это млекопитающее? Оно может летать? Как только кто-то угадывает животное, игроки меняются ролями. Хотите усложнить задачу? Не говорите, с какой буквы оно начинается!</p>

<p>Чтобы было ещё сложнее, можно загадывать и доисторических животных!</p>

<p><strong>Чему при этом учится ребенок: </strong>Детям, которым очень интересно все про животных, понравится демонстрировать свои знания и отгадывать. При этом нужно будет ещё и проявлять смекалку — выяснить, что же за загадочное животное загадано. Это развивает навыки критического мышления и расширяет кругозор.</p>",12241,no,parent,,6441,7101,1,tj-ru,published
