ID,Title,Body,Cover_image,Equipment,Type_of_support,Child_age,Domain,Related_milestones,Mandatory_content,Translation_language,Moderation_state
7176,Кӯмак ба кӯдак барои худтасаллидиҳӣ,"<p><strong>Маводҳои </strong><strong>зарурӣ:</strong> Ашёҳое, ки Шумо одатан дар гаҳвораи кӯдаки худ ва ё дар ҳар ҷое, ки ӯ хобидааст, мегузоред.</p>

<p><strong>Шумо ҳамроҳ чӣ кор карда метавонед: </strong> Нигоҳубини фарзандатон ҳангоми нороҳат будани вай ҳанӯз ҳам муҳим аст. Аммо, Шумо пай мебаред, ки фарзандатон рӯз то рӯз  ба муддати кӯтоҳ ҳам бошад, худро ором мекунад. Тавасути боварӣ ҳосил намудан, ки дар наздикӣ ашёҳои бехатаре ҳастанд, ки кӯдак ба воситаи онҳо худро бароҳат эҳсос намояд, Шумо метавонед ба фарзандатон кӯмак намоед. Масалан, ягон бозичае ҳаст, ки фарзанди Шумо навозиш кардани онро дӯст медорад, телефони мобилии рангоранг ё расме ҳаст, ки кӯдак ба осонӣ онро мебинад. Ба он диққат диҳед, ки оё дастони кӯдаки Шумо дар ҳолате қарор доранд, ки ӯ метавонад барои ором шудан онҳоро макад. Пеш аз он ки фавран ба назди кӯдак равед, таваққуф кунед ва бодиққат назар кунед, ки кӯдак мустақилона дар муддати кӯтоҳ ором шуда метавонад. </p>

<p><strong>Кӯдаки Шумо чиро меомӯзад: </strong>Фарзанди Шумо медонад, ки метавонад барои беҳбуди вазъ ба Шумо такя кунад. Аммо ӯ инчунин мефаҳмад, ки метавонад барои оромӣ коре кунад. Худтасаллидиҳӣ ин маҳорати муҳимест, ки бояд аз ин синну сол сар карда омӯхта шавад ва дар тӯли моҳҳо ва солҳои минбаъда инкишоф дода шавад. Мисли ҳамеша, дастгирии меҳрубононаи Шумо муҳим аст.</p>",11801,yes,parent,,6431,2566,0,tj-tg,published
7191,Бозиҳоро омӯзед ва пайдо кунед,"<p><strong>Маводҳои зарурӣ:</strong> Ҳама гуна бозичаҳои дӯстдошта, уребча, рӯймол, дастмоли коғазӣ, халта ё сумка, шишаҳои хурди пластикӣ, тухмиҳои гуногун ва ашёи хурд.</p>

<p><strong>Шумо ҳамроҳ чӣ кор карда метавонед: </strong>Рустшавакон бозӣ кунед. Бигзор фарзандатон бубинад, ки Шумо ашёеро дар зери кӯрпа, памперс ё болишт пинҳон мекунед. Агар кӯдак ба ёфтани ашёи пинҳоншуда шурӯъ накунад, дафъаи оянда онро қисман пӯшонед. Ба фарзандатон дар ёфтани ашё кӯмак намоед.</p>

<p>Бозичаҳои хурдро бо дастмоли коғазӣ ё рӯймола печонед (скотчро истифода набаред). Кӯдак метавонад бастаро кушояд ва сюрприз пайдо кунад. Шумо метавонед дигар коғазҳои мулоим ё коғазҳои рангашон диққатҷалбкунанда истифода баред. Инчунин метавонед бозичаҳоро бо рӯймолчаи тунук, матоъ ва ё памперс тунук печонед. Идеяи дигар ин сохтани халтаи сеҳрнок аст. Халтаи коғазӣ ё катониро бо ашёҳои зерин пур кунед: бозичаи мулоим, чизе, ки садо мебарорад, зарфчаи хурди пластикӣ бо сарпӯши тобмехӯрда ё китоб бо саҳифаҳои картонӣ. Навраси худро барои омӯхтани халтаи сеҳрнок ташвиқ кунед. Боварӣ ҳосил кунед, ки ашёҳо бехатар аст ва бозӣ аз ҷониби Шумо хуб назорат карда мешавад.</p>

<p>Идеяи дигар ин нақшофарӣ бо бозичаи мулоим ё лӯхтак аст. Ба фарзандатон нишон диҳед ва бигӯед, ки лӯхтак чӣ кор мекунад (роҳ меравад, хоб мекунад, хӯрок мехӯрад, дар назди миз бозӣ мекунад). Калимаҳоро барои тасвир кардани оне, ки лӯхтак чӣ кор мекунад истифода баред, шояд ба лӯхтак овоз медиҳед – Шумо метавонед ҳамаи он чизе ки ба Шумо ва фарзандатон писанд аст, иҷро кунед. Ба фарзандатон бозичаашро диҳед ва бубинед, ки оё ӯ лӯхтакро ба ҳаракат медарорад ва он чизе, ки Шумо мекунед, такрор мекунад. Агар ин бозӣ ба фарзандатон писанд ояд, Шумо метавонед бо навбат бозӣ кунед!</p>

<p>Кӯдакон аз бозӣ бо ашёе, ки садо мебароранд ва мағал мекунанд, лаззат мебаранд. Агар Шумо вақт ва мавод дошта бошед, метавонед шақшақаи мурракабро тавассути сохтани дастбандҳои металлии, ки ба дасти кӯдак ҷо мешавад, омода намоед. Шумо инчунин метавонед шишаҳои пластикии хурдро (бо сарпӯшҳо, ки кӯдакон кушода наметавонанд) бо ашёҳое, ки садоашон гуногун аст, ба монанди мӯҳрача, биринҷ, намак, донаҳои ҷуворимакка ва ғ. пур кунед. Бо мақсади бехатарӣ, ҳатман сарпӯшро мустаҳкам маҳкам кунед ва  фарзандатонро ба омӯхтани садоҳо ташвиқ кунед.</p>

<p>Шумо метавонед ин машғулиятро ҳангоми доштани вақти холӣ барои бозӣ бо фарзандатон истифода баред. Агар дар оила бародарону хоҳарони калонтар бошанд, онҳоро низ барои бози кардан даъват кунед.</p>

<p><strong>Кӯдаки Шумо чиро меомӯзад: </strong>Кӯдаки Шумо тавассути ламс кардан ва ё бозӣ кардан, шинохтани ашё ва одамони навро оғоз мекунад. Ин машғулиятҳо барои инкишофи моторикаи хурд ва малакаҳои сенсории кӯдак мусоидат мекунанд.</p>

<p>.</p>",9246,yes,,,6436,2626,1,tj-tg,published
7376,Мубодила кардан бо ҳиссиёт,"<p><strong>Маводҳои зарурӣ: </strong>Лозим нест   </p>

<p><strong>Шумо ҳамроҳ чӣ кор карда метавонед: </strong>Дар ин синну сол, фарзанди Шумо эҳсосоти бештар нишон медиҳад. Ҳар рӯз Шумо мебинед, ки фарзандатон ҳаяҷон, ғамгинӣ, тарсу ҳарос ва ҳиссиёти дигар баён менамояд. Дар ин муддат, Шумо метавонед пай баред ва бигӯед, ки ӯ чӣ ҳис мекунад: «Ту хеле хушбахт менамоӣ. Ман фикр мекунам, ки аз дидори бибиат хеле хушҳоли. "" Ё: «Мебинам, ки ту нороҳати, ки мо имрӯз дар берун бозӣ карда наметавонем. Биё, чизе пайдо кунем, ки дар хона то ба охир расидани борон бозӣ кунем. "" Фарзанди шумо метавонад ҳиссиёти дигаронро пай барад. Шумо метавонед ба фарзандатон кӯмак кунед, ҳатто агар ӯ ҳиссиёти худро баён накунад: «Бале, ту мебини, ки хоҳари ту хеле ғамгин аст. Вай гиря мекунад. Оё ту метавонӣ ба ӯ кӯмак намоӣ, ки ӯ худро беҳтар ҳис намояд?</p>

<p><strong>Кӯдаки Шумо чиро меомӯзад: </strong>Вақте ки Шумо эҳсосоти фарзанди худро пай мебаред, қабул мекунед ва дар бораи он сӯҳбат мекунед, ӯ ба фаҳмидан ва ифодаи пурраи онҳо шурӯъ мекунад. Рушди эҳсосотӣ вазифаи муҳим дар ин синну сол мебошад. Ҳамдардӣ ба дигарон низ ҷузъи ин раванд аст. Бо кӯмак расонидан ба фарзандатон дар эҳсосоти дигарон эҳсос ва ғамхорӣ кардан, Шумо ба фарзандатон кӯмак мекунед, ки ӯ шахси ғамхор гардад.</p>",12596,no,parent,,6431,2756,1,tj-tg,published
7386,Ман кӣ ҳастам?,"<p><strong>Маводҳои зарурӣ:</strong> Сурати фарзанди Шумо (агар онро дар шакли чоп надошта бошед, он метавонад дар телефони Шумо бошад).</p>

<p><strong>Шумо ҳамроҳ чӣ кор карда метавонед: </strong>Якҷоя ба акс нигаред. Бигӯед: ""Ваа, ин ___!"" (номи фарзанди Шумо). ""Ин кист? Бале, ин __!"" (Фарзанди Шумо метавонад номи худро гӯяд ё якҷоя номи фарзандатонро гӯед.) “Ту се солаӣ! Ту духтарча ҳастӣ / писарча! "" Шумо метавонед дар як сӯҳбат дар бораи ном, синну сол ва ҷинси фарзандатон сӯҳбат кунед, ё аз ном ва синну сол оғоз кунед – ҳамаи он чизе, ки фарзанди Шумо медонад ва ба он шавқ дорад, мувофиқ буда метавонад. Ба аксҳо ва инчунин метавонед дигар аксҳои фарзандатон дар замонҳои гуногун нигаред ва ӯро ташвиқ кунед, ки ном, синну сол ва ""ман духтарам"" ё ""ман писарам"" гӯяд. Фарзанди Шумо инчунин метавонад аз мубодилаи ин чиз бо дигар аъзоёни оила низ баҳра барад. Инчунин метавонед бе аксҳо аз кӯдак пурсед: ""Номи ту чист?"" ""Дуруст аст, ту __!"")</p>

<p><strong>Кӯдаки Шумо чиро меомӯзад:  </strong>Донистани номи худ, синну сол ва ҷинс як қисмати ташаккулёбии  шахсият ё худэҳсоснамоии фарзанди Шумо мебошад.</p>",12606,yes,parent,,6436,2711,1,tj-tg,published
7416,Ба боло ҳамроҳ меравем!,"<p><strong>Маводҳои зарурӣ: </strong>Лозим нест   </p>

<p><strong>Шумо ҳамроҳ чӣ кор карда метавонед: </strong>Дар ин синну сол, баромадан ба зинапоя ва фаромадан барои фарзанди Шумо шояд завқовар бошад (хонаи шумо шояд зинапоя надошта бошад, аммо  дар беруни хонаи шумо ҷойе бошад, ки дар он Шумо метавонед ба фарзандатон барои таҷрибаомӯзӣ  кӯмак  намоед.) Ҳангоми кӯшиши кӯдак ба боло рафтан ё фаромадан ҳатман ҳамроҳи ӯ бошед. Кӯдаки Шумо метавонад аввал гавак кашад, сипас кӯшиш кунад, ки дасти Шуморо ё ин ки дастаи зинапояро дошта баромада фарояд. Масалан, кӯдакро бо сурудхонӣ ташвиқ кунед: «Ба боло, мо якҷо меравем! Модар ва [номи кӯдак] ба зинапоя мебароянд. Мо якҷоя боло меравем! Қадам ва ба пеш! Қадам ва ба пеш! ""</p>

<p><strong>Кӯдаки Шумо чиро меомӯзад: </strong>Фарзанди Шумо ҳамоҳангсозии ҳаракатҳои пойҳоро меомӯзад, то ин ки аз ӯҳдаи мушкилотҳои нави ҷисмонӣ бомуваффақият баромада тавонад. Агар Шумо ба суруди худ ҳисобкуниро илова кунед (""Як қадами калон! Ду қадами калон!"" ва ғ.), Шумо инчунин рушди малакаҳои аввали математикии ӯро дастгирӣ хоҳед кард.</p>",12631,no,parent,,6421,2636,1,tj-tg,published
7426,Дастёри махсуси ман,"<p><strong>Маводи зарурӣ</strong>: Ашёи хона ё дигар маводҳое, ки дар ҳаёти ҳаррӯза истифода бурда мешаванд. Масалан  либосҳои тозаву таҳкардашуда; бозичаҳо ё дигар ашёе, ки фарзанди Шумо бо он бозӣ кардааст; қошуқҳо, пиёлаҳои намешикаста ва дигар ашёҳо барои хӯрокворӣ; маводи дар боғ ёфтшуда, ба монанди баргҳо.</p>

<p><strong>Шумо ҳамроҳ чӣ кор карда метавонед: </strong>Ба фарзандатон пешниҳод кунед, ки ""дастёри махсуси шумо шавад"". Ба ӯ гӯед, « барои ин ҷӯробҳоро ҷо ба ҷо гузоштан ба ман кӯмаки ту лозим аст. Як қисмашро ба ҷуздони хоҳарат мегузорему қисми дигарашро ба ҷуздони ту мегузорем. Ту ин чизҳоро гирифта ҷо ба ҷо гузошта метавонӣ? Ваҳ, чӣ хел ту дастёри калон ҳастӣ, Раҳмат!”   </p>

<p>Ин машғулият метавонад як қисми реҷаи ҳаррӯзаи Шумо бошад, бо маводҳо ва вазифаҳои гуногун.</p>

<p><strong>Кӯдаки Шумо чиро меомӯзад:  </strong>Фарзанди Шумо ҳамкорӣ ва кӯмак намудан ба дигаронро меомӯзад. Ин амал фарзанди Шумо ва дигаронро хушбахт мегардонад. Дар ин ҳолат кӯдак инчунин риоя кардани дастурҳои оддиро аз худ мекунад ва номҳои дигар ашёҳоро аз ёд мекунад. Эҳтимол ӯ гурӯҳбандӣ намудани ашёҳоро аз худ кунад – масалан Шумо метавонед аз вай хоҳиш намоед, ки ҷӯробҳои хурдро ёфта ба як даста гузораду, ҷӯробҳои калонро ба дигар даста. Кӯшиш кунед, ки ин корро ба машғулияти шавқовар табдил диҳед, на ин ки ба озмоиш.</p>",12636,yes,parent,,6436,6976,1,tj-tg,published
7471,Тӯбҳо дар қуттӣ,"<p><strong>Маводҳои зарурӣ: </strong>Якчанд тӯбҳои андозаҳои гуногун (тӯбҳое, ки шумо аз ҷӯробҳои печондашуда ё рӯзномаҳо сохтаед) ва қуттии картон.</p>

<p><strong>Шумо ҳамроҳ чӣ кор карда метавонед: </strong>Бозиро дар дохили бино (агар тӯбҳо мулоим бошанд) ё дар беруни бино ташкил кунед. Фарзанди худро даъват намоед, то ки тӯбро ба қуттӣ партояд. Ба фарзандатон нишон диҳед, ки чӣ гуна ин корро иҷро кардан мумкин аст ва сараввал ба қуттӣ наздик шавед. Вақте ки кӯдак партофтани тӯбро меомӯзад, хоҳиш кунед, ки ӯ қафотар истад ва боз тӯбро партояд. Инро бо тӯбҳои андозаашон гуногун санҷед. Кӯдаки Шумо мустақилона иҷро намудани ин машқро дӯст медорад. Агар ба фарзандатон маъқул бошад, Шумо метавонед ҳисоб кунед, ки тӯб чанд маротиба ба қутти задааст.</p>

<p dir=""ltr""><strong>Фарзанди шумо чиро меомӯзад: </strong>Дар ин ва дигар бозиҳо, фарзанди Шумо малакаҳои ҷисмонии худро инкишоф медиҳад. Кӯдак идоракунии ҳаракатҳои худро меомӯзад, то ки тӯбҳоро дақиқ партояд. Вақте, ки Шумо дар ин маҳорат бештар салоҳиятдор мешавед, фарзандатон худро боэътимод ҳис мекунад. Агар Шумо ба бозӣ ҳисобро илова кунед, фарзанди Шумо малакаҳои барвақти математикии худро низ беҳтар мекунад.</p>",12666,yes,parent,,6436,7026,1,tj-tg,published
7486,"""Ман ба бозор рафтам""","<p><strong>Маводи зарурӣ: Л</strong><strong>о</strong><strong>зим </strong><strong>нест</strong></p>

<p><strong>Шумо ҳамроҳ чӣ кор карда метавонед: </strong>Яке аз бозигарон аз гуфтаҳои зерин оғоз мекунад: ""Ман имрӯз ба бозор рафтам ва ... харидам [ашёро номбар мекунад]"". Бозингари дигар бояд ашёи худашро илова карда, чизи пештараро дар хотир дорад, ва бо ҳамон тартиб илова кунад. Бозингарон бо навбат ба рӯйхат номҳои ашёи навро илова мекунанд. Номҳоро илова карда дар хотир нигоҳ доред, то даме ки ягон кас хато накунад - пас шумо метавонед бозиро аз нав оғоз кунед!</p>

<p>Ин бозӣ набояд танҳо бо ""бозор"" маҳдуд шавад!  Вариантҳои гуногунро ба монанди бозии “соҳил” ё ин ки “ҷазира” чӣ гуфтан мумкин аст?</p>

<p><strong>Фарзанди Шумо чиро меомӯзад: </strong>Ин фаъолият - як санҷиши хуб барои хотираи кӯдаконест, ки мехоҳанд номгӯи ашёҳое, ки дар рӯйхаташон зиёд мешаванд ба ёд оранд. Ин як бозии олии иҷтимоӣ барои ҳам гурӯҳҳои хурд ва ҳам калон аст ва тавассути он, дар кӯдакон ҳатман салоҳияти  суханронии (баромадҳои) оммавӣ рушд ва такмил меёбад!</p>",12021,no,parent,,6441,7041,1,tj-tg,published
7491,Бозӣ бо китоб,"<p><strong>Маводҳои зарурӣ: </strong>Лозим нест</p>

<p><strong>Шумо ҳамроҳ чӣ кор карда метавонед: </strong>Аз кӯдакон пурсед, ки оё онҳо мехоҳанд китобҳои шахсии худро таҳия кунанд ё номҳои китобҳои шинохтаашонро аз кулоҳ интихоб кунанд.</p>

<p>Дар зер баъзе вариантҳои машҳур пешниҳод менамоем:</p>

<ul>
	<li>Кирми абрешим<s>и</s> хеле гурусна (ҳамаи ғизоро истеъмол намуда, ба пила табдил шуда пас ба  шабпарак мубаддал шавед)</li>
	<li>Груффало (тасвир кунед ки шумо дар қафо хор ва зағили заҳрнок дар нӯги бинӣ доред)</li>
	<li>Дар он ҷое, ки ҳайвоноти ваҳшӣ зиндагӣ мекунанд (пеш аз он ки барои хӯроки гарм равед ғурриш кунед, қадам занед ва ""подшоҳи ҳама ҷонварони ваҳшӣ"" шавед)</li>
	<li>Алиса дар олами аҷоибот (тасаввур кунед, ки шумо ба хонаи хурди  харгӯшҳо афтодед, ва барои аз дар гузаштан аз шиша бо навиштаҷоти ""Маро бинӯш"" нӯшидед)</li>
	<li>Питер Пэн (ба Неверленд парвоз кунед ва бо капитан Ҳук бо шамшерҳо мубориза баред)</li>
</ul>

<p>Қисми боқимондаи бозингарон бояд номи китобро тахмин кунанд ва касе, ки аввал номи дурустро номбар мекунад, ҳаракати навбатиро анҷом медиҳад.</p>

<p>Барои бозингарони хурдтар, чор ё панҷ китобро интихоб намуда, аз онҳо пурсед, то ин ки бо кадом китоби интихобшуда бозӣ мекунанд. Онҳо инчунин метавонанд бо ёрии калонсолон китоби худро иҷро намоянд.</p>

<p><strong>Ф</strong><strong>арзанди шумо</strong><strong> чиро</strong><strong> меомӯзад: </strong>Ин фаъолият барои такмили эътимод ва тахаюлоти фарзанди Шумо тавассути иҷрои китобҳои ҳикояҳои дӯстдоштааш беҳтарин мебошад. Дигар бозингарон бояд барои тахмин кардани номи китоб ба таври ҷиддӣ бодиққат бошанд – ва ин  барои таҷрибаи малакаҳои гӯш кардан ва тамаркуз кардан низ хеле хуб аст.<strong> </strong></p>",12681,no,parent,,6441,7046,1,tj-tg,published
7546,"Бозии ""Ҳайвонотро ёбед""","<p><strong>Маводҳои зарур</strong><strong>ӣ</strong><strong>: </strong>Лозим нест</p>

<p dir=""ltr""><strong>Бозӣ дар бораи чӣ аст: </strong>Касе бозиро оғоз мекунад ва мегӯяд: ""Ман як ҳайвонеро тасаввур кардам, ки бо ҳарфи зерин сар мешавад ..."". Сипас бозингарони дигар, бо навбат саволҳо медиҳанд, то ҳайвонро  тахмин карда ёбанд. Онҳо метавонанд ҳар гуна саволе диҳанд, аммо ҷавоб танҳо ""ҳа"" ё ""не"" буда метавонад. Масалан, оё он чор пой дорад? Ӯ дум дорад? Ин ширхӯр аст? Он метавонад парвоз кунад? Ҳамин, ки касе ҳайвонро тахмин кард, бозингарон нақшҳоро иваз мекунанд. Агар Шумо мехоҳед вазифаи бозиро душвортар кунед, пас нагӯед, ки номи ҳайвон бо кадом ҳарф сар мешавад!</p>

<p>Барои боз ҳам мушкилтар кардани бози, Шумо инчунин метавонед ҳайвонҳои пеш аз таърихро тасаввур созед!</p>

<p><strong>Фарзанди Шумо чиро меомӯзад: </strong>Кӯдаконе, ки дар бораи ҳайвонҳо шавқу таваҷҷӯҳи зиёд доранд, хурсандона дониш ва тахминҳои худро нишон медиҳанд. Дар ин ҳолат, кӯдакон зирак буданро меомӯзанд, то ки фаҳманд, ки чӣ гуна ҳайвони пурасрор пинҳон шудаст. Он малакаҳои тафаккури интиқодиро инкишоф медиҳад ва доираи назарро васеъ мекунад!</p>

<p dir=""ltr""> </p>",12241,no,parent,,6441,7101,1,tj-tg,published
