ID,Title,Body,Cover_image,Equipment,Type_of_support,Child_age,Domain,Related_milestones,Mandatory_content,Translation_language,Moderation_state
7176,"Bolangiz o&#039;zini tinchlantirishi uchun yordam bering","<p><strong>Sizga kerak bo'ladigan materiallar: </strong>Odatda bolangizning yoniga, uning karavoti, yoki u yotadigan boshqa joyga qo’yadigan birorta buyum, narsalar. </p>

<p><strong>Birgalikda nima qilishimiz mumkin: </strong>Hali ham farzandingizning kayfiyati buzilganda, unga g’amxo’rlik qilish muhimdir. Biroq, siz farzandingizni o’z-o’zini oz muddatga bo’lsa ham tinchlantira olayotganligini sezasiz.  Unga tasalli berib o’zini xotirjam his qilishiga yordam beradigan yonidagi narsalar xavfsiz ekanligiga ishonch hosil qiling, shu bilan bolangizga yordam berishingiz mumkin.  Masalan, dilbandingiz silashnii yaxshi ko'radigan yumshoq o'yinchog’i bormi?  Bola ko'rishi mumkin bo'lgan rang-barang o’yinchoq mobil telefon yoki rasm bormi?  Farzandingiz barmoqlarini so’rish orqali tinchlansa, uning qo’llari qulay holatda turibdimi? Bolangizni oldiga darhol bormasdan kuzating, bolangiz o’zi tinchlanayaptimi, yoki o’zini-o’zi oz muddatga ovuntira olayaptimi? </p>

<p><strong>Farzandingiz nimani o'rganmoqda:  </strong>Farzandingiz vaziyatni yaxshilash uchun sizga suyanishi mumkinligini biladi. Shu bilan birga bolajoningiz xotirjamlikni saqlash uchun o’zlari ham nimadir qila olishlari mumkinligini ham biladi. Bolaning o’zini tinchlantirishi - hozirdan o’rganishni boshlash va kelgusi oy va yillar davomida rivojlantirish zarur bo’lgan muhim jihatdir. Har doimgidek, sizning mehr bilan qo'llab-quvvatlashingiz juda muhimdir.</p>",11801,yes,parent,,37,2566,0,uz-uz,draft
7181,"Bolaning qiziqishlarini saqlab qolish","<p><strong>Sizga kerak bo'lgan materiallar: </strong>Bolaga yoqadigan oddiy narsa va o’yinshoqlar.  </p>

<p><strong>Birgalikda nima qilishingiz mumkin: </strong>Bu yoshda sizning farzandingiz ""men zerikdim"" yoki ""menga yoqadi, iltimos to'xtamang!"" deya olmaydi. Farzandingizning o'zini qanday tutishini kuzatib, siz farzandingiz yangi narsalarni ko'rishga ular bilan shug’illlanish istagini bilishingiz mumkin. Farzandingiz bezovtalana boshlashi yoki ilgari uni qiziqtirgan narsadan yuz o'girishi mumkin. Yoki u bor-yog’i joyi yo’ki holatini o’zgartirishi kerakdir.</p>

<p>Farzandingiz qiziquvchan, ziyrak va qoniqan bo'lishi uchun bir nechta narsani sinab ko'ring. Siz farzandingizni yaxshiroq bilasiz. Ehtimol, ushlab turishi kerak bo’lgan biroz ko'proq hayratga solishi mumkindir.  Yoki siz bolangizni ko'tarib, bir oz aylanib, xonaning yangi qismlarini kuzatishingiz mumkin. Yoki, ehtimol, ""qorinda yotish"" etarli bo'lgan va sizning farzandingiz narsani kuzatish uchun chalqancha yotmoqchidir.</p>

<p><strong>Farzandingiz nimani o'rganmoqda: </strong> Farzandingiz har daqiqada biror yangi narsa qilishi shart emas. Bolaning intilishlariga e’tiborliroq bo’ling. Agar salgina rag’batlantirish, qiziqtirish bolada qoniqish va intilishni faollashtirsa birozgina o’zgartirish kiritishingiz mumkin. Bolangiz harakatlanish va gapirishdan oldinroq unga nima kerak bo’layotganini bildira oladi.</p>

<p>Ushlash va kuzatish kerak bo’lgan narsalardagi oddiy o’zgarishlar yoki bola holatidagi biror kichik o’zgarishlar o’rganishning yangi imkoniyatlarini eshigini ochib beradi. Vaqt o’tishi bilan ta'lim uchun berilgan muddat bolaga nima berganini tushunib olasiz.</p>",12486,yes,parent,,38,2586,1,uz-uz,draft
7186,Tasavvurlar,"<p><strong>Sizga kerak bo'lgan materiallar: </strong>kerak emas.</p>

<p><strong>Birgalikda nima qilishingiz mumkin: </strong>Farzandingiz nimalardir  deb gapirmoqchi bo’lsa har qanday tarzda unga javob bering. Haqiqiy kichkina ""suhbat"" bo'lsin - chaqaloq bilan muloyim ovozda gaplashing, suhbatlashayotganda ularga tabassum qiling; gaplashayotganda, vaqti-vaqti bilan qisqa tanaffuslar qilib, chaqalog'ingizga aralashish muloqat imkoniyatini bering; biron bir vaqtda chaqaloq oddiy tovushlarni chiqarishni boshlaydi. Baland yoki past ohangda gapiring, pichirlashga va qo'shiq aytishga harakat qiling. Buni chaqaloq bilan navbatma-navbat bajaring. U chiqaradigan tovushlarni takrorlang. </p>

<p>Bolani o’zingiz bilan yuzma-yuz yotqizing - bu tovushlarni chiqarishda chaqaloq sizni kuzatadi. Bu holatda bo'lgan bola sizning yuz ifodangizni o'zgartirishingizni kuzatishi mumkin (keng tabassum, cho'zilgan til, ochilgan ko'zlar, ko'tarilgan qoshlar, shishgan yonoqlar). Bolani kuzatib boring va agar ushbu yuz ifodalarining ba'zilari qo'rqitayotganini sezsangiz, yuzingizni tezda o'zgartiring va bir muncha vaqt o'tgach, yumshoq yuz ifodasi bilan qayta urinib ko'ring. Shuni unutmangki, har bir chaqaloq har xil va har xil munosabat bildiradi.  Ushbu o'yinda chaqalog'ingizga sizni kuzatib, taqlid qilib, yangi yuz ifodasini yaratishga harakat qilish uchun bir muddat ifodani saqlang. Bolaning qilgan ishini takrorlang.</p>

<p>Yana bir g'oya - chaqaloqqa latta qo'g'irchoqni ko'rsatish yoki shunchaki barmog'ingizga kichkina paypoqcha kiyishingiz mumkin. Qo'g'irchoqni qimirlatayotganingizda yoki paypoqchani tepaga va pastga harakatlantirayotganingizda farzandingizning ismini ayting. Bolaning ushbu harakatni kuzatayotganligiga ishonch hosil qiling. Keyin barmog'ingizni aylantiring. Har safar chaqalog'ingiz qo'g'irchoqning harakatlarini kuzatayotganini ko'rsangiz, yangi harakatni sinab ko'ring.</p>

<p>Bu yo'rgaklarni almashtirish paytida juda qulay tartib, lekin bundan tashqari siz chaqaloq bilan o'tkazgan har qanday bo'sh vaqtingizda ham foydalanishingiz mumkin.</p>

<p><strong>Farzandingiz nimani o'rganmoqda:  </strong>Ushbu bosqichda, eng yaxshi o'yinchoq -  bolani eng ko'p hayratga soladigan narsa – bu siz! Yuzingiz, ovozingiz, qo'llaringiz, tanangiz. Sizning chaqalog'ingiz siz bilan muloqot qilishni o'rganadi va odamlarning yuzlarini diqqat bilan va ko’ruv orqali muloqati qo’llab quvvatlanadi, batafsil kuzatib boradi, uzoq ko'z bilan aloqa qiladi.</p>",10571,,parent,,39,2616,1,uz-uz,draft
7191,"O’yinchoqlarni o’rgan va izlab top","<p><strong>Sizga kerak bo'l</strong><strong>adi</strong><strong>gan materiallar: </strong>Sevimli o’yinchoqlar, tagliklar, sharf, qog’oz sochiq, qanor qop yoki hamyon, mayda yelim butilkalar, turli urug’lar va mayda buyumlar.</p>

<p><strong>Birgalikda nima qilishingiz mumkin: </strong>Berkinmachoq o’ynang. Farzandingiz biror buyumni ko’rpa, taglik yoki yostiq tagiga berkitayotganingizni ko’rishiga imkon bering. Agar farzandingiz yashirilgan buyumni topa olmasa, keyingi safar buyumning bir qismini ochiq qoldiring. Farzandingizga buyumni topishga yordam bering.</p>

<p>Kichik o’yinchoqni qog’oz sochiqqa erkin o’rab oling (skochdan foydalanmay). Bola qog’oz sochiqni ochib, syurprizni topishi mumkin. Siz shuningdek, boshqa yumshoq  qog’oz, yoki yorqin va yaltiroq gulqog’ozdan foydalanishingiz mumkin. Bulardan tashqari o’yinchoqlarni yupqa qog’oz sochiq, mato, yoki yo’rgakka o’rashingiz mumkin. Yana bir g’oya - farzandingiz ertalab uyg’onganda topishi uchun syurprizli sumka(xalta) tayyorlashingiz mumkin. Qog’oz qop yoki qanor qopni sizda mavjud bo’lgan quyidagi buyumlar bilan to’ldiring: yumshoq o’yinchoq, ovoz chiqaruvchi ixtiyoriy buyum, qopqoqli kichikroq yelim idish yoki karton varaqli kitob. Kichkintoyingizni “sehrli qop”ni o’rganishga undang. Buyumlar havfsizligi va o’yin siz tomoningizdan boshqarilayotganiga ishonch hosil qiling. </p>

<p>Yana bir g’oya - yumshoq o’yinchoq yoki qo’g’irchoq bilan “rolli o’yin” o’ynashingiz mumkin. Farzandingizga qo’g’irchoqni nima qilayotganini ko’rsatib va aytib bering (yuryapti, uxlab qolyapti, yeyapti, stol atrofida o’ynayapti). Qo’g’irchoq nima qilayotganini aytganingizda siz va farzandingizga yoqadigan so’zlardan foydalaning, balki qo’g’irchoqqa ovoz ham berarsiz. Qo’g’irchoqni farzandingizga bering va u qo’g’irchoqni harakatlantirib, siz qilgan hatti harakatlarni qiladimi - yo’qmi kuzating. Agar farzandingizga bu o’yin ma’qul bo’lsa,navbatma-navbat o’ynashingiz mumkin. </p>

<p>Bolalarga ovozli va shovqin taratuvchi o’yinchoqlarni o’ynash juda yoqadi. Agar vaqtingiz va materiallaringiz bo’lsa, farzandingizning qo’liga mos keladigan qalin metall bilaguzuklar ko’rinishida murakkab shakldagi shaqildoq o’yinchoqni yasashingiz mumkin boladi. Shuningdek, katta bo’lmagan yelim butilkalarni (bolalar ocha olmasliklari uchun og’zi mahkam) turli tovush chiqaruvchi mayda buyumlar, masalan sharchalar, guruch, tuz, jo’xori urug’i vahokazolar bilan to’ldirishingiz mumkin. Agar shunday qilsangiz, farzandingiz havfsizligi uchun qopqoqlarni mahkam berkiting va farzandingizni ovozlarni o’rganishga undang. </p>

<p>Bir oz bo’sh vaqtingiz bo’lganida farzandingiz bilan  oddiy o’yin o’ynash uchun bu faoliyatdan foydalanishingiz mumkin. Agar aka va opalar bo’lsa ularni ham kichkintoyingiz kabi o’ynashga taklif qilishingiz mumkin.  </p>

<p><strong>Farzandingiz nimani o'rganmoqda:</strong> Farzandingiz teginish va o’ynash orqali buyumlar va odamlarni o’zi uchun kashf qiladi. Bu mashg’ulotlar farzandingizning mayda qo’l motorikasi va sensorikasini rivojlanishiga yordam beradi.</p>",9246,yes,,,38,2626,1,uz-uz,draft
7196,"Yerda vaqt o’tkazish.","<p><strong>Sizga kerak bo'lgan materiallar: </strong> Gilamcha, ko’rpa, sevimli o’yinchoqlar, shaqildoqli o’yinchoqlar.   </p>

<p><strong>Birgalikda nima qilishingiz mumkin: </strong>Farzandingizni shunday joylashtiringki, uning oyoq panjalarining tag qismiga bemalol tega olishingiz mumkin bo’lsin. Ehtiyotkorlik bilan oyoqlari va oyoq barmoqlarini o’ynang va ularni mayinlik bilan qitiqlang. Barmoqlarga birin - ketin tegib, har bir barmoqning nomini ayting: “Bu barmoq...jimjiloq / oyisining barmog’i / dadasining barmog’i”. Farzandingiz yerda chalqancha yotar ekan, harakatlanib, ovoz chiqaruvchi o’yinchoqni yoqib qo’ying (agar bor bo’lsa). U ovoz chiqarayotgan narsani qidiradimi, yoki yo’qmi tekshiring. Yoki shaqildoq o’yinchoq, yoki loviya solingan idishni shaqillatib, farzandingiz uni qidiradimi, yo’qmi tekshiring.  </p>

<p>Farzandingiz, yumshoq, tekis yuzada, krovat, yoki ko’rpaning ustida chalqancha yotar ekan, uning qo’llari va barmoqlarini uqalang va u bilan gaplashing: “Bu sening qo’ling, bu sening barmoqlaring”- deb unga nima qilayotganingizni gapirib bering. Yoki uning qo’llarini silab turib qo’shiq kuylab berishingiz mumkin. Boshqa usul - oddiy o’yinchoqni olib shunday qo’yingki, farzandingiz uni ko’rsin,ammo qo’li yetmasin. U intiladimi? Farzandingiz qarayotgan paytda o’yinchoqni qimirlatishingiz mumkin bo’ladi.  Farzandingiz bir oz katta bo’lganida u o’yinchoqqa yetib olishi uchun unga ag’darilishiga yordam berishingiz mumkin.  </p>

<p>Farzandingiz bir oz katta bo’lgach yerda vaqt o’tkazishi uchun juda ko’p g’oyalar mavjud! Gilam ustiga ko’rpa yoki sochiq to’shang, farzandingizning boshini yon tarafga qaratib, qorni bilan yotqazing. Uni rag’batlantirish uchun uning yoniga yoting. Farzandingiz bu holatda istaganicha yotishi mumkin, faqat uning boshi chap tarafga ham o’ng tarafga ham bir xil vaqt davomida qaratilganiga ishonch hosil qiling. Siz yana uning sevimli o’yinchog’ini qo’li yetmaydigan qilib qo’yishingiz mumkin. Farzandingiz katta bo’lgan sari o’yinchoqqa talpinib, u tomon harakat qilishiga undang.</p>

<p>“Qorin vaqti” farzandingizning jismoniy rivojlanishi uchun juda muhim. Farzandingiz har kuni qorni bilan ko’proq yotishiga e’tibor qarating. U yuzini yerga qaratib yotgan payti ehtiyotkor bo’lib turing va vaqtida uni o’girib qo’ying, chunki yuzi yerga qaratilgan holatda bolaning nafas olishi qiyin bo’ladi. Vaqt o’tishi bilan u kuchga kirib, boshini ko’targan holda qo’llariga tiralib bir oz ko’tariladi. Keyinchalik bu harakatlar dumalash va emaklashga olib keladi. </p>

<p><strong>Farzandingiz nimani o'rganmoqda:  </strong>Bu oddiy o’yinlar farzandingiz atrofida yoqimli va ijobiy muhit yaratish uchun ajoyib imkoniyatdir. Bu o’yinlar davomida farzandingiz boshi va tanasi harakatlarini o’rganib, ularni boshqaradi. Bola qo’llariga tayangan holda boshini ko’tarishni o’rganadi.</p>",446,yes,,,54,2656,1,uz-uz,draft
7201,"Qara, o’z qo’llaring bilan nimalar qila olishing mumkin!","<p><strong>Sizga kerak bo'l</strong><strong>adi</strong><strong>gan materiallar: </strong>Yo'q</p>

<p><strong>Birgalikda nima qilishingiz mumkin:</strong> Bu yoshda farzandingiz o’z qo’llarining imkoniyatlarini o’zi uchun kashf etadi. U qo’llariga qaraydi (ular qanday?) Shuningdek, shu qo’llari bilan o’z og’zini topadi. Farzandingizga buni o’rgatishingiz shart emas, lekin siz bu yangi bilimlarni har kuni yangi usullar bilan rag’batlantirishingiz mumkin. Farzandingizning qo’l panjasi va qo’llari kunning ko’p qismida erkin harakatlanayotganiga ishonch hosil qiling. Tagliklarini almashtirish, kiyinish va cho’milish farzandingiz uchun yaxshi imkomiyat bo’lishi mumkin. Farzandingizni iloji boricha ko’roq qo’llarini va kaftlarini bemalol ko’ra oladigan va boshqara oladigan holatda qo’ying. Bu “hiyla”ni bilib, farzandingiz bir oz havotirga tushishi mumkin. Farzandingiz va uning qo’llari o’rtasida o’rnatilgan bog’liqlikka e’tibor bering va bu bog’liqlik o’rnatilishidan hosil bo’lgan qoniqish hissini u bilan baham ko’ring. </p>

<p><strong>Farzandingiz nimani o'rganmoqda: </strong><strong> </strong>Bu -  farzandingiz turli tana a’zolari harakatini boshqarish qobiliyati uchun muhim bosqich. Shuningdek bu mashg’ulot farzandingiz barmoqlarini og’ziga solganda ta’m sezish va his qilish kabi sezgilarini rivojlantiradi.</p>",12491,no,parent,,38,2666,0,uz-uz,draft
7206,"Yashirilgan buyumlarni qidirish","<p><strong>Sizga kerak bo'l</strong><strong>adi</strong><strong>gan materiallar: </strong>Bir nechta yumshoq o’yinchoq yoki uyingizdagi buyumlar, farzandingiz uchun havfsiz va qiziqarli bo’lgan o’yinchoqlar.   </p>

<p><strong>Birgalikda nima qilishingiz mumkin:</strong><strong> </strong>Farzandingizni qorni bilan gilam yoki boshqa yumshoq yuzaga yotqazing. Farzandingiz yuzini ko’ra oladigan va uning havfsizligini boshqara oladigan joyga o’tiring. Bir necha o’yinchoqlarni farzandingizning bir tomoniga (o’ng yoki chap), uning qo’llari yetmaydigan, lekin u bemalol ko’ra oladigan qilib qo’ying. U o’yinchoqlarga e’tibor qaratishini kuting, yoki siz ajablangan ohangda uni jalb qiling (“ Aaa, bizda bu yerda nimalar bor ekan?!”- deb. Farzandingiz buyumlardan birini olish uchun ag’darilishini kuting. Agar farzandingiz mustaqil harakat qilmasa, unga qornidan beliga ag’darilib, o’yinchoqlarga yetishiga yordam bering. Uni jo’shqin ovozingiz va tabassumingiz bilan qo’llab - quvvatlang. Agar unda qiziqish yo’qolib, ko’zini boshqa yoqqa qaratsa, yoki qarshilik ko’rsatsa - butun jarayonni bolaning boshqa tarafidan, boshqa o’yinchoqlar bilan takrorlang. </p>

<p><strong>Farzandingiz nimani o'rganmoqda:  </strong>Bu mashg’ulot farzandingizga buyumlarni ko’rib, bir qo’ldan ikkinchi qo’liga olib, og’ziga solib o’rganishiga imkon beradi.</p>",10601,yes,parent,,38,2691,1,uz-uz,draft
7211,"Bu nima va uni nomi qanday?","<p><strong>Sizga kerak bo'lgan materiallar: </strong> Har xil kitoblar, jurnallar, peshlavhalar, kataloglar, harflar va so'zlar boshqa belgilar mavjud bo'lgan va gaplashishga va qiziqarli suhbatlar o'tkazishga undaydigan barcha ramzlar.</p>

<p><strong>Birgalikda nima qilishingiz mumkin: </strong>Bolangiz atigi bir necha oylik bo'lganidan boshlab, uni ovqatlantirish paytida, tagliklarini almashtirishda, uni quchog'ingizda ushlab turganda yoki to'shakda sizning yoningizda yoki aravachada bo'lganida, u bilan osoyishta gaplashing. Garchi u barcha so'zlarni tushunmasa ham, yangi tug'ilgan chaqaloq sizning ovozingizni taniydi va bu unga yoqadi. Bolangizning ovozingizga qanday munosabatda bo'lishini ko'rsangiz, iliq tabassum bilan javob bering, uni erkalang va hk.  Agar u javob bermasa, harakatlarni to`xtatmeng!  U javob bera boshlaydi.</p>

<p>Bolalar uchun oddiy kitoblarni o'qing yoki birinchi kundanoq ertaklar aytib bering. Garchi u voqeani tushunmasa ham, chaqaloq sizning yaqinligingizdan va sizning ovozingizdan zavqlanadi. U siz ko'rsatgan rasmlarga qarashni yaxshi ko'radi. Kichkintoylar uchun yozilgan kitoblarni yoki rangdor jurnallarni o'qing va shu bilan birga rasmda nima borligini ko'rsating va bu haqda farzandingizga aytib bering. Farzandingiz kitobdagi rasmlarni silab ko'rsin. U ko'rsatadigan hamma narsani oddiy so'zlar bilan nomlang.</p>

<p>Kitoblar muhim, ammo farzandingiz bilan faqat hamma narsa  haqida gaplashish ham muhimdir.  Ob-havo yaxshi bo'lsa, farzandingizni uyingizga yaqin joyda bo'lsa ham tabiat bo'ylab sayr qiling.  Unga ko'rgan narsalaringiz haqida aytib bering.</p>

<p>Agar atrofingizda kitoblar bo'lmasa, siz shuningdek, tana qismlari, har kuni foydalanadigan va bola biladigan narsalar kabilar haqida gaplashishingiz mumkin. Shunday qilib, u hamma narsaning nomini tushunadi va asta-sekin bu nomlarni o'rganishni boshlaydi. Kundalik faoliyatingizda va kun tartibida qilayotgan ishlaringizni nomlang. Narsalarni nomlash paytida ob'ektni yoki nima qilayotganingizni ko'rsating. ""Oyisi farzandi uchun sharbat tayyorlaydi"". ""Bu sharbat"", deb sharbatni ko'rsatasiz. ""Oyisi bolaning tagligini o'zgartiradi"". ""Bu yo'rgak"", siz yo'rgakni ko'rsatasiz. Bolaning unga ko'rsatayotganingizni eshitishi va ko'rishiga ishonch hosil qiling. Masalan, ""Biz bugun brokkoli (gulkaram) yeymiz, oh, oh, qanday mazali"" va idishni ko'rsating.   Bular ""darslar"" emas, balki siz go'dakni dunyodagi barcha ajoyib narsalar bilan tanishtirishda yoqimli daqiqalar!</p>

<p>Bo'sh vaqtingiz bo'lganda, siz o'zingizning kundalik ishlaringizda (kiyim almashtirish, ovqatga tayyorgarlik ko'rish va h.k.) yuqoridagi misollardan foydalanishingiz mumkin.</p>

<p><strong>Farzandingiz nimani o'rganmoqda:  </strong>Farzandingiz sizni tushunmasa ham, u rasmlarni, tovushlarni, hidlarni va ovozingizni kuzatib boradi. U hamma narsaning nomi borligini tushunadi va asta-sekin bu ismlarni o'rganishni boshlaydi.</p>",11426,yes,parent,,39,2731,1,uz-uz,draft
7216,"Do&#039;stlar orttiramiz","<p><strong>Sizga kerak bo'lgan materiallar: </strong> Yo'q.</p>

<p><strong>Birgalikda nima qilishingiz mumkin: </strong>Farzandingiz har xil yo'llar bilan yig'lashi va bu bilan u turli xil xabarlarni etkazishga harakat qilishi mumkin. Ushbu davrda siz yangi, noma'lum odamlar paydo bo'lganda bo`la bezovta bo`la boshlaganini sezishingiz mumkin, ilgari bunday bo'lmagan. Bu kutilmagan emas. Unga birinchi navbatda har doim asta-sekin va to'satdan emas, iloji bo'lsa, birmuncha tanish bo'lgan muhitda tanishtirish orqali yordam bering. Har doim yangi chehralar yaqinlashganda yoki unga murojaat qilganda farzandingiz bilan birga bo'ling, agar tashvish va yig'lash kuchaysa - uni tinchlantiring. Farzandingiz bilan tinch ovozda gaplashing, uni tashlab ketmasligingizga ishontirish uchun uni quchog'ingizga oling. Siz uni muloyimlik bilan tebratib, quchoqlashingiz yoki unga qo'shiq aytishingiz mumkin. Farzandingiz qachon yana do'stlar orttirishga tayyorligini bilish uchun diqqat bilan kuzatib boring. Buni u atrofga nazar tashlaganida va atrofdagi narsalarni va odamlarni o'rganganda bilib olasiz. Sekin-asta uni yangi odamlar bilan tanishtirishga yana bir bor urinib ko'ring, uning zavq va noqulaylik belgilariga rioya qiling.</p>

<p>Har bir chaqaloq har xil; sizning farzandingiz yangi odamlarga juda qiziqishi mumkin yoki u hatto do'stona begonalarga juda sekin ko`nikishi mumkin.  Kichkintoyingizning ko'rsatmalariga rioya qiling va noyob kichkina farzandingizdan zavqlaning!</p>

<p><strong>Farzandingiz nimani o'rganmoqda: </strong>Sizning farzandingiz yangi vaziyatlarga va odamlarga munosabatda bo'lishni o'rganmoqda, chunki uning reaktsiyalari haftadan haftaga o'zgarishi mumkin.  Agar yangi odamlar sizning farzandingiz dunyosining bir qismiga aylansa, sizning yordamingiz bilan farzandingiz ularga asta-sekin o'rganib boradi, shunda u o'zini qulay his qiladi.</p>",2646,no,parent,,37,2761,1,uz-uz,draft
7221,"Ko’zgu o&#039;yinlari: &quot;Hech kim menga o&#039;xshamaydi&quot;","<p><strong>Sizga kerak bo'lgan materiallar: </strong>Katta devor oynasi yoki kichik sindirilmaydigan oyna (o'yinchoq sifatida).</p>

<p><strong>Birgalikda nima qilishingiz mumkin: </strong>Buni qanday qilish kerak: Bolaga o'zini yoki o'zini oynada ko'rishiga imkon bering. Farzandingiz beshigi yoki yo’rgak stoli  yoniga sinmaydigan oynani qo'ying, shunda bola o'zini  ko'rishi mumkin. Gapirishni boshlang va unga qarash uchun oynaga teging. ""Mana, bu Azimjon"" deb ayting. Biroz vaqt o'tgach, chaqaloq bu uning aksi ekanligini tushunadi. Farzandingizni oynaga tegizishiga va barmog'ini oynadagi o'z aksiga   qarashiga ruxsat bering.</p>

<p>Bolangiz bilan birga oynaga qarang - tabassum qiling va oynada unga qo'l siltang. O'zingizni oynaga qaraganingizda tabassum qiling va kulgili yuz ifodalarini yarating. Pomada yoki qalam yordamida katta oynada chaqalog'ingiz aks etadigan joyni aylantirib chizing, uni barmoqlaringiz bilan tegizishga va oynani qo'l bilan bo'yashga, o'zgarishlarni o'rganishga va tushunishga undang. Bolaning har bir qilgan ishini ijobiy va dalda beruvchi izohlar, tovushlar bilan kuzatib boring, nima bilan shug'ullanayotganingiz, nima bo'layotganingiz, oynada kimligi haqida farzandingiz bilan gaplashing, farzandingizning ismini takrorlang va ko'zguda uning yuziga ishora qiling .  O'zingizga ishora qiling, uni nomlang - bu oyisi ... bu ... Azizjon.  Farzandingiz o'sib ulg'ayganida, siz uning ismini taniy boshlaganini ko'rasiz.  Buni tez-tez ishlatib turing.</p>

<p>Oynaning oldida siz farzandingiz bilan berkinmachoq o'yinlarni ham o'ynashingiz mumkin  ""Azizjon qayerda? Oyisi qayerda?"". U olib tashlayotgan ro'molingiz orqasida o'zini va / yoki sizni yana ko'rganda u har doim sevinchdan porlab  tabassum qiladi.</p>

<p>Kichkintoy qornida dumalab yoki emaklay boshlaganda, ""Kel meni tutib ol"" o'yinini o'ynang. Farzandingiz biroz harakatlansin, va siz uning orqasidan ergashasiz va uni ushlaganingizda quchoqlaysiz.</p>

<p>Siz ushbu mashg'ulotlardan sizning oldingizda chiroyli katta ko'zgu turgan har qanday holatda ham foydalanishingiz mumkin, shuningdek, polda, beshikda, katta to'shakda, shifokor xonasida kutayotganingizda va hokazo.</p>

<p><strong>Farzandingiz nimani o'rganmoqda:  </strong>Ushbu o'yinlar go'dak uchun juda qiziq, shu bilan birga u o'zining qiyofasini, tashqi qiyofasini ko’rinishi va atrof-muhitdagi bilimi rivojlanadi.</p>",9501,yes,parent,,38,2776,1,uz-uz,draft
