ID,Title,Summary,Body,Cover_image,Category,Child_age,Child_gender,Parent_gender,Season,Keywords,Related_articles,Australian_article,Mandatory_content,References_and_comments,Translation_language,Moderation_state
3026,"Më shumë rreth rritjes në 6 muajt e parë - pesha e duhur në raport me gjatësinë","<p>Bravo! Fëmija juaj po rritet mirë dhe pesha e tij/saj është në përputhje me gjatësinë e tij/saj. Vazhdoni të ndiqni rekomandimet për të ushqyerit optimal, aktivitetin fizik dhe gjumin. Shikoni me kujdes ritmin e rritjes së fëmijës suaj.</p>","<p>Bravo! Fëmija juaj po rritet mirë dhe pesha e tij/saj është në përputhje me gjatësinë e tij/saj. Vazhdoni të ndiqni rekomandimet për të ushqyerit optimal, aktivitetin fizik dhe gjumin. Shikoni me kujdes ritmin e rritjes së fëmijës suaj.</p>",6446,5,46,,,,4751,"3401, 3341, 3346, 3416",0,1,,al-sq,draft
3031,"Më shumë rreth rritjes 7-9 muaj - pesha e duhur në raport me gjatësinë","<p>Bravo! Fëmija juaj po rritet mirë dhe pesha e tij/saj është në përputhje me gjatësinë e tij/saj. Vazhdoni të ndiqni rekomandimet për të ushqyerit optimal, aktivitetin fizik dhe gjumin. Shikoni me kujdes rritjen dhe zhvillimin e fëmijës suaj.</p>","<p>Bravo! Fëmija juaj po rritet mirë dhe pesha e tij/saj është në përputhje me gjatësinë e tij/saj. Vazhdoni të ndiqni rekomandimet për të ushqyerit optimal, aktivitetin fizik dhe gjumin. Shikoni me kujdes rritjen dhe zhvillimin e fëmijës suaj.</p>",6446,5,47,,,,4751,"3406, 3351, 3346, 3416",0,1,,al-sq,draft
3036,"Më shumë rreth rritjes 10-12 muaj - pesha e duhur në raport me gjatësinë gjatësinë","<p>Bravo! Fëmija juaj po rritet mirë dhe pesha e tij/saj është në përputhje me gjatësinë e tij/saj. Vazhdoni të ndiqni rekomandimet për të ushqyerit optimal, aktivitetin fizik dhe gjumin. Shikoni me kujdes rritjen dhe zhvillimin e fëmijës suaj.</p>","<p>Bravo! Fëmija juaj po rritet mirë dhe pesha e tij/saj është në përputhje me gjatësinë e tij/saj. Vazhdoni të ndiqni rekomandimet për të ushqyerit optimal, aktivitetin fizik dhe gjumin. Shikoni me kujdes rritjen dhe zhvillimin e fëmijës suaj.</p>",6446,5,48,,,,4751,"3411, 3356, 3346, 3416",0,1,,al-sq,draft
3041,"Më shumë rreth rritjes 13-24 muaj - pesha e duhur në raport me gjatësinë","<p>Bravo! Fëmija juaj po rritet mirë dhe pesha e tij/saj është në përputhje me gjatësinë e tij/saj. Vazhdoni të ndiqni rekomandimet për të ushqyerit optimal, aktivitetin fizik dhe gjumin. Shikoni me kujdes rritjen dhe zhvillimin e fëmijës suaj.</p>","<p>Bravo! Fëmija juaj po rritet mirë dhe pesha e tij/saj është në përputhje me gjatësinë e tij/saj. Vazhdoni të ndiqni rekomandimet për të ushqyerit optimal, aktivitetin fizik dhe gjumin. Shikoni me kujdes rritjen dhe zhvillimin e fëmijës suaj.</p>",6446,5,50,,,,4751,"3391, 3386, 3361, 3416",0,1,,al-sq,draft
3046,"Më shumë rreth rritjes 25-60 muaj - pesha e duhur në raport me gjatësinë","<p>Bravo! Fëmija juaj po rritet mirë dhe pesha e tij/saj është në përputhje me gjatësinë e tij/saj. Vazhdoni të ndiqni rekomandimet për të ushqyerit optimal, aktivitetin fizik dhe gjumin. Shikoni me kujdes rritjen dhe zhvillimin e fëmijës suaj.</p>","<p>Bravo! Fëmija juaj po rritet mirë dhe pesha e tij/saj është në përputhje me gjatësinë e tij/saj. Vazhdoni të ndiqni rekomandimet për të ushqyerit optimal, aktivitetin fizik dhe gjumin. Shikoni me kujdes rritjen dhe zhvillimin e fëmijës suaj.</p>",6446,5,58,,,,4751,"3396, 5891, 3366, 3416",0,1,,al-sq,draft
3051,"Më shumë rreth rritjes në 6 muajt e parë - kequshqyerja e butë","<p>Vëmendje! Fëmija juaj po humb peshë (ose nuk po shton peshë) dhe ka një mungesë të moderuar të peshës për gjatësinë që ka. Kjo situatë mund të ketë ndodhur brenda disa javësh, prandaj merrni parasysh të zbuloni disa shkaqe të menjëhershme: sëmundje infektuese e kohëve të fundit ose diarre, ndonjë sëmundje tjetër kronike, dietë e pamjaftueshme dhe shumë e papërshtatshme, ndryshime në mjedisin e afërt, etj. Sigurohuni që të caktoni një ekzaminim me një pediatër për të zbuluar shkakun, për të korrigjuar humbjen e peshës dhe përcaktuar dinamikën e monitorimit të mëtejshëm të rritjes.</p>","<p>Vëmendje! Fëmija juaj po humb peshë (ose nuk po shton peshë) dhe ka një mungesë të moderuar të peshës për gjatësinë që ka. Kjo situatë mund të ketë ndodhur brenda disa javësh, prandaj merrni parasysh të zbuloni disa shkaqe të menjëhershme: sëmundje infektuese e kohëve të fundit ose diarre, ndonjë sëmundje tjetër kronike, dietë e pamjaftueshme dhe shumë e papërshtatshme, ndryshime në mjedisin e afërt, etj. Sigurohuni që të caktoni një ekzaminim me një pediatër për të zbuluar shkakun, për të korrigjuar humbjen e peshës dhe përcaktuar dinamikën e monitorimit të mëtejshëm të rritjes. Fëmija juaj ka nevojë për konsideratë të madhe për të pasur një dietë të përmirësuar.</p>",6446,5,46,,,,4751,"3401, 3341, 3346",0,1,,al-sq,draft
3231,"More about growth 7 - 9 months - above average length/height for age","<p>Your child has grown to a height well above the normal range for his age and gender. It is probably the result of his genetic potential, but still talk about it with the paediatrician. Continue to follow the adopted recommendations and monitor your child's growth at regular intervals.</p>","<p>Your child has grown to a height well above the normal range for his age and gender. It is probably the result of his genetic potential, but still talk about it with the paediatrician. Continue to follow the adopted recommendations and monitor your child's growth at regular intervals.</p>",6446,5,47,,,,,"3406, 3351, 3346",0,1,,al-sq,published
3341,"Ushqimi optimal gjatë 6 muajve të parë","<p>""Qumështi juaj është ushqimi dhe lëngu i vetëm për të cilin fëmija juaj ka nevojë në gjashtë muajt e parë të jetës. Organizata Botërore e Shëndetësisë dhe UNICEF-i rekomandojnë gjidhënien ekskluzive deri në muajin e 6-të dhe vazhdimin e gjidhënies deri në dy vjet me futjen e ushqimit adekuat dhe të sigurt nga muaji i 6-të""</p>","<p>Qumështi i gjirit është një lëng kompleks ushqyes që përmban yndyra, proteina, sheqerna, vitamina, minerale, antitrupa, enzima, ujë dhe shumë përbërës të tjerë saktësisht në raportin dhe sasinë e nevojshme për të siguruar rritjen optimale dhe zhvillimin e fëmijës. Qumështi i gjirit siguron antitrupa që u japin fëmijëve kudo një shtytje të shëndetshme dhe i mbrojnë ata nga shumë infeksione. Përfitimet e ushqyerjes me gji fillojnë në moshën më të hershme dhe zgjasin gjithë jetën.</p>

<p>Qumështi juaj është gjithmonë në dispozicion, i pastër në aspektin higjenik, në temperaturë të përshtatshme, pa pagesë. Ai është përshtatur posaçërisht për nevojat e fëmijës tuaj dhe ndryshon nga dita në ditë, nga muaji në muaj, nga gjidhënia në gjidhënie, për t'i përmbushur nevojat e fëmijës.</p>

<p>Duke e ushqyer me gji, ju inkurajoni zhvillimin psiko-motorik të foshnjës tuaj. Ju shpejtoni shërimin tuaj pas lindjes dhe zvogëloni rrezikun e disa sëmundjeve më vonë në jetë. Ushqyerja me gji është shumë më tepër sesa thjesht ushqim. Gjatë ushqyerjes me gji, vendoset një lidhje e fortë midis nënës dhe fëmijës dhe nevoja e fëmijës për dashuri, ngrohtësi dhe siguri plotësohet në mënyrë unike. </p>

<p>Rreziqet e qumështit plotësues të panevojshëm</p>

<p>Fëmijët në fillim kanë nevojë për një sasi shumë të vogël qumështi. Gjersa nevoja për sasinë e qumështit rritet, duke thithur shpesh fëmija e stimulon prodhimin e qumështit dhe siguron sasinë e qumështit që i nevojitet. Qumështi plotësues i panevojshëm mund të bëjë që fëmija të mos dëshirojë më të thithë për shkak të ndjenjës së ngopjes në stomak. Furnizimi me qumësht do të ulet, ose gjinjtë tuaj do të mbushen  dhe do të forcohen. Nëse qumështi plotësues përdoret për të qetësuar fëmijën, kjo mund të dëmtoj besimin tuaj se do të jeni në gjendje që me sukses të ushqeni me gji fëmijën tuaj. </p>

<p><strong>Si mund ta di nëse fëmija im po merr mjaftueshëm qumësht?</strong></p>

<p>Fëmija sigurisht që merr mjaftueshëm qumësht nëse:<br />
- është duke thithur të paktën 8-12 herë gjatë ditës;<br />
- është duke thithur ritmikisht me pauza të shkurtra, lëvizjet e mjekrës mund të shihen, gëlltitja mund të dëgjohet;<br />
- lag pelenat 6 ose më shumë herë në 24 orë me urinë të zbehtë dhe të holluar;<br />
- zakonisht ka 3-6 jashtëqitje në 24 orë;<br />
- ka shtuar peshë, mesatarisht 150-240 g në javë për 4 muajt e parë;<br />
- është aktiv në kohën ndërmjet gjidhënieve, i gjallë. </p>

<p><strong>Shtim në peshë</strong></p>

<p>Në ditët e para pas lindjes, është normale që një i porsalindur të humbasë peshë, mesatarisht 7% e peshës së vet të lindjes. Kur vendoset laktacioni dhe ushqyerja me gji fillon mirë, fëmija fillon të shtojë peshë, mesatarisht 25 deri në 30 gram në ditë. Fëmijët zakonisht e rifitojnë peshën e tyre të lindjes ndërmjet ditës së 10-të dhe të 15-të të jetës. Fëmijët që përparojnë mirë zakonisht fitojnë minimum 600 gram në muaj. Sigurisht, disa fëmijë përparojnë shumë më tepër; nëse fëmija thjesht po thith, nuk duhet të keni frikë se ai/ajo po shton shumë peshë. </p>

<p><strong>Ushqimi natyror i një fëmije të sëmurë</strong></p>

<p>Të gjithë të porsalindurit mund të ushqehen me qumësht gjiri. Përjashtimet janë çrregullime të lindura metabolike që janë shumë të rralla. Disa fëmijë, siç janë fëmijët e lindur para kohe ose fëmijët në ventilim mekanik, nuk mund të thithin. Fëmijët me çarje të qiellzës, defekte në zemër, çrregullime neurologjike ose gjenetike, siç është sindroma Down, mund të kenë vështirësi në thithje. Në këto situata, fëmija mund të ushqehet me qumësht gjiri, në një mënyrë që i përshtatet më së miri gjendjes së tij, derisa të jetë në gjendje të thithë. </p>

<p>Kontakti i afërt dhe gjidhënia e hershme dhe ekskluzive për 6 muajt e parë e ndihmon një fëmijë të lulëzojë. Qumështi i gjirit është ushqimi i parë më i mirë dhe më i shëndetshëm për fëmijën tuaj dhe është i mjaftueshëm për të mbështetur rritjen dhe zhvillimin e shëndetshëm të fëmijës suaj.</p>",2511,1,46,59,60,,"5371, 4941, 4936, 2681",,0,1,"<p><a href=""https://www.unicef.org/nutrition/files/Key_Message_Booklet_2012_small.pdf"">UNICEF The Community Infant and Young Child Feeding Key Message Booklet 2012.pdf</a></p>

<p>SZO: Uputstvo za sprovođenje: Zaštita, promocija i podrška dojenju u zdravstvenim ustanovama: Inicijativa „Porodilišta prijatelji dece"" -  2018. godina, prerađeno izdanje. <a href=""https://www.who.int/nutrition/publications/guidelines/breastfeeding-facilities-maternity-newborn/en/"">https://www.who.int/nutrition/publications/guidelines/breastfeeding-facilities-maternity-newborn/en/</a></p>

<p>World Health Organization (2007) Evidence on the long term effects of breastfeeding, Geneva: WHO.www.who.int/nutrition (Accessed September 2013)</p>",al-sq,draft
3346,"Rekomandime për aktivitetin fizik, kohën e qëndrimit para ekranit dhe gjumin për fëmijën në vitin e parë të jetës","<p>Jeta e shëndetshme dhe formimi i zakoneve të duhura kërkojnë një shpërndarje adekuate të aktiviteteve të përgjithshme ditore, të cilat mund të shihen si kohë e aktivitetit fizik (me intensitet të lehtë, mesatar ose të fuqishëm), gjumit dhe kohë që një fëmijë e kalon ulur (koha e kaluar ulur).</p>","<p>Baza e rritjes së shëndetshme, krahas ushqimit të duhur, është aktiviteti fizik dhe gjumi i mirë, së bashku me kujdesin e qëndrueshëm dhe një mjedis të sigurt mbështetës. Prandaj, është e rëndësishme të planifikoni aktivitetet e përditshme në përputhje me moshën dhe nevojat e fëmijës.</p>

<p><strong>Fëmijët nën 12 muajsh: </strong> </p>

<ul type=""disc"">
	<li>Foshnjat duhet të jenë fizikisht aktive disa herë në ditë në mënyra të ndryshme. Ata duhet të kalojnë <strong><em>të paktën 30 minuta</em></strong> në lojë interaktive në dysheme, ndërsa më të vegjlit në pozicionin e shtrirë në bark, </li>
	<li>Pozicioni i pushimit relativ: në karrocë fëmijësh, karrige të lartë, në mbajtëse fëmijësh ose në trupin tuaj nuk rekomandohet të zgjasë më shumë se 1 orë. Kjo kohë duhet të përdoret për stimulimin e aktiviteteve të tilla si të folurit, të kënduarit, të lexuarit para një fëmije, vizitimin e gjërave interesante së bashku.</li>
	<li>Në këtë periudhë nuk rekomandohet ekspozimi i fëmijëve para ekranit (televizion, tablet, telefon celular).</li>
	<li>Koha që fëmija kalon duke fjetur, ditën dhe natën, ndryshon me kalimin e kohës. Për moshën më të re nga 0 deri në 3 muajsh mund të zgjasë 14–17 orë, ndërsa në periudhën tjetër nga mosha 4 deri në 11 muajsh shkurtohet pak dhe zgjat 12–16 orë.</li>
</ul>",241,2,48,,,,,,0,1,"<p>WHO: Guidelines on Physcal activity, sedentary behaviour and sleep for children under 5 years of age, 2019</p>",al-sq,draft
3351,"Ushqimi optimal i foshnjave nga 7 deri në 9 muajsh","<p>Në moshën 7-9 muajsh, fëmija duhet të marrë një shumëllojshmëri ushqimesh çdo ditë. Është e rëndësishme të merrni ushqime të pasura me hekur dhe të shmangni disa ushqime deri në fund të vitit të parë.</p>","<p><strong>Numri i shujtave dhe sasia e ushqimit</strong></p>

<p>Edhe në këtë moshë, qumështi i gjirit mbetet ushqimi më i rëndësishëm për foshnjat dhe siguron gjysmën e energjisë së nevojshme. Vazhdoni të ushqeni me gji fëmijën tuaj sipas kërkesës, si ditën ashtu edhe natën. Ushqimet e ngurta nuk mund të zëvendësojnë qumështin gjatë vitit të parë të jetës. Nuk ka nevojë t'i jepni foshnjës formulë ose formula përcjellëse (të cilat janë qumësht i formuluar posaçërisht për fëmijë më të rritur nga mosha 6 muajsh), pasi qumështi i gjirit me një dietë të larmishme siguron të gjitha lëndët ushqyese për të cilat fëmija juaj ka nevojë. Mos harroni të ushqeni me gji së pari, para se të jepni ushqime të tjera.</p>

<p><strong>Kur i jepni ushqime plotësuese fëmijës suaj, janë gjashtë gjëra të rëndësishme që duhet bërë: </strong></p>

<ol start=""1"" type=""1"">
	<li><strong>Shpeshtësia:</strong> Ushqeni fëmijën tuaj me ushqime plotësuese 3 herë në ditë</li>
	<li><strong>Sasia:</strong> Filloni me 2-3 lugë gjelle në çdo shujtë në muajin e 6-të, duke u rritur gradualisht në gjysmë filxhani, në çdo shujtë</li>
	<li><strong>Trashësia:</strong> Jepni ushqime familjare të shtypura/pure. Në muajin e 8-të, fëmija juaj mund të fillojë të hajë ushqime të vogla</li>
	<li><strong>Shumëllojshmëria:</strong> Mundohuni ta ushqeni me një larmi ushqimesh në çdo shujtë. Për shembull: Ushqime me burim shtazor (mish, vezë dhe produkte qumështi), ushqim kryesor (drithëra, rrënjë dhe zhardhokë), bishtajore dhe fara si dhe fruta dhe perime të pasura me vitaminë A (karotë, spinaq) dhe fruta dhe perime të tjera (kungull i njomë).
	<ul type=""circle"">
		<li>Ushqimet me burim shtazor janë shumë të rëndësishme. Filloni me ushqime me burim shtazor sa më shpejt dhe sa më shpesh të jetë e mundur dhe jepini çdo ditë. Gatuani mirë dhe pritni mirë. Foshnjat mund të hanë vezë, mish dhe peshk të zier mirë dhe të prerë imët, edhe nëse nuk kanë dhëmbë.</li>
		<li>Ushqimet si pure dhe qullet duhet të përfshijnë një përzierje të drithërave, perimeve, fasuleve, perimeve rrënjë dhe mishit - mish viçi, peshk, shpezë, vezë, fruta, perime, nëse është e mundur. Mund të shtoni qumësht në këto qulle. Ushqimet e trasha janë më të pasura me energji dhe vitamina dhe do ta ushqejnë fëmijën tuaj më mirë se ushqimet me ujë (si supa). Foshnja ka nevoja të mëdha për energji dhe ushqim dhe një kapacitet të vogël të stomakut. Është e rëndësishme që ushqimi të ketë vlerë të madhe ushqyese për fëmijën në një sasi kaq të vogël.</li>
		<li>Messhujta shtesë (ushqim shtesë midis shujtave) të tilla si frutat mund të ofrohen një ose dy herë në ditë. </li>
		<li>Nëse fëmija juaj është ushqyer ekskluzivisht me gji, duhet të fillojë të pijë ujë me fillimin e një diete jo-qumështore. Nevojat për ujë varen nga mosha e fëmijës, numri i shujtave, sasia dhe lloji i ushqimit të ngurtë. Ofroni fëmijës tuaj ujë më shpesh, veçanërisht pas një shujte! Jepni ujë nga një filxhan. Në vitin e parë rekomandohet uji i zier dhe i ftohur.</li>
		<li>Ju lutemi kufizoni ose mos i jepni fëmijës suaj ushqime me sheqer (siç janë ëmbëlsirat apo biskotat), messhujta të skuqura, lëng, çaj ose pije të gazuara. Shmangni dhënien e pijeve me sheqer.</li>
		<li>Nëse për fëmijën tuaj përgatisni ushqim që ka vaj ose yndyrë, përdorni jo më shumë se gjysmë lugë çaji në ditë.</li>
		<li>Çdo javë mund të shtoni një ushqim të ri në dietën e fëmijës suaj.</li>
		<li>Përdorni kripë të jodizuar</li>
	</ul>
	</li>
	<li><strong>Të ushqyerit e përgjegjshëm:</strong> Jini të durueshëm dhe inkurajoni në mënyrë aktive fëmijën tuaj të hajë. Mos e detyroni fëmijën të hajë. Përdorni një pjatë të veçantë për t'u siguruar që fëmija i vogël ha të gjithë ushqimin e dhënë.
	<ul type=""circle"">
		<li>Vëzhgoni fëmijën tuaj dhe reagoni ndaj sinjaleve të tij/saj. Ushqeni fëmijën ngadalë dhe me durim, duke ndjekur ritmin e tij/saj. Provoni kombinime të ndryshme të ushqimeve, aromave dhe formave për të inkurajuar fëmijën tuaj të hajë shujtën e vet. Prisni që fëmija të ndalojë së ngrëni përpara se t'ia ofroni përsëri.</li>
		<li>Ndaloni së ushqyeri fëmijën kur tregon se ka ngrënë mjaftueshëm.</li>
		<li>Teksa rritet, fëmija gradualisht zhvillon aftësitë e nevojshme për pavarësi në të ushqyer (marrja e copave të ushqimit dhe futja e tyre në gojë, zgjedhja e ushqimit, përdorimi i takëmit).</li>
		<li>Vendosni rutinat e parashikueshme për shujtat dhe messhujtat. Kufizoni kohën e ngrënies në 15-20 minuta. Ushqeni fëmijën vetëm në një karrige të lartë në tryezë.</li>
	</ul>
	</li>
	<li><strong>Higjiena:</strong> Higjiena e mirë (pastërtia) është e rëndësishme për të shmangur diarrenë dhe sëmundjet e tjera. Përdorni një lugë ose filxhan të pastër për t’i dhënë fëmijës suaj ushqime ose lëngje. Ruani ushqimet që do t’i jepen fëmijës suaj në një vend të sigurt higjienik. Pastroni duart me sapun dhe ujë para se të përgatisni ushqime dhe të ushqeni fëmijën. Pastroni duart tuaja dhe duart e fëmijës suaj para se të hajë. Pastroni duart me sapun dhe ujë pasi të përdorni tualetin dhe pasi të lani ose pastroni pjesën e poshtme të fëmijës.</li>
</ol>

<p><strong>Ushqimet që duhen shmangur në vitin e parë të jetës</strong></p>

<ul type=""disc"">
	<li>Mos i jepni mjaltë një fëmije në vitin e parë të jetës      </li>
	<li>Qumështi i lopës (si dhe i dhisë, i deleve) nuk rekomandohet në vitin e parë të jetës, sepse përbërja e tij nuk plotëson nevojat e foshnjave dhe mund të kontribuojë në zhvillimin e anemisë. Një sasi e vogël e qumështit të lopës mund të përdoret për të përgatitur qull.         </li>
	<li>Shmangni agrumet (limon, portokall, mandarinë) në vitin e parë.         </li>
	<li>Mos shtoni kripë ose erëza në ushqimin e fëmijës.         </li>
	<li>Gjithmonë kujdesuni për sigurinë e fëmijës: mos i jepni foshnjës kikirikë, kokoshka, fruta të vogla ose rrush të plotë, copa ushqimi të fortë që mund ta mbysin.         </li>
</ul>

<p><strong>Mënyra se si ushqehet një fëmijë </strong></p>

<p>Është e rëndësishme që fëmija të ushqehet me shumëllojshmëri ushqimesh në çdo shujtë. Kjo do të përfshinte fillimin me qull të trashë, dhe gradualisht shtimin e një lloji të puresë të perimeve (kungull, karotë, lulelakër, lakër e bardhë, lakër Brukseli) në qull ose shtimin e puresë së frutave (mollë, banane, dardha, pjeshka). Pas kësaj mund të kaloni në mishin e shtypur/pure (mish viçi me pak yndyrë, mish qengji, mish kali, mish derri, mish pule, gjel deti) ose fasule me perime. Fëmija juaj mund t'i pëlqejë disa artikuj ushqimorë më shumë se të tjerët, andaj inkurajoni fëmijën tuaj të provojë ushqime të ndryshme.</p>

<ul type=""disc"">
	<li>Mos i kufizoni ushqimet për fëmijën tuaj, pasi fëmija juaj ka nevojë për një shumëllojshmëri ushqimesh (d.m.th. proteina, fruta dhe perime, pak yndyrë (d.m.th. vaj perimesh) dhe drithëra në dietë)</li>
	<li>Nëse fëmija juaj zhvillon alergji ndaj një ushqimi, mund të hiqni atë artikull ushqimor.</li>
	<li>Nëse keni një histori familjare të alergjisë, në këtë rast, mund të futni gradualisht në përdorim një ushqim/ditë për një javë deri në një periudhë 10-ditore.</li>
</ul>

<p> </p>",516,1,47,59,60,,"4946, 5371, 4941, 4936",,0,1,"<p>Guiding principles for complemantary feeding of breastfed child (2004) <a href=""https://www.who.int/nutrition/publications/infantfeeding/a85622/en/"">https://www.who.int/nutrition/publications/infantfeeding/a85622/en/</a></p>

<p> </p>

<p>Black MM, Aboud FE. Responsive feeding is embedded in a theoretical framework of responsive parenting. <em>J Nutr</em>. 2011;141:490–4. doi: 10.3945/jn.110.129973 <a href=""http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3040905/"">http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3040905/</a> (open access)</p>

<p><a href=""https://www.unicef.org/nutrition/files/Key_Message_Booklet_2012_small.pdf"">UNICEF The Community Infant and Young Child Feeding Key Message Booklet 2012.pdf</a></p>",al-sq,draft
