ID,ID_C,Title,Body,Moderation_state
3026,23001,Повече за растежа през първите 6 месеца - нормално тегло за дължина/ръст,"Браво! Детето ви расте добре и теглото му съответства на неговия ръст. Продължавайте да следвате препоръките за оптимално хранене, физическа активност и сън. Следете растежа на детето си.",archive
3031,23002,Повече за растежа 7–9 месеца – нормално тегло за дължина/ръст,"Браво! Детето ви расте добре и теглото му съответства на неговия ръст. Продължавайте да следвате препоръките за оптимално хранене, физическа активност и сън. Следете растежа на детето си.",archive
3036,23003,Повече за растежа 10–12 месеца – нормално тегло за дължина/ръст,"Браво! Детето ви расте добре и теглото му съответства на неговия ръст. Продължавайте да следвате препоръките за оптимално хранене, физическа активност и сън. Следете растежа на детето си.",archive
3041,23004,Повече за растежа 13–24 месеца – нормално тегло за дължина/ръст,"Браво! Детето ви расте добре и теглото му съответства на неговия ръст. Продължавайте да следвате препоръките за оптимално хранене, физическа активност и сън. Следете растежа на детето си.",archive
3046,23005,Повече за растежа 25–60 месеца – нормално тегло за ръст,"Браво! Детето ви расте добре и теглото му съответства на неговия ръст. Продължавайте да следвате препоръките за оптимално хранене, физическа активност и сън. Следете растежа на детето си.",archive
3051,23006,Повече за растежа през първите 6 месеца – леко недохранване,"Внимание! Детето ви губи телесна маса (или не наддава) и теглото му е в умерена степен под нормата за ръста му. Тази загуба на тегло може да е протекла в рамките на няколко седмици, следователно трябва да  помислите на какво се дължи тя: скорошно инфекциозно заболяване или диария, някакви други хронични заболявания, недостатъчно храна и неподходящ хранителен режим, промени в непосредствената заобикаляща среда и т.н. Непременно запишете час за преглед при педиатър, за да откриете причината, да коригирате загубата  на тегло и да определите честотата на по-нататъшното проследяване на растежа. Необходимо е сериозно да помислите за подобряване на хранителния режим на детето. ",archive
3056,23007,Повече за растежа 7–9 месеца – леко недохранване,"Внимание! Детето ви губи телесна маса (или не наддава) и теглото му е в умерена степен под нормата за ръста му. Тази загуба на тегло може да е протекла в рамките на няколко седмици, следователно трябва да  помислите на какво се дължи тя: скорошно инфекциозно заболяване или диария, някакви други хронични заболявания, недостатъчно храна и неподходящ хранителен режим, промени в непосредствената заобикаляща среда и т.н. Непременно запишете час за преглед при педиатър, за да откриете причината, да коригирате загубата  на тегло и да определите честотата на по-нататъшното проследяване на растежа. Необходимо е сериозно да помислите за подобряване на хранителния режим на детето. ",archive
3061,23008,Повече за растежа 10–12 месеца – леко недохранване,"Внимание! Детето ви губи телесна маса (или не наддава) и теглото му е в умерена степен под нормата за ръста му. Тази загуба на тегло може да е протекла в рамките на няколко седмици, следователно трябва да  помислите на какво се дължи тя: скорошно инфекциозно заболяване или диария, някакви други хронични заболявания, недостатъчно храна и неподходящ хранителен режим, промени в непосредствената заобикаляща среда и т.н. Непременно запишете час за преглед при педиатър, за да откриете причината, да коригирате загубата  на тегло и да определите честотата на по-нататъшното проследяване на растежа. Необходимо е сериозно да помислите за подобряване на хранителния режим на детето. ",archive
3066,23009,Повече за растежа 13–24 месеца – леко недохранване,"Внимание! Детето ви губи телесна маса (или не наддава) и теглото му е в умерена степен под нормата за ръста му. Тази загуба на тегло може да е протекла в рамките на няколко седмици, следователно трябва да  помислите на какво се дължи тя: скорошно инфекциозно заболяване или диария, някакви други хронични заболявания, недостатъчно храна и неподходящ хранителен режим, промени в непосредствената заобикаляща среда и т.н. Непременно запишете час за преглед при педиатър, за да откриете причината, да коригирате загубата  на тегло и да определите честотата на по-нататъшното проследяване на растежа. Необходимо е сериозно да помислите за подобряване на хранителния режим на детето. ",archive
3071,23010,Повече за растежа 25–60 месеца – леко недохранване,"Внимание! Детето ви губи телесна маса (или не наддава) и теглото му е в умерена степен под нормата за ръста му. Тази загуба на тегло може да е протекла в рамките на няколко седмици, следователно трябва да  помислите на какво се дължи тя: скорошно инфекциозно заболяване или диария, някакви други хронични заболявания, недостатъчно храна и неподходящ хранителен режим, промени в непосредствената заобикаляща среда и т.н. Непременно запишете час за преглед при педиатър, за да откриете причината, да коригирате загубата  на тегло и да определите честотата на по-нататъшното проследяване на растежа. Необходимо е сериозно да помислите за подобряване на хранителния режим на детето. ",archive
3076,23011,Повече за растежа през първите 6 месеца - тежко недохранване,"Внимание! Детето ви има сериозна липса на телесна маса за неговия ръст. Тази загуба на тегло може да е протекла в рамките на няколко седмици, следователно трябва да помислите на какво се дължи тя, като причините могат да бъдат: скорошно боледуване, метаболитни и хронични заболявания, недостатъчно храна и неподходящ хранителен режим, промени в непосредствената заобикаляща среда и т.н. Незабавно запишете час за преглед при педиатър, за да откриете причината и да определите как да коригирате загубата на тегло. ",archive
3081,23012,Повече за растежа 7 - 9 месеца - тежко недохранване,"Внимание! Детето ви има сериозна липса на телесна маса за неговия ръст. Тази загуба на тегло може да е протекла в рамките на няколко седмици, следователно трябва да помислите на какво се дължи тя, като причините могат да бъдат: скорошно боледуване, метаболитни и хронични заболявания, недостатъчно храна и неподходящ хранителен режим, промени в непосредствената заобикаляща среда и т.н. Незабавно запишете час за преглед при педиатър, за да откриете причината и да определите как да коригирате загубата на тегло. ",archive
3086,23013,Повече за растежа 10 -12 месеца - тежко недохранване,"Внимание! Детето ви има сериозна липса на телесна маса за неговия ръст. Тази загуба на тегло може да е протекла в рамките на няколко седмици, следователно трябва да помислите на какво се дължи тя, като причините могат да бъдат: скорошно боледуване, метаболитни и хронични заболявания, недостатъчно храна и неподходящ хранителен режим, промени в непосредствената заобикаляща среда и т.н. Незабавно запишете час за преглед при педиатър, за да откриете причината и да определите как да коригирате загубата на тегло. ",archive
3091,23014,Повече за растежа 13 - 24 месеца - тежко недохранване,"Внимание! Детето ви има сериозна липса на телесна маса за неговия ръст. Тази загуба на тегло може да е протекла в рамките на няколко седмици, следователно трябва да помислите на какво се дължи тя, като причините могат да бъдат: скорошно боледуване, метаболитни и хронични заболявания, недостатъчно храна и неподходящ хранителен режим, промени в непосредствената заобикаляща среда и т.н. Незабавно запишете час за преглед при педиатър, за да откриете причината и да определите как да коригирате загубата на тегло. ",archive
3096,23015,Повече за растежа 25 - 60 месеца - тежко недохранване,"Внимание! Детето ви има сериозен недостиг на телесна маса за неговия ръст. Тази загуба на тегло може да е протекла в рамките на няколко седмици, следователно трябва да помислите на какво се дължи тя, като причините могат да бъдат: скорошно боледуване, метаболитни и хронични заболявания, недостатъчно храна и неподходящ хранителен режим, промени в непосредствената заобикаляща среда и т.н. Незабавно запишете час за преглед при педиатър, за да откриете причината и да определите как да коригирате загубата на тегло. ",archive
3101,23016,Повече за растежа през първите 6 месеца - наднормено тегло,"Внимание! Вашето дете е със сравнително наднормено тегло за височината си. Това състоянието може да застраши здравето му, затова е хубаво да помислите на какво се дължи то: повишен прием на високоенергийни храни (захари и мазнини), нездравословно хранене, намалена физическа активност, увеличено време пред екран или промени в непосредствената заобикаляща среда и т.н. Непременно запишете час за преглед при педиатър, за да получите допълнителни препоръки и за да определите честотата на по-нататъшното проследяване на растежа на детето.",archive
3106,23017,Повече за растежа 7 - 9 месеца - наднормено тегло,"Внимание! Вашето дете е със сравнително наднормено тегло за височината си. Това състоянието може да застраши здравето му, затова е хубаво да помислите на какво се дължи то: повишен прием на високоенергийни храни (захари и мазнини), нездравословно хранене, намалена физическа активност, увеличено време пред екран или промени в непосредствената заобикаляща среда и т.н. Непременно запишете час за преглед при педиатър, за да получите допълнителни препоръки и за да определите честотата на по-нататъшното проследяване на растежа на детето.",archive
3111,23018,Повече за растежа 10-12 месеца - наднормено тегло,"Внимание! Вашето дете е със сравнително наднормено тегло за височината си. Това състоянието може да застраши здравето му, затова е хубаво да помислите на какво се дължи то: повишен прием на високоенергийни храни (захари и мазнини), нездравословно хранене, намалена физическа активност, увеличено време пред екран или промени в непосредствената заобикаляща среда и т.н. Непременно запишете час за преглед при педиатър, за да получите допълнителни препоръки и за да определите честотата на по-нататъшното проследяване на растежа на детето.",archive
3116,23019,Повече за растежа 13 -24 месеца - наднормено тегло,"Внимание! Вашето дете е със сравнително наднормено тегло за височината си. Това състоянието може да застраши здравето му, затова е хубаво да помислите на какво се дължи то: повишен прием на високоенергийни храни (захари и мазнини), нездравословно хранене, намалена физическа активност, увеличено време пред екран или промени в непосредствената заобикаляща среда и т.н. Непременно запишете час за преглед при педиатър, за да получите допълнителни препоръки и за да определите честотата на по-нататъшното проследяване на растежа на детето.",archive
3121,23020,Повече за растежа 25 - 60 месеца - наднормено тегло,"Внимание! Вашето дете е със сравнително наднормено тегло за височината си. Това състоянието може да застраши здравето му, затова е хубаво да помислите на какво се дължи то: повишен прием на високоенергийни храни (захари и мазнини), нездравословно хранене, намалена физическа активност, увеличено време пред екран или промени в непосредствената заобикаляща среда и т.н. Непременно запишете час за преглед при педиатър, за да получите допълнителни препоръки и за да определите честотата на по-нататъшното проследяване на растежа на детето.",archive
3126,23021,Повече за растежа през първите 6 месеца – затлъстяване,"Рискът от затлъстяване на бебе на възраст 0–6 месецa, което е изключително и само кърмено, е от ""никакъв"" до ""минимален"". Доказано и научно потвърдено е, че кърменето, особено продължителното – поне 12 месеца, предпазва детето от затлъстяване по-късно в детството и в зряла възраст. За бебета на изкуствено хранене (хранени само с мляко за кърмачета) винаги съществува опасност от наднормено тегло. За бебета с наднормено тегло или затлъстяване, лекарският съвет може да бъде полезен. Никога не спирайте напълно храненето на бебето в опит да предизвикате загуба на тегло. За да растат и за да се развиват както трябва, бебетата се нуждаят от правилно хранене и единствено и само от кърмене през първите 6 месеца от живота. За бебета, хранени с мляко за кърмачета (адаптирано мляко), не забравяйте да следвате инструкциите за правилна подготовка на поредната порция (точното количество вода и прах) и да следвате инструкциите за броя на храненията и количеството мляко на ден.",archive
3131,23022,Повече за растежа 7–9 месеца – затлъстяване,"Спешно обърнете внимание! Детето ви е със затлъстяване, т.е. има прекомерно високо тегло за неговата дължина. Това тегло може сериозно да застраши здравето му. Излишнaта телесна маса най-често се появява в резултат на преяждане и/или недостатъчна физическа активност. За това могат да допринесат промени в средата и начина на отглеждане на детето, както и възможни генетични нарушения. Не забравяйте да планирате посещение при педиатър за преглед и допълнителна диагностика, както и за определяне на динамиката на по-нататъшно проследяване на растежа!

 ",archive
3136,23023,Повече за растежа 10–12 месеца – затлъстяване,"Спешно обърнете внимание! Вашето дете е със затлъстяване, т.е. има сериозно наднормено тегло за съответния ръст. Излишното тегло най-често се появява в резултат на преяждане и/или недостатъчна физическа активност. Промените в средата и начина на обгрижване на детето могат да допринесат за това. Това тегло може сериозно да застраши здравето на вашето дете. Не забравяйте да планирате посещение при педиатър за преглед и допълнителна диагностика, както и за определяне на динамиката на по-нататъшното проследяване на растежа!",archive
3141,23024,Повече за растежа 13–24 месеца – затлъстяване,"Спешно обърнете внимание! Детето ви е със затлъстяване, т.е. има прекомерно натрупване на мастна тъкан за съответната дължина/ръст. Това състояние може да представлява голяма опасност за здравето му, следователно трябва да помислите на какво се дължи: повишен прием на високоенергийни храни (захари и мазнини), нездравословно хранене, намалена физическа активност, увеличено време пред екран или промени в непосредствената заобикаляща среда и т.н. Непременно запишете час за преглед при педиатър, за да откриете причината и да определите честотата на по-нататъшното проследяване на растежа на детето.",archive
3146,23025,Повече за растежа 25–60 месеца – затлъстяване,"Спешно обърнете внимание! Детето ви е със затлъстяване, т.е. има прекомерно натрупване на мастна тъкан за съответния ръст. Това състояние може да представлява голяма опасност за здравето му, следователно трябва да помислите на какво се дължи: повишен прием на високоенергийни храни (захари и мазнини), нездравословно хранене, намалена физическа активност, увеличено време пред екран или промени в непосредствената заобикаляща среда и т.н. Непременно запишете час за преглед при педиатър, за да откриете причината и да определите честотата на по-нататъшното проследяване на растежа на детето.",archive
3151,23026,Повече за растежа през първите 6 месеца - нормален растеж за възрастта,"Браво! Детето ви е с нормални темпове на растеж или дължината му е малко над очакваната за възрастта и пола. Продължавайте да следвате препоръките за здравословно хранене, добра физическа активност, правилен режим на сън и наблюдавайте темповете му на растеж.",archive
3156,23027,Повече за растежа 7 - 9 месеца - нормален растеж за възрастта,"Браво! Детето ви е с нормални темпове на растеж или дължината му е малко над очакваната за възрастта и пола. Продължавайте да следвате препоръките за здравословно хранене, добра физическа активност, правилен режим на сън и наблюдавайте темповете му на растеж.",archive
3161,23028,Повече за растежа 10 - 12 месеца - нормален растеж за възрастта,"Браво! Детето ви е с нормални темпове на растеж или дължината му е малко над очакваната за възрастта и пола. Продължавайте да следвате препоръките за здравословно хранене, добра физическа активност, правилен режим на сън и наблюдавайте темповете му на растеж.",archive
3166,23029,Повече за растежа 13 - 24 месеца - нормален растеж за възрастта,"Браво! Детето ви е с нормални темпове на растеж или дължината му е малко над очакваната за възрастта и пола. Продължавайте да следвате препоръките за здравословно хранене, добра физическа активност, правилен режим на сън и наблюдавайте темповете му на растеж.",archive
3171,23030,Повече за растежа 25 - 72 месеца - нормален растеж за възрастта,"Браво! Детето ви е с нормални темпове на растеж или височината му е малко над очакваната за възрастта и пола. Продължавайте да следвате препоръките за здравословно хранене, добра физическа активност, правилен режим на сън и наблюдавайте темповете му на растеж.",archive
3176,23031,Повече за растежа през първите 6 месеца – умерено забавяне на растежа,"Внимание! Детето ви изостава в растежа и дължината му не съответства на възрастта и пола. Помислете добре за възможните дългосрочни фактори, които може да са оказали влияние върху темповете на растеж: хронично недохранване, хронично заболяване, ендокринни разстройства и т.н. Незабавно запишете час за преглед при педиатър, за да получите допълнителни препоръки и за да определите честотата на по-нататъшното проследяване на детето.",archive
3181,23032,Повече за растежа 7–9 месеца – умерено забавяне на растежа,"Внимание! Детето ви изостава в растежа и дължината му не съответства на възрастта и пола. Помислете добре за възможните дългосрочни фактори, които може да са оказали влияние върху темповете на растеж: хронично недохранване, хронично заболяване, ендокринни разстройства и т.н. Незабавно запишете час за преглед при педиатър, за да получите допълнителни препоръки и за да определите честотата на по-нататъшното проследяване на детето.",archive
3186,23033,Повече за растежа 10–12 месеца – умерено забавяне на растежа,"Внимание! Детето ви изостава в растежа и дължината му не съответства на възрастта и пола. Помислете добре за възможните дългосрочни фактори, които може да са оказали влияние върху темповете на растеж: хронично недохранване, хронично заболяване, ендокринни разстройства и т.н. Незабавно запишете час за преглед при педиатър, за да получите допълнителни препоръки и за да определите честотата на по-нататъшното проследяване на детето.",archive
3191,23034,Повече за растежа 13–24 месеца – умерено забавяне на растежа,"Внимание! Детето ви изостава в растежа и дължината му не съответства на възрастта и пола. Помислете добре за възможните дългосрочни фактори, които може да са оказали влияние върху темповете на растеж: хронично недохранване, хронично заболяване, ендокринни разстройства и т.н. Незабавно запишете час за преглед при педиатър, за да получите допълнителни препоръки и за да определите честотата на по-нататъшното проследяване на детето.",archive
3196,23035,Повече за растежа 25–60 месеца – умерено забавяне на растежа,"Внимание! Детето ви изостава в растежа и ръстът му не съответства на възрастта и пола. Помислете добре за възможните дългосрочни фактори, които може да са оказали влияние върху темповете на растеж: хронично недохранване, хронично заболяване, ендокринни разстройства и т.н. Незабавно запишете час за преглед при педиатър, за да получите допълнителни препоръки и за да определите честотата на по-нататъшното проследяване на детето.",archive
3201,23036,Повече за растежа през първите 6 месеца – силно забавяне на растежа,"Спешно! Вашето дете е със силно забавен растеж, т.е.недостатъчно израства на дължина. Непременно запишете час за преглед при педиатър, за да получите допълнителни препоръки и за да определите честотата на по-нататъшното проследяване на растежа!",archive
3206,23037,Повече за растежа 7 – 9 месеца – силно забавяне на растежа,"Спешно! Вашето дете е със силно забавен растеж – т.е.недостатъчно израства на дължина. Непремeнно запишете час за преглед при педиатър, за да получите допълнителни препоръки и за да определите честотата на по-нататъшното проследяване на растежа!",archive
3211,23038,Повече за растежа 10–12 месеца – силно забавяне на растежа,"Спешно! Вашето дете е със силно забавен растеж, т.е.недостатъчно израства на дължина. Непременно запишете час за преглед при педиатър, за да получите допълнителни препоръки и за да определите честотата на по-нататъшното проследяване на растежа!",archive
3216,23039,Повече за растежа 13–24 месеца – силно забавяне на растежа,"Спешно! Вашето дете е със силно забавен растеж, т.е. недостатъчно израства на дължина. Непременно запишете час за преглед при педиатър, за да получите допълнителни препоръки и за да определите честотата на по-нататъшното проследяване на растежа!",archive
3221,23040,Повече за растежа 25–60 месеца – силно забавяне на растежа,"Спешно! Вашето дете е със силно забавен растеж, т.е. недостатъчно израства на височина. Непременно запишете час за преглед при педиатър, за да получите допълнителни препоръки и за да определите честотата на по-нататъшното проследяване на растежа!",archive
3226,23041,Повече за растежа през първите 6 месеца - над средната дължина,"Детето ви расте бързо и дължината му е над средната стойност за неговата възраст и пол. Това най- вероятно е резултат от генетичния му потенциал, но запишете час за преглед при педиатър. Продължавайте да следвате приетите препоръки и наблюдавайте растежа на детето си.",archive
