ID,Title,Summary,Body,Cover_image,Category,Child_age,Child_gender,Parent_gender,Season,Keywords,Related_articles,Australian_article,Mandatory_content,References_and_comments,Translation_language,Moderation_state
3026,"Më shumë rreth rritjes në 6 muajt e parë - pesha e duhur në raport me gjatësinë","<p>Bravo! Fëmija juaj po rritet mirë dhe pesha e tij/saj është në përputhje me gjatësinë e tij/saj. Vazhdoni të ndiqni rekomandimet për të ushqyerit optimal, aktivitetin fizik dhe gjumin. Shikoni me kujdes ritmin e rritjes së fëmijës suaj.</p>","<p>Bravo! Fëmija juaj po rritet mirë dhe pesha e tij/saj është në përputhje me gjatësinë e tij/saj. Vazhdoni të ndiqni rekomandimet për të ushqyerit optimal, aktivitetin fizik dhe gjumin. Shikoni me kujdes ritmin e rritjes së fëmijës suaj.</p>",6446,5,46,,,,4751,"3401, 3341, 3346, 3416",0,1,,xk-sq,draft
3031,"Më shumë rreth rritjes 7-9 muaj - pesha e duhur në raport me gjatësinë","<p>Bravo! Fëmija juaj po rritet mirë dhe pesha e tij/saj është në përputhje me gjatësinë e tij/saj. Vazhdoni të ndiqni rekomandimet për të ushqyerit optimal, aktivitetin fizik dhe gjumin. Shikoni me kujdes rritjen dhe zhvillimin e fëmijës suaj.</p>","<p>Bravo! Fëmija juaj po rritet mirë dhe pesha e tij/saj është në përputhje me gjatësinë e tij/saj. Vazhdoni të ndiqni rekomandimet për të ushqyerit optimal, aktivitetin fizik dhe gjumin. Shikoni me kujdes rritjen dhe zhvillimin e fëmijës suaj.</p>",6446,5,47,,,,4751,"3406, 3351, 3346, 3416",0,1,,xk-sq,draft
3036,"Më shumë rreth rritjes 10-12 muaj - pesha e duhur në raport me gjatësinë gjatësinë","<p>Bravo! Fëmija juaj po rritet mirë dhe pesha e tij/saj është në përputhje me gjatësinë e tij/saj. Vazhdoni të ndiqni rekomandimet për të ushqyerit optimal, aktivitetin fizik dhe gjumin. Shikoni me kujdes rritjen dhe zhvillimin e fëmijës suaj.</p>","<p>Bravo! Fëmija juaj po rritet mirë dhe pesha e tij/saj është në përputhje me gjatësinë e tij/saj. Vazhdoni të ndiqni rekomandimet për të ushqyerit optimal, aktivitetin fizik dhe gjumin. Shikoni me kujdes rritjen dhe zhvillimin e fëmijës suaj.</p>",6446,5,48,,,,4751,"3411, 3356, 3346, 3416",0,1,,xk-sq,draft
3041,"Më shumë rreth rritjes 13-24 muaj - pesha e duhur në raport me gjatësinë","<p>Bravo! Fëmija juaj po rritet mirë dhe pesha e tij/saj është në përputhje me gjatësinë e tij/saj. Vazhdoni të ndiqni rekomandimet për të ushqyerit optimal, aktivitetin fizik dhe gjumin. Shikoni me kujdes rritjen dhe zhvillimin e fëmijës suaj.</p>","<p>Bravo! Fëmija juaj po rritet mirë dhe pesha e tij/saj është në përputhje me gjatësinë e tij/saj. Vazhdoni të ndiqni rekomandimet për të ushqyerit optimal, aktivitetin fizik dhe gjumin. Shikoni me kujdes rritjen dhe zhvillimin e fëmijës suaj.</p>",6446,5,50,,,,4751,"3391, 3386, 3361, 3416",0,1,,xk-sq,draft
3046,"Më shumë rreth rritjes 25-60 muaj - pesha e duhur në raport me gjatësinë","<p>Bravo! Fëmija juaj po rritet mirë dhe pesha e tij/saj është në përputhje me gjatësinë e tij/saj. Vazhdoni të ndiqni rekomandimet për të ushqyerit optimal, aktivitetin fizik dhe gjumin. Shikoni me kujdes rritjen dhe zhvillimin e fëmijës suaj.</p>","<p>Bravo! Fëmija juaj po rritet mirë dhe pesha e tij/saj është në përputhje me gjatësinë e tij/saj. Vazhdoni të ndiqni rekomandimet për të ushqyerit optimal, aktivitetin fizik dhe gjumin. Shikoni me kujdes rritjen dhe zhvillimin e fëmijës suaj.</p>",6446,5,58,,,,4751,"3396, 5891, 3366, 3416",0,1,,xk-sq,draft
3051,"Më shumë rreth rritjes në 6 muajt e parë - kequshqyerja e butë","<p>Vëmendje! Fëmija juaj po humb peshë (ose nuk po shton peshë) dhe ka një mungesë të moderuar të peshës për gjatësinë që ka. Kjo situatë mund të ketë ndodhur brenda disa javësh, prandaj merrni parasysh të zbuloni disa shkaqe të menjëhershme: sëmundje infektuese e kohëve të fundit ose diarre, ndonjë sëmundje tjetër kronike, dietë e pamjaftueshme dhe shumë e papërshtatshme, ndryshime në mjedisin e afërt, etj. Sigurohuni që të caktoni një ekzaminim me një pediatër për të zbuluar shkakun, për të korrigjuar humbjen e peshës dhe përcaktuar dinamikën e monitorimit të mëtejshëm të rritjes.</p>","<p>Vëmendje! Fëmija juaj po humb peshë (ose nuk po shton peshë) dhe ka një mungesë të moderuar të peshës për gjatësinë që ka. Kjo situatë mund të ketë ndodhur brenda disa javësh, prandaj merrni parasysh të zbuloni disa shkaqe të menjëhershme: sëmundje infektuese e kohëve të fundit ose diarre, ndonjë sëmundje tjetër kronike, dietë e pamjaftueshme dhe shumë e papërshtatshme, ndryshime në mjedisin e afërt, etj. Sigurohuni që të caktoni një ekzaminim me një pediatër për të zbuluar shkakun, për të korrigjuar humbjen e peshës dhe përcaktuar dinamikën e monitorimit të mëtejshëm të rritjes. Fëmija juaj ka nevojë për konsideratë të madhe për të pasur një dietë të përmirësuar.</p>",6446,5,46,,,,4751,"3401, 3341, 3346",0,1,,xk-sq,draft
3056,"Më shumë rreth rritjes 7-9 muaj- kequshqyerje në nivel të moderuar","<p>Vëmendje! Fëmija juaj po humb peshë (ose nuk po shton peshë), dhe pesha e tij/saj është në nivel më të moderuar në krahasim me gjatësinë. Kjo situatë mund të ketë ndodhur gjatë javëve të fundit, prandaj mbani parasysh që të eksploroni shkaqet që mund të kenë ndikuar: sëmundjet infektive ose diarre, ndonjë sëmundje tjetër kronike, një dietë e varfër dhe e çekuilibruar, ndryshime në mjedisin e tyre etj. Sigurohuni që të caktoni një takim me një pediatër për të zbuluar shkakun, dhe për të korrigjuar humbjen ose për të përcaktuar monitorimin e mëtejshëm të rritjes.</p>","<p>Vëmendje! Fëmija juaj po humb peshë (ose nuk po shton peshë), dhe pesha e tij/saj është në nivel më të moderuar në krahasim me gjatësinë. Kjo situatë mund të ketë ndodhur gjatë javëve të fundit, prandaj mbani parasysh që të eksploroni shkaqet që mund të kenë ndikuar: sëmundjet infektive ose diarre, ndonjë sëmundje tjetër kronike, një dietë e varfër dhe e çekuilibruar, ndryshime në mjedisin e tyre etj. Sigurohuni që të caktoni një takim me një pediatër për të zbuluar shkakun, dhe për të korrigjuar humbjen ose për të përcaktuar monitorimin e mëtejshëm të rritjes. Fëmija juaj ka nevojë për vëmendje të lartë, në mënyrë që dieta e tij/saj të përmirësohet.</p>",6446,5,47,,,,4751,"3406, 3351, 3346",0,1,,xk-sq,draft
3061,"Më shumë rreth rritjes 10-12 muaj - kequshqyerje në nivel të moderuar","<p>Vëmendje! Fëmija juaj po humb peshë (ose nuk po shton peshë), dhe pesha e tij/saj është në nivel më të moderuar në krahasim me gjatësinë. Kjo situatë mund të ketë ndodhur gjatë javëve të fundit, prandaj mbani parasysh që të eksploroni shkaqet që mund të kenë ndikuar: sëmundjet infektive ose diarre, ndonjë sëmundje tjetër kronike, një dietë e varfër dhe e çekuilibruar, ndryshime në mjedisin e tyre etj. Sigurohuni që të caktoni një takim me një pediatër për të zbuluar shkakun, dhe për të korrigjuar humbjen ose për të përcaktuar monitorimin e mëtejshëm të rritjes.</p>","<p>Vëmendje! Fëmija juaj po humb peshë (ose nuk po shton peshë), dhe pesha e tij/saj është në nivel më të moderuar në krahasim me gjatësinë. Kjo situatë mund të ketë ndodhur gjatë javëve të fundit, prandaj mbani parasysh që të eksploroni shkaqet që mund të kenë ndikuar: sëmundjet infektive ose diarre, ndonjë sëmundje tjetër kronike, një dietë e varfër dhe e çekuilibruar, ndryshime në mjedisin e tyre etj. Sigurohuni që të caktoni një takim me një pediatër për të zbuluar shkakun, dhe për të korrigjuar humbjen ose për të përcaktuar monitorimin e mëtejshëm të rritjes. Fëmija juaj ka nevojë për vëmendje të lartë, në mënyrë që dieta e tij/saj të përmirësohet.</p>",6446,5,48,,,,4751,"3411, 3356, 3346",0,1,,xk-sq,draft
3066,"Më shumë rreth rritjes 13-24 muaj- kequshqyerje në nivel të moderuar","<p>Vëmendje! Fëmija juaj po humb peshë (ose nuk po shton peshë), dhe pesha e tij/saj është në nivel më të moderuar në krahasim me gjatësinë. Kjo situatë mund të ketë ndodhur gjatë javëve të fundit, prandaj mbani parasysh që të eksploroni shkaqet që mund të kenë ndikuar: sëmundjet infektive ose diarre, ndonjë sëmundje tjetër kronike, një dietë e varfër dhe e çekuilibruar, ndryshime në mjedisin e tyre etj. Sigurohuni që të caktoni një takim me një pediatër për të zbuluar shkakun, dhe për të korrigjuar humbjen ose për të përcaktuar monitorimin e mëtejshëm të rritjes.</p>","<p>Vëmendje! Fëmija juaj po humb peshë (ose nuk po shton peshë), dhe pesha e tij/saj është në nivel më të moderuar në krahasim me gjatësinë. Kjo situatë mund të ketë ndodhur gjatë javëve të fundit, prandaj mbani parasysh që të eksploroni shkaqet që mund të kenë ndikuar: sëmundjet infektive ose diarre, ndonjë sëmundje tjetër kronike, një dietë e varfër dhe e çekuilibruar, ndryshime në mjedisin e tyre etj. Sigurohuni që të caktoni një takim me një pediatër për të zbuluar shkakun, dhe për të korrigjuar humbjen ose për të përcaktuar monitorimin e mëtejshëm të rritjes. Fëmija juaj ka nevojë për vëmendje të lartë, në mënyrë që dieta e tij/saj të përmirësohet.</p>",6446,5,50,,,,4751,"3391, 3386, 3361",0,1,,xk-sq,draft
3071,"Më shumë rreth rritjes 25 - 60 muaj - kequshqyerje në nivel të moderuar","<p>Vëmendje! Fëmija juaj po humb peshë (ose nuk po shton peshë), dhe pesha e tij/saj është në nivel më të moderuar në krahasim me gjatësinë. Kjo situatë mund të ketë ndodhur gjatë javëve të fundit, prandaj mbani parasysh që të eksploroni shkaqet që mund të kenë ndikuar: sëmundjet infektive ose diarre, ndonjë sëmundje tjetër kronike, një dietë e varfër dhe e çekuilibruar, ndryshime në mjedisin e tyre etj. Sigurohuni që të caktoni një takim me një pediatër për të zbuluar shkakun, dhe për të korrigjuar humbjen ose për të përcaktuar monitorimin e mëtejshëm të rritjes.</p>","<p>Vëmendje! Fëmija juaj po humb peshë (ose nuk po shton peshë), dhe pesha e tij/saj është në nivel më të moderuar në krahasim me gjatësinë. Kjo situatë mund të ketë ndodhur gjatë javëve të fundit, prandaj mbani parasysh që të eksploroni shkaqet që mund të kenë ndikuar: sëmundjet infektive ose diarre, ndonjë sëmundje tjetër kronike, një dietë e varfër dhe e çekuilibruar, ndryshime në mjedisin e tyre etj. Sigurohuni që të caktoni një takim me një pediatër për të zbuluar shkakun, dhe për të korrigjuar humbjen ose për të përcaktuar monitorimin e mëtejshëm të rritjes. Fëmija juaj ka nevojë për vëmendje të lartë, në mënyrë që dieta e tij/saj të përmirësohet.</p>",6446,5,58,,,,4751,"3396, 5891, 3366",0,1,,xk-sq,draft
