ID,Title,Summary,Body,Cover_image,Category,Child_age,Child_gender,Parent_gender,Keywords,Related_articles,Australian_article,Mandatory_content,References_and_comments,Translation_language,Moderation_state
26,Предности на доењето за време на КОВИД-19,"<h2><strong>Дали доењето го штити моето бебе? </strong></h2>

<p>Доењето спасува животи. Истражувањата покажуваат дека, со зголемување на стапките на доење, би можеле да спасиме животи на повеќе од 820.000 деца ширум светот секоја година. Мајчиното млеко обезбедува антитела кои им даваат на бебињата здрав поттик и ги штитат од многу инфекции. Доколку бебето е изложено, антителата и биоактивните фактори во мајчиното млеко може да се борат против инфекцијата со КОВИД-19. Покрај тоа, корона вирусот не е пронајден во мајчиното млеко и не е докажано пренесување преку доење.</p>","<h2><strong>Дали доењето го штити моето бебе? </strong></h2>

<p>Доењето спасува животи. Истражувањата покажуваат дека, со зголемување на стапките на доење, би можеле да спасиме животи на повеќе од 820.000 деца ширум светот секоја година. Мајчиното млеко обезбедува антитела кои им даваат на бебињата здрав поттик и ги штитат од многу инфекции. Доколку бебето е изложено, антителата и биоактивните фактори во мајчиното млеко може да се борат против инфекцијата со КОВИД-19. Покрај тоа, корона вирусот не е пронајден во мајчиното млеко и не е докажано пренесување преку доење.</p>

<p>Доењето е препорачано од Светската здравствена организација (СЗО) и УНИЦЕФ на глобално ниво и е дел од националните препораки за хранење на новороденчиња и мали деца:</p>

<ul>
	<li>Мајчиното млеко ја обезбедува целата храна и вода што му треба на вашето бебе во текот на првите 6 месеци од животот.</li>
	<li>Не давајте ништо друго, дури ни вода, во текот на првите 6 месеци од животот на вашето бебе.</li>
	<li>Давање на бебето нешто друго  (каква било храна, кравјо млеко, сок, чај или дури и вода) ќе предизвика тоа да цица помалку и ќе ја намали количината на мајчино млеко што ја создавате.  Ова може да го разболи вашето бебе и да спречи тоа да расте добро.</li>
	<li>Можете да му дадете лекови на бебето доколку ги препорача вашиот доктор.</li>
</ul>",1271,1,"43,44,45,46,47,48,49,50",59,60,"146, 151",,0,0,,mk-mk,review_after_translation
211,Грчеви: што се тоа?,"<p>Бебињата кои многу плачат или се вознемирени и не можат да се смират, често се опишува дека имаат „грчеви“. Не знаеме што предизвикува грчеви, но знаеме дека е тешко да се справиме со нив.</p>","<h2>Што се грчеви?</h2>

<p>Грчеви се кога бебебто <strong>плаче и е вознемирено,</strong> нешто што често се случува, или трае долго време. Може да започне кога бебето има неколку дена или неколку недели.</p>

<p>Ако вашето бебе има грчеви, тоа ќе биде <strong>вознемирено  пред или после доењето</strong>. На пример, тоа може да цица како да е гладно, но наскоро после цицањето ви се чини дека повторно е гладно. Или, бебето можеби не се храни добро, честопати ги бара вашите гради или шишето со млеко.</p>

<p>Ќе откриете дека вашето бебе <strong>поминува долги периоди на несмирување или е збунето околу исхраната</strong>, но исто така бебето може да плаче многу гласно. Во овој период на плачење, бебето може да ги повлече нозете нагоре, како да чувствува болка. Многу е тешко, па дури и невозможно да се смирите или утешите кога вашето бебе е во оваа состојба. Ви се чини дека ништо не помага.</p>

<p>Плачењето и грчевите можат да траат со часови, а често искуствата се полоши навечер.</p>

<p>Може да биде <strong>многу вознемирувачко за вас</strong>, а честопати и фрустрирачки за другите кои се грижат за бебето, како и лекарите и медицинските сестри. Но, ако вашето бебе плаче и е вознемирено, тоа не значи дека сте лош родител. Најсигурните и најмирните родители исто така имаат бебиња кои многу плачат.</p>

<blockquote>
<p>Некои бебиња со симптоми на „грчеви“ имаат медицински проблеми, па затоа е добра идеја да го посетите вашиот лекар за да го исклучите ова ако вашето бебе плаче многу.</p>
</blockquote>

<h2>Плачење и вознемиреност: што да очекувате</h2>

<p><strong>Плачењето и вознемиреноста се нормални</strong> за бебињата. Во просек, бебињата плачат и се вознемирени скоро три часа на ден - а некои и подолго од ова. Плачењето достигнува врв на возраст од околу шест недели, а потоа постепено се намалува како што растат бебињата.</p>

<p>Поголемиот дел од ова плачење и вознемиреност се  случува <strong>доцна попладне и навечер</strong>, иако ова може да се менува од ден на ден.</p>

<p>Помалите бебиња плачат поради нивниот темперамент, циклуси на спиење и навики на хранење. Како што растат бебињата, нивниот плач е повеќе за комуникација со вас или за нешто во нивната околина. </p>

<blockquote>
<p>Природно е да се грижите за плачењето на вашето бебе. <strong>Може да помогне доколку знаете дека повеќето бебиња плачат се помалку на 3-4 месечна возраст</strong>. Ова е фаза што наскоро ќе помине.</p>
</blockquote>

<h2>Причини за појава на грчеви</h2>

<p>Сè уште не знаеме многу за тоа што предизвикува грчеви.</p>

<p>Грчевите можат да бидат предизвикани од премногу стимулација. Плачењето може да му помогне на новороденчето да го контролира своето опкружување. Како вашето бебе да сака да каже: „Доста е! Само ќе плачам да го стивнам светот '.</p>

<p>Може да ви помогне да знаете дека повеќето „бебиња кои имаат грчеви“  <strong>немаат очигледна физичка или медицинска причина</strong> за нивното плачење. Но, ако вашето бебе е многу вознемирено и плаче, добро е да го посетите вашиот лекар за да ги исклучите овие можни причини:</p>

<ul>
	<li>гастроезофагеален рефлукс - ретка, но можна причина за плачење</li>
	<li>инфекција - на пример, инфекција на ушите или инфекции на уринарниот тракт</li>
	<li>кила - на пример, на препоните или папочна </li>
	<li>алергија - на пример, на исхрана на мајката или на кравјо млеко</li>
	<li>осип од пелени или друг извор на иритација.</li>
</ul>

<h2>Стратегиите за смирување може да вклучуваат:</h2>

<ul>
	<li>Возење на вашето бебе со автомобил или прошетка во количка</li>
	<li>Шетање или нишкање на вашето бебе</li>
	<li>Капење со топла вода </li>
	<li>Триење на стомакот на вашето новороденче или ставање на бебето на стомак за да му го триете грбот</li>
	<li>Пуштење на звуци на отчукувања на срцето или тивки, смирувачки звуци</li>
	<li>Затемнување на светлата и ограничување на друга визуелна стимулација</li>
</ul>

<h3>Грижа за себе како родител</h3>

<p>Грижата за новороденче кое има грчеви може да биде исцрпувачка дури и за искусни родители. Ова се неколку едноставни чекори кои можат да ви помогнат да се грижите за себе:</p>

<ul>
	<li>Сменете ги улогите со сопругата или партнерот или со пријател.</li>
	<li><strong>Не осудувајте се</strong> и <strong>запомнете дека оваа ситуација е привремена.</strong> Епизодите на грчеви често се подобруваат откако бебето ќе наполни 3 до 4 месеци.</li>
	<li>Доколку е потребно, контактирајте го вашиот лекар.</li>
</ul>

<p> </p>",,2,"43,44,45",59,60,"1141, 131, 4421",,1,0,"<p><a href=""https://raisingchildren.net.au/newborns/behaviour/crying-colic/colic-what-is-it-"">https://raisingchildren.net.au/newborns/behaviour/crying-colic/colic-what-is-it-</a></p>",mk-mk,review_after_translation
231,Бебешки гениталии: нега и чистење,"<p>Клучни точки Одржувањето на гениталиите на вашето бебе чисти помага да се спречат инфекциите и вашето бебе да остане здраво. За чистење на гениталиите на вашето бебе, користете топла вода и памукче. Не ви треба сапун.</p>","<h2>Хигиена на гениталиите кај бебиња</h2>

<p>Важно е да ги одржувате гениталиите на вашето бебе чисти. Ова ќе помогне да се спречат инфекциите и да се одржи вашето бебе здраво.</p>

<p>За чистење на гениталиите на вашето бебе, можете да користите топла вода и памукче. Не треба да користите секогаш сапун. Ако користите сапун, изберете благ со вграден хидратантен крем и користете само мала количина. Секогаш внимавајте да го измиете целиот сапун од гениталиите на вашето бебе.</p>

<p>Може да ги исчистите гениталиите на вашето бебе кога менувате пелена и во времето на капење.</p>

<blockquote>
<p>Избегнувајте употреба на талк каде било на вашето бебе, вклучително и околу гениталиите на бебето. Талкот има ситни честички во кои вашето бебе може да ги вдише.</p>
</blockquote>

<h2>Чистење на пенисот на вашиот син</h2>

<p><strong>Ако вашето момче е обрежано</strong><br />
Ако вашиот син е обрежан, нежно измијте го пенисот и скротумот на вашето бебе со топла вода и памук. Исушете го пенисот и скротумот на вашето бебе со суво тапкање со мека крпа.</p>

<p>За да не се залепи пенисот на вашето бебе во пелената, добра идеја е да го навлажните предниот дел на пелената со вазелин, бебешки крем или нешто слично.</p>

<p><strong>Ако вашето момче е необрежано</strong><br />
Ако вашиот син е необрежан, треба да ја исчистите само <strong>надворешноста на кожичката.</strong> Можете да исчистите внатре во кожичката кога таа лесно се повлекува сама. Ова обично се случува кога вашето момче има 2-3 години, но понекогаш тоа може да се случи до пубертетот.</p>

<p>Нормално е млечно-белата супстанција (наречена смегма) да се собере под кожичката. Ова се само мртви клетки од кожата и природни секрети.</p>

<h2>Чистење на лабиите на вашата ќерка</h2>

<p>Пелени креми, пот и други супстанции може да се соберат во лабиите и околу нив. Во принцип, треба да ги исчистите лабиите само за да отстраните траги од измет.</p>

<p>За да ги исчистите лабиите на вашето девојче, намачкајте памукче, држете ги нозете на бебето и избришете ги помеѓу лабиите со памукче. Започнете од предната страна и нежно избришете наназад. Лесно потапкајте го пределот на гениталиите на вашето бебе со мека крпа.</p>

<p>Не користете вагинални дезодоранси или туш. Тие можат да ја нарушат природната хемиска рамнотежа на вагината на вашето бебе и да го зголемат ризикот од инфекција.</p>

<p>Може да забележите <strong>исцедок</strong> што изгледа малку како белка од јајце. Ова е сосема нормално и не треба сосема да го отстраните. Ако не сте сигурни за кој било друг исцедок, одете кај вашиот лекар или медицинска сестра.</p>

<blockquote>
<p>Вообичаено е новороденчињата да имаат мало количество крвав вагинален исцедок во првите неколку недели. Ова е нормален одговор на хормоните од мајката, затоа нема потреба да се вознемирувате. Но, ако овој исцедок не исчезне, треба да контактирате со вашиот лекар.</p>
</blockquote>",2726,2,"43,44,45,46,47,48",59,60,"131, 4776, 4816",,1,0,"<p><a href=""https://raisingchildren.net.au/newborns/health-daily-care/hygiene-keeping-clean/genitals-care-cleaning"">https://raisingchildren.net.au/newborns/health-daily-care/hygiene-keeping-clean/genitals-care-cleaning</a></p>",mk-mk,review_after_translation
236,"Како да ги исчистите бебешките очи, нос и уши","<p>Очите, носот и ушите на вашето бебе имаат потреба од нежно чистење еднаш на ден.</p>","<h2>Основни правила за чистење на очите, ушите и носот на бебето</h2>

<p>Може да ги исчистите очите, ушите и носот на вашето бебе кога го капете. Сè што ви треба е топла вода. Избегнувајте употреба на сапун затоа што кожата на вашето бебе е сеуште чувствителна на сапунот и може да ја исуши.</p>

<h2>Кои се основни чекори за чистење на лицето на бебето</h2>

<p>Оновните чекори за чистење на бебешки очи, бебешки уши и бебешки носеви:</p>

<ol>
	<li>Набавете неколку памучни тупферчиња.</li>
	<li>Потопете едно памучно тупферче во малку топла вода.</li>
	<li>Исчистете ги аглите на очите на бебето, бришејќи нежно од внатрешните кон надворешните агли.</li>
	<li>Користете ново памучно тупферче за секое око.</li>
	<li>Нежно избришете ја секоја ноздрва за да се ослободи од слузта. Најдобро е да <strong>не ставате ништо во ноздрвите на вашето бебе</strong> (вклучително и памучни стапчиња). Со тоа може да ја оштетите слузницата на носот и да предизвикате крварење.</li>
	<li>Избришете ја задната страна на ушите на вашето бебе и продолжете околу надворешната страна на секое уво. Бидете внимателни и не го затнувајте со ништо увото (вклучително и памучно стапче) бидејќи многу лесно може да го оштетите.</li>
	<li>Избришете ги нежно  брадата и вратот на вашето бебе, како и наборите на кожата меѓу вратот и телото.</li>
	<li>Нежно истапкајте ја кожата на вашето бебе со мека крпа. Бидете сигурни дека се исушени наборите на кожата како и површината зад неговите уши.</li>
</ol>

<p>Вашето бебе може да се вознемири кога ќе се обидете да  го исчистите неговото лице. Нежно зборување или пеење песна може да го олесни чистењето.</p>

<blockquote>
<p>Новороденчињата често имаат забрзано и кратко дишење кога се премногу стимулирани или уморни. Ова е затоа што тие имаат многу тесни носни патишта. Ако забележите дека новороденчето кива многу, не грижете се, тоа е нормално и му помага да се ослободи од слузта од носот.</p>
</blockquote>",2701,2,"43,44,45,46,47,48,49",59,60,"3976, 131, 4776",,1,0,"<p><a href=""https://raisingchildren.net.au/babies/health-daily-care/hygiene-keeping-clean/cleaning-eyes-nose-ears"">https://raisingchildren.net.au/babies/health-daily-care/hygiene-keeping-clean/cleaning-eyes-nose-ears</a></p>",mk-mk,review_after_translation
311,Нарушувања во комуникацијата кај детето,"<p>Нарушувањата во комуникацијата вклучуваат говорни, јазични нарушувања, пелтечење и проблеми со гласот. Некои деца ги надминуваат нарушувањата, но некои имаат долготрајно оштетување. Логопеди и други здравствени работници можат да помогнат во третманот на деца со комуникациски нарушувања.</p>","<h2>Нарушувања на комуникацијата кај дете</h2>

<p>Најчести нарушувања во комуникацијата кај децата се:</p>

<ul>
	<li>јазични нарушувања -  проблеми со разбирање и / или користење на говорниот јазик за размена на идеи </li>
	<li>говорни нарушувања - ова се проблеми при создавање и комбинирање на звуци за да се формулираат зборови за луѓето да може да го разберат вашето дете</li>
	<li>пелтечење</li>
	<li>проблеми со гласот, како - засипнатост, задишување при зборувањето, груб или премногу висок / низок, јак / слаб глас</li>
	<li>нарушување во социјалната комуникација.</li>
</ul>

<h2>Третман на деца со нарушувања на комуникацијата</h2>

<p>Некои деца <strong>ги надминуваат комуникациските нарушувања</strong>,но кај некои истите траат подолго.</p>

<p>Ако вашето дете има нарушување во комуникацијата, третманот ќе зависи од нарушувањето кое го има.</p>

<p>Вашето дете  веројатно ќе треба да работи со логопед. Логопедот е тој кој може да  го разработи најдобриот начин да му помогне на вашето дете да ја развие својата способност за комуникација.</p>

<p>Вие исто така треба да се консултирате и со:</p>

<ul>
	<li>аудиолог</li>
	<li>специјален едукатор</li>
	<li>генетски советник</li>
</ul>

<h2>Кои се причини за нарушувања во комуникацијата </h2>

<p>Не се познати причините што предизвикува разни нарушувања во комуникацијата.</p>

<p>Некои комуникациски проблеми може да имаат генетско потекло.</p>

<p>Понекогаш децата имаат само нарушувања во комуникацијата без други проблеми во развојот.</p>

<p>Меѓутоа, понекогаш децата имаат нарушувања во комуникацијата придружени со други здравствени или развојни проблеми, како:</p>

<ul>
	<li>расцеп на усна и / или непце</li>
	<li>полипи на гласните жици</li>
	<li>интелектуална попреченост</li>
	<li>повреда на мозокот или мозочен удар</li>
	<li>аутизам </li>
	<li>Даун синдром</li>
	<li>церебрална парализа</li>
	<li>оштетување на слухот</li>
</ul>",9046,2,"49,50,51,52,57,58",59,60,"491, 131",,1,0,"<p><a href=""https://raisingchildren.net.au/guides/a-z-health-reference/communication-impairments"">https://raisingchildren.net.au/guides/a-z-health-reference/communication-impairments</a></p>",mk-mk,review_after_translation
511,Расцеп на усна и расцеп на непце,"<p>Расцеп на усната и расцеп на непцето е кога усната или кровот на усната шуплина не се затвораат правилно. Бебињата со расцеп на усна и непце имаат потреба од хируршка интервенција и специјалистичко следење. Бебињата и децата може да имаат потреба од помош при хранење, корекција на говорот и специјална стоматолошка заштита.</p>","<h1>Што е расцеп на усна и расцеп на непце</h1>

<p>Расцеп на усната или расцеп на непцето е кога устата или кровот на усната шуплина не се затворени правилно. Ова формира расцеп или отворен простор во усната шуплина или усната. Може да постои само расцеп на усните или расцеп на непцето, но може да се случат и двете заедно. Почест е само расцеп на усната.</p>

<p>Расцеп на усните и расцеп на непцето се вродени дефекти - ова значи дека тие се случуваат за време на развојот на фетусот и се откриваат при раѓање.</p>

<p>Не знаеме точно што предизвикува расцеп на усната и расцеп на непцето. Се верува дека главно одговорни се генетските влијанија, иако честопати нема семејна историја за постоење на таква состојба. </p>

<p>Постојат некои докази дека пушењето и пиењето алкохол за време на бременоста, дијагностициран дијабетес пред бременоста, а исто така и дебелина за време на бременоста може да го зголемат ризикот од раѓање на бебе со расцеп на усната со или без расцеп на непцето.</p>

<p><strong>Запомнете, раѓање на бебе со расцеп може да биде вознемирувачко, но расцеп на усната и расцеп на непцето може да се поправи.</strong></p>

<h2>Симптоми на расцеп на усната и расцеп на непцето</h2>

<p>Расцеп на усните и / или расцеп на непцето се разликуваат по тежината. Тие можат да се движат од мал засек во горната усна, до отворен дефект на усната и непцето.</p>

<p>Кај расцеп на непцето, дупката на кровот на усната шуплина значи дека постои абнормална врска помеѓу устата и носот.</p>

<h2>Други проблеми поврзани со расцеп на усната и расцеп на непцето</h2>

<p>Бебињата со расцеп на непцето може да имаат <strong>значителни проблеми со хранењето</strong>. Ова е затоа што им е тешко или невозможно да цицаат, иако немаат проблеми со голтањето.</p>

<p>Бебињата со расцеп на непцето можат да имаат чести инфекции на ушите со ризик од оштетување на слухот. </p>

<p>Децата кои имаат расцеп на усната и непцето исто така може да имаат <strong>проблеми со забите и непцата</strong>. На пример, можеби ќе немаат одреден број на заби, ќе имаат дополнителни заби или забите ќе излегуваат на погрешно место или во абнормална насока. Ова може да влијае на млечните заби и / или трајните заби.</p>

<p>Расцеп на усните и расцеп на непцето може да предизвика назално зборување (зборување „на нос“) и може да влијае на изгледот на носот кај децата.</p>

<h2>Третман за расцеп на усна и расцеп на непце</h2>

<p>Третманот за расцеп на усни и / или расцеп на непце зависи од нивната сериозност.</p>

<p>На почеток, бебињата треба да се хранат со специјалнa сонда или издолжена цуцла. На овој начин се дава млекото во задниот дел на грлото.</p>

<p><strong>Хируршка интервенција е секогаш неопходна</strong>, а видот, степенот и бројот на операции зависат од сериозноста на расцепот на усната или расцепот на непцето. Расцеп на усната обично се санира на возраст од 3-6 месеци, а расцеп на непцето околу 9-12 месеци, пред децата да започнат да зборуваат. По операцијата, расцепот на усните обично изгледа многу подобро.</p>

<p>По операцијата, децата со расцеп на усна или расцеп на непце имаат потреба од редовно <strong>следење, со посети на специјалистички тимови</strong>. Ова е потребно за да се провери како тие растат и како изгледаат, зборуваат и слушаат. Овие дополнителни проверки им помагаат на лекарите да одлучат дали на децата им треба уште некоја операција.</p>

<p>Децата со расцеп на усна и непце често имаат потреба од <strong>друга терапија</strong>. На пример, децата со расцеп на непцето имаат потреба од говорна терапија за да научат да зборуваат нормално. Децата исто така може да имаат потреба од специјализирана стоматолошка заштита за да ги поправат проблемите со забите.</p>

<h2>Спречување на расцеп на усна и расцеп на непце</h2>

<ul>
	<li><strong>Размислете за генетско советување.</strong> Особено ако имате семејна историја на расцеп на усните и расцеп на непцето.</li>
	<li><strong>Земете пренатални витамини.</strong> Ако планирате да забремените наскоро, прашајте го вашиот лекар дали треба да земате пренатални витамини.</li>
	<li><strong>Не користете тутун или алкохол.</strong> Употребата на алкохол или тутун за време на бременоста го зголемува ризикот од раѓање на бебе со вродена мана.</li>
	<li><strong>Обезбедете здраво зголемување на вашата телесна тежина за време на бременоста.</strong></li>
</ul>

<p>.</p>",1746,2,"43,44,45,46,47,48",59,60,"601, 606, 611, 616, 621, 626, 131, 286",,1,0,"<p><a href=""https://raisingchildren.net.au/guides/a-z-health-reference/cleft-lip-palate"">https://raisingchildren.net.au/guides/a-z-health-reference/cleft-lip-palate</a></p>",mk-mk,review_after_translation
596,Големи (овчи) сипаници,<p>Овчи сипаници личат на осип со црвени дамки кои се претвораат во плускавци. Раствор на сода бикарбона или лосион со каламин можат да помогнат во смирување на чешањето. Не го праќајте детето во градинка или училиште сè додека не исчезне последниот плускавец. Најдобар начин да се избегнат овчи сипаници е да се вакцинира вашето дете.</p>,"<h1>Овчи сипаници (варичела)</h1>

<p>Овчи сипаници е заразна болест што е предизвикана од вирусот <em>варичела зостер.</em></p>

<p>Овчи сипаници можат да се шират преку:</p>

<ul>
	<li>директен физички контакт со некој кој има варичела</li>
	<li>кивање и кашлање</li>
	<li>директен физички контакт со некој кој има херпес зостер</li>
</ul>

<p>Како и варичелата и херпес зостерот се предизвикани од вирусот <em>варичела зостер.</em> Ако претходно сте прележале варичела и дојде до повторно активирање на вирусот, може да добиете херпес зостер.</p>

<h2>Симптоми на варичела</h2>

<p>Децата заразени со вирус на варичела обично немаат симптоми 10-21 ден по контактот со вирусот.</p>

<p>Кај децата, болеста обично започнува со општо чувство на замор, кое може да е придружено со треска. Во следните 2-5 дена избива осип.</p>

<p>Овој осип прво се појавува како црвени дамки (макули), кои се претвараат во мали плускавци (везикули) лоцирани над градите, грбот, стомакот или лицето. Тие наскоро се шират на остатокот од телото и може да се појават и на слузницата во устата, на гениталиите или на очите. Детето постојано ги чеша плускавците, кои на крај се претвораат во красти кои постено се сушат и лупат. Промените се јавуваат во бранови, така да во фаза на присуство на плускавци, доаѓа до формирање на нови црвени дамки и во еден момент на телото на вашето дете можат да бидат присутни сите промени, од црвени дамки до красти. Потребно е да поминат неколку недели да исчезнат и последните красти.</p>

<p>Осипот не остава лузни доколку не дојде до гребење на плускавците за време на чешањето, кои можат да се инфицираат.</p>

<p>Симптомите на овчи сипаници имаат тенденција да бидат многу поблаги кај децата отколку кај возрасните.</p>

<p>Овчи сипаници се заразни од два дена пред да се појави осипот сè додека сите рани или плускавци не се претворат во красти и не дојде до нивно целосно сушење. Ова обично трае околу една недела.</p>

<h2>Компликации и ризици од варичела</h2>

<p>Здравите деца претежно имаат осип и чешање, но немаат други компликации. Поретко, плускавците од варичела може да се инфицираат со бактерии. Бактериите можат да  предизвикаат тешка системска инфекција. Други компликации вклучуваат пневмонија и енцефалитис.</p>

<p>Постојат високо ризични групи на деца кај кои вирусот може да влијае многу сериозно, доколку дојдат во контакт со него. Во овие групи спаѓаат:</p>

<ul>
	<li>новородени деца</li>
	<li>деца кои имаат слаб имунитет</li>
	<li>деца со рак</li>
	<li>деца кои примаат имуносупресивни лекови како кортикостероиди во високи дози.</li>
</ul>

<p>Овие деца треба да се чуваат подалеку од луѓе заболени со варичела. </p>

<h2>Дали ако вашето дете има варичела треба да го однесете на лекар?</h2>

<p>Треба да го однесете вашето дете на лекар ако се сомневате дека има варичела.</p>

<p>Исто така, треба да разговарате со лекар ако вашето дете е во некоја од високо ризичните групи, а било во контакт со некој што може да има варичела.</p>

<p>Бремените жени  се исто така високо ризична група и треба да посетат лекар доколку биле во контакт со лице кое може да има варичела.</p>

<p> </p>

<h2>Лекување на варичела</h2>

<p>Децата со варичела обично имаат потреба од лекување само за ублажување на симптомите, како што се чешање и треска.</p>

<p>За да <strong>помогнете со чешањето</strong>, треба да натопите  гази во сода бикарбона и да ги ставите врз плускавците. Може да помогнат и креми, како на пример лосион со каламин. Ако вашето дете не може да го издржи чешањето, лекарот може да препише антихистамински лек.</p>

<p>Дајте парацетамол според упатствата ако вашето дете има температура и има треска.</p>

<p>Исечете ги ноктите на вашето дете. Доколку се изгребе при чешање, веројатноста раните да се заразат ќе биде помала. </p>

<p>Кај деца со висок ризик и кај деца кои имаат изразена кличка слика на варичела може да им се даде ацикловир, антивирусен лек. Лекарот може да препише антибиотици за инфекции на кожата и пневмонија. Понекогаш детето можеби треба да се смести во болница и да добие лекови кои се даваат интравенски.</p>

<p><strong>Не го праќајте детето во градинка или училиште</strong> сè додека не се изгуби и последниот плускавец.</p>

<p>Не треба да се дава аспирин. Децата лекувани со аспирин може да развијат Рејев синдром, ретка, но многу сериозна состојба.</p>

<h2>Превенција од варичела</h2>

<p><strong>Најдобар начин да се избегнат овчи сипаници е да се вакцинира вашето дете.</strong></p>

<p> </p>

<p> </p>",8996,2,"43,44,45,46,47,48,49,50,51,52,57,58",59,60,"801, 711, 306, 756",,1,0,"<p><a href=""https://raisingchildren.net.au/guides/a-z-health-reference/chickenpox"">https://raisingchildren.net.au/guides/a-z-health-reference/chickenpox</a></p>",mk-mk,review_after_translation
646,Воспаление на слепото црево (апендицитис),"<p>Воспалението на слепото црево се нарекува апендицитис. Слепото црево претставува мал израсток со големина на прст, кое излегува од дебелото црево. Ако вашето дете има болки во стомакот кои можат да бидат резултат на воспаление на слепото црево, треба веднаш да посети лекар или да оди во болница. Прснато слепо црево може да биде опасно по живот. Операцијата за отстранување на воспаленото слепо црево е третман на избор кај деца.</p>","<h1>Што е воспаление на слепото црево?</h1>

<p>Апендицитис претставува воспаление на слепото црево кое е црвено, отечено и иритирано. Слепото црево е мал слеп израсток со големина на прст, кое излегува од дебелото црево.</p>

<h2>Симптоми на воспаление на слепото црево</h2>

<p>Главниот симптом на воспаление на слепото црево е болка во стомакот.</p>

<p>При воспаление на слепото црево болката обично започнува во средината на стомакот на вашето дете во близина на папокот. Може да се чувствува како тапа болка, која во текот на следните неколку часа станува поостра. Многу пати болката е најостра на долната десна страна од стомакот.</p>

<p>Болката се влошува при движење, седење и исправено стоење на детето. </p>

<p>Вашето дете исто така може да го изгуби апетитот, како и да има симптоми на треска, повраќање, течна столица или запек.</p>

<p>Децата и тинејџерите на училишна возраст имаат поголема веројатност да заболат од воспаление на слепото црево отколку децата од предучилишна возраст и бебињата. Симптомите на воспаление на слепото црево не се толку јасни кај малите деца, како кај тинејџерите или возрасните. Можеби дури и не знаете дека мало дете има болки во стомакот.</p>

<h2>Дали при болка поради воспаление на слепото црево, треба да го однесете вашето дете на лекар?</h2>

<p><strong>Да</strong> Ако вашето дете има болка во стомакот која се влошува, однесете го вашето дете на лекар или оддел за итни случаи во болница.</p>

<p>Ако вашето дете е крајно лошо и дури и мало движење му предизвикува болка, однесете го веднаш во одделот за итни случаи во болницата. Можеби ќе треба да повикате брза помош во оваа ситуација.</p>

<p>Секогаш постои ризик од воспаление на слепото црево, кое може да прсне и да придонесе до разлевање на гнојна содржина во стомачната празнина.  Ова се нарекува прскање на слепото црево. Ова не е многу честа појава, но доколку не се лекува, може да биде опасна по живот.</p>

<h2>Испитувања за воспаление на слепото црево</h2>

<p>Дијагнозата на воспалението на слепо црево не е секогаш лесна.</p>

<p>Вашиот лекар или лекарот од одделот за итни случаи може да ве упати да направите анализа на мокрача  за да се исклучи инфекција на уринарниот тракт, како и крвна анализа со цел да се исклучи присуство на било какво друго воспаление. </p>

<p>Лекарот исто така може да ве упати да направите ехо на стомакот.</p>

<h2>Лекување на дете со  воспаление на слепото црево</h2>

<p><strong>Операцијата</strong> за отстранување на воспаленото слепо црево е третман на избор кај деца. И покрај тоа што лесните случаи на воспаление на слепото црево кај возрасните може да се третираат само со антибиотици, сепак  кај деца се препорачува оперативен третман.  </p>

<p>Постојат два вида на операција за вадење на слепото црево:</p>

<ul>
	<li><strong>Лапароскопска операција, к</strong>оја се изведува со помош на  камера и специјални инструменти кои се вметнуваат преку три мали резови во различни делови на стомакот на вашето дете.</li>
	<li><strong>Отворена операција </strong> е кога се прави еден, поголем рез на стомакот на вашето дете.</li>
</ul>

<p>Бидејќи слепото црево не учевствува во варењето на храната, вашето дете нема да има проблеми доколку истото биде извадено.</p>

<h2>Причини за воспаление на слепото црево</h2>

<p>Причината за воспаление на слепото црево е непозата. Една од теориите е дека доколку се заглават храна или измет во слпото црево, може да придонесат до размножување на бактерии со последователно воспаление. </p>

<p>Исто така, не е јасно зашто слепото црво постои како орган во нашето тело.Една од претпоставките е дека можеби има некои функции за време на еволуцијата и  на развојот на бебето во матката.</p>",8866,2,"48,49,50,51,52,57,58",59,60,"901, 306, 906, 911, 916",,1,0,"<p><a href=""https://raisingchildren.net.au/guides/a-z-health-reference/appendicitis"">https://raisingchildren.net.au/guides/a-z-health-reference/appendicitis</a></p>",mk-mk,review_after_translation
