ID,Title,Summary,Body,Cover_image,Category,Child_age,Child_gender,Parent_gender,Keywords,Related_articles,Australian_article,Mandatory_content,References_and_comments,Translation_language,Moderation_state
26,Преимущества грудного вскармливания во время COVID19,"<h2><strong>Защищает ли грудное вскармливание моего ребенка? </strong></h2>

<p>Грудное вскармливание спасает жизни. Исследования показывают, что за счет увеличения показателей грудного вскармливания мы можем ежегодно спасать жизни более 820 000 детей во всем мире. Грудное молоко содержит антитела, которые дают младенцам повсюду здоровую энергию и защищают их от многих инфекций. Антитела и биоактивные факторы в грудном молоке могут бороться с инфекцией COVID-19, если ребенок подвергся воздействию.</p>","<h2><strong>Защищает ли грудное вскармливание моего ребенка? </strong></h2>

<p>Грудное вскармливание спасает жизни. Исследования показывают, что за счет увеличения показателей грудного вскармливания мы можем ежегодно спасать жизни более 820 000 детей во всем мире. Грудное молоко содержит антитела, которые дают младенцам повсюду здоровую энергию и защищают их от многих инфекций. Антитела и биоактивные факторы в грудном молоке могут бороться с инфекцией COVID-19, если ребенок подвергся воздействию. Кроме того, вирус короны не был обнаружен в грудном молоке, и передача через грудное вскармливание не была продемонстрирована.</p>

<p>Грудное вскармливание во всем мире рекомендовано Всемирной организацией здравоохранения (ВОЗ) и ЮНИСЕФ и является частью национальных рекомендаций по кормлению детей грудного и раннего возраста:</p>

<ul>
	<li>Грудное молоко обеспечивает всю пищу и воду, которые необходимы вашему ребенку в течение первых 6 месяцев жизни.</li>
	<li>Не давайте ребенку ничего, даже воды, в течение первых 6 месяцев.</li>
	<li>Если давать ребенку что-нибудь еще (любую пищу, коровье молоко, сок, чай или даже воду), он / она будет меньше сосать грудь и уменьшится количество вырабатываемого вами грудного молока.  Это может вызвать у вашего ребенка тошноту и помешать ему вырасти.</li>
	<li>Вы можете давать ребенку лекарства, если они рекомендованы вашим врачом.</li>
</ul>",1271,1,"43,44,45,46,47,48,49,50",59,60,"146, 151",,0,0,,ru,review_after_translation
211,Колики: что это такое?,"<p>Состояния младенцев, которые много плачут или беспокойны и не могут успокоиться, часто называют «коликами». Мы не знаем, что вызывает колики, но знаем, что с ними трудно справиться.</p>","<h2>Что такое колики?</h2>

<p>Колики - это <strong>плач и беспокойство,</strong> которые случаются часто или длятся долго. Это может начаться, когда вашему ребенку исполнится несколько дней или несколько недель.</p>

<p>Если у вашего ребенка колики, он будет <strong>расстроенным и беспокойным при кормлении</strong>. Например, он может проголодаться, но вскоре после кормления кажется, что он снова голоден. Или ваш ребенок может плохо кушать, часто суетясь у груди или из бутылочки.</p>

<p>Вы можете обнаружить, что ваш ребенок <strong>долгое время не успокаивается или хнычет</strong>, но он также может очень громко плакать. В этот период плача ваш ребенок может прижимать ноги вверх, как будто от боли. В таком состоянии очень сложно или даже невозможно успокоить или утешить ребенка. Кажется, ничто из того, что вы делаете, не имеет значения.</p>

<p>Плач и беспокойства могут длиться часами, а вечером часто бывает хуже.</p>

<p>Это может быть <strong>очень неприятно для вас</strong>, а часто - и для других лиц, осуществляющих уход, врачей и медсестер. Но если ваш ребенок плачет и беспокоен, это не значит, что вы плохой родитель. У самых уверенных и спокойных родителей могут быть дети, которые много плачут.</p>

<blockquote>
<p>У некоторых детей с симптомами колик есть проблемы со здоровьем, поэтому рекомендуется обратиться к врачу, чтобы исключить это, если ваш ребенок много плачет.</p>
</blockquote>

<h2>Плакать и беспокоиться: чего ожидать</h2>

<p><strong>Плач и беспокойство - нормальное явление</strong> для младенцев. В среднем младенцы плачут и беспокоятся почти три часа в день, а некоторые намного дольше. Плач достигает пика примерно в возрасте шести недель, а затем постепенно уменьшается по мере взросления ребенка.</p>

<p>Большая часть этого плача и беспокойства, кажется, происходит <strong>ближе к вечеру и после полудня</strong>, хотя это может меняться изо дня в день.</p>

<p>Младенцы плачут из-за своего темперамента, циклов сна и режима кормления. По мере взросления младенцы плачут больше из-за общения с вами или из-за чего-то в их окружении. Из-за этого он с большей вероятностью будет распространяться в течение дня.</p>

<blockquote>
<p>Для вас естественно беспокоиться о плачущем ребенке. <strong>Полезно знать, что большинство детей плачут меньше к 3-4 месяцам</strong>. Это этап, который скоро пройдет.</p>
</blockquote>

<h2>Причины колик</h2>

<p>Мы до сих пор мало что знаем о том, что вызывает колики.</p>

<p>Колики могут быть вызваны слишком сильной стимуляцией. Плач может помочь новорожденному взять под контроль свое окружение. Как будто ваш ребенок говорит: «Хватит! Я просто буду плакать, чтобы отгородиться от мира».</p>

<p>Возможно, вам будет полезно узнать, что у большинства младенцев с коликами <strong>нет очевидных физических или медицинских причин</strong> для их плача. Но если ваш ребенок много беспокоится и плачет, рекомендуется обратиться к врачу, чтобы исключить следующие возможные причины:</p>

<ul>
	<li>гастроэзофагеальный рефлюкс - редкая, но возможная причина плача</li>
	<li>инфекции - например, инфекции уха или инфекции мочевыводящих путей</li>
	<li>грыжи - например, паховые или пупочные грыжи</li>
	<li>аллергия - например, на диету матери или на коровье молоко</li>
	<li>опрелости или другой источник раздражения.</li>
</ul>

<h2>Успокаивающие стратегии могут включать:</h2>

<ul>
	<li>Прогулка с младенцем на машине или прогулка в коляске.</li>
	<li>Прогулка с ребенком или его покачивание</li>
	<li>Теплая ванна для вашего ребенка</li>
	<li>Растирать животик младенца или класть ребенка на живот, чтобы растереть спину.</li>
	<li>Воспроизведение звука сердцебиения или тихих успокаивающих звуков</li>
	<li>Приглушить свет и ограничить другие визуальные раздражители</li>
</ul>

<h3>Забота о себе родителей</h3>

<p>Уход за младенцем с коликами может быть утомительным даже для опытных родителей. Несколько простых шагов могут помочь вам позаботиться о себе:</p>

<ul>
	<li>Чередуйтесь с супругом, партнером или другом.</li>
	<li><strong>Не судите себя</strong> и <strong>помните, что это временно.</strong> Эпизоды колик часто улучшаются в возрасте от 3 до 4 месяцев.</li>
	<li>При необходимости обратитесь к врачу.</li>
</ul>

<p> </p>",,2,"43,44,45",59,60,"1141, 131, 4421",,1,0,"<p><a href=""https://raisingchildren.net.au/newborns/behaviour/crying-colic/colic-what-is-it-"">https://raisingchildren.net.au/newborns/behaviour/crying-colic/colic-what-is-it-</a></p>",ru,review_after_translation
231,Детские половые органы: уход и гигиена,"<p>Ключевые моменты Содержание половых органов вашего ребенка в чистоте помогает предотвратить инфекции и сохранить его здоровье. Чтобы очистить половые органы ребенка, используйте теплую воду и ватный диск. Вам не нужно мыло.</p>","<h2>Гигиена половых органов младенцев</h2>

<p>Важно, чтобы половые органы вашего ребенка были чистыми. Это поможет предотвратить инфекции и сохранить здоровье вашего ребенка.</p>

<p>Чтобы очистить половые органы вашего ребенка, вы можете использовать теплую воду и ватный диск. Необязательно использовать мыло всегда. Если вы все же используете мыло, выберите мягкое мыло в состав которого входит увлажняющий крем и используйте небольшое количество. Убедитесь, что смываете мыло с тела ребенка до конца.</p>

<p>Вы можете мыть половые органы своего ребенка когда меняете подгузник и во время купания.</p>

<blockquote>
<p>Избегайте применение талька для тела вашего ребенке, в том числе для половых органов. В порошке талька есть мелкие частицы, которые ребенок может вдохнуть.</p>
</blockquote>

<h2>Очистка полового члена вашего сына</h2>

<p><strong>Если ваш мальчик обрезан</strong><br />
Если ваш сын обрезан, осторожно промывайте половой член и мошонку ребенка теплой водой и ватным тампоном. Вытрите пенис и мошонку ребенка, промокнув их мягким полотенцем.</p>

<p>Чтобы пенис вашего ребенка не прилипал к подгузнику, рекомендуется смазать внутреннюю переднюю часть подгузника вазелином, кремом из папайи или чем-то похожим.</p>

<p><strong>Если ваш мальчик необрезанный</strong><br />
Если ваш сын необрезанный, вам нужно очистить только <strong>наружную верхнюю часть.</strong> Вы можете очистить верхнюю часть изнутри, если кожа легко отодвигается сама по себе. Обычно это происходит, когда вашему мальчику 2–3 года, но иногда может произойти не раньше периода полового созревания.</p>

<p>Скопление вещества молочно-белого цвета (под названием смегма) в полости крайней плоти - это нормально. Он просто состоит из мертвых клеток кожи и естественных выделений.</p>

<h2>Очистка половых губ вашей дочери</h2>

<p>Кремы для подгузников, пот и другие вещества могут скапливаться внутри и вокруг половых губ. В общем, вам нужно только очистить половые губы, чтобы удалить следы фекалий.</p>

<p>Чтобы очистить половые губы девочки, намочите ватный тампон, раздвиньте ножки ребенка и протрите между половыми губами ватным тампоном. Аккуратно протирайте в направлении сверху вниз. Слегка промокните область половых органов ребенка мягким полотенцем.</p>

<p>Не используйте вагинальные дезодоранты или спринцевания. Они могут нарушить естественный химический баланс влагалища вашего ребенка и повысить риск заражения.</p>

<p>Вы можете заметить <strong>выделение</strong>, похожее на яичный белок. Это совершенно нормально, и вам не нужно его убирать. Если вы не уверены в каких-либо других выделениях, обратитесь к врачу или медсестре.</p>

<blockquote>
<p>У новорожденных девочек обычно наблюдается небольшое количество кровянистых выделений из влагалища в первые несколько недель. Это нормальная реакция на гормоны мамы, поэтому не стоит волноваться. Но если выделения не проходят, следует обратиться к врачу.</p>
</blockquote>",2726,2,"43,44,45,46,47,48",59,60,"131, 4776, 4816",,1,0,"<p><a href=""https://raisingchildren.net.au/newborns/health-daily-care/hygiene-keeping-clean/genitals-care-cleaning"">https://raisingchildren.net.au/newborns/health-daily-care/hygiene-keeping-clean/genitals-care-cleaning</a></p>",ru,review_after_translation
236,"Уход за детскими глазами, носом и ушками","<p>Глаза, нос и уши вашего ребенка нуждаются в нежном уходе один раз в день.</p>","<h2>Очищение глаз, ушей и носа ребенка: основы</h2>

<p>Вы можете очистить глаза, уши и нос вашего ребенка, когда купаете его. Теплая вода - это все, что вам нужно. Избегайте использования мыла, потому что кожа вашего ребенка чувствительна и мыло может высушить ее.</p>

<h2>Шаги для очищения лица ребенка</h2>

<p>Вот основные шаги для очистки глаз ребенка, детских ушей и детского носа:</p>

<ol>
	<li>Возьмите ватные шарики.</li>
	<li>Замочите один ватный шарик в теплой воде.</li>
	<li>Очистите углы глаз вашего ребенка, мягко вытирая из внутренних углов в сторону внешних углов.</li>
	<li>Используйте новый ватный шарик для каждого глаза.</li>
	<li>Протрите осторожно вокруг каждой ноздри, чтобы избавиться от слизи. <strong>Лучше ничего не засовывайте в ноздри ребенка </strong>(в том числе ватные палочки). Это может повредить слизистую оболочку носа и вызвать кровотечение.</li>
	<li>Протрите за ушками вашего ребенка и вокруг внешней стороны каждого уха. Будьте осторожны, не засовывайте ничего (в том числе ватные палочки) в ухо, так вы легко повредите его.</li>
	<li>Протрите осторожно под подбородком и шеей вашего ребенка, убедившись, что вы протерли между складками кожи.</li>
	<li>Аккуратно высушите кожу вашего ребенка поглаживая мягким полотенцем. Убедитесь, что вы высушили под складками кожи и за его/ее ушами.</li>
</ol>

<p>Ваш младенец может расстроится, когда вы попытаетесь помыть ее лицо. Вы можете нежно поговорить с ним/ней или спеть песню, чтобы успокоить его/ее.</p>

<p>Новорожденные часто сопят, когда они перевозбуждены или устали. Это потому, что они имеют очень узкие носовые проходы. Если вы заметили, что ваш малыш много чихает, не волнуйтесь. Это нормальное явление - таким образом ребенок избавляется от слизи из носа.</p>",2701,2,"43,44,45,46,47,48,49",59,60,"3976, 131, 4776",,1,0,"<p><a href=""https://raisingchildren.net.au/babies/health-daily-care/hygiene-keeping-clean/cleaning-eyes-nose-ears"">https://raisingchildren.net.au/babies/health-daily-care/hygiene-keeping-clean/cleaning-eyes-nose-ears</a></p>",ru,published
311,Коммуникативные расстройства и нарушения,"<p>Расстройства и нарушения общения включают нарушения речи, языковые расстройства, заикание и проблемы с голосом. Некоторые дети вырастают из коммуникативных расстройств. У других детей есть длительные нарушения. Логопеды и другие медицинские работники могут помочь детям с коммуникативными расстройствами.</p>","<h2>О коммуникативных расстройствах и нарушениях</h2>

<p>Наиболее частыми коммуникативными расстройствами и нарушениями у детей являются:</p>

<ul>
	<li>языковые расстройства - это проблемы с пониманием и / или использованием разговорной речи для обмена идеями</li>
	<li>нарушения речи - это проблемы с произнесением и слиянием звуков в словах, чтобы люди могли понимать</li>
	<li>заикание</li>
	<li>проблемы с голосом, такие как охриплость, одышка, резкость или слишком высокий / низкий или слишком громкий / слабый голос</li>
	<li>расстройство социального общения.</li>
</ul>

<h2>Поддержка и лечение детей с коммуникативными расстройствами или нарушениями</h2>

<p>Некоторые дети <strong>вырастают из коммуникативных расстройств или нарушений</strong>. Но у других есть более длительные проблемы.</p>

<p>Если у вашего ребенка расстройство общения, поддержка и лечение, в которых он нуждается, будут зависеть от расстройства, которое у него есть.</p>

<p>Вполне вероятно, что с вашим ребенком будет работать логопед. Логопед может оценить вашего ребенка, чтобы найти лучший способ помочь ему развить способность к общению.</p>

<p>Вам также необходимо проконсультироваться с другими специалистами, такими как:</p>

<ul>
	<li>аудиолог</li>
	<li>специальный педагог</li>
	<li>генетический консультант</li>
</ul>

<h2>Причины коммуникативных расстройств и нарушений</h2>

<p>Мы не знаем, что вызывает многие коммуникативные расстройства и нарушения.</p>

<p>Некоторые коммуникативные проблемы могут иметь генетические связи.</p>

<p>Иногда у детей возникают коммуникативные расстройства и никаких других проблем с развитием.</p>

<p>Иногда у детей возникают коммуникативные расстройства наряду с другими нарушениями здоровья или развития. Эти условия включают:</p>

<ul>
	<li>заячья губа и / или волчья пасть</li>
	<li>узелки на голосовых связках</li>
	<li>интеллектуальная недееспособность</li>
	<li>травма головного мозга или инсульт</li>
	<li>расстройство аутистического спектра</li>
	<li>синдром Дауна</li>
	<li>церебральный паралич</li>
	<li>нарушение слуха</li>
</ul>",9046,2,"49,50,51,52,57,58",59,60,"491, 131",,1,0,"<p><a href=""https://raisingchildren.net.au/guides/a-z-health-reference/communication-impairments"">https://raisingchildren.net.au/guides/a-z-health-reference/communication-impairments</a></p>",ru,review_after_translation
511,Заячья губа и волчья пасть,"<p>Расщелина губы и неба - это когда губа или небо не закрываются должным образом. Младенцам с расщелиной губы и неба требуется хирургическое вмешательство и наблюдение у специалиста. Младенцам и детям может потребоваться помощь с кормлением, логопедом и специальной стоматологической помощью.</p>","<h1>О заячьей губе и волчьей пасти</h1>

<p>Расщелина губы или неба - это когда губа или небо не закрываются должным образом. Это образует расщелину или открытое пространство на губе или во рту. Расщелина губы и неба могут случаться по отдельности или вместе. Одна только заячья губа встречается чаще.</p>

<p>Расщелина губы и неба являются врожденными дефектами - это означает, что они возникают во время развития плода и присутствуют при рождении.</p>

<p>Мы не знаем точно, что вызывает заячью губу и волчье нёбо. Считается, что во многом ответственны генетические факторы, хотя часто в семейном анамнезе это заболевание отсутствует. </p>

<p>Есть некоторые свидетельства того, что курение и употребление алкоголя во время беременности, наличие диагноза диабета до беременности, а также ожирение во время беременности могут увеличить риск рождения ребенка с заячьей губой с волчьей пастью или без нее.</p>

<p><strong>Помните, что рождение ребенка с расщелиной может быть неприятным, но расщелина губы и неба можно исправить.</strong></p>

<h2>Симптомы заячьей губы и неба</h2>

<p>Расщелины губ и / или неба различаются по степени тяжести. Они могут варьироваться от небольшой выемки на верхней губе до зияющего дефекта губы и неба.</p>

<p>При волчьей пасти отверстие в небе означает ненормальное соединение между ртом и носом.</p>

<h2>Другие проблемы, связанные с заячьей губой и волчьей пастью</h2>

<p>Младенцы с волчьей пастью могут испытывать <strong>серьезные проблемы с кормлением</strong>. Это потому, что им трудно или невозможно сосать, даже если у них нет проблем с глотанием.</p>

<p>Младенцы с волчьей пастью могут часто страдать от ушных инфекций с риском нарушения слуха. </p>

<p>У детей с заячьей губой и нёбом также могут быть <strong>проблемы с зубами и деснами</strong>. Например, у них могут быть отсутствовать зубы, лишние зубы или зубы, расположенные в неправильном месте или растущие в неправильном направлении. Это может повлиять на молочные зубы и / или зубы во взрослом возрасте человека.</p>

<p>При заячьей губе и волчьей пасти естественный речевой голос выходит из носа, а также влияет на внешний вид детских носов.</p>

<h2>Лечение заячьей губы и нёба</h2>

<p>Лечение заячьей губы и / или волчьей пасти зависит от их степени тяжести.</p>

<p>Первоначально малышей нужно кормить с помощью специальной носика или удлиненной соски. Они доставляют молоко в заднюю часть глотки.</p>

<p><strong>Операция необходима всегда</strong>, и тип, объем и количество операций зависят от степени тяжести заячьей губы или неба. Расщелина губы обычно лечится в возрасте 3-6 месяцев, а волчья пасть - примерно в 9-12 месяцев, прежде чем дети начинают говорить. После операции заячья губа обычно выглядит намного лучше.</p>

<p>После операции дети с заячьей губой или волчьей пастью нуждаются в регулярных <strong>контрольных посещениях специалистов</strong>. Это нужно для того, чтобы проверить, как они растут, как выглядят, говорят и слышат. Эти последующие проверки помогают врачам решить, нужна ли детям дополнительная операция.</p>

<p>Детям с заячьей губой и нёбом часто требуется <strong>другое лечение</strong>. Например, детям с волчьей пастью требуется логопед, чтобы научиться нормально говорить. Детям также может потребоваться специализированная стоматологическая помощь для решения проблем с зубами.</p>

<h2>Профилактика заячьей губы и нёба</h2>

<ul>
	<li><strong>Рассмотрите возможность генетического консультирования.</strong> Особенно, если у вас существует в семейном анамнезе заячья губа и волчья пасть.</li>
	<li><strong>Принимайте витамины для беременных.</strong> Если вы планируете вскоре забеременеть, спросите своего врача, следует ли вам принимать витамины для беременных.</li>
	<li><strong>Не употребляйте табак или алкоголь.</strong> Употребление алкоголя или табака во время беременности увеличивает риск рождения ребенка с врожденным дефектом.</li>
	<li><strong>Обеспечьте здоровый набор веса во время беременности.</strong></li>
</ul>

<p>.</p>",1746,2,"43,44,45,46,47,48",59,60,"601, 606, 611, 616, 621, 626, 131, 286",,1,0,"<p><a href=""https://raisingchildren.net.au/guides/a-z-health-reference/cleft-lip-palate"">https://raisingchildren.net.au/guides/a-z-health-reference/cleft-lip-palate</a></p>",ru,review_after_translation
596,Ветряная оспа,"<p>Ветряная оспа выглядит как сыпь с красными пятнами, которые превращаются в волдыри. Используйте бикарбонат соды и воды или лосьон с каламином, чтобы уменьшить зуд. Держите ребенка подальше от детских садов, дошкольных учреждений или школ, пока последний волдырь не покроется коркой. Лучший способ избежать ветряной оспы - сделать ребенку иммунизацию.</p>","<h1>О ветрянке</h1>

<p>Ветряная оспа - заразное заболевание, вызываемое <em>вирусом ветряной</em> оспы.</p>

<p>Ветряная оспа может передаваться через:</p>

<ul>
	<li>прямой физический контакт с больным ветряной оспой</li>
	<li>чихание и кашель</li>
	<li>прямой физический контакт с больным опоясывающим лишаем.</li>
</ul>

<p>Как и ветряная оспа, опоясывающий лишай вызывается <em>вирусом ветряной</em> оспы. Если у вас ранее была ветряная оспа и вирус снова активизировался, вы можете получить опоясывающий лишай.</p>

<h2>Симптомы ветрянки</h2>

<p>У детей, инфицированных вирусом ветряной оспы, симптомы обычно не проявляются до 10-21 дня после контакта.</p>

<p>У детей болезнь обычно начинается с общего чувства усталости, а также с повышения температуры тела. В течение следующих 2-5 дней появляется сыпь.</p>

<p>Сначала эта сыпь проявляется в виде красных пятен, которые превращаются в небольшие пузыри на груди, спине, животе или лице. Вскоре они появляются на остальной части тела и могут даже появиться во рту или ушах, на гениталиях или глазах. Волдыри вызывают сильный зуд и новые образуются по мере того, как старые покрываются коркой и высыхают. Может потребоваться несколько недель, чтобы корки отпали.</p>

<p>Сыпь не оставляет шрамов, если только волдыри или корки не поцарапаны, а язвы не инфицированы.</p>

<p>Симптомы ветряной оспы у детей, как правило, намного слабее, чем у взрослых.</p>

<p>Ветряная оспа заразна за два дня до появления сыпи и до тех пор, пока все существующие язвы или волдыри не образуют корки и полностью не высохнут. Обычно это занимает около недели.</p>

<h2>Осложнения и риски ветрянки</h2>

<p>У здоровых детей чаще всего появляется зудящая сыпь, но никаких других осложнений нет. В редких случаях язвы ветрянки могут заразиться бактериями. Бактерии могут вызвать серьезную системную инфекцию. Другие осложнения включают пневмонию и энцефалит.</p>

<p>Некоторые дети подвергаются высокому риску заражения ветряной оспой. Вирус может поразить их очень серьезно. Эта группа детей включает:</p>

<ul>
	<li>новорожденных</li>
	<li>детей с низким иммунитетом</li>
	<li>детей с раком</li>
	<li>детей, принимающие иммунодепрессанты, такие как высокие дозы кортикостероидов.</li>
</ul>

<p>Эти дети должны держаться подальше от людей, болеющих ветряной оспой. </p>

<h2>Нужно ли вашего ребенка показать врачу по поводу ветрянки?</h2>

<p>Вам следует показать ребенка врачу, если вы беспокоитесь, что у него ветряная оспа.</p>

<p>Вам также следует поговорить со своим врачом, если ваш ребенок относится к одной из указанных выше групп высокого риска и контактировал с кем-то, кто мог болеть ветряной оспой.</p>

<p>Беременные женщины также относятся к группе высокого риска и должны обратиться к врачу.</p>

<h2>Лечение ветрянки</h2>

<p>Дети с ветряной оспой обычно нуждаются в лечении только для облегчения таких симптомов, как зуд и жар.</p>

<p>Чтобы <strong>уменьшить зуд</strong>, смочите марлевые салфетки в бикарбонате соды и воды и приложите их к язвам. Также могут помочь кремы, такие как лосьон с каламином. Если ваш ребенок действительно не переносит зуд, врач может назначить антигистаминное лекарство.</p>

<p>Дайте парацетамол в соответствии с указаниями, если у вашего ребенка поднялась температура.</p>

<p>Можете помочь ребенку и коротко подстричь ногти. Таким образом, если он/она поцарапается, вероятность заражения язв будет меньше. </p>

<p>Детям из группы высокого риска и детям с тяжелой ветряной оспой можно назначить ацикловир, противовирусный препарат. Ваш врач может назначить антибиотики при кожных инфекциях и пневмонии. Иногда ребенку может потребоваться госпитализация и внутривенное лечение.</p>

<p><strong>Держите ребенка подальше от детских садов, дошкольных учреждений или школ,</strong> пока последний волдырь не покроется коркой.</p>

<p>Не давайте ребенку аспирин. У детей, получавших аспирин, может развиться синдром Рея - редкое, но очень серьезное заболевание.</p>

<h2>Профилактика ветрянки</h2>

<p><strong>Лучший способ избежать ветрянки - это сделать прививку.</strong></p>

<p> </p>

<p> </p>",8996,2,"43,44,45,46,47,48,49,50,51,52,57,58",59,60,"801, 711, 306, 756",,1,0,"<p><a href=""https://raisingchildren.net.au/guides/a-z-health-reference/chickenpox"">https://raisingchildren.net.au/guides/a-z-health-reference/chickenpox</a></p>",ru,published
616,Обрезание,"<p>Существующие научные данные демонстрируют потенциальные медицинские преимущества обрезания новорожденных мальчиков; однако эти данные не считаются достаточными, чтобы рекомендовать плановое обрезание новорожденных. Родители имеют право принимать во внимание культурные, религиозные и этнические традиции. Убедитесь, что операция проводится безопасно и с адекватным обезболиванием.</p>","<h1>Что такое обрезание?</h1>

<p>Обрезание - это хирургическая операция, при которой с гениталий мальчика или девочки удаляют часть кожи или тканей. Все формы женского обрезания запрещены. Эта статья касается только обрезания мальчиков.</p>

<p>При рождении у большинства мальчиков конец полового члена покрывается кожным рукавом. Данный защитный рукав называется крайней плотью. Во время обрезания этот кожный покров срезается, обнажая головку полового члена.</p>

<p>Обрезание иногда проводят через несколько дней после рождения. Это можно сделать позже, в том числе в подростковом или во взрослом возрасте.</p>

<p><img alt=""фото необрезанных и обрезанных пенисов"" src=""https://raisingchildren.net.au/__data/assets/image/0021/39216/uncircumcised-circumcised-penises_m.jpg"" /></p>

<h2>Причины, по которым вашему сыну не сделали обрезание</h2>

<p>Даже если операцию делает опытный врач, обрезание сопряжено с нечастыми <strong>медицинскими рисками и рисками для здоровья</strong>:</p>

<ul>
	<li>Кратковременные проблемы включают кровотечение после операции. Иногда мальчикам необходимо лечь в больницу, чтобы справиться с кровотечением.</li>
	<li>Долгосрочные проблемы включают проблемы с мочеиспусканием и опасения по поводу внешнего вида полового члена, особенно если было удалено слишком много или слишком мало кожи или если с одной стороны было удалено больше кожи, чем с другой.</li>
	<li>В очень редких случаях эти проблемы могут привести к повреждению уретры, гангрене, потере полового члена или даже смерти.</li>
</ul>

<p>Врачи, родители и другие люди говорят, что есть <strong>физические и этические причины,</strong> по которым вашему сыну не делают обрезание:</p>

<ul>
	<li>Крайняя плоть - естественная часть тела мальчика. Он богат нервными окончаниями и играет большую роль в сексуальных ощущениях, играх и функционировании по мере взросления мальчиков.</li>
	<li>Крайняя плоть защищает отверстие уретры, которое в раннем возрасте является очень хрупким.</li>
	<li>Мальчики должны иметь возможность принимать осознанные решения относительно своего собственного тела. Они могут это сделать, только когда станут старше.</li>
	<li>Нашему обществу не имеет смысла запрещать все формы женского обрезания, но при этом разрешать мужское обрезание.</li>
</ul>

<h2>Причины обрезания вашего сына</h2>

<p>Обрезание до полового созревания имеет несколько <strong>преимуществ для здоровья и медицины</strong>:</p>

<ul>
	<li>Это снижает риск заражения мальчика инфекцией мочевыводящих путей (ИМП).</li>
	<li>Это может предотвратить проблемы с крайней плотью, в том числе воспаление крайней плоти и слишком тугую крайнюю плоть в период полового созревания.</li>
</ul>

<p>Для мальчиков старшего возраста и мужчин обрезание имеет некоторые преимущества:</p>

<ul>
	<li>Это помогает защитить мужчин от ВИЧ и СПИДа и, возможно, некоторых других инфекций, передающихся половым путем.</li>
	<li>Это помогает защитить мужчин от редкого заболевания - рака полового члена.</li>
</ul>

<p>Некоторые родители также могут выбрать обрезание по религиозным или культурным причинам - например, по еврейским или исламским обычаям.</p>

<p>Дискуссия об обрезании вызывает горячие споры. С обеих сторон есть несколько крайних точек зрения. Но вы можете доверять свидетельствам, опубликованным официальными медицинскими организациями, такими как Американская академия педиатрии или Австралийский веб-сайт по вопросам родителей. Родители имеют право принимать во внимание культурные, религиозные и этнические традиции, и разумно относиться к другим мнениям с осторожностью.</p>

<h2>Обрезание: осознанный выбор</h2>

<p>Важно учитывать все доказательства и информацию, при оценке рисков и преимуществ обрезания для вашего сына. Вы можете попросить своего педиатра рассказать вам о рисках и преимуществах.</p>

<p>Что бы вы ни решили об обрезании, у вашего сына, скорее всего, будет нормальное детство и взрослая жизнь, без особых опасений по поводу своего пениса.</p>

<h2>Планирование обрезания</h2>

<p>Если вы решите сделать своему сыну обрезание, важно убедиться, что операция проводится безопасно, опытным и авторизованным специалистом.</p>

<p>Постарайтесь, чтобы ваш сын получил достаточное обезболивание во время и после процедуры. Местная анестезия может быть подходящей для мальчиков младше шести месяцев, но мальчикам старше шести месяцев рекомендуется делать либо общий наркоз, либо спинномозговую анестезию.</p>

<p>Убедитесь, что у вас будет возможность контакта с врачом, для последующего наблюдения после операции.</p>

<p> </p>",7716,2,"43,44,45,46,47,48,49,50,51,52,57,58",40,60,"831, 826, 131, 276, 341",,1,0,"<p><a href=""https://pediatrics.aappublications.org/content/130/3/585"">https://pediatrics.aappublications.org/content/130/3/585</a></p>

<p><a href=""https://raisingchildren.net.au/guides/a-z-health-reference/circumcision"">https://raisingchildren.net.au/guides/a-z-health-reference/circumcision</a></p>",ru,published
