ID,Title,Summary,Body,Cover_image,Category,Child_age,Child_gender,Parent_gender,Keywords,Related_articles,Australian_article,Mandatory_content,References_and_comments,Translation_language,Moderation_state
231,Детские половые органы: уход и гигиена,"<p>Ключевые моменты Содержание половых органов вашего ребенка в чистоте помогает предотвратить инфекции и сохранить его здоровье. Чтобы очистить половые органы ребенка, используйте теплую воду и ватный диск. Вам не нужно мыло.</p>","<h2>Гигиена половых органов младенцев</h2>

<p>Важно, чтобы половые органы вашего ребенка были чистыми. Это поможет предотвратить инфекции и сохранить здоровье вашего ребенка.</p>

<p>Чтобы очистить половые органы вашего ребенка, вы можете использовать теплую воду и ватный диск. Необязательно использовать мыло всегда. Если вы все же используете мыло, выберите мягкое мыло в состав которого входит увлажняющий крем и используйте небольшое количество. Убедитесь, что смываете мыло с тела ребенка до конца.</p>

<p>Вы можете мыть половые органы своего ребенка когда меняете подгузник и во время купания.</p>

<blockquote>
<p>Избегайте применение талька для тела вашего ребенке, в том числе для половых органов. В порошке талька есть мелкие частицы, которые ребенок может вдохнуть.</p>
</blockquote>

<h2>Очистка полового члена вашего сына</h2>

<p><strong>Если ваш мальчик обрезан</strong><br />
Если ваш сын обрезан, осторожно промывайте половой член и мошонку ребенка теплой водой и ватным тампоном. Вытрите пенис и мошонку ребенка, промокнув их мягким полотенцем.</p>

<p>Чтобы пенис вашего ребенка не прилипал к подгузнику, рекомендуется смазать внутреннюю переднюю часть подгузника вазелином или чем-то похожим.</p>

<p><strong>Если ваш мальчик необрезанный</strong><br />
Если ваш сын необрезанный, вам нужно очистить только <strong>наружную верхнюю часть.</strong> Вы можете очистить верхнюю часть изнутри, если кожа легко отодвигается сама по себе. Обычно это происходит, когда вашему мальчику 2–3 года, но иногда может произойти не раньше периода полового созревания.</p>

<p>Скопление вещества молочно-белого цвета (под названием смегма) в полости крайней плоти - это нормально. Он просто состоит из мертвых клеток кожи и естественных выделений.</p>

<h2>Очистка половых губ вашей дочери</h2>

<p>Кремы для подгузников, пот и другие вещества могут скапливаться внутри и вокруг половых губ. В общем, вам нужно только очистить половые губы, чтобы удалить следы фекалий.</p>

<p>Чтобы очистить половые губы девочки, намочите ватный тампон, раздвиньте ножки ребенка и протрите между половыми губами ватным тампоном. Аккуратно протирайте в направлении сверху вниз. Слегка промокните область половых органов ребенка мягким полотенцем.</p>

<p>Не используйте вагинальные дезодоранты или спринцевания. Они могут нарушить естественный химический баланс влагалища вашего ребенка и повысить риск заражения.</p>

<p>Вы можете заметить <strong>выделение</strong>, похожее на яичный белок. Это совершенно нормально, и вам не нужно его убирать. Если вы не уверены в каких-либо других выделениях, обратитесь к врачу или медсестре.</p>

<p>У новорожденных девочек обычно наблюдается небольшое количество кровянистых выделений из влагалища в первые несколько недель. Это нормальная реакция на гормоны мамы, поэтому не стоит волноваться. Но если выделения не проходят, следует обратиться к врачу.</p>",2726,2,"43,44,45,46,47,48",59,60,"131, 4776, 4816",,1,0,"<p><a href=""https://raisingchildren.net.au/newborns/health-daily-care/hygiene-keeping-clean/genitals-care-cleaning"">https://raisingchildren.net.au/newborns/health-daily-care/hygiene-keeping-clean/genitals-care-cleaning</a></p>",tj-ru,published
646,Аппендицит,"<p> Аппендицит возникает при воспалении аппендикса. Аппендикс представляет собой небольшую трубку, похожую на палец, которая вырастает из толстой кишки. Если у вашего ребенка боли в животе, которые могут быть аппендицитом, вам необходимо немедленно обратиться к врачу или в больницу. Разрыв аппендикса может быть опасным для жизни. Операция по удалению воспаленного аппендикса является предпочтительным методом лечения аппендицита.</p>","<h1>Что такое аппендицит?</h1>

<p>Аппендицит - это воспаление аппендикса, то есть аппендикс становится красным, опухшим и раздраженным. Аппендикс представляет собой небольшую трубку, похожую на палец, которая вырастает из толстой кишки.</p>

<h2>Симптомы аппендицита</h2>

<p>Главный симптом аппендицита - боль в животе.</p>

<p>Боль при аппендиците обычно начинается в середине живота ребенка, около пупка. Это может показаться тупой судорогой. В течение следующих нескольких часов боль усиливается. Часто боль концентрируется в нижней правой части живота, над аппендиксом.</p>

<p>Вашему ребенку может быть более неудобно, когда она пытается сидеть прямо или идти прямо. Боль часто усиливается, когда ребенок двигается.</p>

<p>У ребенка может появиться высокая температура, рвота, жидкий стул или запор, а также потеря аппетита.</p>

<p>Дети школьного возраста и подростки чаще болеют аппендицитом, чем дети дошкольного возраста и младенцы. Симптомы аппендицита у маленьких детей не так очевидны, как у подростков или взрослых. Вы можете даже не знать, что у маленького ребенка болит живот.</p>

<h2>Нужно ли вам с ребенком обратиться к врачу по поводу боли при аппендиците?</h2>

<p><strong>Да.</strong> Если у вашего ребенка усиливается боль в животе, обратитесь к врачу или в отделение  неотложной медицинской помощи.</p>

<p>Если ваш ребенок очень плохо себя чувствует и даже небольшое движение вызывает у него боль, немедленно доставьте его в отделение неотложной медицинской помощи. В этой ситуации может потребоваться вызвать скорую помощь.</p>

<p>Всегда есть риск разрыва воспаленного аппендикса и выделения гноя в брюшную полость. Это называется разрывом аппендикса. Это не очень распространено, но без лечения может быть опасным для жизни.</p>

<h2>Анализы на аппендицит</h2>

<p>Аппендицит бывает сложно диагностировать.</p>

<p>Ваш врач или врач отделения неотложной медицинской помощи могут назначить анализ мочи, чтобы исключить инфекцию мочевыводящих путей, а также анализ крови, чтобы увидеть, есть ли доказательства инфекции или воспаления.</p>

<p>Врач также может назначить УЗИ брюшной полости. </p>

<h2>Лечение аппендицита</h2>

<p><strong>Операция</strong> по удалению воспаленного аппендикса является предпочтительным методом лечения только у детей. Несмотря на то, что легкие случаи аппендицита у взрослых можно лечить только антибиотиками, хирургическое вмешательство по-прежнему является предпочтительным лечением у детей. </p>

<p>Есть два вида операций по удалению аппендикса:</p>

<ul>
	<li><strong>Хирургия замочной скважины</strong> (лапароскопия) - это когда камера и специальные инструменты вводятся через три небольших разреза в разные части живота ребенка.</li>
	<li><strong>Открытая операция</strong> - это когда ребенку делается один более крупный разрез в брюшной полости.</li>
</ul>

<p>Поскольку аппендикс не выполняет функции переваривания пищи, у вашего ребенка не будет проблем, если его удалят.</p>

<h2>Причины аппендицита</h2>

<p>Мы не знаем, что вызывает аппендицит. Одна из теорий заключается в том, что, если еда или фекалии застревают в аппендиксе, это может вызвать закупорку, а затем заразиться бактериями.</p>

<p>Мы также точно не знаем, почему у нас есть такой орган как аппендикс или какова его функция в нашем организме. Он мог выполнять некоторые функции во время эволюции и во время развития ребенка в утробе матери.</p>",8866,2,"48,49,50,51,52,57,58",59,60,"901, 306, 906, 911, 916",,1,0,"<p><a href=""https://raisingchildren.net.au/guides/a-z-health-reference/appendicitis"">https://raisingchildren.net.au/guides/a-z-health-reference/appendicitis</a></p>",tj-ru,published
1096,Детский сон: 2-12 месяцев,"<p>Большинство детей в возрасте до шести месяцев все еще нуждаются в кормлении и помощи в ночное время. По мере взросления младенцы нуждаются в меньшем количестве сна. Больше всего они спят по ночам. Другие явления, такие как ползание и тревога разлуки, могут повлиять на сон и успокоение детей старше шести месяцев.</p>","<h2>Как меняется сон ребенка в возрасте от 2 до 12 месяцев</h2>

<p>По мере взросления младенцы:</p>

<ul>
	<li>меньше спят днем</li>
	<li>дольше бодрствуют между снами</li>
	<li>дольше спят ночью и меньше просыпаются ночью</li>
	<li>в общем меньше нуждаются во сне.</li>
</ul>

<h2>2-3 месяца: чего ожидать от детского сна</h2>

<p>В этом возрасте младенцы спят и днем, и ночью. Они спят <strong>около 16 часов</strong> каждые 24 часа.</p>

<p>Младенцы спят <strong>циклами, длящимися около 40 минут</strong>. Младенцы двигаются и кряхтят во время активного сна и крепко спят во время глубокого сна.</p>

<p>Примерно через 2–3 месяца у детей <strong>начинает развиваться ночной и дневной режим сна</strong>. Это означает, что они, как правило, начинают больше спать по ночам.</p>

<h2>Около 3 месяцев: чего ожидать от детского сна</h2>

<p>Примерно через три месяца сон младенцев меняется на более длительные циклы легкого сна, глубокого сна и сновидения. Эти изменения могут означать меньшее пробуждение и восстановление во время сна.</p>

<p>В этом возрасте дети могут регулярно спать дольше по ночам - например, около 4-5 часов.</p>

<p>Младенцам по-прежнему необходимо <strong>около 16 часов сна</strong> каждые 24 часа.</p>

<h2>3-6 месяцев: чего ожидать от детского сна</h2>

<p>В этом возрасте младенцам необходимо спать <strong>14-16 часов</strong> каждые 24 часа.</p>

<p>Младенцы могут начать переходить к режиму 2-3 разового дневного сна продолжительностью до двух часов каждый.</p>

<p>А ночной сон в этом возрасте становится длиннее. Например, к шести месяцам <strong>дети могут спать ночью по шесть часов.</strong></p>

<p>Но вы можете ожидать, что ваш ребенок будет просыпаться хотя бы раз за ночь.</p>

<h2>6-12 месяцев: чего ожидать от детского сна</h2>

<p>С возрастом младенцы спят меньше. К тому времени, когда вашему ребенку исполнится год, ему, вероятно, потребуется <strong>12-16 часов</strong> сна каждые 24 часа.</p>

<p><strong>Ночной сон</strong><br />
Примерно с шести месяцев у большинства младенцев самый длинный сон приходится на ночь.</p>

<p>Большинство младенцев готовы ложиться спать с 18:00 до 20:00. Обычно им требуется менее 30 минут, чтобы заснуть, но примерно у 1 из 10 младенцев требуется больше времени.</p>

<p>В этом возрасте цикл сна ребенка становится ближе к циклу сна взрослого, а это означает, что он меньше просыпается ночью. Таким образом, ваш ребенок может не разбудить вас ночью или просыпаться реже.</p>

<p>К <strong>восьми месяцам</strong> большинство младенцев могут снова уснуть без помощи родителей. Другие продолжают просыпаться, если им нужна помощь, чтобы снова заснуть, или если они все еще сосут грудь или едят из бутылочки в ночное время.</p>

<p><strong>Дневной сон</strong><br />
В этом возрасте большинство младенцев все еще спят 1-2 раза в течение дня. Этот сон обычно длится 1-2 часа. Некоторые дети спят дольше, но до одной четверти детей спят менее часа.</p>

<h2>Как режим сна ребенка влияет на взрослых</h2>

<p>Большинство родителей младенцев в возрасте до шести месяцев все еще встают ночью, чтобы покормить и успокоить своих малышей. Для многих это продолжается и через шесть месяцев.</p>

<p>Некоторые родители считают, что это нормальным пока у них достаточно поддержки и они могут успеть поспать в другое время. Для других пробуждение ночью длительное время, оказывает на них и их семейную жизнь серьезное влияние.</p>

<p><strong>Качество сна может повлиять на ваше здоровье и настроение.</strong> Из-за истощения может быть трудно уделять ребенку позитивное внимание в течение дня. А ваши отношения с ребенком, время и внимание, которое вы уделяете ему в течение дня, могут повлиять на качество и количество сна ребенка.</p>

<p>Это цикл, который не подходит ни вам, ни вашему ребенку, поэтому с ним стоит что-то делать.</p>

<p>Если вы беспокоитесь о сне вашего ребенка, есть стратегии, которые вы можете использовать, чтобы изменить режим его сна. Если вы пробовали эти стратегии, но у вас ничего не получилось или трудности начинают вас расстраивать, обратитесь за профессиональной помощью. Есть способы позаботиться о том, чтобы все выспались так, как им нужно.</p>

<p> </p>",2521,2,"44,45,46,47,48",59,60,"96, 1761, 1766, 1771",,1,0,"<p>Imported Raising Children Australia Article <a href=""https://raisingchildren.net.au/babies/sleep/understanding-sleep/sleep-2-12-months"">https://raisingchildren.net.au/babies/sleep/understanding-sleep/sleep-2-12-months</a></p>",tj-ru,published
1146,Анафилаксия,"<p> Анафилаксия - это тяжелая аллергическая реакция, требующая неотложной медицинской помощи. Симптомы включают проблемы с дыханием, стеснение в горле или отек языка, затрудненную речь, хрипы, непрекращающийся кашель, головокружение и обмороки. Уложите ребенка ровно. Используйте автоинжектор адреналина, такой как EpiPen®. Затем вызовите скорую. Очень важно, чтобы дети с анафилаксией избегали аллергена, вызывающего анафилаксию. </p>","<h2>Об анафилаксии</h2>

<p>Анафилаксия - это <strong>тяжелая, опасная для жизни аллергическая реакция</strong>.</p>

<p>Анафилаксия возникает, когда ваш ребенок реагирует на что-то в окружающей среде, называемое аллергеном. Аллергенами могут быть что-то вроде еды, укусов насекомых или лекарств.</p>

<p>Анафилаксия требует неотложной медицинской помощи. Если у вашего ребенка анафилактическая реакция, сначала положите его на ровную поверхность или оставьте сидеть. Не позволяйте ему стоять или ходить. Затем используйте автоинжектор адреналина, такой как EpiPen®, если он доступен. Затем вызовите скорую.</p>

<h2>Симптомы анафилаксии</h2>

<p>Если у вашего ребенка тяжелая аллергическая реакция, у него могут быть один или несколько из следующих признаков или симптомов:</p>

<ul type=""disc"">
	<li>затрудненное или шумное дыхание</li>
	<li>отек языка</li>
	<li>стеснение в горле</li>
	<li>затруднения при разговоре и / или хриплый голос или плач</li>
	<li>хрип или постоянный кашель</li>
	<li>стойкое головокружение или обмороки</li>
	<li>бледность и вялость (у детей раннего возраста).</li>
</ul>

<p>Иногда анафилактическая реакция сначала может показаться легкой, но быстро ухудшается. Поэтому, если у вашего ребенка аллергия, важно внимательно следить за ним, когда у него возникает аллергическая реакция.</p>

<p>Анафилаксия обычно происходит в течение нескольких минут после контакта вашего ребенка с аллергеном. Но иногда это может произойти спустя 1-2 часа.</p>

<h2>Тестирование на анафилаксию</h2>

<p><strong>Важно</strong> определить, что вызывает у вашего ребенка аллергическую реакцию. Обычно это делается путем проведения теста на аллергию.</p>

<p>Большинство детей с аллергией на яйца, коровье молоко, пшеницу или соевые бобы перерастают свою аллергию к 5-10 годам.</p>

<p>Аллергия на арахис, древесный орех и рыбу чаще сохраняется на всю жизнь.</p>

<h2>Лечение анафилаксии</h2>

<p>Адреналин используется для лечения анафилаксии. Он очень быстро устраняет симптомы анафилаксии.</p>

<p>Если ваш ребенок подвержен риску анафилаксии, ему, скорее всего<strong>, пропишут автоинжектор адреналина,</strong> например EpiPen®.</p>

<p>Важно, чтобы и вы, и ваш ребенок узнали, как и когда его использовать. Вы и / или ваш ребенок должны постоянно носить с собой автоинжектор адреналина. Вы также можете научить других - семью, друзей, учителей и опекунов - как пользоваться им.</p>

<p><strong>Если вы считаете, что у вашего ребенка серьезная аллергическая реакция, безопаснее ввести автоинжектор адреналин и не ждать! </strong></p>

<p><strong>Отказавшись от введения автоинжектор адреналина можно нанести больше вреда, чем если его вводить когда это не требуется.</strong></p>

<h2>Управление анафилаксией</h2>

<p><strong>Избегайте аллергена</strong><br />
Вашему ребенку очень важно избегать аллергена, вызывающего анафилаксию. Это может быть сложно, но вы можете предпринять меры, чтобы помочь ребенку.</p>

<p>Что вы можете предпринять, если у вашего ребенка <strong>пищевая аллергия</strong>:</p>

<ul type=""disc"">
	<li>Читайте этикетки на всех продуктах. </li>
	<li>Будьте осторожны, когда едите вне дома. </li>
	<li>Избегайте любых продуктов или столовых приборов, которые могли контактировать с аллергеном. </li>
	<li>Учите ребенка не делиться едой. </li>
</ul>

<p>Что делать, если у вашего ребенка аллергия на <strong>укусы насекомых</strong>:</p>

<ul type=""disc"">
	<li>Не позволяйте ребенку ходить босиком по траве.</li>
	<li>Избегайте одевать ребенка в яркие цвета.</li>
	<li>По возможности одевайте ребенка в рубашки и брюки с длинными рукавами.</li>
	<li>Учите ребенка не пить из открытых банок с прохладительными напитками на открытом воздухе.</li>
</ul>

<p>Если у вашего ребенка аллергия на <strong>лекарства</strong>, сообщите об этом своему врачу, фармацевту или дантисту, прежде чем ваш ребенок будет лечиться или принимать какие-либо лекарства.</p>

<p><strong>Дайте людям знать</strong><br />
Важно, чтобы ключевые люди, такие как семья, опекуны, няни и школа вашего ребенка, знали, что у вашего ребенка тяжелая аллергия. </p>

<p><strong>Обсудите аллергическую иммунотерапию (</strong> также называемую десенсибилизацией) <strong>с аллергологом.</strong></p>

<p> </p>",8971,2,"43,44,45,46,47,48,49,50,51,52,57,58",59,60,"1566, 1571, 1576",,1,0,"<p>Imported Raising Children Australia Article <a href=""https://raisingchildren.net.au/guides/a-z-health-reference/anaphylaxis"">https://raisingchildren.net.au/guides/a-z-health-reference/anaphylaxis</a></p>",tj-ru,published
1151,Анемия,"<p> Анемия чаще всего вызывается дефицитом железа. Многие младенцы и дети заболевают анемией. В случае если ваш ребенок выглядит очень бледным, раздражительным и очень уставшим, необходимо обратитесь к врачу. Лечение железодефицитной анемии обычно включает добавление в рацион вашего ребенка продуктов, богатых железом и введение добавок железа, чтобы помочь вернуть уровень железа в норму. </p>","<h2>Что такое анемия?</h2>

<p>Анемия - это когда у вас в клетках крови недостаточно эритроцитов или не хватает гемоглобина.</p>

<p>Есть много причин анемии.</p>

<h2>Железодефицитная анемия</h2>

<p>Анемия чаще всего возникает из-за нехватки железа, которое необходимо вашему организму для выработки гемоглобина. Этот тип анемии известен как железодефицитная анемия.</p>

<p><strong>Недостаток железа в рационе вашего ребенка</strong><br />
У вашего ребенка может развиться железодефицитная анемия, если он не получает достаточного количества железа из своего рациона.</p>

<p>У <strong>младенцев, </strong>это может произойти, если ребенок находится на исключительно грудном вскармливании после шести месяцев. Примерно к этому возрасту ваш ребенок израсходует все запасы железа, накопленные в утробе матери. Ваш ребенок не может получить необходимое ему железо только из грудного молока, потому что это плохой источник железа.</p>

<p><strong>В более старшем возрасте,</strong> ваш ребенок может заболеть железодефицитной анемией, если он:</p>

<ul>
	<li>пьет слишком много коровьего молока или пьет чай - эти напитки снижают абсорбцию железа из пищи;</li>
	<li>не ест достаточно продуктов с железом;</li>
	<li>у него имеется такое заболевание, как глютеновая болезнь, которая мешает ему хорошо усваивать железо из пищи.</li>
</ul>

<p><strong>Другие причины железодефицитной анемии</strong></p>

<p>Железодефицитная анемия может быть особенно серьезной проблемой для младенцев:</p>

<ul>
	<li>которые родились преждевременно;</li>
	<li>которые были очень больны в младенчестве;</li>
	<li>чьи мамы страдали дефицитом железа на поздних сроках беременности.</li>
</ul>

<p>Дефицит железа также может быть вызван <strong>кровопотерей.</strong> Дети могут терять кровь со стулом из-за заболеваний кишечника. Девочки-подростки подвержены риску железодефицитной анемии, если у них частые, продолжительные или очень тяжелые периоды.</p>

<h2>Анемия, вызванная другими недостатками или проблемами</h2>

<p>Если ваш ребенок <strong>не получает достаточного количества</strong> <strong>витамина B12 или фолиевой кислоты</strong> из своего рациона, он может заболеть анемией.</p>

<p>Еще одна причина анемии - <strong>гемолиз</strong>. Это когда организм разрушает слишком много красных кровяных телец. Эта ситуация может быть связана с генетическими заболеваниями, такими как серповидноклеточная анемия или талассемия, а также с инфекцией.</p>

<h2>Симптомы анемии</h2>

<p>Если у вашего ребенка анемия, он может выглядеть очень <strong>бледным</strong>.</p>

<p>Малыш может сильно <strong>уставать</strong>. </p>

<p>Ваш ребенок может быть <strong>капризным,</strong> и им сложно управлять. Дети постарше могут быть очень уставшими, иметь плохой аппетит и им трудно сосредоточиться в школе.</p>

<h2>Когда обращаться к врачу по поводу симптомов анемии</h2>

<p>Отведите ребенка к врачу, если он:</p>

<ul>
	<li>выглядит слишком бледным;</li>
	<li>раздражителен;</li>
	<li>не имеет достаточной энергии;</li>
	<li>жалуется на частые головные боли;</li>
	<li>не набирает достаточно вес или плохо ест.</li>
</ul>

<h2>Анализы на анемию</h2>

<p>Если врач считает, что у вашего ребенка анемия, он обычно назначает анализы крови, чтобы определить уровень гемоглобина в крови. </p>

<p>Существуют справочные таблицы с нормальным уровнем гемоглобина для каждого возраста. </p>

<p>Иногда необходимо провести другие тесты для определения причины анемии.</p>

<h2>Лечение анемии</h2>

<p>Лечение анемии зависит от причины.</p>

<p>Если у вашего ребенка анемия, вызванная недостатком железа, добавление в его рацион продуктов, богатых железом, может помочь повысить его уровень железа. К продуктам, богатым железом, относятся:</p>

<ul>
	<li>цельнозерновые и обогащенные железом злаки;</li>
	<li>бобовые - например, чечевица и фасоль;</li>
	<li>мясо - например, красное мясо, курица и рыба;</li>
	<li>яичный желток;</li>
	<li>темно-зеленые листовые овощи - например, шпинат;</li>
	<li>измельченные семена кунжута - например, тахини или халва;</li>
</ul>

<p>Одного изменения диеты вашего ребенка может быть недостаточно. Возможно, ему также потребуется принимать <strong>добавки железа</strong> (таблетки или сироп), чтобы нормализовать уровень железа. Добавки железа могут сделать стул вашего ребенка черным или серым, а также вызвать запор или расстройство желудка. Об этих и других побочных эффектах рекомендуется поговорить со своим врачом.</p>

<p>Очень редко вашему ребенку может потребоваться вливание или инъекция железа.</p>

<p>Если анемия вызвана чем-то другим, кроме дефицита железа, вашему ребенку могут потребоваться дополнительные анализы и лечение. </p>

<h2>Профилактика анемии</h2>

<p><strong>Младенцы</strong></p>

<p>Когда вы вводите твердую пищу в рацион вашего ребенка примерно в возрасте шести месяцев, лучше всего включать в него много продуктов, богатых железом.</p>

<p>Во многих странах рекомендуется давать всем детям в возрасте от 4 до 18 месяцев ежедневный раствор железа для предотвращения дефицита железа.</p>

<p>Вы можете добавить пастеризованное, неароматизированное, жирное коровье молоко в рацион ребенка после 12 месяцев. Но постарайтесь ограничить количество коровьего молока, которое выпивает ваш ребенок, не более 500 мл в день. </p>

<p><strong>Дети и подростки</strong></p>

<p>По мере того, как ваш ребенок растет, предлагайте ему много здоровой и питательной пищи из пяти пищевых групп. Сбалансированная диета может помочь предотвратить анемию, вызванную недостатком железа, фолиевой кислоты или витамина B12. Ограничьте потребление коровьего молока до не более 500 мл в день.</p>

<p> </p>",8836,2,"43,44,45,46,47,48,49,50,51,52,57,58",59,60,"1916, 1921, 1926, 1931",,1,0,"<p>Imported Raising Children Australia Article: <a href=""https://raisingchildren.net.au/guides/a-z-health-reference/anaemia"">https://raisingchildren.net.au/guides/a-z-health-reference/anaemia</a></p>",tj-ru,published
3026,Подробнее о росте в первые 6 месяцев - вес соответствует длине тела / росту,"<p>Браво! Ваш ребенок хорошо растет, и его вес гармонирует с его ростом. Продолжайте соблюдать рекомендации по оптимальному питанию, физической активности и сну. Следите за ростом вашего ребенка.</p>

<p> </p>","<p>Браво! Ваш ребенок хорошо растет, и его вес гармонирует с его ростом. Продолжайте соблюдать рекомендации по оптимальному питанию, физической активности и сну. Следите за ростом вашего ребенка.</p>

<p> </p>",6446,5,"43,44,45,46",59,60,4751,"3401, 3341, 3346, 3416",0,1,,tj-ru,published
3031,Подробнее о росте 7-9 месяцев - вес соответствует длине тела/ росту,"<p>Браво! Ваш ребенок хорошо растет, и его вес гармонирует с его ростом. Продолжайте соблюдать рекомендации по оптимальному питанию, физической активности и сну. Следите за ростом вашего ребенка.</p>

<p> </p>","<p>Браво! Ваш ребенок хорошо растет, и его вес гармонирует с его ростом. Продолжайте соблюдать рекомендации по оптимальному питанию, физической активности и сну. Следите за ростом вашего ребенка.</p>

<p> </p>",6446,5,47,59,60,4751,"3406, 3351, 3346, 3416",0,1,,tj-ru,published
3036,Подробнее о росте 10-12 месяцев - вес соответствует длине тела/ росту,"<p>Браво! Ваш ребенок хорошо растет, и его вес гармонирует с его ростом. Продолжайте соблюдать рекомендации по оптимальному питанию, физической активности и сну. Следите за ростом вашего ребенка.</p>","<p>Браво! Ваш ребенок хорошо растет, и его вес гармонирует с его ростом. Продолжайте соблюдать рекомендации по оптимальному питанию, физической активности и сну. Следите за ростом вашего ребенка.</p>",6446,5,48,59,60,4751,"3411, 3356, 3346, 3416",0,1,,tj-ru,published
3041,Подробнее о росте 13-24 месяцев - вес соответствует длине тела/ росту,"<p>Браво! Ваш ребенок хорошо растет, и его вес гармонирует с его ростом. Продолжайте соблюдать рекомендации по оптимальному питанию, физической активности и сну. Следите за ростом вашего ребенка.</p>","<p>Браво! Ваш ребенок хорошо растет, и его вес гармонирует с его ростом. Продолжайте соблюдать рекомендации по оптимальному питанию, физической активности и сну. Следите за ростом вашего ребенка.</p>",6446,5,"49,50",59,60,4751,"3391, 3386, 3361, 3416",0,1,,tj-ru,published
3046,Подробнее о росте 25-60 месяцев - вес соответствует росту,"<p>Браво! Ваш ребенок хорошо растет, и его вес гармонирует с его ростом. Продолжайте соблюдать рекомендации по оптимальному питанию, физической активности и сну. Следите за ростом вашего ребенка.</p>","<p>Браво! Ваш ребенок хорошо растет, и его вес гармонирует с его ростом. Продолжайте соблюдать рекомендации по оптимальному питанию, физической активности и сну. Следите за ростом вашего ребенка.</p>",6446,5,"50,51,52,57,58",59,60,4751,"3396, 5891, 3366, 3416",0,1,,tj-ru,published
