ID,Title,Child_age,Pinned_article_boy,Pinned_article_girl,Milestone_instructions,Mandatory_content,Moderation_state
12001,1 muajsh- Njohja e njeri-tjetrit,1st month,3466,3461,"<p>
Vëzhgoni sjelljen e foshnjës tuaj dhe bisedoni me pediatrin ose infermieren qe ben vizitat ne shtepi nëse vëreni se në fund të muajit të parë foshnja juaj:   
</p><ul><li>
po qan shumë dhe ju nuk jeni në gjendje ta qetesoni foshnjën tuaj  
</li><li>  
thith dobët dhe ushqehet shumë ngadalë  
</li><li>  
fle më shumë sesa pritej (më shumë se 16 orë në ditë), ose nuk fle i qetë   
</li><li>  
nuk lëviz fare krahët ose këmbët e tij / saj   
</li><li>  
nuk trembet kur bëhet një zhurmë e fortë  
</li><li>  
nuk mbyll sytë nga prania e dritave te ndritshme
</li></ul>",1,published
12002,2 muajsh-regullimi reciprok dhe vendosja e rutines,2nd month,3476,3471,"<p>
Vëzhgoni sjelljen e foshnjës tuaj dhe bisedoni me pediatrin ose infermieren qe ben vizitat ne shtepi nëse vëreni se në fund të muajit të dyte foshnja juaj:    
</p><ul><li>
shpesh qan shumë, dhe zakonisht nuk jeni në gjendje ta qetësoni fëmijën tuaj 
</li><li>  
nuk ju shikon ne fytyre ju ose te tjeret, edhe për një kohë të shkurtër 
</li><li>    
nuk reagon ndaj dritës së ndritshme ose tingujve me zë të lartë 
</li><li>  
nuk ushqehet apo fle mirë (ose fle më shumë se 16 orë në ditë)
</li><li>   
nuk po lëviz fare krahet apo kembet e tij / saj 
</li><li> 
nuk i fut duart në gojën e tij / saj  
</li><li>   
nuk po u buzëqesh njerëzve
</li></ul>",1,published
12003,3-4 muaj-Pervoja te ndryshme,3-4 months,3486,3481,"<p>
Vëzhgoni sjelljen e foshnjës tuaj dhe bisedoni me pediatrin ose infermieren qe ben vizitat ne shtepi nëse vëreni se në fund të muajit të katert foshnja juaj:     
</p><ul><li>
 shpesh qan shumë dhe nuk mund të qetesohet 
</li><li>  
nuk ben kontaktin sy me sy ose nuk u kushton vemendje fytyrave te njerezve rreth e rrotull  
</li><li>   
nuk i ndjek objektet qe i levizin para fytyres se saj / tij 
</li><li>    
nuk leshon asnje tingull ose nuk u pergjigjet tingujve qe i drejtohen foshnjes
</li><li>    
nuk mban koken ne menyre te qendrueshme per nje kohe te caktuar 
</li><li>   
nuk po tenton te arrije apo te kape një lodër ose objekt që është para saj / tij  
</li><li>  
nuk tenton te fute gjëra në gojën e saj / tij 
</li></ul>  ",1,
12004,5-6 muajsh-eksplorim intensiv ,5-6 months,3496,3491,"<p>
Vëzhgoni sjelljen e foshnjës tuaj dhe bisedoni me pediatrin ose infermieren qe ben vizitat ne shtepi nëse vëreni se në fund të muajit të gjashte foshnja juaj:     
</p><ul><li>
rregullisht qan për një kohë të gjatë dhe nuk mund të qetesohet   
</li><li>
nuk po kontakton sytë me ju ose nuk po ndjek objektet në lëvizje me sytë e saj / tij   
</li><li>
nuk nxjerr tinguj apo duket sikur  “llomotit“ ose nuk kthehet drejt burimit të një tingulli qe i drejtohet atij  
</li><li>
nuk qesh ose nuk bën tinguj si piskatje  
</li><li>
nuk po rrotullohet   
</li><li>
nuk ka kontroll mbi qafën dhe kokën e tij / saj   
</li><li>
nuk mund qendroje ulur as me ndihmën dhe mbështetjen tuaj    
</li><li>
nuk i kërkon fare objektet edhe kur e inkurajoni femijen qe ta bëjë këtë 
</li><li>
nuk përpiqet qe të marrë gjëra edhe pse mundet ti arrije ato 
</li><li>
 ka vështirësi për të futur gjërat në gojën e saj / tij  
</li></ul>",1,
12005,7-9 muajsh -Zbulime te reja,7-9 months,3511,3506,"<p>
Vëzhgoni sjelljen e foshnjës tuaj dhe bisedoni me pediatrin ose infermieren qe ben vizitat ne shtepi nëse vëreni se në fund të muajit të nente foshnja juaj:    
</p><ul><li>
nuk po kontakton sytë me ju ose nuk po ndjek objektet në lëvizje
</li><li> 
nuk po belbezon (""mama"", ""baba"", etj.) 
</li><li>
nuk e kthen kokën drejt një burimi zanor   
</li><li>
nuk shikon atje ku ju i tregoni me gisht
</li><li>
nuk tregon dashuri për prinderit apo kujdestarët e tij / saj - nuk u buzëqesh atyre   
</li><li>
nuk i përgjigjet emrit të saj / tij 
</li><li>
nuk duket se i njeh njerëzit e njohur ose familjaret 
</li><li>
nuk po rrotullohet
</li><li>  
kur e ngrini lart foshnjen tuaj, ai / ajo është ose shume i leshuar, hipotonik ose shumë i ngurtë 
</li><li>
nuk mund të qendroje ulur as me ndihmën dhe mbështetjen tuaj 
</li><li>
ka vështirësi në të ngrënit e ushqimit të fortë. 
</li></ul>",1,
12006,10-12 muaj- Krijimi i zakoneve dhe qëndrueshmërisë,10-12 months,3521,3516,"<p>
Vëzhgoni sjelljen e femijes tuaj dhe bisedoni me pediatrin nëse vëreni se në fund të vitit te pare femija juaj: 
</p><ul><li>
nuk ben kontaktin sy me sy me personat qe ka rreth e rrotull ose nuk po ndjek objektet në lëvizje  
</li><li>
nuk interesohet për tingujt apo zhurmat
</li><li>
nuk i përgjigjet emrit të tij / saj kur e therrisni ne emer
</li><li>
nuk po belbezon apo flet ne zhargonin e vet 
</li><li>
nuk po përpiqet t'ju tregoje me asnjë mënyrë se cilat janë dëshirat ose nevojat e tij / saj
</li><li>
nuk po tregon objektet me gishtin tregues 
</li><li>
nuk tregon emocione
</li><li>
nuk po zvarritet
</li></ul> 
",1,
12007,13-18 muaj- Fjala e pare dhe hapi i pare,13-18 months,3531,3526,"<p>
Vëzhgoni sjelljen e femijes tuaj dhe bisedoni me pediatrin nëse vëreni se femija juaj: 
</p><ul><li>
ka vështirësi për të parë ose dëgjuar disa gjëra
</li><li>
nuk thotë asnjë fjalë të vetme 
</li><li>
e ka të vështirë të ndjekë udhëzime edhe kur jane  të drejtpërdrejta 
</li><li>
nuk përdor gjeste dhe gishtin tregues në komunikim 
</li><li>
nuk krijon kontakt me sy dhe nuk pranon te përqafohet 
</li><li>
nuk ecën në mënyrë të pavarur  
</li></ul>",1,
12008,19-24 muaj-Fillon te behet I pavarur,19-24 months,3541,3536,"<p>
Vëzhgoni sjelljen e femijes tuaj dhe bisedoni me pediatrin nëse vëreni se në fund të vitit te dyte femija juaj:   
</p><ul><li> 
Nuk ju shikon (mungon kontakti me sy)
</li><li>
Ka vështirësi për të parë ose dëgjuar disa gjëra  
</li><li>
Nuk thotë asnjë fjalë të vetme  
</li><li>
Nuk tregon objektet me gishtin tregues 
</li><li>
Nuk ndjek udhëzime të thjeshta 
</li><li>
Nuk tregon ndjenja
</li><li>
Nuk po ecën në mënyrë të qëndrueshme  
</li></ul>",1,
12009,25-36 muaj-Imagjinata fillon të zhvillohet,25-36 months,3551,3546,"<p>
Vëzhgoni sjelljen e femijes tuaj dhe bisedoni me pediatrin nëse vëreni se në fund të vitit te trete femija juaj: 
</p><ul><li>
Nuk ju shikon (mungon kontakti me sy)
</li><li>
Ka vështirësi të dëgjojë ose të shohë disa gjëra  
</li><li>
Nuk flet me fjali të shkurtra (të paktën 3 fjalë së bashku)  
</li><li>
 E folura eshte e paqarte, nuk kuptohet   
</li><li>
Nuk ndjek udhëzime të thjeshta 
</li><li>
Nuk dëshiron të luajë me fëmijë të tjerë ose me lodra dhe sende të tjera
</li><li>
Nuk bën loje imituese apo loje imagjinare 
</li><li>
Nuk vrapon  
</li><li>
Nuk ben shkarravitje apo te vizatoje
</li><li>
Nuk mund të mbajë sende të vogla në dorën e saj / tij. 
</li></ul>",1,
12010,37-48 muaj-Ben pyetje,37-48 months ,6961,6936,"<p>
Vëzhgoni sjelljen e femijes tuaj dhe bisedoni me pediatrin nëse vëreni se në fund të vitit te katert femija juaj:   
</p><ul><li>                                                                                                                                                                                Nuk tregon interes për të luajtur lojëra me të tjerët ose për të luajtur lojëra imagjinare
</li><li>
Injoron fëmijët e tjerë ose nuk u përgjigjet njerëzve jashtë familjes
</li><li>
Nuk mund të kërcej pupthi në vend
</li><li>
Ka vështirësi kur ben shkarravitje ne leter me laps(duke bërë shenja në letër)
</li><li>
Nuk ndjek një udhëzim me tre pjesë
</li><li>
Nuk mund të tregoj një histori të preferuar
</li></ul>",1,
