ID,Title,Child_age,Milestone_instructions,Mandatory_content,Moderation_state
12001,1 месяц – знакомимся,1st month,"<p>
Наблюдайте за поведением ребенка и обратитесь к педиатру, если заметите, что к концу первого месяца ваш ребенок: 
</p><ul><li>
много плачет, а вы не можете его успокоить
</li><li>  
плохо сосет и очень медленно ест
</li><li>  
спит больше ожидаемого (более 16 часов в сутки) или спит беспокойно
</li><li>  
вообще не двигает руками или ногами
</li><li>  
не вздрагивает при громком шуме 
</li><li>  
не мигает при ярком свете.
</li></ul>",1,published
12002,2 месяца – привыкаем и вырабатываем распорядок,2nd month,"<p>
Наблюдайте за поведением ребенка и обратитесь к педиатру или приходящей медсестре, если заметите, что к концу второго месяца ваш ребенок: 
</p><ul><li>
часто плачет и вы обычно не можете его успокоить
</li><li>
не смотрит на лица даже  короткое время
</li><li>
не реагирует на яркий свет или громкие звуки
</li><li>
плохо ест или спит (или спит более 16 часов в сутки)
</li><li>
вообще не двигает руками или ногами
</li><li>
не тащит свою руку в рот
</li><li>
не улыбается людям.
</li></ul>",1,published
12003,3–4 месяца – разный опыт,3-4 months,"<p>
Наблюдайте за поведением ребенка и обратитесь к педиатру или приходящей медсестре, если заметите, что к концу четвертого месяца ваш ребенок:  
</p><ul><li>
 часто много плачет и его не получается успокоить
</li><li>
не смотрит в глаза и не обращает внимания на лица людей
</li><li>
не наблюдает за движением предметов
</li><li>
не издает никаких звуков и не реагирует на звуки
</li><li>
не держит голову
</li><li>
не тянется за игрушкой или предметом, который находится перед ним
</li><li>
не тянет предметы в рот.
</li></ul>",1,published
12004,5–6 месяцев – активное исследование,5-6 months,"<p>
Наблюдайте за поведением ребенка и обратитесь к педиатру или приходящей медсестре, если заметите, что к концу шестого месяца ваш ребенок:  
</p><ul><li>
регулярно плачет долго и его сложно успокоить
</li><li>
не смотрит вам в глаза или не следит за движущимися объектами глазами
</li><li>
не гулит и не поворачивается к источнику звука
</li><li>
не смеется и не повизгивает
</li><li>
не переворачивается
</li><li>
не контролирует свою шею и голову
</li><li>
не может сидеть даже с вашей помощью и поддержкой
</li><li>
вообще не тянется к предметам, даже когда вы поощряете его к этому
</li><li>
не пытается дотянуться до того, что рядом
</li><li>
испытывает трудности с тем, чтобы что-то поднести ко рту.
</li></ul>",1,published
12005,7–9 месяцев – новые открытия,7-9 months,"<p>
Наблюдайте за поведением ребенка и обратитесь к педиатру или приходящей медсестре, если заметите, что к концу девятого месяца ваш ребенок:  
</p><ul><li>
не смотрит вам в глаза или не следит за движущимися объектами глазами
</li><li>
не гулит
</li><li>
не поворачивает голову к источнику звука
</li><li>
не смотрит, куда вы указываете
</li><li>
не проявляет привязанности к близким – не улыбается им
</li><li>
не откликается на свое имя
</li><li>
не узнает знакомых людей
</li><li>
не перекатывается
</li><li>
когда вы поднимаете его, его тело слишком расслаблено или слишком напряжено
</li><li>
не может сидеть даже с вашей помощью и поддержкой
</li><li>
испытывает трудности с твердой пищей.
</li></ul>
",1,published
12006,10–12 месяцев – вырабатываем привычки и последовательность,10-12 months,"<p>
Наблюдайте за поведением ребенка и обратитесь к педиатру, если заметите, что к концу первого года ваш ребенок: 
</p><ul><li>
не смотрит вам в глаза или не следит за движущимися объектами глазами
</li><li>
не реагирует на звуки
</li><li>
не откликается на свое имя, когда вы его зовете
</li><li>
не болтает
</li><li>
никоим образом не пытается сообщить вам о своих желаниях или потребностях
</li><li>
не указывает на предметы
</li><li>
не проявляет эмоций
</li><li>
не ползает.
</li></ul>",1,published
12007,13–18 месяцев – первый шаг и первое слово,13-18 months,"<p>
Наблюдайте за поведением ребенка и обратитесь к педиатру, если заметите, что ваше ребенок: 
</p><ul><li>
что-то плохо видит или слышит
</li><li>
не говорит ни слова
</li><li>
затрудняется выполнять даже простые указания
</li><li>
не использует жесты и не показывает пальцем при общении
</li><li>
не смотрит вам в глаза и не обнимает
</li><li>
не ходит самостоятельно.
</li></ul>",1,published
12008,19–24 месяца – приобретаем независимость,19-24 months,"<p>
Наблюдайте за поведение ребенка и обратитесь к педиатру, если заметите, что к концу второго года ваш ребенок:
</p><ul><li> 
не смотрит на вас (в глаза)
</li><li>
испытывает трудности с тем, чтобы видеть или слышать в определенных ситуациях
</li><li>
не говорит ни слова
</li><li>
не указывает на предметы
</li><li>
не следует простым указаниям
</li><li>
не проявляет чувств
</li><li>
не ходит устойчиво.
</li></ul>",1,published
12009,25–36 месяцев – начинает развиваться воображение,25-36 months,"<p>
Наблюдайте за поведением ребенка и обратитесь к педиатру, если заметите, что к концу третьего года ваш ребенок: 
</p><ul><li>
не смотрит на вас (в глаза)
</li><li>
плохо слышит или видит некоторые вещи
</li><li>
не говорит короткими предложениями (минимум 3 слова вместе)
</li><li>
говорит очень неразборчиво
</li><li>
не следует простым указаниям
</li><li>
не хочет играть с другими детьми, игрушками и другими предметами
</li><li>
не притворяется и не подыгрывает во время игры
</li><li>
не бегает
</li><li>
не пишет и не рисует
</li><li>
не может держать в руке мелкие предметы.
</li></ul>",1,published
12010,37–48 месяцев – задаем вопросы,37-48 months ,"<p>
Наблюдайте за поведением ребенка и обратитесь к педиатру, если заметите, что к концу четвертого года ваш ребенок:   
</p><ul><li>                                                                                                                                                                                не проявляет интереса к играм с другими или к играм, где нужно подыгрывать.
</li><li>
игнорирует других детей или не реагирует на людей вне семьи
</li><li>
не может подпрыгнуть на месте
</li><li>
не может ничего написать (сделать пометки на бумаге)
</li><li>
не следует указаниями, состоящим из трех частей.
</li><li>
не может рассказать любимую сказку или историю.
</li></ul>",1,published
