ID,Title,Child_age,Milestone_instructions,Mandatory_content,Moderation_state
12001,1 месец - Период за взаимно опознаване,1st month,"<p>
Наблюдавайте поведението на бебето и говорете с педиатър, ако забележите, че в края на първия месец то:
</p><ul><li>
плаче продължително и не успявате да го утешите
</li><li>  
суче слабо или се храни много бавно
</li><li>  
спи повече от очакваното (повече от 16 часа на денонощие) или не спи спокойно
</li><li>  
изобщо не движи ръцете и/или краката си
</li><li>  
не се стряска при внезапен силен шум
</li><li>  
не примигва при ярка светлина
</li></ul>",1,published
12002,2 месеца - взаимно напасване и установяване на рутини,2nd month,"<p>
Наблюдавайте поведението на бебето и говорете с Вашия педиатър, ако забележите, че в края на втория месец то: 
</p><ul><li>
често плаче продължително и обикновено не успявате да го успокоите
</li><li>  
не се вглежда в лица, дори и за кратко време
</li><li>    
не реагира на ярка светлина или силни звуци
</li><li>  
не се храни или не спи добре (или спи повече от 16 часа на ден)
</li><li>   
изобщо не движи ръцете и/или краката си
</li><li> 
не придвижва ръката към устата си 
</li><li>   
не се усмихва.
</li></ul>",1,published
12003,3-4 месеца - разнообразен опит,3-4 months,"<p>
Наблюдавайте поведението на бебето и говорете с педиатър, ако забележите, че в края на четвъртия месец то:  
</p><ul><li>
често плаче продължително и неуспява да се успокои
</li><li>  
не прави очен контакт и не се вглежда в лицата на хората, които вижда 
</li><li>   
не проследява движещи се предмети
</li><li>    
не издава звуци или не отговаря на звуци
</li><li>    
не задържа главичката си стабилно
</li><li>   
не посяга към предмет поставен пред него/нея
</li><li>  
не поднася предмети към устата си. 
</li></ul>  ",1,published
12004,5-6 месеца - интензивно проучване,5-6 months,"<p>
Наблюдавайте поведението на бебето и говорете с педиатър, ако забележите, че в края на шестия месец то:    
</p><ul><li>
често плаче продължително и не успява да се успокои 
</li><li>
iне прави очен контакт с Вас или не проследява с очи движещи се предмети  
</li><li>
не издава звуци или не се обръща по посока на звука  
</li><li>
не се смее или издава пищящи звуци  
</li><li>
не се преобръща (от корем по гръб и обратно)
</li><li>
не контролира движенията на главата и врата си  
</li><li>
не сяда дори и с помощ   
</li><li>
не посяга към предмети, дори и след като го насърчавате да го направи
</li><li>
не опитва да вземе неща, които са близо до него
</li><li>
затруднява се да поднесе предмет към устата си
</li></ul>
",1,published
12005,7-9 месеца - нови открития,7-9 months,"<p>
Наблюдавайте поведението на бебето и говорете с педиатър, ако забележите, че в края на деветия месец то:  
</p><ul><li>
не осъществява очен контакт с Вас или не проседява движещи се обекти
</li><li> 
не комбинира звуци (“мама,” “тата,” други) 
</li><li>
не насочва глава към посока на източник на звук  
</li><li>
не поглежда натам, накъдето посочвате
</li><li>
не показва обич/привързаност към най-близките, основно грижещи се за него - не им се усмихва
</li><li>
не реагира, когато чуе собственото си име
</li><li>
изглежда, че не разпознава познати хора
</li><li>
не се преобръща
</li><li>  
когато го повдигнете или е твърде отпуснат или е твърде скован
</li><li>
не сяда, дори с подкрепа
</li><li>
има трудности с приема на храна, различна от кърма или мляко за кърмачета
</li></ul>",1,published
12006,10-12 месеца - изграждане на навици и последователност,10-12 months,"<p>
Наблюдавайте поведението на детето си и говорете с вашия педиатър, ако забележите, че в края на първата година то: 
</p><ul><li>
не прави очен контакт с Вас или не проследява с очи движещи се обекти 
</li><li>
не проявява интерес към звуци 
</li><li>
не реагира на името си
</li><li>
не издава звуци, напомнящи на срички
</li><li>
не се опитва по никакъв начин да ви покаже какви са неговите желания или нужди
</li><li>
не посочва обекти 
</li><li>
не показва емоции
</li><li>
не пълзи
</li></ul> 
",1,published
12007,13-18 месеца - първата стъпка и първата дума,13-18 months,"<p>
Наблюдавайте поведението на детето си и говорете с педиатър, ако забележите, че то: 
</p><ul><li>
има затруднения да вижда или чува някои неща  
</li><li>
не казва нито една дума  
</li><li>
затруднява да следва дори директни прости инструкции  
</li><li>
не използва жестове и посочване в комуникацията  
</li><li>
не осъществява очен контакт с вас и не се гушка  
</li><li>
не ходи самостоятелно. 
</li></ul>",1,published
12008,19-24 месеца - постигане на независимост,19-24 months,"<p>
Наблюдавайте поведението на детето си и говорете с педиатър, ако забележите, че в края на втората година то:
</p><ul><li> 
Не прави очен контакт с Вас
</li><li>
има затруднения да вижда или чува определени неща  
</li><li>
не казва нито една дума  
</li><li>
не посочва предмети  
</li><li>
не изпълнява прости инстукции  
</li><li>
не показва чувства  
</li><li>
не ходи стабилно  
</li></ul>",1,published
12009,25-36 месеца - въображението разцъфтява,25-36 months,"<p>
Наблюдавайте поведението на детето си и говорете с педиатър, ако забележите, че в края на третата година то: 
</p><ul><li>
Не прави очен контакт с Вас
</li><li>
има затруднения да чуе или види някои неща  
</li><li>
не говори с кратки изречения (поне 3 думи заедно)  
</li><li>
има много неясна реч  
</li><li>
не следва прости инструкции  
</li><li>
не иска да играе с други деца или с играчки и други предмети 
</li><li>
не играе игри ""на уж"" и не се преструва по време на игра  
</li><li>
не може да тича  
</li><li>
не драска с молив/пастел  
</li><li>
не може да задържи малък предмет в ръката си.  
</li></ul>",1,published
12010,37-48 месеца - Задаване на въпроси,37-48 months ,"<p>
Наблюдавайте поведението на детето си и говорете с педиатър, ако забележите, че в края на четвъртата година то:   
</p><ul><li>                                                                                                                                                                                Не проявява интерес към игра с други хора или към игри въображаеми игри с преструване.
</li><li>
Пренебрегва другите деца или не реагира на хора извън семейството
</li><li>
не може да подскочи от място
</li><li>
Има трудности с оставянето на следи върху хартия 
</li><li>
 не може да изпълни инструкция състояща се от 3 прости стъпки
</li><li>
не може да разкаже любима история, която е чувало многократно
</li></ul>",1,published
12011,Между 49 и 60 месеца - радост от сприятеляването,49-60 months,"<p>
Наблюдавайте поведението на детето си и говорете с педиатър, ако забележите, че в края на петата година то:  
</p><ul><li>                                                                                                                                                                      не може уверено да ходи, бяга, да се катери, да скача или да използва стълби
</li><li>
Не може да отговоря на прости въпроси (Как се казваш? На колко си години? Коя е любимата ти история?) 
</li><li>
Не може да следва инструкция от две части (Постави чаша на масата! Или вземи топката под леглото!) 
</li><li>
Не може самостоятелно да изпълнява ежедневни процедури като хранене или обличане 
</li><li>
Изглежда, че има трудности да държи молив 
</li><li>
Показва екстремно поведение (като изключително уплашено, агресивно или тъжно)
</li><li>
Не говори за всекидневни дейности 
</li><li>
Не проявява интерес към взаимодействие с възрастни или деца                                                                                                                                                                                                                                               
</li></ul>",1,published
12012,61 до 72 месеца - готовност за включване в нова среда,61-72 months ,"<p>
Наблюдавайте поведението на детето си и говорете с педиатър, ако забележите, че в края на шестата година то:       
</p><ul><li>                                                                                                                                                                             Има много кратка продължитеност на вниманието
</li><li>
Изобщо не проявява интерес към букви, цифри, четене или писане
</li><li>
Изглежда, че не чува добре
</li><li>
Не говори разбираемо в изречения от 5 или повече думи
</li><li>
Не разказва по-дълги истории, използвайки пълни изречения
</li><li>
Не се облича и не използва тоалетна без помощ
</li><li>
Не може да участва в разговори
</li><li>
Не може да играе по повече от един начин 
</li><li>
Не може да каже името си и да каже къде живее
</li><li>
Не може да стои или подскочи на един крак
</li></ul>",1,published
