ID,Title,Child_age,Milestone_instructions,Mandatory_content,Moderation_state
12001,1 Μηνός – Γνωριζόμαστε καλύτερα,1st month,"<p>
Παρακολουθήστε τη συμπεριφορά του μωρού σας και μιλήστε με τον παιδίατρό σας ή επισκεφτείτε κέντρο υγείας εάν παρατηρήσετε ότι στο τέλος του πρώτου μήνα, το μωρό σας:  
</p><ul><li>
Κλαίει πολύ και δε μπορείτε να το παρηγορήσετε
</li><li>  
Θηλάζει ανεπαρκώς και τρέφεται αργά 
</li><li>  
Κοιμάται περισσότερο απο το αναμενόμενο (περισσότερο απο 16 ώρες την ημέρα), ή δεν κοιμάται ήσυχα
</li><li>  
Δεν μπορεί να κουνήσει τα χέρια ή τα πόδια καθόλου
</li><li>  
Δεν ξαφνιάζεται όταν λαμβάνει χώρα δυνατός ήχος 
</li><li>  
Δεν ανοιγοκλείνει τα μάτια στο δυνατό φως
</li></ul>",1,published
12002,2 μηνών- αμοιβαίες προσαρμογές και καθιέρωση ρουτίνας,2nd month,"<p>
Παρακολουθήστε τη συμπεριφορά του μωρού σας και μιλήστε με τον παιδίατρό σας ή επισκεφτείτε κέντρο υγείας εάν παρατηρήσετε ότι στο τέλος του δεύτερου μήνα, το μωρό σας: 
</p><ul><li>
Συχνά κλαίει πολύ και δε μπορείτε να το ηρεμήσετε
</li><li>  
Δεν παρατηρεί πρόσωπα – ούτε για μικρό χρονικό διάστημα 
</li><li>    
Δεν ανταποκρίνεται στο δυνατό φως και στους δυνατούς ήχους
</li><li>  
Δεν τρώει και δεν κοιμάται καλά (ή κοιμάται περισσότερο απο 16 ώρες την ημέρα)
</li><li>   
Δεν κουνάει καθόλου τα χέρια ή τα πόδια του
</li><li> 
Δεν βάζει τα χέρια στο στόμα του
</li><li>   
Δεν χαμογελά στον κόσμο
</li></ul>",1,published
12003,3-4 μηνών- Διάφορες εμπειρίες,3-4 months,"<p>
 Παρακολουθήστε τη συμπεριφορά του μωρού σας και μιλήστε με τον παιδίατρό σας ή επισκεφτείτε κέντρο υγείας εάν παρατηρήσετε ότι στο τέλος του τέταρτου μήνα, το μωρό σας:  
</p><ul><li>
 Κλαίει συχνά και δε μπορείτε να το παρηγορήσετε
</li><li>  
Δεν κάνει οπτική επαφή η δεν δίνει προσοχή στα πρόσωπα των ανθρώπων
</li><li>   
Δεν παρατηρεί τα αντικείμενα καθώς μετακινούνται
</li><li>    
Δεν κάνει θόρυβο ή δεν ανταποκρίνεται στον θόρυβο
</li><li>    
Δεν μπορεί να κρατήσει το κεφάλι του όρθιο
</li><li>   
Δεν κάνει προσπάθεια για να φτάσει ένα παιχνίδι ή αντικείμενο που βρισκέται μπροστά του
</li><li>  
Δεν βάζει αντικειμένα στο στόμα του 
</li></ul>  ",1,published
12004,5-6 μηνών - Eντατική εξερεύνηση,5-6 months,"<p>
Παρακολουθήστε τη συμπεριφορά του μωρού σας και μιλήστε με τον παιδίατρό σας ή επισκεφτείτε κέντρο υγείας εάν παρατηρήσετε ότι στο τέλος του έκτου μήνα, το μωρό σας:  
</p><ul><li>                                                               Κλαίει συχνά και δε μπορείτε να το παρηγορήσετε 
</li><li>
Δεν κάνει οπτική επαφή μαζί σας ή δεν ακολουθεί αντικείμενα με τα μάτια του  
</li><li>
Δεν βγάζει άναρθρους ήχους ή δεν γυρνάει προς την πηγή ενός ήχου 
</li><li>
Δεν γελάει ή δεν παράγει δυνατούς ήχους
</li><li>
Δεν γυρνάει απο τη μια πλευρά στην άλλη (περιστρέφεται)
</li><li>
Δεν ελέγχει το  λαιμό και το κεφάλι του
</li><li>
Δε μπορεί να καθήσει ούτε με τη βοήθεια ή την υποστήριξή σας  
</li><li>
Δεν κάνει προσπάθεια να φτάσει αντικείμενα ούτε ακόμα και με την παρότρυνση σας
</li><li>
Δεν προσπαθεί να πιάσει αντικείμενα που είναι στην περίμετρό του
</li><li>
 Δυσκολεύεται να βάλει αντικείμενα στο στόμα του
</li></ul>
",1,published
12005,7-9 μηνών – Νέες ανακαλύψεις,7-9 months,"<p>
Παρακολουθήστε τη συμπεριφορά του μωρού σας και μιλήστε με τον παιδίατρό σας ή επισκεφτείτε κέντρο υγείας εάν παρατηρήσετε ότι στο τέλος του ένατου μήνα, το μωρό σας:  
</p><ul><li>
Δεν κάνει οπτική επαφή μαζί σας ή δεν ακολουθεί αντικείμενα με τα μάτια του 
</li><li> 
Δεν λέει “μα-μα”, “μπα-μπα”κλπ
</li><li>
Δεν στρέφει το κεφάλι του προς την πηγή του ήχου  
</li><li>
Δεν κοιτάζει εκεί που του δείχνετε
</li><li>
Δεν δείχνει στοργή σε αυτούς που το φροντίζουν – δεν τους χαμογελάει
</li><li>
Δεν ανταποκρίνεται στο όνομα του
</li><li>
Δεν δείχνει να αναγνωρίζει οικεία πρόσωπα
</li><li>
Δεν μπουσουλάει
</li><li>  
Όταν το σηκώνετε είναι είτε ετοιμόρροπο είτε άκαμπτο  
</li><li>
Δε μπορεί να κάτσει ούτε με τη βοήθεια ή την υποστήριξη σας  
</li><li>
Δυσκολεύεται να φάει στερεά τροφή 
</li></ul>",1,published
12006,10-12 μηνών- Καθιέρωση συνηθειών και σταθερότητα/συνέπεια,10-12 months,"<p>
Παρακολουθήστε τη συμπεριφορά του μωρού σας και μιλήστε με τον παιδίατρό σας εάν παρατηρήσετε ότι στο τέλος του πρώτου χρόνου, το μωρό σας: 
</p><ul><li>
Δεν κάνει οπτκή επαφή μαζί σας ή δεν ακολουθεί αντικείμενα που κινούνται με τα μάτια του
</li><li>
Δεν δίνει σημασία σε ήχους
</li><li>
Δεν ανταποκρίνεται στο όνομα του όταν το φωνάζετε
</li><li>
Δεν δημιουργεί άναρθρους ήχους 
</li><li>
Δεν προσπαθεί να σας δείξει με οποιοδήποτε τρόπο ποιές είναι οι ανάγκες και οι επιθυμίες του
</li><li>                                                                                Δεν  υποδεικνύει  αντικείμενα 
</li><li>
Δεν εκφράζει συναισθήματα
</li><li>
Δεν μπουσουλάει
</li></ul> 
",1,published
12007,13-18 μηνών- Πρώτα βήματα και πρώτες λέξεις,13-18 months,"<p>
Παρακολουθήστε τη συμπεριφορά του παιδιού σας και μιλήστε με τον παιδίατρό σας εάν παρατηρήσετε ότι το παιδί σας: 
</p><ul><li>
Δυσκολεύεται να δει ή να ακούσει πράγματα
</li><li>
Δεν λέει καμία λέξη
</li><li>
Δυσκολεύεται να ακολουθήσει ακόμα και πολύ συγκεκριμένες οδηγίες
</li><li>
Δεν κάνει χειρονομίες και δεν επικοινωνεί 
</li><li>
Δεν κάνει οτπική επαφή μαζί σας ή δεν αγκαλιάζει
</li><li>
Δεν περπατάει μόνο του
</li></ul>",1,published
12008,19-24 μηνών- Γίνεται ανεξάρτητο,19-24 months,"<p>
Παρακολουθήστε τη συμπεριφορά του παιδιού σας και μιλήστε με τον παιδίατρό σας εάν παρατηρήσετε ότι στο τέλος του δεύτερου έτους το παιδί σας:
</p><ul><li> 
Δεν σας κοιτάζει στα μάτια
</li><li>
Δυσκολεύεται να δει ή να ακούσει ορισμένα πράγματα
</li><li>
Δεν λέει καμία λέξη
</li><li>                                                                                Δεν δείχνει αντικείμενα 
</li><li>
Δεν ακολουθεί απλές οδηγίες
</li><li>
Δεν εκφράζει συναισθήματα
</li><li>
Δεν περπατάει σταθερά
</li></ul>
",1,published
12009,25-36 μηνών – Η φαντασία μεγαλώνει,25-36 months,"<p>
Παρακολουθήστε τη συμπεριφορά του παιδιού σας και μιλήστε με τον παιδίατρό σας εάν παρατηρήσετε ότι στο τέλος του τρίτου έτους το παιδί σας: 
</p><ul><li>
Δεν σας κοιτάζει στα μάτια
</li><li>
Δυσκολεύεται να ακούσει ή να δει ορισμένα αντικείμενα
</li><li>
Δεν φτιάχνει μικρές προτάσεις (τουλάχιστον με 3 λέξεις μαζί)  
</li><li>
Δεν έχει καθαρό λόγο
</li><li>
Δεν μπορεί να ακολουθήσει απλές οδηγίες
</li><li>
Δεν θέλει να παίξει με άλλα παιδιά ή με παιχνίδια και άλλα αντικείμενα 
</li><li>
Δεν προσποιείται όταν παίζει (παιχνίδια ρόλων)
</li><li>
Δε μπορεί να τρέξει  
</li><li>
Δε μπουτζουρώνει ή δεν ζωγραφίζει 
</li><li>
Δε μπορεί να κρατήσει μικρά αντικείμενα με τα χέρια του
</li></ul>",1,published
12010,37- 48 μηνών- Κάνει ερωτήσεις,37-48 months ,"<p>
Παρακολουθήστε τη συμπεριφορά του παιδιού σας και μιλήστε με τον παιδίατρό σας εάν παρατηρήσετε ότι στο τέλος του τέταρτου έτους το παιδί σας:   
</p><ul><li>                                                                         Δεν δείχνει ενδιαφέρον να παίζει παιχνίδια με άλλους ή παιχνίδια ρόλων                                    
</li><li>
Αγνοεί άλλα παιδιά ή δεν ανταποκρίνεται στο κάλεσμα ατόμων εκτός οικογένειας
</li><li>
Δε μπορεί να αναπηδήσει
</li><li>
Δυσκολεύεται να κάνει μουτζούρες (σημάδια σε χαρτί)
</li><li>
 Δε μπορέι να ακολουθήσει οδηγία που αποτελείται απο 3 μέρη
</li><li>
Δε μπορεί να εξιστορίσει την αγαπημένη του ιστορία
</li></ul>",1,published
