ID,Title,Child_age,Milestone_instructions,Mandatory_content,Moderation_state
12001,1 месяц - Знакомство друг с другом,1st month,"<p>
Наблюдайте за поведением своего ребенка и поговорите со своим педиатром или медсестрой, если вы заметите, что в конце первого месяца у вашего малыша: 
</p><ul><li>
много плачет, и вы не можете утешить своего малыша 
</li><li>  
плохо сосет и очень медленно ест  
</li><li>  
спит больше ожидаемого (более 16 часов в сутки) или беспокойный сон  
</li><li>  
вообще не двигает ручками или ножками  
</li><li>  
не вздрагивает при громком шуме 
</li><li>  
не моргает при ярком свете.
</li></ul>",1,published
12002,2 месяца - Взаимная корректировка и установление распорядка,2nd month,"<p>
Наблюдайте за поведением своего ребенка и поговорите со своим педиатром или медсестрой, если вы заметите, что в конце второго месяца у вашего малыша: 
</p><ul><li>
часто и много плачет, и вы обычно не можете  успокоить своего малыша 
</li><li>  
не смотрит на лица даже на короткое время
</li><li>    
не реагирует на яркий свет или громкие звуки
</li><li>  
плохо ест или спит (или спит более 16 часов в сутки)
</li><li>   
он/она совсем не двигает ручками или ножками
</li><li> 
она/он не подносит ручки к своему рту
</li><li>   
не улыбается людям.
</li></ul>",1,published
12003,3-4 месяцы - Разнообразные впечатления,3-4 months,"<p>
Наблюдайте за поведением своего ребенка и поговорите со своим педиатром или медсестрой, если вы заметите, что в конце четвертого месяца у вашего малыша:
</p><ul><li>
 часто и много плачет, и его невозможно утешить
</li><li>  
не смотрит в глаза и не обращает внимания на лица людей
</li><li>   
не наблюдает за движущимися предметами
</li><li>    
не издает никаких звуков и не реагирует на звуки 
</li><li>    
она/он не может держать свою голову устойчиво
</li><li>   
не тянется за игрушкой или предметом, который находится перед ней/ним
</li><li>  
она/он ничего не берет себе в рот. 
</li></ul>  ",1,published
12004,5-6 месяцы - Интенсивное исследование,5-6 months,"<p>
Наблюдайте за поведением своего ребенка и поговорите со своим педиатром или медсестрой, если вы заметите, что в конце шестого месяца у вашего малыша: 
</p><ul><li>
регулярно плачет подолгу, и невозможно успокоить 
</li><li>
не смотрит вам в глаза или не следит своими глазами за движущимися объектами 
</li><li>
не лепечет  и не поворачивается к источнику звука 
</li><li>
не смеется и не визжит  
</li><li>
не переворачивается  
</li><li>
не контролирует свою шею и голову  
</li><li>
не может сидеть даже при вашей помощи и поддержке  
</li><li>
совсем не тянется к предметам, даже когда вы поощряете ее / его делать это
</li><li>
не пытается получить то, что находится в пределах досягаемости
</li><li>
с трудом подносит предметы к своему рту. 
</li></ul>
",1,published
12005,7-9 месяцев - Новые открытия,7-9 months,"<p>
Наблюдайте за поведением своего ребенка и поговорите со своим педиатром или медсестрой, если вы заметите, что в конце девятого месяца у вашего малыша:   
</p><ul><li>
не смотрит вам в глаза или не наблюдает глазами за движущимися объектами
</li><li> 
не лепечет («мама», «папа» и т. д.) 
</li><li>
не поворачивает свою голову к источнику звука 
</li><li>
не смотрит туда, куда вы указываете
</li><li>
не проявляет привязанности к людям заботящимся о ней/нем - не улыбается им  
</li><li>
не отзывается на свое имя
</li><li>
не узнает знакомых людей
</li><li>
не перекатывается
</li><li>  
когда вы ее/его поднимаете, то она/он либо слишком расслаблен, либо чрезмерно напряжен   
</li><li>
не может сидеть даже с помощью и при поддержке 
</li><li>
испытывает трудности при приеме твердой пищи. 
</li></ul>",1,published
12006,10-12 месяцев - Формирование привычек и последовательности,10-12 months,"<p>
Наблюдайте за поведением своего ребенка и поговорите со своим педиатром или медсестрой, если вы заметите, что в конце первого года жизни у вашего малыша:
</p><ul><li>
не смотрит вам в глаза или не следит глазами за движущимися объектами
</li><li>
не интересуется звуками
</li><li>
не отзывается на свое имя, когда выее/ его зовете 
</li><li>
не лепечет 
</li><li>
никоим образом не пытается сообщить вам, каковы ее/его желания или потребности 
</li><li>
не указывает на объекты 
</li><li>
не проявляет эмоций 
</li><li>
не ползает
</li></ul> ",1,published
12007,13-18 месяцев - Первый шаг и первое слово,13-18 months,"<p>
Наблюдайте за поведением своего ребенка и поговорите со своим педиатром, если вы заметили, что ваш ребенок:
</p><ul><li>
плохо видит или слышит некоторые вещи   
</li><li>
не говорит ни слова  
</li><li>
затрудняется следовать даже простым инструкциям  
</li><li>
не использует жесты и не указывает при общении  
</li><li>
не смотрит вам в глаза и не обнимает  
</li><li>
не ходит самостоятельно. 
</li></ul>",1,published
12008,19-24 месяца - Обретение независимости ,19-24 months,"<p>
Наблюдайте за поведением своего ребенка и поговорите со своим педиатром, если вы заметите, что в конце второго года у вашего ребенка:
</p><ul><li> 
не смотрит на вас (нет зрительного контакта)
</li><li>
испытывает трудности со зрением или слухом  в определенных ситуациях 
</li><li>
не говорит ни слова  
</li><li>
не указывает на объекты  
</li><li>
не следует простым инструкциям 
</li><li>
не проявляет чувств   
</li><li>
ходит неуверенно 
</li></ul>
",1,published
12009,25-36 месяцев - Воображение начинает расцветать,25-36 months,"<p>
Наблюдайте за поведением своего ребенка и поговорите со своим педиатром, если вы заметите, что в конце третьего года жизни у вашего ребенка: 
</p><ul><li>
не смотрит на вас (нет зрительного контакта)
</li><li>
испытывает трудности со зрением или слухом  в определенных ситуациях
</li><li>
не говорит короткими предложениями (хотя бы 3 слова вместе) 
</li><li>
нечеткая речь 
</li><li>
не следует простым инструкциям  
</li><li>
не хочет играть с другими детьми, игрушками и другими предметами 
</li><li>
не использует подражание во время игры  
</li><li>
не умеет бегать  
</li><li>
не чертит каракули и не рисует   
</li><li>
не может держать в руке мелкие предметы.  
</li></ul>",1,published
12010,37-48 месяцев- Задаём вопросы,37-48 months ,"<p>
Наблюдайте за поведением своего ребенка и поговорите со своим педиатром, если вы заметите, что в конце четвертого года жизни  ваш ребенок:    
</p><ul><li>                                                                                                                                                                                Не проявляет интереса к играм с другими детьми или к воображаемым / ролевым играм.
</li><li>
Игнорирует других детей или не реагирует на посторонних людей вне семьи
</li><li>
Не может прыгать на месте
</li><li>
С трудом рисует (делает метки на бумаге)
</li><li>
 Не следует указаниям, состоящим из трех частей.
</li><li>
Не может рассказать любимую историю
</li></ul>",1,published
