ID,Title,Child_age,Milestone_instructions,Mandatory_content,Moderation_state
12001,1 oy - Bir-biri bilan tanishish,1st month,"<p>
Kichkintoyingizning xatti-harakatlarini kuzatib boring va agar birinchi oyning oxirida quyidagi muammolarni bolangizda kuzatsangiz, unda pediatr koʻrigidan oʻting yoki oilaviy hamshira bilan maslahatlashing:
</p><ul><li>
juda koʻp yigʻlasa va uni yupata olmasangiz
</li><li>  
koʻkrakni yomon emsa, juda sekin oziqlansa
</li><li>  
keragidan koʻproq uxlasa (kuniga 16 soatdan ortiq), yoki notinch uxlasa
</li><li>  
qoʻllarini yoki oyoqlarini umuman harakatlantirmasa
</li><li>  
baland tovushdan choʻchimasa
</li><li>  
yorugʻ chiroqdan koʻzlari qamashmasa
</li></ul>",1,published
12002,2 oy - Umumiy o'zaro moslashish va kun tartiblarini o'rnatish davri,2nd month,"<p>
Kichkintoyingizning xatti-harakatlarini kuzatib boring va agar birinchi oyning oxirida quyidagi muammolarni bolangizda kuzatsangiz, unda pediatr koʻrigidan oʻting yoki oilaviy hamshira bilan maslahatlashing:
</p><ul><li>
tez-tez yig'lasa va uni yupata olmasangiz
</li><li>  
qisqa vaqtga boʻlsa ham yuzlarga qaramasa
</li><li>    
yorug'lik yoki baland tovushlarga javob bermasa
</li><li>  
yaxshi oziqlanmasa yoki yaxshi uxlamasa (kuniga 16 soatdan ortiq uxlasa)
</li><li>   
qoʻllarini yoki oyoqlarini umuman harakatlantirmasa
</li><li> 
qoʻllarini ogʻziga olib kelmasa
</li><li>   
odamlarga tabassum qilmasa
</li></ul>",1,published
12003,3-4 oy - Turli tajribalar,3-4 months,"<p>
Kichkintoyingizning xatti-harakatlarini kuzatib boring va agar birinchi oyning oxirida quyidagi muammolarni bolangizda kuzatsangiz, unda pediatr koʻrigidan oʻting yoki oilaviy hamshira bilan maslahatlashing:
</p><ul><li>
 tez-tez koʻp yigʻlasa va ovunolmasa
</li><li>  
odamlarning koʻzlariga qaramasa yoki odamlarning yuzlariga eʼtibor bermasa
</li><li>   
harakatlanayotgan narsalarni kuzatmasa
</li><li>    
hech qanday tovush chiqarmasa yoki tovushlarga javob bermasa
</li><li>    
boshini tuta olmasa
</li><li>   
oldida turgan oʻyinchoqni yoki narsani olmasa
</li><li>  
narsalarni ogʻziga olib kelmasa
</li></ul>  ",1,published
12004,5-6 oy - Intensiv oʻrganish,5-6 months,"<p>
Kichkintoyingizning xatti-harakatlarini kuzatib boring va agar birinchi oyning oxirida quyidagi muammolarni bolangizda kuzatsangiz, unda pediatr koʻrigidan oʻting yoki oilaviy hamshira bilan maslahatlashing:
</p><ul><li>
muntazam ravishda uzoq vaqt yigʻlasa va ovunmasa  
</li><li>
koʻzingizga qaramasa yoki harakatlanayotgan narsalarni ko'zi bilan kuzatmasa
</li><li>
chug'urlamasa yoki tovush manbai tomon qaramasa 
</li><li>
kulmasa yoki chinqirmasa
</li><li>
yon tomonlarga agʻdarilmasa
</li><li>
boʻyin va boshini boshqarolmasa 
</li><li>
sizning yordamingiz va tirgagingiz bilan ham oʻtirolmasa
</li><li>
jalb qilib tursangiz ham narsalarga yetib borgisi kelmasa
</li><li>
yonida turgan narsalarni olishga harakat qilmasa
</li><li>
ogʻziga narsalarni olishda qiynalsa
</li></ul>",1,published
12005,7-9 - Yangi kashfiyotlar,7-9 months,"<p>
Kichkintoyingizning xatti-harakatlarini kuzatib boring va agar birinchi oyning oxirida quyidagi muammolarni bolangizda kuzatsangiz, unda pediatr koʻrigidan oʻting yoki oilaviy hamshira bilan maslahatlashing:
</p><ul><li>
koʻzingizga qaramasa yoki harakatlanayotgan narsalarni ko'zi bilan kuzatmasa
</li><li> 
oʻzini tilida gapirmasa (“oyi” “dada,” va h.) 
</li><li>
boshini tovush kelayotgan tomonga burmasa
</li><li>
siz koʻrsatgan joyga qaramasa
</li><li>
o'ziga gʻamxoʻrlik qilayotgan odamlarga (ota-onasiga) tabassum qilmasa
</li><li>
ismi bilan chaqirilganda e'tibor qilmasa
</li><li>
o'z yaqinlarini koʻrganda tanimasa
</li><li>
dumalamasa
</li><li>  
uni koʻtarganingizda oʻzini o'ta bo'sh qo'sa yoki taranglashsa
</li><li>
sizning yordamingiz va tirgagingiz bilan ham oʻtirolmasa
</li><li>
quyuq ovqat yeyishda qiynalsa
</li></ul>",1,published
12006,10-12 oy - Odatlar va izchillikni oʻrnatish,10-12 months,"<p>
Kichkintoyingizning xatti-harakatlarini kuzatib boring va agar birinchi oyning oxirida quyidagi muammolarni bolangizda kuzatsangiz, unda pediatr koʻrigidan oʻting yoki oilaviy hamshira bilan maslahatlashing:
</p><ul><li>
koʻzingizga qaramasa yoki harakatlanayotgan narsalarni ko'zi bilan kuzatmasa
</li><li>
tovushlarga qiziqish bildirmasa
</li><li>
ismi bilan chaqirganingizda qaramasa 
</li><li>
oʻz tilida chug'urlab gapirmasa
</li><li>
xohish va istaklari haqida sizga biron-bir tarzda bildirishga urinmasa
</li><li>
narsalarni qoʻli bilan koʻrsatmasa
</li><li>
his-tuygʻularni ifoda etmasa
</li><li>
emaklamasa
</li></ul> 
",1,published
12007,13-18 oy - Birinchi qadam va birinchi soʻz,13-18 months,"<p>
Kichkintoyingizning xatti-harakatlarini kuzatib boring va agar birinchi oyning oxirida quyidagi muammolarni bolangizda kuzatsangiz, unda pediatr koʻrigidan oʻting yoki oilaviy hamshira bilan maslahatlashing:
</p><ul><li>
baʼzi narsalarni koʻrishda yoki eshitishda qiynalsa
</li><li>
birorta soʻz aytmasa
</li><li>
hatto oddiy koʻrsatmalarga amal qilishga qiynalsa
</li><li>
muloqotda imo-ishoralarni ishlatmasa va narsalarni koʻrsatmasa
</li><li>
koʻzlaringizga qaramasa va sizni quchoqlamasa
</li><li>
oʻzi mustaqil yurmasa
</li></ul>",1,published
12008,19-24 oy - Mustaqil boʻlish,19-24 months,"<p>
Kichkintoyingizning xatti-harakatlarini kuzatib boring va agar birinchi oyning oxirida quyidagi muammolarni bolangizda kuzatsangiz, unda pediatr koʻrigidan oʻting yoki oilaviy hamshira bilan maslahatlashing:
</p><ul><li> 
Sizga qaramasa (koʻz orqali muloqot)
</li><li>
ma'lum bir narsalarni koʻrmasa yoki eshitmasa
</li><li>
birorta soʻz aytmasa
</li><li>
narsalarni qoʻli bilan koʻrsatmasa
</li><li>
oddiy koʻrsatmalarga amal qilmasa
</li><li>
his-tuygʻularni koʻrsatmasa
</li><li>
mustahkam yurmasa
</li></ul>
",1,published
12009,25-36 oy - Tasavvur uygʻonishi,25-36 months,"muammolarni bolangizda kuzatsangiz, unda pediatr koʻrigidan oʻting yoki oilaviy hamshira bilan maslahatlashing:
</p><ul><li>
Sizga qaramasa (koʻz orqali muloqot oʻrnatmasa) 
</li><li>
ayrim narsalarni koʻrish yoki eshitishda qiyinchiliklarga duch kelsa
</li><li>
qisqa jumlalarni gapira olmasa ( kamida 3 ta soʻzdan iborat)
</li><li>
nutqi tiniq bo'lmasa
</li><li>
oddiy koʻrsatmalarga amal qilmasa
</li><li>
boshqa bolalar bilan yoki oʻyinchoqlar va boshqa narsalar bilan oʻynashni xohlamasa
</li><li>
oʻynayotganda tasavvur qilmasa va syujetli o'yinlarda ishtirok etmasa
</li><li>
yugura olmasa
</li><li>
yozmasa yoki chizmasa
</li><li>
qoʻlida kichik jismlarni ushlab turolmasa
</li></ul>",1,published
12010,37-48 oy - Savollar berish,37-48 months ,"<p>
Kichkintoyingizning xatti-harakatlarini kuzatib boring va agar birinchi oyning oxirida quyidagi muammolarni bolangizda kuzatsangiz, unda pediatr koʻrigidan oʻting yoki oilaviy hamshira bilan maslahatlashing:
</p><ul><li>                                                                                                                                                                                Boshqalar bilan oʻynashga yoki hayoliy/rolli oʻyinlarga qiziqish bildirmasa
</li><li>
Boshqa bolalar yoki oiladan tashqari bo'lgan odamlarg parvo qilmaydi
</li><li>
Turgan joyida sakray olmasa
</li><li>
Yozishda qiynalsa (qoʻgʻozda belgilar qo'ysa)
</li><li>
Uch qismli koʻrsatmalarga amal qilmasa
</li><li>
Sevimli hikoyasini aytib berolmasa
</li></ul>",1,published
