ID,Title,Body,Child_age,Growth_type,Standard_deviation,Related_articles,Mandatory_content,Moderation_state
23001,Me shume rreth rritjes ne 6 muajt e pare te jetes-pesha e pershtatshme per lartesine/gjatesine,"Ju lumte! Femija juaj eshte rritur shume mire dhe ne harmoni me peshen e tij ose te saj. Vazhdo qe te ndjekesh rekomandimet per ushqyerjen optimale, aktivitetin fizik dhe gjumin. Ndiq ne vazhdimesi rritjen e femijes tuaj","1st month, 2nd month, 3-4 months, 5-6 months",Height for weight,between -2SD to +2SD,"3401, 3341, 3346, 3416",1,published
23002,Me shume rreth rritjes ne moshen 7-9 muajshe-pesha e pershtatshme per lartesine/gjatesine,"Ju lumte! Femija juaj eshte rritur shume mire dhe ne harmoni me peshen e tij ose te saj. Vazhdo qe te ndjekesh rekomandimet per ushqyerjen optimale, aktivitetin fizik dhe gjumin. Ndiq ne vazhdimesi rritjen e femijes tuaj",7-9 months,Height for weight,between -2SD to +2SD,"3406, 3351, 3346, 3416",1,published
23003,Me shume rreth rritjes ne moshen 10-12 muajshe-pesha e pershtatshme per lartesine/gjatesine,"Ju lumte! Femija juaj eshte rritur shume mire dhe ne harmoni me peshen e tij ose te saj. Vazhdo qe te ndjekesh rekomandimet per ushqyerjen optimale, aktivitetin fizik dhe gjumin. Ndiq ne vazhdimesi rritjen e femijes tuaj",10-12 months,Height for weight,between -2SD to +2SD,"3411, 3356, 3346, 3416",1,published
23004,Me shume rreth rritjes ne moshen 13-24 muajshe-pesha e pershtatshme per lartesine/gjatesine,"Ju lumte! Femija juaj eshte rritur shume mire dhe ne harmoni me peshen e tij ose te saj. Vazhdo qe te ndjekesh rekomandimet per ushqyerjen optimale, aktivitetin fizik dhe gjumin. Ndiq ne vazhdimesi rritjen e femijes tuaj",10-12 months,Height for weight,between -2SD to +2SD,"3391, 3386, 3361, 3416",1,published
23005,Me shume rreth rritjes ne moshen 25-60 muajshe-pesha e pershtatshme per lartesine/gjatesine,"Ju lumte! Femija juaj eshte rritur shume mire dhe ne harmoni me peshen e tij ose te saj. Vazhdo qe te ndjekesh rekomandimet per ushqyerjen optimale, aktivitetin fizik dhe gjumin. Ndiq ne vazhdimesi rritjen e femijes tuaj","25-36 months, 37-48 months, 49-60 months, 61-72 months",Height for weight,between -2SD to +2SD,"3396, 5891, 3366, 3416",1,published
23006,Me shume rreth rritjes ne 6 muajt e pare te jetes-kequshqyerja e lehte,"Kujdes!Femija juaj eshte duke humbur peshe (ose nuk po merr peshe) dhe ka nje mos korrelim te lehte te peshes me gjatesine/lartesine. Kjo situate mund te kete ndodhur ne nje hapesire kohore prej disa javesh, prandaj merr ne konsiderate qe te gjesh disa nga shkaqet me te shpeshta dhe me akute:infeksione te koheve te fundit si diarea, disa semundje te tjera kronike, diete jo e pershtatshme apo e pamjaftueshme, ndryshim i menjehershem i ambjentit, etj.Sigurohuni qe te caktoni nje takim-vizite me pediatrin tuaj qe te zbuloni shkakun, te korrigjoni humbjen ne peshe dhe te percaktoni dinamiken per monitorimin e ardhshem te rritjes. Femija juaj ka shume nevoje per permiresimin e dietes. ","1st month, 2nd month, 3-4 months, 5-6 months",Height for weight,between  -2 and -3SD,"3401, 3341, 3346, 3416",1,published
23007,Me shume rreth rritjes ne moshen 7-9 muajshe-kequshqyerja e lehte,"Kujdes!Femija juaj eshte duke humbur peshe (ose nuk po merr peshe) dhe ka nje mos korrelim te lehte te peshes me gjatesine/lartesine. Kjo situate mund te kete ndodhur ne nje hapesire kohore prej disa javesh, prandaj merr ne konsiderate qe te gjesh disa nga shkaqet me te shpeshta dhe me akute:infeksione te koheve te fundit si diarea, disa semundje te tjera kronike, diete jo e pershtatshme apo e pamjaftueshme, ndryshim i menjehershem i ambjentit, etj.Sigurohuni qe te caktoni nje takim-vizite me pediatrin tuaj qe te zbuloni shkakun, te korrigjoni humbjen ne peshe dhe te percaktoni dinamiken per monitorimin e ardhshem te rritjes. Femija juaj ka shume nevoje per permiresimin e dietes. ",7-9 months,Height for weight,between  -2 and -3SD,"3406, 3351, 3346, 3371",1,published
23008,Me shume rreth rritjes ne moshen 10-12 muajshe-kequshqyerja e lehte,"Kujdes!Femija juaj eshte duke humbur peshe (ose nuk po merr peshe) dhe ka nje mos korrelim te lehte te peshes me gjatesine/lartesine. Kjo situate mund te kete ndodhur ne nje hapesire kohore prej disa javesh, prandaj merr ne konsiderate qe te gjesh disa nga shkaqet me te shpeshta dhe me akute:infeksione te koheve te fundit si diarea, disa semundje te tjera kronike, diete jo e pershtatshme apo e pamjaftueshme, ndryshim i menjehershem i ambjentit, etj.Sigurohuni qe te caktoni nje takim-vizite me pediatrin tuaj qe te zbuloni shkakun, te korrigjoni humbjen ne peshe dhe te percaktoni dinamiken per monitorimin e ardhshem te rritjes. Femija juaj ka shume nevoje per permiresimin e dietes. ",10-12 months,Height for weight,between  -2 and -3SD,"3411, 3356, 3346, 3371",1,published
23009,Me shume rreth rritjes ne moshen 13-24 muajshe-kequshqyerja e lehte,"Kujdes!Femija juaj eshte duke humbur peshe (ose nuk po merr peshe) dhe ka nje mos korrelim te lehte te peshes me gjatesine/lartesine. Kjo situate mund te kete ndodhur ne nje hapesire kohore prej disa javesh, prandaj merr ne konsiderate qe te gjesh disa nga shkaqet me te shpeshta dhe me akute:infeksione te koheve te fundit si diarea, disa semundje te tjera kronike, diete jo e pershtatshme apo e pamjaftueshme, ndryshim i menjehershem i ambjentit, etj.Sigurohuni qe te caktoni nje takim-vizite me pediatrin tuaj qe te zbuloni shkakun, te korrigjoni humbjen ne peshe dhe te percaktoni dinamiken per monitorimin e ardhshem te rritjes. Femija juaj ka shume nevoje per permiresimin e dietes. ","13-18 months, 19-24 months",Height for weight,between  -2 and -3SD,"3391, 3386, 3361, 3371",1,published
23010,Me shume rreth rritjes ne moshen 25-60 muajshe-kequshqyerja e lehte,"Kujdes!Femija juaj eshte duke humbur peshe (ose nuk po merr peshe) dhe ka nje mos korrelim te lehte te peshes me gjatesine/lartesine. Kjo situate mund te kete ndodhur ne nje hapesire kohore prej disa javesh, prandaj merr ne konsiderate qe te gjesh disa nga shkaqet me te shpeshta dhe me akute:infeksione te koheve te fundit si diarea, disa semundje te tjera kronike, diete jo e pershtatshme apo e pamjaftueshme, ndryshim i menjehershem i ambjentit, etj.Sigurohuni qe te caktoni nje takim-vizite me pediatrin tuaj qe te zbuloni shkakun, te korrigjoni humbjen ne peshe dhe te percaktoni dinamiken per monitorimin e ardhshem te rritjes. Femija juaj ka shume nevoje per permiresimin e dietes. ","25-36 months, 37-48 months, 49-60 months, 61-72 months",Height for weight,between  -2 and -3SD,"3396, 5891, 3366, 3371",1,published
