ID,Title,Body,Child_age,Growth_type,Standard_deviation,Related_articles,Mandatory_content,Moderation_state,Translation_language
23001,Повече за растежа през първите 6 месеца - очаквано тегло спрямо дължината/височината на бебето,"Браво! Вашето дете расте добре и теглото му е в хармония с неговия ръст. Продължавайте да следвате препоръките за оптимално хранене, физическа активност и сън. Следете растежа на детето си.","1st month, 2nd month, 3-4 months, 5-6 months",Height for weight,between -2SD to + 2SD,"3401, 3341, 3346, 3416",1,published,
23002,Повече за растежа през първите 7-9 месеца - очаквано тегло спрямо дължината/височината на бебето,"Браво! Вашето дете расте добре и теглото му е в хармония с неговия ръст. Продължавайте да следвате препоръките за оптимално хранене, физическа активност и сън. Следете растежа на детето си.",7-9 months,Height for weight,between -2SD to + 2SD,"3406, 3351, 3346, 3416",1,published,
23003,Повече за растежа през първите 10-12 месеца - очаквано тегло спрямо височината на бебето,"Браво! Вашето дете расте добре и теглото му е в хармония с неговия ръст. Продължавайте да следвате препоръките за оптимално хранене, физическа активност и сън. Следете растежа на детето си.",10-12 months,Height for weight,between -2SD to + 2SD,"3411, 3356, 3346, 3416",1,published,
23004,Повече за растежа през първите 13-24 месеца - очаквано тегло спрямо височината на детето,"Браво! Вашето дете расте добре и теглото му е в хармония с неговия ръст. Продължавайте да следвате препоръките за оптимално хранене, физическа активност и сън. Следете растежа на детето си.",10-12 months,Height for weight,between -2SD to + 2SD,"3391, 3386, 3361, 3416",1,published,
23005,Повече за растежа през първите 25-60 месеца - очаквано тегло спрямо височината на детето,"Браво! Вашето дете расте добре и теглото му е в хармония с неговия ръст. Продължавайте да следвате препоръките за оптимално хранене, физическа активност и сън. Следете растежа на детето си.","25-36 months, 37-48 months, 49-60 months, 61-72 months",Height for weight,between -2SD to + 2SD,"3396, 5891, 3366, 3416",1,published,
23006,Повече за растежа през първите 6 месеца - лека степен на недохраненост,"Внимание! Вашето дете губи тегло (или не наддава) и се наблюдава умерена липса на тегло спрямо дължината/ височината. Тази ситуация би могла да се случи в рамките на няколко седмици, следователно помислете за откриване на някои непосредствени причини: скорошно инфекциозно заболяване или диария, някои други хронични заболявания, недостатъчно или много неправилно хранене, промени в непосредствената среда и др. насрочете преглед при педиатър, за да откриете причината, да коригирате загубата и да определите динамиката на по-нататъшното проследяване на растежа. Вашето дете се нуждае от голямо внимание, за да имате подобрен начин на хранене.","1st month, 2nd month, 3-4 months, 5-6 months",Height for weight,between  -2 and -3SD,"3401, 3341, 3346, 3416",1,published,
23007,Повече за растежа през първите 7-9 месеца - лека степен на недохраненост,"Внимание! Вашето дете губи тегло (или не наддава) и се наблюдава умерена липса на тегло спрямо дължината/ височината. Тази ситуация би могла да се случи в рамките на няколко седмици, следователно помислете за откриване на някои непосредствени причини: скорошно инфекциозно заболяване или диария, някои други хронични заболявания, недостатъчно или много неправилно хранене, промени в непосредствената среда и др. насрочете преглед при педиатър, за да откриете причината, да коригирате загубата и да определите динамиката на по-нататъшното проследяване на растежа. Вашето дете се нуждае от голямо внимание, за да имате подобрен начин на хранене.",7-9 months,Height for weight,between  -2 and -3SD,"3406, 3351, 3346, 3371",1,published,
23008,Повече за растежа през първите 10-12 месеца - лека степен на недохраненост,"Внимание! Вашето дете губи тегло (или не наддава) и се наблюдава умерена липса на тегло спрямо дължината/ височината. Тази ситуация би могла да се случи в рамките на няколко седмици, следователно помислете за откриване на някои непосредствени причини: скорошно инфекциозно заболяване или диария, някои други хронични заболявания, недостатъчно или много неправилно хранене, промени в непосредствената среда и др. насрочете преглед при педиатър, за да откриете причината, да коригирате загубата и да определите динамиката на по-нататъшното проследяване на растежа. Вашето дете се нуждае от голямо внимание, за да имате подобрен начин на хранене.",10-12 months,Height for weight,between  -2 and -3SD,"3411, 3356, 3346, 3371",1,published,
23009,Повече за растежа през първите 13-24 месеца - лека степен на недохраненост,"Внимание! Вашето дете губи тегло (или не наддава) и се наблюдава умерена липса на тегло спрямо дължината/ височината. Тази ситуация би могла да се случи в рамките на няколко седмици, следователно помислете за откриване на някои непосредствени причини: скорошно инфекциозно заболяване или диария, някои други хронични заболявания, недостатъчно или много неправилно хранене, промени в непосредствената среда и др. насрочете преглед при педиатър, за да откриете причината, да коригирате загубата и да определите динамиката на по-нататъшното проследяване на растежа. Вашето дете се нуждае от голямо внимание, за да имате подобрен начин на хранене.","13-18 months, 19-24 months",Height for weight,between  -2 and -3SD,"3391, 3386, 3361, 3371",1,published,
23010,Повече за растежа през първите 25-60 месеца - степен на недохраненост,"Внимание! Вашето дете отслабва (или не наддава) и се наблюдава умерена липса на тегло спрямо дължината/ височината. Тази ситуация би могла да се случи в рамките на няколко седмици, следователно помислете за откриване на някои непосредствени причини: скорошно инфекциозно заболяване или диария, някои други хронични заболявания, недостатъчно или много неправилно хранене, промени в непосредствената среда и др. насрочете преглед при педиатър, за да откриете причината, да коригирате загубата и да определите динамиката на по-нататъшното проследяване на растежа. Вашето дете се нуждае от голямо внимание, за да имате подобрен начин на хранене.","25-36 months, 37-48 months, 49-60 months, 61-72 months",Height for weight,between  -2 and -3SD,"3396, 5891, 3366, 3371",1,published,
23011,Повече за растежа през първите 6 месеца - тежка степен на недохраненост,"Внимание! Спрямо дължината/височината си, Вашето дете е сериозно недохранено. Тази ситуация би могла да се случи в рамките на няколко седмици, следователно помислете за откриване на някои възможни непосредствени причини, някои от причините могат да бъдат: скорошно заболяване, метаболитни и хронични заболявания, недостатъчнен прием на храна или прием на неподходяща храна, промени в непосредствената среда и др. Спешно се консултирайте с педиатър, който да проучи причината и да определи как да компенсирате загубата на тегло.","1st Month, 2nd month, 3-4 months, 5-6 months",Height for weight,below -3SD,"3401, 3341, 3346, 3371",1,published,
23012,Повече за растежа през първите 7-9 месеца - тежка степен на недохраненост,"Внимание! Спрямо дължината/височината си, Вашето дете е сериозно недохранено. Тази ситуация би могла да се случи в рамките на няколко седмици, следователно помислете за откриване на някои възможни непосредствени причини, някои от причините могат да бъдат: скорошно заболяване, метаболитни и хронични заболявания, недостатъчнен прием на храна или прием на неподходяща храна, промени в непосредствената среда и др. Спешно се консултирайте с педиатър, който да проучи причината и да определи как да компенсирате загубата на тегло.",7-9 months,Height for weight,below -3SD,"3406, 3351, 3346, 3371",1,published,
23013,Повече за растежа през първите 10-12 месеца - тежка степен на недохраненост,"Внимание! Спрямо дължината/височината си, Вашето дете е сериозно недохранено. Тази ситуация би могла да се случи в рамките на няколко седмици, следователно помислете за откриване на някои възможни непосредствени причини, някои от причините могат да бъдат: скорошно заболяване, метаболитни и хронични заболявания, недостатъчнен прием на храна или прием на неподходяща храна, промени в непосредствената среда и др. Спешно се консултирайте с педиатър, който да проучи причината и да определи как да компенсирате загубата на тегло.",10-12 months,Height for weight,below -3SD,"3411, 3356, 3346",1,published,
23014,Повече за растежа през първите 13-24 месеца - тежка степен на недохраненост,"Внимание! Спрямо дължината/височината си, Вашето дете е сериозно недохранено. Тази ситуация би могла да се случи в рамките на няколко седмици, следователно помислете за откриване на някои възможни непосредствени причини, някои от причините могат да бъдат: скорошно заболяване, метаболитни и хронични заболявания, недостатъчнен прием на храна или прием на неподходяща храна, промени в непосредствената среда и др. Спешно се консултирайте с педиатър, който да проучи причината и да определи как да компенсирате загубата на тегло.","13-18 months, 19-24 months",Height for weight,below -3SD,"3391, 3386, 3361, 3371",1,published,
23015,Повече за растежа през първите 25-60 месеца - тежка степен на недохраненост,"Внимание! Спрямо дължината/височината си, Вашето дете е сериозно недохранено. Тази ситуация би могла да се случи в рамките на няколко седмици, следователно помислете за откриване на някои възможни непосредствени причини, някои от причините могат да бъдат: скорошно заболяване, метаболитни и хронични заболявания, недостатъчнен прием на храна или прием на неподходяща храна, промени в непосредствената среда и др. Спешно се консултирайте с педиатър, който да проучи причината и да определи как да компенсирате загубата на тегло.","25-36 months, 37-48 months, 49-60 months, 61-72 months",Height for weight,below -3SD,"3396, 5891, 3366, 3371",1,published,
23016,Повече за растежа през първите 6 месеца - наднормено тегло,"Внимание! Вашето дете е с умерено наднормено тегло спрямо ръста си. Това наднормено тегло може да застраши здравето му, така че помислете какво е допринесло за това: излишен прием на богати на енергия храни (като сладки и мазни продукти), прием на нездравословни храни, намалена физическа активност, увеличено време на екрана или промени в непосредственото околна среда и др. Не забравяйте да си уговорите среща с педиатър, за да получите допълнителни препоръки и да определите динамиката на проследяване на растежа на детето си. ","1st month, 2nd month, 3-4 months, 5-6 months",Height for weight,between +2 and +3SD,"3401, 3341, 3346, 3376",1,published,
