ID,Title,Body,Child_age,Growth_type,Standard_deviation,Related_articles,Mandatory_content,Moderation_state,Translation_language
23001,Περισσότερα σχετικά με την ανάπτυξη των πρώτων 6 μηνών – επαρκές βάρος για το μήκος/ύψος,"Μπράβο! Το παιδί σας μεγαλώνει καλά και το το βάρος του είναι αρμονικό με το ύψος του. Συνεχίστε να ακολουθείτε τις συστάσεις για καλύτερη διατροφή, σωματική άσκηση και ύπνο. Συνεχίστε να παρακολουθείτε την ανάπτυξη του παιδιού σας","1st month, 2nd month, 3-4 months, 5-6 months",Height for weight,between -2SD to + 2SD,"3401, 3341, 3346, 3416",1,published,
23002,Περισσότερα σχετικά με την ανάπτυξη από 7 εώς 9 μηνών – επαρκές βάρος για μήκος/ύψος,"Μπράβο! Το παιδί σας μεγαλώνει καλά και το το βάρος του είναι αρμονικό με το ύψος του. Συνεχίστε να ακολουθείτε τις συστάσεις για καλύτερη διατροφή, σωματική άσκηση και ύπνο. Συνεχίστε να παρακολουθείτε την ανάπτυξη του παιδιού σας",7-9 months,Height for weight,between -2SD to + 2SD,"3406, 3351, 3346, 3416",1,published,
23003,περισσότερα σχετικά με την ανάπτυξη από 10 εώς 12 μηνών – επαρκές βάρος για μήκος/ύψος,"Μπράβο! Το παιδί σας μεγαλώνει καλά και το το βάρος του είναι αρμονικό με το ύψος του. Συνεχίστε να ακολουθείτε τις συστάσεις για καλύτερη διατροφή,  σωματική άσκηση και ύπνο. Συνεχίστε να παρακολουθείτε την ανάπτυξη του παιδιού σας",10-12 months,Height for weight,between -2SD to + 2SD,"3411, 3356, 3346, 3416",1,published,
23004,περισσότερα σχετικά με την ανάπτυξη από 13 εώς 24 μηνών – επαρκές βάρος για μήκος/ύψος,"Μπράβο! Το παιδί σας μεγαλώνει καλά και το το βάρος του είναι αρμονικό με το ύψος του. Συνεχίστε να ακολουθείτε τις συστάσεις για καλύτερη διατροφή, σωματική άσκηση και ύπνο. Συνεχίστε να παρακολουθείτε την ανάπτυξη του παιδιού σας",10-12 months,Height for weight,between -2SD to + 2SD,"3391, 3386, 3361, 3416",1,published,
23005,περισσότερα σχετικά με την ανάπτυξη από 25 εώς 60 μηνών – επαρκές βάρος για μήκος/ύψος,"Μπράβο! Το παιδί σας μεγαλώνει καλά και το το βάρος του είναι αρμονικό με το ύψος του. Συνεχίστε να ακολουθείτε τις συστάσεις για καλύτερη διατροφή, σωματική άσκηση και ύπνο. Συνεχίστε να παρακολουθείτε την ανάπτυξη του παιδιού σας","25-36 months, 37-48 months, 49-60 months, 61-72 months",Height for weight,between -2SD to + 2SD,"3396, 5891, 3366, 3416",1,published,
23006,Περισσότερα σχετικά με την ανάπτυξη τους πρώτους 6 μήνες- ήπιος υποσιτισμός,"Προσοχή!Το παιδί σας χάνει βάρος (ή δεν παίρνει βάρος) και αντιμετωπίζει  μέτρια απώλεια βάρους για το ύψος του. Αυτήν η κατάσταση θα μπορούσε να συμβεί μέσα σε λίγες εβδομάδες, άρα σκεφτείτε να βρείτε τις άμεσες αιτίες: πρόσφατες μολυσματικές ασθένειες ή διάρροιες, κάποιες άλλες χρόνιες ασθένειες, ανεπαρκή και καθόλου σωστή διατροφή, αλλαγές στο περιβάλλον κλπ. Να προγραμματίσετε εξέταση στον παιδίατρο για να ανακαλύψετε τα αίτια, να διορθώσετε την απώλεια και να καθορίσετε τις δυναμικές για την περαιτέρω παρακολούθηση της ανάπτυξης. Το παιδί σας έχει ανάγκη μεγάλης προσοχής  για μια καλύτερη διατροφή.","1st month, 2nd month, 3-4 months, 5-6 months",Height for weight,between  -2 and -3SD,"3401, 3341, 3346, 3416",1,published,
23007,περισσότερα σχετικά με την ανάπτυξη από 7 εώς 9 μηνών –ήπιος υποσιτισμός,"Προσοχή!Το παιδί σας χάνει βάρος (ή δεν παίρνει βάρος) και αντιμετωπίζει  μέτρια απώλεια βάρους για το ύψος του. Αυτήν η κατάσταση θα μπορούσε να συμβεί μέσα σε λίγες εβδομάδες, άρα σκεφτείτε να βρείτε τις άμεσες αιτίες: πρόσφατες μολυσματικές ασθένειες ή διάρροιες, κάποιες άλλες χρόνιες ασθένειες, ανεπαρκή και καθόλου σωστή διατροφή, αλλαγές στο περιβάλλον κλπ. Να προγραμματίσετε εξέταση στον παιδίατρο για να ανακαλύψετε τα αίτια, να διορθώσετε την απώλεια και να καθορίσετε τις δυναμικές για την περαιτέρω παρακολούθηση της ανάπτυξης. Το παιδί σας έχει ανάγκη μεγάλης προσοχής  για μια καλύτερη διατροφή.",7-9 months,Height for weight,between  -2 and -3SD,"3406, 3351, 3346, 3371",1,published,
23008,περισσότερα σχετικά με την ανάπτυξη από 10 εώς 12 μηνών –ήπιος υποσιτισμός,"Προσοχή!Το παιδί σας χάνει βάρος (ή δεν παίρνει βάρος) και αντιμετωπίζει μέτρια απώλεια βάρους για το ύψος του. Αυτήν η κατάσταση θα μπορούσε να συμβεί μέσα σε λίγες εβδομάδες, άρα σκεφτείτε να βρείτε τις άμεσες αιτίες: πρόσφατες μολυσματικές ασθένειες ή διάρροιες, κάποιες άλλες χρόνιες ασθένειες, ανεπαρκή και καθόλου σωστή διατροφή, αλλαγές στο περιβάλλον κλπ. Να προγραμματίσετε εξέταση στον παιδίατρο για να ανακαλύψετε τα αίτια, να διορθώσετε την απώλεια και να καθορίσετε τις δυναμικές της περαιτέρω παρακολούθηση της ανάπτυξης. Το παιδί σας έχει ανάγκη μεγάλης προσοχής  για μια καλύτερη διατροφή.",10-12 months,Height for weight,between  -2 and -3SD,"3411, 3356, 3346, 3371",1,published,
23009,περισσότερα σχετικά με την ανάπτυξη από 13 εώς 24 μηνών –ήπιος υποσιτισμός,"Προσοχή!Το παιδί σας χάνει βάρος (ή δεν παίρνει βάρος) και αντιμετωπίζει μέτρια απώλεια βάρους για το ύψος του. Αυτήν η κατάσταση θα μπορούσε να συμβεί μέσα σε λίγες εβδομάδες, άρα σκεφτείτε να βρείτε τις άμεσες αιτίες: πρόσφατες μολυσματικές ασθένειες ή διάρροιες, κάποιες άλλες χρόνιες ασθένειες, ανεπαρκή και καθόλου σωστή διατροφή, αλλαγές στο περιβάλλον κλπ. Να προγραμματίσετε εξέταση στον παιδίατρο για να ανακαλύψετε τα αίτια, να διορθώσετε την απώλεια και να καθορίσετε τις δυναμικές της περαιτέρω παρακολούθηση της ανάπτυξης. Το παιδί σας έχει ανάγκη μεγάλης προσοχής  για μια καλύτερη διατροφή.","13-18 months, 19-24 months",Height for weight,between  -2 and -3SD,"3391, 3386, 3361, 3371",1,published,
23010,περισσότερα σχετικά με την ανάπτυξη από 25 εώς 60 μηνών –ήπιος υποσιτισμός,"Προσοχή!Το παιδί σας χάνει βάρος (ή δεν παίρνει βάρος) και αντιμετωπίζει μέτρια απώλεια βάρους για το ύψος του. Αυτήν η κατάσταση θα μπορούσε να συμβεί μέσα σε λίγες εβδομάδες, άρα σκεφτείτε να βρείτε τις άμεσες αιτίες: πρόσφατες μολυσματικές ασθένειες ή διάρροιες, κάποιες άλλες χρόνιες ασθένειες, ανεπαρκή και καθόλου σωστή διατροφή, αλλαγές στο περιβάλλον κλπ. Να προγραμματίσετε εξέταση στον παιδίατρο για να ανακαλύψετε τα αίτια, να διορθώσετε την απώλεια και να καθορίσετε τις δυναμικές της περαιτέρω παρακολούθηση της ανάπτυξης. Το παιδί σας έχει ανάγκη μεγάλης προσοχής  για μια καλύτερη διατροφή.","25-36 months, 37-48 months, 49-60 months, 61-72 months",Height for weight,between  -2 and -3SD,"3396, 5891, 3366, 3371",1,published,
