ID,Title,Body,Child_age,Growth_type,Standard_deviation,Related_articles,Mandatory_content,Moderation_state,Translation_language
23001,Më shumë rreth rritjes në 6 muajt e parë - pesha adekuate për gjatësinë,"Bravo! Fëmija juaj rritet mirë dhe pesha e tij/saj është në harmoni me gjatësinë e tij/saj. Vazhdoni të ndiqni rekomandimet për ushqim optimal, aktivitet fizik dhe gjumë. Mbani shënime lidhur me rritjen e fëmijës suaj.","1st month, 2nd month, 3-4 months, 5-6 months",Height for weight,between -2SD to +2SD,"3401, 3341, 3346, 3416",1,published,
23002,Më shumë rreth rritjes 7-9 muaj - pesha adekuate për gjatësinë,"Bravo! Fëmija juaj rritet mirë dhe pesha e tij/saj është në harmoni me gjatësinë e tij/saj. Vazhdoni të ndiqni rekomandimet për ushqim optimal, aktivitet fizik dhe gjumë. Mbani shënime lidhur me rritjen e fëmijës suaj.",7-9 months,Height for weight,between -2SD to +2SD,"3406, 3351, 3346, 3416",1,published,
23003,Më shumë rreth rritjes 10-12 muaj - pesha adekuate për gjatësinë,"Bravo! Fëmija juaj rritet mirë dhe pesha e tij/saj është në harmoni me gjatësinë e tij/saj. Vazhdoni të ndiqni rekomandimet për ushqim optimal, aktivitet fizik dhe gjumë. Mbani shënime lidhur me rritjen e fëmijës suaj.",10-12 months,Height for weight,between -2SD to +2SD,"3411, 3356, 3346, 3416",1,published,
23004,Më shumë rreth rritjes 13-24 muaj - pesha adekuate për gjatësinë,"Bravo! Fëmija juaj rritet mirë dhe pesha e tij/saj është në harmoni me gjatësinë e tij/saj. Vazhdoni të ndiqni rekomandimet për ushqim optimal, aktivitet fizik dhe gjumë. Mbani shënime lidhur me rritjen e fëmijës suaj.",10-12 months,Height for weight,between -2SD to +2SD,"3391, 3386, 3361, 3416",1,published,
23005,Më shumë rreth rritjes 25-60 muaj - pesha adekuate për gjatësinë,"Bravo! Fëmija juaj rritet mirë dhe pesha e tij/saj është në harmoni me gjatësinë e tij/saj. Vazhdoni të ndiqni rekomandimet për ushqim optimal, aktivitet fizik dhe gjumë. Mbani shënime lidhur me rritjen e fëmijës suaj.","25-36 months, 37-48 months, 49-60 months, 61-72 months",Height for weight,between -2SD to +2SD,"3396, 5891, 3366, 3416",1,published,
23006,Më shumë rreth rritjes në 6 muajt e parë - kequshqyerja e lehtë,"Vëmendje! Fëmija juaj po humb peshë (ose nuk po shton peshë) dhe ka një mungesë të moderuar të peshës për gjatësi. Kjo situatë mund të ketë ndodhur brenda disa javësh, prandaj merrni parasysh të zbuloni disa shkaqe të menjëhershme: sëmundja e fundit infektive ose diarreja, ndonjë sëmundje tjetër kronike, dieta e pamjaftueshme dhe shumë jo e duhur, ndryshime në mjedisin e afërt, etj. Sigurohuni që të caktoni një ekzaminim me një pediatër për të zbuluar shkakun, korrigjuar humbjen dhe për të përcaktuar dinamikën e monitorimit të mëtejshëm të rritjes. Fëmija juaj ka nevojë për konsideratë të madhe për të pasur një dietë të përmirësuar.","1st month, 2nd month, 3-4 months, 5-6 months",Height for weight,between  -2 and -3SD,"3401, 3341, 3346, 3416",1,published,
23007,Më shumë rreth rritjes 7-9 muaj - kequshqyerja e lehtë,"Vëmendje! Fëmija juaj po humb peshë (ose nuk po shton peshë) dhe ka një mungesë të moderuar të peshës për gjatësi. Kjo situatë mund të ketë ndodhur brenda disa javësh, prandaj merrni parasysh të zbuloni disa shkaqe të menjëhershme: sëmundja e fundit infektive ose diarreja, ndonjë sëmundje tjetër kronike, dieta e pamjaftueshme dhe shumë jo e duhur, ndryshime në mjedisin e afërt, etj. Sigurohuni që të caktoni një ekzaminim me një pediatër për të zbuluar shkakun, korrigjuar humbjen dhe për të përcaktuar dinamikën e monitorimit të mëtejshëm të rritjes. Fëmija juaj ka nevojë për konsideratë të madhe për të pasur një dietë të përmirësuar.",7-9 months,Height for weight,between  -2 and -3SD,"3406, 3351, 3346, 3371",1,published,
23008,Më shumë rreth rritjes 10-12 muaj - kequshqyerja e lehtë,"Vëmendje! Fëmija juaj po humb peshë (ose nuk po shton peshë) dhe ka një mungesë të moderuar të peshës për gjatësi. Kjo situatë mund të ketë ndodhur brenda disa javësh, prandaj merrni parasysh të zbuloni disa shkaqe të menjëhershme: sëmundja e fundit infektive ose diarreja, ndonjë sëmundje tjetër kronike, dieta e pamjaftueshme dhe shumë jo e duhur, ndryshime në mjedisin e afërt, etj. Sigurohuni që të caktoni një ekzaminim me një pediatër për të zbuluar shkakun, korrigjuar humbjen dhe për të përcaktuar dinamikën e monitorimit të mëtejshëm të rritjes. Fëmija juaj ka nevojë për konsideratë të madhe për të pasur një dietë të përmirësuar.",10-12 months,Height for weight,between  -2 and -3SD,"3411, 3356, 3346, 3371",1,published,
23009,Më shumë rreth rritjes 13-24 muaj - kequshqyerja e lehtë,"Vëmendje! Fëmija juaj po humb peshë (ose nuk po shton peshë) dhe ka një mungesë të moderuar të peshës për gjatësi. Kjo situatë mund të ketë ndodhur brenda disa javësh, prandaj merrni parasysh të zbuloni disa shkaqe të menjëhershme: sëmundja e fundit infektive ose diarreja, ndonjë sëmundje tjetër kronike, dieta e pamjaftueshme dhe shumë jo e duhur, ndryshime në mjedisin e afërt, etj. Sigurohuni që të caktoni një ekzaminim me një pediatër për të zbuluar shkakun, korrigjuar humbjen dhe për të përcaktuar dinamikën e monitorimit të mëtejshëm të rritjes. Fëmija juaj ka nevojë për konsideratë të madhe për të pasur një dietë të përmirësuar.","13-18 months, 19-24 months",Height for weight,between  -2 and -3SD,"3391, 3386, 3361, 3371",1,published,
23010,Më shumë rreth rritjes 25-60 muaj - kequshqyerja e lehtë,"Vëmendje! Fëmija juaj po humb peshë (ose nuk po shton peshë) dhe ka një mungesë të moderuar të peshës për gjatësi. Kjo situatë mund të ketë ndodhur brenda disa javësh, prandaj merrni parasysh të zbuloni disa shkaqe të menjëhershme: sëmundja e fundit infektive ose diarreja, ndonjë sëmundje tjetër kronike, dieta e pamjaftueshme dhe shumë jo e duhur, ndryshime në mjedisin e afërt, etj. Sigurohuni që të caktoni një ekzaminim me një pediatër për të zbuluar shkakun, korrigjuar humbjen dhe për të përcaktuar dinamikën e monitorimit të mëtejshëm të rritjes. Fëmija juaj ka nevojë për konsideratë të madhe për të pasur një dietë të përmirësuar.","25-36 months, 37-48 months, 49-60 months, 61-72 months",Height for weight,between  -2 and -3SD,"3396, 5891, 3366, 3371",1,published,
