ID,Title,Body,Child_age,Growth_type,Standard_deviation,Related_articles,Mandatory_content,Moderation_state,Translation_language
23001,Više o rastu 13 -24 meseca - adekvatna težina za visinu/dužinu,"Bravo! Vaše dete dobro raste i njegova težina je u skladu sa njegovom visinom. Nastavite da se pridžavate preporuka za optimalnu ishranu, fizičku aktivnost i spavanje. Pratite i dalje rast vašeg deteta.","1st month, 2nd month, 3-4 months, 5-6 months",Height for weight,between -2SD to +2SD,"3401, 3341, 3346, 3416",1,published,
23002,Više o rastu 7 - 9 meseci - adekvatna težina za visinu/dužinu,"Bravo! Vaše dete dobro raste i njegova težina je u skladu sa njegovom visinom. Nastavite da se pridžavate preporuka za optimalnu ishranu, fizičku aktivnost i spavanje. Pratite i dalje rast vašeg deteta.",7-9 months,Height for weight,between -2SD to +2SD,"3406, 3351, 3346, 3416",1,published,
23003,Više o rastu10 - 12 meseci - adekvatna težina za visinu/dužinu,"Bravo! Vaše dete dobro raste i njegova težina je u skladu sa njegovom visinom. Nastavite da se pridžavate preporuka za optimalnu ishranu, fizičku aktivnost i spavanje. Pratite i dalje rast vašeg deteta.",10-12 months,Height for weight,between -2SD to +2SD,"3411, 3356, 3346, 3416",1,published,
23004,Više o rastu 13 -24 meseca - adekvatna težina za visinu/dužinu,"Bravo! Vaše dete dobro raste i njegova težina je u skladu sa njegovom visinom. Nastavite da se pridžavate preporuka za optimalnu ishranu, fizičku aktivnost i spavanje. Pratite i dalje rast vašeg deteta.",10-12 months,Height for weight,between -2SD to +2SD,"3391, 3386, 3361, 3416",1,published,
23005,Više o rastu 25 - 60 meseca - adekvatna težina za visinu/dužinu,"Bravo! Vaše dete dobro raste i njegova težina je u skladu sa njegovom visinom. Nastavite da se pridžavate preporuka za optimalnu ishranu, fizičku aktivnost i spavanje. Pratite i dalje rast vašeg deteta.","25-36 months, 37-48 months, 49-60 months, 61-72 months",Height for weight,between -2SD to +2SD,"3396, 5891, 3366, 3416",1,published,
23006,	Više o rastu u prvih 6 meseci - blaga pothranjenost,"Pažnja! Vaše dete gubi na težini (ili ne dobija u skladu sa visinom) i ima umereni nedostatak težine za dužinu/visinu. Ovo stanje je moglo nastati tokom nekoliko nedelja, stoga razmislite o mogućim neposrednim uzrocima: skorašnja zarazna bolest ili dijarea, hronične bolesti, nedovoljna i vrlo nepravilna ishrana, promene u neposrednom okruženju itd. Obavezno zakažite pregled kod pedijtra radi otkrivanja uzroka, korekcije nastalog gubitka kao i određivanja dinamike daljeg praćenja rasta. Ozbiljno razmislite kako da poboljšate ishranu vašeg detetu.","1st month, 2nd month, 3-4 months, 5-6 months",Height for weight,between  -2 and -3SD,"3401, 3341, 3346, 3416",1,published,
23007,	Više o rastu 7 - 9 meseci - blaga pothranjenost,"
Pažnja! Vaše dete gubi na težini (ili ne dobija u skladu sa visinom) i ima umereni nedostatak težine za dužinu/visinu. Ovo stanje je moglo nastati tokom nekoliko nedelja, stoga razmislite o mogućim neposrednim uzrocima: skorašnja zarazna bolest ili dijarea, hronične bolesti, nedovoljna i vrlo nepravilna ishrana, promene u neposrednom okruženju itd. Obavezno zakažite pregled kod pedijtra radi otkrivanja uzroka, korekcije nastalog gubitka kao i određivanja dinamike daljeg praćenja rasta. Ozbiljno razmislite kako da poboljšate ishranu vašeg detetu.",7-9 months,Height for weight,between  -2 and -3SD,"3406, 3351, 3346, 3371",1,published,
23008,Više o rastu 10 - 12 meseci - blaga pothranjenost,"
Pažnja! Vaše dete gubi na težini (ili ne dobija u skladu sa visinom) i ima umereni nedostatak težine za dužinu/visinu. Ovo stanje je moglo nastati tokom nekoliko nedelja, stoga razmislite o mogućim neposrednim uzrocima: skorašnja zarazna bolest ili dijarea, hronične bolesti, nedovoljna i vrlo nepravilna ishrana, promene u neposrednom okruženju itd. Obavezno zakažite pregled kod pedijtra radi otkrivanja uzroka, korekcije nastalog gubitka kao i određivanja dinamike daljeg praćenja rasta. Ozbiljno razmislite kako da poboljšate ishranu vašeg detetu.",10-12 months,Height for weight,between  -2 and -3SD,"3411, 3356, 3346, 3371",1,published,
23009,Više o rastu 13 -24 meseca - blaga pothranjenost,"
Pažnja! Vaše dete gubi na težini (ili ne dobija u skladu sa visinom) i ima umereni nedostatak težine za dužinu/visinu. Ovo stanje je moglo nastati tokom nekoliko nedelja, stoga razmislite o mogućim neposrednim uzrocima: skorašnja zarazna bolest ili dijarea, hronične bolesti, nedovoljna i vrlo nepravilna ishrana, promene u neposrednom okruženju itd. Obavezno zakažite pregled kod pedijtra radi otkrivanja uzroka, korekcije nastalog gubitka kao i određivanja dinamike daljeg praćenja rasta. Ozbiljno razmislite kako da poboljšate ishranu vašeg detetu.","13-18 months, 19-24 months",Height for weight,between  -2 and -3SD,"3391, 3386, 3361, 3371",1,published,
23010,Više o rastu 25 - 60 meseca - blaga pothranjenost,"Pažnja! Vaše dete gubi na težini (ili ne dobija u skladu sa visinom) i ima umereni nedostatak težine za dužinu/visinu. Ovo stanje je moglo nastati tokom nekoliko nedelja, stoga razmislite o mogućim neposrednim uzrocima: skorašnja zarazna bolest ili dijarea, hronične bolesti, nedovoljna i vrlo nepravilna ishrana, promene u neposrednom okruženju itd. Obavezno zakažite pregled kod pedijtra radi otkrivanja uzroka, korekcije nastalog gubitka kao i određivanja dinamike daljeg praćenja rasta. Ozbiljno razmislite kako da poboljšate ishranu vašeg detetu.","25-36 months, 37-48 months, 49-60 months, 61-72 months",Height for weight,between  -2 and -3SD,"3396, 5891, 3366, 3371",1,published,
23011,Više o rastu u prvih 6 meseci - ozbiljna pothranjenost,"Hitno! Vaše dete ima ozbiljan nedostatak težine za dužinu/visinu. Ovo stanje je moglo nastati tokom nekoliko nedelja, stoga razmislite o mogućim neposrednim uzrocima. Neki od mogućih uzroka bi mogli biti: skorašnja bolest, metabolička stanja, hronične bolesti, nedovoljna i nepravilna ishrana, promene u najbližem  okružrnju i dr. Hitno se obratite pedijatru radi ispitivanja uzroka i određivanja načina za nadoknadu nastalog gubitka.","1st Month, 2nd month, 3-4 months, 5-6 months",Height for weight,below -3SD,"3401, 3341, 3346, 3371",1,published,
23012,	Više o rastu 7 - 9 meseci - ozbiljna pothranjenost,"Hitno! Vaše dete ima ozbiljan nedostatak težine za dužinu/visinu. Ovo stanje je moglo nastati tokom nekoliko nedelja, stoga razmislite o mogućim neposrednim uzrocima. Neki od mogućih uzroka bi mogli biti: skorašnja bolest, metabolička stanja, hronične bolesti, nedovoljna i nepravilna ishrana, promene u najbližem  okružrnju i dr. Hitno se obratite pedijatru radi ispitivanja uzroka i određivanja načina za nadoknadu nastalog gubitka.",7-9 months,Height for weight,below -3SD,"3406, 3351, 3346, 3371",1,published,
23013,Više o rastu 10 - 12 meseci - ozbiljna pothranjenost,"Hitno! Vaše dete ima ozbiljan nedostatak težine za dužinu/visinu. Ovo stanje je moglo nastati tokom nekoliko nedelja, stoga razmislite o mogućim neposrednim uzrocima. Neki od mogućih uzroka bi mogli biti: skorašnja bolest, metabolička stanja, hronične bolesti, nedovoljna i nepravilna ishrana, promene u najbližem  okružrnju i dr. Hitno se obratite pedijatru radi ispitivanja uzroka i određivanja načina za nadoknadu nastalog gubitka.",10-12 months,Height for weight,below -3SD,"3411, 3356, 3346",1,published,
23014,	Više o rastu 13 -24 meseca - ozbiljna pothranjenost,"Hitno! Vaše dete ima ozbiljan nedostatak težine za dužinu/visinu. Ovo stanje je moglo nastati tokom nekoliko nedelja, stoga razmislite o mogućim neposrednim uzrocima. Neki od mogućih uzroka bi mogli biti: skorašnja bolest, metabolička stanja, hronične bolesti, nedovoljna i nepravilna ishrana, promene u najbližem  okružrnju i dr. Hitno se obratite pedijatru radi ispitivanja uzroka i određivanja načina za nadoknadu nastalog gubitka.
","13-18 months, 19-24 months",Height for weight,below -3SD,"3391, 3386, 3361, 3371",1,published,
23015,Više o rastu 25 - 60 meseca - ozbiljna pothranjenost,"Hitno! Vaše dete ima ozbiljan nedostatak težine za dužinu/visinu. Ovo stanje je moglo nastati tokom nekoliko nedelja, stoga razmislite o mogućim neposrednim uzrocima. Neki od mogućih uzroka bi mogli biti: skorašnja bolest, metabolička stanja, hronične bolesti, nedovoljna i nepravilna ishrana, promene u najbližem  okružrnju i dr. Hitno se obratite pedijatru radi ispitivanja uzroka i određivanja načina za nadoknadu nastalog gubitka.","25-36 months, 37-48 months, 49-60 months, 61-72 months",Height for weight,below -3SD,"3396, 5891, 3366, 3371",1,published,
23016,Više o rastu u prvih 6 meseci - prekomerna težina i gojaznost,"Prema kartama rasta vaša beba ima prekomernu težinu za dužinu, što može ugroziti njeno zdravlje. Kod veštačke ishrane (ili dohrane adaptiranim mlekom uz dojenje), uvek je prisutna opasnost od prekomernog dobijanja u težini, jer bebina urođena sposobnost regulacije apetita može biti narušena. Obavezno zakažite posetu vašem izabranom pedijatru, kako biste obezbedili optimalnu ishranu neophodnu za pravilan rast i razvoj vaše bebe. Pratite dalji napredak u težini i sledite savete pedijatra o broju obroka, odgovarajućoj količini mleka za vašu bebu, učestalosti obroka. Poštujte uputstva za pravilnu pripremu mlečnog obroka i nemojte nikada uskraćivati hranu u pokušaju da bebi smanjite težinu. ","1st month, 2nd month, 3-4 months, 5-6 months",Height for weight,between +2 and +3SD,"3401, 3341, 3346, 3376",1,published,
23017,Više o rastu 7 - 9 meseci - prekomerna težina i gojaznost,"Pažnja! Vaše dete ima umereni višak težine za visinu. Ova prekomerna težina može ugroziti njegovo zdravlje i zato razmislite šta je tome doprinelo: povećan unos energetski bogatije hrane (kao što su slatke i masne namirnice), unos bezvrednih namirnica - takozvane brze hrane, smanjena fizička aktivnost, produženo vreme boravka u sedećem položaju ili boravak ispred ekrana, promene u najbližem okružrnju i dr. Obavezno zakažite pregled kod pedijatra radi dobijanja dodatnih preporuka i određivanja dinamike praćenja rasta vašeg deteta",7-9 months,Height for weight,between +2 and +3SD,"3406, 3351, 3346, 3376",1,published,
23018,Više o rastu: 10 - 12 meseci - prekomerna težina i gojaznost,"Pažnja! Vaše dete ima umereni višak težine za visinu. Ova prekomerna težina može ugroziti njegovo zdravlje i zato razmislite šta je tome doprinelo: povećan unos energetski bogatije hrane (kao što su slatke i masne namirnice), unos bezvrednih namirnica - takozvane brze hrane, smanjena fizička aktivnost, produženo vreme boravka u sedećem položaju ili boravak ispred ekrana, promene u najbližem okružrnju i dr. Obavezno zakažite pregled kod pedijatra radi dobijanja dodatnih preporuka i određivanja dinamike praćenja rasta vašeg deteta",10-12 months,Height for weight,between +2 and +3SD,"3411, 3356, 3346, 3376",1,published,
23019,	Više o rastu 13 -24 meseca - prekomerna težina i gojaznost,"Pažnja! Vaše dete ima umereni višak težine za visinu. Ova prekomerna težina može ugroziti njegovo zdravlje i zato razmislite šta je tome doprinelo: povećan unos energetski bogatije hrane (kao što su slatke i masne namirnice), unos bezvrednih namirnica - takozvane brze hrane, smanjena fizička aktivnost, produženo vreme boravka u sedećem položaju ili boravak ispred ekrana, promene u najbližem okružrnju i dr. Obavezno zakažite pregled kod pedijatra radi dobijanja dodatnih preporuka i određivanja dinamike praćenja rasta vašeg deteta","13-18 months, 19-24 months",Height for weight,between +2 and +3SD,"3391, 3386, 3361, 3381",1,published,
