ID_A,ID,Title,Body,Moderation state
3026,23001,Алгачкы 6 айдагы физикалык жактан өсүү жөнүндө толугураак – салмагы денесинин узундугуна дал келет,"Азамат! Сиздин балаңыз жакшы өсүп жатат жана анын салмагы боюнун узундугуна дал келет. Оптималдуу тамактануу, физикалык активдүүлүк жана уйку боюнча сунуштарды аткарууну улантыңыз. Балаңыздын физикалык жактан өсүшүнө көз салыңыз",Published
3031,23002,7-9 айдагы физикалык жактан өсүү жөнүндө толугураак – салмагы денесинин узундугуна дал келет.,"Азамат! Сиздин балаңыз жакшы өсүп жатат жана анын салмагы боюнун узундугуна дал келет. Оптималдуу тамактануу, физикалык активдүүлүк жана уйку боюнча сунуштарды аткарууну улантыңыз. Балаңыздын физикалык жактан өсүшүнө көз салыңыз.",Published
3036,23003,10-12 айдагы физикалык жактан өсүү жөнүндө толугураак – салмагы денесинин узундугуна дал келет,"Азамат! Сиздин балаңыз жакшы өсүп жатат жана анын салмагы боюнун узундугуна дал келет. Оптималдуу тамактануу, физикалык активдүүлүк жана уйку боюнча сунуштарды аткарууну улантыңыз. Балаңыздын физикалык жактан өсүшүнө көз салыңыз",Published
3041,23004,13-24 айдагы физикалык жактан өсүү жөнүндө толугураак – салмагы денесинин узундугуна дал келет,"Азамат! Сиздин балаңыз жакшы өсүп жатат жана анын салмагы боюнун узундугуна дал келет. Оптималдуу тамактануу, физикалык активдүүлүк жана уйку боюнча сунуштарды аткарууну улантыңыз. Балаңыздын физикалык жактан өсүшүнө көз салыңыз.",Published
3046,23005,25-60 айдагы физикалык жактан өсүү жөнүндө толугураак– салмагы боюна дал келет,"Азамат! Сиздин балаңыз жакшы өсүп жатат жана анын салмагы боюнун узундугуна дал келет. Оптималдуу тамактануу, физикалык активдүүлүк жана уйку боюнча сунуштарды аткарууну улантыңыз. Балаңыздын физикалык жактан өсүшүнө көз салыңыз.",Published
3051,23006,Алгачкы 6 айдагы физикалык жактан өсүү жөнүндө толугураак – жетишсиз салмак тобокелчилиги,"Көңүл буруңуз! Сиздин балаңыз арыктап бара жатат (же салмак кошпой жатат) же денесинин узундугуна карата кыйла аз салмак кошту. Мындай кырдаал бир нече жуманын ичинде болуп өткөн болушу мүмкүн, андыктан себептерин табууга аракеттениңиз: жакында эле болгон жугуштуу оору же ич өткөк, башка айрым өнөкөт оорулар, жетишсиз же туура эмес тамактануу, үй-бүлөдөгү кырдаал ж.б. Анын себебин табуу, тамактанууга өзгөртүү киргизүү жана андан ары өсүшкө байкоо жүргүзүү динамикасын аныктоо үчүн үй-бүлөлүк дарыгерге сөзсүз кайрылыңыз.",Published
3056,23007,7-9 айдагы физикалык жактан өсүү жөнүндө толугураак – орточо даражадагы жетишсиз салмак,"Көңүл буруңуз! Сиздин балаңыз арыктап бара жатат (же салмак кошпой жатат) же салмагы денесинин узундугуна карата орточо жетишсиздик даражада. Мындай кырдаал бир нече жуманын ичинде болуп өткөн болушу мүмкүн, андыктан себептерин табууга аракеттениңиз: жакында эле болгон жугуштуу оору же ич өткөк, башка айрым өнөкөт оорулар, жетишсиз же туура эмес тамактануу, үй-бүлөдөгү кырдаал ж.б. Анын себебин табуу, тамактанууга өзгөртүү киргизүү жана андан ары өсүшкө байкоо жүргүзүү динамикасын аныктоо үчүн үй-бүлөлүк дарыгерге сөзсүз кайрылыңыз. Тамактанууну жакшыртуу үчүн сиздин балаңыз тууралуу олуттуу ойлонуу керек.",Published
3061,23008,10-12 айдагы физикалык жактан өсүү жөнүндө толугураак – орточо даражадагы жетишсиз салмак,"Көңүл буруңуз! Сиздин балаңыз арыктап бара жатат (же салмак кошпой жатат) жана салмагы денесинин узундугуна карата орточо жетишсиздик даражада. Мындай кырдаал бир нече жуманын ичинде болуп өткөн болушу мүмкүн, андыктан себептерин табууга аракеттениңиз: жакында эле болгон жугуштуу оору же ич өткөк, башка айрым өнөкөт оорулар, жетишсиз же туура эмес тамактануу, үй-бүлөдөгү кырдаал ж.б. Анын себебин табуу, тамактанууга өзгөртүү киргизүү жана андан ары өсүшкө байкоо жүргүзүү динамикасын аныктоо үчүн үй-бүлөлүк дарыгерге сөзсүз кайрылыңыз. Тамактанууну жакшыртуу үчүн сиздин балаңыз тууралуу олуттуу ойлонуу керек.",Published
3066,23009,13-24 айдагы физикалык жактан өсүү жөнүндө толугураак – орточо даражадагы жетишсиз салмак,"Көңүл буруңуз! Сиздин балаңыз арыктап бара жатат (же салмак кошпой жатат) жана салмагы денесинин узундугуна карата орточо жетишсиздик даражада. Мындай кырдаал бир нече жуманын ичинде болуп өткөн болушу мүмкүн, андыктан себептерин табууга аракеттениңиз: жакында эле болгон жугуштуу оору же ич өткөк, башка айрым өнөкөт оорулар, жетишсиз же туура эмес тамактануу, үй-бүлөдөгү кырдаал ж.б. Анын себебин табуу, тамактанууга өзгөртүү киргизүү жана андан ары өсүшкө байкоо жүргүзүү динамикасын аныктоо үчүн үй-бүлөлүк дарыгерге сөзсүз кайрылыңыз. Тамактанууну жакшыртуу үчүн сиздин балаңыз тууралуу олуттуу ойлонуу керек.",Published
3071,23010,25-60 айдагы физикалык жактан өсүү жөнүндө толугураак – орточо даражадагы жетишсиз салмак,"Көңүл буруңуз! Сиздин балаңыз арыктап бара жатат (же салмак кошпой жатат) жана салмагы денесинин узундугуна карата орточо жетишсиздик даражада. Мындай кырдаал бир нече жуманын ичинде болуп өткөн болушу мүмкүн, андыктан себептерин табууга аракеттениңиз: жакында эле болгон жугуштуу оору же ич өткөк, башка айрым өнөкөт оорулар, жетишсиз же туура эмес тамактануу, үй-бүлөдөгү кырдаал ж.б. Анын себебин табуу, тамактанууга өзгөртүү киргизүү жана андан ары өсүшкө байкоо жүргүзүү динамикасын аныктоо үчүн үй-бүлөлүк дарыгерге сөзсүз кайрылыңыз. Тамактанууну жакшыртуу үчүн сиздин балаңыз тууралуу олуттуу ойлонуу керек.",Published
