ID,Title,Body,Child_age,Growth_type,Standard_deviation,Related_articles,Mandatory_content,Moderation_state,Translation_language
23001,Подробнее о росте в первые 6 месяцев - вес соответствует длине тела / росту,"Браво! Ваш ребенок хорошо растет, и ее/его вес гармонирует с ее/его ростом. Продолжайте соблюдать рекомендации по оптимальному питанию, физической активности и сну. Следите за ростом вашего ребенка.","1st month, 2nd month, 3-4 months, 5-6 months",Height for weight,between -2SD to +2SD,"3401, 3341, 3346, 3416",1,published,
23002,Подробнее о росте 7-9 месяцев - вес соответствует длине тела/росту,"Браво! Ваш ребенок хорошо растет, и ее/его вес гармонирует с ее/его ростом. Продолжайте соблюдать рекомендации по оптимальному питанию, физической активности и сну. Следите за ростом вашего ребенка.",7-9 months,Height for weight,between -2SD to +2SD,"3406, 3351, 3346, 3416",1,published,
23003,Подробнее о росте 10-12 месяцев - вес соответствует длине тела/ росту,"Браво! Ваш ребенок хорошо растет, и ее/его вес гармонирует с ее/его ростом. Продолжайте соблюдать рекомендации по оптимальному питанию, физической активности и сну. Следите за ростом вашего ребенка.",10-12 months,Height for weight,between -2SD to +2SD,"3411, 3356, 3346, 3416",1,published,
23004,Подробнее о росте 13-24 месяцев - вес соответствует длине тела/ росту,"Браво! Ваш ребенок хорошо растет, и ее/его вес гармонирует с ее/его ростом. Продолжайте соблюдать рекомендации по оптимальному питанию, физической активности и сну. Следите за ростом вашего ребенка.",10-12 months,Height for weight,between -2SD to +2SD,"3391, 3386, 3361, 3416",1,published,
23005,Подробнее о росте 25-60 месяцев - вес соответствует росту,"Браво! Ваш ребенок хорошо растет, и ее/его вес гармонирует с ее/его ростом. Продолжайте соблюдать рекомендации по оптимальному питанию, физической активности и сну. Следите за ростом вашего ребенка.","25-36 months, 37-48 months, 49-60 months, 61-72 months",Height for weight,between -2SD to +2SD,"3396, 5891, 3366, 3416",1,published,
23006,Подробнее о росте в первые 6 месяцев – риск низкого веса.,"Внимание! Ваш ребенок худеет (или не набирает вес) и имеет умеренную нехватку веса по отношению длине тела / росту. Такая ситуация могла произойти в течение нескольких недель, поэтому подумайте о том, чтобы выяснить некоторые непосредственные причины: недавнее инфекционное заболевание или диарея, некоторые другие хронические заболевания, недостаточное или неправильное питание, изменения в семье и т. д. Обязательно обратитесь к педиатру, чтобы выявить причину, откорректировать питание и определиться с дальнейшим наблюдением за динамикой  роста.","1st month, 2nd month, 3-4 months, 5-6 months",Height for weight,between  -2 and -3SD,"3401, 3341, 3346, 3416",1,published,
23007,Подробнее о росте 7-9 месяцев - легкое недоедание,"Внимание! Ваш ребенок худеет (или не набирает вес) и имеет умеренную нехватку веса в соотношении к длине тела / росту. Такая ситуация могла произойти в течение нескольких недель, поэтому подумайте о том, чтобы выяснить некоторые непосредственные причины: недавнее инфекционное заболевание или диарея, некоторые другие хронические заболевания, недостаточное или очень неправильное питание, изменения в ближайшем окружении и т.д. Обязательно запланируйте осмотр у педиатра, чтобы выявить причину, скорректировать понижение и определиться с дальнейшим наблюдением за динамикой роста. О вашем ребенке нужно серьезно подумать, чтобы улучшить питание.",7-9 months,Height for weight,between  -2 and -3SD,"3406, 3351, 3346, 3371",1,published,
23008,Подробнее о росте 10-12 месяцев - легкое недоедание,"Внимание! Ваш ребенок худеет (или не набирает вес) и имеет умеренную нехватку веса в соотношении к длине тела / росту. Такая ситуация могла произойти в течение нескольких недель, поэтому подумайте о том, чтобы выяснить некоторые непосредственные причины: недавнее инфекционное заболевание или диарея, некоторые другие хронические заболевания, недостаточное или очень неправильное питание, изменения в ближайшем окружении и т.д. Обязательно запланируйте осмотр у педиатра, чтобы выявить причину, скорректировать снижение и установить  дальнейшее наблюдение за динамикой роста. О вашем ребенке нужно серьезно подумать, чтобы улучшить питание.",10-12 months,Height for weight,between  -2 and -3SD,"3411, 3356, 3346, 3371",1,published,
23009,Подробнее о росте 13-24 месяцев - легкое недоедание,"Внимание! Ваш ребенок худеет (или не набирает вес) и имеет умеренную нехватку веса в соотношении с длиной тела / ростом. Такая ситуация могла произойти в течение нескольких недель, поэтому подумайте о том, чтобы выяснить некоторые непосредственные причины: недавнее инфекционное заболевание или диарея, некоторые другие хронические заболевания, недостаточное или очень неправильное питание, изменения в ближайшем окружении и т.д. Обязательно запланируйте осмотр у педиатра, чтобы выявить причину, скорректировать снижение и установить дальнейшее наблюдение за динамикой роста. О вашем ребенке нужно серьезно подумать, чтобы улучшить питание.","13-18 months, 19-24 months",Height for weight,between  -2 and -3SD,"3391, 3386, 3361, 3371",1,published,
23010,Подробнее о росте 25-60 месяцев - легкое недоедание,"Внимание! Ваш ребенок худеет (или не набирает вес) и имеет умеренную нехватку веса в соотношении к длине тела / росту. Такая ситуация могла произойти в течение нескольких недель, поэтому подумайте о том, чтобы выяснить некоторые непосредственные причины: недавнее инфекционное заболевание или диарея, какое-то другое хроническое заболевание, недостаточное или очень неправильное питание, изменения в ближайшем окружении и т.д. Обязательно запланируйте осмотр у педиатра, чтобы выявить причину, скорректировать снижение и установить дальнейшее наблюдение за динамикой роста. О вашем ребенке нужно серьезно подумать, чтобы улучшить питание.","25-36 months, 37-48 months, 49-60 months, 61-72 months",Height for weight,between  -2 and -3SD,"3396, 5891, 3366, 3371",1,published,
23011,Подробнее о росте в первые 6 месяцев - тяжелое недоедание,"Внимание! У вашего ребенка серьезная нехватка веса в соотношении к длине тела / росту. Такая ситуация могла произойти в течение нескольких недель, поэтому подумайте о том, чтобы выяснить некоторые возможные непосредственные причины, некоторыми причинами могут быть: недавнее заболевание, метаболические и хронические заболевания, недостаточное или неправильное питание, изменения в ближайшем окружении и т.д. Срочно обратитесь к педиатру, чтобы выяснить причину и определить, как компенсировать потерю.","1st Month, 2nd month, 3-4 months, 5-6 months",Height for weight,below -3SD,"3401, 3341, 3346, 3371",1,published,
23012,Подробнее о росте 7-9 месяцев - тяжелое недоедание,"Внимание! У вашего ребенка серьезная нехватка веса в соотношении к длине тела / росту. Такая ситуация могла произойти в течение нескольких недель, поэтому подумайте о том, чтобы выяснить некоторые возможные непосредственные причины, некоторыми причинами могут быть: недавнее заболевание, метаболические и хронические заболевания, недостаточное или неправильное питание, изменения в ближайшем окружении и т.д. Срочно обратитесь к педиатру, чтобы выяснить причину и определить, как компенсировать потерю.",7-9 months,Height for weight,below -3SD,"3406, 3351, 3346, 3371",1,published,
23013,Подробнее о росте 10-12 месяцев - тяжелое недоедание,"Внимание! У вашего ребенка серьезная нехватка веса в соотношении к длине тела / росту. Такая ситуация могла произойти в течение нескольких недель, поэтому подумайте о том, чтобы выяснить некоторые возможные непосредственные причины, некоторыми причинами могут быть: недавнее заболевание, метаболические и хронические заболевания, недостаточное или неправильное питание, изменения в ближайшем окружении и т.д. Срочно обратитесь к педиатру, чтобы выяснить причину и определить, как компенсировать потерю.",10-12 months,Height for weight,below -3SD,"3411, 3356, 3346",1,published,
23014,Подробнее о росте 13 - 24 месяца - тяжелое недоедание,"Внимание! У вашего ребенка серьезная нехватка веса в соотношении к длине тела / росту. Такая ситуация могла произойти в течение нескольких недель, поэтому подумайте о том, чтобы выяснить некоторые возможные непосредственные причины, некоторыми причинами могут быть: недавнее заболевание, метаболические и хронические заболевания, недостаточное или неправильное питание, изменения в ближайшем окружении и т.д. Срочно обратитесь к педиатру, чтобы выяснить причину и определить, как компенсировать потерю.","13-18 months, 19-24 months",Height for weight,below -3SD,"3391, 3386, 3361, 3371",1,published,
