ID_A,ID,Title,Body,Moderation state
3026,23001,Više o rastu u prvih šest mjeseci – odgovarajuća težina u odnosu na visinu/dužinu,"Bravo! Vaše dijete dobro raste i njegova/njena težina je u skladu s njegovom/njenom visinom. Nastavite da se pridržavate preporuka za optimalnu ishranu, fizičku aktivnost i spavanje. Pratite i dalje rast Vašeg djeteta.",Published
3031,23002,Više o rastu: 7–9 mjeseci – odgovarajuća težina u odnosu na visinu/dužinu,"Bravo! Vaše dijete dobro raste i njegova/njena težina je u skladu s njegovom/njenom visinom. Nastavite da se pridržavate preporuka za optimalnu ishranu, fizičku aktivnost i spavanje. Pratite i dalje rast Vašeg djeteta.",Published
3036,23003,Više o rastu: 10–12 mjeseci – odgovarajuća težina u odnosu na visinu/dužinu,"Bravo! Vaše dijete dobro raste i njegova/njena težina je u skladu s njegovom/njenom visinom. Nastavite da se pridržavate preporuka za optimalnu ishranu, fizičku aktivnost i spavanje. Pratite i dalje rast Vašeg djeteta.


 ",Published
3041,23004,Više o rastu: 13–24 mjeseca – odgovarajuća težina u odnosu na visinu/dužinu,"Bravo! Vaše dijete dobro raste i njegova/njena težina je u skladu s njegovom/njenom visinom. Nastavite da se pridržavate preporuka za optimalnu ishranu, fizičku aktivnost i spavanje. Pratite i dalje rast Vašeg djeteta.


 ",Published
3046,23005,Više o rastu: 25–60 mjeseci – odgovarajaća težina u odnosu na visinu/dužinu,"​​​​​​Bravo! Vaše dijete dobro raste i njegova/njena težina je u skladu s njegovom/njenom visinom. Nastavite da se pridržavate preporuka za optimalnu ishranu, fizičku aktivnost i spavanje. Pratite i dalje rast Vašeg djeteta.",Published
3051,23006,Više o rastu u prvih šest mjeseci – blaga pothranjenost,"Pažnja! Vaše dijete gubi na težini (ili ne dobija onoliko koliko bi trebalo u skladu s visinom) i blago zaostaje u težini za svoju dužinu/visinu. Ovo stanje se moglo  razviti tokom nekoliko nedjelja, stoga razmislite o mogućim neposrednim uzrocima: skorašnja zarazna bolest, dijareja, hronične bolesti, nedovoljna i vrlo nepravilna ishrana, promjene u neposrednom okruženju itd. Obavezno zakažite pregled kod pedijatra radi otkrivanja uzroka, korekcije nastalog gubitka i određivanja dinamike daljeg praćenja rasta. Ozbiljno razmislite kako da poboljšate ishranu Vašeg djeteta.",Published
3056,23007,Više o rastu: 7–9 mjeseci – blaga pothranjenost,"Pažnja! Vaše dijete gubi na težini (ili ne dobija onoliko koliko bi trebalo s obzirom na visinu) i blago zaostaje u težini za svoju dužinu/visinu. Ovo stanje se moglo razviti tokom nekoliko nedjelja, stoga razmislite o mogućim neposrednim uzrocima: skorašnja zarazna bolest, dijareja, hronične bolesti, nedovoljna i vrlo nepravilna ishrana, promjene u neposrednom okruženju itd. Obavezno zakažite pregled kod pedijtra radi otkrivanja uzroka, korekcije nastalog gubitka i određivanja dinamike daljeg praćenja rasta. Ozbiljno razmislite kako da poboljšate ishranu Vašeg djeteta.",Published
3061,23008,Više o rastu: 10–12 mjeseci – blaga pothranjenost,"Pažnja! Vaše dijete gubi na težini (ili ne dobija onoliko koliko bi trebalo u skladu s visinom) i blago zaostaje u težini za svoju dužinu/visinu. Ovo stanje se moglo razviti tokom nekoliko nedjelja, stoga razmislite o mogućim neposrednim uzrocima: skorašnja zarazna bolest, dijareja, hronične bolesti, nedovoljna i vrlo nepravilna ishrana, promjene u neposrednom okruženju itd. Obavezno zakažite pregled kod pedijatra radi otkrivanja uzroka, korekcije nastalog gubitka i određivanja dinamike daljeg praćenja rasta. Ozbiljno razmislite kako da poboljšate ishranu Vašeg djeteta.",Published
3066,23009,Više o rastu: 13–24 mjeseca – blaga pothranjenost,"Pažnja! Vaše dijete gubi na težini (ili ne dobija onoliko koliko bi trebalo u skladu s visinom) i blago zaostaje u težini za svoju dužinu/visinu. Ovo stanje se moglo razviti tokom nekoliko nedjelja, stoga razmislite o mogućim neposrednim uzrocima: skorašnja zarazna bolest, dijareja, hronične bolesti, nedovoljna i vrlo nepravilna ishrana, promjene u neposrednom okruženju itd. Obavezno zakažite pregled kod pedijatra radi otkrivanja uzroka, korekcije nastalog gubitka i određivanja dinamike daljeg praćenja rasta. Ozbiljno razmislite kako da poboljšate ishranu Vašeg djeteta.",Published
3071,23010,Više o rastu: 25–60 mjeseci – blaga pothranjenost,"Pažnja! Vaše dijete gubi na težini (ili ne dobija onoliko koliko bi trebalo u skladu s visinom) i blago zaostaje u težini za svoju dužinu/visinu. Ovo stanje se moglo razviti tokom nekoliko nedjelja, stoga razmislite o mogućim neposrednim uzrocima: skorašnja zarazna bolest, dijareja, hronične bolesti, nedovoljna i vrlo nepravilna ishrana, promjene u neposrednom okruženju itd. Obavezno zakažite pregled kod pedijatra radi otkrivanja uzroka, korekcije nastalog gubitka i određivanja dinamike daljeg praćenja rasta. Ozbiljno razmislite kako da poboljšate ishranu Vašeg djeteta.",Published
