ID_A,ID,Title,Body,Moderation state
3026,23001,Më shumë rreth rritjes në 6 muajt e parë - pesha e duhur në raport me gjatësinë,"Bravo! Fëmija juaj po rritet mirë dhe pesha e tij/saj është në përputhje me gjatësinë e tij/saj. Vazhdoni të ndiqni rekomandimet për të ushqyerit optimal, aktivitetin fizik dhe gjumin. Shikoni me kujdes ritmin e rritjes së fëmijës suaj.",Published
3031,23002,Më shumë rreth rritjes 7-9 muaj - pesha e duhur në raport me gjatësinë,"Bravo! Fëmija juaj po rritet mirë dhe pesha e tij/saj është në përputhje me gjatësinë e tij/saj. Vazhdoni të ndiqni rekomandimet për të ushqyerit optimal, aktivitetin fizik dhe gjumin. Shikoni me kujdes rritjen dhe zhvillimin e fëmijës suaj.",Published
3036,23003,Më shumë rreth rritjes 10-12 muaj - pesha e duhur në raport me gjatësinë gjatësinë,"Bravo! Fëmija juaj po rritet mirë dhe pesha e tij/saj është në përputhje me gjatësinë e tij/saj. Vazhdoni të ndiqni rekomandimet për të ushqyerit optimal, aktivitetin fizik dhe gjumin. Shikoni me kujdes rritjen dhe zhvillimin e fëmijës suaj.",Published
3041,23004,Më shumë rreth rritjes 13-24 muaj - pesha e duhur në raport me gjatësinë,"Bravo! Fëmija juaj po rritet mirë dhe pesha e tij/saj është në përputhje me gjatësinë e tij/saj. Vazhdoni të ndiqni rekomandimet për të ushqyerit optimal, aktivitetin fizik dhe gjumin. Shikoni me kujdes rritjen dhe zhvillimin e fëmijës suaj.",Published
3046,23005,Më shumë rreth rritjes 25-60 muaj - pesha e duhur në raport me gjatësinë,"Bravo! Fëmija juaj po rritet mirë dhe pesha e tij/saj është në përputhje me gjatësinë e tij/saj. Vazhdoni të ndiqni rekomandimet për të ushqyerit optimal, aktivitetin fizik dhe gjumin. Shikoni me kujdes rritjen dhe zhvillimin e fëmijës suaj.",Published
3051,23006,Më shumë rreth rritjes në 6 muajt e parë - kequshqyerja e butë,"Vëmendje! Fëmija juaj po humb peshë (ose nuk po shton peshë) dhe ka një mungesë të moderuar të peshës për gjatësinë që ka. Kjo situatë mund të ketë ndodhur brenda disa javësh, prandaj merrni parasysh të zbuloni disa shkaqe të menjëhershme: sëmundje infektuese e kohëve të fundit ose diarre, ndonjë sëmundje tjetër kronike, dietë e pamjaftueshme dhe shumë e papërshtatshme, ndryshime në mjedisin e afërt, etj. Sigurohuni që të caktoni një ekzaminim me një pediatër për të zbuluar shkakun, për të korrigjuar humbjen e peshës dhe përcaktuar dinamikën e monitorimit të mëtejshëm të rritjes. Fëmija juaj ka nevojë për konsideratë të madhe për të pasur një dietë të përmirësuar.",Published
3056,23007,Më shumë rreth rritjes 7-9 muaj- kequshqyerje në nivel të moderuar,"Vëmendje! Fëmija juaj po humb peshë (ose nuk po shton peshë), dhe pesha e tij/saj është në nivel më të moderuar në krahasim me gjatësinë. Kjo situatë mund të ketë ndodhur gjatë javëve të fundit, prandaj mbani parasysh që të eksploroni shkaqet që mund të kenë ndikuar: sëmundjet infektive ose diarre, ndonjë sëmundje tjetër kronike, një dietë e varfër dhe e çekuilibruar, ndryshime në mjedisin e tyre etj. Sigurohuni që të caktoni një takim me një pediatër për të zbuluar shkakun, dhe për të korrigjuar humbjen ose për të përcaktuar monitorimin e mëtejshëm të rritjes. Fëmija juaj ka nevojë për vëmendje të lartë, në mënyrë që dieta e tij/saj të përmirësohet.",Published
3061,23008,Më shumë rreth rritjes 10-12 muaj - kequshqyerje në nivel të moderuar,"Vëmendje! Fëmija juaj po humb peshë (ose nuk po shton peshë), dhe pesha e tij/saj është në nivel më të moderuar në krahasim me gjatësinë. Kjo situatë mund të ketë ndodhur gjatë javëve të fundit, prandaj mbani parasysh që të eksploroni shkaqet që mund të kenë ndikuar: sëmundjet infektive ose diarre, ndonjë sëmundje tjetër kronike, një dietë e varfër dhe e çekuilibruar, ndryshime në mjedisin e tyre etj. Sigurohuni që të caktoni një takim me një pediatër për të zbuluar shkakun, dhe për të korrigjuar humbjen ose për të përcaktuar monitorimin e mëtejshëm të rritjes. Fëmija juaj ka nevojë për vëmendje të lartë, në mënyrë që dieta e tij/saj të përmirësohet.",Published
3066,23009,Më shumë rreth rritjes 13-24 muaj- kequshqyerje në nivel të moderuar,"Vëmendje! Fëmija juaj po humb peshë (ose nuk po shton peshë), dhe pesha e tij/saj është në nivel më të moderuar në krahasim me gjatësinë. Kjo situatë mund të ketë ndodhur gjatë javëve të fundit, prandaj mbani parasysh që të eksploroni shkaqet që mund të kenë ndikuar: sëmundjet infektive ose diarre, ndonjë sëmundje tjetër kronike, një dietë e varfër dhe e çekuilibruar, ndryshime në mjedisin e tyre etj. Sigurohuni që të caktoni një takim me një pediatër për të zbuluar shkakun, dhe për të korrigjuar humbjen ose për të përcaktuar monitorimin e mëtejshëm të rritjes. Fëmija juaj ka nevojë për vëmendje të lartë, në mënyrë që dieta e tij/saj të përmirësohet.",Published
3071,23010,Më shumë rreth rritjes 25 - 60 muaj - kequshqyerje në nivel të moderuar,"Vëmendje! Fëmija juaj po humb peshë (ose nuk po shton peshë), dhe pesha e tij/saj është në nivel më të moderuar në krahasim me gjatësinë. Kjo situatë mund të ketë ndodhur gjatë javëve të fundit, prandaj mbani parasysh që të eksploroni shkaqet që mund të kenë ndikuar: sëmundjet infektive ose diarre, ndonjë sëmundje tjetër kronike, një dietë e varfër dhe e çekuilibruar, ndryshime në mjedisin e tyre etj. Sigurohuni që të caktoni një takim me një pediatër për të zbuluar shkakun, dhe për të korrigjuar humbjen ose për të përcaktuar monitorimin e mëtejshëm të rritjes. Fëmija juaj ka nevojë për vëmendje të lartë, në mënyrë që dieta e tij/saj të përmirësohet.",Published
3076,23011,Më shumë rreth rritjes në 6 muajt e parë - kequshqyerje e rëndë,"Vëmendje! Fëmija juaj ka një mungesë serioze në normën e peshës krahasuar me gjatësinë e tij/saj. Kjo gjendje mund të ketë ndodhur me kalimin e kohës, prandaj merrni parasysh që të eksploroni disa shkaqe që mund të kenë ndikuar. Disa shkaqe mund të jenë: sëmundje të kohëve të fundit, sëmundje metabolike dhe kronike, dietë të pamjaftueshme dhe të çekuilibruar, ndryshime të menjëhershme në mjedis, etj. Konsultohuni urgjentisht me një pediatër për të zbuluar shkakun dhe për të përcaktuar sesi mund ta ndihmoni fëmijën në peshë.",Published
3081,23012,Më shumë rreth rritjes 7 - 9 muaj - kequshqyerje e rëndë,"Vëmendje! Fëmija juaj ka një mungesë serioze në normën e peshës krahasuar me gjatësinë e tij/saj. Kjo gjendje mund të ketë ndodhur me kalimin e kohës, prandaj merrni parasysh që të eksploroni disa shkaqe që mund të kenë ndikuar. Disa shkaqe mund të jenë: sëmundje të kohëve të fundit, sëmundje metabolike dhe kronike, dietë të pamjaftueshme dhe të çekuilibruar, ndryshime të menjëhershme në mjedis, etj. Konsultohuni urgjentisht me një pediatër për të zbuluar shkakun dhe për të përcaktuar sesi mund ta ndihmoni fëmijën në peshë.",Published
3086,23013,Më shumë rreth rritjes 10 -12 muaj - kequshqyerje e rëndë,"Vëmendje! Fëmija juaj ka një mungesë serioze në normën e peshës krahasuar me gjatësinë e tij/saj. Kjo gjendje mund të ketë ndodhur me kalimin e kohës, prandaj merrni parasysh që të eksploroni disa shkaqe që mund të kenë ndikuar. Disa shkaqe mund të jenë: sëmundje të kohëve të fundit, sëmundje metabolike dhe kronike, dietë të pamjaftueshme dhe të çekuilibruar, ndryshime të menjëhershme në mjedis, etj. Konsultohuni urgjentisht me një pediatër për të zbuluar shkakun dhe për të përcaktuar sesi mund ta ndihmoni fëmijën në peshë.",Published
3091,23014,Më shumë rreth rritjes 13 - 24 muaj - kequshqyerje e rëndë,"Vëmendje! Fëmija juaj ka një mungesë serioze në normën e peshës krahasuar me gjatësinë e tij/saj. Kjo gjendje mund të ketë ndodhur me kalimin e kohës, prandaj merrni parasysh që të eksploroni disa shkaqe që mund të kenë ndikuar. Disa shkaqe mund të jenë: sëmundje të kohëve të fundit, sëmundje metabolike dhe kronike, dietë të pamjaftueshme dhe të çekuilibruar, ndryshime të menjëhershme në mjedis, etj. Konsultohuni urgjentisht me një pediatër për të zbuluar shkakun dhe për të përcaktuar sesi mund ta ndihmoni fëmijën në peshë.",Published
3096,23015,Më shumë rreth rritjes 25 - 60 muaj - kequshqyerje e rëndë,"Vëmendje! Fëmija juaj ka një mungesë serioze në normën e peshës krahasuar me gjatësinë e tij/saj. Kjo gjendje mund të ketë ndodhur me kalimin e kohës, prandaj merrni parasysh që të eksploroni disa shkaqe që mund të kenë ndikuar. Disa shkaqe mund të jenë: sëmundje të kohëve të fundit, sëmundje metabolike dhe kronike, dietë të pamjaftueshme dhe të çekuilibruar, ndryshime të menjëhershme në mjedis, etj. Konsultohuni urgjentisht me një pediatër për të zbuluar shkakun dhe për të përcaktuar sesi mund ta ndihmoni fëmijën në peshë.",Published
3101,23016,Më shumë rreth rritjes në 6 muajt e parë - mbipeshë,"Vëmendje! Fëmija juaj është mesatarisht mbipeshë për gjatësinë e tij/saj. Kjo peshë mund të rrezikojë seriozisht shëndetin e fëmijës tuaj. Reflektoni se çfarë mund të ketë kontribuar në të: konsumimi i tepërt i ushqimeve të pasura me energji (të tilla si produktet e ëmbla dhe me vaj), konsumimi i ushqimeve të shpejta, aktivitet i reduktuar fizik, rritje e kohës duke qëndruar para ekranit ose ndryshime në mjedis, etj. Sigurohuni që të caktoni një vizitë tek pediatri për një ekzaminim dhe diagnostikim shtesë, si dhe për të përcaktuar dinamikën e monitorimit të mëtejshëm të rritjes!",Published
3106,23017,Më shumë rreth rritjes 7 - 9 muaj - mbipeshë,"Vëmendje urgjente! Fëmija juaj mund të jetë mbipeshë në nivel të moderuar, në krahasim me gjatësinë e tij/saj. Kjo peshë mund të rrezikojë seriozisht shëndetin e fëmijës tuaj. Reflektoni se çfarë mund të ketë kontribuar në të: konsumimi i tepërt i ushqimeve të pasura me energji (të tilla si produktet e ëmbla dhe me vaj), konsumimi i ushqimeve të shpejta, aktivitet i reduktuar fizik, rritje e kohës duke qëndruar para ekranit ose ndryshime në mjedis, etj. Sigurohuni që të caktoni një vizitë tek pediatri për një ekzaminim dhe diagnostikim shtesë, si dhe për të përcaktuar dinamikën e monitorimit të mëtejshëm të rritjes!",Published
3111,23018,Më shumë rreth rritjes 10 -12 muaj - mbipeshë,"Vëmendje! Fëmija juaj është mesatarisht mbipeshë në krahasim me gjatësinë e tij/saj. Kjo peshë mund të rrezikojë seriozisht shëndetin e fëmijës tuaj. Reflektoni se çfarë mund të ketë kontribuar në të: konsumimi i tepërt i ushqimeve të pasura me energji (të tilla si produktet e ëmbla dhe me vaj), konsumimi i ushqimeve të shpejta, aktivitet i reduktuar fizik, rritje e kohës duke qëndruar para ekranit ose ndryshime në mjedis, etj. Sigurohuni që të caktoni një vizitë tek pediatri për një ekzaminim dhe diagnostikim shtesë, si dhe për të përcaktuar dinamikën e monitorimit të mëtejshëm të rritjes!",Published
3116,23019,Më shumë rreth rritjes 13 -24 muaj - mbipeshë,"Vëmendje! Fëmija juaj mund të jetë në nivel të moderuar më i/e shëndoshë, në krahasim me gjatësinë e tij/saj. Kjo peshë mund të rrezikojë seriozisht shëndetin e fëmijës tuaj. Reflektoni se çfarë mund të ketë kontribuar në të: konsumimi i tepërt i ushqimeve të pasura me energji (të tilla si produktet e ëmbla dhe me vaj), konsumimi i ushqimeve të shpejta, aktivitet i reduktuar fizik, rritje e kohës duke qëndruar para ekranit ose ndryshime në mjedis, etj. Sigurohuni që të caktoni një vizitë tek pediatri për një ekzaminim dhe diagnostikim shtesë, si dhe për të përcaktuar dinamikën e monitorimit të mëtejshëm të rritjes!",Published
3121,23020,Më shumë rreth rritjes 25 - 60 muaj - mbipeshë,"Vëmendje! Fëmija juaj është mesatarisht mbipeshë për gjatësinë e tij/saj. Kjo peshë mund të rrezikojë seriozisht shëndetin e fëmijës tuaj. Reflektoni se çfarë mund të ketë kontribuar në të: konsumimi i tepërt i ushqimeve të pasura me energji (të tilla si produktet e ëmbla dhe me vaj), konsumimi i ushqimeve të shpejta, aktivitet i reduktuar fizik, rritje e kohës duke qëndruar para ekranit ose ndryshime në mjedis, etj. Sigurohuni që të caktoni një vizitë tek pediatri për një ekzaminim dhe diagnostikim shtesë, si dhe për të përcaktuar dinamikën e monitorimit të mëtejshëm të rritjes!",Published
3126,23021,Më shumë rreth rritjes në 6 muajt e parë - mbipeshë,"Nuk ka asnjë rezik ose shumë pak mundësi që një foshnjë 0-6-muajshe që ushqehet vetëm me gji, të jetë mbipeshë. Është vërtetuar dhe konfirmuar shkencërisht se ushqyerja me gji, veçanërisht e zgjatur në kohë - të paktën 12 muaj, mbron një fëmijë nga mbipesha më vonë në fëmijëri dhe në moshën e rritur.

Për foshnjat që ushqehen artificialisht, ekziston gjithmonë rreziku për të qenë mbipeshë. Për foshnjat mbipeshë ose obezë, këshillat nga pediatri/mjeku i familjes janë të dobishme. Asnjëherë mos ia ndaloni ushqimin foshnjës, në përpjekje për të ndihmuar që të humbë peshë. Për t’u rritur dhe zhvilluar ashtu si duhet, foshnjat kanë nevojë për ushqim të duhur dhe ushqyerje me gji gjatë 6 muajve të parë të jetës. Për foshnjat që ushqehen me formulë, sigurohuni që të ndiqni udhëzimet për të përgatitur ushqimet në mënyrë korrekte (sasia e duhur e ujit dhe pluhurit), si dhe të ndiqni udhëzimet për numrin e ushqimeve dhe numrin e vakteve në ditë.",Published
3131,23022,Më shumë rreth rritjes 7 - 9 muajsh - mbipeshë,"Vëmendje urgjente! Fëmija juaj mund të jetë i/e shëndoshë, domethënë, ai/ajo ka një peshë më të madhe në krahasim me gjatësinë e tij/saj. Kjo peshë mund të rrezikojë seriozisht shëndetin e fëmijës tuaj. Reflektoni se çfarë mund të ketë kontribuar në të: konsumimi i tepërt i ushqimeve të pasura me energji (të tilla si produktet e ëmbla dhe me vaj), konsumimi i ushqimeve të shpejta, aktivitet i reduktuar fizik, rritje e kohës duke qëndruar para ekranit ose ndryshime në mjedis, etj. Sigurohuni që të caktoni një vizitë tek pediatri për një ekzaminim dhe diagnostikim shtesë, si dhe për të përcaktuar dinamikën e monitorimit të mëtejshëm të rritjes!",Published
3136,23023,Më shumë rreth rritjes 10 - 12 muaj - mbipeshë,"Vëmendje urgjente! Fëmija juaj mund të jetë i/e shëndoshë, domethënë, ai/ajo ka një peshë më të madhe në krahasim me gjatësinë e tij/saj. Kjo peshë mund të rrezikojë seriozisht shëndetin e fëmijës tuaj. Reflektoni se çfarë mund të ketë kontribuar në të: konsumimi i tepërt i ushqimeve të pasura me energji (të tilla si produktet e ëmbla dhe me vaj), konsumimi i ushqimeve të shpejta, aktivitet i reduktuar fizik, rritje e kohës duke qëndruar para ekranit ose ndryshime në mjedis, etj. Sigurohuni që të caktoni një vizitë tek pediatri për një ekzaminim dhe diagnostikim shtesë, si dhe për të përcaktuar dinamikën e monitorimit të mëtejshëm të rritjes!",Published
3141,23024,Më shumë rreth rritjes 13 - 24 muaj - mbipeshë,"Vëmendje urgjente! Fëmija juaj është i/e shëndoshë (obezë), domethënë, ai/ajo ka një peshë në normë shumë të lartë krahasuar me gjatësinë e tij/saj. Pesha e tepërt e trupit ndodh më shpesh si pasojë e mbingarkesës dhe/ose aktivitetit të pamjaftueshëm fizik. Ndryshimet në mjedis dhe mënyrat e kujdesit të fëmijës mund të kontribuojnë në këtë gjë. Kjo peshë mund të rrezikojë seriozisht shëndetin e fëmijës suaj. Sigurohuni që të planifikoni një vizitë tek pediatri për një ekzaminim dhe diagnostifikim shtesë, si dhe për të përcaktuar dinamikën e monitorimit të mëtejshëm të rritjes!",Published
3146,23025,Më shumë rreth rritjes 25 - 60 muaj - mbipeshë/obezë,"Vëmendje urgjente! Fëmija juaj është i/e shëndoshë (obezë), domethënë, ai/ajo ka një peshë në normë shumë të lartë krahasuar me gjatësinë e tij/saj. Pesha e tepërt e trupit ndodh më shpesh si pasojë e mbingarkesës dhe/ose aktivitetit të pamjaftueshëm fizik. Ndryshimet në mjedis dhe mënyrat e kujdesit të fëmijës mund të kontribuojnë në këtë gjë. Kjo peshë mund të rrezikojë seriozisht shëndetin e fëmijës suaj. Sigurohuni që të planifikoni një vizitë tek pediatri për një ekzaminim dhe diagnostifikim shtesë, si dhe për të përcaktuar dinamikën e monitorimit të mëtejshëm të rritjes!",Published
3151,23026,Më shumë rreth rritjes në 6 muajt e parë - rritje normale për moshën,"Bravo! Fëmija juaj ka një gjatësi në vlera normale ose pak mbi kufirin e pritur për moshën dhe gjininë e tij/saj. Vazhdoni të ndiqni rekomandimet dhe praktikat e mira të të ushqyerit, aktivitetin fizik dhe gjumin, si dhe monitoroni rritjen e fëmijës suaj.",Published
