ID,Title,Body,Child_age,Growth_type,Standard_deviation,Related_articles,Mandatory_content,Moderation_state,Translation_language
23001,Повеќе за растот во првите 6 месеци - соодветна тежина за должина/висина,"Браво! Вашето дете добро се развива и неговата тежина е соодветна за неговата висина. Продолжете да ги следите препораките за оптимална исхрана, физичка активност и спиење. Следете го развојот на вашето дете","1st month, 2nd month, 3-4 months, 5-6 months",Height for weight,between -2SD to +2SD,"3401, 3341, 3346, 3416",1,published,
23002,Повеќе за растот од 7-9 месеци месеци - соодветна тежина за должина/висина,"Браво! Вашето дете добро се развива и неговата тежина е соодветна за неговата висина. Продолжете да ги следите препораките за оптимална исхрана, физичка активност и спиење. Следете го развојот на вашето дете",7-9 months,Height for weight,between -2SD to +2SD,"3406, 3351, 3346, 3416",1,published,
23003,Повеќе за растот од 10-12 месеци месеци - соодветна тежина за должина/висина,"Браво! Вашето дете добро се развива и неговата тежина е соодветна за неговата висина. Продолжете да ги следите препораките за оптимална исхрана, физичка активност и спиење. Следете го развојот на вашето дете",10-12 months,Height for weight,between -2SD to +2SD,"3411, 3356, 3346, 3416",1,published,
23004,Повеќе за растот од 13-24 месеци месеци - соодветна тежина за должина/висина,"Браво! Вашето дете добро се развива и неговата тежина е соодветна за неговата висина. Продолжете да ги следите препораките за оптимална исхрана, физичка активност и спиење. Следете го развојот на вашето дете",10-12 months,Height for weight,between -2SD to +2SD,"3391, 3386, 3361, 3416",1,published,
23005,Повеќе за растот од 25-60 месеци месеци - соодветна тежина за должина/висина,"Браво! Вашето дете добро се развива и неговата тежина е соодветна за неговата висина. Продолжете да ги следите препораките за оптимална исхрана, физичка активност и спиење. Следете го развојот на вашето дете","25-36 months, 37-48 months, 49-60 months, 61-72 months",Height for weight,between -2SD to +2SD,"3396, 5891, 3366, 3416",1,published,
23006,Повеќе за развојот во првите 6 месеци - лесна неухранетост,"Внимание! Вашето дете губи на тежина (или не добива тежина) и има умерено помала тежина за должина/висина. Ова најверојатно се случува во последните неколку недели, затоа размислете кои се некои од непосредните причини: неодамнешна заразна болест или дијареа, некоја друга хронична болест, недоволна или многу неправилна исхрана, промени во непосредното опкружување итн. Задолжително закажете преглед кај педијатар за да ја откриете причината, да ја надоместите загубената тежина и да ја одредите динамиката на следење на растот на детето.  На вашето дете му е итно неопходна подобрена исхрана.","1st month, 2nd month, 3-4 months, 5-6 months",Height for weight,between  -2 and -3SD,"3401, 3341, 3346, 3416",1,published,
23007,Повеќе за развојот од 7-9 месеци - лесна неухранетост,"Внимание! Вашето дете губи на тежина (или не добива тежина) и има умерено помала тежина за должина/висина. Ова најверојатно се случува во последните неколку недели, затоа размислете кои се некои од непосредните причини: неодамнешна заразна болест или дијареа, некоја друга хронична болест, недоволна или многу неправилна исхрана, промени во непосредното опкружување итн. Задолжително закажете преглед кај педијатар за да ја откриете причината, да ја надоместите загубената тежина и да ја одредите динамиката на следење на растот на детето.  На вашето дете му е итно неопходна подобрена исхрана.",7-9 months,Height for weight,between  -2 and -3SD,"3406, 3351, 3346, 3371",1,published,
23008,Повеќе за развојот од 10-12 месеци - лесна неухранетост,"Внимание! Вашето дете губи на тежина (или не добива тежина) и има умерено помала тежина за должина/висина. Ова најверојатно се случува во последните неколку недели, затоа размислете кои се некои од непосредните причини: неодамнешна заразна болест или дијареа, некоја друга хронична болест, недоволна или многу неправилна исхрана, промени во непосредното опкружување итн. Задолжително закажете преглед кај педијатар за да ја откриете причината, да ја надоместите загубената тежина и да ја одредите динамиката на следење на растот на детето.  На вашето дете му е итно неопходна подобрена исхрана.",10-12 months,Height for weight,between  -2 and -3SD,"3411, 3356, 3346, 3371",1,published,
23009,Повеќе за развојот од 13-24 месеци - лесна неухранетост,"Внимание! Вашето дете губи на тежина (или не добива тежина) и има умерено помала тежина за должина/висина. Ова најверојатно се случува во последните неколку недели, затоа размислете кои се некои од непосредните причини: неодамнешна заразна болест или дијареа, некоја друга хронична болест, недоволна или многу неправилна исхрана, промени во непосредното опкружување итн. Задолжително закажете преглед кај педијатар за да ја откриете причината, да ја надоместите загубената тежина и да ја одредите динамиката на следење на растот на детето.  На вашето дете му е итно неопходна подобрена исхрана.","13-18 months, 19-24 months",Height for weight,between  -2 and -3SD,"3391, 3386, 3361, 3371",1,published,
23010,Повеќе за развојот од 25-60 месеци - лесна неухранетост,"Внимание! Вашето дете губи на тежина (или не добива тежина) и има умерено помала тежина за должина/висина. Ова најверојатно се случува во последните неколку недели, затоа размислете кои се некои од непосредните причини: неодамнешна заразна болест или дијареа, некоја друга хронична болест, недоволна или многу неправилна исхрана, промени во непосредното опкружување итн. Задолжително закажете преглед кај педијатар за да ја откриете причината, да ја надоместите загубената тежина и да ја одредите динамиката на следење на растот на детето.  На вашето дете му е итно неопходна подобрена исхрана.","25-36 months, 37-48 months, 49-60 months, 61-72 months",Height for weight,between  -2 and -3SD,"3396, 5891, 3366, 3371",1,published,
23011,Повеќе за развојот во првите 6 месеци - тешка неухранетост,"Внимание! Вашето дете губи на тежина (или не добива тежина) и има умерено помала тежина за должина/висина. Ова најверојатно се случува во последните неколку недели, затоа размислете кои се некои од непосредните причини: неодамнешна заразна болест или дијареа, некоја друга хронична болест, недоволна или многу неправилна исхрана, промени во непосредното опкружување итн. Итно закажете преглед кај педијатар за да ја откриете причината и да одредите како да ја надоместите загубената тежина","1st Month, 2nd month, 3-4 months, 5-6 months",Height for weight,below -3SD,"3401, 3341, 3346, 3371",1,published,
23012,Повеќе за развојот од 7-9 месеци - тешка неухранетост,"Внимание! Вашето дете губи на тежина (или не добива тежина) и има умерено помала тежина за должина/висина. Ова најверојатно се случува во последните неколку недели, затоа размислете кои се некои од непосредните причини: неодамнешна заразна болест или дијареа, некоја друга хронична болест, недоволна или многу неправилна исхрана, промени во непосредното опкружување итн. Итно закажете преглед кај педијатар за да ја откриете причината и да одредите како да ја надоместите загубената тежина",7-9 months,Height for weight,below -3SD,"3406, 3351, 3346, 3371",1,published,
23013,Повеќе за развојот од 10-12 месеци - тешка неухранетост,"Внимание! Вашето дете губи на тежина (или не добива тежина) и има умерено помала тежина за должина/висина. Ова најверојатно се случува во последните неколку недели, затоа размислете кои се некои од непосредните причини: неодамнешна заразна болест или дијареа, некоја друга хронична болест, недоволна или многу неправилна исхрана, промени во непосредното опкружување итн. Итно закажете преглед кај педијатар за да ја откриете причината и да одредите како да ја надоместите загубената тежина",10-12 months,Height for weight,below -3SD,"3411, 3356, 3346",1,published,
23014,Повеќе за развојот од 13-24 месеци - тешка неухранетост,"Внимание! Вашето дете губи на тежина (или не добива тежина) и има умерено помала тежина за должина/висина. Ова најверојатно се случува во последните неколку недели, затоа размислете кои се некои од непосредните причини: неодамнешна заразна болест или дијареа, некоја друга хронична болест, недоволна или многу неправилна исхрана, промени во непосредното опкружување итн. Итно закажете преглед кај педијатар за да ја откриете причината и да одредите како да ја надоместите загубената тежина","13-18 months, 19-24 months",Height for weight,below -3SD,"3391, 3386, 3361, 3371",1,published,
23015,Повеќе за развојот од 25-60 месеци - тешка неухранетост,"Внимание! Вашето дете губи на тежина (или не добива тежина) и има умерено помала тежина за должина/висина. Ова најверојатно се случува во последните неколку недели, затоа размислете кои се некои од непосредните причини: неодамнешна заразна болест или дијареа, некоја друга хронична болест, недоволна или многу неправилна исхрана, промени во непосредното опкружување итн. Итно закажете преглед кај педијатар за да ја откриете причината и да одредите како да ја надоместите загубената тежина","25-36 months, 37-48 months, 49-60 months, 61-72 months",Height for weight,below -3SD,"3396, 5891, 3366, 3371",1,published,
