ID,Title,Body,Child_age,Growth_type,Standard_deviation,Related_articles,Mandatory_content,Moderation_state
23001,More about growth in the first 6 months - adequate weight for length/height,"Bravo! Your child grows well and her/ his weight is in harmonious with her/his height. Continue to follow the recommendations for optimal nutrition, physical activity and sleep. Keep track of your child's growth.","43,44,45,46",6461,32736,"3401, 3341, 3346, 3416",1,published
23002,More about growth 7-9 monts - adequate weight for length/height,"Bravo! Your child grows well and her/ his weight is in harmonious with her/his height. Continue to follow the recommendations for optimal nutrition, physical activity and sleep. Keep track of your child's growth.",47,6461,32736,"3406, 3351, 3346, 3416",1,published
23003,More about growth 10-12 monts - adequate weight for length/height,"Bravo! Your child grows well and her/ his weight is in harmonious with her/his height. Continue to follow the recommendations for optimal nutrition, physical activity and sleep. Keep track of your child's growth.",48,6461,32736,"3411, 3356, 3346, 3416",1,published
23004,More about growth 13-24 months - adequate weight for length/height,"Bravo! Your child grows well and her/ his weight is in harmonious with her/his height. Continue to follow the recommendations for optimal nutrition, physical activity and sleep. Keep track of your child's growth.","50,49",6461,32736,"3391, 3386, 3361, 3416",1,published
23005,More about growth 25- 60 months - adequate weight for length/height,"Bravo! Your child grows well and her/ his weight is in harmonious with her/his height. Continue to follow the recommendations for optimal nutrition, physical activity and sleep. Keep track of your child's growth.","58,57,52,51",6461,32736,"3396, 5891, 3366, 3416",1,published
23006,More about growth in the first 6 months - mild malnutrition,"Attention! Your child is losing weight (or not gaining weight) and has a moderate lack of weight for length / height.  This situation could have happened in a course of few weeks, hence consider to find out some immediate causes: recent infectious disease or diahorea, some other chronic illness, insufficient and a very improper diet, changes in the immediate environment, etc. Be sure to schedule an examination with a pediatrician to discover the cause, correct the loss and determine the dynamics of further monitoring of growth. You child needs major consideration to have an improved diet.","43,44,45,46",6461,32741,"3401, 3341, 3346, 3416",1,published
23007,More about growth 7-9 months- mild malnutrition,"Attention! Your child is losing weight (or not gaining weight) and has a moderate lack of weight for length / height.  This situation could have happened in a course of few weeks, hence consider to find out some immediate causes: recent infectious disease or diahorea, some other chronic illness, insufficient and a very improper diet, changes in the immediate environment, etc. Be sure to schedule an examination with a pediatrician to discover the cause, correct the loss and determine the dynamics of further monitoring of growth. You child needs major consideration to have an improved diet.",47,6461,32741,"3406, 3351, 3346, 3371",1,published
23008,More about growth 10-12 months- mild malnutrition,"Attention! Your child is losing weight (or not gaining weight) and has a moderate lack of weight for length / height.  This situation could have happened in a course of few weeks, hence consider to find out some immediate causes: recent infectious disease or diahorea, some other chronic illness, insufficient and a very improper diet, changes in the immediate environment, etc. Be sure to schedule an examination with a pediatrician to discover the cause, correct the loss and determine the dynamics of further monitoring of growth. You child needs major consideration to have an improved diet.",48,6461,32741,"3411, 3356, 3346, 3371",1,published
23009,More about growth 13-24 months- mild malnutrition,"Attention! Your child is losing weight (or not gaining weight) and has a moderate lack of weight for length / height.  This situation could have happened in a course of few weeks, hence consider to find out some immediate causes: recent infectious disease or diahorea, some other chronic illness, insufficient and a very improper diet, changes in the immediate environment, etc. Be sure to schedule an examination with a pediatrician to discover the cause, correct the loss and determine the dynamics of further monitoring of growth. You child needs major consideration to have an improved diet.","50,49",6461,32741,"3391, 3386, 3361, 3371",1,published
23010,More about growth 25- 60 months- mild malnutrition,"Attention! Your child is losing weight (or not gaining weight) and has a moderate lack of weight for length / height.  This situation could have happened in a course of few weeks, hence consider to find out some immediate causes: recent infectious disease or diahorea, some other chronic illness, insufficient and a very improper diet, changes in the immediate environment, etc. Be sure to schedule an examination with a pediatrician to discover the cause, correct the loss and determine the dynamics of further monitoring of growth. You child needs major consideration to have an improved diet.","58,57,52,51",6461,32741,"3396, 5891, 3366, 3371",1,published
23011,More about growth in the first 6 months - severe malnutrition,"Attention! Your child has a serious lack of weight for length / height. This situation could have happened in a course of few weeks, hence consider to find out some possible immediate causes, some causes could be: recent illness, metabolic and chronic diseases, insufficient and improper diet, changes in the immediate environment, etc. Urgently consult a pediatrician to investigate the cause and determine how to compensate for the loss.","43,44,45,46",6461,32771,"3401, 3341, 3346, 3371",1,published
