ID_A,ID,Title,Body,Moderation state
3026,23001,Подробнее о росте в первые 6 месяцев - вес соответствует длине тела / росту,"Браво! Ваш ребенок хорошо растет, и его вес гармонирует с его ростом. Продолжайте соблюдать рекомендации по оптимальному питанию, физической активности и сну. Следите за ростом вашего ребенка.

 ",Published
3031,23002,Подробнее о росте 7-9 месяцев - вес соответствует длине тела/ росту,"Браво! Ваш ребенок хорошо растет, и его вес гармонирует с его ростом. Продолжайте соблюдать рекомендации по оптимальному питанию, физической активности и сну. Следите за ростом вашего ребенка.

 ",Published
3036,23003,Подробнее о росте 10-12 месяцев - вес соответствует длине тела/ росту,"Браво! Ваш ребенок хорошо растет, и его вес гармонирует с его ростом. Продолжайте соблюдать рекомендации по оптимальному питанию, физической активности и сну. Следите за ростом вашего ребенка.",Published
3041,23004,Подробнее о росте 13-24 месяцев - вес соответствует длине тела/ росту,"Браво! Ваш ребенок хорошо растет, и его вес гармонирует с его ростом. Продолжайте соблюдать рекомендации по оптимальному питанию, физической активности и сну. Следите за ростом вашего ребенка.",Published
3046,23005,Подробнее о росте 25-60 месяцев - вес соответствует росту,"Браво! Ваш ребенок хорошо растет, и его вес гармонирует с его ростом. Продолжайте соблюдать рекомендации по оптимальному питанию, физической активности и сну. Следите за ростом вашего ребенка.",Published
3051,23006,Подробнее о росте в первые 6 месяцев – легкое недоедание,"Внимание! Ваш ребенок худеет (или не набирает вес) и имеет умеренную нехватку веса по длине / росту. Такая ситуация могла произойти в течение нескольких недель, поэтому подумайте о том, чтобы выяснить некоторые непосредственные причины: недавнее инфекционное заболевание или диарея, некоторые другие хронические заболевания, недостаточное или очень неправильное питание, изменения в ближайшем окружении и тд. Обязательно обратитесь к педиатру, чтобы выявить причину, скорректировать уменьшение роста и определить динамику дальнейшего наблюдения за ростом. Необходимо серьезно подумать об улучшении питания вашего ребенка.",Published
3056,23007,Подробнее о росте 7-9 месяцев - легкое недоедание,"Внимание! Ваш ребенок худеет (или не набирает вес) и имеет умеренную нехватку веса в соотношении с ростом. Такая ситуация могла произойти в течение нескольких недель, поэтому подумайте о том, чтобы выяснить некоторые непосредственные причины: недавнее инфекционное заболевание или диарея, некоторые другие хронические заболевания, недостаточное или очень неправильное питание, изменения в ближайшем окружении и тд. Обязательно обратитесь к педиатру, чтобы выявить причину, скорректировать уменьшение роста и определить дальнейшее наблюдение за динамикой роста. Необходимо серьезно подумать об улучшении питания вашего ребенка.",Published
3061,23008,Подробнее о росте 10-12 месяцев - легкое недоедание,"Внимание! Ваш ребенок худеет (или не набирает вес) и имеет умеренную нехватку веса в соотношении с длиной тела / ростом. Такая ситуация могла произойти в течение нескольких недель, поэтому подумайте о том, чтобы выяснить некоторые непосредственные причины: недавнее инфекционное заболевание или диарея, некоторые другие хронические заболевания, недостаточное или очень неправильное питание, изменения в ближайшем окружении и т.д. Обязательно обратитесь к педиатру, чтобы выявить причину, скорректировать снижение и установить  дальнейшее наблюдение за динамикой роста. Необходимо серьезно подумать об улучшении питания вашего ребенка.

 ",Published
3066,23009,Подробнее о росте 13-24 месяцев - легкое недоедание,"Внимание! Ваш ребенок худеет (или не набирает вес) и имеет умеренную нехватку веса в соотношении с длиной тела / ростом. Такая ситуация могла произойти в течение нескольких недель, поэтому подумайте о том, чтобы выяснить некоторые непосредственные причины: недавнее инфекционное заболевание или диарея, некоторые другие хронические заболевания, недостаточное или очень неправильное питание, изменения в ближайшем окружении и т.д. Обязательно обратитесь к педиатру, чтобы выявить причину, скорректировать уменьшение роста и определить динамику дальнейшего наблюдения за ростом. Необходимо серьезно подумать об улучшении питания вашего ребенка.

 ",Published
3071,23010,Подробнее о росте 25-60 месяцев - легкое недоедание,"Внимание! Ваш ребенок худеет (или не набирает вес) и имеет умеренную нехватку веса по длине / росту. Такая ситуация могла произойти в течение нескольких недель, поэтому подумайте о том, чтобы выяснить некоторые непосредственные причины: недавнее инфекционное заболевание или диарея, некоторые другие хронические заболевания, недостаточное или очень неправильное питание, изменения в ближайшем окружении и тд. Обязательно обратитесь к педиатру, чтобы выявить причину, скорректировать уменьшение роста и определить дальнейшее наблюдение за динамикой роста. Необходимо серьезно подумать об улучшении питания вашего ребенка.",Published
