ID,Title,Body,Child_age,Growth_type,Standard_deviation,Related_articles,Mandatory_content,Moderation_state,Translation_language
23001,Бештар дар бораи афзоиш дар 6 моҳи аввал - вазн мутобиқ ба қад,"Офарин! Фарзанди Шумо хуб ба воя расида истодааст ва вазни вай ба қадаш мутобиқ аст. Риоя намудани тавсияҳоро оид ба ғизо, фаъолияти ҷисмонӣ ва хоб идома диҳед. Аз пайи қади фарзандатон назорат баред.  ","1st month, 2nd month, 3-4 months, 5-6 months",Height for weight,between -2SD to +2SD,"3401, 3341, 3346, 3416",1,published,
23002,Бештар дар бораи афзоиш дар 7-9 моҳагӣ -  вазн мутобиқ ба қад,"Офарин! Фарзанди Шумо хуб ба воя расида истодааст ва вазни вай ба қадаш мутобиқ аст. Риоя намудани тавсияҳоро оид ба ғизо, фаъолияти ҷисмонӣ ва хоб идома диҳед. Аз пайи қади фарзандатон назорат баред.  ",7-9 months,Height for weight,between -2SD to +2SD,"3406, 3351, 3346, 3416",1,published,
23003,Бештар дар бораи афзоиш дар 10 -12 моҳагӣ - вазн мутобиқ ба қад,"Офарин! Фарзанди Шумо хуб ба воя расида истодааст ва вазни вай ба қадаш мутобиқ аст. Риоя намудани тавсияҳоро оид ба ғизо, фаъолияти ҷисмонӣ ва хоб идома диҳед. Аз пайи қади фарзандатон назорат баред.  ",10-12 months,Height for weight,between -2SD to +2SD,"3411, 3356, 3346, 3416",1,published,
23004,Бештар дар бораи афзоиш дар 13 - 24 моҳагӣ -  вазн мутобиқ ба қад,"Офарин! Фарзанди Шумо хуб ба воя расида истодааст ва вазни вай ба қадаш мутобиқ аст. Риоя намудани тавсияҳоро оид ба ғизо, фаъолияти ҷисмонӣ ва хоб идома диҳед. Аз пайи қади фарзандатон назорат баред.  ",10-12 months,Height for weight,between -2SD to +2SD,"3391, 3386, 3361, 3416",1,published,
23005,Бештар дар бораи афзоиш дар 25- 60 моҳагӣ -  вазн мутобиқ ба қад,"Офарин! Фарзанди Шумо хуб ба воя расида истодааст ва вазни вай ба қадаш мутобиқ аст. Риоя намудани тавсияҳоро оид ба ғизо, фаъолияти ҷисмонӣ ва хоб идома диҳед. Аз пайи қади фарзандатон назорат баред.  ","25-36 months, 37-48 months, 49-60 months, 61-72 months",Height for weight,between -2SD to +2SD,"3396, 5891, 3366, 3416",1,published,
23006,Бештар дар бораи афзоиш дар 6 моҳи аввал - камғизоии сабук,"Таваҷҷуҳ! Кӯдаки шумо вазни худро гум мекунад (ё вазн немегирад) ва норасоии норасоии вазн нисбат ба қад дорад.       Ин вазъият метавонист дар давоми якчанд ҳафтаи охир ба амал омада бошад, бинобар ин сабабҳои асосии ба миён омадани ин ҳолатро фикр карда бароед:  бемории сироятӣ ва ё шикамравӣ, ғизои нокифоя ва ё нодуруст, тағйирот дар гирду атрофи наздики кӯдак) ва ғ. Барои муайян намудани сабаб, ислоҳ намудани пастшавии афзоиши қад, назорат бурдани ҷарраёни инкшофи қад дар оянда ҳатман ба духтури атфол муроҷат намоед. Дар бораи беҳтар намудани ғизои фарзандатон бояд ҷиддӣ фикр кунед.  ","1st month, 2nd month, 3-4 months, 5-6 months",Height for weight,between  -2 and -3SD,"3401, 3341, 3346, 3416",1,published,
23007,Бештар дар бораи афзоиш дар 7-9 моҳагӣ - камғизоии сабук,"Таваҷҷуҳ! Кӯдаки шумо вазни худро гум мекунад (ё вазн немегирад) ва норасоии норасоии вазн нисбат ба қад дорад.       Ин вазъият метавонист дар давоми якчанд ҳафтаи охир ба амал омада бошад, бинобар ин сабабҳои асосии ба миён омадани ин ҳолатро фикр карда бароед:  бемории сироятӣ ва ё шикамравӣ, ғизои нокифоя ва ё нодуруст, тағйирот дар гирду атрофи наздики кӯдак) ва ғ. Барои муайян намудани сабаб, ислоҳ намудани пастшавии афзоиши қад, назорат бурдани ҷарраёни инкшофи қад дар оянда ҳатман ба духтури атфол муроҷат намоед. Дар бораи беҳтар намудани ғизои фарзандатон бояд ҷиддӣ фикр кунед.  ",7-9 months,Height for weight,between  -2 and -3SD,"3406, 3351, 3346, 3371",1,published,
23008,Бештар дар бораи афзоиш дар 10- 12 моҳагӣ - камғизоии сабук,"Таваҷҷуҳ! Кӯдаки шумо вазни худро гум мекунад (ё вазн немегирад) ва норасоии норасоии вазн нисбат ба қад дорад.       Ин вазъият метавонист дар давоми якчанд ҳафтаи охир ба амал омада бошад, бинобар ин сабабҳои асосии ба миён омадани ин ҳолатро фикр карда бароед:  бемории сироятӣ ва ё шикамравӣ, ғизои нокифоя ва ё нодуруст, тағйирот дар гирду атрофи наздики кӯдак) ва ғ. Барои муайян намудани сабаб, ислоҳ намудани пастшавии афзоиши қад, назорат бурдани ҷарраёни инкшофи қад дар оянда ҳатман ба духтури атфол муроҷат намоед. Дар бораи беҳтар намудани ғизои фарзандатон бояд ҷиддӣ фикр кунед.  ",10-12 months,Height for weight,between  -2 and -3SD,"3411, 3356, 3346, 3371",1,published,
23009,Бештар дар бораи афзоиш дар 13- 24 моҳагӣ -  камғизоии сабук,"Таваҷҷуҳ! Кӯдаки шумо вазни худро гум мекунад (ё вазн немегирад) ва норасоии норасоии вазн нисбат ба қад дорад.       Ин вазъият метавонист дар давоми якчанд ҳафтаи охир ба амал омада бошад, бинобар ин сабабҳои асосии ба миён омадани ин ҳолатро фикр карда бароед:  бемории сироятӣ ва ё шикамравӣ, ғизои нокифоя ва ё нодуруст, тағйирот дар гирду атрофи наздики кӯдак) ва ғ. Барои муайян намудани сабаб, ислоҳ намудани пастшавии афзоиши қад, назорат бурдани ҷарраёни инкшофи қад дар оянда ҳатман ба духтури атфол муроҷат намоед. Дар бораи беҳтар намудани ғизои фарзандатон бояд ҷиддӣ фикр кунед.  ","13-18 months, 19-24 months",Height for weight,between  -2 and -3SD,"3391, 3386, 3361, 3371",1,published,
23010,Бештар дар бораи афзоиш дар 25 - 60 моҳагӣ -  камғизоии сабук,"Таваҷҷуҳ! Кӯдаки шумо вазни худро гум мекунад (ё вазн немегирад) ва норасоии норасоии вазн нисбат ба қад дорад.       Ин вазъият метавонист дар давоми якчанд ҳафтаи охир ба амал омада бошад, бинобар ин сабабҳои асосии ба миён омадани ин ҳолатро фикр карда бароед:  бемории сироятӣ ва ё шикамравӣ, ғизои нокифоя ва ё нодуруст, тағйирот дар гирду атрофи наздики кӯдак) ва ғ. Барои муайян намудани сабаб, ислоҳ намудани пастшавии афзоиши қад, назорат бурдани ҷарраёни инкшофи қад дар оянда ҳатман ба духтури атфол муроҷат намоед. Дар бораи беҳтар намудани ғизои фарзандатон бояд ҷиддӣ фикр кунед.   ","25-36 months, 37-48 months, 49-60 months, 61-72 months",Height for weight,between  -2 and -3SD,"3396, 5891, 3366, 3371",1,published,
23011,Бештар дар бораи афзоиш дар 6 моҳи аввал - камғизоии шадид,"Таваҷҷуҳ! Вазни кӯдаки Шумо нисбат ба қадкашиаш  хело кам мебошад. Ин вазъият метавонист дар давоми якчанд ҳафта ба амал омада бошад, бинобар ин  сабабҳои асосии ба миён омадани ин ҳолатро фикр карда бароед, сабабҳо чунин шуда метавонанд: бемории ба наздикӣ аз сар гузаронда, бемориҳои метаболикӣ ва музмин, ғизои нокифоя ва ё нодуруст, тағйирот дар гирду атрофи наздик ва ғ. Ҳатман ба духтури атфол барои муайян намудани сабаб ва тарзи барқарор намудани вазн муроҷиат намоед. ","1st Month, 2nd month, 3-4 months, 5-6 months",Height for weight,below -3SD,"3401, 3341, 3346, 3371",1,published,
23012,Бештар дар бораи афзоиш дар 7- 9 моҳагӣ - камғизоии шадид,"Таваҷҷуҳ! Вазни кӯдаки Шумо нисбат ба қадкашиаш  хело кам мебошад. Ин вазъият метавонист дар давоми якчанд ҳафта ба амал омада бошад, бинобар ин  сабабҳои асосии ба миён омадани ин ҳолатро фикр карда бароед, сабабҳо чунин шуда метавонанд: бемории ба наздикӣ аз сар гузаронда, бемориҳои метаболикӣ ва музмин, ғизои нокифоя ва ё нодуруст, тағйирот дар гирду атрофи наздик ва ғ. Ҳатман ба духтури атфол барои муайян намудани сабаб ва тарзи барқарор намудани вазн муроҷиат намоед. ",7-9 months,Height for weight,below -3SD,"3406, 3351, 3346, 3371",1,published,
23013,Бештар дар бораи афзоиш дар 10- 12 моҳагӣ -  камғизоии шадид,"Таваҷҷуҳ! Вазни кӯдаки Шумо нисбат ба қадкашиаш  хело кам мебошад. Ин вазъият метавонист дар давоми якчанд ҳафта ба амал омада бошад, бинобар ин  сабабҳои асосии ба миён омадани ин ҳолатро фикр карда бароед, сабабҳо чунин шуда метавонанд: бемории ба наздикӣ аз сар гузаронда, бемориҳои метаболикӣ ва музмин, ғизои нокифоя ва ё нодуруст, тағйирот дар гирду атрофи наздик ва ғ. Ҳатман ба духтури атфол барои муайян намудани сабаб ва тарзи барқарор намудани вазн муроҷиат намоед. ",10-12 months,Height for weight,below -3SD,"3411, 3356, 3346",1,published,
23014,Бештар дар бораи афзоиш дар 13 - 24 моҳагӣ -  камғизоии шадид,"Таваҷҷуҳ! Вазни кӯдаки Шумо нисбат ба қадкашиаш  хело кам мебошад. Ин вазъият метавонист дар давоми якчанд ҳафта ба амал омада бошад, бинобар ин  сабабҳои асосии ба миён омадани ин ҳолатро фикр карда бароед, сабабҳо чунин шуда метавонанд: бемории ба наздикӣ аз сар гузаронда, бемориҳои метаболикӣ ва музмин, ғизои нокифоя ва ё нодуруст, тағйирот дар гирду атрофи наздик ва ғ. Ҳатман ба духтури атфол барои муайян намудани сабаб ва тарзи барқарор намудани вазн муроҷиат намоед. ","13-18 months, 19-24 months",Height for weight,below -3SD,"3391, 3386, 3361, 3371",1,published,
23015,Бештар дар бораи афзоиш дар 25-60 моҳ - камғизоии шадид,"Таваҷҷуҳ! Вазни кӯдаки шумо нисбат ба қадкашиаш  хело кам мебошад. Ин вазъият метавонист дар давоми якчанд ҳафта ба амал омада бошад, бинобар ин  сабабҳои асосии ба миён омадани ин ҳолатро фикр карда бароед, сабабҳо чунин шуда метавонанд: бемории ба наздикӣ аз сар гузаронда, бемориҳои метаболикӣ ва музмин, ғизои нокифоя ва ё нодуруст, тағйирот дар гирду атрофи наздик ва ғ. Ҳатман ба духтури атфол барои муайян намудани сабаб ва тарзи барқарор намудани вазн муроҷиат намоед. ","25-36 months, 37-48 months, 49-60 months, 61-72 months",Height for weight,below -3SD,"3396, 5891, 3366, 3371",1,published,
23016,Бештар дар бораи афзоиши 6 моҳи аввал - вазни зиёдатӣ,"Таваҷҷуҳ! Кӯдаки шумо нисбат ба қадаш вазни зиёдатии мӯътадил дорад. Вазни зиёдатӣ метавонад саломатии кӯдаки шуморо зери хатар гузорад, бинобар ин фикр кунед, ки кадом омил ба ин ҳолат мусоидат намудааст: аз ҳад зиёд истеъмол намудани хӯроки ғизонокиаш баланд (масалан, ширинӣ ё маҳсулоти  равғанин), истеъмоли хӯроки носолим, паст шудани фаъолияти ҷисмонӣ, зиёд гузаронидани вақт дар назди экран ва ё тағйирот дар гирду атрофи наздик ва ғ. Ҳатман ба духтури атфол муроҷиат намоед, то ин ки тавсияҳои иловагӣ гиред ва ҷараёни инкишофи афзоиши кӯдакатонро назорат намоед.","1st month, 2nd month, 3-4 months, 5-6 months",Height for weight,between +2 and +3SD,"3401, 3341, 3346, 3376",1,published,
23017,Бештар дар бораи афзоиш дар 7-9 моҳагӣ - вазни зиёдатӣ,"Таваҷҷуҳ! Кӯдаки шумо нисбат ба қадаш вазни зиёдатии мӯътадил дорад. Вазни зиёдатӣ метавонад саломатии кӯдаки шуморо зери хатар гузорад, бинобар ин фикр кунед, ки кадом омил ба ин ҳолат мусоидат намудааст: аз ҳад зиёд истеъмол намудани хӯроки ғизонокиаш баланд (масалан, ширинӣ ё маҳсулоти  равғанин), истеъмоли хӯроки носолим, паст шудани фаъолияти ҷисмонӣ, зиёд гузаронидани вақт дар назди экран ва ё тағйирот дар гирду атрофи наздик ва ғ. Ҳатман ба духтури атфол муроҷиат намоед, то ин ки тавсияҳои иловагӣ гиред ва ҷараёни инкишофи афзоиши кӯдакатонро назорат намоед.",7-9 months,Height for weight,between +2 and +3SD,"3406, 3351, 3346, 3376",1,published,
23018,Бештар дар бораи афзоиш дар 10 - 12 моҳ - вазни зиёдатӣ,"Таваҷҷуҳ! Кӯдаки шумо нисбат ба қадаш вазни зиёдатии мӯътадил дорад. Вазни зиёдатӣ метавонад саломатии кӯдаки шуморо зери хатар гузорад, бинобар ин фикр кунед, ки кадом омил ба ин ҳолат мусоидат намудааст: аз ҳад зиёд истеъмол намудани хӯроки ғизонокиаш баланд (масалан, ширинӣ ё маҳсулоти  равғанин), истеъмоли хӯроки носолим, паст шудани фаъолияти ҷисмонӣ, зиёд гузаронидани вақт дар назди экран ва ё тағйирот дар гирду атрофи наздик ва ғ. Ҳатман ба духтури атфол муроҷиат намоед, то ин ки тавсияҳои иловагӣ гиред ва ҷараёни инкишофи афзоиши кӯдакатонро назорат намоед.",10-12 months,Height for weight,between +2 and +3SD,"3411, 3356, 3346, 3376",1,published,
23019,Бештар дар бораи афзоиш дар 13 - 24 моҳ - вазни зиёдатӣ,"Таваҷҷуҳ! Кӯдаки шумо нисбат ба қадаш вазни зиёдатии мӯътадил дорад. Вазни зиёдатӣ метавонад саломатии кӯдаки шуморо зери хатар гузорад, бинобар ин фикр кунед, ки кадом омил ба ин ҳолат мусоидат намудааст: аз ҳад зиёд истеъмол намудани хӯроки ғизонокиаш баланд (масалан, ширинӣ ё маҳсулоти  равғанин), истеъмоли хӯроки носолим, паст шудани фаъолияти ҷисмонӣ, зиёд гузаронидани вақт дар назди экран ва ё тағйирот дар гирду атрофи наздик ва ғ. Ҳатман ба духтури атфол муроҷиат намоед, то ин ки тавсияҳои иловагӣ гиред ва ҷараёни инкишофи афзоиши кӯдакатонро назорат намоед.","13-18 months, 19-24 months",Height for weight,between +2 and +3SD,"3391, 3386, 3361, 3381",1,published,
