ID,Title,Body,Child_age,Growth_type,Standard_deviation,Related_articles,Mandatory_content,Moderation_state,Translation_language
23001,Dastlabki 6 oyda rivojlanish haqida batafsil  maʼlumot - tana uzunligi/bo'y vaznga mos.,"Juda yaxshi! Farzandingiz yaxshi oʻsmoqda va uning vazni boʻyiga mos. Toʻgʻri ovqatlanish, jismoniy faollik va uxlash boʻyicha tavsiyalarni bajarishda davom eting. Farzandingizning oʻsishini kuzatib boring.","1st month, 2nd month, 3-4 months, 5-6 months",Height for weight,between -2SD to +2SD,"3401, 3341, 3346, 3416",1,published,
23002,7-9 oylar orasidagi rivojlanish haqida batafsil  maʼlumot - tana uzunligi/bo'y vaznga mos.,"Juda yaxshi! Farzandingiz yaxshi oʻsmoqda va uning vazni boʻyiga mos. Toʻgʻri ovqatlanish, jismoniy faollik va uxlash boʻyicha tavsiyalarni bajarishda davom eting. Farzandingizning oʻsishini kuzatib boring.",7-9 months,Height for weight,between -2SD to +2SD,"3406, 3351, 3346, 3416",1,published,
23003,10-12 oylar orasidagi rivojlanish haqida batafsil  maʼlumot - tana uzunligi/bo'y vaznga mos.,"Juda yaxshi! Farzandingiz yaxshi oʻsmoqda va uning vazni boʻyiga mos. Toʻgʻri ovqatlanish, jismoniy faollik va uxlash boʻyicha tavsiyalarni bajarishda davom eting. Farzandingizning oʻsishini kuzatib boring.",10-12 months,Height for weight,between -2SD to +2SD,"3411, 3356, 3346, 3416",1,published,
23004,13-24 oylar orasidagi rivojlanish haqida batafsil  maʼlumot - tana uzunligi/bo'y vaznga mos.,"Juda yaxshi! Farzandingiz yaxshi oʻsmoqda va uning vazni boʻyiga mos. Toʻgʻri ovqatlanish, jismoniy faollik va uxlash boʻyicha tavsiyalarni bajarishda davom eting. Farzandingizning oʻsishini kuzatib boring.",10-12 months,Height for weight,between -2SD to +2SD,"3391, 3386, 3361, 3416",1,published,
23005,25-60 oylar orasidagi rivojlanish haqida batafsil  maʼlumot - tana uzunligi/bo'y vaznga mos.,"Juda yaxshi! Farzandingiz yaxshi oʻsmoqda va uning vazni boʻyiga mos. Toʻgʻri ovqatlanish, jismoniy faollik va uxlash boʻyicha tavsiyalarni bajarishda davom eting. Farzandingizning oʻsishini kuzatib boring.","25-36 months, 37-48 months, 49-60 months, 61-72 months",Height for weight,between -2SD to +2SD,"3396, 5891, 3366, 3416",1,published,
23006,Dastlabki 6 oyda rivojlanish haqida batafsil maʼlumot - Oziqlanishning Oqsil Energetik Yetishmovchiligi (OOEY) -ozishning yengil darajasi,"Diqqat! Farzandingiz ozib ketmoqda (yoki vazn orttirmayapti) va tana uzunligi/boʻyning  vaznga nisbatan mosligi boʻyicha oʻrtacha yetishmasligi mavjud. Bu holat bir necha hafta davomida sodir boʻlgan boʻlishi mumkin, shuning uchun baʼzi bir bevosita sabablarni aniqlashni oʻylab koʻring: yaqinda kechirilgan yuqumli kasallik yoki ich ketish, biror bir boshqa surunkali kasalliklar, yetarli darajada ovqatlanmaslik yoki notoʻgʻri ovqatlanish, atrofdagi oʻzgarishlar va h. Sababni aniqlash uchun, vazn yoʻqotishni toʻхtatish uchun va oʻsish dinamikasini aniqlash, keyingi davrda qanday kuzatib borish kerakligini bilib olish uchun pediatr koʻrigiga borishni rejalashtiring.  Farzandingizni ovqatlanishini yaxshilash  va ovqat turlari haqida oʻylab jiddiy harakat qilish kerak.","1st month, 2nd month, 3-4 months, 5-6 months",Height for weight,between  -2 and -3SD,"3401, 3341, 3346, 3416",1,published,
23007,7-9 oylar orasidagi rivojlanish haqida batafsil maʼlumot - Oziqlanishning Oqsil Energetik Yetishmovchiligi (OOEY) -ozishning yengil darajasi,"Diqqat! Farzandingiz ozib ketmoqda (yoki vazn orttirmayapti) va tana uzunligi/boʻyning  vaznga nisbatan mosligi boʻyicha oʻrtacha yetishmasligi mavjud. Bu holat bir necha hafta davomida sodir boʻlgan boʻlishi mumkin, shuning uchun baʼzi bir bevosita sabablarni aniqlashni oʻylab koʻring: yaqinda kechirilgan yuqumli kasallik yoki ich ketish, biror bir boshqa surunkali kasalliklar, yetarli darajada ovqatlanmaslik yoki notoʻgʻri ovqatlanish, atrofdagi oʻzgarishlar va h. Sababni aniqlash uchun, vazn yoʻqotishni toʻхtatish uchun va oʻsish dinamikasini aniqlash, keyingi davrda qanday kuzatib borish kerakligini bilib olish uchun pediatr koʻrigiga borishni rejalashtiring.  Farzandingizni ovqatlanishini yaxshilash  va ovqat turlari haqida oʻylab jiddiy harakat qilish kerak.",7-9 months,Height for weight,between  -2 and -3SD,"3406, 3351, 3346, 3371",1,published,
23008,10-12 oylar orasidagi rivojlanish haqida batafsil maʼlumot - Oziqlanishning Oqsil Energetik Yetishmovchiligi (OOEY) -ozishning yengil darajasi,"Diqqat! Farzandingiz ozib ketmoqda (yoki vazn orttirmayapti) va tana uzunligi/boʻyning  vaznga nisbatan mosligi boʻyicha oʻrtacha yetishmasligi mavjud. Bu holat bir necha hafta davomida sodir boʻlgan boʻlishi mumkin, shuning uchun baʼzi bir bevosita sabablarni aniqlashni oʻylab koʻring: yaqinda kechirilgan yuqumli kasallik yoki ich ketish, biror bir boshqa surunkali kasalliklar, yetarli darajada ovqatlanmaslik yoki notoʻgʻri ovqatlanish, atrofdagi oʻzgarishlar va h. Sababni aniqlash uchun, vazn yoʻqotishni toʻхtatish uchun va oʻsish dinamikasini aniqlash, keyingi davrda qanday kuzatib borish kerakligini bilib olish uchun pediatr koʻrigiga borishni rejalashtiring.  Farzandingizni ovqatlanishini yaxshilash  va ovqat turlari haqida oʻylab jiddiy harakat qilish kerak.",10-12 months,Height for weight,between  -2 and -3SD,"3411, 3356, 3346, 3371",1,published,
23009,13-24 oylar orasidagi rivojlanish haqida batafsil maʼlumot - Oziqlanishning Oqsil Energetik Yetishmovchiligi (OOEY) -ozishning yengil darajasi,"Diqqat! Farzandingiz ozib ketmoqda (yoki vazn orttirmayapti) va tana uzunligi/boʻyning  vaznga nisbatan mosligi boʻyicha oʻrtacha yetishmasligi mavjud. Bu holat bir necha hafta davomida sodir boʻlgan boʻlishi mumkin, shuning uchun baʼzi bir bevosita sabablarni aniqlashni oʻylab koʻring: yaqinda kechirilgan yuqumli kasallik yoki ich ketish, biror bir boshqa surunkali kasalliklar, yetarli darajada ovqatlanmaslik yoki notoʻgʻri ovqatlanish, atrofdagi oʻzgarishlar va h. Sababni aniqlash uchun, vazn yoʻqotishni toʻхtatish uchun va oʻsish dinamikasini aniqlash, keyingi davrda qanday kuzatib borish kerakligini bilib olish uchun pediatr koʻrigiga borishni rejalashtiring.  Farzandingizni ovqatlanishini yaxshilash  va ovqat turlari haqida oʻylab jiddiy harakat qilish kerak.","13-18 months, 19-24 months",Height for weight,between  -2 and -3SD,"3391, 3386, 3361, 3371",1,published,
23010,25-60 oylar orasidagi rivojlanish haqida batafsil maʼlumot - Oziqlanishning Oqsil Energetik Yetishmovchiligi (OOEY) -ozishning yengil darajasi,"Diqqat! Farzandingiz ozib ketmoqda (yoki vazn orttirmayapti) va tana uzunligi/boʻyning  vaznga nisbatan mosligi boʻyicha oʻrtacha yetishmasligi mavjud. Bu holat bir necha hafta davomida sodir boʻlgan boʻlishi mumkin, shuning uchun baʼzi bir bevosita sabablarni aniqlashni oʻylab koʻring: yaqinda kechirilgan yuqumli kasallik yoki ich ketish, biror bir boshqa surunkali kasalliklar, yetarli darajada ovqatlanmaslik yoki notoʻgʻri ovqatlanish, atrofdagi oʻzgarishlar va h. Sababni aniqlash uchun, vazn yoʻqotishni toʻхtatish uchun va oʻsish dinamikasini aniqlash, keyingi davrda qanday kuzatib borish kerakligini bilib olish uchun pediatr koʻrigiga borishni rejalashtiring.  Farzandingizni ovqatlanishini yaxshilash  va ovqat turlari haqida oʻylab jiddiy harakat qilish kerak.","25-36 months, 37-48 months, 49-60 months, 61-72 months",Height for weight,between  -2 and -3SD,"3396, 5891, 3366, 3371",1,published,
