ID,Title,Body,Child_age,Child_gender,Parent_gender,Keywords,Mandatory_content,Translation_language,Moderation_state
21,How do vaccines work?,"<p>Vaccines contain either a very weakened form of the virus or bacterium that causes a disease, or a small part of it. When the body detects the contents of the vaccine, its immune system will produce the antibodies required to fight off infection and eliminate the disease-causing virus or bacterium. When a person later comes into contact with the virus or bacterium, the immune system will recognize it and protect the person by producing the right antibodies before any disease can be caused.</p>",58,,,"immunization, vaccination, child health, disease prevention",,en,published
101,What are symptoms of COVID-19 in children,"<p>Children with confirmed COVID-19 have generally shown mild symptoms; reported symptoms in children include cold-like symptoms, such as fever, runny nose, and cough and sometimes also diarrhea and vomiting.</p>",,,,"symptoms, sick child, COVID-19",,en,reviewer_review
106,Hygiene during  breastfeeding if mother is COVID-19 positive,"<p>If a breastfeeding mother is confirmed/suspected to have COVID-19 she should:</p>

<ul>
	<li>Wash hands frequently with soap and water or use alcohol-based hand rub, especially before touching the baby.</li>
	<li>Wear a medical mask while feeding and replace masks as soon as they become damp. Masks should be disposed immediately after use and not re-used. When taking the mask off, don't touch the front of the mask but untie it from behind. </li>
	<li>Sneeze or cough into a tissue, immediately dispose of it and use alcohol-based hand rub or wash hands again with soap and clean water</li>
	<li>Regularly clean and disinfect surfaces</li>
</ul>

<p> </p>",,,,"suspected COVID-19, confirmed COVID-19, breastfeeding, hygiene",,en,published
111,Should infant formula replace breastfeeding if mother is COVID-19 positive,"<p>No, infant formula should not replace breastfeeding. There are always risks associated with giving infant formula milk to newborns and infants in all settings. The risks associated with giving infant formula milk are increased whenever home and community conditions are compromised e.g. reduced access to health services if a baby becomes unwell / reduced access to clean water / access to supplies of infant formula milk are difficult or not guaranteed, not affordable and not sustainable. The numerous benefits of breastfeeding substantially outweigh the potential risks of transmission and illness associated with the COVID-19 virus.</p>",,,,"suspected COVID-19, confirmed COVID-19, breastfeeding, infant formula, safe, safety",,en,draft
116,Should infant formula be added to breastfeeding if mother is COVID-19 positive,"<p>No. If a mother is confirmed/suspected to have COVID-19 and is breastfeeding, there is no need to provide a ‘top-up’ with an infant formula milk. Giving a ‘top-up’ will reduce the amount of milk produced by a mother. Mothers who breastfeed should be supported to optimize positioning and attachment to ensure adequate milk production. Mothers should respond to infants’ hunger and breastfeed on demand.</p>",,,,"suspected COVID-19, confirmed COVID-19, breastfeeding, infant formula",,en,draft
121,Are children receiving too many vaccines too soon?,"<p><strong>No. Newborns commonly manage many challenges to their immune systems at the same time. </strong>The mother’s womb is free from bacteria and viruses, so newborns immediately face a host of different challenges to their immune systems. From the moment of birth, thousands of different bacteria start to live on the surface of the intestines. By quickly making immune responses to these bacteria, babies keep them from invading the bloodstream and causing serious diseases. In fact, babies are capable of responding to millions of different viruses and bacteria because they have billions of immunological cells circulating in their bodies. Therefore, vaccines given in the first two years of life are a drop in the ocean of what an infant’s immune system successfully encounters and manages every day.</p>",46,,,"vaccines, safety, newborns, delaying vaccines",,en,draft
126,Can I put a sunscreen cream on my baby?,"<p>We never put a cream with a protective factor on babies up to 6 months of age. We protect it in other ways, a hat with a large brim on the head, glasses that protect from UV radiation on the eyes, a parasol on the stroller so that the baby is in the shade all the time, and a greasy cream is applied to the hands and cheeks.</p>

<p>Infants older than 6 months should be protected with the cream with the highest protection factor. Apply the cream 20 minutes before going for a walk and apply again every two hours. Avoid sun exposure between 11 am and 5 pm. When using a new cream, you must first test it, apply a small area of ​​the child's skin in the area of ​​the forearm and make sure that there is no rash, redness or itching in the next 24 hours. If there are no changes in the skin, the child can apply this protective cream. Remember that sunscreen filters UV radiation, but doesn’t completely block it out. You need to <strong>seek shade and put your child in sun-protective clothing too</strong>. </p>",,,,"sun protection, baby",,en,published
131,Can I spoil my baby?,"<p>The answer to this question is ‘<strong>No!</strong>’</p>

<p>Babies do need lots of attention, and you might worry – or other people might tell you – that if you ‘give in’ too often or give too much attention, it will ‘spoil’ your baby. But this won’t happen. <strong>You won’t create bad habits by responding</strong> to your baby’s needs.</p>

<p>Very young babies can’t consciously connect cause and effect. They don’t think to themselves, ‘I’m going to cry until I get what I want!’ If your baby is crying or fussing, it might be because she’s cold or hungry, has a dirty nappy, or is in pain. Or she might just want to know you’re nearby. Ignoring your baby when she’s fussing won’t teach her to sort it out for herself, because she can’t do that yet.</p>",,,,"care, bonding, stimulation, crying",,en,published
136,What are signs that newborn is tired?,"<p>Newborn babies will probably get tired if they’ve been awake for 1-1½ hours. When you see tired signs, it’s time to reduce stimulation and settle your child for sleep. Newborn tired signs include pulling at ears, jerking arms and legs, and sucking fingers.</p>

<p>If your newborn is tired, you might see some of the following tired signs:</p>

<ul>
	<li>pulling at ears</li>
	<li>closing fists</li>
	<li>yawning</li>
	<li>fluttering eyelids or difficulty focusing – your baby might even go cross-eyed or seem to be staring into space</li>
	<li>making jerky arm and leg movements, or arching backwards</li>
	<li>frowning or looking worried</li>
	<li>sucking on fingers – this could be a good sign and might mean that your baby is trying to find ways to settle to sleep.</li>
</ul>",43,,,"overstimulation, tired, newborns",,en,draft
141,What is breastmilk jaundice?,"<p>Breastfed babies often get breastmilk jaundice. This is when a substance in the mother’s breastmilk interferes with the baby’s ability to get rid of bilirubin. This type of jaundice often happens about one week after birth and may last up to 12 weeks. Your doctor will confirm the diagnosis by simple blood tests.</p>

<p><strong>Breastmilk jaundice isn’t harmful and usually sorts itself out after several weeks.</strong></p>",43,,,"jaundice, newborn, breastmilk",,en,reviewer_review
146,What is recommended screen time?,"<p>It is is hard to avoid your child to use a screen. However, experts recommend that children don’t have screen time during their first 18 months. An overuse of screens can cause problems of speech, language, motor abilities and fitness in young children. Nevertheless, screen time for toddlers is recommended to be limited to one hour per day and do it in the presence and company of the parents.</p>

<p> </p>

<p> </p>",50,,,"screen time, safe play",,en,draft
