ID,Title,Translation_language,Moderation_state
5106,"A loving relationship with the parent is the foundation of every baby’s healthy growth and development!",en,published
5111,"Understanding and responding to your baby’s needs makes you a successful parent",en,published
5116,"Your love, warmth and care are emotional food for your baby",en,published
5121,"Daily routines are good for both you and your baby!",en,published
5126,"Babies love it when parents talk to them",en,published
5131,"Clear boundaries help children to learn what they should and should not do",en,published
5136,"Positive parenting is satisfying for both parent and child",en,published
5141,"When you feel good, your child feels good as well",en,published
5146,"With your love and support, the world is a safe and friendly place for your child",en,published
5151,"Every day is a good day to hug and cuddle your baby!",en,published
5156,"Don’t worry, you cannot spoil a child with too much love!",en,published
5161,"With love and kindness, you can help your child to learn what is acceptable behavior",en,published
5166,"Adjust your sleeping and waking patterns to those of your newborn",en,published
5171,"Be realistic about what you can expect from your child according to their age",en,published
5176,"Caring for a baby can be demanding – make sure to give yourself “me time”",en,published
5181,"Every baby needs at least one adult who loves them totally and unconditionally",en,published
5186,"Your needs are important – find time to engage in activities that you enjoy!",en,published
5191,"Parenting can be one of the most fulfilling experiences-enjoy it!",en,published
5196,"Indulge in playful parenting and enjoy!",en,draft
5201,"You don’t have to accomplish everything you plan every day.",en,draft
5206,"Parenting can be even more interesting if you read and learn about how children develop",en,published
5211,"Daily exercise will give you a feeling of physical and mental wellbeing",en,published
5216,"Stress is inevitable – but you can learn simple ways to manage it",en,published
5221,"Parents who pursue their dreams are good models for their children",en,published
5226,"Play can be an enjoyable learning experience for parent and child.",en,published
5231,"Let your child reawaken the child in you!",en,published
5236,"Taking care of your own health and wellness has a positive effect on your child’s wellbeing",en,published
5241,"Harmonious family rhythms contribute to the satisfaction of all members",en,published
5246,"You can give and receive support for parenting through interacting with other parents",en,published
5251,"No parent can claim to be perfect, just try to be the best parent you can",en,published
5256,"A mistake now and then is unavoidable – treat it as an opportunity to learn something about yourself",en,published
5261,"Do not hesitate to seek support from a trusted friend or professional if you have a concern",en,published
5266,"Use every opportunity to play with your baby!",en,published
5271,"Your family is your child’s safe haven",en,published
5276,"Each child develops at their own pace; try not to compare your child with other children",en,published
5281,"If something about your child worries you, speak to your paediatrician",en,published
5286,"Let the child in you connect with your child!",en,published
5291,"Enjoy reliving your childhood memories and fantasies!",en,published
5296,"If a child lives with encouragement, he learns confidence",en,published
5301,"Make reading to your baby a daily habit",en,published
5306,"Discuss and harmonize your parenting style with your partner",en,published
5311,"You learn something new about your child every day!",en,published
5316,"Make sure that you play with your child everyday",en,published
