ID,Title,Body,Child_age,Related_articles,Related_video_articles,Related_activities,Translation_language,Moderation_state
2526,Qetësohet kur e merrni në krah,"<p>Kur e merrni në krahë, ju e ndjeni se foshnja po përshtatet me përqafimin dhe struket në gjoksin tuaj.</p>",,6286,6286,,al-sq,published
2531,Ngazëllehet kur i flisni,"<p>Kur ai dëgjon zërin tuaj, foshnja tregon entuziazëm, por gjithashtu vini re se ai ngadalëson lëvizjet e tij, duket se po dëgjon, se është i pranishëm …</p>",,6311,6311,,al-sq,published
2536,Ju shikon ndërsa ju qeshni dhe flisni me të,"<p>Kur flisni me të, foshnja kërkon me sytë e saj fytyrën tuaj</p>",,6291,6291,,al-sq,review_after_translation
2541,Bën tinguj,"<p>Fëmija qan, por edhe prodhon tinguj</p>",,6296,6296,,al-sq,review_after_translation
2546,Hap dhe mbyll grushtin e tij kur e prekni butësisht,"<p>Kur prekni pëllëmbën e foshnjës ose vendosni diçka në të, ai do ta mbyllë grushtin fort. Nëse i jepni gishtin ai e mban atë fuqishëm.</p>",,6301,6301,,al-sq,review_after_translation
2551,Lëviz krahët dhe këmbët e saj lirshëm në të dy anët,"<p>Kur ajo është e lirë, ju mund të shihni lëvizje krejtësisht të rastësishme të duarve dhe këmbëve të fëmijës.</p>",,6306,6306,,al-sq,review_after_translation
2556,"Kur qëndron në stomak, ai ngre kokën","<p>Kur e vendosni në pozitën përmbys, fëmija do të provojë të ngre kokën për të liruar rrugët e frymëmarrjes.</p>",,6281,6281,,al-sq,review_after_translation
2561,"Bën tinguj të ndryshëm kur është i lumtur, i mërzitur apo i uritur","<p>E qara e fëmija ndryshon kur ai ka nevoja të caktuara, kështu që bazuar në tingujt që ai bën mund të njihet nëse ai është i lumtur, i mërzitur apo ka ndonjë nevojë tjetër.</p>",,6316,6316,,al-sq,review_after_translation
2566,Mund të vetë-qetësohet për pak kohë,<p>Fëmija qetëson veten duke thithur gishtin ose dorën e saj të vogël.</p>,,6361,6361,,al-sq,review_after_translation
2571,Kthen kokën e tij drejt burimit të zërit dhe tregon se është duke dëgjuar,"<p>Nëse dëgjon një zë njerëzor ose ndonjë tingull tjetër, fëmija kthen kokën në atë drejtim. Ndërsa dëgjon zërin, ai vështron prindërit ose personin që flet, duke ngadalësuar lëvizjet e tij.</p>",,6326,6326,,al-sq,review_after_translation
2576,"Gugatë, krijon tinguj",<p>Ajo artikulon zëra të ndryshëm.</p>,,6321,6321,,al-sq,review_after_translation
2581,Ndjek lëvizjen e gjërave dhe të personave me sy,"<p>Kur lodrat, objektet apo personat i shfaqen përpara, fëmija përpiqet të ndjek linjën e lëvizjes së tyre.</p>",,6336,6336,,al-sq,review_after_translation
2586,Shfaq mërzitje apo qan nëse aktiviteti ndryshon,"<p>Foshnja ankohet duke qarë nëse lihet në një pozicion për një kohë të gjatë, ose proteston nëse e lëshoni atë pasi e keni mbajtur në krahë.</p>",,,,,al-sq,review_after_translation
2591,"Në raste të caktuara mban grushtet e hapura, dhe manipulon me to.","<p>Pjesën më të madhe të kohës, foshnja ende i mban duart e shtrënguara në grushte, por ai herë pas here i hap ato dhe i mban të hapura për disa kohë. Ai shikon duart e tij duke lëvizur, dhe i mban ato në gojën e tij.</p>",,6356,6356,,al-sq,review_after_translation
2596,"Kthen kokën në njërën anë, më pas në anën tjetër",<p>Foshnja bën shumë lëvizje të ndryshme të qafës dhe kokës.</p>,,6351,6351,,al-sq,review_after_translation
2601,Bën lëvizje fine me krahët dhe këmbët e tij,"<p>Kur është i lirë, mund të shihni shumë lëvizje të zakonshme të krahëve dhe këmbëve të fëmijës.</p>",,6341,6341,,al-sq,published
2606,"Kur është përmbys, foshnja qëndron në tokë, me parakrahët e saj","<p>Kur vendoset në pozicionin përmbys, foshnja mund të ngrejë kokën duke u mbështetur në parakrahë, dhe duke u zvarritur në dysheme.</p>",,6346,6346,,al-sq,review_after_translation
2611,Qesh me fytyrën e njerëzve të tjerë,"<p>Shpeshherë, buzëqesh lehtësisht dhe në mënyrë spontane me njerëzit afër saj.</p>",,6401,6401,,al-sq,review_after_translation
2616,Vëzhgon me kujdes fytyrat e njerëzve,"<p>Vëzhgon me kujdes dhe hollësisht fytyrat e njerëzve, mban kontakt të gjatë me sy.</p>",,6386,6386,,al-sq,review_after_translation
2621,Tregon që është e zemëruar ose e lumtur,"<p>Ka reagime që lehtësisht mund të vihen re, të cilat tregojnë kënaqësi apo pakënaqësi.</p>",,6381,6381,,al-sq,review_after_translation
2626,Ndjek me sy një lodër që lëviz nga njëra anë në tjetrën,"<p>Kur objektet apo personat lëvizin përpara, ai ndjek ritmin e lëvizjes me sy.</p>",,6396,6396,,al-sq,review_after_translation
2631,Fillon të murmurisë,"<p>Vokalizon dhe prodhon tinguj që i ngjajnë zanoreve - a, e, i, o, u</p>",,6371,6371,,al-sq,review_after_translation
2636,Ngjitet dhe zbret shkallët,<p>Ngjitet në shkallë duke u mbështetur dhe duke përdorur në mënyrë alternative njërën këmbë dhe më pas tjetrën.</p>,,6811,6811,,al-sq,review_after_translation
2641,"Fillon të imitojë lëvizjet dhe shprehjet e fytyrës, si dhe tingujt gjatë lojës","<p>Kur i drejtoheni atij, foshnja juaj përpiqet të përsërisë lëvizjen ose shprehjen tuaj. Ai përgjigjet ndaj të folurit dhe fjalimit duke prodhuar tinguj.</p>",,"3626, 6376","3626, 6376",,al-sq,review_after_translation
2646,Zhvillon koordinimin dorë-sy,"<p>Rritet aftësia për koordinimin dorë-sy, për shembull: fëmija juaj shikon një objekt dhe përpiqet që ta arrijë atë.</p>",,6406,6406,,al-sq,review_after_translation
2651,"Kopjon rrathë me një laps, shkumës druri apo dylli","<p>Kopjon rrathë me një laps, shkumës druri apo dylli.</p>",,6826,6826,,al-sq,review_after_translation
2656,"Mban një lodër me njërën dorë, e eksploron, e tund dhe e godet atë","<p>Ajo arrin një objekt dhe e kap atë duke përdorur pjesën e jashtme të pëllëmbës, pa përdorur gishtin e madh. Ajo manipulon me objektin duke e tundur, duke e goditur ose duke e futur në gojë.</p>",,6391,6391,,al-sq,review_after_translation
2666,Vendos duart në gojë,<p>Shumë shpesh ai/ajo vendos duart e tij/saj në gojë. Ai/ajo gjithashtu eksploron objekte tjera duke i futur në gojë.</p>,,6366,6366,,al-sq,review_after_translation
