ID,Title,Body,Child_age,Related_articles,Related_video_articles,Related_activities,Translation_language,Moderation_state
2526,"Расслабляется, когда берете на руки","<p>Когда вы поднимаете малыша и берете на руки, вы можете почувствовать, как он устраивается поудобнее, прижимаясь к вам.</p>",,6286,6286,,by-ru,published
2531,"Радуется, когда вы с ним разговариваете","<p>Когда малыш слышит ваш голос, он  радуется. Во время общения с ребенком вы можете заметить, что его движения становятся более спокойными — видно, что он внимательно слушает...</p>",,6311,6311,,by-ru,published
2536,"Смотрит на вас, когда вы улыбаетесь и разговариваете с малышом","<p>Когда вы улыбаетесь и разговариваете с малышом, он смотрит на ваше лицо.</p>",,6291,6291,,by-ru,published
2541,Издает звуки,"<p>Малыш плачет, но может издавать и другие звуки.</p>",,6296,6296,,by-ru,published
2546,"Сжимает ладонь в кулачок, если нежно к ней прикоснуться","<p>Когда вы дотрагиваетесь до ладошки малыша или кладете в нее что-то, он плотно сжимает руку в кулак. Если дадите ему свой палец, он крепко за него держится.</p>",,6301,6301,,by-ru,published
2551,Свободно двигает руками и ногами,"<p>Когда руки и ноги малыша свободны, вы можете заметить, как он хаотично и нескоординированно шевелит ими.</p>",,6306,6306,,by-ru,published
2556,"Лежа на животе, поднимает голову","<p>Когда вы выкладываете малыша на живот, он пытается поднять голову, чтобы ему было легче дышать.</p>",,6281,6281,,by-ru,published
2561,"Издает разные звуки, когда радуется, расстроен или голоден","<p>Ребенок плачет по-разному в зависимости от того, что ему нужно, поэтому по звукам, которые он издает, можно понять, когда малыш радуется, расстроен или ему что-то нужно.</p>",,6316,6316,,by-ru,published
2566,Может успокоиться и сам себя занять на некоторое время,"<p>Малыш успокаивается, начиная сосать свой палец или кулачок.</p>",,6361,6361,,by-ru,published
2571,Поворачивает голову к источнику звука и слушает,"<p>Когда малыш слышит человеческий голос или какой-то другой звук, он поворачивает голову в его сторону. Прислушиваясь к голосу, ребенок пристально смотрит на родителя или говорящего, замедляя свои движения.</p>

<p> </p>",,6326,6326,,by-ru,published
2576,"Гулит, издает звуки",<p> Малыш начинает издавать разные звуки.</p>,,6321,6321,,by-ru,published
2581,Следит за движущимися предметами и людьми,"<p>Когда люди, предметы или игрушки в поле зрения ребенка двигаются, малыш пытается прослеживать взглядом за их перемещением.</p>",,6336,6336,,by-ru,published
2586,"Скучает или плачет, если меняется занятие","<p>Ребенок жалуется, плачет, если его надолго оставляют в одном положении, или протестует, если вы кладете его после того, как держали на руках.</p>",,,,,by-ru,published
2591,"Ненадолго разжимает кулачки, шевелит руками.","<p>Малыш по-прежнему большую часть времени держит ладошки сжатыми в кулачки, но иногда их раскрывает и может в течение некоторого времени держать их открытыми. Ребенок смотрит на руки, когда двигает ими и может подносить их ко рту.</p>",,6356,6356,,by-ru,published
