ID,Title,Body,Child_age,Related_articles,Related_video_articles,Related_activities,Translation_language,Moderation_state
2526,"Успокоява се, когато го вземете на ръце","<p>Когато го вдигнете, усещате бебето да се намества в прегръдката и да се сгушва на гърдите ви</p>",,6286,6286,,bg-bg,review_after_translation
2531,"Въодушевено е, когато му говорите","<p>Когато чуе гласа ви, бебето показва вълнение, а вие забелязвате, че забавя движенията си, изглежда, че слуша, че участва...</p>",,6311,6311,,bg-bg,review_after_translation
2536,"Гледа ви, докато му се усмихвате и му говорите","<p>Когато му говорите, бебето търси с очи лицето ви</p>",,6291,6291,,bg-bg,review_after_translation
2541,Произная звуци/ вокализира,"<p>Бебето плаче, но също така произнася звуци</p>",,6296,6296,,bg-bg,review_after_translation
2546,"Отваря и затваря юмрука си, когато леко го докоснете","<p>Когато докоснете дланта на бебето или сложите нещо в нея, то плътно я свива в юмрук. Ако му дадете пръста си, то го стиска здраво.</p>",,6301,6301,,bg-bg,review_after_translation
2551,Движи ръцете и краката си свободно в двете посоки,"<p>Когато бебето е свободно, може да наблюдавате да прави напълно произволни движения с ръцете и краката.</p>",,6306,6306,,bg-bg,review_after_translation
2556,"Когато лежи по корем, повдига главата си","<p>Когато го поставите да лежи по корем, бебето се опитва да повдигне главата си, за да диша добре.</p>",,6281,6281,,bg-bg,review_after_translation
2561,"Произнася различни звуци, когато е щастливо, разстроено или гладно","<p>Плачът на бебето се различава, в зависимост от нуждите, които има, така че от звуците, които издава, може да се разпознае дали е щастливо, разстроено или има нужда от нещо.</p>",,6316,6316,,bg-bg,review_after_translation
2566,Може да се успокоява само за известно време,"<p>Бебето се успокоява, като си смуче пръста или ръчичката.</p>",,6361,6361,7176,bg-bg,review_after_translation
2571,"Обръща глава към източника на звука и показва, че слуша","<p>Ако чуе човешки глас или някакъв друг звук, бебето обръща главата си към него. Докато слуша гласа, то се взира в родителя или този, който говори, забавяйки движенията си.</p>",,6326,6326,,bg-bg,review_after_translation
2576,"Гука, произнася звуци",<p>Произнася различни звуци.</p>,,6321,6321,,bg-bg,review_after_translation
