ID,Title,Body,Child_age,Related_articles,Related_video_articles,Related_activities,Translation_language,Moderation_state
2526,Relaxes when you take her in your arms,"<p>When you lift her, you feel the baby adjust to the hug and snuggle on your chest.</p>",43,6286,6286,7581,en,published
2531,Gets excited when you talk to him,"<p>When he hears your voice the baby shows excitement, but you also notice that he slows down his movements, seems to be listening, be present…</p>",43,6311,6311,7586,en,published
2536,Looks at you as you smile and talk to her,"<p>When you talk to her, the baby is looking for your face with her eyes</p>",43,6291,6291,7591,en,published
2541,Makes sounds,"<p>The baby cries, but also produces sounds</p>",43,6296,6296,7596,en,published
2546,Opens and closes his fist when you gently touch it,"<p>When you touch the baby's palm or put something in it, he will close his fist tightly. If you give him your finger he holds it tight.</p>",43,6301,6301,7601,en,published
2551,Moves her arms and legs freely on both sides,"<p>When she is free, you may see completely random movements of the baby's arms and legs.</p>",43,6306,6306,7756,en,published
2556,"When lying on his tummy, he lifts his head","<p>When you put him lying on his tummy, the baby will try to lift his head to clear the airway.</p>",43,6281,6281,7606,en,published
2561,"Makes different sounds when he is happy, upset or hungry","<p>Baby's crying differs when he has certain needs, so based on the sounds he makes it can be recognized whether he is happy, upset or has some other need.</p>",44,6316,6316,7611,en,published
2566,Can comfort herself for a while,<p>The baby soothes herself by sucking her finger or her little hand.</p>,44,6361,6361,7176,en,published
2571,Turns his head towards the sound source and shows that he is listening,"<p>If he hears a human voice or some other sound, the baby turns his head towards it. As he listens to the voice he stares at the parent or the person speaking, slowing his movements.</p>",44,6326,6326,7721,en,published
2576,"Gurgles, makes sounds",<p>She produces different voices.</p>,44,6321,6321,7616,en,published
2581,Follows the movement of things and people with his eyes,"<p>When toys, objects or people move in his field of vision, the baby tries to follow the line of their movement.</p>",44,6336,6336,7761,en,published
2586,Shows boredom or cries if the activity changes,"<p>The baby complains by crying if she is left in one position for a long time, or protests if you put her down after holding her in your arms.</p>",44,,,7181,en,published
2591,"Occasionally he keeps his fists open, manipulates them.","<p>The baby still keeps his hands clenched into fists most of the time, but he occasionally opens them and keeps them open for some time. He watches his hands move, brings them to his mouth.</p>",44,6356,6356,7621,en,published
2596,"Turns her head to one side, then to the other",<p>The baby makes many different movements of the neck and head.</p>,44,6351,6351,7626,en,published
2601,Makes fine movements with his arms and legs,<p>When he is free you can see a lot of fine random movements of the baby's arms and legs.</p>,44,6341,6341,7631,en,published
2606,"When on her tummy, the baby is leaning on her forearms against the mat","<p>When placed in a prone position, the baby may lift her head leaning on her forearms, pushing up against the floor.</p>",44,6346,6346,7636,en,published
2611,Laughs at a human face,"<p>Often, easily and spontaneously smiles at people near her.</p>",45,6401,6401,7641,en,published
2616,Carefully observes people's faces,"<p>Observes people's faces carefully and in detail, maintains long eye contact.</p>",45,6386,6386,7186,en,published
2621,Shows that she is angry or happy,<p>Has recognizable reactions of satisfaction and dissatisfaction.</p>,45,6381,6381,7646,en,published
2626,Follows with his eyes a toy moving from one side to the other,"<p>When objects or persons in the field of view move, he follows the path of movement with his eyes.</p>",45,6396,6396,7191,en,published
2631,Starts babbling,"<p>Vocalizes and produces sounds that resemble vowels - a, e, i, o, u</p>",45,6371,6371,7651,en,published
2636,Climbs up and down stairs,"<p>Walks up the stairs with support, using alternately one foot and then the other.</p>",51,6811,6811,7416,en,published
2641,"Begins to mimic facial movements and expressions, as well as sounds during play","<p>When you address him, your baby tries to repeat the movement or expression. He responds to talk and speech by producing sounds.</p>",45,"3626, 6376","3626, 6376",7656,en,published
2646,Establishes hand-eye coordination,"<p>The hand-eye coordination ability increases, for example: your baby looks at an object and tries to reach it.</p>",45,6406,6406,7661,en,published
2651,"Copies circles with a pencil, wooden or wax crayon","<p>Copies circles with a pencil, wooden or wax crayon. </p>",51,6826,6826,7411,en,published
