ID,Title,Body,Child_age,Related_articles,Related_video_articles,Related_activities,Translation_language,Moderation_state
2526,Χαλαρώνει όταν το παίρνετε στην αγκαλιά σας,"<p>Όταν το σηκώνετε ψηλά, νιώθετε ότι το μωρό έρχεται προς την αγκαλιά σας και χώνεται στο στήθος σας</p>",,6286,6286,,gr-el,review_after_translation
2531,Ενθουσιάζεται όταν του μιλάτε,"<p>Όταν ακούει τη φωνή σας, το μωρό δείχνει ενθουσιασμό, αλλά παρατηρείτε επίσης ότι επιβραδύνει τις κινήσεις του, φαίνεται να ακούει, να είναι παρόν…</p>",,6311,6311,,gr-el,review_after_translation
2536,Σε κοιτάζει καθώς το κοιτάς και του χαμογελάς.,"<p>Όταν του μιλάς, το μωρό ψάχνει το πρόσωπό σου με τα μάτια του.</p>",,6291,6291,,gr-el,review_after_translation
2541,Κάνει ήχους,"<p>Το μωρό κλαίει, αλλά συγχρόνως παράγει και ήχους</p>",,6296,6296,,gr-el,review_after_translation
2546,Ανοίγει και κλείνει τη γροθιά του όταν το αγγίζετε απαλά,"<p>Όταν αγγίζετε την παλάμη του μωρού σας ή βάζετε κάτι μέσα, αυτό θα κλείσει σφιχτά τη γροθιά του. Αν του δώσετε το δάχτυλό σας, θα το κρατήσει σφιχτά.</p>",,6301,6301,,gr-el,review_after_translation
2551,Κουνάει τα χέρια και τα πόδια του ελεύθερα προς και στις δύο κατευθύνσεις,"<p>Όταν είναι ελεύθερο, μπορεί να δείτε εντελώς άσκοπες κινήσεις των χεριών και των ποδιών του μωρού.</p>",,6306,6306,,gr-el,review_after_translation
2556,"Όταν ξαπλώνει στην κοιλιά του, σηκώνει το κεφάλι του.","<p>Όταν το αφήσετε ξαπλωμένο στην κοιλιά του, το μωρό θα προσπαθήσει να σηκώσει το κεφάλι του για να ανοίξει τον αεραγωγό του.</p>",,6281,6281,,gr-el,review_after_translation
2561,"Κάνει διαφορετικούς ήχους όταν είναι χαρούμενο, αναστατωμένο ή πεινασμένο.","<p>Το κλάμα του μωρού διαφέρει ανάλογα με τις ανάγκες, οπότε με βάση τους ήχους που κάνει μπορείς να αναγνωρίσεις αν είναι χαρούμενο, αναστατωμένο ή έχει κάποια άλλη ανάγκη.</p>",,6316,6316,,gr-el,review_after_translation
2566,Μπορεί να ανακουφίζεται,<p>Το μωρό καταπραΰνεται πιπιλίζοντας το δάχτυλό του ή το μικρό του χέρι.</p>,,6361,6361,,gr-el,review_after_translation
2571,Γυρίζει το κεφάλι του προς την πηγή του ήχου και δείχνει ότι ακούει,"<p>Αν ακούσει μια ανθρώπινη φωνή ή κάποιον άλλο ήχο, το μωρό γυρίζει το κεφάλι του προς τα εκεί. Καθώς ακούει τη φωνή κοιτάζει τον γονέα ή το άτομο που μιλάει, επιβραδύνοντας τις κινήσεις του.</p>",,6326,6326,,gr-el,review_after_translation
2576,"Γουργουρίζει, κάνει ήχους",<p>Παράγει διαφορετικούς ήχους.</p>,,6321,6321,,gr-el,review_after_translation
2581,Ακολουθεί την κίνηση των αντικειμένων και των ανθρώπων με τα μάτια του,"<p>Όταν τα παιχνίδια, τα αντικείμενα ή οι άνθρωποι κινούνται στο οπτικό του πεδίο, το μωρό προσπαθεί να ακολουθήσει τη γραμμή της κίνησής τους.</p>",,6336,6336,,gr-el,review_after_translation
2586,Δείχνει πλήξη ή κλαίει εάν αλλάξει η δραστηριότητα,<p>Το μωρό διαμαρτύρεται κλαίγοντας αν παραμείνει σε μια θέση για μεγάλο χρονικό διάστημα ή διαμαρτύρεται εάν το αφήνετε απο την αγκαλιά σας.</p>,,,,,gr-el,review_after_translation
2591,Ανα περίσταση κρατά τις γροθιές του ανοιχτές και τις κουνά.,"<p>Συνήθως το μωρό εξακολουθεί να κρατά τα χέρια του κλειστά στις γροθιές του, αλλά ανά διαστήματα τα ανοίγει και τα κρατά ανοιχτά για λίγο. Παρακολουθεί τα χέρια του να κινούνται και τα φέρνει προς το στόμα του.</p>",,6356,6356,,gr-el,review_after_translation
2596,"Γυρίζει το κεφάλι του στη μία πλευρά, μετά στην άλλη.",<p>Το μωρό κάνει πολλές διαφορετικές κινήσεις με το λαιμό και το κεφάλι του.</p>,,6351,6351,,gr-el,review_after_translation
2601,Κάνει λεπτές κινήσεις με τα χέρια και τα πόδια του,"<p>Όταν είναι ελεύθερο, μπορείτε να δείτε πολλές λεπτές τυχαίες κινήσεις των χεριών και των ποδιών του.</p>",,6341,6341,,gr-el,review_after_translation
2606,"Όταν στέκερται στην κοιλιά του, το μωρό στηρίζεται στους βραχίονές του πάνω στο στρώμα.","<p>Όταν τοποθετείται μπρούμυτα, το μωρό μπορεί να σηκώσει το κεφάλι του στηριζόμενο στους βραχίονές του, πιέζοντας προς τα πάνω στο πάτωμα.</p>",,6346,6346,,gr-el,review_after_translation
2611,Γελάει με ανθρώπινα πρόσωπα,<p>Χαμογελά εύκολα και αυθόρμητα συχνά σε άτομα που βρίσκονται κοντά του.</p>,,6401,6401,,gr-el,review_after_translation
2616,Παρατηρεί προσεκτικά τα πρόσωπα των ανθρώπων,<p>Παρατηρεί τα πρόσωπα των ανθρώπων προσεκτικά και με λεπτομέρεια. Διατηρεί οπτική επαφή με διάρκεια</p>,,6386,6386,,gr-el,review_after_translation
2621,Δείχνει ότι είναι θυμωμένο ή ευτυχισμένο,<p>Έχει αναγνωρίσιμες αντιδράσεις ικανοποίησης και δυσαρέσκειας.</p>,,6381,6381,,gr-el,review_after_translation
2626,Ακολουθεί με τα μάτια του ένα παιχνίδι που κινείται από τη μία πλευρά στην άλλη,"<p>Όταν, αντικείμενα ή άτομα στο οπτικό του πεδίο κινούνται, ακολουθεί την πορεία της κίνησης με τα μάτια του.</p>",,6396,6396,,gr-el,review_after_translation
2631,Ξεκινά να φλυαρεί,"<p>Εκφωνεί και παράγει ήχους που μοιάζουν με φωνήεντα - α, ε, ι, ο, υ</p>",,6371,6371,,gr-el,review_after_translation
2636,Ανεβοκατεβαίνει τις σκάλες,"<p>Ανεβαίνει τα σκαλιά με βοήθεια, χρησιμοποιώντας εναλλάξ το ένα πόδι και μετά το άλλο.</p>",,6811,6811,,gr-el,review_after_translation
2641,"Αρχίζει να μιμείται τις κινήσεις και τις εκφράσεις του προσώπου, καθώς και τους ήχους κατά τη διάρκεια του παιχνιδιού","<p>Όταν απευθύνεστε σε αυτό, το μωρό σας προσπαθεί να επαναλάβει την κίνηση ή την έκφραση. Απαντά στην ομιλία και το λόγο σας παράγοντας ήχους.</p>",,"3626, 6376","3626, 6376",,gr-el,review_after_translation
2646,Δημιουργεί συντονισμό μεταξύ χεριών και όρασης,"<p>Η ικανότητα να συντονίζει κίνηση και όραση αυξάνεται, για παράδειγμα: το μωρό σας κοιτάζει ένα αντικείμενο και προσπαθεί να το φτάσει.</p>",,6406,6406,,gr-el,review_after_translation
2651,"Αντιγράφει κύκλους με μολύβι, ξυλομπογιές ή κηρομπογιές","<p>Αντιγράφει κύκλους με μολύβι, ξυλομπογιές ή κηρομπογιές </p>",,6826,6826,,gr-el,review_after_translation
2656,"Φτάνει με το ένα χέρι το παιχνίδι, το εξερευνά, το κουνάει και το χτυπά","<p>Φτάνει κι αρπαζει ένα αντικείμενο χρησιμοποιώντας τα δάχτυλα, χωρίς να χρησιμοποιεί τον αντίχειρά του. Χειρίζεται το αντικείμενο κουνώντας το, χτυπώντας το ή βάζοντας το στο στόμα του.</p>",,6391,6391,,gr-el,review_after_translation
2666,Βάζει τα χέρια στο στόμα του,"<p>Πολύ συχνά βάζει τα χέρια του στο στόμα του. Επίσης, εξερευνά άλλα αντικείμενα βάζοντάς τα στο στόμα του.</p>",,6366,6366,,gr-el,review_after_translation
2671,"Κρατά το κεφάλι ψηλά, χωρίς στήριξη","<p>Όταν κάθεται, μπορεί να κρατήσει το κεφάλι του ισορροπημένο και όρθιο.</p>",,6841,6841,,gr-el,review_after_translation
2676,"Καθώς είναι μπρούμυτα, στέκεται στα χέρια του και πιέζει προς τα πάνω τους αγκώνες","<p>Καθώς ξαπλώνει στην κοιλιά του, σηκώνει τους ώμους και το κεφάλι ψηλά ακουμπώντας στους αγκώνες του.</p>",,,,,gr-el,review_after_translation
2681,Αναπτύσσει πιο πολύπλοκο παιχνίδι και συμπεριλαμβάνει κι άλλους σε αυτό,"<p>Του αρέσει να παριστάνει να παίζει, το παιχνίδι είναι ευφάνταστο με πολλά μυθοπλαστικά στοιχεία. Μερικές φορές δεν είναι σίγουρο τι είναι πραγματικό και τι φτιαχτό.</p>",,6831,6831,,gr-el,review_after_translation
2686,Τραγουδά κομμάτια από απλά τραγούδια,<p>Τραγουδάει μέρη απο απλά τραγούδια</p>,,,,,gr-el,review_after_translation
2691,Περιστρέφεται από την κοιλιά στην πλάτη και από την πλάτη στην κοιλιά και από τις δύο πλευρές,<p>Μπορεί να κυλήσει και να γυρίσει προς οποιαδήποτε κατεύθυνση (τόσο πάνω από την αριστερή όσο και από τη δεξιά πλευρά) και από την πλάτη στην κοιλιά και από την κοιλιά στην πλάτη.</p>,,6426,6426,,gr-el,review_after_translation
2696,Μπορεί να καθίσει με κάποια στήριξη,"<p>Όταν έχει στήριξη ή ακουμπά σε κάτι, το μωρό μπορεί να καθίσει και για μικρό χρονικό διάστημα μπορεί να διατηρήσει τη θέση καθίσματος απο μόνο του.</p>",,,,,gr-el,review_after_translation
2701,Μπορεί να πει μια πρόταση απoτελούμενη απο 2 έως 3 λέξεις,<p>Μπορεί να συνθέσει και να πει προτάσεις 2 έως 3 λέξεων αρκετά καλά ώστε τα μέλη της οικογένειας να το καταλάβουν.</p>,,6816,6816,,gr-el,review_after_translation
2706,"Όταν κρατηθεί όρθιο, μπορεί να αντέξει το βάρος του για μικρό χρονικό διάστημα, ακουμπώντας στα πόδια του","<p>Όταν κρατάτε το μωρό σας όρθιο στο πάτωμα, στέκεται στο πάτωμα ή μοιάζει να κλωτσάει</p>",,,,,gr-el,review_after_translation
2711,"Μπορεί να πει το όνομα του, την ηλικία και το φύλο του","<p>Μπορεί να πει το όνομα του, την ηλικία και το φύλο του.</p>",,,,,gr-el,review_after_translation
2716,Εξερευνά τα πράγματα βάζοντάς τα στο στόμα του.,"<p>Βάζει, όλα όσα φτάνει, στο στόμα του και πολύ συχνά βάζει και τα πόδια του στο στόμα του.</p>",,6436,6436,,gr-el,review_after_translation
2721,"Φτάνει πράγματα που είναι απρόσιτα με το ένα χέρι και όταν τα πιάνει, μπορεί να τα πάει από το ένα χέρι στο άλλο","<p>Φτάνει τα αντικείμενα με το ένα χέρι, αλλά τα χειρίζεται μεταφέροντάς τα από το ένα χέρι στο άλλο χρησιμοποιώντας το εσωτερικό τμήμα της παλάμης του, του αντίχειρα και του δείκτη ενώ τα άλλα δάχτυλα παραμένουν σταθερά.</p>",,6431,6431,,gr-el,review_after_translation
2726,Κατανοεί δύσκολες λέξεις,"<p>Κατανοεί όρους όπως «παρόμοιο» και «διαφορετικό», «εύκολο» και «δύσκολο», «καλό» και «κακό», «μικρό» και «μεγάλο».</p>",,6801,6801,,gr-el,review_after_translation
2731,"Ανταποκρίνεται στον ήχο της φωνής σας κάνοντας ήχους - συγχωνεύοντας φωνήεντα: α, ε, ι ...","<p>Όταν κάποιος απευθύνεται σε αυτό, του μιλάει, του τραγουδάει, του διαβάζει… το μωρό αποκρίνεται.</p>",,6421,6421,,gr-el,review_after_translation
2736,Εκφράζει δυνατά δυσαρέσκεια ή χαρά,<p>Κλαίει ή διαμαρτύρεται δυνατά για να εκφράσει δυσάρεστα συναισθήματα και γελά δυνατά για να εκφράσει ευχαρίστηση.</p>,,6411,6411,,gr-el,review_after_translation
2741,"Καταλαβαίνει ένοιες λέξεων όπως «δικό μου, δικό σου, δικό της», χρησιμοποιεί προθέσεις και αντωνυμίες","<p>Προφέρει λέξεις όπως «εγώ», «εσύ», «εμείς» και γνωρίζει τον πληθυντικό κάποιων λέξεων - «σκυλιά», «γάτες».</p>",,,,,gr-el,review_after_translation
2746,Το μωρό είναι ενθουσιασμένο όταν συνειδητοποιεί ότι ήρθε η ώρα να παίξει,"<p>Χαίρεται, φαίνεται χαρούμενο και απολαμβάνει το παιχνίδι και την επαφή, ειδικά με τους γονείς και τα οικεία πρόσωπα.</p>",,6441,6441,,gr-el,review_after_translation
2751,Ακολουθεί οδηγίες που περιέχουν δύο ή τρεις εντολές.,"<p>Μπορεί να απαντήσει σε πολλαπλά συνδεδεμένα προφορικά αιτήματα (""άφηστε την κούκλα και κάθησε στην καρέκλα"" (""βγάλτε το σακάκι σου και φόρεσε τις παντόφλες σου""). </p>",,6836,6836,,gr-el,review_after_translation
2756,Δείχνει μεγάλο φάσμα συναισθημάτων κι αναγνωρίζει τα συναισθήματα των άλλων.,"<p>Δείχνει θυμό, φόβο, ενοχή, ντροπή και αρχίζει να δείχνει ενσυναίσθηση, έτσι αναγνωρίζει πώς αισθάνονται οι άλλοι (για παράδειγμα, θέλει να παρηγορήσει τον φίλο του που κλαίει με μια αγκαλιά).</p>",,6821,6821,,gr-el,review_after_translation
2761,Αναγνωρίζει τα μέλη της οικογένειας και τα διακρίνει από τους ξένους. Ενδέχεται να φοβάται τους ξένους.,"<p>Αναγνωρίζει τα μέλη της οικογένειας του και τα διακρίνει από τους ξένους. Το μωρό ενδέχεται να φοβάται τους ξένους. Είναι χαρούμενο που βλέπει οικεία άτομα, τους γελάει, αποκρίνεται με διαφορετικό τρόπο σε οικεία και σε άγνωστα άτομα.</p>",,,,,gr-el,review_after_translation
2766,Του αρέσει να παίζει με άλλα παιδιά,"<p>Το παιχνίδι δεν είναι  μονο παράλληλο ή με τα παιδιά δίπλα-δίπλα, τώρα εμπεριέχει πιο περίπλοκα στοιχεία, φαντασία και είναι πιο παιχνιδιάρικο.</p>",,6931,6931,,gr-el,review_after_translation
2771,Αναστατώνεται όταν ο γονιός φεύγει από το δωμάτιο και χαλαρώνει όταν επιστρέφει.,<p>Αναστατώνεται όταν ο γονιός φεύγει από το δωμάτιο και χαλαρώνει όταν επιστρέφει. Δείχνει σημάδια άγχους ή αρχίζει να κλαίει όταν ο γονιός φεύγει από το δωμάτιο. Είναι χαρούμενο όταν επιστρέφουν γονείς ή κοντινοί άνθρωποι.</p>,,6506,6506,,gr-el,review_after_translation
2776,Αντιδρά όταν ακούει το όνομα του.,<p>Αντιδρά όταν ακούει το όνομά του. Αρχίζει να αναγνωρίζει το όνομά του όταν κάποιος το φωνάζει.</p>,,6446,6446,,gr-el,review_after_translation
2781,Βρίσκει πιο εύκολο το να αποχωρίζεται από τους γονείς,"<p>Οι αντιδράσεις στο χωρισμό είναι λιγότερο έντονες, ηρεμεί γρηγορότερα και μαθαίνει να βασίζεται σε άλλους ενήλικες που είναι κοντά όταν φεύγουν οι γονείς του.</p>",,6796,6796,,gr-el,review_after_translation
2786,Αρχίζει να κατανοεί την έννοια της λέξης «όχι».,"<p>Αρχίζει να κατανοεί την έννοια της λέξης «όχι».  Όταν ακούει τη λέξη, σταματά τη δραστηριότητα και αναγνωρίζει την αποδοκιμασία.</p>",,6476,6476,,gr-el,review_after_translation
2791,"Μωρουδιακοί ήχοι, συλλαβές και παραγωγή διαφορετικών ήχων","<p>Μωρουδιακοί ήχοι, συλλαβές και παραγωγή πολλών διαφορετικών ήχων. Το παιδί χρησιμοποιεί πολλαπλούς συνδυασμούς ήχων και ζευγαρώνει διαφορετικά σύμφωνα και φωνήεντα ενώ προσπαθεί να επαναλάβει ή να μιμηθεί τους ήχους που προφέρουν οι ενήλικες.</p>",,6451,6451,,gr-el,review_after_translation
2796,Μπορεί να ανεβοκατεβαίνει τις σκάλες,<p>Μπορεί να ανεβοκατεβαίνει τις σκάλες με υποστήριξη και με λίγη βοήθεια να σκαρφαλώνει σε αυτές.</p>,,6626,6626,,gr-el,review_after_translation
2801,Αρχίζει να επικοινωνεί με κινήσεις.,"<p>Αρχίζει να επικοινωνεί με κινήσεις. Επικοινωνεί μη λεκτικά, δείχνοντας με το χέρι του τα επιθυμητά αντικείμενα ή κουνώντας το κεφάλι του για να πει «όχι».</p>",,6481,6481,,gr-el,review_after_translation
