ID,Title,Body,Child_age,Related_video_articles,Related_activities,Translation_language,Moderation_state
2526,"Успокаивается, когда вы берете ее на руки","<p>Когда вы носите ее на руках, то вы чувствуете, как малышка привыкает к объятиям и прижимается к вашей груди.</p>",,6286,,kg-ru,draft
2531,"Испытывает восторг, когда вы с ним разговариваете","<p>Когда он слышит ваш голос, то испытывает волнение, но вы также замечаете, что его движения замедляются и кажется, что прислушивается к вам. Побудьте рядом!</p>",,6311,,kg-ru,draft
2536,"Смотрит на вас, когда вы улыбаетесь и разговариваете с ней.","<p>Когда вы с ней разговариваете, малышка ищет глазами ваше лицо</p>",,6291,,kg-ru,draft
2541,"Издает звуки","<p>Ребенок плачет, но в то же время издает звуки</p>",,6296,,kg-ru,draft
2546,"Раскрывает и зажимает кулачок, когда вы нежно прикасаетесь к нему","<p>Когда вы дотрагиваетесь до ладошки малыша или вкладываете в нее что-то, то он плотно сжимает кулачок. Если вы дадите ему свой палец, то ребенок будет крепко держать его.</p>",,6301,,kg-ru,draft
2551,"Свободно двигает ручками и ножками с обеих сторон","<p>Когда она находится в свободном положении, то вы можете увидеть совершенно произвольные ее движения ручками и ножками.</p>",,6306,,kg-ru,draft
2556,"Лежа на животике, он поднимает голову","<p>Когда вы кладете его на животик, то малыш попытается поднять голову, чтобы освободить дыхательные пути.</p>",,6281,,kg-ru,draft
2561,"Когда малыш счастлив, расстроен или голоден, то он издает разные звуки.","<p>Когда у ребенка есть определенные потребности, то и плачет он по-разному. Поэтому по звукам, которые он издает, можно определить, счастлив ли малыш, расстроен или имеет какую-то другую потребность.</p>",,6316,,kg-ru,draft
2566,"Может утешить себя на некоторое время","<p>Младенец успокаивается, посасывая свой палец или маленькую ручку.</p>",,6361,,kg-ru,draft
2571,"Поворачивает голову к источнику звука и показывает, что слушает","<p>Если он слышит человеческий голос или какой-то другой звук, малыш поворачивает к нему голову. Слушая голос, он смотрит на родителя или говорящего, замедляя свои движения.</p>",,6326,,kg-ru,draft
2576,"Гулит, издает звуки","<p>Она издает разные звуки.</p>",,6321,,kg-ru,draft
2581,"Газами следит за движением предметов и людей","<p>Когда игрушки, предметы или люди движутся в его поле зрения, то ребенок пытается проследить линию их движения.</p>",,6336,,kg-ru,draft
2586,"Если вид деятельности меняется, то малышка показывает, что скучает или плачет.","<p>Малышка жалуется и плачет, если ее надолго оставляют в одном положении или же протестует, когда вы укладываете ее после того, как держали на руках.</p>",,,,kg-ru,draft
2591,"Изредка кулачки держит разжатыми, манипулирует ими.","<p>Большую часть времени малыш все еще держит свои ручки сжатыми в кулачки, но иногда разжимает их и некоторое время держит ладошки открытыми. Он рассматривает, как двигаются его ручки, подносит их ко рту.</p>",,6356,,kg-ru,draft
2596,"Она поворачивает головку в одну сторону, затем в другую","<p>Малышка делает много различных движений шеей и головой.</p>",,6351,,kg-ru,draft
2601,"Он совершает мелкие движения ручками и ножками","<p>Когда он находится в свободном положении, то у малыша можно заметить много непроизвольных тонких движений ручками и ножками.</p>",,6341,,kg-ru,draft
2606,"Лежа на животе, малышка опирается на коврик предплечьями.","<p>В положении лежа на животике ребенок может опираться на предплечья, упираясь об пол и поднимать голову. </p>",,6346,,kg-ru,draft
2611,"Смеется, смотря людям в лицо","<p>Часто, легко и спонтанно улыбается людям, находящимся рядом с ней.</p>",,6401,,kg-ru,draft
2616,"Внимательно наблюдает за лицами людей","<p>Внимательно и подробно рассматривает лица людей, поддерживает длительный зрительный контакт.</p>",,6386,,kg-ru,draft
2621,"Показывает, что она сердится или счастлива.","<p>Обладает узнаваемыми реакциями удовлетворения и неудовлетворенности.</p>",,6381,,kg-ru,draft
2626,"Он следит глазами за игрушкой, движущейся из стороны в сторону","<p>Когда объекты или люди в поле зрения движутся, он следит за их траекторией движения глазами.</p>",,6396,,kg-ru,draft
2631,"Начинает гулить","<p>Издает певучие звуки, произносит простые звуки, напоминающие гласные - a, э, и, o, у.</p>",,6371,,kg-ru,draft
2636,"Поднимается и спускается по лестнице","<p>Поднимается по лестнице с опорой, попеременно используя вначале одну ногу, затем другую.</p>",,6811,,kg-ru,draft
2641,"Начинает имитировать движения и выражения лица, а также звуки во время игры","<p>Когда вы обращаетесь к нему, то ребенок пытается повторить ваши движения или выражения лица. Малыш реагирует на разговоры и общение с ним, произнося звуки.</p>",,"3626, 6376",,kg-ru,draft
2646,"Формируется зрительно-моторная координация","<p>Зрительно-двигательная координация совершенствуется, например, ваш ребенок смотрит на объект и пытается дотянуться до него.</p>",,6406,,kg-ru,draft
2651,"Копирует круги карандашом, деревянной палочкой или восковыми мелками","<p>Копирует круги карандашом, деревянной палочкой или восковыми мелками. </p>",,6826,,kg-ru,draft
2656,"Тянется к игрушке одной рукой, исследует ее, трясет и бьет.","<p>Она тянется к предмету и хватает его внешней стороной ладони, не используя большой палец. Она манипулирует предметом, трясет, ударяет или кладет его в рот.</p>",,6391,,kg-ru,draft
2666,"Кладет руки в рот","<p>Очень часто он засовывает руки к себе в рот. Малыш  таким образом исследует и другие предметы, кладя их в рот.</p>",,6366,,kg-ru,draft
