ID,Title,Body,Child_age,Related_articles,Related_video_articles,Related_activities,Translation_language,Moderation_state
2526,Opusti se kad je uzmete u naručje,"<p>Kad je podignete i uzmete u naručje, osjećate kako se beba prilagođava zagrljaju i privija se uz Vas.</p>",,6286,6286,,me-cnr,published
2531,Uzbudi se kad joj nešto govorite,"<p>Kad čuje Vaš glas, beba pokazuje uzbuđenje, ali primjećujete i da tada uspori svoje pokrete, izgleda kao da sluša, prisustvuje…</p>",,6311,6311,,me-cnr,published
2536,Gleda Vas dok joj se smiješite i pričate,"<p>Kad joj se obraćate, beba pogledom traži Vaše lice.</p>",,6291,6291,,me-cnr,published
2541,Oglašava se,"<p>Beba se uglavnom oglašava plakanjem, ali proizvodi i glasove.</p>",,6296,6296,,me-cnr,published
2546,Otvara i zatvara šaku kad je nježno dodirnete,"<p>Kad dodirnete bebin dlan ili nešto stavite u njega, ona će čvrsto zatvoriti šaku. Ako joj pružite prst, ona se čvrsto drži za njega.</p>",,6301,6301,,me-cnr,published
2551,"Kad je slobodna, spontano pokreće ruke i noge","<p>Kad je beba slobodna, možete je vidjeti kako pravi potpuno nasumične pokrete rukama i nogama.</p>",,6306,6306,,me-cnr,published
2556,"Kada leži na stomaku, podiže glavu","<p>Kada je postavite na stomačić, beba će pokušavati da podigne glavu kako bi oslobodila disajne puteve.</p>",,6281,6281,,me-cnr,published
2561,Proizvodi različite zvuke kad je srećna i kad je uznemirana ili gladna,"<p>Bebin plač se razlikuje u zavisnosti od potrebe koju njime izražava. Na osnovu bebinog oglašavanja može da se prepozna da li je vesela, uznemirena ili ima neku drugu potrebu.</p>",,6316,6316,,me-cnr,published
2566,Može nakratko sama da se smiri,<p>Umiruje se sisajući prst ili ručicu.</p>,,6361,6361,,me-cnr,published
2571,Okreće glavu prema izvoru zvuka i pokazuje da sluša,"<p>Kad začuje ljudski glas ili neki drugi zvuk, beba okreće glavicu u tom pravcu. Zagleda se u roditelja ili osobu koja govori, usporava pokrete.</p>",,6326,6326,,me-cnr,published
2576,"Guče, oglašava se",<p>Proizvodi različite glasove.</p>,,6321,6321,,me-cnr,published
2581,Prati očima kretanje predmeta i ljudi,"<p>Kad se igračke, predmeti ili osobe u njenom vidokrugu pomjeraju, beba pokušava pogledom da prati njihovo kretanje.</p>",,6336,6336,,me-cnr,published
2586,"Pokazuje dosadu, zaplače kad se aktivnost prekine ili promijeni","<p>Buni se plačući ukoliko je dugo ostavite u istom položaju, ili pokazuje protest kad je spustite nakon držanja u naručju.</p>

<p> </p>",,,,,me-cnr,published
