ID,Title,Body,Child_age,Related_articles,Related_video_articles,Related_activities,Translation_language,Moderation_state
2526,"Расслабляется, когда вы берете ее на руки","<p>Когда вы поднимаете ее, вы чувствуете, как ребенок привыкает к объятиям и прижимается к вашей груди.</p>",,6286,6286,,ru,published
2531,"Возбуждается, когда вы с ним разговариваете","<p>Когда он/она слышит ваш голос, ребенок проявляет волнение, но вы также замечаете, что он/она замедляет свои движения, кажется, слушает, присутствуйте ...</p>",,6311,6311,,ru,review_after_translation
2536,"Смотрит на тебя, когда ты улыбаешься и разговариваешь с ней/ним","<p>Когда вы с ней/ним разговариваете, ребенок смотрит на ваше лицо глазами</p>",,6291,6291,,ru,review_after_translation
2541,Издает звуки,"<p>Ребенок плачет, но тоже издает звуки</p>",,6296,6296,,ru,review_after_translation
2546,"Открывает и сжимает кулак, когда вы нежно касаетесь его","<p>Когда вы дотрагиваетесь до ладошки ребенка или кладете в нее что-то, он/она плотно сжимает кулак. Если вы дадите ему/ей палец, он/она будет крепко его держать.</p>",,6301,6301,,ru,review_after_translation
2551,Свободно двигает с обеих сторон руками и ногами,"<p>Когда она свободна, вы можете видеть совершенно случайные движения ручек и ножек ребенка.</p>",,6306,6306,,ru,review_after_translation
2556,"Лежа на животике, поднимает голову","<p>Когда вы положите его/ее на животик, то ребенок попытается поднять голову, чтобы освободить дыхательные пути.</p>",,6281,6281,,ru,review_after_translation
2561,"Издает разные звуки, когда он счастлив, расстроен или голоден","<p>Ребенок плачет по-разному, когда у него есть определенные потребности, поэтому по звукам, которые он издает, можно определить, счастлив ли он, расстроен или имеет какие-то другие потребности.</p>",,6316,6316,,ru,review_after_translation
2566,Может утешить себя на некоторое время,"<p>Младенец успокаивается, посасывая свой палец или маленькую ручку.</p>",,6361,6361,,ru,review_after_translation
2571,"Поворачивает голову к источнику звука и показывает, что слушает","<p>Если он/она слышит человеческий голос или какой-то другой звук, малыш поворачивает к нему голову. Слушая голос, он смотрит на родителя или говорящего, замедляя свои движения.</p>",,6326,6326,,ru,review_after_translation
2576,"Гулит, издает звуки",<p>Она/он издает разные голоса.</p>,,6321,6321,,ru,review_after_translation
2581,Следит глазами за движением вещей и людей,"<p>Когда игрушки, предметы или люди движутся в его поле зрения, ребенок пытается проследить линию их движения.</p>",,6336,6336,,ru,review_after_translation
2586,"Показывает скуку или плачет, если вид деятельности меняется","<p>Ребенок жалуется, плачет, если его надолго оставляют в одном положении, или протестует, если вы кладете ее/его после того, как держали ее/его на руках.</p>",,,,,ru,review_after_translation
2591,"Изредка держит кулаки разжатыми, манипулирует ими.","<p>Ребенок все еще большую часть времени держит свои руки сжатыми в кулаки, но иногда он разжимает их и некоторое время держит открытыми. Он смотрит, как двигаются его руки, подносит их ко рту.</p>",,6356,6356,,ru,review_after_translation
2596,"Поворачивает голову в одну сторону, затем в другую",<p>Ребенок делает много различных движений шеи и головы.</p>,,6351,6351,,ru,review_after_translation
2601,Делает мелкие движения руками и ногами,"<p>Когда он свободен, можно видеть множество мелких случайных движений рук и ножек ребенка.</p>",,6341,6341,,ru,review_after_translation
2606,В положении на животике ребенок опирается предплечьями на коврик.,"<p>В положении лежа на животе ребенок может поднимать голову, опираться на предплечья, и упираться об пол.</p>",,6346,6346,,ru,review_after_translation
2611,Смеется с людьми,"<p>Часто, легко и спонтанно улыбается людям рядом с ней.</p>",,6401,6401,,ru,review_after_translation
2616,Внимательно наблюдает за лицами людей,"<p>Внимательно и подробно рассматривает лица людей, поддерживает длительный зрительный контакт.</p>",,6386,6386,,ru,review_after_translation
2621,"Показывает, что она сердита или счастлива",<p>Имеет узнаваемые реакции удовлетворения и неудовлетворенности.</p>,,6381,6381,,ru,review_after_translation
2626,"Следит глазами за игрушкой, движущейся из стороны в сторону","<p>Когда объекты или люди в поле зрения движутся, он следит за траекторией движения глазами.</p>",,6396,6396,,ru,review_after_translation
2631,Начинает лепетать,"<p>Вокализирует и издает звуки, напоминающие гласные - a, e, и, o, у</p>",,6371,6371,,ru,review_after_translation
2636,Поднимается и спускается по лестнице,"<p>Поднимается по лестнице с опорой, попеременно используя одну ногу, затем другую.</p>",,6811,6811,,ru,review_after_translation
2641,"Начинает имитировать движения и выражения лица, а также звуки во время игры","<p>Когда вы обращаетесь к нему, ребенок пытается повторить движение или выражение лица. Он реагирует на разговор и речь, произнося звуки.</p>",,"3626, 6376","3626, 6376",,ru,review_after_translation
2646,Устанавливает зрительно-моторную координацию,"<p>Увеличивается зрительно-моторная координация, например: ваш ребенок смотрит на объект и пытается дотянуться до него.</p>",,6406,6406,,ru,review_after_translation
2651,"Копирует круги карандашом, деревянным или восковым карандашом","<p>Копирует круги карандашом, деревянным или восковым карандашом. </p>",,6826,6826,,ru,review_after_translation
2656,"Одной рукой тянется к игрушке, исследует ее, трясет и бьет.","<p>Она/он тянется к объекту и хватает его внешней стороной ладони, не используя большой палец. Она/он манипулирует объектом, тряся, ударяя или кладя его в рот.</p>",,6391,6391,,ru,review_after_translation
2666,Кладет руки в рот,"<p>Очень часто он/она засовывает руки в свой рот. Он/она также исследует другие предметы, кладя их в рот.</p>",,6366,6366,,ru,review_after_translation
2671,"Держит голову прямо, без поддержки",<p>В полусидячем положении она/он может держать голову в вертикальном положении.</p>,,6841,6841,,ru,review_after_translation
2676,"В положении лежа, устойчиво опирается на предплечья и отталкивается вверх на локтях","<p>Лежа на животе, она/он высоко поднимает плечи и голову, опираясь на локти.</p>",,,,,ru,review_after_translation
2681,Развивает сложную игру и вовлекает в нее других,"<p>Любит ролевую игру, творческую игру, со множеством вымышленных элементов. Иногда не ясно, что реально, а что выдумано.</p>",,6831,6831,,ru,review_after_translation
2686,Поет отрывки из простых песен,<p>Поет отрывки из простых песен.</p>,,,,,ru,review_after_translation
2691,Перекатывание с живота на спину и со спины на живот с обеих сторон,"<p>Она/он может переворачиваться и поворачиваться в любом направлении (как на левую, так и на правую стороны) как со спины на животик, так и с живота на спину.</p>",,6426,6426,,ru,review_after_translation
2696,Может сидеть с некоторой поддержкой,"<p>Когда он/она на что-то опирается или держится за что-то, то ребенок может сидеть и в течение короткого времени может самостоятельно сохранять сидячее положение.</p>",,,,,ru,review_after_translation
2701,Может сказать предложение из 2–3 слов,"<p>Может составлять и произносить предложения из 2–3 слов достаточно хорошо, чтобы члены семьи могли ее/его понять.</p>",,6816,6816,,ru,review_after_translation
2706,"В вертикальном положении она/он может некоторое время выдерживать свой вес, опираясь на ноги.","<p>Когда вы держите ребенка вертикально над полом, он опирается об пол или выглядит так, как будто подпрыгивает.</p>",,,,,ru,review_after_translation
