ID,Title,Body,Child_age,Related_articles,Related_video_articles,Related_activities,Translation_language,Moderation_state
2526,Relaxes when you take her in your arms,"<p>When you lift her, you feel the baby adjust to the hug and snuggle on your chest</p>",,6286,6286,7581,rs-en,review_after_translation
2531,Gets excited when you talk to him,"<p>When he hears your voice the baby shows excitement, but you also notice that he slows down his movements, seems to be listening, be present…</p>",,6311,6311,7586,rs-en,review_after_translation
2536,Looks at you as you smile and talk to her,"<p>When you talk to her, the baby is looking for your face with her eyes</p>",,6291,6291,7591,rs-en,review_after_translation
2541,Makes sounds,"<p>The baby cries, but also produces sounds</p>",,6296,6296,7596,rs-en,review_after_translation
2546,Opens and closes his fist when you gently touch it,"<p>When you touch the baby's palm or put something in it, he will close his fist tightly. If you give him your finger he holds it tight.</p>",,6301,6301,7601,rs-en,review_after_translation
2551,Moves her arms and legs freely on both sides,"<p>When she is free, you may see completely random movements of the baby's arms and legs.</p>",,6306,6306,7756,rs-en,review_after_translation
2556,"When lying on his tummy, he lifts his head","<p>When you put him lying on his tummy, the baby will try to lift his head to clear the airway.</p>",,6281,6281,7606,rs-en,review_after_translation
2561,"Makes different sounds when he is happy, upset or hungry","<p>Baby's crying differs when he has certain needs, so based on the sounds he makes it can be recognized whether he is happy, upset or has some other need.</p>",,6316,6316,7611,rs-en,review_after_translation
2566,Can comfort herself for a while,<p>The baby soothes herself by sucking her finger or her little hand.</p>,,6361,6361,7176,rs-en,review_after_translation
2571,Turns his head towards the sound source and shows that he is listening,"<p>If he hears a human voice or some other sound, the baby turns his head towards it. As he listens to the voice he stares at the parent or the person speaking, slowing his movements.</p>",,6326,6326,7721,rs-en,review_after_translation
2576,"Gurgles, makes sounds",<p>She produces different voices.</p>,,6321,6321,7616,rs-en,review_after_translation
2581,Follows the movement of things and people with his eyes,"<p>When toys, objects or people move in his field of vision, the baby tries to follow the line of their movement.</p>",,6336,6336,7761,rs-en,review_after_translation
2586,Shows boredom or cries if the activity changes,"<p>The baby complains by crying if she is left in one position for a long time, or protests if you put her down after holding her in your arms.</p>",,,,7181,rs-en,review_after_translation
2591,"Occasionally he keeps his fists open, manipulates them.","<p>The baby still keeps his hands clenched into fists most of the time, but he occasionally opens them and keeps them open for some time. He watches his hands move, brings them to his mouth.</p>",,6356,6356,7621,rs-en,review_after_translation
2596,"Turns her head to one side, then to the other",<p>The baby makes many different movements of the neck and head.</p>,,6351,6351,7626,rs-en,review_after_translation
2601,Makes fine movements with his arms and legs,<p>When he is free you can see a lot of fine random movements of the baby's arms and legs.</p>,,6341,6341,7631,rs-en,review_after_translation
2606,"When on her tummy, the baby is leaning on her forearms against the mat","<p>When placed in a prone position, the baby may lift her head leaning on her forearms, pushing up against the floor.</p>",,6346,6346,7636,rs-en,review_after_translation
2611,Laughs at a human face,"<p>Often, easily and spontaneously smiles at people near her.</p>",,6401,6401,7641,rs-en,review_after_translation
2616,Carefully observes people's faces,"<p>Observes people's faces carefully and in detail, maintains long eye contact.</p>",,6386,6386,7186,rs-en,review_after_translation
2621,Shows that she is angry or happy,<p>Has recognizable reactions of satisfaction and dissatisfaction.</p>,,6381,6381,7646,rs-en,review_after_translation
2626,Follows with his eyes a toy moving from one side to the other,"<p>When objects or persons in the field of view move, he follows the path of movement with his eyes.</p>",,6396,6396,7191,rs-en,review_after_translation
2631,Starts babbling,"<p>Vocalizes and produces sounds that resemble vowels - a, e, i, o, u</p>",,6371,6371,7651,rs-en,review_after_translation
2636,Climbs up and down stairs,"<p>Walks up the stairs with support, using alternately one foot and then the other.</p>",,6811,6811,7416,rs-en,review_after_translation
2641,"Begins to mimic facial movements and expressions, as well as sounds during play","<p>When you address him, your baby tries to repeat the movement or expression. He responds to talk and speech by producing sounds.</p>",,"3626, 6376","3626, 6376",7656,rs-en,review_after_translation
2646,Establishes hand-eye coordination,"<p>The hand-eye coordination ability increases, for example: your baby looks at an object and tries to reach it.</p>",,6406,6406,7661,rs-en,review_after_translation
2651,"Copies circles with a pencil, wooden or wax crayon","<p>Copies circles with a pencil, wooden or wax crayon. </p>",,6826,6826,7411,rs-en,review_after_translation
2656,"Reaches for a toy with one hand, explores it, shakes it and hits it","<p>She reaches for an object and grabs it using the outside of her palm, without using her thumb. She manipulates the object by shaking, hitting or putting it in her mouth.</p>",,6391,6391,7196,rs-en,review_after_translation
2666,Puts hands in the mouth,<p>Very often he puts his hands in her mouth. He also explores other objects by putting them in his mouth.</p>,,6366,6366,7201,rs-en,review_after_translation
2671,"Keeps head upright, without head support","<p>When in a semi-sitting position, she can keep her head balanced and upright.</p>",,6841,6841,7666,rs-en,review_after_translation
2676,"In the prone position, leans steadily on the forearms and pushes up on the elbows","<p>As she lies on her tummy, she raises her shoulders and head high leaning on her elbows.</p>",,,,7716,rs-en,review_after_translation
2681,Develops a complex play and involves others in it,"<p>Likes pretend play, the play is imaginative with a lot of fictional elements. Sometimes it is not certain what is real and what is make-believe.</p>",,6831,6831,7401,rs-en,review_after_translation
2686,Sings parts of simple songs,<p>Sings parts of simple songs.</p>,,,,7396,rs-en,review_after_translation
2691,Rolls from the tummy to the back and from the back to the tummy over both sides,<p>She can roll over and turn in any direction (both over the left and over the right side) both from back to tummy and from tummy to back.</p>,,6426,6426,7206,rs-en,review_after_translation
2696,Can sit with some support,"<p>When he has support or holds onto something, the baby can sit, and for a short time can maintain the sitting position independently.</p>",,,,7671,rs-en,review_after_translation
2701,Can say a sentence of 2 to 3 words,<p>Can compose and say sentences of 2 to 3 words well enough for the family members to understand her.</p>,,6816,6816,7391,rs-en,review_after_translation
2706,"When held upright, she can bear her weight for a short time by leaning on her feet","<p>When you hold your baby upright above the floor, she leans on the floor or looks like she is bouncing.</p>",,,,7836,rs-en,review_after_translation
2711,"Can say own name, age and gender","<p>Can say own name, age and gender</p>",,,,7386,rs-en,review_after_translation
2716,Explores things by putting them in his mouth.,"<p>He puts everything he reaches in his mouth, very often he also brings his feet to his mouth.</p>",,6436,6436,7711,rs-en,review_after_translation
2721,"Reaches for things that are out of reach with one hand, and when she grasps them, she can move them from one hand to another","<p>She is still reaching for objects with one hand, but manipulates by transferring them from one hand to the other using the radial part of the palm, thumb and forefinger while the other fingers remain fixed.</p>",,6431,6431,7676,rs-en,review_after_translation
2726,Understands complex words,"<p>Understands terms such as ""similar"" and ""different"", ""easy"" and ""difficult"", ""good"" and ""bad"", ""small"" and ""big"".</p>",,6801,6801,7816,rs-en,review_after_translation
2731,"Responds to the sound of the voice by making sounds - by merging vowels: a, e, u...","<p>When someone is addressing him, talking, singing, reading to him…the baby responds.</p>",,6421,6421,7211,rs-en,review_after_translation
2736,Loudly expresses dissatisfaction or joy,"<p>She cries or protests loudly to express unpleasant feelings, and laughs loudly to express pleasure.</p>",,6411,6411,7746,rs-en,review_after_translation
2741,"Understands the meaning of words such as ""mine, yours, hers"", uses prepositions and pronouns","<p>Pronounces words such as ""I"", ""you"", ""we"" and knows the plural forms of some words - ""dogs"", ""cats"".</p>",,,,7811,rs-en,review_after_translation
2746,The baby is excited when he realizes that it's time to play,"<p>He rejoices, looks happy and enjoys the play and contact, especially with parents and familiar persons.</p>",,6441,6441,7841,rs-en,review_after_translation
2751,Follows the instructions that contain two or three orders,<p>Can respond to multiple linked oral requests (“leave the doll and sit on the chair” (“take off your jacket and put on your slippers”). </p>,,6836,6836,7381,rs-en,review_after_translation
2756,"Shows a wide range of emotions, recognizes emotions in others","<p>Shows anger, fear, guilt, shame, and begins to show empathy, so she recognizes how others feel (for example, she wants to comfort his crying friend with a hug).</p>",,6821,6821,7376,rs-en,review_after_translation
2761,Recognizes family members and distinguishes them from strangers. The baby may be afraid of strangers.,"<p>Recognizes family members and distinguishes them from strangers. The baby may be afraid of strangers. She is happy to see familiar persons, laughs at them, responds differently to familiar and unfamiliar people.</p>",,,,7216,rs-en,review_after_translation
2766,Likes to play in the company of children,"<p>Play is no longer just parallel – side by side, but has more complex elements, imagination and playfulness.</p>",,6931,6931,7371,rs-en,review_after_translation
2771,Gets upset when the parent leaves the room and relaxes when the parent returns.,<p>Gets upset when the parent leaves the room and relaxes when the parent returns. He shows signs of anxiety or starts crying when the parent leaves the room. He is happy when a parent or close persons return.</p>,,6506,6506,7681,rs-en,review_after_translation
2776,Reacts when she hears own name.,<p>Reacts when she hears own name. She begins to recognize her name when someone calls her.</p>,,6446,6446,7221,rs-en,review_after_translation
2781,Finds it easier to separate from parents,"<p>Reactions to separation are less intense, she calms down faster, and learns to rely on other adults who are close by when parents leave.</p>",,6796,6796,7366,rs-en,review_after_translation
2786,"Begins to understand the meaning of the word ""no"".","<p>Begins to understand the meaning of the word ""no"".  When he hears the word, he stops the activity and recognizes disapproval.</p>",,6476,6476,7226,rs-en,review_after_translation
2791,"Babbles, makes syllables and produces many different sounds","<p>Babbles, makes syllables and produces many different sounds. She uses multiple combinations of sounds and pairs different consonants and vowels, tries to repeat or imitate the sounds that adults pronounce.</p>",,6451,6451,7231,rs-en,review_after_translation
2796,Can go up and down the stairs,"<p>Can go up and down the stairs, with support Is able to climb stairs or go down them with a little help.</p>",,6626,6626,7361,rs-en,review_after_translation
2801,Begins to communicate with movements.,"<p>Begins to communicate with movements. He communicates non-verbally, pointing to the desired objects with his hand or shaking his head to indicate ""no"".</p>",,6481,6481,7686,rs-en,review_after_translation
2806,Follows the falling object and looks for the hidden object,"<p>Follows the falling object and looks for the hidden object. If the object is hidden under a cup or a blanket, the baby tries to discover it. When an object falls or mommy throws it, the baby looks for the thrown object with her eyes.</p>",,6496,6496,7691,rs-en,review_after_translation
2811,"Can stand on her toes, run, jump, kick the ball","<p>Can stand on her toes, run, jump, kick the ball and throw it over her head.</p>",,6646,6646,7321,rs-en,review_after_translation
2816,Uses one hand more than the other,<p>Begins to use one hand more - left or right.</p>,,6666,6666,7356,rs-en,review_after_translation
2821,Scribbles independently on paper,"<p>He is capable of holding a pencil and making doodles, drawing or copying lines and circles.</p>",,6661,6661,7806,rs-en,review_after_translation
2826,Still puts objects in his mouth,<p>Still puts objects in his mouth. The baby explores objects by putting them in his mouth. </p>,,6456,6456,7236,rs-en,review_after_translation
2831,Begins to sort and pair things,"<p>She can pair, for example, an animal with an animal, a sock with a sock.</p>",,,,7751,rs-en,review_after_translation
2836,"Smoothly transfers objects from hand to hand, shakes them.","<p>Smoothly transfers objects from hand to hand, shakes them. She manipulates objects by moving them from left to right hand and vice versa.</p>",,6501,6501,7696,rs-en,review_after_translation
2841,Picks up small objects.,"<p>Picks up small objects. He picks up small objects using his thumb and forefinger. He still uses the entire surface of his finger, not just fingertips to hold the object.</p>",,,,7846,rs-en,review_after_translation
