ID,Title,Body,Child_age,Related_articles,Related_video_articles,Related_activities,Translation_language,Moderation_state
2526,"Расслабляется, когда вы берете ее на руки","<p>Когда вы поднимаете ее/его, вы чувствуете, как ребенок привыкает к объятиям и прижимается к вашей груди.</p>",,6286,6286,,tj-ru,published
2556,"Лежа на животике, поднимает голову","<p>Когда вы положите его/ее на животик, то ребенок попытается поднять голову, чтобы освободить дыхательные пути.</p>",,6281,6281,,tj-ru,published
2781,Легче разлучается с родителями,"<p>Реакция на разлуку менее напряженная, ребенок быстрее успокаивается и учится полагаться на других взрослых, которые находятся рядом, когда родители уходят.</p>",,6796,6796,,tj-ru,published
2786,Начинает понимать значение слова «нет».,"<p>Начинает понимать значение слова «нет».  Когда он слышит слово, то прекращает деятельность и признает неодобрение.</p>",,6476,6476,,tj-ru,published
2791,"Лепечет, складывает слоги и издает много разных звуков","<p>Лепечет, складывает слоги и издает много разных звуков. Ребенок использует несколько сочетаний звуков и пар разных согласных и гласных, пытается повторять или имитировать звуки, которые произносят взрослые.</p>",,6451,6451,,tj-ru,published
2796,Может подниматься и спускаться по лестнице,<p>Может подниматься и спускаться по лестнице с опорой. Может подниматься по лестнице или спускаться по ней с небольшой помощью.</p>,,6626,6626,,tj-ru,published
2801,Начинает общаться движениями.,"<p>Начинает общаться движениями. Ребенок общается невербально, указывая рукой на желаемые объекты или качая головой в знак «нет».</p>",,6481,6481,,tj-ru,published
2806,Следит за падающим предметом и ищет спрятанный предмет,"<p>Следит за падающим предметом и ищет спрятанный предмет. Если предмет спрятан под чашкой или одеялом, ребенок пытается обнаружить его. Когда предмет падает или мама бросает его, ребенок ищет брошенный предмет глазами.</p>",,6496,6496,,tj-ru,published
2811,"Может стоять на носочках, бегать, прыгать, ударять мяч","<p>Может стоять на носочках, бегать, прыгать, ударять мяч и перебрасывать его через голову.</p>",,6646,6646,,tj-ru,published
2816,"Использует одну руку больше, чем другую",<p>Начинает пользоваться одной рукой больше - левой или правой.</p>,,6666,6666,,tj-ru,published
2821,Самостоятельно рисует каракули на бумаге,"<p>Ребенок умеет держать карандаш и рисовать каракули, рисовать или копировать линии и круги.</p>",,6661,6661,,tj-ru,published
2826,По-прежнему кладет предметы в рот,"<p>По-прежнему кладет предметы в рот. Малыш исследует предметы, кладя их в рот. </p>",,6456,6456,,tj-ru,published
2831,Начинает сортировать и сопоставлять вещи,"<p>Ребенок может соединить, например, животное с животным, носок с носком.</p>",,,,,tj-ru,published
2836,"Плавно перекладывает предметы из руки в руку, встряхивает их.","<p>Плавно перекладывает предметы из руки в руку, встряхивает их. Ребенок манипулирует объектами, перемещая их слева направо и наоборот.</p>",,6501,6501,,tj-ru,published
2841,Собирает мелкие предметы,"<p>Собирает мелкие предметы. Он поднимает мелкие предметы большим и указательным пальцами. Он по-прежнему использует всю поверхность пальца, а не только кончики пальцев, чтобы удерживать объект.</p>",,,,,tj-ru,published
2846,Целенаправленно использует игрушки в играх,"<p>Может играть с игрушками, знает, для чего они и как их использовать в игре.</p>",,6656,6656,,tj-ru,published
2851,Может самостоятельно сидеть и сидеть без поддержки.,<p>Может самостоятельно сидеть и сидеть без поддержки. Самостоятельно принимает сидячее положение. Сидит без дополнительной поддержки и помощи.</p>,,6466,6466,,tj-ru,published
2856,Поднимается до положения ползания. Некоторые дети уже ползают.,<p>Поднимается до положения ползания. Некоторые дети уже ползают. Ребенок может самостоятельно ползать. Он движется ползком вперед или назад.</p>,,6486,6486,,tj-ru,published
2861,"Играйте в простые ""ролевые"" игры","<p>Например, играет в простые «ролевые игры» - кормит куклу, ест торт.</p>",,"6631, 3651, 4786","6631, 3651, 4786",,tj-ru,published
2866,"Отталкивается, пытается встать.","<p>Отталкивается, пытается встать. Ребенок пытается подняться, держась за мебель, но ему нужна помощь и поддержка.</p>",,"4531, 6471","4531, 6471",,tj-ru,published
2871,Проявляет застенчивость и нервозность в общении с незнакомыми людьми.,"<p>В присутствии незнакомцев ребенок ведет себя иначе, чем с людьми, которых он знает. Он начинает стесняться людей, которых не знает (избегает зрительного контакта, цепляется за знакомых).</p>",,6526,6526,,tj-ru,published
2876,"При общении с ребенком также частично его понимают люди, которые не находятся с ним каждый день.","<p>Он/она начинает более четко произносить голосом и использует все больше и больше слов со смыслом, поэтому общение становится проще.</p>",,,,,tj-ru,published
2881,Знает животных и их звуки,<p>Ассоциирует звук с животными.</p>,,6616,6616,,tj-ru,published
2886,"Плачет, когда разлучается с родителями",<p>Сразу после разлуки с родителями проявляет признаки выраженного беспокойства.</p>,,,,,tj-ru,published
2891,В общении с людьми использует сочетание слов и жестов.,"<p>Произносит предложение, состоящее из 2–4 слов, и говорит о себе от третьего лица: «Миа хочет», «Эмма сидит». </p>",,6621,6621,,tj-ru,published
2896,Есть любимая игрушка,"<p>Предпочитает определенную игрушку, ищет ее, носит с собой.</p>",,,,,tj-ru,published
2901,Спонтанно стремится разделить интересы и удовольствия со взрослыми,"<p>Любит ответные игры: «Я даю тебе - ты отдаешь мне», «Я делаю - ты делаешь» и тому подобное.</p>",,6551,6551,,tj-ru,published
2906,"Понимает свое имя, имена знакомых людей, названия предметов из своего окружения, повседневные действия и слово «нет».",<p>Адекватно реагирует на зов его/ее имени или слово «нет».</p>,,6546,6546,,tj-ru,published
2911,"Повторяет слоги, и некоторые дети уже могут произносить слова со значением","<p>Производит множество разных звуков (мааа, бааа, дааад ...) и использует некоторые из них как первые узнаваемые слова, зная их значение (мама, папа ...).</p>",,6531,6531,,tj-ru,published
2916,Понимает краткую инструкцию или указания,"<p>Понимает, когда вы говорите ему/ей «принеси мяч» или «отдай маме».</p>",,6541,6541,,tj-ru,published
2921,Имитирует и использует жесты,"<p>Он может сказать «па-па» для приветствия, качает головой в знак «нет», указывает на желаемый предмет.</p>",,"3566, 6521","3566, 6521",,tj-ru,published
2926,Понимает и следует более чем одной простой инструкции,"<p>Может выполнять один или несколько связанных простых устных запросов, например: «Принеси подушку», «Сядь», «Выбрось в мусорное ведро»…</p>",,,,,tj-ru,published
