ID,Title,Body,Child_age,Related_articles,Related_video_articles,Related_activities,Translation_language,Moderation_state
2526,"Расслабляется, когда вы берете ее/его на руки","<p>Когда вы берете ее/его на руки, вы чувствуете, как ребенок приспосабливается к объятиям и прижимается к вашей груди</p>",,6286,6286,,uz-ru,published
2531,"Возбуждается, когда вы разговариваете с ней /ним","<p>Когда он/она слышит ваш голос, радуется, но вы также замечаете , что он/она замедляет свои движения,кажется прслушивается к вам , присутствовать…</p>",,6311,6311,,uz-ru,published
2536,Смотрит на вас когда вы улыбаетесь и разговариваете с ней/ним .,"<p>Когда вы говорите ему/ей, ребенок глазами следит за вашим лицом</p>",,6291,6291,,uz-ru,published
2541,Издает звуки,"<p>Ребенок плачет, и в тоже время издает звуки</p>",,6296,6296,,uz-ru,published
2546,"Сжимает и разжимает кулак, когда вы бережно прикасаетесь к нему","<p>Когда вы дотрагиваетесь до ладошки ребенка или кладете в нее что-то, он/она плотно сжимает кулак. Если вы дадите ему/ей ваш палец, он/она крепко ухватится за него.</p>",,6301,6301,,uz-ru,published
2551,Свободно двигает руками и ногами с обеих сторон,<p>В свободном положении ребенка вы можете наблюдать совершенно хаотичные движения рук и ног</p>,,6306,6306,,uz-ru,published
2556,"Лежа на животике, поднимает голову","<p>Когда вы положите его/ее на животик, то ребенок попытается поднять голову, чтобы освободить дыхательные пути.</p>",,6281,6281,,uz-ru,published
2561,"Издает разные звуки, когда он счастлив, расстроен или голоден","<p>Плач ребенка меняется в зависимости от определенных потребностей, поэтому по звукам, которые он издает, можно определить, счастлив ли он/она, расстроен или имеет какие-то другие потребности.</p>",,6316,6316,,uz-ru,published
2566,Может утешить себя на некоторое время,"<p>Малыш успокаивается, посасывая свой палец или свою маленькую ручку.</p>",,6361,6361,,uz-ru,published
2571,"Поворачивает голову к источнику звука и показывает, что слушает","<p>Если он/она слышит человеческий голос или какой-то другой звук, он/она поварачивает к нему голву . Слушая голос, он/она смотрит на родителя или говорящего, замедляя свои движения.</p>",,6326,6326,,uz-ru,published
2576,"Гулит, издает звуки",<p>Она/он издает разные голоса.</p>,,6321,6321,,uz-ru,published
2581,Следит глазами за движением вещей и людей,"<p>Ребенок пытается отслеживать траекторию движения игрушек, предметов или людей</p>",,6336,6336,,uz-ru,published
2586,"Проявляет скуку или плачет, если вид деятельности меняется","<p>Ребенок плачем выражает недовольство , если его/её надолго оставляют в одном положении, или протестует, если вы опускаете ее/его после того, как держали на руках</p>",,,,,uz-ru,published
2591,"Иногда он/она держит кулаки разжатыми, манипулирует ими","<p>Ребенок большую часть времени держит руки сжатыми в кулаки , но иногда он/она их разжимает и держит в таком положении в течение некоторого времени. Он/она наблюдает за движением своих рук , подносит их ко рту.</p>",,6356,6356,,uz-ru,published
2601,Делает мелкие движения руками и ногами,<p>В свободном положении ребенка вы можете видеть множество мелких случайных движений рук и ножек ребенка.</p>,,6341,6341,,uz-ru,published
2606,"Когда ребенок лежит на животе, он опирается предплечьями на коврик","<p>В положении прон позиции(лежа на животе )ребенок может поднимать голову, опирраясь на предплечья, упираясь об пол.</p>",,6346,6346,,uz-ru,published
2611,Смеется лицу человека,"<p>Часто, легко и спонтанно улыбается людям рядом с ним/ней</p>",,6401,6401,,uz-ru,published
2616,Внимательно наблюдает за лицами людей,"<p>Внимательно и подробно рассматривает лица людей, поддерживает длительный зрительный контакт.</p>",,6386,6386,,uz-ru,published
2621,"Показывает, что она сердита или счастлива",<p>Имеет распознаваемые реакции удовлетворения и неудовлетворенности.</p>,,6381,6381,,uz-ru,published
2631,Начинает лепетать,"<p>Вокализирует и издает звуки, напоминающие гласные - a, e, и, o, у</p>",,6371,6371,,uz-ru,published
2636,Поднимается и спускается по лестнице,"<p>Поднимается по лестнице с опорой, попеременно используя одну ногу, затем другую.</p>",,6811,6811,,uz-ru,published
2641,"Начинает имитировать движения и выражения лица, а также звуки во время игры","<p>При обращении к нему/ней, ребенок пытается повторить движение или выражение лица. Он/она реагирует на разговор и речь посредством звуков</p>",,"3626, 6376","3626, 6376",,uz-ru,published
2646,Устанавливает зрительно-моторную координацию,"<p>Нарастает зрительно-моторная координация, например, ваш ребенок смотрит на предмет и пытается дотянуться до него.</p>",,6406,6406,,uz-ru,published
2651,Копирует  круги деревянными и восковыми карандашами,<p>Копирует круги деревянными и восковыми карандашами.</p>,,6826,6826,,uz-ru,published
2656,"Одной рукой тянется к игрушке, исследует ее, трясет и бьет","<p>Он/она тянется к предмету и хватает его внешней стороной ладони, не используя большой палец. Он/она манипулирует объектом, встряхивая, ударяя или кладя его в рот.</p>",,6391,6391,,uz-ru,published
2666,Берет руки в рот,"<p>Очень часто он/она засовывает руки в рот. Он/она также исследует другие предметы, кладя их в рот.</p>",,6366,6366,,uz-ru,published
2671,"Держит голову прямо, без поддержки","<p>В полусидячем положении, он/она может держать голову в вертикальном положении.</p>",,6841,6841,,uz-ru,published
2676,В положении лежа устойчиво опирается на предплечья и отталкивается вверх локти,"<p>Лежа на животе, она/он высоко поднимает плечи и голову, опираясь на локти.</p>",,,,,uz-ru,published
2681,Развивает сложную игру и вовлекает в нее других,"<p>Любит ролевую, творческую игру, со множеством вымышленных элементов. Иногда не ясно, что реально, а что выдумано.</p>",,6831,6831,,uz-ru,published
2686,Поет отрывки из простых песен,<p>Поет отрывки из простых песен.</p>,,,,,uz-ru,published
2691,Перекатывается с живота на спину и со спины на живот с обеих сторон,"<p>Она/он может переворачиваться и поворачиваться в любом направлении (как на левую, так и на правую стороны) как со спины на животик, так и с живота на спину.</p>",,6426,6426,,uz-ru,published
2696,Может сидеть с некоторой поддержкой,"<p>Опираясь на что-то или держась за что-то, ребенок может сидеть и в течение короткого времени может самостоятельно сохранять сидячее положение.</p>",,,,,uz-ru,published
2701,Может сказать предложение из 2–3 слов,"<p>Может составлять и произносить предложения из 2-3 слов достаточно хорошо, чтобы члены семьи могли его/ее понять.</p>",,6816,6816,,uz-ru,published
2706,"В вертикальном положении она/он может некоторое время выдерживать свой вес, опираясь на ноги.","<p>Когда вы держите ребенка вертикально над полом, он/она опирается на пол или выглядит так, как будто подпрыгивает.</p>",,,,,uz-ru,published
2711,"Может назвать свое имя, возраст и пол","<p>Может назвать свое имя, возраст и пол</p>",,,,,uz-ru,published
2716,"Исследует вещи, кладя их себе в рот.","<p>Он/она кладет в рот все, до чего дотягивается, очень часто также подносит ноги ко рту.</p>",,6436,6436,7711,uz-ru,published
2721,"Одной рукой тянется к вещам, которые находятся вне досягаемости, и когда хватает их, может перекладывать их из одной руки в другую","<p>Он/она все еще тянется к предметам одной рукой, но манипулирует, перекладывая их из одной руки в другую, используя тыльную часть ладони, большой и указательный пальцы, в то время как другие пальцы остаются неподвижными.</p>",,6431,6431,,uz-ru,published
2726,Понимает сложные слова,"<p>Понимает такие термины, как «похожие» и «разные», «простые» и «сложные», «хорошие» и «плохие», «маленькие» и «большие».</p>",,6801,6801,,uz-ru,published
2731,"Отзывается на звучащий голос, издавая звуки - слиянием гласных: а, э, у ...","<p>Когда кто-то обращается к нему/ней, говорит, поет, читает ему/ей... ребенок реагирует.</p>",,6421,6421,,uz-ru,published
2736,Громко  выражает недовольство или радость,"<p>Он/она громко плачет или протестует, чтобы выразить неприятные чувства, и громко смеется, чтобы выразить удовольствие.</p>",,6411,6411,,uz-ru,published
2741,"Понимает значение таких слов, как «мой, твой, ее», использует предлоги и местоимения.","<p>Произносит такие слова, как «я», «ты», «мы» и знает формы множественного числа некоторых слов - «собаки», «кошки».</p>",,,,,uz-ru,published
2746,"Малыш в восторге, когда понимает, что пора играть","<p>Он/она радуется, выглядит счастливым и наслаждается игрой и общением, особенно с родителями и знакомыми людьми.</p>",,6441,6441,,uz-ru,published
2756,"Проявляет широкий спектр эмоций, распознает чужие  эмоции","<p>Проявляет гнев, страх, вину, стыд и начинает проявлять сочувствие, потому что осознает, что чувствуют другие (например, хочет утешить своего плачущего друга объятиями).</p>",,6821,6821,,uz-ru,published
2761,Узнает членов семьи и отличает их от посторонних. Малыш может бояться незнакомых.,"<p>Распознает членов семьи и отличает их от незнакомых людей. Ребенок может бояться незнакомых людей. Он/она радуется знакомым людям ,, смеется им, по-разному реагирует на знакомых и незнакомых людей.</p>",,,,,uz-ru,published
2766,Любит играть в компании детей.,"<p>Игра теперь не просто параллельное присутствуе - бок о бок, а она имеет более сложные элементы, воображение и игривость.</p>",,6931,6931,,uz-ru,published
2771,"Расстраивается, когда родитель выходит из комнаты, и успокаивается, когда родитель возвращается.","<p>Расстраивается, когда родитель выходит из комнаты, и успокаивается, когда родитель возвращается. Он/она проявляет признаки беспокойства или начинает плакать, когда родитель выходит из комнаты Он/она счастлив(а), когда возвращаются родители или близкие люди.</p>",,6506,6506,,uz-ru,published
2776,"Реагирует, когда слышит собственное имя.","<p>Реагирует, когда слышит собственное имя. Она/он начинает узнавать свое имя, когда кто-то зовет ее/его.</p>",,6446,6446,,uz-ru,published
2781,Легче разлучается с родителями,"<p>Реакции на разлуку менее болезненны, он/она быстрее успокаивается и учится полагаться на других взрослых, которые находятся рядом, когда родители отлучаются.</p>",,6796,6796,,uz-ru,published
2786,Начинает понимать значение слова «нет».,"<p>Начинает понимать значение слова «нет». Когда он/она слышит слово, то прекращает деятельность и признает неодобрение.</p>",,6476,6476,,uz-ru,published
2791,"Лепечет, складывает слоги и издает много разных звуков","<p>Лепечет, произносит слоги и издает множество различных звуков. Он/она использует несколько комбинаций звуков и пар различных согласных и гласных, пытается повторить или имитировать звуки, которые произносят взрослые.</p>",,6451,6451,,uz-ru,published
2796,Может подниматься и спускаться по лестнице,<p>Может подниматься и спускаться по лестнице с опорой. Может подниматься по лестнице или спускаться по ней с небольшой помощью.</p>,,6626,6626,,uz-ru,published
2801,Начинает общаться движениями,"<p>Начинает общаться движениями. Он/она общается невербально, указывая рукой на желаемые объекты или качая головой в знак «нет».</p>",,6481,6481,,uz-ru,published
2806,Следит за падающим предметом и ищет спрятанный предмет,"<p>Следит за падающим предметом и ищет спрятанный предмет. Если предмет спрятан под чашкой или одеялом, ребенок пытается обнаружить его. Если предмет падает или мама бросает его, ребенок ищет брошенный предмет глазами.</p>",,6496,6496,,uz-ru,published
2811,"Может стоять на носочках, бегать, прыгать, пинать мяч","<p>Может стоять на носочках, бегать, прыгать, пинать мяч и перебрасывать его через голову.</p>",,6646,6646,,uz-ru,published
2816,"Использует одну руку больше, чем другую",<p>Начинает больше пользоваться одной рукой - левой или правой.</p>,,6666,6666,,uz-ru,published
2821,Самостоятельно рисует каракули на бумаге,"<p>Он/она способен(а) держать карандаш и делать каракули, рисовать или копировать линии и круги.</p>",,6661,6661,,uz-ru,published
2826,По-прежнему кладет предметы в рот,"<p>По-прежнему кладет предметы в рот. Малыш исследует предметы, кладя их в рот.</p>",,6456,6456,,uz-ru,published
