ID,Title,Body,Child_age,Related_video_articles,Related_activities,Translation_language,Moderation_state
2526,"Farzandingizni qo&#039;lingizga olganingizda u tinchlanadi.","<p>Farzandingizni qo‘lingizga olganingizda, uni bag‘ringizga ko‘nikib, pinjingizga kirib ketayotganligini sezasiz</p>",,6286,7581,uz-uz,draft
2531,"Bola bilan gaplashganingizda u hayajonlanib ketadi","<p>Farzandingiz ovozingizni eshitganida o'z hayajonini namoyon qiladi, siz uning sizni tinglayotgandek harakatlarini sekinlashtirganini sezishingiz mumkin</p>",,6311,7586,uz-uz,draft
2536,"Jilmayib qaraganingizda, unga gapirganingizda farzandingiz sizga qarab turadi.","<p>Farzandingizga gapirganingizda, u sizning yuz ifodangizni kuzatadi.</p>",,6291,7591,uz-uz,draft
2541,"Ovoz chiqaradi","<p>Bola yig'laydi, shu bilan birga tovushlarni ham chiqaradi</p>",,6296,7596,uz-uz,draft
2546,"Unga muloyimlik bilan teginganingizda u mushtini ochadi va yopadi","<p>Bolaning kaftiga tekkaningizda yoki unga biron bir narsani qo'yganingizda, u mushtini mahkam yopadi. Agar siz unga barmog'ingizni bersangiz, u uni mahkam ushlab oladi.</p>",,6301,7601,uz-uz,draft
2551,"Ikkala tomon qo&#039;l va oyoqlarini erkin harakatlantiradi","<p>Erkin yotgan holatida, siz bolaning qo'l va oyoqlarini tartibsiz harakatlantirayotganini ko'rishingiz mumkin</p>",,6306,7756,uz-uz,draft
2556,"Qornida yotganida boshini ko&#039;taradi","<p>Uni qorniga yotqizganingizda, bola nafas yo'lini ochish uchun boshini ko'tarishga harakat qiladi.</p>",,6281,7606,uz-uz,draft
2561,"U xursand, xafa bo&#039;lganida yoki och qolganida turli xil tovushlarni chiqaradi","<p>Kichkintoyning yig'lashi uning ehtiyojlarga qarab farqlanadi, shuning uchun bolaning tovushlariga ko'ra uning quvongani, xafa bo'lgani, yoki boshqa biron bir ehtiyoj borligini bilish mumkin.</p>",,6316,7611,uz-uz,draft
2566,"O&#039;zini-o&#039;zi bir muddat ovuntira oladi","<p>Bola barmog'ini yoki mitti qo'lchasini so'rib tinchlanadi</p>",,6361,7176,uz-uz,draft
2571,"Boshini tovush manbai tomon burib, tinglayotganini ko&#039;rsatadi","<p>Odamning ovozi yoki boshqa biron bir tovushni eshitganda, Bola boshini ovoz chiqqan tomonga qaratadi. Ovozni tinglaganda, ota-onasiga yoki gapirayotgan kishiga tikilib, harakatlarini sekinlashtiradi.</p>",,6326,7721,uz-uz,draft
2576,"Chug&#039;urlaydi, tovushlar chiqaradi","<p>U turli xil ovozlarni talaffuz qiladi.</p>",,6321,7616,uz-uz,draft
2581,"Ko&#039;zlari bilan narsalar va odamlarning harakatini kuzatadi","<p>O'yinchoqlar, narsalar yoki odamlar uning ko'rish sohasida harakat qilganda, bola harakatlar yo'nalishini kuzatishga harakat qiladi.</p>",,6336,7761,uz-uz,draft
2586,"Faoliyat turi o&#039;zgarganida, zerikayotganligini ko&#039;rsatadi yoki yig&#039;laydi","<p>Bola uzoq vaqt davomida bir holatda qolsa yig'lab shikoyat qiladi, qo'lingizdan tushirganingizda norozilik bildiradi.</p>",,,7181,uz-uz,draft
2591,"Ba&#039;zida u mushtlarini ochiq holda ushlaydi, ularni harakatlantiradi","<p>Bola hali ham ko'pincha qo'llarini mushti tugilgan holda ushlab turadi, lekin vaqti-vaqti bilan qo'llarini bo'shashtirib, mushtini ochiq holda ushlaydi. U qo'llarining harakatini kuzatadi, ularni og'ziga olib keladi.</p>",,6356,7621,uz-uz,draft
2596,"Boshini bir tomonga, keyin esa boshqa tomonga buradi","<p>Bola bo'yin va boshi bilan turli xil harakatlarini amalga oshiradi.</p>",,6351,7626,uz-uz,draft
2601,"Qo&#039;llari va oyoqlari bilan mayda harakatlarni amalga oshiradi","<p>Bola erkin holatda yotganida, siz uni qo'l va oyoqlarining ko'plab tasodifiy harakatlarini kuzatishingiz mumkin</p>",,6341,7631,uz-uz,draft
2606,"Bola qornida yotganida bilaklari bilan gilamga suyanadi","<p>Bola qornida yotganida bilaklari bilan gilamga suyanadi.</p>",,6346,7636,uz-uz,draft
2611,"Odamlarni ko&#039;rganda kuladi","<p>Atrofidagi odamlarga tez-tez, yengilgina kulib qo'yadi</p>",,6401,7641,uz-uz,draft
