ID,Title,Summary,Body,Cover_video,Category,Child_age,Child_gender,Parent_gender,Keywords,Related_articles,Related_video_articles,Australian_article,Mandatory_content,References_and_comments,Translation_language,Moderation_state
7881,"25-36 месеца - Период, когато въображението процъфтява","<p>„Това съм аз. Знам си името, както и как се казват мама и татко. Имам приятели  – и момчета, и момичета. Обичам да играя, сам и с другите. Обичам да говоря и да задавам въпроси. Обичам да драскам с пастели върху лист хартия. Обичам да разглеждам книги и ми харесва, когато ми четеш истории. Четеш ги, сякаш са истински. А някои наистина обичам да ми четеш отново и отново, не ми омръзва. Обичам и да тичам, да се качвам по стълби. Опитвам се да карам колело с три колела, мога да хвърлям топка. Правя кули от кубчета, карам детски коли. Моите играчки също правят различни неща. Понякога ми се струва, че мога всичко, затова ми е трудно, когато не успея. Не се притеснявай, ще опитам отново. Ако не мога да го направя сега, ще мога да го направя по-късно. Ако не мога да правя нещо, ще правя нещо друго.“</p>","<h3><strong>Развитие на детето в периода от 25-ия до 36-ия месец</strong>  </h3>

<p>Това е решаващ период за емоционалното развитие на детето ви. Вашето двегодишно дете преживява разнообразни емоции всеки ден, като в същото време научава за чувствата на другите и за първи път може да почувства съпричастност. Все още може да има гневни изблици, защото все още му е трудно да обясни с думи своите „големи“ емоции като гняв, разочарование, срам, смущение или вина. През този период детето ви започва да разбира как поведението му се отразява на вашето, но и как вашето поведение се отразява на него. Характерно за този период е отслабването на тревожността при раздяла, така че повечето деца се разстройват все по-малко, когато близки хора напуснат заобикалящата го среда. Въпреки че назоваването на чувствата все още е голямо предизвикателство за двегодишното дете, речникът му става по-богат. На тази възраст повечето деца могат да съставят изречения от 2 до 5 думи и речта им става по-ясна, така че е по-лесно да разберете какво ви казва детето. То постепенно се научава да слуша и да изчаква реда си, когато общувате и може да поддържа кратък разговор. Детето ви се научава да описва събитията, които са се случили през деня и с малко помощ от вас може да свърже последователност от събития и да ви разкаже история.</p>

<p>Всичко, което детето ви е преживяло досега, е оформило развитието на неговото мислене. Вашето дете постепенно започва да разбира понятия като време и противоположности  – например ден/нощ, голямо/малко. Също така, в този период то може да показва частите от тялото в зависимост от тяхната функция (С какво виждаме?  С очите.) и да сортира предмети по цвят, размер или форма. Също така започва да решава проблеми като прилага принципа „проба – грешка“.</p>

<p>Това е и периодът на придобиване на самостоятелност. През този период детето ви може да се облича и съблича самостоятелно, да мие ръцете си и да се храни само. Насърчавайте го винаги, когато успее в някоя от тези дейности и изграждайте самочувствието му, като го включвате в ежедневните домакински задължения около хигиената, храненето или пазаруването. Важен аспект на придобиването на самостоятелност е научаването да използва тоалетната, което обикновено се случва през този период на развитие.</p>

<p>Движенията, които дете на тази възраст може да изпълнява са по-сложни  – очаква се до навършване на три години детето ви да тича, да скача, да стои на един крак, да се качва и слиза по стълби и може би да кара колело с три гуми или без педали... Ако сте близо до него, вашето двегодишно дете ще бъде по-склонно да изследва както тялото си, така и движенията си (катерене, прескачане ...). Ето защо е важно винаги да сте наблизо и да създавате сигурна среда, така че детето ви да се чувства в безопасност да опитва нови неща.</p>

<p>Играта все още е най-важният начин за учене на двегодишното дете. То все повече включва други деца в играта, която е сложна, въображаема и понякога то не знае какво е реално и какво е „наужким“. Затова го подкрепете да започне игра и да покани и други деца да се включат в нея. Не очаквайте, че детето винаги ще бъде готово да споделя и сътрудничи с другите и затова наблюдението и помощта по време на игра с други деца са винаги важни. </p>

<p> </p>

<h3><strong>Родителство и притеснения на родителите в периода от 25-ия до 36-ия м</strong>есец </h3>

<p>Без значение колко дълъг е вашият родителски опит, вие все още научавате нещо ново за детето си, за неговото развитие и начините да го подкрепите. Гледането на дете на възраст между 2 и 3 години понякога може да бъде изнервящо, свързано с тревоги или натоварващо за родителя. Важно е да разпознаете чувствата си и да ги споделите с близък човек (приятел, партньор или член на семейството). Да се грижите за себе си в ролята ви на родител е предпоставка за предоставяне на качествена грижа за детето.</p>

<p>Следете развитието на детето си и обръщайте внимание на поведението му. През този период е оправдано да се притеснявате и да говорите с вашия педиатър, ако забележите, че детето ви до края на третата година от живота:  </p>

<ul>
	<li>не осъществява контакт с очи с вас;</li>
</ul>

<ul>
	<li>затруднява се да чува или да вижда някои неща;</li>
</ul>

<ul>
	<li>не използва изречение от три думи;</li>
</ul>

<ul>
	<li>говори така, че е трудно да се разбере какво казва;</li>
</ul>

<ul>
	<li>не разбира прости указания;</li>
</ul>

<ul>
	<li>не проявява интерес към други деца;</li>
</ul>

<ul>
	<li>трудно му е да се разделя с вас или с други близки възрастни;</li>
</ul>

<ul>
	<li>не може да играе игри „наужким“;</li>
</ul>

<ul>
	<li>не може да тича;</li>
</ul>

<ul>
	<li>не драска и не рисува;</li>
</ul>

<ul>
	<li>не може да държи малки предмети, като например пастел.</li>
</ul>

<p>Ако забележите, че детето ви е изгубило част от способностите или уменията, които вече е придобило през предходния период, е добре да говорите за това с педиатър. </p>

<p> </p>

<h3><strong>Как да насърчите развитието на детето в периода от 25-ия до 36-ия</strong> месец </h3>

<p>Водете детето си на места, където играят други деца (в двора, парка или зали за игра), за да играе редом с тях и постепенно да ги включва в съвместна игра. Определете си време, през което да четете заедно с детето и му позволете да разлиства страниците на книжката с картинки само. Помолете го да показва какво има на картинките и го насърчавайте да повтаря думите след вас. Когато назовавате предмети, не забравяйте да добавите описание (използвайте прилагателни имена), например „синя кола“, „голяма топка“ и т.н. Позволете на детето си да играе „наужким“, включете се в играта, като оставите детето да ви води. Научете детето си на прости песни и стихчета, например: „Хей ръчички, хей ги две...“, „Тръгнал кос, гол и бос...“ и т.н. Давайте указания на детето си, състоящи се от 2-3 стъпки, като например „Иди в стаята и донеси топката, за да можем да играем“. Включвайте го в подреждането на апартамента, давайте му прости задачи и винаги го хвалете за това, което прави. Позволявайте му да използва различни моливи, пастели и флумастери.  Рисувайте заедно на хартия. Оставете го да подрежа прости пъзели и да строи кули от строителни блокчета. </p>",13056,6,,,,"4746, 4751",,,1,1,"<p>Reference:</p>

<p><a href=""https://raisingchildren.net.au/toddlers/development/development-tracker-1-3-years/2-3-years"">https://raisingchildren.net.au/toddlers/development/development-tracker-1-3-years/2-3-years</a></p>

<p>Laura E. Berk (2006), Child development (7ht edition), Allyn &amp; Bacon</p>

<p>Dr sci Nirvana Pištoljević (2016), Rani razvoj deteta: šta treba znati, Udruženje pedijatara Srbije, Beograd.</p>",bg-bg,published
7886,Първи месец – Период на опознаване,"<p>„Ето ме. Изведнъж всичко е различно от преди. Имам нужда от малко време, за да привикна към външния свят. Усещам присъствието ти. Въпреки че все още не виждам ясно (освен когато лицето ти е близо до моето – което наистина ми харесва), мога да усетя нежното ти докосване и топлото ти ухание. Чувам гласа ти (докато ми говориш и пееш). Изглежда разпознавам гласа ти – той е същият, който чувах, докато бях в утробата ти. Харесва ми, че сега си по-близо до мен и искам да те опозная по-добре. Знам, че и ти искаш да ме опознаеш.“</p>","<h2><strong>Развитието на бебето през първия месец</strong>  </h2>

<p>През първия месец от живота бебето има голямата и важна задача да се запознае с новата среда, в която се е озовало след раждането. Досега то се е развивало в безопасната среда на майчината утроба.  Раждането е голяма промяна за него.  Сега ще учи всичко само като гледа, слуша и докосва. Времето, което то прекарва с вас всеки ден, е ключово за цялостното му развитие и за развитието на мозъка му.  Начинът, по който реагирате на нуждите на вашето бебе, ще оформи представата му за света и хората в него.</p>

<p>През този период човешките лица са най-интересното нещо за вашето бебе. Към края на първия месец то вероятно ще може да следи лицето ви с очи, ако сте достатъчно близо (на около 20 до 30 см). Нещата, които имат ярки, контрастни цветове – черно и бяло или червено и бяло, също са много интересни за него. То може да чува и разпознава гласа ви, но понякога може да се стресне от внезапен звук и да реагира с цялото си тяло.</p>

<p>Основният начин, по който бебето комуникира с вас през този период, е плачът. Плачейки, бебето изпраща различни съобщения – че е гладно, подмокрено, уморено или просто, че се нуждае от успокояващо докосване. Наистина е важно винаги да откликвате на призивите на бебето през този ранен период. Понякога може да не знаете защо бебето ви плаче, но дори тогава е важно да го утешите с присъствието си, с гласа си, като го гушкате, погалвате и леко го люлеете. Всичко това помага на бебето да се чувства в безопасност. Като слушате различните начини, по които бебето ви плаче, постепенно ще се научите да разпознавате какво се опитва да ви каже то. Запомнете – не можете да разглезите бебето като го държите на ръце, храните го, гушкате го или му говорите и пеете с нежен глас.</p>

<p>Към края на първия месец бебето може да започне да се опитва да повдига главата си за кратко, когато лежи по корем или да я обръща настрани, когато лежи по гръб. Това му помага да види къде се намирате и да наблюдава вълнуващия свят около себе си. Понякога  хваща здраво пръста ви с ръката си, но през повечето време държи ръцете си свити в юмрук.  </p>

<h3><strong>Родителство и притеснения на родителите през първия месец</strong>   </h3>

<p>Ден след ден вие и вашето бебе постепенно се опознавате и научавате нещо един за друг. Докато бебето ви расте, вие се развивате като родител и се научавате да разпознавате нуждите на бебето си, както и начините, по които можете да задоволите тези нужди. Следете и наблюдавайте внимателно бебето, и ако забележите някои от следните признаци през този период, притеснението ви може да е оправдано, така че непременно трябва да го споделите с вашия педиатър или с медицинската сестра:   </p>

<ul>
	<li>бебето плаче много без видима причина;</li>
</ul>

<ul>
	<li>не се храни добре;</li>
</ul>

<ul>
	<li>много е сънливо, спи повече от очакваното (повече от 16 часа на денонощие) или спи неспокойно;</li>
</ul>

<ul>
	<li>не движи ръцете или краката си;</li>
</ul>

<ul>
	<li>не реагира на ярка светлина или силен звук.  </li>
</ul>

<p>Важно е, докато гледате бебето си, да не забравяте да се грижите за себе си, защото само физически, психически и емоционално стабилен родител може да осигури качествена грижа за детето си. Затова не се колебайте да потърсите помощ и подкрепа за себе си, когато имате нужда от такава.  </p>

<h2><strong>Как да насърчите развитието на бебето през първия месец</strong>   </h2>

<p>Поддържайте физически контакт с бебето възможно най-често – дръжте го на ръце, гушкайте го. Насладете се на контакта кожа до кожа. Говорете му, осъществявайте контакт с очи и се усмихвайте, докато го храните, обличате или къпете. Гледайте бебето. Когато има някаква нужда, то ще започне да общува с жестове, мимики и звуци.  Ако нуждата му не бъде задоволена, то ще започне да плаче. Слушайте плача му и се опитвайте да разберете каква е причината. Бебето може да плаче, защото просто иска вашето докосване или защото е гладно, изпитва някакъв дискомфорт (неудобно положение на тялото или подмокрена пелена), сънливо е, има колики или защото нещо друго го боли. Винаги го успокоявайте, като се обръщате към него с топъл, нежен глас, вземате го на ръце, люлеете го и го гушкате. Не се страхувайте, няма да го разглезите.  </p>",13061,6,,,,"4746, 3976, 4751",,,0,1,"<p>Reference:</p>

<p><a href=""https://raisingchildren.net.au/newborns/development/development-tracker/0-1-month"">https://raisingchildren.net.au/newborns/development/development-tracker/0-1-month</a></p>

<p>Laura E. Berk (2006), Child development (7ht edition), Allyn &amp; Bacon  </p>

<p>Dr sci Nirvana Pištoljević (2016), Rani razvoj deteta: šta treba znati, Udruženje pedijatara Srbije, Beograd. [Nirvana Pistoljevic, PhD (2016), Early child development: what you need to know, Serbian paediatric association, Belgrade – available in Serbian]  </p>

<p>  </p>",bg-bg,published
7891,Първи месец – Период на опознаване,"<p>„Ето ме. Изведнъж всичко е различно от преди. Имам нужда от малко време, за да привикна към външния свят. Усещам присъствието ти. Въпреки че все още не виждам ясно (освен когато лицето ти е близо до моето – което наистина ми харесва), мога да усетя нежното ти докосване и топлото ти ухание. Чувам гласа ти (докато ми говориш и пееш). Изглежда разпознавам гласа ти – той е същият, който чувах, докато бях в утробата ти. Харесва ми, че сега си по-близо до мен и искам да те опозная по-добре. Знам, че и ти искаш да ме опознаеш.“</p>","<h2><strong>Развитието на бебето през първия месец</strong> </h2>

<p>През първия месец от живота бебето има голямата и важна задача да се запознае с новата среда, в която се е озовало след раждането. Досега то се е развивало в безопасната среда на майчината утроба.  Раждането е голяма промяна за него.  Сега ще учи всичко само като гледа, слуша и докосва. Времето, което то прекарва с вас всеки ден, е ключово за цялостното му развитие и за развитието на мозъка му.  Начинът, по който реагирате на нуждите на вашето бебе, ще оформи представата му за света и хората в него.</p>

<p>През този период човешките лица са най-интересното нещо за вашето бебе. Към края на първия месец то вероятно ще може да следи лицето ви с очи, ако сте достатъчно близо (на около 20 до 30 см). Нещата, които имат ярки, контрастни цветове – черно и бяло или червено и бяло, също са много интересни за него. То може да чува и разпознава гласа ви, но понякога може да се стресне от внезапен звук и да реагира с цялото си тяло.</p>

<p>Основният начин, по който бебето комуникира с вас през този период, е плачът. Плачейки, бебето изпраща различни съобщения – че е гладно, подмокрено, уморено или просто, че се нуждае от успокояващо докосване. Наистина е важно винаги да откликвате на призивите на бебето през този ранен период. Понякога може да не знаете защо бебето ви плаче, но дори тогава е важно да го утешите с присъствието си, с гласа си, като го гушкате, погалвате и леко го люлеете. Всичко това помага на бебето да се чувства в безопасност. Като слушате различните начини, по които бебето ви плаче, постепенно ще се научите да разпознавате какво се опитва да ви каже то. Запомнете – не можете да разглезите бебето като го държите на ръце, храните го, гушкате го или му говорите и пеете с нежен глас.</p>

<p>Към края на първия месец бебето може да започне да се опитва да повдига главата си за кратко, когато лежи по корем или да я обръща настрани, когато лежи по гръб. Това му помага да види къде се намирате и да наблюдава вълнуващия свят около себе си. Понякога  хваща здраво пръста ви с ръката си, но през повечето време държи ръцете си свити в юмрук. </p>

<h2><strong>Родителство и притеснения на родителите през първия месец</strong>   </h2>

<p>Ден след ден вие и вашето бебе постепенно се опознавате и научавате нещо един за друг. Докато бебето ви расте, вие се развивате като родител и се научавате да разпознавате нуждите на бебето си, както и начините, по които можете да задоволите тези нужди. Следете и наблюдавайте внимателно бебето, и ако забележите някои от следните признаци през този период, притеснението ви може да е оправдано, така че непременно трябва да го споделите с вашия педиатър или с медицинската сестра:  </p>

<ul>
	<li>бебето плаче много без видима причина;</li>
</ul>

<ul>
	<li>не се храни добре;</li>
</ul>

<ul>
	<li>много е сънливо, спи повече от очакваното (повече от 16 часа на денонощие) или спи неспокойно;</li>
</ul>

<ul>
	<li>не движи ръцете или краката си;</li>
</ul>

<ul>
	<li>не реагира на ярка светлина или силен звук. </li>
</ul>

<p>Важно е, докато гледате бебето си, да не забравяте да се грижите за себе си, защото само физически, психически и емоционално стабилен родител може да осигури качествена грижа за детето си. Затова не се колебайте да потърсите помощ и подкрепа за себе си, когато имате нужда от такава. </p>

<h2><strong>Как да насърчите развитието на бебето през първия месец</strong>   </h2>

<p>Поддържайте физически контакт с бебето възможно най-често – дръжте го на ръце, гушкайте го. Насладете се на контакта кожа до кожа. Говорете му, осъществявайте контакт с очи и се усмихвайте, докато го храните, обличате или къпете. Гледайте бебето. Когато има някаква нужда, то ще започне да общува с жестове, мимики и звуци.  Ако нуждата му не бъде задоволена, то ще започне да плаче. Слушайте плача му и се опитвайте да разберете каква е причината. Бебето може да плаче, защото просто иска вашето докосване или защото е гладно, изпитва някакъв дискомфорт (неудобно положение на тялото или подмокрена пелена), сънливо е, има колики или защото нещо друго го боли. Винаги го успокоявайте, като се обръщате към него с топъл, нежен глас, вземате го на ръце, люлеете го и го гушкате. Не се страхувайте, няма да го разглезите. </p>",13066,6,,,,"4746, 4751, 671",,,0,1,"<p>Reference:</p>

<p><a href=""https://raisingchildren.net.au/newborns/development/development-tracker/0-1-month"">https://raisingchildren.net.au/newborns/development/development-tracker/0-1-month</a></p>

<p>Laura E. Berk (2006), Child development (7ht edition), Allyn &amp; Bacon </p>

<p>Dr sci Nirvana Pištoljević (2016), Rani razvoj deteta: šta treba znati, Udruženje pedijatara Srbije, Beograd. [Nirvana Pistoljevic, PhD (2016), Early child development: what you need to know, Serbian paediatric association, Belgrade – available in Serbian] </p>",bg-bg,published
7896,2 месеца – Период на взаимно приспособяване и установяване на режим,"<p>„Винаги, когато имам нужда от нещо, ти си тук. Когато съм гладна или жадна, или когато искам да те видя, или когато искам да ме вземеш на ръце, или когато ми се спи, ти по някакъв начин го знаеш. Понякога просто започвам да плача или да издавам други звуци и ти се появяваш. Това означава толкова много за мен. Когато ми говориш, ми се иска и аз да ти кажа нещо, цялото ми тяло е изпълнено с радост. Но вълнението е толкова много, така че трябва и да си почивам, да лежа спокойно и да спя. Чувствам се в безопасност, ти си тук.“ </p>","<h2><strong>Развитието на бебето през 2-рия месец</strong>  </h2>

<p>Първото нещо, което може да забележите през този период е, че бебето ви плаче повече, отколкото през първите дни след раждането. Това се очаква през втория месец и ще продължи и през третия.  Това всъщност означава, че бебето ви се учи да комуникира с вас. Ще отнеме известно време, за да се уверите, че разбирате начина, по който то комуникира, така че е важно всеки път да реагирате на плача на бебето. Винаги, когато реагирате като задоволите нуждите на бебето си – от храна, преобличане или отзовавайки се на призива му като му говорите и го докосвате – то се чувства утешено и в безопасност. Винаги успокоявайте бебето си, като му говорите с мек глас, докосвате го нежно, люлеете го и му пеете. През този период то може вече да ви отговори с първата усмивка. </p>

<p>Бебето ви вече е създало връзка с вас и ви разпознава – най-вече по вашата миризма и глас. </p>

<p>Обикновено през втория месец става по-чувствително към звуците – не само ви разпознава по гласа, но и търси лицето ви, когато ви чуе. Ето защо трябва да му говорите винаги, когато е будно – да му разказвате истории, да му казвате детски стихчета или да му четете. През този период то може да започне да издава различни звуци. </p>

<p>Сега бебето ви може да вижда предмети, които са на около 45 см, и когато забележи обект, който се движи близо до него, следи движението му с очи. </p>

<p>В края на втория месец бебето ви става все по-добро и в двигателното си развитие. През този период вероятно ще може да повдига глава и да я обръща от едната на другата страна, когато е по корем. Интересно му е да открива тялото си, така че ръцете и пръстите му вероятно ще са му най-забавни през този период. Ще ги изследва, като ги гледа, събира и разделя и с ваша помощ ще може да задържи предмет в ръцете си. Галете и масажирайте бебето си – така ще стимулирате двигателното му развитие.  В същото време ще затвърждавате връзката си с него и ще можете да го утешите, ако е стресирано.  </p>

<p>  </p>

<h3><strong>Родителство и притеснения на родителите през 2-рия </strong>месец   </h3>

<p>Вече сте опознали бебето си и вероятно чувствате по-голяма увереност в ролята си на родител.  Не се колебайте обаче да потърсите помощ, ако се притеснявате за нещо или не знаете нещо. Следете поведението на бебето и обръщайте внимание на притесненията си. Те може да са оправдани, затова ги споделете с вашия педиатър, ако забележите някои от следните признаци:   </p>

<ul>
	<li>бебето плаче много и не е лесно да го успокоите;</li>
</ul>

<ul>
	<li>не гледа лицата на хората дори за кратко;</li>
</ul>

<ul>
	<li>не реагира на ярка светлина или силни звуци; </li>
</ul>

<ul>
	<li>не се храни или не спи добре (или спи повече от 16 часа на денонощие);</li>
</ul>

<ul>
	<li>не движи ръцете или краката си, или не доближава ръцете си до устата;</li>
</ul>

<ul>
	<li>не се усмихва на хората.  </li>
</ul>

<p> </p>

<h3><strong>Изразявайте възхищение, за да насърчите развитието на бебето през 2-рия месец</strong>   </h3>

<p>Вашето бебе обича да е близо до вас. То обича да гледа наоколо и да слуша.  Люлейте го, пейте и му говорете, говорете му на бебешки и често играйте с него; обърнете внимание какво го радва и успокоява. Говорете на бебето ясно и бавно, и когато то издава звуци, изразявайте радост с изражението на лицето и гласа си и повтаряйте неговите звуци. Можете да предлагате на бебето си различни неща, които то да гледа, да докосва и да държи в ръце. Когато лежи по гръб, дръжте играчка или дрънкалка над главата му на нивото на очите и го насърчавайте да посегне към нея. Когато бебето ви е по корем, може да поставите играчка с ярки цветове пред него и да я местите от едната страна на другата. Ако бебето започне да се оплаква, да обръща главата настрани или да плаче по време на игра, това може да е признак на прекомерна стимулация. Трябва да забавите играта малко или да направите почивка. </p>",13071,6,,,,"1046, 4751",,,0,1,"<p>Reference:</p>

<p><a href=""https://raisingchildren.net.au/newborns/development/development-tracker/1-2-months"">https://raisingchildren.net.au/newborns/development/development-tracker/1-2-months</a></p>

<p>Laura E. Berk (2006), Child development (7ht edition), Allyn &amp; Bacon</p>

<p>Dr sci Nirvana Pištoljević (2016), Rani razvoj deteta: šta treba znati, Udruženje pedijatara Srbije, Beograd.</p>",bg-bg,published
7901,2 месеца – Период на взаимно приспособяване и установяване на режим,"<p>„Винаги, когато имам нужда от нещо, ти си тук. Когато съм гладен или жаден, или когато искам да те видя, или когато искам да ме вземеш на ръце, или когато ми се спи, ти по някакъв начин го знаеш. Понякога просто започвам да плача или да издавам други звуци и ти се появяваш. Това означава толкова много за мен. Когато ми говориш, ми се иска и аз да ти кажа нещо, цялото ми тяло е изпълнено с радост. Но вълнението е толкова много, така че трябва и да си почивам, да лежа спокойно и да спя. Чувствам се в безопасност, ти си тук.“</p>","<h1><strong>Развитието на бебето през 2-рия месец  </strong></h1>

<p>Първото нещо, което може да забележите през този период е, че бебето ви плаче повече, отколкото през първите дни след раждането. Това се очаква през втория месец и ще продължи и през третия.  Това всъщност означава, че бебето ви се учи да комуникира с вас. Ще отнеме известно време, за да се уверите, че разбирате начина, по който то комуникира, така че е важно всеки път да реагирате на плача на бебето. Винаги, когато реагирате като задоволите нуждите на бебето си – от храна, преобличане или отзовавайки се на призива му като му говорите и го докосвате – то се чувства утешено и в безопасност. Винаги успокоявайте бебето си, като му говорите с мек глас, докосвате го нежно, люлеете го и му пеете. През този период то може вече да ви отговори с първата усмивка. </p>

<p>Бебето ви вече е създало връзка с вас и ви разпознава – най-вече по вашата миризма и глас. </p>

<p>Обикновено през втория месец става по-чувствително към звуците – не само ви разпознава по гласа, но и търси лицето ви, когато ви чуе. Ето защо трябва да му говорите винаги, когато е будно – да му разказвате истории, да му казвате детски стихчета или да му четете. През този период то може да започне да издава различни звуци. </p>

<p>Сега бебето ви може да вижда предмети, които са на около 45 см, и когато забележи обект, който се движи близо до него, следи движението му с очи. </p>

<p>В края на втория месец бебето ви става все по-добро и в двигателното си развитие. През този период вероятно ще може да повдига глава и да я обръща от едната на другата страна, когато е по корем. Интересно му е да открива тялото си, така че ръцете и пръстите му вероятно ще са му най-забавни през този период. Ще ги изследва, като ги гледа, събира и разделя и с ваша помощ ще може да задържи предмет в ръцете си. Галете и масажирайте бебето си – така ще стимулирате двигателното му развитие.  В същото време ще затвърждавате връзката си с него и ще можете да го утешите, ако е стресирано. </p>

<p> </p>

<p><strong>Родителство и притеснения на родителите през 2-рия месец   </strong></p>

<p>Вече сте опознали бебето си и вероятно чувствате по-голяма увереност в ролята си на родител.  Не се колебайте обаче да потърсите помощ, ако се притеснявате за нещо или не знаете нещо. Следете поведението на бебето и обръщайте внимание на притесненията си. Те може да са оправдани, затова ги споделете с вашия педиатър, ако забележите някои от следните признаци:  </p>

<ul>
	<li>бебето плаче много и не е лесно да го успокоите;  </li>
	<li>не гледа лицата на хората дори за кратко;  </li>
	<li>не реагира на ярка светлина или силни звуци;  </li>
</ul>

<ul>
	<li>не се храни или не спи добре (или спи повече от 16 часа на денонощие);  </li>
	<li>не движи ръцете или краката си, или не доближава ръцете си до устата;  </li>
	<li>не се усмихва на хората. </li>
</ul>

<p><strong>Изразявайте възхищение, за да насърчите развитието на бебето през 2-рия месец.   </strong></p>

<p>Вашето бебе обича да е близо до вас. То обича да гледа наоколо и да слуша.  Люлейте го, пейте и му говорете, говорете му на бебешки и често играйте с него; обърнете внимание какво го радва и успокоява. Говорете на бебето ясно и бавно, и когато то издава звуци, изразявайте радост с изражението на лицето и гласа си и повтаряйте неговите звуци. Можете да предлагате на бебето си различни неща, които то да гледа, да докосва и да държи в ръце. Когато лежи по гръб, дръжте играчка или дрънкалка над главата му на нивото на очите и го насърчавайте да посегне към нея. Когато бебето ви е по корем, може да поставите играчка с ярки цветове пред него и да я местите от едната страна на другата. Ако бебето започне да се оплаква, да обръща главата настрани или да плаче по време на игра, това може да е признак на прекомерна стимулация. Трябва да забавите играта малко или да направите почивка.</p>",13076,6,,,,"1046, 4751",,,0,1,"<p>Reference:</p>

<p><a href=""https://raisingchildren.net.au/newborns/development/development-tracker/1-2-months"">https://raisingchildren.net.au/newborns/development/development-tracker/1-2-months</a></p>

<p>Laura E. Berk (2006), Child development (7ht edition), Allyn &amp; Bacon </p>

<p>Dr sci Nirvana Pištoljević (2016), Rani razvoj deteta: šta treba znati, Udruženje pedijatara Srbije, Beograd. [Nirvana Pistoljevic, PhD (2016), Early child development: what you need to know, Serbian paediatric association, Belgrade – available in Serbian] </p>",bg-bg,published
