ID,Title,Summary,Body,Cover_video,Category,Child_age,Child_gender,Parent_gender,Keywords,Related_articles,Related_video_articles,Australian_article,Mandatory_content,References_and_comments,Translation_language,Moderation_state
926,How to change a nappy: for dads,,,2851,2,43,59,37,"1161, 1166, 1171, 1176, 1181, 1186, 1191, 1196, 1201, 1206, 1211, 1216",,,1,0,<p>Imported Raising Children Australia Article: https://raisingchildren.net.au/babies/videos/nappy-changing-for-dads</p>,en,published
981,How to hold a baby,,,3011,2,"43,44,45",59,60,"1386, 1391",,,1,0,<p>Imported Raising Children Australia Article: https://raisingchildren.net.au/newborns/videos/how-to-hold-baby</p>,en,published
986,How to hold a baby: for dads,,,3016,2,"43,44,45",59,37,"1386, 1391",,,1,0,<p>Imported Raising Children Australia Article: https://raisingchildren.net.au/newborns/videos/how-to-hold-baby-dads</p>,en,published
1051,How to wrap a baby,,,3021,2,"43,44,45",59,60,"1606, 1611, 1616, 1621, 1626, 1631",,,1,0,<p>Imported Raising Children Australia Article: https://raisingchildren.net.au/babies/videos/how-to-wrap-a-baby</p>,en,published
1091,"Food reactions, allergies and reflux in babies",,,3026,2,"45,46,47,48",59,60,"1696, 1701, 1706, 1711, 1716, 1721, 1726, 1581, 1586, 1591, 1596, 1731, 1736, 1741, 1746, 1751, 1756",,,1,0,<p>Imported Raising Children Australia Article: https://raisingchildren.net.au/babies/videos/food-reactions-in-babies</p>,en,published
1361,Child development: the first eight years,,,3031,6,"43,44,45,46,47,48,49,50,51,52,57,58",59,60,"1046, 4751, 4086",,,1,0,<p>Imported Raising Children Australia Article: https://raisingchildren.net.au/babies/videos/development-first-eight-years</p>,en,published
1366,Baby development: expectations and pressures,,,3001,6,"43,44,45,46,47,48",59,60,"2381, 2386, 2391, 2336, 2341, 2346, 2351, 2356, 2361, 2366, 2371, 2376",,,1,0,<p>Imported Raising Children Australia Article: https://raisingchildren.net.au/babies/videos/baby-development-expectations</p>,en,published
1426,Baby development: 6-12 months,,,2996,6,"46,47,48",59,60,"2381, 1046, 1051, 1056, 81, 2406, 206, 2411, 2416, 2421, 76, 2426, 2431, 2436",,,1,0,<p>Imported Raising Children Australia Article: https://raisingchildren.net.au/babies/videos/development-6-12-months</p>,en,published
1431,Social development: children 1-5 years,,,2991,6,"49,50,51,52,57",59,60,"256, 1046",,,1,0,<p>Imported Raising Children Australia Article: https://raisingchildren.net.au/toddlers/videos/social-development</p>,en,published
1436,Child development: 1-2 years,,,2986,6,"48,49,50",59,60,"81, 2406, 206, 2411, 2416, 2421, 2441, 2446, 2451, 2456, 2461, 2466, 2471, 2476, 2481, 2486",,,1,0,<p>Imported Raising Children Australia Article: https://raisingchildren.net.au/toddlers/videos/development-1-2-years</p>,en,published
