ID,Title,Summary,Body,Cover_video,Category,Child_age,Child_gender,Parent_gender,Keywords,Related_articles,Related_video_articles,Australian_article,Mandatory_content,References_and_comments,Translation_language,Moderation_state
6501,"7th to 9th months: Smoothly transfers objects from hand to hand, shakes them MACEDONIAN",,,13396,6,,,,2381,,,0,1,,mk-mk,published
7881,25-36 месеци - Периодот кога фантазијата цвета,"<p>„Тоа сум јас. Го знам моето име, и како се викаат мајка ми и татко ми. Имам пријатели - и момчиња и девојчиња. Сакам да играм, сам и со други. Сакам да зборувам и да поставувам прашања. Сакам да бојам со боички на хартија. Сакам да гледам сликовници и ми се допаѓа кога ми читаш приказни. Читајте ми ги како да се вистински. Некои навистина сакам да ги слушам повторно и повторно, не ми е досадно. Исто така, сакам да трчам, да се качувам по скали. Се обидувам да користам трицикл, можам да фрлам топка. Јас правам  кули од коцки , возам играчки автомобили. Моите играчки исто така започнаа да глумат. Понекогаш ми се чини дека можам сè, затоа ми е тешко кога нем да успеам. Не грижи се, ќе се обидам повторно. Ако не можам да го сторам тоа сега, ќе можам да го сторам тоа подоцна. Ако не можам да направам нешто, ќе направам нешто друго “.</p>","<h3>Развој на дете во период од 25 до 36 месеци  </h3>

<p>Ова е клучен период за емоционалниот развој на вашето дете. Вашето двегодишно дете минува низ многу емоции секој ден, истовремено учи за чувствата на другите луѓе и за прв пат може да почувствува емпатија. Излив на гнев (вознемиреност /тантрум ) сè уште можат да бидат присутни затоа што сè уште му е тешко на дететео да ги преведе во зборови своите „големи“ емоции како што се лутина, фрустрација, срам, срам или вина. Во овој период, вашето дете ќе започне да разбира како неговото однесување влијае на вашето, но исто така и како вашето однесување влијае на него. Овој период се карактеризира со слабеење на вознемиреноста при  одвојување , така што повеќето деца ќе бидат сè помалку вознемирени кога блиските луѓе ја напуштаат неговата  околина. И покрај тоа што именувањето на чувствата е сè уште голем предизвик за двегодишно дете, неговиот речник станува сè побогат. На оваа возраст, повеќето деца можат да состават реченици од 2 до 5 зборови, а нивниот говор станува поразбирлив, па затоа е полесно да разберете што ви зборува вашето дете. Полека ќе научи како да слуша и да го чека својот ред кога ќе комуницирате и ќе може да одржи краток разговор. Вашето дете учи како да опише настани што се случиле во текот на денот и со мала помош од вас, може да создаде делови од  настани и да ви раскаже приказна. </p>

<p>Сè што доживеало вашето дете досега го обликувало развојот на неговиот начин на  размислување. Вашето дете полека почнува да разбира концепти како време или спротивности - на пример, ден / ноќ, големо / мало. Исто така, во овој период, тој ќе може да покаже делови од телото во зависност од нивната функција (Со што гледаме?  Очи) и да ги сортира предметите по боја, големина или форма. Исто така, тоа ќе започне да ги решава проблемите преку обиди и грешки. </p>

<p>Ова е исто така период на стекнување независност. Во овој период, вашето дете може самостојно да се облече и да се соблече, да ги мие рацете или да јаде. Охрабрете го секогаш кога е успешен во некоја од овие активности и изградете му ја самодовербата со тоа што ќе го вклучите во секојдневните семејни работи околу хигиената, оброците или пазарувањето. Важен аспект на независноста е користењето на тоалет, чиј почеток е типичен во овој период на развој. </p>

<p>Движењата што може да ги изврши дете на оваа возраст се посложени - се очекува дека до крајот на третата година од животот вашето дете може да трча, да скока, да застане на едната нога, да се качи и симне по скали , а можеби и да вози велосипед или трицикл… Ако сте во близина, вашето двегодишно дете ќе биде поподготвено да ги истражува и неговото тело и движењата (искачување, прескокнување). Затоа е важно секогаш да бидете во близина и да создадете безбедна средина за вашето дете да се чувствува безбедно да пробува нови работи. </p>

<p>Играта е сè уште најважниот начин на учење на двегодишно дете. Тоа сè повеќе вклучува други деца во играта, и таа е сложена, имагинативна, а понекогаш и детето  не знае што е реално, а што е преправање. Затоа, поддржете го да иницира игра и поканете ги другите деца во неа. Не очекувајте дека детето секогаш ќе биде подготвено да споделува и да соработува и затоа надзорот и помошта за време на играта со други деца се секогаш важни. </p>

<p> </p>

<h3>Загриженост за родителите и родителите во периодот од 25-ти до 36-ти месец </h3>

<p>Без оглед колку е долго вашето родителско искуство, вие сè уште учите за вашето дете, неговиот развој и начините да го поддржите. Грижата за дете на возраст од 2 до 3 години понекогаш може да биде фрустрирачко, вознемирувачко или поразително за родителот. Важно е да ги препознаете вашите чувства и да ги споделите со некој близок (пријател, партнер или член на семејството). Грижата за себе во родителска улога е предуслов за квалитетна грижа за детето. </p>

<p>Следете го развојот на вашето дете и обрнете внимание на неговото однесување. Во овој период, оправдано е да бидете загрижени и да разговарате со вашиот педијатар ако забележите дека вашето дете до крајот на третата година од животот:  </p>

<ul>
	<li>
	<p>не остварува контакт со очи со вас,  </p>
	</li>
</ul>

<ul>
	<li>
	<p>има потешкотии со слушање или гледање на некои работи,  </p>
	</li>
	<li>
	<p>не користи реченица со три збора,  </p>
	</li>
	<li>
	<p>тешко е да се разбере кога зборува,  </p>
	</li>
	<li>
	<p>не разбира едноставни упатства,  </p>
	</li>
	<li>
	<p>не е заинтересирано за други деца,  </p>
	</li>
</ul>

<ul>
	<li>
	<p>тешко  се одделува од вас или други блиски возрасни,  </p>
	</li>
	<li>
	<p>не се преправа за време на играта,  </p>
	</li>
	<li>
	<p>не може да трча,  </p>
	</li>
	<li>
	<p>не чкрта или црта,  </p>
	</li>
	<li>
	<p>не може да држи мали предмети, како на пр.креда   </p>
	</li>
</ul>

<p>Секогаш кога ќе забележите дека вашето дете изгубило некои од способностите или вештините што веќе ги стекнало во претходниот период, добро е да разговарате за тоа со педијатарот. </p>

<p> </p>

<h3>Како да се поттикне развојот на детето во периодот од 25-ти до 36-ти месец </h3>

<p>Однесете го вашето дете на места каде што играат други деца (во двор, парк или игротека) да си игра рамо до рамо со нив и постепено да се вклучува во заедничка игра. Воспоставете заедничко време за читање со вашето дете и дозволете му сам да ги прелистува страниците на сликовницата. Побарајте од вашето дете да ги покаже работите на слики и охрабрете го да ги повторува зборовите по вас. Кога именувате предмети, не заборавајте да додадете опис (користете придавки), на пр. „син автомобил“, „голема топка“ итн. Дозволете му на вашето дете да игра „игри со преправање “, придружете се на играта што ја води вашето дете. Научете го вашето дете едноставни песни и рими, на пример - „Пет-а-торта ...“, „Пет мали патки…“ итн. Дајте му на вашето дете инструкции составени од 2-3 дела, како што се: „Оди во собата и донеси ја топката за да можеме да играме“. Вклучете го во средување на станот, дајте му едноставни задачи и секогаш пофалете го за она што го работи. Дозволете му да користи различни моливи, боички и фломастери.  Цртајте  заедно на хартија. Нека составува  едноставни сложувалки и и нека прави  кули со коцки.</p>",13626,6,,,,"4746, 4751",,,1,1,"<p>Reference:</p>

<p><a href=""https://raisingchildren.net.au/toddlers/development/development-tracker-1-3-years/2-3-years"">https://raisingchildren.net.au/toddlers/development/development-tracker-1-3-years/2-3-years</a></p>

<p>Laura E. Berk (2006), Child development (7ht edition), Allyn &amp; Bacon</p>

<p>Dr sci Nirvana Pištoljević (2016), Rani razvoj deteta: šta treba znati, Udruženje pedijatara Srbije, Beograd.</p>",mk-mk,published
7886,1. Месец - период на запознавање,"<p>„Еве  сум. Одеднаш сè е поразлично од порано. Ми треба малку време да се сместам во надворешниот свет. Го чувствувам твоето присуство. Иако сè уште не можам да гледам јасно (освен кога лицето е близу до моето - што навистина ми се допаѓа), го чувствувам твојот  нежен допир и го мирисам твојот  топол мирис. Го слушам твојот глас (додека ми зборуваш и ми пееш). Изгледа дека го препознавам твојот глас - истиот е оној што го слушав додека бев во твојата матка. Сакам што сега си поблиску до мене и сакам да те запознаам подобро. Знам дека  и ти сакаш  да ме запознаеш “. </p>","<h2>Развој на бебето во 1-ви месец  </h2>

<p>Во текот на првиот месец од животот, бебето има голема и важна задача да се запознае со новата средина во која се најде по раѓањето. До сега,  се развиваше во безбедниот простор на матката на мајката.  Раѓањето е голема промена за него.  Сега тоа ќе научи сè само со гледање, слушање и допирање. Времето кое го поминува со вас секој ден е клучно за неговиот целокупен развој и развојот на неговиот мозок.  Начинот на кој ќе одговорите на потребите на вашето бебе ќе ја обликува неговата слика за светот и луѓето во него.  </p>

<p>Во овој период, човечките лица се најинтересната работа за вашето бебе. До крајот на првиот месец, вашето бебе веројатно ќе може да го следи вашето лице со очите ако е доволно блиску (на околу 20 до 30 см). Работите што имаат впечатливи, контрастни бои - црно-бело или црвено-бело, исто така, ќе бидат многу интересни за него. Можеби ќе го чуе и препознае вашиот глас, но понекогаш може да се зачуди од ненадеен звук и да реагира со целото тело.  </p>

<p>Главниот начин на кој вашето бебе комуницира со вас во овој период е преку плачењето. Со плачење, бебето испраќа различни пораки - дека е гладно, влажно, уморно или едноставно дека му треба утешен допир. Вие секогаш мора да одговорите на повиците на вашето бебе во овој ран период. Понекогаш можеби не знаете зошто вашето бебе плаче, но дури и тогаш, важно е да го утешите со вашето присуство, глас, галење и нежно лулкање. Сето ова му помага на бебето да се чувствува безбедно. Слушајќи ги различните начини на кои вашето бебе плаче, постепено ќе научите што се обидува да ви каже. Запомнете - не можете да го расипете бебето држејќи го во рацете, хранејќи го, гушкајќи го или зборувајќи и пеејќи му со нежен глас.  </p>

<p>До крајот на првиот месец, вашето бебе може да се обиде да ја крене главата накратко кога лежи на стомак или да ја сврти настрана кога лежи на грб. Ова му помага да види каде сте и да го набљудува возбудливиот свет околу него. Понекогаш тоа цврсто ќе го држи вашиот прст со неговата  рака, но поголемиот дел од времето, ќе ги држи рацете во цврста тупаница.  </p>

<h3>Загриженост за родителите и родителството во текот на 1-виот месец   </h3>

<p>Од ден на ден, вие и вашето бебе постепено ќе се запознавате и ќе учите едни за други. Како што расте вашето бебе, вие ќе се развивате како родител и ќе научите да ги препознавате потребите на вашето бебе,  и како можете да ги задоволите тие потреби. Следете го и внимавајте на вашето бебе, и ако забележите некој од следниве знаци во овој период, вашата загриженост може да биде оправдана, па не заборавајте да ја споделите со вашиот педијатар или посета на медицинска сестра доколку:   </p>

<ul>
	<li>
	<p>бебето плаче многу без очигледна причина,   </p>
	</li>
	<li>
	<p> не се храни добро,   </p>
	</li>
	<li>
	<p> многу  е поспано, спие повеќе од очекуваното (повеќе од 16 часа на ден), или не спие мирно,   </p>
	</li>
	<li>
	<p> воопшто не ги мрда рацете или нозете,   </p>
	</li>
	<li>
	<p> не реагира на силна светлина или силни звуци.  </p>
	</li>
</ul>

<p>Важно е додека се грижите за  вашето бебе, да не заборавите да се грижите за себе, бидејќи само физички, ментално и емоционално стабилен родител може да обезбеди квалитетна грижа за своето дете. Затоа, не двоумете се да побарате помош и поддршка кога ви треба.  </p>

<h2>Како  да го обезбедам  развојот на бебето во текот на 1-ви месец   </h2>

<p>Воспоставувајте  физички контакт со бебето што е можно почесто - држете го во рацете, гушкајте го. Уживајте во контактот кожа на кожа. Разговарајте со него остварете контакт со очите и насмејте се додека го храните, облекувате или капете. Внимавајте на вашето бебе. Кога има потреба, бебето ќе започне да комуницира со гестови, изрази на лицето и звуци.  Ако неговата потреба не биде задоволена,  ќе почне да плаче. Слушнете го неговиот плач и обидете се да ја разберете причината за плачењето. Бебето може да плаче затоа што сака ваш допир или затоа што е гладно, има некои непријатности (непријатна положба на телото или влажна пелена), поспано е , има грчеви или затоа што нешто друго го  боли. Секогаш утешувајте го вашето бебе обраќајќи му се со топол, смирувачки глас, земајќи го во рацете, лулајќи го и гушкајќи го. Не плашете се дека ќе го разгалите.  </p>",13456,6,,,,"4746, 3976, 4751",,,0,1,"<p>Reference:</p>

<p><a href=""https://raisingchildren.net.au/newborns/development/development-tracker/0-1-month"">https://raisingchildren.net.au/newborns/development/development-tracker/0-1-month</a></p>

<p>Laura E. Berk (2006), Child development (7ht edition), Allyn &amp; Bacon  </p>

<p>Dr sci Nirvana Pištoljević (2016), Rani razvoj deteta: šta treba znati, Udruženje pedijatara Srbije, Beograd. [Nirvana Pistoljevic, PhD (2016), Early child development: what you need to know, Serbian paediatric association, Belgrade – available in Serbian]  </p>

<p>  </p>",mk-mk,published
7891,1 месец - период на запознавање,"<p>""Еве сум. Одеднаш сè е поразлично од порано. Ми треба малку време да се сместам во надворешниот свет. Го чувствувам твоето присуство. Иако сè уште не можам да гледам јасно (освен кога лицето е близу до моето - што навистина ми се допаѓа), го чувствувам твојот нежен допир и го мирисам твојот топол мирис. Го слушам твојот глас (додека ми зборуваш и ми пееш). Изгледа дека го препознавам твојот глас - истиот е оној што го слушав додека бев во твојата матка. Сакам што сега си поблиску до мене и сакам да те запознаам подобро. Знам дека сакаш и  ти  да ме запознаеш “.</p>","<h2>Развој на бебето во 1-ви месец  </h2>

<p>Во текот на првиот месец од животот, бебето има голема и важна задача да се запознае со новата средина во која се најде по раѓањето. До сега,  се развиваше во безбедниот простор на матката на мајката.  Раѓањето е голема промена за него.  Сега тој ќе научи сè само со гледање, слушање и допирање. Времето кое тој го поминува со вас секој ден е клучно за неговиот целокупен развој и развојот на неговиот мозок.  Начинот на кој ќе одговорите на потребите на вашето бебе ќе ја обликува неговата слика за светот и луѓето во него.  </p>

<p>Во овој период, човечките лица се најинтересната работа за вашето бебе. До крајот на првиот месец, вашето бебе веројатно ќе може да го следи вашето лице со очите ако е доволно блиску (на околу 20 до 30 см). Работите што имаат впечатливи, контрастни бои - црно-бело или црвено-бело, исто така, ќе бидат многу интересни за него. Можеби ќе го чуе и препознае вашиот глас, но понекогаш може да се зачуди од ненадеен звук и да реагира со целото тело.  </p>

<p>Главниот начин на кој вашето бебе комуницира со вас во овој период е преку плачењето. Со плачење, бебето испраќа различни пораки - дека е гладно, влажно, уморно или едноставно дека му треба утешен допир. Вие секогаш мора да одговорите на повиците на вашето бебе во овој ран период. Понекогаш можеби не знаете зошто вашето бебе плаче, но дури и тогаш, важно е да го утешите со вашето присуство, глас, галење и нежно лулкање. Сето ова му помага на бебето да се чувствува безбедно. Слушајќи ги различните начини на кои вашето бебе плаче, постепено ќе научите што се обидува да ви каже. Запомнете - не можете да го расипете бебето држејќи го во рацете, хранејќи го, гушкајќи го или зборувајќи и пеејќи му со нежен глас.  </p>

<p>До крајот на првиот месец, вашето бебе може да се обиде да ја крене главата накратко кога лежи на стомакот или да ја сврти настрана кога лежи на грб. Ова му помага да види каде сте и да го набудува возбудливиот свет околу него. Понекогаш тој цврсто ќе го држи вашиот прст со неговата  рака, но поголемиот дел од времето, тој ќе ги држи рацете во цврста тупаница.  </p>

<h3>Загриженост за родителите и родителството во текот на 1-виот месец   </h3>

<p>Од ден на ден, вие и вашето бебе постепено ќе се запознаете и ќе научите едни за други. Како што расте вашето бебе, вие ќе се развивате како родител и ќе научите да ги препознавате потребите на вашето бебе,  и како можете да ги задоволите тие потреби. Следете го и внимавајте на вашето бебе, и ако забележите некој од следниве знаци во овој период, вашата загриженост може да биде оправдана, па не заборавајте да ја споделите со вашиот педијатар:   </p>

<ul>
	<li>
	<p>бебето плаче многу без очигледна причина,   </p>
	</li>
	<li>
	<p> не се храни добро,   </p>
	</li>
	<li>
	<p> многу  е поспано, спие повеќе од очекуваното (повеќе од 16 часа на ден), или не спие мирно,   </p>
	</li>
	<li>
	<p> воопшто не ги мрда рацете или нозете,   </p>
	</li>
	<li>
	<p> не реагира на силна светлина или силни звуци.  </p>
	</li>
</ul>

<p>Важно е додека се грижите за  вашето бебе, да не заборавите да се грижите за себе, бидејќи само физички, ментално и емоционално стабилен родител може да обезбеди квалитетна грижа за своето дете. Затоа, не двоумете се да побарате помош и поддршка кога ви треба.  </p>

<h2>Како  да го обезбедам  развојот на бебето во текот на 1-ви месец   </h2>

<p>Воспоставувајте  физички контакт со бебето што е можно почесто - држете го во рацете, гушкајте го. Уживајте во контактот кожа на кожа. Разговарајте со него, остварете контакт со очите и насмејте се додека го храните, облекувате или капете. Внимавајте на вашето бебе. Кога има потреба, бебето ќе започне да комуницира со гестови, изрази на лицето и звуци.  Ако неговата потреба не биде задоволена,  ќе почне да плаче. Слушнете го неговиот плач и обидете се да ја разберете причината за плачењето. Бебето може да плаче затоа што сака ваш допир или затоа што е гладно, има некои непријатности (непријатна положба на телото или влажна пелена), поспано е, има грчеви или затоа што нешто друго го  боли. Секогаш утешувајте го вашето бебе обраќајќи му се на топол, смирувачки глас, земајќи го во рацете, лулајќи го и гушкајќи го. Не плашете се дека ќе го разгалите.  </p>",13546,6,,,,"4746, 4751, 671",,,0,1,"<p>Reference:</p>

<p><a href=""https://raisingchildren.net.au/newborns/development/development-tracker/0-1-month"">https://raisingchildren.net.au/newborns/development/development-tracker/0-1-month</a></p>

<p>Laura E. Berk (2006), Child development (7ht edition), Allyn &amp; Bacon </p>

<p>Dr sci Nirvana Pištoljević (2016), Rani razvoj deteta: šta treba znati, Udruženje pedijatara Srbije, Beograd. [Nirvana Pistoljevic, PhD (2016), Early child development: what you need to know, Serbian paediatric association, Belgrade – available in Serbian] </p>",mk-mk,published
7896,2 Месеци - период на меѓусебно прилагодување и воспоставување рутини,"<p>„Кога и да ми треба нешто, вие сте  тука. Кога сум гладен или жеден или кога сакам да те видам или кога сакам да ме држиш во рака или кога сум поспан, вие  некако го знаете тоа. Понекогаш само почнувам да плачам или да испуштам други звуци и  вие сте  тука .Тоа многу ми значи.. Кога зборувате со мене, тоа ме тера да сакам да кажам нешто за возврат, целото тело ми е исполнето со радост. Има толку многу возбуда, така што морам и да одмарам, да лежам мирно и да спијам. Се чувствувам безбедно, вие сте  тука “. </p>","<h2>Развој на бебето во 2-ри месец  </h2>

<p>Првото нешто што може да го забележите во овој период е дека вашето бебе плаче повеќе отколку порано во првите денови по раѓањето. Ова се очекува во текот на вториот месец од развојот и ќе продолжи во текот на третиот месец.  Тоа всушност значи дека вашето бебе учи да комуницира со вас. Ќе му  треба малку време за да бидат сигурни дека го разбирате начинот на комуникација, па затоа е важно да одговорите на плачот на вашето бебе секој пат. Секогаш кога ќе одговорите со задоволување на потребата на вашето бебе - за храна, промена на влажна пелена или посегнување кон неа со вашиот глас и допир - тоа  ќе се чувствува удобно и безбедно. Секогаш смирете го вашето бебе зборувајќи со мек глас, нежно допирање, лулкање или пеење. Во овој период, тоа  може веќе да ви  одговори со прва насмевка.  </p>

<p>Вашето бебе има развиено врска со вас и ве препознава - најмногу по мирисот и гласот.  </p>

<p>Бебето генерално ќе стане почувствително на звуците во текот на вториот месец - не само што ќе ве препознае кога му зборувате, туку исто така ќе одговори на вашиот глас барајќи го вашето лице кога зборувате со него. Затоа треба да разговарате со бебето  секогаш кога е будно - раскажувајте приказна, зборувајте ритмично,  читајте. Во овој период, тоа може да започне да мрмори и да прави звуци.  </p>

<p>Сега вашето бебе може да види предмети што се оддалечени околу 45 см, а кога ќе забележи како се движи некој предмет во нејзина близина, ќе го следи неговото движење со очите.  </p>

<p>До крајот на вториот месец, вашето бебе станува сè подобро и подобро во моторниот развој. Во овој период, тоа веројатно ќе може да ја крене главата и да ја поместува од едната и другата страна кога е на стомак. Интересно му е да го открива своето тело, па неовите раце и прсти веројатно ќе му бидат најзабавни во овој период. Ќе ги истражува гледајќи ги, спојувајќи ги и раздвојувајќи ги и со ваша помош ќе може да држи предмет во раце.  Со нишкање и масажа на вашето бебе - ќе го охрабрите неговиот моторен развој.  Во исто време, ќе се врзете со него и ќе можете да го утешите ако е вознемирено.  </p>

<p>  </p>

<h3>Загриженост на  родителите за родителството во текот на 2-риот месец   </h3>

<p>Сега веќе го запознавте вашето бебе и веројатно сте малку посигурни во улогата на родител.  Сепак, не двоумете се да побарате помош ако сте загрижени за нешто или не знаете нешто. Следете го однесувањето на вашето бебе и бидете чувствителни на вашите грижи. Вашата загриженост може да биде оправдана, затоа споделете ја со вашиот педијатар ако забележите нешто од следново:   </p>

<ul>
	<li>
	<p>бебето плаче многу, и не е лесно да го смирите   </p>
	</li>
	<li>
	<p>не гледа лица дури и за кратко време,   </p>
	</li>
	<li>
	<p>не реагира на силна светлина или силни звуци,   </p>
	</li>
</ul>

<ul>
	<li>
	<p>не се храни и не  спие добро (или спие повеќе од 16 часа на ден),   </p>
	</li>
	<li>
	<p>воопшто не ги мрда рацете или нозете или не ги носи рацете до устата,   </p>
	</li>
	<li>
	<p>не им се смее на луѓето  </p>
	</li>
</ul>

<p> </p>

<h3>Како  да го охрабрам развојот на бебето во текот на 2-риот месец.   </h3>

<p>Вашето бебе сака да биде во ваша близина. Сака да гледа наоколу и да слуша.  Лулајте го, пејте и разговарајте со него, правете бебешки разговори и често играјте со него; обрнете внимание на она што му е угодно и што го смирува. Зборувајте јасно и полека со вашето бебе кога вашето бебе создава звуци, изразете радост со изразот на лицето и гласот и повторете ги тие звуци. Можете да му понудите на вашето бебе различни работи што може да ги погледне, допре и држи во раката. Кога е ставено на грб, држете играчка  или тропалка  над неговата  глава, на ниво на очите и охрабрете го да посегне по тоа. Кога вашето бебе е на стомак,  ставите играчки со светли бои пред него и  преместувајте ги  од една на другата страна. Ако вашето бебе почне да се жали, да ја сврти главата настрана или да плаче за време на играњето, тоа може да биде знак на прекумерна стимулација. Треба малку да ја забавите играта или да направите пауза. </p>",13551,6,,,,"1046, 4751",,,0,1,"<p>Reference:</p>

<p><a href=""https://raisingchildren.net.au/newborns/development/development-tracker/1-2-months"">https://raisingchildren.net.au/newborns/development/development-tracker/1-2-months</a></p>

<p>Laura E. Berk (2006), Child development (7ht edition), Allyn &amp; Bacon</p>

<p>Dr sci Nirvana Pištoljević (2016), Rani razvoj deteta: šta treba znati, Udruženje pedijatara Srbije, Beograd.</p>",mk-mk,published
7901,2 Месеци - период на меѓусебно прилагодување и воспоставување рутини,"<p>„Кога и да ми треба нешто, вие сте  тука. Кога сум гладен или жеден или кога сакам да те видам или кога сакам да ме држиш во рака или кога сум поспан, вие  некако го знаете тоа. Понекогаш само почнувам да плачам или да испуштам други звуци и  вие сте  тука .Тоа многу ми значи.. Кога зборувате со мене, тоа ме тера да сакам да кажам нешто за возврат, целото тело ми е исполнето со радост. Има толку многу возбуда, така што морам и да одмарам, да лежам мирно и да спијам. Се чувствувам безбедно, вие сте  тука “. </p>","<h2>Развој на бебето во 2-ри месец  </h2>

<p>Првото нешто што може да го забележите во овој период е дека вашето бебе плаче повеќе отколку порано во првите денови по раѓањето. Ова се очекува во текот на вториот месец од развојот и ќе продолжи во текот на третиот месец.  Тоа всушност значи дека вашето бебе учи да комуницира со вас. Ќе му  треба малку време за да бидат сигурни дека го разбирате начинот на комуникација, па затоа е важно да одговорите на плачот на вашето бебе секој пат. Секогаш кога ќе одговорите со задоволување на потребата на вашето бебе - за храна, промена на влажна пелена или посегнување кон неа со вашиот глас и допир - тоа  ќе се чувствува удобно и безбедно. Секогаш смирете го вашето бебе зборувајќи со мек глас, нежно допирање, лулкање или пеење. Во овој период, тоа  може веќе да ви  одговори со прва насмевка.  </p>

<p>Вашето бебе има развиено врска со вас и ве препознава - најмногу по мирисот и гласот.  </p>

<p>Бебето генерално ќе стане почувствително на звуците во текот на вториот месец - не само што ќе ве препознае кога му зборувате, туку исто така ќе одговори на вашиот глас барајќи го вашето лице кога зборувате со него. Затоа треба да разговарате со бебето  секогаш кога е будно - раскажувајте приказна, зборувајте ритмично,  читајте. Во овој период, тоа може да започне да мрмори и да прави звуци.  </p>

<p>Сега вашето бебе може да види предмети што се оддалечени околу 45 см, а кога ќе забележи како се движи некој предмет во нејзина близина, ќе го следи неговото движење со очите.  </p>

<p>До крајот на вториот месец, вашето бебе станува сè подобро и подобро во моторниот развој. Во овој период, тоа веројатно ќе може да ја крене главата и да ја поместува од едната и другата страна кога е на стомак. Интересно му е да го открива своето тело, па неовите раце и прсти веројатно ќе му бидат најзабавни во овој период. Ќе ги истражува гледајќи ги, спојувајќи ги и раздвојувајќи ги и со ваша помош ќе може да држи предмет во раце.  Со нишкање и масажа на вашето бебе - ќе го охрабрите неговиот моторен развој.  Во исто време, ќе се врзете со него и ќе можете да го утешите ако е вознемирено.  </p>

<p>  </p>

<h3>Загриженост на  родителите за родителството во текот на 2-риот месец   </h3>

<p>Сега веќе го запознавте вашето бебе и веројатно сте малку посигурни во улогата на родител.  Сепак, не двоумете се да побарате помош ако сте загрижени за нешто или не знаете нешто. Следете го однесувањето на вашето бебе и бидете чувствителни на вашите грижи. Вашата загриженост може да биде оправдана, затоа споделете ја со вашиот педијатар ако забележите нешто од следново:   </p>

<ul>
	<li>
	<p>бебето плаче многу, и не е лесно да го смирите   </p>
	</li>
	<li>
	<p>не гледа лица дури и за кратко време,   </p>
	</li>
	<li>
	<p>не реагира на силна светлина или силни звуци,   </p>
	</li>
</ul>

<ul>
	<li>
	<p>не се храни и не  спие добро (или спие повеќе од 16 часа на ден),   </p>
	</li>
	<li>
	<p>воопшто не ги мрда рацете или нозете или не ги носи рацете до устата,   </p>
	</li>
	<li>
	<p>не им се смее на луѓето  </p>
	</li>
</ul>

<p> </p>

<h3>Како  да го охрабрам развојот на бебето во текот на 2-риот месец.   </h3>

<p>Вашето бебе сака да биде во ваша близина. Сака да гледа наоколу и да слуша.  Лулајте го, пејте и разговарајте со него, правете бебешки разговори и често играјте со него; обрнете внимание на она што му е угодно и што го смирува. Зборувајте јасно и полека со вашето бебе кога вашето бебе создава звуци, изразете радост со изразот на лицето и гласот и повторете ги тие звуци. Можете да му понудите на вашето бебе различни работи што може да ги погледне, допре и држи во раката. Кога е ставено на грб, држете играчка  или тропалка  над неговата  глава, на ниво на очите и охрабрете го да посегне по тоа. Кога вашето бебе е на стомак,  ставите играчки со светли бои пред него и  преместувајте ги  од една на другата страна. Ако вашето бебе почне да се жали, да ја сврти главата настрана или да плаче за време на играњето, тоа може да биде знак на прекумерна стимулација. Треба малку да ја забавите играта или да направите пауза. </p>",13556,6,,,,"1046, 4751",,,0,1,"<p>Reference:</p>

<p><a href=""https://raisingchildren.net.au/newborns/development/development-tracker/1-2-months"">https://raisingchildren.net.au/newborns/development/development-tracker/1-2-months</a></p>

<p>Laura E. Berk (2006), Child development (7ht edition), Allyn &amp; Bacon </p>

<p>Dr sci Nirvana Pištoljević (2016), Rani razvoj deteta: šta treba znati, Udruženje pedijatara Srbije, Beograd. [Nirvana Pistoljevic, PhD (2016), Early child development: what you need to know, Serbian paediatric association, Belgrade – available in Serbian] </p>",mk-mk,published
