ID,Title,Summary,Body,Cover_video,Category,Child_age,Child_gender,Parent_gender,Keywords,Related_articles,Related_video_articles,Australian_article,Mandatory_content,References_and_comments,Translation_language,Moderation_state
926,How to change a nappy: for dads,,,2851,2,,,,"1161, 1166, 1171, 1176, 1181, 1186, 1191, 1196, 1201, 1206, 1211, 1216",,,1,0,<p>Imported Raising Children Australia Article: https://raisingchildren.net.au/babies/videos/nappy-changing-for-dads</p>,rs-en,review_after_translation
981,How to hold a baby,,,3011,2,,,,"1386, 1391",,,1,0,<p>Imported Raising Children Australia Article: https://raisingchildren.net.au/newborns/videos/how-to-hold-baby</p>,rs-en,review_after_translation
986,How to hold a baby: for dads,,,3016,2,,,,"1386, 1391",,,1,0,<p>Imported Raising Children Australia Article: https://raisingchildren.net.au/newborns/videos/how-to-hold-baby-dads</p>,rs-en,review_after_translation
1051,How to wrap a baby,,,3021,2,,,,"1606, 1611, 1616, 1621, 1626, 1631",,,1,0,<p>Imported Raising Children Australia Article: https://raisingchildren.net.au/babies/videos/how-to-wrap-a-baby</p>,rs-en,review_after_translation
1091,"Food reactions, allergies and reflux in babies",,,3026,2,,,,"1696, 1701, 1706, 1711, 1716, 1721, 1726, 1581, 1586, 1591, 1596, 1731, 1736, 1741, 1746, 1751, 1756",,,1,0,<p>Imported Raising Children Australia Article: https://raisingchildren.net.au/babies/videos/food-reactions-in-babies</p>,rs-en,review_after_translation
1361,Child development: the first eight years,,,3031,6,,,,"1046, 4751, 4086",,,1,0,<p>Imported Raising Children Australia Article: https://raisingchildren.net.au/babies/videos/development-first-eight-years</p>,rs-en,review_after_translation
1366,Baby development: expectations and pressures,,,3001,6,,,,"2381, 2386, 2391, 2336, 2341, 2346, 2351, 2356, 2361, 2366, 2371, 2376",,,1,0,<p>Imported Raising Children Australia Article: https://raisingchildren.net.au/babies/videos/baby-development-expectations</p>,rs-en,review_after_translation
1426,Baby development: 6-12 months,,,2996,6,,,,"2381, 1046, 1051, 1056, 81, 2406, 206, 2411, 2416, 2421, 76, 2426, 2431, 2436",,,1,0,<p>Imported Raising Children Australia Article: https://raisingchildren.net.au/babies/videos/development-6-12-months</p>,rs-en,review_after_translation
1431,Social development: children 1-5 years,,,2991,6,,,,"256, 1046",,,1,0,<p>Imported Raising Children Australia Article: https://raisingchildren.net.au/toddlers/videos/social-development</p>,rs-en,review_after_translation
1436,Child development: 1-2 years,,,2986,6,,,,"81, 2406, 206, 2411, 2416, 2421, 2441, 2446, 2451, 2456, 2461, 2466, 2471, 2476, 2481, 2486",,,1,0,<p>Imported Raising Children Australia Article: https://raisingchildren.net.au/toddlers/videos/development-1-2-years</p>,rs-en,review_after_translation
1441,Child development: 2-3 years,,,2981,6,,,,"1046, 2381",,,1,0,<p>Imported Raising Children Australia Article: https://raisingchildren.net.au/toddlers/videos/development-2-3-years</p>,rs-en,review_after_translation
1461,Children with disability: helping siblings,,,2976,6,,,,"2511, 2516, 2521, 2526, 2531, 2536, 506, 2501, 2506",,,1,0,<p>Imported Raising Children Australia Article: https://raisingchildren.net.au/disability/videos/disability-helping-siblings</p>,rs-en,review_after_translation
1481,Child development: 3-5 years,,,2971,6,,,,"1046, 1051, 1056, 81, 2406, 206, 2411, 2416, 2421, 76, 2426, 2431, 2436, 2566, 2571, 2576, 2581",,,1,0,<p>Imported Raising Children Australia Article: https://raisingchildren.net.au/preschoolers/videos/development-3-5-years</p>,rs-en,review_after_translation
1506,Breastfeeding: getting a good attachment,,,2966,1,,,,"2686, 2676, 4451",,,1,0,<p>Imported Raising Children Australia Article: https://raisingchildren.net.au/newborns/videos/good-attachment</p>,rs-en,review_after_translation
1616,Making a meal plan and shopping list,,,2961,1,,,,"3401, 3406, 2711",,,1,0,<p>Imported Raising Children Australia Article: https://raisingchildren.net.au/toddlers/videos/meal-plan-shopping-list</p>,rs-en,review_after_translation
1626,Cooking together: tzatziki,,,2956,1,,,,"3431, 3436, 3401, 3406, 2711",,,1,0,<p>Imported Raising Children Australia Article: https://raisingchildren.net.au/toddlers/videos/cooking-together-tzatziki</p>,rs-en,review_after_translation
1631,Growing and choosing herbs for cooking,,,2951,1,,,,3441,,,1,0,<p>Imported Raising Children Australia Article: https://raisingchildren.net.au/toddlers/videos/growing-herbs</p>,rs-en,review_after_translation
1636,Planting herbs at home,,,2946,1,,,,"3446, 3401, 3406, 2711",,,1,0,<p>Imported Raising Children Australia Article: https://raisingchildren.net.au/toddlers/videos/planting-herbs</p>,rs-en,review_after_translation
1641,Making dinner and involving your child,,,2941,1,,,,"3431, 3436, 3401, 3406, 2711, 3366, 3371, 3376, 3381, 3386, 3391, 3396",,,1,0,<p>Imported Raising Children Australia Article: https://raisingchildren.net.au/toddlers/videos/making-dinner</p>,rs-en,review_after_translation
2076,How messy play helps child development,,,2936,55,,,,,,,1,0,<p>Imported Raising Children Australia Article: https://raisingchildren.net.au/babies/videos/messy-play-helps-development</p>,rs-en,review_after_translation
2081,Playing with sound: how it helps child development,,,2931,55,,,,"4281, 4286",,,1,0,<p>Imported Raising Children Australia Article: https://raisingchildren.net.au/babies/videos/playing-with-sound</p>,rs-en,review_after_translation
2086,Puppet play: how it helps child development,,,2926,55,,,,"4291, 4296, 4301, 4306, 4311, 1046",,,1,0,<p>Imported Raising Children Australia Article: https://raisingchildren.net.au/babies/videos/puppet-play</p>,rs-en,review_after_translation
2091,Play and learning with babies: 7-17 months,,,2921,55,,,,"206, 2411, 2416, 2421, 76, 2426, 2431, 2436",,,1,0,<p>Imported Raising Children Australia Article: https://raisingchildren.net.au/babies/videos/play-learning-7-17-months</p>,rs-en,review_after_translation
2106,Outdoor play: easy ideas,,,2916,55,,,,"4316, 4321, 4336, 4331, 4326",,,1,0,<p>Imported Raising Children Australia Article: https://raisingchildren.net.au/babies/videos/outdoor-play-easy-ideas</p>,rs-en,review_after_translation
2111,Nature walk: play ideas for children,,,2911,55,,,,"4341, 4346, 4336, 4321, 4351",,,1,0,<p>Imported Raising Children Australia Article: https://raisingchildren.net.au/babies/videos/nature-walk-play-ideas</p>,rs-en,review_after_translation
2116,Playing with balls: ideas for children,,,2906,55,,,,"4356, 4361",,,1,0,<p>Imported Raising Children Australia Article: https://raisingchildren.net.au/babies/videos/playing-with-balls</p>,rs-en,review_after_translation
2131,Telling stories with children,,,2901,55,,,,"4196, 4396, 4176, 4181",,,1,0,<p>Imported Raising Children Australia Article: https://raisingchildren.net.au/babies/videos/telling-stories</p>,rs-en,review_after_translation
2201,Healthy digital technology use: parents as role models,,,2896,55,,,,,,,1,0,"<p>Imported Raising Children Australia Article: <a href=""https://raisingchildren.net.au/toddlers/videos/healthy-digital-technology-use-parents-as-role-models"">https://raisingchildren.net.au/toddlers/videos/healthy-digital-technology-use-parents-as-role-models</a></p>",rs-en,review_after_translation
2206,Making simple puppets,,,2891,55,,,,"4296, 4291, 4301, 4306",,,1,0,<p>Imported Raising Children Australia Article: https://raisingchildren.net.au/babies/videos/making-simple-puppets</p>,rs-en,review_after_translation
2291,How to settle a crying baby,,,2886,56,,,,"381, 4411, 4416, 4421, 4426, 4431, 106, 4026",,,1,0,<p>Imported Raising Children Australia Article: https://raisingchildren.net.au/babies/videos/settle-a-crying-baby</p>,rs-en,review_after_translation
2296,Settling babies for sleep: tips and strategies,,,2881,56,,,,"106, 4026, 381, 4411, 4416, 4421, 4426, 4431",,,1,0,<p>Imported Raising Children Australia Article: https://raisingchildren.net.au/newborns/videos/settling-babies-for-sleep</p>,rs-en,review_after_translation
2306,Connecting and communicating: 0-6 months,,,2876,56,,,,"371, 4436, 3796, 4486, 4491, 4496, 4501",,,1,0,<p>Imported Raising Children Australia Article: https://raisingchildren.net.au/babies/videos/connecting-communicating-0-6-months</p>,rs-en,review_after_translation
2321,How to do baby massage,,,2871,56,,,,"1396, 1401, 1406, 1411",,,1,0,<p>Imported Raising Children Australia Article: https://raisingchildren.net.au/babies/videos/how-to-do-baby-massage</p>,rs-en,review_after_translation
2341,Smacking: parent perspectives,,,2866,56,,,,"4561, 4536, 4541, 4546, 4551, 4556",,,1,0,<p>Imported Raising Children Australia Article: https://raisingchildren.net.au/toddlers/videos/smacking-video</p>,rs-en,review_after_translation
2351,Encouraging good behaviour: tips in action,,,1586,56,,,,"2546, 2551, 2556",,,1,0,<p>Imported Raising Children Australia Article: https://raisingchildren.net.au/toddlers/videos/good-behaviour-tips-in-action</p>,rs-en,review_after_translation
2366,Connecting and communicating: 18-35 months,,,2861,56,,,,"3796, 3781, 3786, 3791",,,1,0,<p>Imported Raising Children Australia Article: https://raisingchildren.net.au/toddlers/videos/connecting-communicating-18-35-months</p>,rs-en,review_after_translation
2371,Connecting and communicating with preschoolers,,,2841,56,,,,3796,,,1,0,<p>Imported Raising Children Australia Article: https://raisingchildren.net.au/preschoolers/videos/communicating-with-preschoolers</p>,rs-en,review_after_translation
2411,Online safety: how parent-child relationships protect children,,,2856,3,,,,,,,1,0,<p>Imported Raising Children Australia Article: https://raisingchildren.net.au/toddlers/videos/online-safety-how-parent-child-relationships-protect-children</p>,rs-en,review_after_translation
6281,"1st month: When lying on his tummy, he lifts his head",,,10791,6,,,,86,,,0,1,,rs-en,review_after_translation
6286,1 month: Relaxes when you take her in your arms,,,10796,6,,,,2381,,,0,1,,rs-en,review_after_translation
6291,1st month: Looks at you as you smile and talk to him,,,10801,6,,,,2381,,,0,1,,rs-en,review_after_translation
6296,1st month: Makes sounds,,,10806,6,,,,2381,,,0,1,,rs-en,review_after_translation
6301,1st month: Opens and closes his fist when you gently touch,,,10816,6,,,,2381,,,0,1,,rs-en,review_after_translation
6306,1st month: Moves her arms and legs freely on both sides,,,10821,6,,,,2381,,,0,1,,rs-en,review_after_translation
6311,1st month: Gets excited when you talk to him,,,10826,6,,,,2381,,,0,1,,rs-en,review_after_translation
6316,"2nd month: Makes different sounds when she is happy, upset or hungry",,,10831,6,,,,2381,,,0,1,,rs-en,review_after_translation
6321,"2nd month: Gurgles, makes sounds",,,10836,6,,,,2381,,,0,1,,rs-en,review_after_translation
6326,2nd month: Turns her head towards the sound source and shows that she is listening,,,10841,6,,,,2381,,,0,1,,rs-en,review_after_translation
6336,2nd month: Follows the movement of things and people with her eyes,,,10851,6,,,,2381,,,0,1,,rs-en,review_after_translation
6341,2nd month: Makes fine movements with his arms and legs,,,10856,6,,,,2381,,,0,1,,rs-en,review_after_translation
6346,"2nd month: When on her tummy, the baby is leaning on her forearms against the mat",,,10861,6,,,,2381,,,0,1,,rs-en,review_after_translation
6351,"2nd month: Turns her head to one side, then to the other",,,10866,6,,,,2381,,,0,1,,rs-en,review_after_translation
6356,"2nd month: Occasionally she keeps her fists open, manipulates them",,,10871,6,,,,2381,,,0,1,,rs-en,review_after_translation
6361,2nd month:  Can comfort herself for a while,,,10876,6,,,,2381,,,0,1,,rs-en,review_after_translation
6366,3rd and 4th months: Puts hands in the mouth,,,10881,6,,,,2381,,,0,1,,rs-en,review_after_translation
6371,3rd and 4th months: Starts babbling,,,10886,6,,,,2381,,,0,1,,rs-en,review_after_translation
6376,"3rd and 4th months: Begins to mimic facial movements and expressions, as well as sounds during play",,,10891,6,,,,2381,,,0,1,,rs-en,review_after_translation
6381,3rd and 4th months: Shows that she is angry or happy,,,10896,6,,,,2381,,,0,1,,rs-en,review_after_translation
6386,3rd and 4th months: Carefully observes people's faces,,,10901,6,,,,2381,,,0,1,,rs-en,review_after_translation
6391,"3rd and 4th months: Reaches for a toy with one hand, explores it, shakes it and hits it",,,10906,6,,,,2381,,,0,1,,rs-en,review_after_translation
6396,3rd and 4th months: Follows with his eyes a toy moving from one side to the other,,,10911,6,,,,2381,,,0,1,,rs-en,review_after_translation
6401,3rd and 4th months:  Laughs at a human face,,,10916,6,,,,2381,,,0,1,,rs-en,review_after_translation
6406,3rd and 4th months: Establishes hand eye coordination,,,10921,6,,,,2381,,,0,1,,rs-en,review_after_translation
6411,5th and 6th months: Loudly expresses dissatisfaction or joy,,,10931,6,,,,2381,,,0,1,,rs-en,review_after_translation
6421,"5th and 6th months: Responds to the sound of the voice by making sounds   by merging vowels a, e, u",,,10936,6,,,,2381,,,0,1,,rs-en,review_after_translation
6426,5th and 6th months: Rolls from the tummy to the back and from the back to the tummy over both sides,,,10941,6,,,,2381,,,0,1,,rs-en,review_after_translation
