ID,Title,Summary,Body,Cover_video,Category,Child_age,Child_gender,Parent_gender,Keywords,Related_articles,Related_video_articles,Australian_article,Mandatory_content,References_and_comments,Translation_language,Moderation_state
6281,Первый месяц- Малыш поднимает голову когда лежит на животике,,,10791,6,,59,60,86,,,0,1,,tj-ru,published
6286,Первый месяц- Малыш расслабляется когда Вы берёте его/ее на руки,,,10796,6,,59,60,2381,,,0,1,,tj-ru,published
6291,"Первый месяц- Малыш смотрит на Вас, когда Вы улыбаетесь и разговариваете с ним/ней",,,10801,6,,59,60,2381,,,0,1,,tj-ru,published
6296,Первый месяц- Малыш издаёт звуки,,,10806,6,,59,60,2381,,,0,1,,tj-ru,published
6301,"Первый месяц- Малыш раскрывает и закрывает ладошку, когда Вы нежно ее гладите",,,10816,6,,59,60,2381,,,0,1,,tj-ru,published
6306,Первый месяц- Малыш свободно двигает руками и ногами в обе стороны,,,10821,6,,59,60,2381,,,0,1,,tj-ru,published
6311,Первый месяц- Малыш радуется когда Вы с ним разговариваете,,,10826,6,,59,60,2381,,,0,1,,tj-ru,published
6336,Второй месяц- Малышка глазами следит за движением окружающих предметов и людей,,,10851,6,,59,60,2381,,,0,1,,tj-ru,published
6346,"Второй месяц- малышка опирается на кисти рук, когда лежит на животике",,,10861,6,,59,60,2381,,,0,1,,tj-ru,published
6351,Второй месяц- малышка поворачивает голову в одну и в другую стороны,,,10866,6,,59,60,2381,,,0,1,,tj-ru,published
6356,Второй месяц- Малышка спонтанно разжимает и сжимает кулачки,,,10871,6,,59,60,2381,,,0,1,,tj-ru,published
6361,Второй месяц- Малышка уже может сама себя занять на некоторое время,,,10876,6,,59,60,2381,,,0,1,,tj-ru,published
6366,3-4 месяца- малыш кладёт руки в рот,,,10881,6,,59,60,2381,,,0,1,,tj-ru,published
6371,3-4 месяц- Малыш начинает агукать,,,10886,6,,59,60,2381,,,0,1,,tj-ru,published
