ID,Title,Body,Cover_image,Equipment,Type_of_support,Child_age,Domain,Related_milestones,Mandatory_content,Translation_language,Moderation_state
7176,Ndihma për foshnjen tuaj që të vetë-rehatohet,"<p><strong>Materialet që ju nevojiten: </strong>Sende që zakonisht i vendosni në krevatin e fëmijës suaj ose në një vend tjetër ku fëmija vendoset të shtrihet. </p>

<p><strong>Çfarë mund të bëni së bashku: </strong>Është akoma e rëndësishme të kujdeseni për fëmijën tuaj kur ai ose ajo është i/e shqetësuar. Sidoqoftë, do të vini re se fëmija juaj bëhet më i mirë në qetësimin e vetes të paktën për një kohë të shkurtër. Ju mund ta ndihmoni foshnjën tuaj duke u siguruar që sendet e sigurta janë afër, që mund të ndihmojnë vetë-rehatimin e foshnjës tuaj. Për shembull, a ka ndonjë lodër të butë që fëmija juaj pëlqen ta godas? A ekziston një celular ose foto shumëngjyrëshe që është e lehtë për foshnjën që ta shohë? A janë duart e foshnjës tuaj në një pozicion në të cilin ai ose ajo mund t’i thithë ato nëse kjo e qetëson fëmijën tuaj? Para se të shkoni menjëherë tek fëmija juaj, bëni një pauzë dhe shikoni për pak kohë për të parë nëse fëmija juaj ka filluar të jetë në gjendje të bëjë ose të mbajë veten të qetë për pak kohë.   </p>

<p><strong>Çfarë po mëson fëmija juaj:  </strong>Foshnja juaj e di që ai ose ajo mund të varet nga ju për t’i bërë gjërat më mirë. Por foshnja juaj po mëson gjithashtu se ajo ose ai mund të bëjë gjëra për ta mbajtur veten të qetë. Qetësimi i vetvetes është një gjë e rëndësishme për të mësuar, duke filluar tani, por duke u zhvilluar në muajt dhe vitet e ardhshme. Si gjithmonë, mbështetja juaj e dashur është thelbësore. </p>",11801,yes,parent,,6431,2566,0,sq,published
7181,Mbajtja e interesimit të fëmijës,"<p><strong>Materialet që ju nevojiten: </strong>Vetëm objektet ose lojërat e zakonshme që fëmija juaj shpesh i pëlqen. </p>

<p><strong>Çfarë mund të bëni së bashku: </strong></p>

<p>Në këtë moshë, fëmija juaj nuk mund të thotë ""Unë jam i mërzitur"" ose ""Më pëlqen kjo, ju lutem mos ndaloni!"" Duke vëzhguar se si sillet i vogli juaj, ju mund të dini nëse fëmija juaj mund të jetë i interesuar të shikojë ose të bëjë diçka të re. Foshnja juaj mund të fillojë shqetësime ose të largohet nga diçka për të cilën ai ose ajo interesohej më parë. Apo ndoshta ajo ose ai thjesht duhet të jetë në një vend apo pozitë të re.</p>

<p>Provoni disa gjëra për ta mbajtur fëmijën tuaj kurioz, të vëmendshëm dhe të kënaqur. Ju e njihni më së miri foshnjën tuaj. Ndoshta një objekt i ri për të mbajtur do ta magjeps atë pak më gjatë. Ose mund të merrni foshnjën tuaj, të ecni pak dhe të shikoni pjesë të reja të dhomës. Ose ndoshta ka qenë mjaft në pozitën ""përmbys"" dhe foshnja juaj dëshiron të jetë në shpinë me diçka për ta parë.</p>

<p>Ju nuk keni nevojë të bëni diçka ndryshe çdo minutë, por vetëm kushtojini vëmendje sinjaleve të foshnjës suaj dhe bëni disa ndryshime të thjeshta nëse stimulimi pak më shumë, ose pak më pak, mund ta bëjë fëmijën tuaj të kënaqur dhe të interesuar. </p>

<p><strong>Çfarë po mëson fëmija juaj: </strong> Edhe para se fëmija juaj të lëvizë ose të flasë, fëmija juaj ka mënyra për t'ju treguar se çfarë i nevojitet asaj ose atij. Ndryshimet e thjeshta në objektet për t’u parë ose mbajtur, ose ndryshimet e vogla në pozicionin e foshnjës suaj, do të hapin derën për mundësi të reja mësimi. Me kalimin e kohës, do të zbuloni se çfarë funksionon për t'ju dhënë kohë për veten dhe foshnjën tuaj për të mësuar. </p>",12486,yes,parent,,6436,2586,1,sq,published
7186,Loja e imagjinatës,"<p><strong>Materialet që ju nevojiten: </strong>Asnjë.</p>

<p><strong>Çfarë mund të bëni së bashku: </strong>Përgjigjuni në një farë mënyre sa herë që fëmija juaj mërmërit. Le të jetë një ""bisedë"" e vërtetë e vogël - bisedoni me foshnjën me një zë të butë, buzëqeshni atyre ndërsa flisni; teksa flisni, bëni pushime të shkurtra herë pas here për t'i dhënë foshnjes tuaj një shans për t'u përfshirë; në një moment, foshnja do të fillojë të bëjë zhurma të thjeshta. Flisni me një ton të lartë ose të ulët, provoni pëshpëritje dhe këndim. Bëni këtë në mënyrë alternative me fëmijën. Përsëritni tingujt që ai/ajo bën.  </p>

<p>Vendoseni fëmijën ballë për ballë me ju - fëmija do t'ju shikojë ndërsa i bëni ato tinguj. Foshnja në këtë pozicion mund të shikojë se si ndryshoni shprehjen e fytyrës (buzëqeshja e madhe, gjuha e shtrirë, sytë e gjerë, vetullat e ngritura, faqet e fryra ose fryrja). Vëzhgoni foshnjën dhe nëse vini re se disa nga këto shprehje i trembin, ndryshoni shpejt shprehjen e fytyrës tuaj dhe pas pak provoni përsëri me një shprehje të zbutur të fytyrës. Mos harroni se çdo foshnjë është e ndryshme dhe reagon në mënyra të ndryshme. Në këtë lojë, mbani një shprehje për një kohë për t'i dhënë foshnjes tuaj një shans të përpiqet të krijojë një shprehje të re të fytyrës duke ju parë dhe duke ju imituar. Përsëritni atë që bën foshnja.</p>

<p>Një ide tjetër është t'i tregoni foshnjës një kukull lecke, ose thjesht vendosni një çorapë të vogël në gishtin tuaj. Thoni emrin e foshnjës ndërsa lëvizni kukullën ose çorapet lart e poshtë si një kukull. Sigurohuni që foshnja po ndjek atë lëvizje. Pastaj lëvizni gishtin përreth. Sa herë që shihni fëmijën tuaj duke ndjekur lëvizjet e kukullës, provoni një lëvizje të re.</p>

<p>Këto janë rutina shumë të përshtatshme gjatë ndërrimit të pelenave, por gjithashtu mund të përdoren në çdo moment të lirë që kaloni me fëmijën.</p>

<p><strong>Çfarë po mëson fëmija juaj:  </strong>Në këtë fazë, lodra më e mirë - që magjeps më shumë foshnjën - je ti! Fytyra juaj, zëri juaj, duart tuaja, trupi juaj. Foshnja juaj mëson të komunikojë me ju dhe vëzhgon me kujdes dhe në detaje fytyrat e njerëzve, mban kontakte të gjata me sy.</p>",10571,,parent,,6441,2616,1,sq,published
7191,Eksploroni dhe gjeni lojëra,"<p><strong>Materialet që ju nevojiten: </strong>Çfarëdo lodre, pelene, shall, peshqir letre, çantë kanavacë ose qese, shishe të vogla plastike, fara të ndryshme dhe sende të vogla.</p>

<p><strong>Çfarë mund të bëni së bashku: </strong></p>

<p>Luani me fshehjen dhe kërkimin e sendeve. Lejoni fëmijën tuaj të ju shohë duke fshehur objektin nën një batanije, pelenë ose jastëk. Nëse foshnja nuk fillon të zbulojë objektin e fshehur, herën tjetër mbulojeni atë pjesërisht. Ndihmoni fëmijën të gjejë sendin.</p>

<p>Mbështilleni lirshëm një lodër të vogël në një peshqir letre ose pëlhurë (mos përdorni shirit). Fëmija mund të hapë paketën dhe të gjejë një surprizë. Ju gjithashtu mund të përdorni një letër tjetër të butë ose letër ambalazhi me ngjyra të larmishme që fëshfërijnë. Ju gjithashtu mund ta mbështjellni lodrën në një pecetë të hollë, leckë ose pelenë. Një ide tjetër është të bëni një çantë surprizë që fëmija do ta gjejë në mëngjes. Mbushni një qese letre ose çantë kanavacë me sendet e mëposhtme ose sende të tjera të ngjashme që mund të keni: një lodër e mbushur, diçka që prodhon një tingull, një kavanoz të vogël plastik me një kapak vidhosës, ose një libër me faqe kartoni. Inkurajoni fëmijën tuaj që të eksplorojë ""çantën magjike"". Sigurohuni që sendet të jenë të sigurta dhe mbikëqyrni mirë.</p>

<p>Një ide tjetër është të luani ""lojëra të shtirjes"" me një lodër të mbushur ose një kukull. Paraqitni dhe tregojini fëmijës se çfarë po bën kukulla (duke ecur, duke shkuar për të fjetur, duke ngrënë, duke luajtur në tryezë). Përdorni fjalë për të përshkruar atë që bën kukulla, mbase i jepni kukullës një zë - gjithçka që është argëtuese për ju dhe fëmijën tuaj. Jepini fëmijës atë lodër dhe shikoni nëse ai do ta lëvizë kukullën dhe do të bëjë atë që bëni ju. Ju mund të ndërroheni nëse fëmija juaj e shijon atë lojë!</p>

<p>Fëmijët pëlqejnë të luajnë me objekte që prodhojnë tinguj dhe bëjnë zhurmë. Nëse keni kohë dhe keni materiale, mund të bëni një zhurmë më komplekse duke varur rrathë metali aq të gjerë sa të vendosen mbi dorën e foshnjës. Ju gjithashtu mund të mbushni shishe të vogla plastike (me kapak që fëmijët nuk mund t'i hapin) me objekte që tingëllojnë ndryshe, p.sh. mermer, oriz, kripë, kokrra misri, etj. Nëse e bëni këtë, sigurohuni që të mbyllni kapakët fort për siguri dhe ta inkurajoni fëmijën të eksplorojë tingujt.</p>

<p>Këtë aktivitet mund ta përdorni kur të keni pak kohë të lirë, ta përdorni për lojë të thjeshtë me fëmijën tuaj. Nëse ka vëllezër e motra më të mëdhenj, inkurajojini ata të luajnë në të njëjtën mënyrë me anëtarin më të ri të familjes.  </p>

<p><strong>Çfarë po mëson fëmija juaj: </strong> fëmija juaj fillon të zbulojë objekte ose persona të rinj duke i prekur dhe duke luajtur me ta. Këto aktivitete ndihmojnë në zhvillimin e aftësive të tyre të hollë motorike dhe shqisore.</p>",9246,yes,,,6436,2626,1,sq,published
7196,Loja e dyshemesë,"<p><strong>Materialet që ju nevojiten: </strong>Një qilim ose batanije, lodra të preferuara, rraketake.  </p>

<p><strong>Çfarë mund të bëni së bashku: </strong>Poziciononi foshnjën në mënyrë që të prekni këmbët e tij/saj. Butësisht luani me këmbët dhe gishtat e tij dhe butësisht guduliseni. Prekni gishtat e foshnjës një nga një dhe në të njëjtën kohë thoni: ""Ky gisht është thumb gishti i vogël/gishti i nënës/gishti i babit"" për secilin gisht. Ndërsa foshnja është në shpinë, vendosni një lodër rrotulluese që prodhon tingull (nëse e keni) pranë ose prapa foshnjës. Kontrolloni nëse foshnja po kërkon burimin e zërit. Ose butësisht tundni një rraketake ose kavanoz me bizele dhe shikoni nëse fëmija e kërkon atë.</p>

<p>Në një sipërfaqe të butë të sheshtë, në shtrat ose batanije, ndërsa është shtrirë në shpinë, prekni lehtë ose masazhoni duart dhe gishtat e foshnjës ndërsa flisni me të - për shembull, ""Këtu është dora jote; këtu janë gishtat"", duke i thënë asaj çfare je duke bërë. Ose mund të këndoni një këngë të butë ndërsa ia ledhatoni duart. Një ide tjetër është të përdorni një lodër të thjeshtë që e vendosni aty ku fëmija mund ta shohë, por ku ajo nuk mund ta arrijë atë. A provon ajo? Ju mund ta lëvizni lodrën ndërsa foshnja e shikon atë. Ndërsa fëmija rritet, ju mund ta inkurajoni fëmijën tuaj që të rrotullohet për të kërkuar lodrën.</p>

<p>Ka kaq shumë ide për ""kohën e dyshemesë"" ndërsa fëmija juaj rritet! Vendosni një batanije ose një peshqir në qilim, vendoseni fëmijën në barkun e tij/saj në mënyrë që koka e tij/saj të kthehet në njërën anë. Shtrihuni pranë foshnjës për ta inkurajuar atë. Foshnja mund të qëndrojë në këtë pozicion për sa kohë që i pëlqen, por sigurohuni që koka e tij/saj të jetë e kthyer nga ana e majtë dhe e djathtë për të njëjtën gjatësi kohore. Përsëri, ju mund të vendosni lodra ose sende të preferuara para foshnjës, por që ato të jenë vetëm pak larg mundësive të foshnjës për t'u arritur. Ndërsa fëmija juaj rritet, inkurajoni fëmijën tuaj që të përpiqet t'i arrijë ato dhe lëvizni në drejtimin e tyre.</p>

<p>""Koha e barkut"" është e rëndësishme për zhvillimin fizik. Sigurohuni që koha që fëmija juaj kalon në barkun e tij/saj është pak më e gjatë çdo ditë. Vëzhgoni foshnjën tuaj, kështu që ju mund ta lëvizni butësisht foshnjën nëse ai/ajo e kthen fytyrën direkt në dysheme, pasi kjo mund ta bëjë të vështirë frymëmarrjen. Ndërsa ai/ajo bëhet më i/e fortë me kalimin e kohës, foshnja do të jetë në gjendje të ngrejë kokën dhe të ngrihet pak duke u shtyrë me duar. Këto lëvizje më vonë do të rriten në rrotullisje dhe zvarritje.</p>

<p><strong>Çfarë po mëson fëmija juaj: </strong>Këto janë mundësi të shkëlqyera për të përdorur lojëra të thjeshta për të krijuar një mjedis pozitiv dhe të kënaqshëm për fëmijën tuaj. Gjatë këtyre lojërave, fëmija juaj mëson të hulumtojë dhe kontrollojë lëvizjet e trupit dhe kokës së tij/saj. Një foshnjë mund të jetë në gjendje të ngrejë kokën dhe të mbajë veten me krahët e saj.  </p>",446,yes,,,6421,2656,1,sq,published
7201,Shiko se çfarë mund të bësh me duart tua!,"<p><strong>Materialet që ju nevojiten: </strong>Asnjë</p>

<p><strong>Çfarë mund të bëni së bashku: </strong>Në këtë moshë, fëmija juaj po zbulon duart e tij. Ajo ose ai i shikon ato (çfarë JANË ato?) dhe gjithashtu fillon të jetë në gjendje ta gjejë gojën e tij ose saj me ato duar. Ju nuk keni pse t’i mësoni bebes tuaj këtë aftësi, por ju mund ta inkurajoni këtë mësim të ri në shumë mënyra, çdo ditë. Sigurohuni që duart dhe krahët e foshnjës tuaj të jenë të lirë të lëvizin për pjesën më të madhe të ditës. Ndërrimi i pelenave, veshja dhe koha e larjes mund të jenë veçanërisht mundësi të mira për foshnjën. Shpesh vendoseni fëmijën tuaj në pozicione që e bëjnë të lehtë për fëmijën tuaj për të parë dhe kontrolluar krahët dhe duart e tij ose saj. Foshnja juaj mund të duket e ngazëllyer kur zbulon këtë ""hile"". Kushtojini vëmendje dhe ndani kënaqësinë në krijimin e kësaj lidhjeje. </p>

<p><strong>Çfarë po mëson fëmija juaj: </strong>Ky është një hap i rëndësishëm në aftësinë e foshnjës tuaj për të kontrolluar lëvizjet e saj ose të tij në pjesë të ndryshme të trupit. Kjo gjithashtu zhvillon sensin e prekjes dhe shijes ndërsa fëmija juaj lidh gojën e saj ose të tij me ato gishta.<strong>  </strong></p>",12491,no,parent,,6436,2666,0,sq,published
7206,Kërkoni për objekte të fshehura,"<p><strong>Materialet që ju nevojiten: </strong>Disa lodra ose gjëra të buta nga shtëpia që janë të sigurta dhe tërheqëse për foshnjën.  </p>

<p><strong>Çfarë mund të bëni së bashku: </strong>Vendoseni fëmijën tuaj përmbys, në tapet ose në sipërfaqe të tjera të buta. Uluni në mënyrë që të shihni fytyrën e foshnjës tuaj dhe të kontrolloni sigurinë e saj. Vendosni disa lodra në njërën anë (majtas ose djathtas) të foshnjës jashtë mundësive të saj për arritje, por në fushën e shikimit të saj. Prisni që ai/ajo t'i vërejë ato ose ju ia tërheqni vëmendjen me një ton të befasuar të zërit (duke thënë: ""Aaaa, çfarë kemi këtu?!""). Prisni që fëmija juaj të rrokulliset në mënyrë që ai/ajo të arrijë një nga objektet. Nëse foshnja juaj nuk provon vetë, ndihmojeni të rrotullohet nga barku në shpinë në mënyrë që ai/ajo të arrijë objektet. Inkurajojeni atë me një zë entuziast, një buzëqeshje të gjerë. Kur ai/ajo pushon së interesuari, shikon larg ose proteston - përsëritni të gjithë procesin me objekte të tjera, në anën tjetër.</p>

<p><strong>Çfarë po mëson fëmija juaj: </strong>Foshnja juaj ka një mundësi për të eksploruar objekte duke i parë, duke i lëvizur nga dora në dorë, duke i prekur, duke i vendosur në gojën e tij/saj.</p>

<p> </p>

<p> </p>",10601,yes,parent,,6436,2691,1,sq,published
7211,Çfarë është dhe si quhet?,"<p><strong>Materialet që ju nevojiten: </strong>Libra, revista, katalogë, shenja të ndryshme, çdo gjë që përmban shkronja dhe fjalë ose simbole të tjera dhe që inkurajon të folurit dhe bisedat interesante.</p>

<p><strong>Çfarë mund të bëni së bashku: </strong></p>

<p>Duke filluar nga koha kur fëmija juaj është vetëm disa muajsh, flisni në heshtje me foshnjën ndërsa e ushqeni, ia ndërroni pelenat, e mbani në krahë, ose kur ai/ajo është pranë jush në qilim, ose në karrocë fëmijësh. Edhe pse ai/ajo nuk i kupton të gjitha fjalët, edhe si një i porsalindur, foshnja e njeh zërin tënd, dhe kjo do t'i pëlqejë atij/asaj. Kur e shihni fëmijën tuaj duke reaguar ndaj zërit tuaj, përgjigjuni me buzëqeshje të ngrohtë, përkëdheleni atë, etj. Nëse ai/ajo nuk përgjigjet, vazhdoni të provoni! Ai/ajo do të fillojë të përgjigjet.</p>

<p>Lexoni libra të thjeshtë për fëmijë ose tregoni tregime nga dita e parë. Edhe nëse ai/ajo nuk e kupton tregimin, foshnja do të kënaqet me afërsinë dhe zërin tuaj. Asaj/atij pëlqen të shikojë fotografitë që ju i tregoni. Lexoni libra të shkruar për foshnje ose revista shumëngjyrëshe dhe në të njëjtën kohë tregoni se çfarë është në imazh dhe tregojini foshnjës për këtë. Lëreni foshnjën të përkëdhelë fotografitë në libër. Emërtoni gjithçka që ai/ajo tregon me fjalë të thjeshta. </p>

<p>Librat janë të rëndësishëm, por gjithashtu është edhe thjesht biseda me foshnjën tuaj për çfarëdo dhe gjithçka. Kur moti është i mirë, nxirreni fëmijën tuaj në një shëtitje në natyrë, edhe nëse është vetëm jashtë shtëpisë tuaj. Tregoni atij/asaj për gjithçka që shihni. </p>

<p>Nëse nuk keni libra përreth, mund të flisni edhe për gjëra të tilla si pjesët e trupit, objektet që përdorni çdo ditë dhe njerëzit që fëmija i njeh. Në atë mënyrë, ai/ajo do të kuptojë se gjithçka ka një emër dhe gradualisht do të fillojë të mësojë ata emra. Emërtoni gjithçka që bëni në aktivitetet dhe rutinat tuaja të përditshme. Ndërsa emërtoni gjërat, tregoni objektin ose atë që po bëni. ""Mami bën lëng për foshnjën"". ""Ky është lëng"", ju i tregoni lëngun. ""Mami ndërron pelenën e foshnjës"". ""Kjo është pelenë"", dhe ju i tregoni pelenën. Sigurohuni që foshnja të dëgjojë dhe të shohë se çfarë po i tregoni. P.sh. ""Ne po hamë brokoli sot, mmmm, sa e shijshme"" dhe tregoni pjatën. Këto nuk janë ""mësime"" por janë momente të këndshme së bashku ndërsa ju e prezantoni fëmijën tuaj me të gjitha gjërat e mrekullueshme në botë!</p>

<p>Kurdoherë që keni kohë të lirë për të luajtur mund të përdorni shembujt e mësipërm në rutinat tuaja ditore (ndërrimi i rrobave, përgatitja për një vakt, etj.).</p>

<p><strong>Çfarë po mëson fëmija juaj: </strong>Edhe nëse foshnja nuk ju kupton, ai/ajo do të përcjellë fotografitë, tingujt, aromat dhe zërin tuaj. Ai/ai do të kuptojë që gjithçka ka një emër dhe gradualisht do të fillojë t'i mësojë ata emra.</p>",11426,yes,parent,,6441,2731,1,sq,published
7216,Krijimi i shoqërive,"<p><strong>Materialet që ju nevojiten: </strong>Asnjë.</p>

<p><br />
<strong>Çfarë mund të bëni së bashku: </strong>Foshnja juaj mund të qajë në mënyra të ndryshme dhe duke qarë ai/ajo mund të përpiqet të përcjellë mesazhe të ndryshme. Gjatë kësaj periudhe, ju mund të vini re se foshnja fillon të shqetësohet kur shfaqen njerëz të rinj, të panjohur, gjë e cila nuk ka ndodhur më parë. Kjo është mjaft e pritshme. Ndihmojeni atë së pari duke prezantuar njerëz të rinj gjithmonë gradualisht dhe jo papritmas dhe, nëse është e mundur, në një mjedis tashmë të njohur. Gjithmonë jini me foshnjën tuaj kur një fytyrë e re i afrohet ose i drejtohet asaj, dhe nëse ankthi dhe e qara shtohen - qetësojeni. Flisni me foshnjën tuaj me zë të qetë, duke e mbajtur në krahë për ta siguruar që nuk do ta lini. Mund ta përkundni butësisht, ta përqafoni ose t'i këndoni. Shikoni nga afër për të parë se kur fëmija juaj është gati të krijoj përsëri shoqëri. Ju do ta dini këtë kur ai/ajo fillon të shikojë përreth dhe të eksploron gjëra dhe njerëz përreth tij/saj. Ngadalë provoni përsëri ta prezantoni atë me njerëz të rinj, duke ndjekur shenjat e saj të kënaqësisë dhe parehatisë.</p>

<p><br />
Çdo foshnjë është e ndryshme; foshnja juaj mund të jetë mjaft e interesuar për njerëz të rinj, ose mund të jetë mjaft e ngadaltë për t'u shoqëruar edhe me të huajt miqësorë.  Ndiqni hapat e foshnjës tuaj dhe shijoni personin tuaj të vogël e unik!</p>

<p><br />
<strong>Çfarë po mëson fëmija juaj: </strong>Foshnja juaj po mëson të reagojë ndaj situatave dhe njerëzve të rinj, pasi reagimet e saj/tij ndoshta do të ndryshojnë nga java në javë.  Nëse njerëz të rinj bëhen pjesë e botës së foshnjës suaj, me ndihmën tuaj foshnja juaj mësohet me ta gradualisht, në mënyrë që ajo ose ai të ndihet rehat. </p>",2646,no,parent,,6431,2761,1,sq,published
7221,"Lojëra me pasqyra: ""Askush nuk duket si unë""","<p><strong>Materialet që ju nevojiten: </strong>Një pasqyrë e madhe në mur, ose një pasqyrë e vogël e pathyeshme (si lodër).<br />
 </p>

<p><strong>Çfarë mund të bëni së bashku: </strong>Si bëhet kjo: Lejoni foshnjën të shohë veten në pasqyrë. Vendosni një pasqyrë të pathyeshme pranë krevatit të foshnjës ose karriges së ndërrimit, në mënyrë që foshnja të shohë veten ose në të. Filloni të flisni dhe trokitni lehtë pasqyrën në mënyrë që foshnja të shikojë. Thuaj “Shiko, aty është [emri i foshnjës suaj]”.</p>

<p>Pas një kohe, foshnja do të kuptojë se është reflektimi i saj/tij. Lejoni foshnjën të trokasë në pasqyrë dhe të drejtojë gishtin drejt vetes në pasqyrë.</p>

<p><br />
Shikoni në pasqyrë së bashku me foshnjën tuaj - buzëqeshni dhe bëjani me dorë në pasqyrë. Buzëqeshni dhe bëni shprehje qesharake të fytyrës së bashku përderisa shikoheni në pasqyrë. Me buzëkuq ose shkumës me ngjyrë, rrethoni vendin ku fëmija juaj pasqyrohet në pasqyrën e madhe, inkurajojeni atë të prekë atë vend me gishta dhe të njollosë pasqyrën me dorë, të hulumtojë dhe kuptojë ndryshimet. Ndiqni gjithçka që bën foshnja me tinguj dhe komente pozitive e inkurajuese, flisni me foshnjën rreth asaj që po bën, çfarë po ndodh, kush është në pasqyrë, përsëritni emrin e foshnjës dhe tregoni fytyrën e tij/saj në pasqyrë. Përsëriteni të njëjtën gjë me veten tuaj në pasqyrë. Tregoni me gisht nga vetja juaj, emërojeni - është mami ... kjo është ... (përsëritni emrin e fëmijës).  Ndërsa fëmija juaj rritet, ju do të shihni se ai/ajo fillon të njohë emrin e tij/saj.  Përdoreni atë shpesh.</p>

<p><br />
Para pasqyrës, ju gjithashtu mund të luani lojëra të fshehjes ose “ku është [emri i foshnjës]?” me foshnjën. Ai/ajo gjithmonë do të gëzohet dhe do të buzëqeshë kur të shohë veten dhe/ose ju përsëri pas shallit që po hiqni.</p>

<p>Kur foshnja fillon të rrotullohet ose zvarritet në barkun e tij, luajeni lojën “eja më kap”. Lëreni foshnjën të largohet pak, dhe pastaj ndiqeni dhe përqafojeni pasi ta kapni.</p>

<p>Këto aktivitete mund t'i përdorni në të gjitha rastet kur keni një pasqyrë të bukur e të madhe para jush, por edhe në lojëra të tjera në dysheme, në krevat fëmijësh, në shtrat të madh, përderisa jeni duke pritur në zyrën e mjekut, etj.</p>

<p><strong>Çfarë po mëson fëmija juaj:  </strong>Këto lojëra janë kaq interesante për foshnjën, ndërsa në të njëjtën kohë inkurajojnë zhvillimin e një imazhi të vetvetes, pamjes së jashtme dhe vendit në mjedis.</p>",9501,yes,parent,,6436,2776,1,sq,published
