ID,Title,Body,Cover_image,Equipment,Type_of_support,Child_age,Domain,Related_milestones,Mandatory_content,Translation_language,Moderation_state
7176,Да помогнете на бебето да се самоуспокои,"<p><strong>Необходими материали: </strong>предмети, които обикновено слагате в леглото на бебето или в близост до него, или на друго място, където го слагате да лежи.</p>

<p><strong>Какво можете да правите заедно: </strong>Все още е важно да се погрижите за бебето, когато е разстроено. Ще забележите обаче, че то все по-добре успява да се успокоява само, поне за кратко. Можете да му помогнете, като оставяте в близост безопасни предмети, които могат да му помогнат да се самоуспокои. Например, има ли някаква мека играчка, която бебето ви обича да гали? Има ли цветна музикална въртележка или картина, която на бебето ще му е лесно да види? Дали бебето е в поза, в която лесно може да сложи ръцете си в устата и да ги смуче, ако това го успокоява? Вместо веднага да се втурнете към бебето, спрете и известно време го наблюдавайте, за да видите дали то започва успешно да се успокоява само, макар и за кратко. </p>

<p><strong>Какво научава детето ви: </strong>Бебето ви знае, че може да разчита на вас – вие ще се отзовете и нещата ще станат по-добре. Но то се научава, че също може да прави неща, с които да се успокои само. Самоуспокоението е важно нещо, на което да се научи; започва сега, но се развива през следващите месеци и години. Както винаги, вашата любяща подкрепа е изключително важна.</p>",11801,yes,parent,,6431,2566,0,bg-bg,published
7181,Поддържане на интереса на бебето ,"<p><strong>Необходими материали: </strong>само обичайните предмети или играчки, които бебето ви харесва.</p>

<p><strong>Какво можете да правите заедно: </strong>На тази възраст бебето ви не може да каже „Скучно ми е“ или „Това ми харесва, моля те, не спирай!“ Като наблюдавате как се държи вашето бебе, може да разберете дали се интересува да гледа или да прави нещо ново. Вашето бебе може да започне да нервничи или да извърне глава от нещо, което му е било интересно преди. Или може би просто трябва да бъде на ново място или в нова позиция.</p>

<p>Опитайте няколко неща, за да поддържате любопитството на бебето, да запазите интереса му и да бъде доволно. Вие най-добре познавате бебето си. Може би някакъв нов предмет, който да държи в ръцете си, ще задържи вниманието му малко по-дълго. Или може да вземете бебето, да се разходите наоколо и да разгледате нови части на стаята. Или може би достатъчно дълго време е лежало по корем и иска да се обърне по гръб, за да има възможност да гледа нещо.</p>

<p>Не е нужно да правите нещо различно всяка минута, просто обръщайте внимание на сигналите на бебето и правете някои малки промени, тъй като малко повече или малко по-малко стимулация може да провокира интереса му и то да е доволно.</p>

<p><strong>Какво научава детето ви: </strong>Дори преди да може да се придвижва наоколо или да говори, бебето ви има начини да ви каже от какво се нуждае. Прости промени в предметите, които да гледа или да държи, или малки промени в позицията му ще отворят вратите към нови възможности за учене. С течение на времето ще разберете какво върши работа, така че да имате малко време за себе си, а бебето – време за учене. </p>",12486,yes,parent,,6436,2586,1,bg-bg,published
7186,Игра на въображението,"<p><strong>Необходими материали: </strong>няма.</p>

<p><strong>Какво можете да правите заедно: </strong>Реагирайте по някакъв начин винаги, когато бебето ви издава някакви звуци. Нека това бъде истински малък „разговор“ – говорете му с нежен глас, усмихвайте му се, докато говорите; правете кратки паузи от време на време, за да му дадете възможност да се включи. В някакъв момент бебето ще започне да издава прости звуци. Говорете с висок или нисък тон, опитайте да шепнете и да пеете. Правете това, като се редувате с бебето. Повтаряйте звуците, които то издава.</p>

<p>Поставете бебето с лице към вас – то ще ви наблюдава, докато издавате различни звуци. В тази позиция то може да гледа как променяте изражението на лицето си (широка усмивка, изплезен език, широко отворени очи, повдигнати вежди, надути бузи или духане във въздуха). Наблюдавайте бебето, и ако забележите, че някои от тези изражения го плашат, бързо го променете и след известно време опитайте отново с по-меко изражение на лицето. Не забравяйте, че всяко бебе е различно и реагира по различен начин. При тази игра задържайте изражението за известно време, за да дадете на бебето възможност да се опита да промени своето изражението, като ви наблюдава и имитира. Повтаряйте това, което прави бебето.</p>

<p>Друга идея е да покажете на бебето парцалена кукла или просто да нахлузите на пръста си малък чорап. Кажете името на бебето, като движите куклата или чорапа нагоре-надолу като кукла за куклен театър. Уверете се, че бебето следи това движение. След това преместете пръста си настрани. Всеки път, когато видите, че бебето следи с поглед движенията на куклата, опитайте ново движение.</p>

<p>Това са много подходящи дейности, докато сменяте пелената, но също така могат да се използват във всеки свободен момент, прекаран с бебето.</p>

<p><strong>Какво научава детето ви: </strong>На този етап най-интересната играчка – която най-много очарова бебето – сте вие! Вашето лице, вашият глас, вашите ръце, вашето тяло. Бебето ви се учи да комуникира с вас и внимателно и в детайли наблюдава лицата на хората, поддържа продължителен контакт с очи.</p>",10571,,parent,,6441,2616,1,bg-bg,published
7191,Изследване и откриване на игри,"<p><strong>Необходими материали: </strong>всяка любима играчка, пелени, шал, хартиена кърпа, платнена торбичка, малки пластмасови шишета, различни семена/ зърнени храни и малки предмети.</p>

<p><strong>Какво можете да правите заедно: </strong>Играйте на криеница с предмети. Позволете на бебето да види как скривате предмета под одеяло, пелена или възглавница. Ако то не тръгне да търси скрития предмет, следващия път го скрийте само частично. Помогнете на бебето да намери предмета.</p>

<p>Завийте, без да е стегнато, малка играчка в хартиена кърпа или салфетка (не използвайте лепенка). Детето може да развие пакета и да намери изненадата. Можете да използвате и друга мека хартия или опаковъчна хартия с весели цветове, която шумоли. Можете също така да увиете играчката в тънка текстилна салфетка, кърпа или пелена. Друга идея е да направите торбичка с изненади, която детето да намери сутринта. Напълнете хартиена или платнена торбичка с някои от следните предмети, които имате под ръка: плюшена играчка, нещо, което издава звук, малък пластмасов буркан с капачка на винт или книжка с твърди страници. Насърчете бебето да изследва „вълшебната торбичка“. Уверете се, че предметите са безопасни и внимателно наблюдавайте бебето.</p>

<p>Друга идея е да играете „игри на наужким“ с плюшена играчка или кукла. Покажете и кажете на детето какво прави куклата (ходи, ляга да спи, яде, играе на масата). Използвайте думи, за да опишете какво прави куклата, а може и да говорите от нейно име – всичко, което ще забавлява вас и детето ви. Дайте на детето тази играчка и вижте дали ще вземе куклата и ще направи нещо с нея, дали ще повтори това, което правите вие. Можете да се редувате, ако детето ви харесва тази игра!</p>

<p>Децата обичат да си играят с предмети, които произвеждат звуци и издават шум. Ако имате време и материали, можете да направите по-сложна дрънкалка, като завържете метални гривни, достатъчно широки, за да влезе в тях ръката на бебето. Можете също така да напълните малки пластмасови шишета (с капачки, които децата не могат да отворят) с предмети, които звучат различно, например топчета за игра, ориз, сол, царевични зърна и др. Ако направите това, не забравяйте да затворите плътно капачките, за да е безопасно, и насърчете детето да изследва звуците.</p>

<p>Можете да използвате тази дейност, когато имате малко свободно време, използвайте я за обикновена игра с детето. Ако има по-големи братя и сестри, насърчете ги да играят по подобен начин с най-малкия член на семейството.</p>

<p><strong>Какво</strong> <strong>научава детето ви</strong>: детето ви започва да открива нови предмети или хора, като ги докосва и играе с тях. Тези дейности помагат за развитието на неговите фини двигателни и сензорни умения.</p>",9246,yes,,,6436,2626,1,bg-bg,published
7196,Игра на пода,"<p><strong>Необходими материали: </strong>постелка или одеяло за пода, любими играчки, дрънкалки.</p>

<p><strong>Какво можете да правите заедно: </strong>Сложете бебето така, че да можете да докосвате краката му. Играйте нежно с крачетата и пръстчетата му и леко го гъделичкайте. Докосвайте пръстите на ръцете на бебето един по един и в същото време му говорете: „Този пръст е ... палец / показалец / кутре…“ за всеки пръст. Докато бебето е по гръб, поставете музикална играчка (ако имате такава) до бебето или зад него. Проверете дали то търси източника на звука. Може също леко да разклатите дрънкалка или буркан с боб и видите дали бебето търси с поглед в посоката, от която идва звукът.</p>

<p>На мека плоска повърхност, на леглото или одеялото, докато лежи по гръб, леко потупвайте или масажирайте ръцете и пръстите на бебето, като му говорите – например „Ето това е ръката ти; ето това са пръстите ти“ и му казвайте какво правите. Или докато го галите по ръцете, може да му пеете нежна песничка. Друга идея е да използвате обикновена играчка и да я сложите на място, където бебето може да я види, но не може да я достигне. Опитва ли се? Може да преместите играчката, докато бебето я гледа. Като стане по-голямо, можете да го насърчите да се преобърне, за да може да посегне към играчката.</p>

<p>Има толкова много идеи за „игра на пода“, докато бебето ви расте! Постелете одеяло или кърпа върху килима, сложете бебето по корем, така че главата му да е обърната на една страна. Легнете до него, за да го насърчавате. То може да остане в това положение, докато му харесва, но се уверете, че главата му е обърната наляво и надясно еднакво дълго време. Отново можете да поставите любими играчки или предмети пред него, но така, че да са само малко извън обсега му. Като стане по-голямо, го насърчавайте да се опитва да ги достига и да се премества в тяхната посока.</p>

<p>„Времето по корем"" е важно за физическото развитие. Уверете се, че времето, което бебето прекарва по корем, е малко по-дълго всеки ден. Наблюдавайте бебето си, за да можете внимателно да го преместите, ако обърне лицето си директно към пода, тъй като това може да затрудни дишането му. Като  става все по-силно с течение на времето, то ще може да повдига главата си и да  повдига тялото си леко, като натиска с ръце. Тези движения по-късно ще прераснат в търкаляне и пълзене.</p>

<p><strong>Какво научава детето ви: </strong>Това са отлични възможности да използвате прости игри, за да създадете положителна, приятна среда за вашето дете. По време на тези игри детето ви се научава да изследва и контролира движенията на тялото и главата си. Бебето може да е в състояние да вдигне глава и да се подпре на ръце.  </p>",446,yes,,,6421,2656,1,bg-bg,published
7201,Виж какво можеш да правиш с ръцете си!,"<p><strong>Необходими материали: </strong>няма</p>

<p><strong>Какво можете да правите заедно: </strong>На тази възраст вашето бебе открива ръцете си. То ги гледа (какво Е това?), а също така започва успешно да ги поднася към устата си. Не е нужно да учите бебето си на това умение, но можете да насърчавате това ново учене по много начини, всеки ден. Уверете се, че ръцете на бебето са свободни, така че да се движат през по-голямата част от деня. Смяната на пелената, обличането и къпането са особено добри възможности за това. Често го поставяйте в позиция, която го улеснява да вижда и контролира ръцете си. Вашето бебе може да бъде развълнувано, когато открие този „номер“. Обърнете внимание на неговото вълнение и споделете удовлетворението му.</p>

<p><strong>Какво научава детето ви: </strong>Това е важна стъпка в развитието на способността на бебето да контролира движението на различните части на тялото. Също така развива усещането за допир и вкус, когато бебето свързва докосването на устата с пръстите.<strong>  </strong></p>",12491,no,parent,,6436,2666,0,bg-bg,published
7206,Търсене на скрити предмети,"<p><strong>Необходими материали:</strong><strong> </strong>няколко меки играчки или неща от дома, които са безопасни и привлекателни за бебето.</p>

<p><strong>Какво можете да правите заедно: </strong>Поставете бебето по корем, на килима или на друга мека повърхност. Седнете така, че да можете да виждате лицето на бебето и да контролирате безопасността му. Поставете няколко играчки от едната (лявата или дясната) страна на бебето извън обсега на ръцете му, но в обсега на зрението му. Изчакайте да ги забележи или привлечете вниманието му с изненадан глас (кажете: „Аааа, какво имаме тук ?!“). Изчакайте бебето ви да се обърне, за да може да достигне до един от предметите. Ако бебето не се опита само, помогнете му да се обърне от корем по гръб, така че да може да достигне до предметите. Насърчете го с ентусиазиран глас, с широка усмивка. Когато загуби интерес, погледне встрани или протестира – повторете целия процес с други предмети, от другата страна.</p>

<p><strong>Какво научава детето ви: </strong>Вашето бебе има възможност да изследва предмети, като ги гледа, мести ги от ръка в ръка, докосва ги и ги поставя в устата си.</p>

<p> </p>

<p> </p>",10601,yes,parent,,6436,2691,1,bg-bg,published
7211,Какво е това и как се нарича?,"<p><strong>Необходими материали: </strong>различни книги, списания, каталози, табели, всичко, което съдържа букви и думи или други символи, и което насърчава говоренето и воденето на интересни разговори.</p>

<p><strong>Какво можете да правите заедно: </strong>Започнете, когато бебето ви е само на няколко месеца, говорете му спокойно, докато го храните, сменяте пелената му, държите го на ръце, или когато е до вас на леглото, или в детската количка. Въпреки че не разбира всички думи, дори още като новородено, бебето разпознава гласа ви и това му доставя удоволствие. Когато видите, че реагира на гласа ви, отговорете му с топла усмивка, погалете го и т.н. Ако не отговори, продължете да опитвате! То ще започне да отговаря.</p>

<p>Четете му бебешки книжки или му разказвайте истории от първия ден. Дори и да не разбира историята, бебето ви се радва на вашата близост и на гласа ви. То обича да разглежда картинките, които му показвате. Четете му детски книжки или цветни списания и в същото време му показвайте и разказвайте какво има на изображенията. Нека бебето да докосва картинките в книжката. Назовете всичко, което то казва с прости думи.</p>

<p>Книгите са важни, но не по-малко важно е и да говорите на бебето за абсолютно всичко. Когато времето е хубаво, изведете го на разходка сред природата, дори да е само пред дома ви. Разказвайте му за всичко, което виждате.</p>

<p>Ако не разполагате с книжки, също можете да му говорите, например за частите на тялото, за предметите, които използвате всеки ден, и за хората, които детето познава. Така то ще разбере, че всичко си има име и постепенно ще започне да научава тези имена. Назовавайте всичко, което правите през деня. Когато назовавате нещо, покажете предмета или това, което правите. „Мама прави сок за бебето.“ „Това е сок.“ и показвате сока. „Мама сменя пелената на бебето.“ „Това е пелена“ и му показвате пелената. Уверете се, че бебето чува и вижда какво му показвате. Например, „Днес ядем броколи, мммм, колко вкусно“ и покажете купата. Това не са ""уроци"", а приятни моменти заедно, докато запознавате бебето си с всички прекрасни неща на света!</p>

<p>Винаги, когато имате свободно време за игра, можете да използвате горните примери, когато извършвате обичайните дейности (преобличане, подготовка за хранене и т.н.).</p>

<p><strong>Какво научава детето ви: </strong>Дори ако бебето не ви разбира, то ще следи картинките, звуците, миризмите и гласа ви. Ще разбере, че всичко си има име и постепенно ще започне да научава тези имена.</p>",11426,yes,parent,,6441,2731,1,bg-bg,published
7216,Сприятелявам се,"<p><strong>Необходими материали: </strong>няма.</p>

<p><strong>Какво можете да правите заедно: </strong>Вашето бебе може да плаче по различни начини и чрез плач да се опитва да предава различни послания. През този период може да забележите, че бебето започва да се разстройва, когато се появят нови, непознати хора, което не е било така преди. Това е съвсем очаквано. Помогнете му, като запознавате с новите хора постепенно, а не рязко и, ако е възможно, във вече позната среда. Винаги бъдете с бебето си, когато се приближава или се обръща към него ново лице, и ако тревожността и плачът се засилят – успокойте го. Говорете на бебето си със спокоен глас, като го държите на ръце, за да го успокоите, че няма да го оставите. Можете нежно да го полюлеете, да го гушнете или да му пеете. Наблюдавайте внимателно, за да видите кога бебето ви е готово за предизвикателството отново да създава приятелства. Ще го разберете, когато то започне да се оглежда и да изследва нещата и хората в обкръжението си. Опитайте се отново да го запознаете с нови хора, като следвате признаците на удоволствие и дискомфорт, които показва.</p>

<p>Всяко бебе е различно; вашето бебе може да проявява голям интерес към нови хора, или доста бавно да започне да проявява известна дружелюбност дори към приятелски настроени непознати. Оставете бебето да ви води и се радвайте на уникалния си малък човек!</p>

<p><strong>Какво научава детето ви: </strong>Вашето бебе се учи да реагира на нови ситуации и хора, като неговите реакции вероятно ще се променят с всяка изминала седмица. Ако новите хора станат част от света на бебето ви, с ваша помощ то постепенно ще свикне с тях, така че да се чувства комфортно. </p>",2646,no,parent,,6431,2761,1,bg-bg,published
7221,Игри пред огледалото: „Няма друг като мен“,"<p><strong>Необходими материали: </strong>Голямо огледало за стена или малко нечупливо огледало (като играчка).</p>

<p><strong>Какво можете да правите заедно: </strong>Как да го направим: дайте възможност на бебето да се види в огледалото. Поставете нечупливо огледало до бебешкото креватче или масата за смяна на пелената, така че то да може да се вижда в него. Започнете да говорите и потупайте огледалото, за да го накарате да го погледне. Кажете „Виж, ето го [името на вашето бебе]“. След известно време бебето ще осъзнае, че това е неговото отражение. Оставете бебето да потупа огледалото и да посочи с пръст себе си в огледалото.</p>

<p>Гледайте в огледалото заедно с бебето – усмихнете се и му помахайте в огледалото. Усмихвайте се и правете смешни изражения с лицето си заедно, докато се гледате в огледалото. С червило или пастел оградете мястото, където бебето се отразява в голямото огледало, насърчете го да пипне това място с пръсти и да зацапа огледалото с ръка, за да изследва и осъзнае промените. Придружавайте всичко, което бебето прави, с положителни и насърчителни коментари, звуци, говорете му за това, което прави, какво се случва, кой е в огледалото, повтаряйте името му и посочвайте лицето му в огледалото. Повторете същото и с вашето отражение в огледалото. Посочете себе си, назовете какво виждате – това е мама ... това е ... (повторете името на детето). С напредването на възрастта на вашето бебе ще видите, че то започва да разпознава името си. Правете това често.</p>

<p>Пред огледалото можете също да играете на криеница или на „къде е [името на бебето]?“. То винаги се радва и се усмихва, когато отново види себе си и/или вас зад шала, който сваляте.</p>

<p>Когато бебето започне да се претъркулва или пълзи по корем, играйте играта „ела и ме хвани“. Оставете бебето да се премести малко, а вие го следвайте и го гушнете, когато го хванете.</p>

<p>Можете да използвате тези дейности във всички случаи, когато пред вас има хубаво голямо огледало, но също така и в други игри на пода, в креватчето, на голямото легло, докато чакате в лекарския кабинет и т.н.</p>

<p><strong>Какво научава детето ви: </strong>Тези игри са много интересни за бебето и в същото време насърчават развитието на представата за себе си, за собствения външен вид и място в заобикалящата среда.</p>",9501,yes,parent,,6436,2776,1,bg-bg,published
