ID,ID_C,Title,Body,Moderation_state
3026,23001,More about growth in the first 6 months - adequate weight for length/height,"Bravo! Your child grows well and her/ his weight is in harmonious with her/his height. Continue to follow the recommendations for optimal nutrition, physical activity and sleep. Keep track of your child's growth.",archive
3031,23002,More about growth 7-9 months - adequate weight for length/height,"Bravo! Your child grows well and her/ his weight is in harmonious with her/his height. Continue to follow the recommendations for optimal nutrition, physical activity and sleep. Keep track of your child's growth.",archive
3036,23003,More about growth 10-12 months - adequate weight for length/height,"Bravo! Your child grows well and her/ his weight is in harmonious with her/his height. Continue to follow the recommendations for optimal nutrition, physical activity and sleep. Keep track of your child's growth.",archive
3041,23004,More about growth 13-24 months - adequate weight for length/height,"Bravo! Your child grows well and her/ his weight is in harmonious with her/his height. Continue to follow the recommendations for optimal nutrition, physical activity and sleep. Keep track of your child's growth.",archive
3046,23005,More about growth 25- 60 months - adequate weight for length/height,"Bravo! Your child grows well and her/ his weight is in harmonious with her/his height. Continue to follow the recommendations for optimal nutrition, physical activity and sleep. Keep track of your child's growth.",archive
3051,23006,More about growth in the first 6 months- mild malnutrition,"Attention! Your child is losing weight (or not gaining weight) and has a moderate lack of weight for length / height. This situation could have happened in a course of few weeks, hence consider to find out some immediate causes: recent infectious disease or diarrhoea, some other chronic illness, insufficient and a very improper diet, changes in the immediate environment, etc. Be sure to schedule an examination with a paediatrician to discover the cause, correct the loss and determine the dynamics of further monitoring of growth. You child needs major consideration to have an improved diet.",archive
3056,23007,More about growth 7-9 months- mild malnutrition,"Attention! Your child is losing weight (or not gaining weight) and has a moderate lack of weight for length / height. This situation could have happened in a course of few weeks, hence consider to find out some immediate causes: recent infectious disease or diarrhoea, some other chronic illness, insufficient and a very improper diet, changes in the immediate environment, etc. Be sure to schedule an examination with a paediatrician to discover the cause, correct the loss and determine the dynamics of further monitoring of growth. You child needs major consideration to have an improved diet.",archive
3061,23008,More about growth 10-12 months- mild malnutrition,"Attention! Your child is losing weight (or not gaining weight) and has a moderate lack of weight for length / height. This situation could have happened in a course of few weeks, hence consider to find out some immediate causes: recent infectious disease or diarrhoea, some other chronic illness, insufficient and a very improper diet, changes in the immediate environment, etc. Be sure to schedule an examination with a paediatrician to discover the cause, correct the loss and determine the dynamics of further monitoring of growth. You child needs major consideration to have an improved diet.",archive
3066,23009,More about growth 13-24 months- mild malnutrition,"Attention! Your child is losing weight (or not gaining weight) and has a moderate lack of weight for length/height. This situation could have happened in a course of few weeks, hence consider to find out some immediate causes: recent infectious disease or diarrhoea, some other chronic illness, insufficient and a very improper diet, changes in the immediate environment, etc. Be sure to schedule an examination with a paediatrician to discover the cause, correct the loss and determine the dynamics of further monitoring of growth. You child needs major consideration to have an improved diet.",archive
3071,23010,More about growth 25 - 60 months - mild malnutrition,"Attention! Your child is losing weight (or not gaining weight) and has a moderate lack of weight for length/height. This situation could have happened in a course of few weeks, hence consider to find out some immediate causes: recent infectious disease or diarrhoea  some other chronic illness, insufficient and a very improper diet, changes in the immediate environment, etc. Be sure to schedule an examination with a pediatrician to discover the cause, correct the loss and determine the dynamics of further monitoring of growth. You child needs major consideration to have an improved diet.",archive
3076,23011,More about growth in the first 6 months - severe malnutrition,"Attention! Your child has a serious lack of weight for length/height. This situation could have happened in a course of few weeks, hence consider to find out some possible immediate causes, some causes could be: recent illness, metabolic and chronic diseases, insufficient and improper diet, changes in the immediate environment, etc. Urgently consult a paediatrician  to investigate the cause and determine how to compensate for the loss.",archive
3081,23012,More about growth 7 - 9 months - severe malnutrition,"Attention! Your child has a serious lack of weight for length/height. This situation could have happened in a course of few weeks, hence consider to find out some possible immediate causes, some causes could be: recent illness, metabolic and chronic diseases, insufficient and improper diet, changes in the immediate environment, etc. Urgently consult a paediatrician to investigate the cause and determine how to compensate for the loss.",archive
3086,23013,More about growth 10 -12 months - severe malnutrition,"Attention! Your child has a serious lack of weight for length/height. This situation could have happened in a course of few weeks, hence consider to find out some possible immediate causes, some causes could be: recent illness, metabolic and chronic diseases, insufficient and improper diet, changes in the immediate environment, etc. Urgently consult a paediatrician to investigate the cause and determine how to compensate for the loss.",archive
3091,23014,More about growth 13 - 24 months - severe malnutrition,"Attention! Your child has a serious lack of weight for length/height. This situation could have happened in a course of few weeks, hence consider to find out some possible immediate causes, some causes could be: recent illness, metabolic and chronic diseases, insufficient and improper diet, changes in the immediate environment, etc. Urgently consult a paediatrician to investigate the cause and determine how to compensate for the loss.",archive
3096,23015,More about growth  25 - 60 months - severe malnutrition,"Attention! Your child has a serious lack of weight for length/height. This situation could have happened in a course of few weeks, hence consider to find out some possible immediate causes, some causes could be: recent illness, metabolic and chronic diseases, insufficient and improper diet, changes in the immediate environment, etc. Urgently consult a paediatrician to investigate the cause and determine how to compensate for the loss.",archive
3101,23016,More about growth in the first 6 months - overweight,"Attention! Your child is moderately overweight for height. This overweight can endanger his/her health, so think about what contributed to that: excess intake of energy-rich foods (such as sweet and oily products), intake of junk foods, reduced physical activity, increased screen time or changes in the immediate environment, etc. Be sure to make an appointment with a pediatrician to get additional recommendations and determine the dynamics of monitoring your child's growth.",archive
3106,23017,More about growth 7 - 9 months - overweight,"Attention! Your child is moderately overweight for height. This overweight can endanger his/her health, so think about what contributed to that: excess intake of energy-rich foods (such as sweet and oily products), intake of junk foods, reduced physical activity, increased screen time or changes in the immediate environment, etc. Be sure to make an appointment with a pediatrician to get additional recommendations and determine the dynamics of monitoring your child's growth.",archive
3111,23018,More about growth 10 -12 months - overweight,"Attention! Your child is moderately overweight for height. This overweight can endanger his/her health, so think about what contributed to that: excess intake of energy-rich foods (such as sweet and oily products), intake of junk foods, reduced physical activity, increased screen time or changes in the immediate environment, etc. Be sure to make an appointment with a paediatrician to get additional recommendations and determine the dynamics of monitoring your child's growth.",archive
3116,23019,More about growth 13 -24 months - overweight,"Attention! Your child is moderately overweight for height. This overweight can endanger his/her health, so think about what contributed to that: excess intake of energy-rich foods (such as sweet and oily products), intake of junk foods, reduced physical activity, increased screen time or changes in the immediate environment, etc. Be sure to make an appointment with a paediatrician to get additional recommendations and determine the dynamics of monitoring your child's growth.",archive
3121,23020,More about growth 25 - 60 months - overweight,"Attention! Your child is moderately overweight for height. This overweight can endanger his/her health, so think about what contributed to that: excess intake of energy-rich foods (such as sweet and oily products), intake of junk foods, reduced physical activity, increased screen time or changes in the immediate environment, etc. Be sure to make an appointment with a paediatrician to get additional recommendations and determine the dynamics of monitoring your child's growth.",archive
3126,23021,More about growth in the first 6 months - obesity,"There is no or minimal risk of being overweight for a baby of 0-6-month-old being exclusively breastfed.  It has been proven and scientifically confirmed that breastfeeding, especially prolonged - at least 12 months, protects a child from obesity later in childhood and adulthood.

For babies on artificial nutrition, there is always a danger of overweight.  For overweight or obese babies, advice from the baby's doctor can be helpful. Never withhold food from a baby in an attempt to cause weight loss. To grow and develop as they should, babies need proper nutrition, exclusive breastfeeding during the first 6 months of life. For formula-fed babies, make sure you follow the instructions to prepare the feeds correctly (right amount of water and powder) and follow the instruction for the number of the feeds and the amount of feeds per day.",archive
3131,23022,More about growth 7 - 9 months - overweight,"Urgent attention! Your child is obese, that is, s/he has a serious excess weight for height. This weight can seriously endanger your child's health. Think about what contributed to that: excess intake of energy-rich foods (such as sweet and oily products), intake of junk foods, reduced physical activity, increased screen time or changes in the immediate environment, etc. Be sure to schedule a visit to the paediatrician for an examination and additional diagnostics, as well as to determine the dynamics of further growth monitoring!",archive
3136,23023,More about growth 10 - 12 months - overweight,"Urgent attention! Your child is obese, that is, s/he has a serious excess weight for height. This weight can seriously endanger your child's health. Think about what contributed to that: excess intake of energy-rich foods (such as sweet and oily products), intake of junk foods, reduced physical activity, increased screen time or changes in the immediate environment, etc. Be sure to schedule a visit to the paediatrician for an examination and additional diagnostics, as well as to determine the dynamics of further growth monitoring!",archive
3141,23024,More about growth 13 - 24 months - overweight,"Urgent attention! Your child is obese, that is, s/he has a serious excess weight for height. This weight can seriously endanger your child's health. Think about what contributed to that: excess intake of energy-rich foods (such as sweet and oily products), intake of junk foods, reduced physical activity, increased screen time or changes in the immediate environment, etc. Be sure to schedule a visit to the paediatrician for an examination and additional diagnostics, as well as to determine the dynamics of further growth monitoring!",archive
3146,23025,More about growth 25 - 60 months - overweight,"Urgent attention! Your child is obese, that is, s/he has a serious excess weight for height. This weight can seriously endanger your child's health. Think about what contributed to that: excess intake of energy-rich foods (such as sweet and oily products), intake of junk foods, reduced physical activity, increased screen time or changes in the immediate environment, etc. Be sure to schedule a visit to the paediatrician for an examination and additional diagnostics, as well as to determine the dynamics of further growth monitoring!",archive
3151,23026,More about growth in the first 6 months - typical growth for the age,"Bravo! Your child grows in length/height in line or slightly above the range expected for his age and gender. Continue to follow the recommendations of good practice in nutrition, physical activity and sleep and monitor your child's growth.",archive
3156,23027,More about growth 7 - 9 months - typical growth for the age,"Bravo! Your child grows in length/height in line or slightly above the range expected for his age and gender. Continue to follow the recommendations of good practice in nutrition, physical activity and sleep and monitor your child's growth.",archive
