ID,ID_C,Title,Body,Moderation_state
3026,23001,Бештар дар бораи афзоиш дар 6 моҳи аввал - вазн мутобиқ ба қад,"Офарин! Фарзанди Шумо хуб ба воя расида истодааст ва вазни вай ба қадаш мутобиқ аст. Риоя намудани тавсияҳоро оид ба ғизо, фаъолияти ҷисмонӣ ва хоб идома диҳед. Аз пайи қади фарзандатон назорат баред.  

 ",archive
3031,23002,Бештар дар бораи афзоиш дар 7-9 моҳагӣ - вазн мутобиқ ба қад,"Офарин! Фарзанди Шумо хуб ба воя расида истодааст ва вазни вай ба қадаш мутобиқ аст. Риоя намудани тавсияҳоро оид ба ғизо, фаъолияти ҷисмонӣ ва хоб идома диҳед. Аз пайи қади фарзандатон назорат баред.  

 ",archive
3036,23003,Бештар дар бораи афзоиш дар 10 -12 моҳагӣ - вазн мутобиқ ба қад,"Офарин! Фарзанди Шумо хуб ба воя расида истодааст ва вазни вай ба қадаш мутобиқ аст. Риоя намудани тавсияҳоро оид ба ғизо, фаъолияти ҷисмонӣ ва хоб идома диҳед. Аз пайи қади фарзандатон назорат баред.  ",archive
3041,23004,Бештар дар бораи афзоиш дар 13 - 24 моҳагӣ -  вазн мутобиқ ба қад,"Офарин! Фарзанди Шумо хуб ба воя расида истодааст ва вазни вай ба қадаш мутобиқ аст. Риоя намудани тавсияҳоро оид ба ғизо, фаъолияти ҷисмонӣ ва хоб идома диҳед. Аз пайи қади фарзандатон назорат баред.  ",archive
3046,23005,Бештар дар бораи афзоиш дар 25- 60 моҳагӣ -  вазн мутобиқ ба қад,"Офарин! Фарзанди Шумо хуб ба воя расида истодааст ва вазни вай ба қадаш мутобиқ аст. Риоя намудани тавсияҳоро оид ба ғизо, фаъолияти ҷисмонӣ ва хоб идома диҳед. Аз пайи қади фарзандатон назорат баред.  ",archive
3051,23006,Бештар дар бораи афзоиш дар 6 моҳи аввал - камғизоии сабук,"Таваҷҷуҳ! Кӯдаки шумо вазни худро гум мекунад (ё вазн немегирад) ва норасоии норасоии вазн нисбат ба қад дорад. Ин вазъият метавонист дар давоми якчанд ҳафтаи охир ба амал омада бошад, бинобар ин сабабҳои асосии ба миён омадани ин ҳолатро фикр карда бароед:  бемории сироятӣ ва ё шикамравӣ, ғизои нокифоя ва ё нодуруст, тағйирот дар гирду атрофи наздики кӯдак) ва ғ. Барои муайян намудани сабаб, ислоҳ намудани пастшавии афзоиши қад, назорат бурдани ҷарраёни инкшофи қад дар оянда ҳатман ба духтури атфол муроҷат намоед. Дар бораи беҳтар намудани ғизои фарзандатон бояд ҷиддӣ фикр кунед.  ",archive
3056,23007,Бештар дар бораи афзоиш дар 7-9 моҳагӣ - камғизоии сабук,"Таваҷҷуҳ! Кӯдаки шумо вазни худро гум мекунад (ё вазн немегирад) ва норасоии норасоии вазн нисбат ба қад дорад. Ин вазъият метавонист дар давоми якчанд ҳафтаи охир ба амал омада бошад, бинобар ин сабабҳои асосии ба миён омадани ин ҳолатро фикр карда бароед:  бемории сироятӣ ва ё шикамравӣ, ғизои нокифоя ва ё нодуруст, тағйирот дар гирду атрофи наздики кӯдак) ва ғ. Барои муайян намудани сабаб, ислоҳ намудани пастшавии афзоиши қад, назорат бурдани ҷарраёни инкшофи қад дар оянда ҳатман ба духтури атфол муроҷат намоед. Дар бораи беҳтар намудани ғизои фарзандатон бояд ҷиддӣ фикр кунед.  ",archive
3061,23008,Бештар дар бораи афзоиш дар 10- 12 моҳагӣ - камғизоии сабук,"Таваҷҷуҳ! Кӯдаки шумо вазни худро гум мекунад (ё вазн немегирад) ва норасоии норасоии вазн нисбат ба қад дорад.       Ин вазъият метавонист дар давоми якчанд ҳафтаи охир ба амал омада бошад, бинобар ин сабабҳои асосии ба миён омадани ин ҳолатро фикр карда бароед:  бемории сироятӣ ва ё шикамравӣ, ғизои нокифоя ва ё нодуруст, тағйирот дар гирду атрофи наздики кӯдак) ва ғ. Барои муайян намудани сабаб, ислоҳ намудани пастшавии афзоиши қад, назорат бурдани ҷарраёни инкшофи қад дар оянда ҳатман ба духтури атфол муроҷат намоед. Дар бораи беҳтар намудани ғизои фарзандатон бояд ҷиддӣ фикр кунед.  

 ",archive
3066,23009,Бештар дар бораи афзоиш дар 13- 24 моҳагӣ - камғизоии сабук,"Таваҷҷуҳ! Кӯдаки шумо вазни худро гум мекунад (ё вазн немегирад) ва норасоии норасоии вазн нисбат ба қад дорад. Ин вазъият метавонист дар давоми якчанд ҳафтаи охир ба амал омада бошад, бинобар ин сабабҳои асосии ба миён омадани ин ҳолатро фикр карда бароед:  бемории сироятӣ ва ё шикамравӣ, ғизои нокифоя ва ё нодуруст, тағйирот дар гирду атрофи наздики кӯдак) ва ғ. Барои муайян намудани сабаб, ислоҳ намудани пастшавии афзоиши қад, назорат бурдани ҷарраёни инкшофи қад дар оянда ҳатман ба духтури атфол муроҷат намоед. Дар бораи беҳтар намудани ғизои фарзандатон бояд ҷиддӣ фикр кунед.  

 ",archive
3071,23010,Бештар дар бораи афзоиш дар 25 - 60 моҳагӣ - камғизоии сабук,"Таваҷҷуҳ! Кӯдаки шумо вазни худро гум мекунад (ё вазн немегирад) ва норасоии норасоии вазн нисбат ба қад дорад. Ин вазъият метавонист дар давоми якчанд ҳафтаи охир ба амал омада бошад, бинобар ин сабабҳои асосии ба миён омадани ин ҳолатро фикр карда бароед:  бемории сироятӣ ва ё шикамравӣ, ғизои нокифоя ва ё нодуруст, тағйирот дар гирду атрофи наздики кӯдак) ва ғ. Барои муайян намудани сабаб, ислоҳ намудани пастшавии афзоиши қад, назорат бурдани ҷарраёни инкшофи қад дар оянда ҳатман ба духтури атфол муроҷат намоед. Дар бораи беҳтар намудани ғизои фарзандатон бояд ҷиддӣ фикр кунед.   ",archive
