ID,ID_C,Title,Body,Moderation_state
3026,23001,Подробнее о росте в первые 6 месяцев - вес соответствует длине тела / росту,"Браво! Ваш ребенок хорошо растет, и его вес гармонирует с его ростом. Продолжайте соблюдать рекомендации по оптимальному питанию, физической активности и сну. Следите за ростом вашего ребенка.",archive
3031,23002,Подробнее о росте 7-9 месяцев - вес соответствует длине тела/ росту,"Браво! Ваш ребенок хорошо растет, и его вес гармонирует с его ростом. Продолжайте соблюдать рекомендации по оптимальному питанию, физической активности и сну. Следите за ростом вашего ребенка.",archive
3036,23003,Подробнее о росте 10-12 месяцев - вес соответствует длине тела/ росту,"Браво! Ваш ребенок хорошо растет, и его вес гармонирует с его ростом. Продолжайте соблюдать рекомендации по оптимальному питанию, физической активности и сну. Следите за ростом вашего ребенка.",archive
3041,23004,Подробнее о росте 13-24 месяцев - вес соответствует длине тела/ росту,"Браво! Ваш ребенок хорошо растет, и его вес гармонирует с его ростом. Продолжайте соблюдать рекомендации по оптимальному питанию, физической активности и сну. Следите за ростом вашего ребенка.",archive
3046,23005,Подробнее о росте 25-60 месяцев - вес соответствует росту,"Браво! Ваш ребенок хорошо растет, и его вес гармонирует с его ростом. Продолжайте соблюдать рекомендации по оптимальному питанию, физической активности и сну. Следите за ростом вашего ребенка.",archive
3051,23006,Подробнее о росте в первые 6 месяцев – риск низкого веса.,"Внимание! Ваш ребенок худеет (или не набирает вес) и имеет умеренную нехватку веса по отношению длине тела / росту. Такая ситуация могла произойти в течение нескольких недель, поэтому подумайте о том, чтобы выяснить некоторые непосредственные причины: недавнее инфекционное заболевание или диарея, некоторые другие хронические заболевания, недостаточное или неправильное питание, изменения в  семье и т. д. Обязательно обратитесь педиатру, чтобы выявить причину, откорректировать питание и определить динамику дальнейшего наблюдения за ростом.",archive
3056,23007,Подробнее о росте 7-9 месяцев - легкое недоедание,"Внимание! Ваш ребенок худеет (или не набирает вес) и имеет умеренную нехватку веса в соотношении к длине тела / росту. Такая ситуация могла произойти в течение нескольких недель, поэтому подумайте о том, чтобы выяснить некоторые непосредственные причины: недавнее инфекционное заболевание или диарея, некоторые другие хронические заболевания, недостаточное или очень неправильное питание, изменения в ближайшем окружении и т.д. Обязательно запишитесь на осмотр у педиатра, чтобы выявить причину, скорректировать понижение и определить динамику дальнейшего наблюдения за ростом. О вашем ребенке нужно серьезно подумать, чтобы улучшить питание.",archive
3061,23008,Подробнее о росте 10-12 месяцев - легкое недоедание,"Внимание! Ваш ребенок худеет (или не набирает вес) и имеет умеренную нехватку веса в соотношении с длиной тела / ростом. Такая ситуация могла произойти в течение нескольких недель, поэтому подумайте о том, чтобы выяснить некоторые непосредственные причины: недавнее инфекционное заболевание или диарея, некоторые другие хронические заболевания, недостаточное или очень неправильное питание, изменения в ближайшем окружении и т.д. Обязательно запланируйте осмотр у педиатра, чтобы выявить причину, скорректировать снижение и установить  дальнейшее наблюдение за динамикой роста. О вашем ребенке нужно серьезно подумать, чтобы улучшить диету.",archive
3066,23009,Подробнее о росте 13-24 месяцев - легкое недоедание,"Внимание! Ваш ребенок худеет (или не набирает вес) и имеет умеренную нехватку веса в соотношении с длиной тела / ростом. Такая ситуация могла произойти в течение нескольких недель, поэтому подумайте о том, чтобы выяснить некоторые непосредственные причины: недавнее инфекционное заболевание или диарея, некоторые другие хронические заболевания, недостаточное или очень неправильное питание, изменения в ближайшем окружении и т.д. Обязательно запишитесь на осмотр у педиатра, чтобы выявить причину, скорректировать снижение и установить дальнейшее наблюдение за динамикой роста. О вашем ребенке нужно серьезно подумать, чтобы улучшить диету.",archive
3071,23010,Подробнее о росте 25-60 месяцев - легкое недоедание,"Внимание! Ваш ребенок худеет (или не набирает вес) и имеет умеренную нехватку веса в соотношении к длине тела / росту. Такая ситуация могла произойти в течение нескольких недель, поэтому подумайте о том, чтобы выяснить некоторые непосредственные причины: недавнее инфекционное заболевание или диарея, какое-то другое хроническое заболевание, недостаточное или очень неправильное питание, изменения в ближайшем окружении и т.д. Обязательно запишитесь на осмотр у педиатра, чтобы выявить причину, скорректировать снижение и установить дальнейшее наблюдение за динамикой роста. О вашем ребенке нужно серьезно подумать, чтобы улучшить диету.",archive
