ID,Title,Child_age,Milestone_instructions,Mandatory_content,Moderation_state
12001,1 месяц – знаёмімся,1st month,"<p>
Назірайце за паводзінамі дзіцяці і звярніцеся да педыятра, калі заўважыце, што да канца першага месяца ваша дзіця: 
</p><ul><li>
многа плача, а вы не можаце яго супакоіць 
</li><li>  
дрэнна ссе і вельмі павольна есць  
</li><li>  
спіць больш, чым чакалася (больш за 16 гадзін у суткі), ці спіць трывожна 
</li><li>  
увогуле не варушыць рукамі ці нагамі  
</li><li>  
не ўздрыгвае пры гучным шуме 
</li><li>  
не міргае пры яркім святле.
</li></ul>",1,published
12002,2 месяцы – прывыкаем і выпрацоўваем распарадак,2nd month,"<p>
Назірайце за паводзінамі дзіцяці і звярніцеся да педыятра ці медсястры, якая прыходзіць, калі заўважыце, што да канца першага месяца ваша дзіця: 
</p><ul><li>
часта плача і вы звычайна не можаце яго супакоіць
</li><li>  
не глядзіць на твары нават на кароткі час
</li><li>    
не рэагуе на яркае святло ці моцныя гукі
</li><li>  
дрэнна есць ці спіць (ці спіць больш за 16 гадзін у суткі)
</li><li>   
увогуле не варушыць рукамі ці нагамі
</li><li> 
не цягне сваю руку ў рот
</li><li>   
не ўсміхаецца людзям.
</li></ul>",1,published
12003,3–4 месяцы – розны вопыт,3-4 months,"<p>
Назірайце за паводзінамі дзіцяці і звярніцеся да педыятра ці медсястры, якая прыходзіць, калі заўважыце, што да канца чацвёртага месяца ваша дзіця: 
</p><ul><li>
 часта многа плача і яго не атрымліваецца супакоіць
</li><li>  
не глядзіць у вочы і не звяртае ўвагі на твары людзей
</li><li>   
не назірае за рухам прадметаў
</li><li>    
не вымаўляе ніякіх гукаў і не рэагуе на гукі
</li><li>    
не трымае галаву
</li><li>   
не цягнецца за цацкай ці прадметам, які знаходзіцца перад ім
</li><li>  
не цягне прадметы ў рот.
</li></ul>  ",1,published
12004,5–6 месяцаў – актыўнае даследаванне,5-6 months,"<p>
Назірайце за паводзінамі дзіцяці і звярніцеся да педыятра ці медсястры, якая прыходзіць, калі заўважыце, што да канца шостага месяца ваша дзіця: 
</p><ul><li>
рэгулярна плача і яго складана супакоіць
</li><li>
не глядзіць вам у вочы ці не сочыць вачамі за аб’ектамі, якія рухаюцца  
</li><li>
не агукае і не паварочваецца да крыніцы гуку  
</li><li>
не смяецца і не павісквае 
</li><li>
не пераварочваецца  
</li><li>
не кантралюе сваю шыю і галаву  
</li><li>
не можа сядзець нават з вашай дапамогай і падтрымкай   
</li><li>
увогуле не цягнецца да прадметаў, нават калі вы заахвочваеце яго да гэтага
</li><li>
не імкнецца дацягнуцца да таго, што побач
</li><li>
 адчувае цяжкасці з тым, каб нешта паднесці да рота.
</li></ul>
",1,published
12005,7–9 месяцаў – новыя адкрыцці,7-9 months,"<p>
Назірайце за паводзінамі дзіцяці і звярніцеся да педыятра ці медсястры, якая прыходзіць, калі заўважыце, што да канца дзявятага месяца ваша дзіця:  
</p><ul><li>
не глядзіць вам у вочы ці не сочыць вачамі за прадметамі, якія рухаюцца
</li><li> 
не агукае 
</li><li>
не паварочвае галаву да крыніцы гуку
</li><li>
не глядзіць, куды вы паказваеце
</li><li>
не праяўляе прывязанасці да блізкіх – не ўсміхаецца ім
</li><li>
не адгукаецца на сваё імя
</li><li>
не пазнае знаёмых людзей
</li><li>
не перакочваецца
</li><li>  
калі вы паднімаеце яго, яго цела занадта расслабленае ці занадта напружанае  
</li><li>
не можа сядзець нават з вашай дапамогай і падтрымкай 
</li><li>
адчувае цяжкасці з цвёрдай ежай.
</li></ul>",1,published
12006,10–12 месяцаў – выпрацоўваем прывычкі і паслядоўнасць,10-12 months,"<p>
Назірайце за паводзінамі дзіцяці і звярніцеся да педыятра, калі заўважыце, што да канца першага года ваша дзіця:
</p><ul><li>
не глядзіць вам у вочы ці не сочыць за аб’ектамі, якія рухаюцца 
</li><li>
не рэагуе на гукі 
</li><li>
не адгукаецца на сваё імя, калі вы яго завяце
</li><li>
не лапоча
</li><li>
ніякім чынам не імкнецца паведаміць вам пра свае жаданні ці патрэбнасці
</li><li>
не паказвае на прадметы
</li><li>
не паказвае эмоцый 
</li><li>
не поўзае.
</li></ul> 
",1,published
12007,13–18 месяцаў – першы крок і першае слова,13-18 months,"<p>
Назірайце за паводзінамі дзіцяці і звярніцеся да педыятра, калі заўважыце, што ваша дзіця: 
</p><ul><li>
нешта дрэнна бачыць ці чуе 
</li><li>
не гаворць ні слова  
</li><li>
адчувае цяжкасці пры выкананні нават простых указанняў 
</li><li>
не выкарыстоўвае жэсты і не паказвае пальцам пры звароце  
</li><li>
не глядзіць вам у вочы і не абдымае  
</li><li>
не ходзіць самастойна.
</li></ul>",1,published
12008,19–24 месяцы – набываем незалежнасць,19-24 months,"<p>
Назірайце за паводзінамі дзіцяці і звярніцеся да педыятра, калі заўважыце, што да канца другога года ваша дзіця:
</p><ul><li> 
не глядзіць на вас (у вочы)
</li><li>
адчувае цяжкасці з тым, каб бачыць ці чуць у пэўных сітуацыях 
</li><li>
не гаворыць ні слова  
</li><li>
не паказвае на прадметы 
</li><li>
не выконвае простыя ўказанні 
</li><li>
не праяўляе пачуццяў  
</li><li>
не ходзіць устойліва. 
</li></ul>
",1,published
12009,25–36 месяцаў – пачынае развівацца ўяўленне,25-36 months,"<p>
Назірайце за паводзінамі дзіцяці і звярніцеся да педыятра, калі заўважыце, што да канца трэцяга года ваша дзіця: 
</p><ul><li>
не глядзіць на вас (у вочы)
</li><li>
дрэнна чуе ці бачыць некаторыя рэчы  
</li><li>
не гаворыць кароткімі сказамі (мінімум 3 словы разам) 
</li><li>
гаворыць вельмі неразборліва
</li><li>
не выконвае простыя ўказанні  
</li><li>
не хоча гуляць з іншымі дзецьмі, цацкамі і іншымі прадметамі
</li><li>
не прытвараецца і не падыгрывае падчас гульні  
</li><li>
не бегае
</li><li>
не піша і не малюе  
</li><li>
не можа трымаць у руцэ дробныя прадметы. 
</li></ul>",1,published
12010,37–48 месяцаў – задаём пытанні,37-48 months ,"<p>
Назірайце за паводзінамі дзіцяці і звярніцеся да педыятра, калі заўважыце, што да канца чацвёртага года ваша дзіця: 
</p><ul><li>                                                                                                                                                                                не праяўляе цікавасці да гульняў з іншымі ці да гульняў, дзе трэба падыгрываць
</li><li>
ігнаруе іншых дзяцей ці не рэагуе на людзей па-за сям’ёй
</li><li>
не можа падскочыць на месцы
</li><li>
не можа нічога напісаць (зрабіць паметкі на паперы)
</li><li>
не выконвае ўказанні, якія складаюцца з трох частак
</li><li>
не можа расказаць любімую казку ці гісторыю.
</li></ul>",1,published
12011,49–60 месяцаў – радасць асацыяцыі,49-60 months,"<p>
Назірайце за паводзінамі дзіцяці і звярніцеся да педыятра, калі заўважыце, што да канца пятага года ваша дзіця:
</p><ul><li>                                                                                                                                                                      не можа ўпэўнена хадзіць, бегаць, паднімацца па лесвіцы, скакаць з лесвіцы 
</li><li>
не можа адказаць на простыя пытанні (як цябе завуць? хто ў цябе ёсць у сям’і? твая любімая казка?)
</li><li>
не можа выканаць двухсастаўнае ўказанне (пастаў кубак на стол! ці вазьмі мяч пад ложкам!)
</li><li>
не можа самастойна выканаць паўсядзённыя задачы, такія як ежа ці адзяванне
</li><li>
адчувае цяжкасці з тым, каб трымаць аловак
</li><li>
дэманструе вельмі інтэнсіўныя паводзіны (напрыклад, моцны спалох, агрэсію ці смутак)
</li><li>
не гаворыць пра паўсядзённыя справы 
</li><li>
не праяўляе цікавасці да зносін ні з дарослымі, ні з дзецьмі.                                                                                                                                                                                                                                               
</li></ul>",1,published
12012,61–72 месяцы – гатоўнасць да новага асяроддзя,61-72 months ,"<p>
Назірайце за паводзінамі дзіцяці і звярніцеся да педыятра, калі заўважыце, што да канца шостага года ваша дзіця:       
</p><ul><li>                                                                                                                                                                             валодае вельмі кароткай канцэнтрацыяй увагі
</li><li>
зусім не цікавіцца літарамі, лічбамі, чытаннем ці пісьмом
</li><li>
здаецца, дрэнна чуе
</li><li>
не гаворыць выразна сказы з 5 ці больш слоў
</li><li>
не расказвае доўгія гісторыі, выкарыстоўваючы поўныя сказы
</li><li>
не адзяваецца і не карыстаецца прыбіральняй без дапамогі іншых
</li><li>
не можа падтрымаць размову
</li><li>
не можа гуляць у розныя гульні, гуляе ў нешта адно
</li><li>
не можа назваць сваё імя і адрас
</li><li>
не можа стаяць ці скакаць на адной назе.
</li></ul>",1,published
