ID,Title,Child_age,Milestone_instructions,Mandatory_content,Moderation_state
12001,1. mesec - upoznavanje,1st month,"<p>
Svakako razgovarajte sa svojim pedijatrom (ili drugim zdravstvenim radnikom) ako vaše dete pokazuje bilo koji od sledećih znakova mogućeg zastoja u razvoju, ako se čini da je dete izgubilo neke veštine koje je ranije imalo ili ako imate druge razloge za zabrinutost:  
</p><ul><li>
Vaša beba puno plače, a vi niste u mogućnosti da je utešite
</li><li>  
Loše sisa i hrani se vrlo sporo 
</li><li>  
Spava više nego što se očekuje (više od 16 sati dnevno), ili ne spava mirno
</li><li>  
Uopšte ne pomera ruke ni noge
</li><li>  
Ne trgne se kad začuje jake zvuke ili buku
</li><li>  
Ne trepće pri jakim svetlosnim izvorima.
</li></ul>",1,published
12002,2. mesec - usklađivanje i prve rutine,2nd month,"<p>
Svakako razgovarajte sa svojim pedijatrom (ili drugim zdravstvenim radnikom) ako vaše dete pokazuje bilo koji od sledećih znakova mogućeg zastoja u razvoju, ako se čini da je dete izgubilo neke veštine koje je ranije imalo ili ako imate druge razloge za zabrinutost: 
</p><ul><li>
beba često plače, a vi obično ne možete da je umirite
</li><li>  
ne posmatra lica čak ni kratko vreme
 </li><li>    
ne reaguje na jako svetlo ili glasne zvukove
</li><li>  
ne hrani se dobro ili previše spava (više od 16 sati dnevno)
</li><li>   
uopšte ne pomera ruke ili noge
</li><li> 
ne prinosi ruku ustima
</li><li>   
ne osmehuje se.
</li></ul>",1,published
12003,3. i 4. mesec - prva iskustva,3-4 months,"<p>
Svakako razgovarajte sa svojim pedijatrom (ili drugim zdravstvenim radnikom) ako vaše dete pokazuje bilo koji od sledećih znakova mogućeg zastoja u razvoju, ako se čini da je dete izgubilo neke veštine koje je ranije imalo ili ako imate druge razloge za zabrinutost:  
</p><ul><li>
 često plače, obično ne možete da je umirite
</li><li>  
ne ostvaruje kontakt očima, ne usmerava pažnju na lica ljudi  
</li><li>   
ne prati stvari kada se pomeraju
</li><li>    
ne guče i ne odgovara na zvuke
</li><li>    
ne drži (ne kontroliše) glavu stabilno
</li><li>   
ne poseže za igračkama oko sebe
</li><li>  
ne prinosi stvari ustima 
</li></ul>  ",1,published
12004,5-6 meseci - intenzivno istraživanje,5-6 months,"<p>
Svakako razgovarajte sa svojim pedijatrom (ili drugim zdravstvenim radnikom) ako vaše dete pokazuje bilo koji od sledećih znakova mogućeg zastoja u razvoju, ako se čini da je dete izgubilo neke veštine koje je ranije imalo ili ako imate druge razloge za zabrinutost:  
</p><ul><li>
često plače, obično ne možete da je umirite
</li><li>
ne ostvaruje kontakt očima, ne usmerava pažnju na lica ljudi 
</li><li>
Ne brblja i ne okreće se ka izvoru zvuka  
</li><li>
Ne smeje se niti cvili 
</li><li>
Ne prevrće se (na stomak i na leđa)  
</li><li>
Ne kontroliše vrat i glavu 
</li><li>
Ne sedi čak ni uz vašu pomoć  
</li><li>
ne poseže za objektima čak ni kada je podstičete na to
</li><li>
ne pokušava da dohvati ni one predmete koji su na dohvat
</li><li>
 ima poteškoće da stavr prinese ustima
</li></ul>
",1,published
12005,7-9 meseci - nova otkrića,7-9 months,"<p>
Svakako razgovarajte sa svojim pedijatrom (ili drugim zdravstvenim radnikom) ako vaše dete pokazuje bilo koji od sledećih znakova mogućeg zastoja u razvoju, ako se čini da je dete izgubilo neke veštine koje je ranije imalo ili ako imate druge razloge za zabrinutost:  
</p><ul><li>
Ne uspostavlja kontakt očima i ne prati objekat koji se pomera
</li><li> 
Ne brblja i ne udvaja glasove (ba-ba, ma-ma, de-da) 
</li><li>
Ne okreće se ka izvoru zvuka 
</li><li>
Ne gelda u pravcu koji pokazujete
</li><li>
Nije zainteresovana za one koji se brinu o njoj - ne osmehuje im se  
</li><li>
Ne reaguje na sopstveno ime
</li><li>
Ne prepoznaje ukućane
</li><li>
ne prevrće se
</li><li>  
kada je podignete beba je ili suviše mlitava ili suviše zategnuta  
</li><li>
ne sedi čak ni uz vašu pomoć 
</li><li>
ima poteškoće da jede čvrstu hranu. 
</li></ul>",1,published
12006,10-12 meseci - navike i doslednost,10-12 months,"<p>
Svakako razgovarajte sa svojim pedijatrom (ili drugim zdravstvenim radnikom) ako vaše dete pokazuje bilo koji od sledećih znakova mogućeg zastoja u razvoju, ako se čini da je dete izgubilo neke veštine koje je ranije imalo ili ako imate druge razloge za zabrinutost: 
</p><ul><li>
Ne uspostavlja kontakt očima I ne prati objekat koji se pomera
</li><li>
Ne interesuju ga/je zvuci 
</li><li>
Ne odaziva se na poziv po imenu 
</li><li>
Ne brblja
</li><li>
Ni na koji način ne pokazuje šta mu je potrebno, šta želi 
</li><li>
Ne pokazuje predmete prstom
</li><li>
Ne pokazuje osećanja
</li><li>
ne puzi
</li></ul> 
",1,published
12007,13-18 meseci - prvi korak i prva reč,13-18 months,"<p>
Svakako razgovarajte sa svojim pedijatrom (ili drugim zdravstvenim radnikom) ako vaše dete pokazuje bilo koji od sledećih znakova mogućeg zastoja u razvoju, ako se čini da je dete izgubilo neke veštine koje je ranije imalo ili ako imate druge razloge za zabrinutost: 
</p><ul><li>
vaše dete ima teškoće da vidi ili čuje neke stvari  
</li><li>
ne izgovara nijednu reč  
</li><li>
 teško sledi čak i direktna uputstva  
</li><li>
ne koristi gestove i pokazivanje prstom u komunikaciji  
</li><li>
ne uspostavlja kontakt očima sa vama i ne mazi se  
</li><li>
ne hoda samostalno. 
</li></ul>",1,published
12008,19-24 meseca - osamostaljivanje,19-24 months,"<p>
Svakako razgovarajte sa svojim pedijatrom (ili drugim zdravstvenim radnikom) ako vaše dete pokazuje bilo koji od sledećih znakova mogućeg zastoja u razvoju, ako se čini da je dete izgubilo neke veštine koje je ranije imalo ili ako imate druge razloge za zabrinutost: :
</p><ul><li> 
Ne gleda u vas (mema kontakta očima)
</li><li>
Ima teškoće da čuje ili da vidi određene stvari 
</li><li>
Ne izgovara nijednu  reč  
</li><li>
Ne pkazuje prstom objekte  
</li><li>
Ne sledi jednostavne instrukcije  
</li><li>
Ne sipoljava osećanja  
</li><li>
Ne hoda stabilno  
</li></ul>
",1,published
12009,25-36 meseci - kada mašta cveta,25-36 months,"<p>
Svakako razgovarajte sa svojim pedijatrom (ili drugim zdravstvenim radnikom) ako vaše dete pokazuje bilo koji od sledećih znakova mogućeg zastoja u razvoju, ako se čini da je dete izgubilo neke veštine koje je ranije imalo ili ako imate druge razloge za zabrinutost: 
</p><ul><li>
Ne gleda u vas (mema kontakta očima)
</li><li>
Ima teškoće da čuje ili da vidi određene stvari
</li><li>
Ne izgovara kratke rečenice (bar sa tri reči)
</li><li>
Nerazgovetno govori  
</li><li>
Ne razume jednostavne naloge  
</li><li>
Ne želi da se igra sa drugom decom ili sa igračkama
</li><li>
Ne igra se pretvaranja – “kao da” igara  
</li><li>
Ne može da trči  
</li><li>
Ne škraba i ne crta  
</li><li>
Ne može da drži male predmete u šaci.  
</li></ul>",1,published
12010,Četvrta godina - postavljanje pitanja,37-48 months ,"<p>
Pratite ponašanja svog deteta i porazgovarajte sa izabranim pedijatrom ukoliko na kraju šeste godine primetite da vaše dete:   
</p><ul><li>
Ne pokazuje interesovanje za interaktivne ili zajedničke i izmišljene igre
</li><li>
Ignoriše drugu decu ili ne reagiju na osobe van porodice
</li><li>
Ne može da skače u mestu
</li><li>
Ima teškoće u pisanju i crtanju
</li><li>
 Ne izvršava naloge koji se sastoje iz tri dela
</li><li>
Ne ume da ispriča omiljenu priču
</li></ul>",1,published
